RRC,Range Resources Corporation Common Stock,NASDAQ
35.37,35.05,35.57,34.90
35.88,35.91,36.24,35.22
35.74,35.10,35.74,34.76
34.98,34.57,35.10,34.22
34.27,33.47,34.27,33.35
33.72,33.99,34.09,33.52
33.53,33.39,33.89,32.91
33.12,32.80,33.38,32.25
33.02,32.93,33.85,32.71
33.15,33.86,33.94,32.55
33.78,34.03,34.69,33.78
33.74,33.81,34.25,33.36
34.67,35.18,35.26,34.44
35.17,35.20,35.20,34.51
35.53,36.04,36.12,35.49
35.77,35.40,35.78,35.15
35.50,36.23,36.32,35.38
36.77,36.47,36.92,36.18
36.58,37.04,37.38,36.35
37.11,36.04,37.11,35.58
35.96,36.02,36.28,35.53
35.70,35.87,35.87,35.26
35.67,35.21,35.77,34.86
35.34,35.07,35.44,34.72
35.13,36.22,36.29,34.84
36.22,36.05,36.62,35.39
36.06,35.32,36.39,35.24
34.88,35.20,35.70,34.76
35.69,36.06,36.22,35.28
36.15,35.38,36.18,35.29
35.55,36.94,37.23,34.93
36.74,38.75,38.76,36.34
39.09,38.13,39.32,37.67
38.61,37.83,38.74,37.16
37.79,37.12,37.97,36.92
37.62,37.76,38.07,37.35
37.88,37.79,38.43,37.66
38.00,36.86,38.17,36.69
36.82,36.68,36.96,36.34
36.63,35.90,36.75,35.83
35.92,35.85,35.92,35.11
36.08,36.71,36.79,35.74
36.73,37.31,37.52,36.52
37.62,37.59,37.83,37.27
37.52,38.22,38.35,37.10
37.42,36.48,37.65,36.25
36.48,36.86,36.95,36.46
37.00,36.99,37.95,36.62
37.09,36.75,37.32,36.42
37.11,36.42,37.46,36.13
36.34,35.73,36.49,35.43
35.36,36.66,36.75,35.11
37.85,36.77,38.05,36.06
36.65,37.39,37.41,36.31
38.10,38.01,39.54,37.50
38.40,38.94,39.02,37.88
39.11,38.57,39.50,37.95
39.22,39.15,39.34,38.33
39.26,39.40,39.45,38.73
39.29,40.73,40.84,39.17
43.29,42.59,44.70,42.19
42.72,42.75,43.06,41.72
42.47,43.40,43.41,42.30
42.77,42.07,42.78,41.56
42.56,41.59,42.70,41.47
41.39,40.80,41.61,40.48
40.74,41.02,41.33,40.50
41.54,41.94,42.15,41.45
41.89,43.39,43.47,41.39
43.11,43.43,43.62,42.36
42.93,42.22,42.96,41.75
42.62,42.99,43.11,42.20
42.57,42.52,43.18,42.25
42.29,42.56,42.67,41.68
42.07,41.99,42.57,41.70
42.76,42.83,43.22,42.66
42.88,43.99,44.03,42.83
43.75,45.64,45.85,43.31
45.76,45.49,45.76,45.04
46.15,45.11,46.25,44.97
44.29,43.86,44.53,43.21
43.96,42.44,44.10,41.27
42.51,42.36,42.68,42.01
42.57,42.28,43.00,42.23
42.27,41.87,42.43,41.73
41.76,41.99,42.68,41.53
42.00,42.26,42.37,41.63
42.18,42.71,42.73,42.18
42.91,43.53,43.57,42.56
43.74,44.20,44.60,43.62
44.38,44.70,44.75,44.23
44.53,44.56,44.86,44.38
44.41,44.77,44.92,44.25
44.91,45.05,45.33,44.58
45.10,44.81,45.33,44.69
44.82,44.97,45.35,44.62
44.96,44.98,45.35,44.67
45.63,45.62,45.86,45.21
46.03,44.80,46.23,44.50
44.27,44.77,45.00,44.20
44.35,44.74,45.00,44.31
45.04,45.87,45.90,44.84
45.67,46.46,46.61,45.15
47.09,47.67,48.17,47.03
48.26,47.84,48.26,47.21
47.71,48.16,48.18,47.13
48.05,48.42,48.44,47.70
47.76,47.99,48.38,47.55
48.04,47.64,48.19,47.28
47.08,45.85,47.29,45.58
46.23,45.62,46.24,45.25
45.13,46.72,46.76,45.13
46.64,46.54,47.71,46.13
46.75,47.90,48.07,46.70
47.83,47.92,48.15,47.34
47.93,47.66,48.26,47.49
47.74,49.87,50.02,47.74
48.81,49.18,50.00,48.75
49.01,49.12,49.65,48.86
49.02,49.67,49.82,48.80
49.61,49.06,50.17,48.78
49.30,49.03,49.98,48.99
48.98,49.63,49.94,48.80
49.35,47.84,49.49,47.64
47.60,48.88,48.96,47.60
48.78,48.78,49.40,48.51
48.83,49.17,49.36,48.72
49.07,48.73,49.31,48.21
48.97,49.18,49.32,48.65
49.28,48.69,49.73,48.33
48.60,48.31,48.60,47.81
48.52,48.66,49.32,48.14
48.69,52.25,53.34,48.69
52.90,52.09,53.93,51.90
52.45,54.28,54.46,51.50
55.07,54.30,55.49,53.68
51.79,50.34,52.74,50.12
50.14,49.86,50.47,49.27
50.26,50.58,50.75,49.46
50.54,50.58,51.05,49.64
50.66,50.16,51.25,49.50
50.25,49.02,50.30,48.92
48.77,49.55,49.74,48.75
48.77,47.14,48.77,46.73
46.94,48.50,48.83,46.18
48.46,49.92,50.23,48.25
48.18,50.14,50.85,48.05
50.12,52.05,52.96,50.12
52.97,53.81,54.30,52.34
54.30,52.33,54.47,51.99
53.24,52.78,53.81,52.28
52.91,53.61,53.75,52.45
53.56,53.67,53.96,52.98
54.04,55.00,55.11,53.09
55.17,56.72,56.83,54.39
56.66,55.08,57.25,54.98
55.03,55.95,56.20,54.23
56.64,57.55,59.23,56.45
57.90,58.46,58.76,57.48
58.98,58.05,59.43,57.75
58.28,58.53,58.65,58.05
58.33,58.85,59.03,58.18
59.25,57.36,59.64,57.04
57.16,57.76,58.09,56.68
58.00,57.33,58.60,56.88
57.52,56.36,58.03,55.88
55.71,54.03,55.81,53.71
54.60,53.83,55.24,53.29
53.41,52.79,53.48,52.22
53.16,53.25,53.67,52.36
52.47,52.57,53.06,51.80
52.60,52.57,53.14,51.90
53.20,52.95,53.56,52.61
53.91,54.21,54.38,53.10
54.23,53.11,54.23,52.85
53.17,53.21,53.90,52.90
53.48,53.90,54.01,51.51
53.58,54.92,55.39,52.96
54.74,56.45,56.64,54.60
56.88,56.35,57.53,55.94
55.94,54.39,55.99,54.06
54.60,53.46,54.61,53.03
52.77,52.08,53.65,51.51
52.64,52.01,53.96,50.92
52.28,53.81,54.06,52.28
53.88,54.37,54.62,52.97
54.17,51.83,54.17,51.28
51.61,52.13,52.80,50.68
52.19,52.06,52.54,51.10
51.81,51.60,53.04,51.35
51.40,51.79,52.10,51.14
51.98,52.35,53.50,51.98
52.48,52.45,53.10,51.56
52.43,54.24,54.42,51.42
53.16,53.35,54.47,52.99
53.65,53.54,54.78,53.23
53.42,55.01,55.54,53.41
55.00,55.59,55.65,54.17
55.81,55.51,56.81,55.09
56.55,55.92,56.67,54.41
55.81,53.43,56.00,53.21
53.51,53.97,54.33,52.58
53.15,54.43,55.28,52.77
54.19,52.48,54.48,52.40
53.18,52.96,53.93,52.55
53.06,53.85,54.55,53.06
54.15,54.04,54.57,53.70
53.69,52.78,54.15,52.74
52.99,51.30,53.18,50.55
51.87,52.15,52.57,51.60
51.60,51.48,52.42,50.81
51.60,52.12,52.72,51.33
52.60,52.01,52.89,51.60
51.71,52.18,52.55,51.52
52.55,53.47,53.86,52.55
53.26,53.62,54.67,53.05
52.69,52.76,52.85,51.33
52.72,52.28,52.75,51.91
51.69,52.06,52.21,51.26
52.57,53.82,53.85,52.38
54.20,54.92,55.50,53.85
55.22,55.50,56.00,55.13
55.50,56.40,56.47,54.74
56.45,56.55,57.10,56.02
56.81,56.77,57.50,56.00
57.44,57.08,58.30,56.37
55.95,56.15,56.50,55.48
55.37,53.88,55.37,53.55
53.67,54.88,55.78,53.35
54.86,56.00,56.78,54.86
56.18,55.10,56.18,54.79
57.90,61.78,61.99,57.64
61.40,61.00,61.60,59.44
61.98,63.52,63.96,61.98
63.83,62.95,63.89,62.32
63.48,63.05,64.33,62.76
62.98,64.43,64.63,62.96
63.55,63.79,64.42,63.12
64.22,64.59,65.34,63.37
63.65,64.30,65.29,63.65
64.30,65.30,66.45,64.30
64.45,65.16,66.18,64.00
66.07,66.33,66.61,65.38
65.82,64.58,67.33,64.51
64.89,64.40,65.00,62.42
62.90,59.48,62.98,59.22
60.75,57.13,61.17,54.84
55.17,51.90,55.36,51.56
53.13,56.50,56.75,51.66
55.48,55.28,57.98,54.79
56.01,59.89,60.73,55.18
60.84,60.04,61.92,59.30
60.91,62.52,62.55,60.68
61.48,62.38,64.82,61.20
62.99,62.72,64.21,62.03
60.40,58.05,60.46,57.34
56.33,57.45,59.76,56.33
59.08,56.50,59.47,55.87
56.85,59.20,59.21,55.95
58.90,60.38,60.51,58.14
60.71,58.31,61.97,58.08
57.76,59.76,59.89,56.99
60.95,62.78,62.88,60.70
62.35,65.30,65.82,62.02
65.69,64.76,66.71,64.27
65.24,65.16,66.61,65.00
63.12,63.62,64.61,62.12
62.20,63.89,64.08,60.66
65.02,66.00,66.09,64.67
65.63,65.39,66.92,64.84
64.31,62.80,64.80,61.96
61.38,62.80,63.15,60.75
63.12,63.37,63.71,61.60
63.37,62.25,63.60,61.35
63.29,63.27,64.14,62.35
63.23,63.44,63.74,62.38
61.66,65.83,70.45,60.11
65.52,64.89,67.10,64.11
64.75,67.96,77.24,64.22
65.21,66.10,73.09,64.51
65.40,58.53,65.60,57.77
58.97,60.00,60.53,56.92
61.54,63.41,65.40,61.54
63.97,59.31,64.79,59.05
61.15,59.88,61.80,57.23
58.47,58.46,60.41,57.56
57.56,55.72,57.96,55.56
55.02,56.72,57.10,52.21
56.80,60.18,60.80,55.37
59.68,60.71,61.97,58.80
61.12,59.98,61.44,59.08
61.13,63.30,63.87,61.04
62.44,62.93,63.83,62.07
63.33,62.92,64.88,62.82
62.52,68.44,69.35,61.28
69.01,72.46,72.49,67.40
71.73,72.94,74.05,71.61
73.41,74.40,74.93,71.37
72.23,71.28,74.02,70.53
71.21,72.63,73.00,70.40
73.36,73.98,74.43,72.13
74.74,74.00,74.74,73.00
74.28,70.37,74.28,70.27
73.46,70.02,73.46,66.61
71.64,71.15,72.49,68.35
70.13,73.25,73.50,70.13
71.79,68.84,71.82,68.84
66.46,68.72,69.62,66.46
70.66,70.15,70.89,68.71
71.00,71.25,72.22,69.76
70.47,71.98,72.39,69.93
71.42,70.96,72.86,69.61
71.41,71.12,71.41,69.35
69.00,67.67,69.46,67.42
69.00,71.19,71.57,68.28
72.04,72.92,73.00,71.43
72.37,70.80,72.37,70.15
70.52,71.25,71.71,69.89
70.83,70.33,72.67,70.11
69.87,68.50,72.72,67.88
68.93,69.76,70.25,68.48
68.48,67.67,68.60,65.72
67.67,66.97,68.24,66.13
65.86,64.55,66.72,64.51
64.25,63.90,65.00,63.65
66.25,66.88,67.41,66.22
67.64,68.58,69.51,67.30
71.41,71.71,73.74,71.35
71.33,71.43,73.00,70.13
72.17,70.53,72.35,70.26
71.49,70.63,72.13,69.70
70.54,70.74,71.28,69.53
70.71,68.04,70.71,67.24
67.74,67.95,69.39,67.38
68.20,68.13,68.53,67.55
67.42,64.92,67.42,64.17
65.18,61.95,66.04,61.56
60.82,59.76,61.03,58.92
60.75,59.71,60.75,58.91
60.28,60.20,61.45,59.41
60.11,59.45,61.14,59.15
60.70,62.51,62.76,60.68
62.14,62.45,62.61,60.75
62.92,63.49,63.95,62.12
63.54,62.62,63.82,62.31
62.43,63.11,63.72,62.43
63.02,61.81,63.36,61.40
62.13,62.49,62.85,61.79
62.62,61.94,63.28,61.55
63.73,61.18,63.97,61.08
61.16,61.19,61.57,60.29
60.94,61.39,62.01,60.15
61.65,60.74,61.97,60.59
60.60,58.65,60.86,58.41
59.33,58.02,59.68,56.71
57.33,54.36,57.33,53.61
54.37,54.36,55.86,53.22
53.35,54.16,54.83,53.29
54.44,54.53,54.95,52.34
54.47,56.37,56.52,54.13
56.35,54.06,56.64,53.44
54.66,54.02,54.85,53.29
55.97,59.00,59.26,55.97
58.25,57.20,58.49,56.73
57.02,59.86,60.12,56.16
59.89,55.92,60.05,55.58
55.58,57.43,57.66,55.58
56.72,57.76,58.06,56.34
58.32,57.52,58.55,56.58
57.84,58.53,59.06,56.81
58.56,58.38,60.14,58.17
59.09,59.20,59.39,58.32
59.09,60.81,60.98,58.25
60.76,62.23,62.49,59.73
61.98,61.68,62.75,60.96
62.06,63.35,63.93,61.96
61.64,62.82,63.23,61.58
63.51,63.29,63.66,62.33
63.34,63.25,63.64,62.56
63.69,63.11,64.25,62.64
63.15,63.37,63.84,62.45
64.42,65.72,65.92,64.21
66.21,64.27,66.63,63.81
66.09,66.10,68.50,65.33
66.15,66.07,66.45,64.78
66.11,65.94,66.95,65.74
65.02,64.10,65.12,63.93
64.08,63.72,64.29,63.00
63.86,63.68,64.19,62.66
63.70,64.60,64.94,62.71
64.18,62.75,64.53,62.38
62.68,63.48,63.70,62.30
62.26,62.56,62.77,61.50
62.55,63.35,63.46,61.51
63.74,64.29,64.70,63.51
64.30,63.51,64.96,63.02
63.50,62.05,63.50,61.93
62.44,62.02,62.70,61.08
62.00,60.84,62.50,60.52
60.90,60.59,62.33,60.09
60.93,62.31,62.56,60.90
62.39,63.46,64.00,62.03
62.72,62.46,62.76,61.91
62.48,62.45,62.71,61.82
61.45,58.90,61.45,58.54
58.91,59.03,59.29,58.20
59.43,59.27,59.55,58.73
59.15,58.57,59.42,58.45
58.38,57.54,58.38,57.03
56.99,56.96,57.47,56.11
57.34,58.14,58.38,57.21
57.78,58.73,59.37,57.52
58.49,58.16,58.74,57.49
57.48,57.61,58.10,57.12
57.72,57.65,59.12,57.29
56.59,56.49,57.17,55.96
56.48,56.79,58.00,56.20
57.42,55.02,57.43,55.00
55.02,56.30,56.50,54.86
56.91,55.86,57.22,55.59
56.21,55.25,56.49,54.95
55.63,56.58,56.86,55.48
56.27,56.69,57.21,56.22
56.42,58.58,59.34,56.23
59.19,57.69,59.45,57.64
56.76,58.07,59.20,56.50
58.41,58.54,58.93,57.67
59.04,60.16,60.36,58.81
60.36,62.64,63.40,59.01
62.82,63.91,64.20,61.35
63.93,66.66,66.69,63.51
66.94,68.34,68.87,66.15
67.44,65.12,67.80,64.74
65.30,64.67,65.97,64.21
64.12,63.68,64.55,63.45
63.53,63.56,64.23,63.02
63.25,64.90,65.14,62.61
63.76,67.83,68.24,63.60
68.18,67.22,69.18,66.45
66.38,67.04,68.45,66.27
65.89,66.06,66.59,65.29
66.13,64.12,66.68,63.67
64.34,64.28,65.82,64.04
64.29,62.56,64.98,62.47
63.09,61.46,63.25,61.00
61.46,63.12,63.64,61.24
63.40,63.83,65.67,63.21
63.36,64.35,64.48,62.11
64.75,62.17,64.75,61.32
62.12,61.01,62.70,60.57
61.65,60.85,62.35,60.10
60.22,58.68,60.22,57.95
58.68,57.44,58.78,55.95
55.93,54.57,56.31,54.37
54.91,54.63,55.35,53.09
53.91,55.74,56.15,53.55
56.68,58.59,58.84,56.56
59.20,56.65,59.74,56.45
55.88,56.60,56.80,55.19
57.33,55.42,57.43,55.35
55.94,56.18,56.54,55.12
55.81,55.25,56.81,54.92
55.46,57.23,57.41,54.88
57.26,57.01,57.76,56.80
56.60,58.75,59.30,56.23
59.55,60.25,61.04,58.64
60.46,59.33,60.87,58.79
59.52,56.92,59.53,56.81
57.49,59.23,59.59,56.93
58.85,58.09,59.20,57.49
58.11,59.69,60.30,57.82
60.72,62.63,63.14,60.40
62.33,61.37,63.20,60.29
62.80,61.87,63.19,59.30
61.48,60.89,61.61,59.47
61.55,62.69,62.74,61.42
62.57,61.63,62.64,61.32
60.62,60.80,62.04,60.21
60.69,61.59,61.82,60.30
62.06,59.75,62.38,59.44
59.82,58.76,60.08,58.05
57.78,57.50,57.92,56.50
58.35,58.95,59.09,57.79
58.59,60.06,60.41,58.45
60.23,62.50,63.14,59.30
62.50,62.79,63.19,61.91
62.91,61.60,63.07,61.31
61.23,61.96,62.02,60.89
60.51,61.50,61.73,59.75
61.44,60.63,61.87,59.98
60.25,60.53,62.70,58.88
62.02,61.17,62.46,58.76
61.35,62.69,63.08,60.89
62.83,64.29,65.68,62.63
64.04,62.60,64.80,62.43
62.80,63.56,63.69,61.75
62.72,61.16,62.81,60.05
62.51,63.18,63.75,61.74
63.25,63.15,64.04,62.96
63.64,65.21,66.37,63.26
64.96,65.12,65.48,64.38
64.60,66.14,67.35,64.41
65.45,66.13,66.22,64.24
65.80,66.60,67.84,65.58
66.72,66.22,67.12,64.90
66.37,66.63,67.00,65.74
67.27,68.91,69.68,67.18
68.99,69.66,69.80,68.64
69.57,67.95,70.00,67.74
68.58,67.13,69.21,66.80
67.08,67.00,67.30,66.14
66.92,65.66,66.97,65.59
65.71,66.27,66.44,65.50
66.38,66.27,67.39,65.70
66.14,65.91,66.88,65.04
66.05,65.42,66.05,65.25
65.13,64.55,65.23,64.38
65.11,65.19,65.60,64.20
65.00,65.41,65.78,64.25
65.44,65.28,65.58,64.88
66.02,65.84,66.67,65.24
66.17,67.41,67.48,65.84
67.70,67.75,68.64,67.24
68.42,70.57,71.47,68.42
70.82,70.75,72.48,70.00
70.59,70.70,71.63,69.41
71.19,70.10,71.69,69.19
69.92,69.44,70.64,69.01
69.43,68.97,69.83,68.52
69.04,68.97,69.66,68.24
68.37,69.22,69.53,67.80
69.82,69.56,70.30,69.21
68.60,68.12,68.96,67.91
68.54,67.08,68.54,67.02
66.87,67.75,68.49,66.20
68.54,70.08,70.76,68.50
69.60,69.87,70.23,68.36
70.71,70.40,71.29,70.13
70.81,70.01,70.96,69.22
69.68,68.97,69.68,68.39
69.56,70.57,70.67,69.27
70.79,69.03,70.80,68.53
68.39,70.23,70.34,68.30
70.29,69.85,70.59,69.59
69.71,70.26,70.58,69.16
71.11,73.28,73.41,70.68
73.13,71.73,73.94,71.65
71.01,70.68,72.16,69.50
71.22,71.20,71.86,70.41
71.52,70.57,71.76,70.20
70.35,70.50,70.96,69.92
70.38,68.83,70.56,68.25
68.85,68.78,69.47,68.20
67.95,67.80,68.23,66.74
68.05,66.70,68.42,66.43
66.97,66.45,67.39,64.14
66.00,66.10,66.79,65.47
66.35,65.36,66.35,64.90
65.41,65.47,65.99,64.33
65.52,65.10,66.37,64.70
64.93,66.54,66.79,64.42
66.78,67.07,68.00,66.54
66.24,66.25,66.83,65.45
66.22,65.75,67.41,65.73
65.69,66.30,67.25,65.12
66.30,66.61,66.74,65.91
66.03,68.01,69.09,66.01
67.97,67.61,68.36,66.87
67.31,67.33,68.08,66.45
67.46,67.09,67.49,65.70
68.04,67.70,68.13,67.12
67.57,68.15,68.15,67.11
68.10,68.79,68.85,67.85
68.94,69.73,69.74,68.67
69.00,67.54,69.33,67.08
67.50,66.82,67.70,66.73
66.00,67.43,67.48,65.34
67.75,65.67,68.84,65.58
65.79,64.02,65.83,63.95
64.74,64.03,64.78,63.38
63.95,63.21,64.28,62.64
63.72,64.61,65.18,63.61
64.60,64.58,65.00,63.95
64.85,64.68,65.11,64.39
64.64,63.74,65.00,63.54
64.02,64.71,64.88,63.55
64.84,65.84,66.24,64.58
65.58,63.56,65.85,63.47
63.13,62.12,63.56,61.72
62.50,63.52,63.71,62.27
63.57,64.47,64.85,63.42
64.30,63.32,64.35,63.22
63.47,63.38,64.14,62.99
62.83,63.72,63.76,62.71
63.17,63.34,63.54,62.67
63.65,62.85,64.23,62.67
62.98,62.97,63.13,62.11
62.51,62.02,62.69,61.95
61.84,62.83,62.93,61.03
63.65,62.05,63.65,61.25
61.97,63.40,63.92,61.63
63.63,65.14,65.19,63.44
65.11,65.21,65.61,64.43
65.02,64.17,65.10,63.39
64.28,63.56,65.08,63.04
63.72,63.83,64.60,63.23
63.38,64.39,64.40,63.19
64.41,64.76,65.36,64.20
64.62,65.93,65.97,64.42
66.70,66.89,67.58,65.55
67.02,67.46,68.05,66.84
67.71,68.27,68.27,67.04
68.25,68.56,68.80,67.07
68.40,67.99,68.77,67.40
68.14,68.51,69.40,68.14
68.54,68.70,69.19,68.34
68.42,67.35,68.43,67.00
67.47,68.03,68.34,67.05
68.36,68.49,69.10,67.73
68.15,67.17,69.13,66.02
67.71,67.77,67.98,67.03
67.27,67.35,68.00,67.04
67.62,69.51,69.55,67.40
68.94,70.75,71.67,68.94
70.80,71.00,71.32,70.19
71.62,72.15,72.26,71.35
72.14,70.68,72.15,70.49
71.48,71.03,71.48,70.08
71.03,71.31,71.43,70.84
71.12,71.73,72.12,70.78
71.49,70.36,71.56,69.94
70.79,72.49,72.60,70.35
72.24,70.25,72.39,70.19
70.22,70.15,70.56,68.97
70.48,71.71,71.97,70.45
72.10,70.47,72.73,70.47
70.96,71.36,71.89,70.30
71.37,74.21,74.65,71.37
74.21,76.80,77.18,73.92
76.36,77.39,78.22,75.67
77.32,77.25,78.25,76.71
78.09,78.53,79.51,77.79
78.61,77.63,79.08,77.50
77.82,78.84,79.50,77.47
79.70,78.84,79.75,78.45
78.76,79.32,79.54,77.81
79.22,79.30,79.52,78.46
79.63,79.75,79.95,79.01
79.91,82.07,82.16,79.64
82.13,82.00,83.15,81.46
81.14,82.20,82.78,81.14
82.28,80.61,82.77,79.88
81.07,80.86,81.33,79.85
81.48,81.74,82.27,80.45
82.04,80.76,82.45,80.25
81.09,81.16,81.96,80.64
81.40,82.46,82.76,81.08
82.00,82.08,82.18,81.02
82.00,81.04,82.19,80.54
80.11,80.34,81.00,79.30
80.46,79.10,80.58,78.80
79.32,76.49,79.78,75.98
76.52,76.51,76.90,75.66
76.11,79.12,79.34,75.77
79.25,80.64,80.64,79.15
80.48,80.09,80.91,79.21
80.26,79.86,80.60,79.60
80.50,80.29,81.02,79.65
80.05,78.91,80.25,78.47
77.87,73.99,77.87,73.98
75.50,74.92,75.73,73.28
73.97,71.78,74.45,71.45
72.06,74.55,75.09,71.14
74.85,75.55,75.75,73.90
75.30,75.32,75.65,74.07
75.60,75.83,75.91,74.65
75.72,75.19,76.54,74.54
75.77,77.46,78.69,75.69
76.58,74.00,76.72,73.07
74.71,74.17,75.71,73.64
74.13,73.52,74.13,72.67
73.15,71.85,73.15,71.57
72.05,72.49,73.10,71.43
72.83,74.43,74.80,72.33
74.00,74.16,74.89,73.87
74.34,75.40,76.21,74.02
75.57,74.32,75.57,73.33
74.32,75.96,76.50,74.09
75.76,76.18,76.34,74.86
75.72,75.29,77.05,75.03
75.42,75.96,76.41,75.04
75.69,75.73,76.34,74.95
75.46,74.86,76.05,74.71
75.23,76.50,76.82,74.93
76.10,77.38,77.64,75.28
77.59,78.61,79.13,77.57
78.49,77.26,79.50,76.70
76.21,78.03,78.21,75.75
77.53,77.07,77.87,76.68
78.42,77.62,78.66,77.00
77.12,76.80,78.01,76.64
76.75,76.22,77.19,76.03
76.16,75.18,76.77,75.17
75.29,74.62,75.93,73.99
74.93,74.39,75.72,73.55
74.30,73.16,74.43,73.13
73.25,74.22,74.24,72.77
74.66,76.16,76.37,74.48
76.27,76.29,76.95,75.89
75.54,74.71,75.68,74.00
75.11,73.49,75.34,73.21
73.24,74.79,74.85,72.79
74.82,73.37,75.39,73.08
74.17,77.37,77.62,74.17
77.46,79.46,80.05,77.22
79.17,79.24,80.24,78.89
