MBCN,Middlefield Banc Corp. - Common Stock,NASDAQ
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
17.65,17.57,17.65,17.50
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.26,17.00,17.26,17.00
17.00,17.00,17.05,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.50,17.50,17.50,17.50
17.40,17.40,17.40,17.40
17.60,17.60,17.60,17.60
17.60,17.60,17.60,17.60
17.60,17.60,17.60,17.60
17.60,17.60,17.60,17.60
17.60,17.60,17.60,17.60
17.75,17.25,17.75,17.25
17.25,17.25,17.25,17.25
17.25,17.25,17.25,17.25
17.25,17.25,17.25,17.25
17.75,17.75,17.75,17.75
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.75,18.00,18.00,17.75
18.00,18.00,18.00,18.00
17.50,17.20,17.50,17.20
17.20,17.20,17.20,17.20
17.55,17.55,17.55,17.55
17.55,17.55,17.55,17.55
17.55,17.55,17.55,17.55
17.55,17.55,17.55,17.55
17.55,17.55,17.55,17.55
17.55,17.55,17.55,17.55
17.75,18.00,18.00,17.75
18.00,18.00,18.00,18.00
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
17.75,17.75,17.75,17.75
17.75,17.75,17.75,17.75
17.75,17.30,17.75,17.30
17.50,17.50,17.50,17.50
17.30,17.25,17.30,17.25
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
18.00,18.00,18.00,17.30
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.25,18.37,18.37,18.25
18.37,18.37,18.37,18.37
17.30,17.30,17.30,17.30
17.30,17.30,17.30,17.30
17.30,17.30,17.30,17.30
17.95,17.95,17.95,17.95
17.95,17.95,17.95,17.95
17.30,17.16,17.30,17.00
17.20,17.40,17.40,17.20
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
17.95,18.00,18.00,17.95
18.00,18.00,18.00,18.00
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
18.00,18.00,18.00,18.00
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.55,17.50,17.55,17.50
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.25,17.25,17.25,17.25
16.75,16.75,16.75,16.75
17.25,17.25,17.25,17.25
17.00,17.00,17.25,16.61
17.00,17.00,17.00,17.00
16.65,16.60,16.65,16.60
16.60,16.60,16.60,16.60
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.60,16.50,16.60,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
