CAT,Caterpillar,NASDAQ
66.70,66.19,67.25,66.16
66.37,67.28,67.37,66.20
67.16,68.22,68.71,67.16
68.05,66.88,68.23,66.34
66.60,66.99,67.70,65.77
67.71,67.50,68.30,67.40
67.74,67.75,67.92,66.70
66.67,67.51,67.65,65.97
67.20,68.78,68.95,66.99
70.88,71.65,72.83,70.65
71.25,68.53,71.58,68.28
69.43,68.97,70.27,68.60
69.96,70.75,70.76,69.62
70.99,68.09,71.36,67.82
68.37,69.94,70.16,68.09
68.56,66.70,68.56,66.25
65.86,65.96,67.44,64.08
65.85,63.50,66.94,58.00
63.05,62.10,64.45,60.64
65.88,66.69,67.00,65.19
65.18,66.07,66.98,65.00
66.66,68.15,68.30,66.60
68.15,66.91,68.40,66.67
65.96,64.88,66.19,63.91
65.01,63.78,65.74,61.99
64.91,63.19,65.53,62.85
62.94,61.44,63.17,59.28
59.07,58.67,60.41,58.00
57.30,60.09,60.50,57.20
60.06,59.22,61.11,59.09
56.35,59.21,59.36,55.74
59.63,59.73,61.40,59.25
61.36,62.06,62.12,60.82
62.42,60.76,62.42,60.05
60.04,59.27,61.64,59.22
59.90,60.86,60.90,59.28
62.29,61.11,62.36,60.42
59.49,57.76,60.20,57.36
58.01,55.83,58.28,55.80
56.01,56.61,57.18,54.89
57.49,56.81,58.85,56.59
58.31,59.95,60.00,58.00
59.22,60.23,60.24,58.99
61.42,61.00,62.56,60.88
61.80,63.46,63.56,61.50
62.91,64.39,64.52,62.73
64.63,64.95,64.99,63.67
65.13,65.85,65.90,64.57
67.56,66.07,68.35,65.55
66.30,64.11,66.48,63.88
64.06,64.33,64.87,62.64
63.81,63.37,64.45,63.05
63.54,64.71,64.71,62.92
64.45,64.40,65.30,64.01
62.74,60.85,62.86,60.25
61.02,60.07,61.94,59.91
59.67,59.97,60.70,58.06
60.30,59.18,60.66,58.62
60.60,59.81,61.65,59.21
59.85,62.18,62.27,59.67
63.08,63.17,63.35,62.18
63.12,64.72,64.84,63.00
64.50,64.28,65.10,63.87
65.88,66.79,67.36,65.31
66.35,66.70,66.91,65.52
66.38,66.51,66.59,65.36
65.76,63.94,65.79,63.75
64.36,64.80,65.23,63.56
63.56,66.43,66.77,63.56
66.99,66.87,68.05,66.19
67.41,68.00,68.62,66.46
67.50,69.31,69.64,67.33
69.41,69.99,70.08,69.08
70.18,69.18,70.18,68.08
68.70,69.72,69.85,68.70
69.84,69.40,70.29,68.21
68.39,69.75,70.25,68.39
70.74,71.05,71.70,70.07
70.57,70.37,71.03,69.88
70.28,71.12,71.47,70.28
70.82,71.96,72.25,70.81
71.01,71.56,71.93,70.30
72.06,72.07,72.18,71.42
70.88,71.42,71.99,70.58
70.01,68.71,70.16,68.35
67.50,67.50,68.00,66.78
67.74,68.01,68.46,67.21
67.62,68.49,68.98,67.06
69.44,69.74,70.76,69.30
69.82,69.75,70.44,69.06
69.87,69.29,70.50,68.42
69.40,68.86,69.54,67.46
68.70,66.84,69.75,66.72
65.59,65.04,65.84,64.31
64.29,64.70,64.98,63.34
64.83,63.95,65.82,63.77
64.76,65.90,66.15,63.36
66.14,64.47,66.16,64.46
64.14,65.16,65.85,63.92
67.05,68.16,68.54,66.35
68.35,68.54,68.78,67.75
69.95,70.08,70.59,69.54
69.78,69.70,70.05,68.80
69.98,70.74,71.48,69.95
71.56,70.64,71.83,70.01
70.93,71.26,71.56,70.37
71.96,72.24,72.48,71.70
72.28,71.83,72.37,71.57
71.38,72.13,72.27,70.80
71.92,72.00,72.35,71.28
72.22,73.18,73.31,71.09
73.26,74.75,74.80,72.88
74.79,76.39,77.11,74.72
76.25,76.18,76.50,75.50
75.42,76.26,77.50,75.00
77.80,79.73,79.93,77.62
79.70,79.54,79.98,78.90
79.44,79.67,79.94,78.43
79.60,79.99,80.00,79.42
80.04,78.68,80.08,78.21
78.29,78.22,78.88,77.53
78.02,77.27,78.26,76.51
78.48,79.40,79.76,78.20
79.60,79.08,79.90,78.48
79.46,78.74,79.79,77.85
79.41,80.37,81.00,78.93
80.03,79.98,80.75,79.51
79.75,79.34,79.75,78.30
80.36,80.29,81.19,80.08
80.49,79.91,80.83,79.27
80.28,79.75,80.47,79.00
79.95,80.24,80.51,79.66
78.97,78.55,79.71,77.77
78.90,80.32,80.78,78.81
80.99,78.89,81.20,77.51
78.76,78.33,78.91,77.86
78.71,79.05,80.00,78.50
78.11,78.65,79.06,77.87
78.20,78.22,78.41,77.12
78.87,77.74,79.00,76.78
77.61,78.60,78.75,77.58
78.97,79.27,80.18,78.51
79.99,79.75,80.43,79.52
79.82,79.88,79.95,78.55
80.82,83.18,83.28,80.76
83.25,83.54,83.84,82.93
83.25,83.12,83.55,82.40
83.20,81.91,83.47,81.41
82.16,82.46,82.84,81.30
81.73,82.44,82.66,81.52
81.84,81.04,82.53,80.04
79.89,81.82,83.58,79.80
81.88,80.37,82.18,79.70
80.56,81.17,81.45,80.01
82.50,83.11,83.43,82.27
83.09,83.97,83.98,82.51
83.88,84.00,84.35,82.79
83.28,82.63,83.38,82.01
83.25,84.69,84.79,83.25
83.83,84.13,84.25,83.45
83.71,83.67,83.89,82.55
82.83,84.60,84.92,82.76
85.03,87.45,87.80,85.00
87.45,88.62,88.89,87.45
88.36,89.38,89.49,87.83
89.28,89.20,89.68,88.57
89.95,90.35,92.00,89.95
90.26,89.62,90.90,89.29
90.13,89.67,90.24,89.02
89.79,89.94,90.16,89.39
90.65,91.63,92.37,90.20
92.19,92.09,92.91,91.51
92.75,93.12,94.33,92.66
93.19,93.20,93.65,92.54
93.40,92.59,93.41,92.25
93.37,93.30,93.55,92.53
93.70,94.63,94.89,93.24
94.78,94.57,94.78,94.11
94.29,94.45,94.74,94.00
93.85,94.07,94.20,93.21
94.28,93.69,94.42,93.07
93.75,93.78,94.22,93.50
93.56,93.87,94.14,93.52
93.83,93.66,93.90,93.31
94.38,94.15,94.81,94.11
94.64,93.71,94.64,92.30
93.27,94.52,94.69,92.99
94.71,93.54,94.71,93.30
93.86,93.73,94.73,92.80
93.21,93.39,93.97,92.51
94.08,93.95,94.70,93.25
94.59,93.49,94.62,93.43
94.09,94.14,94.53,93.70
93.94,94.01,94.26,93.11
94.16,96.23,96.47,93.94
96.34,95.54,96.80,95.15
94.90,93.61,95.28,93.31
94.75,92.75,95.00,92.37
92.71,94.57,94.69,92.51
94.39,94.39,94.65,92.97
94.93,95.75,96.16,94.40
97.10,96.63,97.79,95.52
97.01,95.68,97.20,94.90
96.13,97.01,97.20,95.85
97.35,98.01,98.06,96.50
97.74,99.09,99.27,97.68
99.24,98.93,99.24,98.15
99.01,99.59,99.72,98.70
99.62,100.47,100.81,99.49
100.57,100.61,100.70,99.31
100.11,99.79,100.44,99.19
99.28,100.60,100.76,98.75
100.29,103.54,103.55,100.20
103.56,103.26,103.64,102.80
102.96,103.00,103.11,102.01
103.90,103.55,104.41,102.91
103.32,103.36,103.76,102.96
103.86,105.86,105.86,103.45
104.86,102.01,105.30,101.53
101.91,100.02,102.13,98.04
99.93,100.57,101.91,98.77
101.45,102.00,102.64,101.14
102.72,102.93,103.36,101.53
103.37,99.86,103.64,99.35
99.85,100.97,102.12,99.43
101.94,104.25,104.43,101.92
104.01,103.04,104.20,102.02
103.42,102.13,104.20,101.05
101.89,104.13,104.45,101.18
103.59,102.36,103.59,101.80
100.55,98.39,100.75,98.10
97.74,100.02,100.50,97.01
102.59,102.10,102.59,100.38
99.02,100.75,101.38,98.55
101.70,100.40,102.61,99.04
101.89,103.12,103.31,101.28
104.99,105.06,105.64,104.66
106.90,107.59,107.68,106.62
107.06,106.79,107.48,106.03
106.08,106.76,107.70,105.64
107.90,108.37,108.90,106.95
108.75,109.09,110.15,108.70
109.54,109.40,110.49,109.39
109.64,110.54,110.79,108.61
111.71,111.53,111.72,110.55
110.82,111.35,111.98,110.82
112.09,113.12,113.59,111.80
113.75,113.38,113.93,112.53
112.97,112.31,113.16,111.91
112.85,111.00,113.30,110.86
110.72,109.85,110.90,109.08
110.54,109.82,111.00,108.88
110.02,109.07,110.30,108.32
108.61,106.57,109.02,106.34
107.76,107.63,107.97,106.38
106.82,107.58,107.77,105.35
108.08,107.21,108.11,106.80
105.58,103.90,105.74,102.16
105.18,106.10,106.42,104.64
107.94,108.28,108.50,107.36
109.00,109.42,109.50,108.41
109.24,108.85,109.48,107.95
110.15,111.94,112.20,109.85
112.66,112.61,112.70,109.75
112.28,112.64,112.70,111.35
115.40,115.41,116.25,114.53
116.24,114.37,116.55,113.92
114.12,113.27,114.38,112.74
113.22,110.77,113.91,109.94
110.08,109.39,111.46,108.39
111.52,110.34,112.71,110.17
110.80,111.66,112.48,110.37
112.76,112.87,112.97,111.86
112.34,109.98,112.35,109.00
109.20,108.63,109.61,107.00
109.47,106.33,109.60,106.02
105.87,106.09,108.27,105.07
105.08,102.08,105.23,101.47
102.85,105.25,105.50,101.78
106.61,105.30,106.87,104.91
105.24,104.33,105.50,103.60
101.31,101.89,102.51,100.37
102.37,101.55,102.95,101.07
101.03,103.25,103.93,100.78
103.07,104.19,104.68,102.03
104.72,104.60,105.36,104.27
106.41,105.80,106.60,104.31
104.97,101.24,105.48,101.00
101.82,102.19,103.72,101.31
100.49,101.10,102.49,99.15
100.25,99.86,101.61,99.47
101.24,99.88,101.35,99.81
99.21,98.04,99.86,97.77
98.29,99.26,99.71,98.22
98.80,96.79,98.90,96.42
96.93,95.44,97.53,94.72
96.85,97.86,98.45,96.13
96.58,95.65,97.36,95.51
95.39,95.46,96.86,94.21
96.46,95.95,96.94,95.31
96.49,98.18,98.37,96.05
99.42,101.39,101.96,99.06
101.17,100.15,102.50,100.07
97.90,100.55,100.65,96.95
101.05,100.01,101.10,99.44
99.96,100.80,101.50,99.07
101.44,103.84,104.07,101.40
104.45,103.36,104.49,102.40
103.36,106.46,106.93,103.32
106.15,108.62,109.17,105.75
107.92,108.43,108.78,107.34
108.11,110.08,110.12,108.08
111.57,111.63,112.65,111.25
108.52,110.41,110.41,107.80
108.41,108.16,109.48,107.25
107.63,106.93,108.46,106.67
108.48,108.64,110.42,108.34
108.83,107.58,110.50,107.00
108.77,109.36,109.36,107.14
108.46,107.80,108.47,106.16
108.89,109.64,109.97,108.20
110.71,110.31,110.98,109.61
111.05,111.60,112.43,110.12
104.62,105.15,106.48,103.00
104.16,105.66,106.30,103.80
105.91,105.20,106.00,104.70
104.43,101.34,104.61,101.00
101.51,99.64,102.09,99.45
98.32,98.79,99.97,97.28
102.43,100.72,102.82,98.80
99.55,97.18,101.55,97.12
97.92,96.28,98.29,93.54
94.40,89.55,94.71,89.50
92.13,90.99,92.50,86.48
86.23,82.60,88.16,82.25
85.40,87.48,87.60,80.84
86.72,83.51,87.20,83.39
85.14,87.25,88.79,83.94
91.06,89.81,91.30,88.81
91.45,91.37,92.80,90.68
90.02,89.35,90.37,88.52
90.11,87.64,90.80,87.15
84.45,83.33,84.80,81.50
81.92,79.97,85.00,79.82
82.94,79.89,83.04,79.56
80.54,82.98,83.00,79.80
83.24,85.40,85.72,82.20
86.24,83.25,86.86,82.80
82.19,85.16,85.91,81.05
87.11,88.15,88.55,86.35
88.00,89.83,90.87,87.36
91.75,91.00,93.82,89.89
91.19,88.55,92.83,88.28
85.25,85.38,86.70,84.37
82.24,85.70,86.02,82.11
87.80,88.69,88.71,86.42
87.32,87.04,88.98,86.40
86.03,83.96,86.25,83.14
81.93,83.87,84.14,81.25
83.85,85.02,86.25,83.38
85.61,85.45,86.96,82.53
86.65,86.60,87.69,85.77
87.46,85.90,87.46,85.21
83.92,84.60,85.16,82.33
85.64,83.66,85.77,83.50
83.11,79.36,83.39,79.29
76.29,73.90,76.56,72.60
73.44,73.86,75.50,73.02
74.71,76.85,77.00,73.24
79.25,77.67,79.85,77.12
78.13,75.08,79.15,74.88
76.89,75.39,77.28,73.20
73.46,73.84,75.89,73.23
72.78,70.55,73.59,70.50
68.75,72.54,72.76,67.54
72.84,74.26,74.61,71.49
74.57,77.09,77.19,73.60
77.77,75.52,77.79,74.70
77.27,79.13,79.75,77.20
78.08,80.66,81.14,77.95
82.01,81.70,82.80,81.06
81.22,81.44,81.91,80.34
82.85,84.09,84.23,82.39
84.83,81.52,85.38,81.33
81.45,84.72,85.57,80.76
84.67,83.56,85.42,83.07
83.90,84.26,85.00,82.50
85.42,87.39,87.50,85.30
91.76,91.77,92.90,90.80
91.36,89.89,92.49,89.02
91.82,91.57,92.25,90.02
95.00,96.27,97.72,94.61
95.70,96.85,97.95,95.65
95.04,94.46,95.63,93.85
90.00,91.63,93.00,89.00
93.03,93.94,94.24,92.20
95.46,96.00,96.35,93.87
95.30,95.74,95.99,93.80
95.60,95.00,96.25,93.39
95.96,95.89,96.00,93.94
93.50,91.64,93.98,91.15
92.98,92.20,93.40,91.20
93.57,96.13,96.20,93.37
97.47,96.53,98.07,95.88
96.21,97.07,97.74,95.80
96.24,95.75,98.20,95.60
95.70,93.81,96.06,92.80
94.54,93.93,94.79,93.15
92.07,91.12,92.10,89.47
90.80,89.99,91.22,88.58
89.39,87.76,89.60,87.43
87.30,86.72,88.40,86.63
90.35,91.48,91.89,89.99
91.64,90.54,91.82,90.45
94.65,97.88,97.91,94.65
97.23,96.82,98.00,95.76
97.75,96.29,98.00,96.01
97.73,96.85,97.97,96.33
96.62,95.96,96.93,94.88
94.98,94.89,95.28,93.80
94.34,92.92,95.53,92.60
93.63,95.97,96.29,93.44
94.36,93.24,94.50,92.31
94.04,90.98,94.68,90.10
89.59,87.00,89.80,86.29
88.79,87.70,88.88,87.09
88.82,87.20,89.51,87.20
88.09,87.25,89.72,86.94
89.26,91.73,91.90,89.23
91.78,91.63,92.01,89.90
92.03,91.81,92.50,91.02
92.20,92.25,92.42,91.65
91.70,91.55,92.38,91.51
91.76,89.37,91.80,89.17
89.46,90.58,90.86,89.46
90.72,90.60,91.42,90.40
92.77,93.98,95.10,92.77
93.41,94.85,95.51,93.41
94.84,95.52,96.16,93.90
96.03,95.76,96.20,95.32
96.09,97.10,97.41,96.00
98.45,99.96,99.98,98.28
99.83,99.64,100.45,99.40
99.99,101.94,102.04,98.66
100.72,102.48,102.70,100.55
103.82,103.37,104.80,103.32
102.66,104.26,104.50,102.50
104.65,105.75,105.76,103.63
105.35,105.64,105.92,104.84
105.91,106.37,107.24,105.64
105.43,106.29,106.80,105.15
106.00,109.05,109.28,105.99
112.21,111.31,114.00,110.53
110.53,111.28,111.98,109.67
110.02,110.41,110.75,104.45
111.29,109.12,112.00,108.71
110.75,110.52,111.39,109.94
110.80,110.33,111.02,109.86
112.17,113.94,114.65,111.90
113.24,113.78,114.25,112.80
113.05,113.81,114.10,112.49
113.82,114.04,114.33,113.22
114.39,112.83,114.64,112.59
111.01,111.75,111.78,110.33
112.70,113.70,113.86,111.68
113.32,114.45,114.48,113.21
114.49,112.53,114.70,111.94
112.72,113.96,114.05,112.39
114.38,113.95,114.50,113.03
114.50,115.00,116.44,114.39
114.76,115.81,116.45,114.50
115.88,116.20,116.45,115.00
116.29,116.00,116.95,115.67
114.84,115.63,116.50,114.55
115.81,115.76,116.22,115.20
116.13,114.21,116.40,113.68
114.67,113.39,115.38,113.01
113.16,112.49,113.94,111.80
111.55,110.09,111.90,109.52
106.57,105.93,107.16,105.20
106.66,108.28,108.62,106.32
109.59,110.28,110.56,108.66
110.88,110.22,111.09,109.80
110.11,108.94,110.95,108.68
109.73,113.30,113.38,109.31
113.21,112.27,113.45,111.26
112.88,113.45,113.48,111.39
114.02,113.58,114.25,113.04
113.50,113.73,114.09,112.78
111.99,110.76,112.00,110.51
110.85,109.00,111.35,109.00
107.28,106.43,107.94,105.70
106.59,107.83,108.61,103.13
108.80,108.75,109.70,108.12
108.68,108.06,109.57,107.88
107.96,104.26,107.97,103.55
103.62,106.02,106.27,103.48
106.70,106.52,106.93,105.58
105.99,107.25,107.94,105.04
107.64,106.21,108.09,105.82
104.77,106.26,106.84,104.34
105.71,105.87,107.14,105.41
103.57,103.57,104.29,102.80
103.54,100.43,103.66,99.80
101.77,101.75,102.50,100.50
102.17,106.44,106.50,102.13
106.16,105.89,106.92,105.24
107.92,106.74,108.96,106.16
107.90,108.41,109.20,106.72
107.65,109.21,109.73,107.65
109.21,107.36,109.77,106.37
107.77,107.73,108.62,107.61
106.33,106.90,107.04,105.12
107.25,108.40,108.79,107.10
106.85,103.44,107.11,102.30
103.97,104.39,104.55,103.00
104.99,104.56,105.05,104.11
103.99,102.77,104.12,102.55
102.81,102.11,103.50,101.74
101.58,102.63,102.72,100.65
102.90,100.67,103.38,100.50
100.00,98.44,100.13,98.00
97.67,97.19,98.20,97.03
96.84,96.49,96.95,93.92
94.84,95.99,97.30,94.08
97.15,95.44,97.39,95.18
94.50,95.50,96.69,94.30
94.33,93.60,94.77,93.45
93.85,92.68,94.66,92.29
93.43,91.86,94.08,91.71
91.02,87.80,91.64,87.60
88.26,88.68,89.81,88.02
89.53,91.98,92.30,89.32
92.76,91.49,92.98,90.89
90.51,92.47,92.79,89.86
92.95,91.42,92.96,90.17
91.39,89.94,91.67,89.63
91.20,92.52,93.93,90.89
90.99,90.18,91.00,89.50
88.42,87.62,88.50,86.01
85.08,85.52,86.80,84.72
85.94,83.26,85.95,82.73
83.02,83.65,84.80,83.02
84.72,86.66,86.66,84.52
88.82,87.14,89.87,86.92
86.83,87.60,87.67,85.33
89.20,85.19,89.46,85.09
85.82,87.05,87.05,84.76
86.25,85.29,87.00,84.68
85.31,85.89,86.25,84.50
86.40,86.93,86.95,85.69
86.35,86.74,87.09,85.67
87.57,88.84,89.79,87.20
88.14,87.17,88.72,86.50
87.09,84.98,87.45,84.84
85.50,84.96,86.05,84.85
83.95,82.89,83.98,82.12
83.31,82.73,83.52,81.80
82.63,82.25,82.87,81.71
81.66,82.63,82.70,80.96
84.32,84.91,84.94,83.81
85.35,83.68,85.48,83.04
83.90,86.46,86.70,83.88
86.63,86.79,87.56,85.63
85.25,84.61,85.25,83.83
83.94,83.14,84.35,82.96
83.56,80.27,84.30,79.12
80.52,79.74,80.74,79.25
78.98,79.64,80.33,78.25
79.95,82.07,82.14,79.55
81.85,81.15,81.85,80.20
81.89,81.91,82.29,79.95
80.53,82.52,83.35,80.09
82.96,82.63,83.40,82.05
81.93,80.95,82.57,80.66
79.66,81.58,82.60,78.79
82.75,81.43,83.30,80.27
85.13,82.60,85.45,80.29
83.84,83.30,84.65,82.10
83.18,86.16,86.60,82.03
86.62,85.69,86.97,85.00
85.77,84.21,86.36,84.14
85.00,82.65,85.07,82.50
82.46,83.12,84.30,82.10
84.53,85.02,86.00,84.07
85.73,86.35,87.00,85.48
87.00,87.22,88.32,86.75
86.49,87.22,87.88,86.35
87.41,88.40,88.79,87.25
88.26,88.94,88.96,87.64
88.84,88.61,89.27,87.60
89.49,87.87,89.65,87.76
87.25,87.61,87.73,86.16
87.74,88.59,88.83,87.23
89.86,90.01,90.10,89.10
89.74,90.44,90.48,89.23
91.00,90.29,92.08,89.95
90.04,88.72,90.28,87.63
88.64,87.63,88.72,87.14
86.92,87.47,87.75,86.40
87.65,86.63,88.00,86.54
86.37,86.01,86.99,85.88
85.58,86.09,86.33,84.45
85.56,84.47,85.82,84.46
85.18,85.33,85.94,84.25
83.68,82.66,85.13,82.21
82.60,82.75,83.08,81.78
83.55,84.79,84.93,83.35
87.26,88.10,88.44,86.75
87.94,87.10,88.63,87.08
87.70,88.60,89.12,87.41
89.49,89.12,90.24,88.66
88.63,90.68,90.97,88.30
92.21,93.17,94.28,91.98
92.94,91.99,93.50,91.73
91.77,93.07,93.07,91.77
93.30,93.94,94.23,92.81
92.99,92.54,92.99,91.25
93.42,91.72,93.42,91.37
90.45,90.87,91.78,90.45
88.66,87.01,89.55,87.00
86.90,86.95,87.93,85.80
87.84,86.92,87.95,86.75
86.36,86.04,86.59,85.43
86.72,85.47,87.15,85.24
85.63,85.47,85.93,84.35
85.51,85.28,85.64,84.55
85.52,85.96,86.50,85.20
86.85,85.43,87.34,85.01
84.94,85.44,85.81,84.43
85.72,84.75,86.15,84.50
83.89,83.16,84.37,82.60
83.39,82.85,83.70,82.25
83.00,82.82,84.10,82.46
82.91,82.81,83.20,82.10
83.59,84.96,85.04,83.21
85.62,86.63,86.77,85.21
86.38,86.62,87.53,85.83
85.33,83.86,85.48,83.49
82.94,85.08,86.04,82.29
83.90,83.58,84.14,82.98
84.07,82.73,84.14,82.52
83.39,83.53,83.54,82.36
83.48,84.25,84.32,83.24
85.53,84.81,85.92,84.45
85.22,87.65,87.86,85.00
88.49,85.79,88.50,85.70
85.85,86.77,86.78,85.59
87.35,88.08,88.60,87.30
86.73,85.02,87.23,84.84
85.16,83.66,85.24,83.52
83.00,84.95,85.29,82.90
84.44,85.18,85.57,84.23
84.72,83.26,85.18,83.17
83.90,81.10,83.90,80.88
81.35,81.30,82.57,80.50
81.37,81.93,82.21,80.16
83.37,83.62,83.84,83.15
83.70,83.33,83.77,82.59
82.95,83.05,83.74,82.65
83.62,84.16,84.19,83.25
83.81,84.65,84.81,83.81
84.50,84.01,85.12,83.90
83.63,84.94,85.09,83.00
85.55,86.25,86.48,85.48
86.33,85.24,86.35,85.03
85.92,84.49,85.92,84.43
84.05,84.16,84.96,83.75
84.62,86.05,86.57,84.56
85.83,85.95,86.33,85.08
86.70,86.99,87.55,86.52
86.81,87.23,87.45,86.38
87.60,87.33,88.16,87.04
87.89,87.95,88.77,87.46
87.85,88.36,89.31,87.82
88.35,89.00,89.50,88.32
89.25,89.64,89.69,88.90
89.67,90.77,91.09,89.67
90.91,90.79,91.83,90.74
89.90,89.50,90.13,88.64
87.50,87.90,88.18,86.48
87.51,87.48,87.83,87.16
87.67,87.67,88.68,87.57
87.87,87.66,88.41,86.55
87.09,86.81,87.60,86.69
86.81,89.61,89.80,86.67
92.95,93.50,94.44,92.95
93.22,94.40,94.99,92.89
94.57,94.92,94.92,94.04
94.57,95.21,95.67,94.40
94.67,94.00,95.19,93.57
94.10,94.44,94.77,94.10
95.11,95.08,95.19,94.23
94.56,95.19,95.39,94.12
95.32,94.63,95.48,94.15
94.21,95.67,95.83,94.18
95.10,95.19,95.66,94.83
95.71,95.70,96.29,95.09
96.43,97.62,97.62,96.09
96.39,97.72,97.73,96.05
97.48,96.85,97.72,96.60
96.00,96.60,97.74,96.00
95.92,95.58,96.28,94.66
98.06,97.45,98.74,96.43
97.92,98.60,99.20,97.72
98.83,98.65,98.96,98.25
97.99,98.39,98.71,97.90
99.00,99.49,99.70,98.95
98.76,98.26,98.87,97.91
98.58,98.44,99.10,98.32
97.87,97.70,98.75,97.36
97.42,96.11,98.16,95.21
96.10,96.85,97.50,96.10
96.96,96.60,96.99,96.30
96.67,97.22,97.41,96.67
97.09,96.38,97.50,96.02
96.06,96.07,96.68,95.68
96.26,95.61,96.42,95.28
95.74,95.60,96.37,95.13
95.00,93.22,95.10,93.05
92.76,91.53,92.79,90.57
91.99,91.54,92.49,91.05
91.81,89.16,92.22,89.08
89.59,89.95,90.20,88.50
90.06,92.25,92.36,90.06
92.49,92.37,93.16,92.23
91.54,91.36,91.96,90.13
90.61,89.75,90.75,89.19
90.49,90.21,91.28,89.99
90.97,89.64,91.05,89.41
89.90,89.65,90.40,89.27
90.43,90.51,90.72,90.01
90.49,91.18,91.52,90.10
91.16,89.74,91.16,89.40
89.80,89.28,89.91,89.13
89.47,88.70,89.55,88.17
88.61,88.83,89.25,88.11
87.89,89.36,90.02,87.67
89.40,88.27,89.40,87.44
87.61,86.94,87.88,86.42
86.43,86.83,87.32,86.43
87.01,87.48,87.63,86.97
87.93,86.64,87.96,86.05
87.06,87.00,87.39,86.66
86.43,86.90,87.16,85.80
87.05,86.97,87.98,86.65
86.86,85.64,86.94,85.41
86.02,84.88,86.02,84.47
83.91,84.12,84.62,83.60
84.17,84.63,84.73,83.84
83.41,84.60,85.36,83.05
84.67,84.19,85.35,83.71
84.38,85.90,86.65,84.05
86.38,86.57,86.88,85.90
86.89,85.70,87.00,85.30
84.99,85.05,85.33,84.30
84.24,82.27,84.33,81.91
83.63,82.61,83.73,82.12
81.54,81.47,81.62,80.62
81.34,80.46,81.34,80.05
80.95,80.43,81.16,80.01
81.24,82.71,83.13,79.49
83.91,84.10,84.72,82.74
84.28,83.78,84.65,83.29
84.70,84.51,85.02,84.02
84.35,84.68,85.08,84.25
85.11,84.80,85.50,84.07
84.81,84.67,85.38,83.36
84.07,83.08,84.35,82.66
83.34,84.26,84.56,83.10
85.59,86.98,87.48,85.48
87.13,87.59,87.95,86.88
88.11,89.79,89.81,87.91
89.76,90.31,90.40,89.18
89.98,89.95,90.69,89.55
89.96,88.62,90.25,87.90
88.19,88.07,88.49,87.75
87.82,87.55,88.00,86.86
86.97,87.00,87.18,86.44
86.55,86.78,87.65,86.10
87.39,87.67,87.86,87.10
87.57,88.33,88.75,87.27
88.65,88.10,88.98,87.73
88.09,87.70,89.09,87.15
86.03,86.95,87.38,85.78
86.26,86.21,86.72,85.77
87.04,86.19,87.39,85.90
85.73,86.49,86.66,85.33
86.47,86.41,87.00,85.99
86.23,85.80,86.95,85.80
85.91,86.13,86.30,85.74
85.95,85.92,86.47,85.44
85.47,84.42,85.73,84.23
84.25,84.00,84.31,83.30
84.65,84.65,85.37,83.64
84.71,83.80,84.77,83.63
83.03,83.52,83.97,82.63
84.17,83.21,84.38,83.01
83.32,85.14,85.28,83.19
85.01,83.87,85.14,83.40
83.55,83.92,84.43,83.42
84.09,84.55,84.87,83.96
84.50,84.25,85.29,84.25
83.19,83.20,83.68,82.35
