TISA,Top Image Systems,NASDAQ
0.82,0.88,0.88,0.82
0.81,0.88,0.89,0.81
0.88,0.88,0.88,0.88
0.89,0.90,0.90,0.89
0.81,0.81,0.81,0.81
0.89,0.89,0.89,0.89
0.89,0.89,0.89,0.72
0.84,0.89,0.89,0.84
0.89,0.89,0.89,0.89
0.87,0.87,0.87,0.87
0.87,0.87,0.87,0.87
0.82,0.86,0.87,0.82
0.78,0.89,0.89,0.77
0.89,0.89,0.89,0.89
0.85,0.85,0.85,0.84
0.85,0.85,0.85,0.85
0.83,0.83,0.83,0.83
0.80,0.82,0.82,0.76
0.82,0.82,0.82,0.82
0.81,0.85,0.89,0.81
0.89,0.88,0.89,0.82
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.87,0.87,0.87,0.87
0.82,0.87,0.89,0.81
0.90,0.92,0.92,0.90
0.93,0.93,0.95,0.91
0.93,0.93,0.93,0.93
0.95,0.95,0.95,0.95
0.79,0.94,0.94,0.79
0.90,0.94,0.94,0.90
0.94,0.94,0.94,0.94
0.81,0.91,0.93,0.66
0.91,0.91,0.91,0.91
0.91,0.91,0.91,0.91
0.71,0.78,0.89,0.71
0.90,0.89,0.90,0.88
0.90,0.84,0.90,0.84
0.75,0.80,0.80,0.75
0.80,0.80,0.80,0.80
0.71,0.89,0.94,0.71
0.94,0.94,0.94,0.94
0.91,0.86,0.91,0.86
0.88,0.91,0.94,0.63
0.91,0.90,0.91,0.90
0.72,0.84,0.84,0.72
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.76,0.75,0.76,0.75
0.85,0.82,0.86,0.82
0.82,0.82,0.82,0.82
0.75,1.00,1.00,0.75
0.80,0.90,0.94,0.80
0.84,0.88,0.94,0.84
0.90,0.95,0.98,0.90
0.98,0.87,1.01,0.87
0.87,0.94,0.94,0.87
0.88,0.90,0.90,0.88
0.90,0.90,0.90,0.86
0.89,0.92,0.93,0.89
0.91,0.91,0.95,0.91
0.91,0.95,0.95,0.90
0.90,0.88,0.90,0.78
0.90,0.84,0.90,0.76
0.82,0.88,0.88,0.82
0.88,0.88,0.88,0.88
0.86,0.90,0.90,0.86
0.90,0.90,0.90,0.90
0.90,0.83,0.90,0.82
0.83,0.89,0.89,0.83
0.89,0.89,0.89,0.89
0.84,0.86,0.89,0.84
0.85,0.88,0.88,0.84
0.90,0.92,0.92,0.90
0.92,0.92,0.92,0.92
0.92,0.88,0.92,0.88
0.88,0.88,0.88,0.88
0.92,0.92,0.92,0.92
0.89,0.92,0.92,0.89
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.89,0.88,0.89,0.88
0.85,0.88,0.92,0.84
0.90,0.91,0.91,0.90
0.91,0.91,0.91,0.91
0.91,0.92,0.98,0.90
1.00,0.98,1.05,0.89
1.00,1.05,1.05,0.94
1.05,1.04,1.05,0.94
1.02,1.05,1.07,0.97
1.03,1.03,1.08,0.97
1.03,1.03,1.03,1.00
1.00,1.03,1.08,1.00
1.06,1.08,1.08,1.02
1.09,1.18,1.20,1.07
1.20,1.18,1.20,1.11
1.20,1.20,1.20,1.13
1.20,1.11,1.20,1.07
1.11,1.10,1.15,1.04
1.10,1.18,1.18,1.10
1.15,1.19,1.19,1.11
1.15,1.13,1.20,1.03
1.13,1.13,1.13,1.13
1.20,1.26,1.33,1.14
1.27,1.20,1.27,1.15
1.20,1.22,1.22,1.15
1.21,1.24,1.25,1.16
1.22,1.25,1.29,1.22
1.26,1.21,1.29,1.21
1.25,1.25,1.29,1.25
1.30,1.20,1.30,1.16
1.19,1.19,1.25,1.15
1.22,1.21,1.22,1.18
1.19,1.24,1.24,1.19
1.20,1.27,1.30,1.19
1.28,1.28,1.33,1.28
1.32,1.29,1.37,1.26
1.29,1.24,1.30,1.24
1.26,1.24,1.26,1.21
1.25,1.24,1.25,1.24
1.34,1.25,1.34,1.25
1.27,1.25,1.29,1.25
1.25,1.22,1.29,1.22
1.19,1.27,1.27,1.19
1.29,1.25,1.30,1.24
1.26,1.23,1.28,1.21
1.21,1.20,1.29,1.20
1.21,1.20,1.23,1.19
1.21,1.15,1.21,1.12
1.15,1.19,1.21,1.14
1.20,1.22,1.23,1.19
1.22,1.21,1.22,1.21
1.17,1.18,1.23,1.15
1.20,1.16,1.20,1.15
1.18,1.22,1.23,1.17
1.22,1.22,1.22,1.22
1.23,1.20,1.23,1.20
1.21,1.20,1.23,1.20
1.22,1.22,1.23,1.21
1.22,1.22,1.22,1.22
1.22,1.22,1.23,1.20
1.21,1.14,1.21,1.14
1.15,1.15,1.20,1.15
1.15,1.15,1.16,1.12
1.14,1.16,1.17,1.14
1.16,1.16,1.16,1.16
1.17,1.16,1.17,1.15
1.16,1.15,1.16,1.13
1.12,1.15,1.15,1.12
1.12,1.15,1.15,1.12
1.12,1.13,1.13,1.10
1.14,1.14,1.14,1.14
1.10,1.14,1.14,1.08
1.13,1.16,1.17,1.10
1.16,1.16,1.16,1.16
1.12,1.17,1.17,1.12
1.25,1.16,1.25,1.15
1.16,1.16,1.16,1.16
1.15,1.15,1.15,1.15
1.18,1.19,1.20,1.18
1.18,1.22,1.25,1.18
1.22,1.21,1.22,1.20
1.16,1.24,1.24,1.16
1.24,1.24,1.24,1.24
1.20,1.19,1.20,1.19
1.22,1.19,1.22,1.18
1.19,1.20,1.23,1.14
1.19,1.18,1.20,1.13
1.14,1.19,1.20,1.14
1.09,1.11,1.30,0.76
1.11,1.15,1.16,1.07
1.07,1.14,1.16,1.07
1.17,1.14,1.17,1.03
1.15,1.15,1.17,1.15
1.15,1.25,1.47,1.14
1.22,1.19,1.25,1.15
1.17,1.15,1.19,1.14
1.20,1.19,1.21,1.12
1.19,1.25,1.26,1.19
1.20,1.25,1.25,1.17
1.30,1.19,1.30,1.19
1.22,1.26,1.27,1.17
1.25,1.30,1.30,1.25
1.30,1.27,1.30,1.25
1.27,1.29,1.30,1.26
1.30,1.25,1.30,1.25
1.28,1.25,1.28,1.23
1.28,1.28,1.28,1.28
1.28,1.25,1.28,1.24
1.25,1.23,1.25,1.20
1.24,1.27,1.27,1.24
1.24,1.25,1.27,1.15
1.25,1.25,1.25,1.25
1.26,1.26,1.26,1.22
1.20,1.27,1.27,1.19
1.24,1.27,1.28,1.24
1.28,1.22,1.28,1.22
1.24,1.24,1.24,1.24
1.24,1.24,1.24,1.22
1.27,1.25,1.28,1.25
1.25,1.25,1.25,1.24
1.25,1.24,1.25,1.24
1.24,1.22,1.24,1.22
1.22,1.25,1.25,1.10
1.23,1.24,1.25,1.23
1.24,1.24,1.24,1.10
1.23,1.24,1.24,1.22
1.24,1.23,1.24,1.23
1.23,1.22,1.23,1.21
1.22,1.23,1.23,1.22
1.22,1.26,1.26,1.22
1.26,1.25,1.30,1.22
1.24,1.27,1.30,1.24
1.26,1.30,1.30,1.24
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.25
1.29,1.31,1.36,1.25
1.31,1.34,1.39,1.31
2.08,2.20,2.39,1.83
2.33,2.15,2.43,2.00
2.15,2.05,2.23,1.93
2.26,2.91,3.25,2.26
2.85,2.86,2.94,2.55
2.91,2.70,3.20,2.70
2.79,2.75,3.04,2.53
2.76,2.62,2.80,2.58
2.69,2.37,2.69,2.32
2.44,2.42,2.50,2.25
2.39,2.51,2.60,2.39
2.51,2.36,2.52,2.35
2.36,2.38,2.53,2.26
2.35,2.33,2.47,2.21
2.33,2.11,2.33,2.07
2.18,2.19,2.27,2.12
2.15,2.15,2.34,2.15
2.17,2.18,2.25,2.08
2.24,2.19,2.24,2.00
2.15,2.14,2.16,2.04
2.02,2.04,2.08,1.91
2.02,1.91,2.02,1.84
1.89,1.80,1.89,1.80
1.85,1.92,2.08,1.79
2.08,2.00,2.24,1.95
1.99,1.93,1.99,1.90
1.96,1.92,1.97,1.90
1.91,1.92,1.97,1.88
1.91,1.98,1.99,1.85
1.99,2.12,2.16,1.95
2.11,2.29,2.36,2.11
2.26,2.29,2.29,2.19
2.27,2.13,2.29,2.06
2.25,2.24,2.35,2.12
2.28,2.19,2.30,2.16
2.18,2.24,2.24,2.15
2.22,2.35,2.44,2.16
2.45,2.31,2.60,2.26
2.29,2.30,2.38,2.17
2.31,2.39,2.45,2.28
2.41,2.37,2.49,2.33
2.38,2.36,2.39,2.24
2.35,2.38,2.44,2.32
2.38,2.35,2.42,2.27
2.40,2.32,2.40,2.25
2.30,2.41,2.45,2.26
2.39,2.52,2.57,2.32
2.60,2.67,2.67,2.50
2.73,2.78,2.81,2.50
2.84,2.61,2.90,2.57
2.57,2.75,2.82,2.50
2.75,2.71,2.90,2.62
2.75,2.70,2.85,2.60
2.67,2.57,2.73,2.53
2.60,2.52,2.67,2.52
2.52,2.57,2.70,2.52
2.66,2.67,2.69,2.60
2.67,2.57,2.71,2.57
2.70,2.38,2.75,2.13
2.36,2.31,2.42,2.29
2.26,2.34,2.34,2.02
2.18,2.06,2.37,1.85
2.08,2.15,2.22,1.99
2.10,2.26,2.32,1.96
2.08,2.38,2.41,2.08
2.50,2.20,2.50,2.15
2.23,2.04,2.32,1.92
1.95,2.00,2.14,1.92
2.00,2.00,2.14,1.94
1.93,2.00,2.02,1.92
2.01,2.02,2.05,1.97
2.09,2.03,2.09,1.95
2.02,2.00,2.02,1.98
1.96,2.00,2.02,1.90
2.07,1.96,2.07,1.96
1.90,1.90,1.95,1.79
1.94,1.97,1.99,1.90
1.99,2.00,2.09,1.96
2.06,2.18,2.18,2.06
2.18,2.18,2.23,2.12
2.09,2.15,2.18,2.09
2.06,2.26,2.26,2.06
2.28,2.31,2.33,2.20
2.32,2.40,2.40,2.26
2.36,2.34,2.43,2.25
2.30,2.28,2.41,2.24
2.25,2.39,2.43,2.24
2.40,2.29,2.40,2.24
2.33,2.27,2.43,2.20
2.27,2.28,2.35,2.22
2.25,2.11,2.25,2.07
2.09,2.13,2.16,2.09
2.14,2.05,2.14,2.05
2.02,1.96,2.03,1.93
1.93,2.00,2.05,1.93
1.99,2.01,2.03,1.96
2.01,2.07,2.07,2.00
2.07,2.06,2.07,2.01
2.06,2.01,2.06,2.00
2.00,1.96,2.02,1.95
1.80,1.86,1.90,1.79
1.84,1.82,1.86,1.68
1.81,1.81,1.81,1.81
1.89,1.89,1.94,1.87
1.89,1.84,1.89,1.84
1.83,1.99,1.99,1.83
2.00,2.00,2.05,1.95
1.99,2.00,2.01,1.97
2.00,2.00,2.00,1.96
2.00,2.05,2.07,1.97
2.01,2.18,2.27,2.01
2.20,2.22,2.29,2.20
2.23,2.08,2.23,2.07
2.10,2.05,2.11,2.05
2.10,2.01,2.10,1.98
2.07,2.13,2.20,2.07
2.17,2.17,2.19,2.13
2.24,2.18,2.25,2.18
2.25,2.31,2.33,2.17
2.31,2.39,2.40,2.30
2.39,2.37,2.39,2.31
2.37,2.32,2.37,2.30
2.34,2.35,2.40,2.32
2.31,2.30,2.36,2.18
2.30,2.26,2.31,2.25
2.23,2.20,2.30,2.20
2.25,2.32,2.32,2.20
2.22,2.01,2.24,1.95
2.00,2.01,2.13,2.00
2.03,2.10,2.10,2.02
2.10,2.01,2.10,1.97
1.98,2.05,2.18,1.98
2.08,2.06,2.20,2.03
2.09,2.02,2.09,2.01
2.07,2.04,2.07,1.98
1.95,2.06,2.06,1.95
1.99,2.07,2.07,1.99
2.01,2.05,2.24,1.97
2.02,1.94,2.13,1.90
2.09,2.02,2.11,2.02
2.02,2.00,2.02,2.00
2.04,2.09,2.16,2.02
2.09,2.06,2.09,2.00
2.06,2.04,2.10,2.02
2.10,2.02,2.15,1.96
2.07,2.07,2.07,2.03
2.07,2.03,2.14,2.01
2.05,2.03,2.07,1.98
2.04,2.11,2.11,2.02
2.09,2.17,2.17,2.09
2.17,2.15,2.17,2.07
2.07,2.12,2.12,2.06
2.12,2.13,2.13,2.10
2.13,2.12,2.13,2.12
2.13,2.11,2.13,2.09
2.13,2.19,2.20,2.10
2.16,2.15,2.18,2.00
2.15,2.11,2.15,2.11
2.12,2.17,2.18,2.11
2.16,2.13,2.16,2.08
2.14,2.11,2.14,2.11
2.02,2.13,2.14,1.98
2.12,2.25,2.25,2.07
2.25,2.19,2.25,2.19
2.20,2.30,2.42,2.19
2.34,2.43,2.43,2.28
2.43,2.35,2.44,2.32
2.40,2.37,2.40,2.37
2.37,2.41,2.48,2.35
2.48,2.38,2.48,2.36
2.42,2.57,2.58,2.40
2.59,2.62,2.64,2.52
2.65,2.69,2.71,2.62
2.65,2.70,2.73,2.59
2.67,2.74,2.78,2.61
2.73,2.66,2.76,2.61
2.62,2.64,2.67,2.54
2.60,2.59,2.60,2.56
2.70,2.71,2.75,2.61
2.69,2.64,2.75,2.59
2.65,2.60,2.65,2.52
2.60,2.57,2.61,2.57
2.58,2.60,2.60,2.58
2.58,2.64,2.65,2.58
2.65,2.64,2.67,2.64
2.65,2.69,2.71,2.62
2.65,2.71,2.75,2.63
2.74,2.64,2.74,2.58
2.65,2.60,2.69,2.50
2.60,2.65,2.65,2.60
2.64,2.65,2.65,2.62
2.64,2.67,2.69,2.60
2.69,2.58,2.69,2.54
2.61,2.66,2.74,2.60
2.67,2.74,2.75,2.67
2.75,2.92,2.93,2.74
2.95,2.98,3.06,2.94
3.00,3.03,3.03,2.97
3.05,3.02,3.05,2.95
3.02,3.04,3.08,3.02
3.03,2.99,3.03,2.98
2.97,3.03,3.07,2.94
3.00,2.88,3.00,2.79
2.89,3.12,3.15,2.89
3.12,3.15,3.34,3.01
3.10,3.04,3.26,3.00
3.05,3.03,3.07,2.83
3.11,3.08,3.13,3.01
3.10,3.11,3.17,3.01
3.11,3.12,3.13,3.07
3.18,3.49,3.54,3.18
3.79,3.80,3.98,3.68
3.82,3.85,3.93,3.75
3.89,4.12,4.20,3.89
4.13,4.30,4.40,4.13
4.35,4.18,4.35,4.11
4.18,4.08,4.18,3.99
4.15,4.02,4.20,3.85
4.00,4.03,4.05,3.86
4.08,4.10,4.11,4.01
4.20,4.15,4.20,4.11
4.11,4.17,4.37,4.09
4.23,4.21,4.25,4.10
4.11,4.13,4.27,4.02
4.15,4.10,4.18,4.03
4.10,4.02,4.10,3.96
4.00,4.04,4.08,3.73
4.00,4.03,4.07,3.86
4.00,4.03,4.09,3.92
4.00,4.01,4.02,3.83
4.03,4.07,4.10,3.88
3.90,4.05,4.08,3.90
4.03,4.16,4.25,4.00
4.22,4.13,4.25,4.08
4.15,4.16,4.21,4.00
4.20,4.90,4.90,4.20
5.00,4.63,5.10,4.46
4.69,4.97,5.00,4.60
5.00,5.08,5.27,4.97
5.03,5.00,5.05,4.80
5.01,4.98,5.06,4.80
5.06,5.24,5.30,5.05
5.29,5.45,5.59,5.27
5.45,5.24,5.46,5.05
5.31,5.13,5.37,5.06
5.13,5.05,5.13,4.65
4.95,4.94,5.00,4.81
4.90,4.51,4.90,4.45
4.44,4.25,4.45,3.75
4.18,4.23,4.47,4.07
4.31,4.27,4.41,4.16
4.18,4.18,4.24,3.80
4.19,4.21,4.26,4.16
4.24,4.27,4.40,4.18
4.30,4.02,4.31,3.98
4.00,3.75,4.07,3.72
3.75,3.79,3.89,3.75
3.76,3.52,3.76,3.50
3.51,3.52,3.62,3.32
3.43,3.51,3.60,3.36
3.50,3.66,3.73,3.48
3.67,3.94,3.99,3.57
3.98,3.95,4.00,3.84
3.99,3.87,4.00,3.80
3.88,3.81,3.88,3.65
3.79,3.55,3.79,3.51
3.76,3.87,3.94,3.45
3.84,3.67,3.84,3.57
3.68,3.51,3.68,3.38
3.50,3.55,3.67,3.50
3.62,3.69,3.72,3.58
3.77,3.69,3.83,3.68
3.65,3.63,3.69,3.59
3.64,3.58,3.80,3.55
3.60,3.60,3.67,3.57
3.65,3.71,3.83,3.65
3.77,3.83,3.88,3.77
3.81,3.85,3.95,3.78
3.88,3.94,4.06,3.83
4.00,3.97,4.04,3.80
3.96,4.05,4.07,3.91
4.08,3.90,4.08,3.85
3.94,3.98,4.02,3.91
3.96,3.98,3.98,3.90
3.97,4.03,4.05,3.90
4.05,4.04,4.08,3.94
4.04,4.18,4.18,3.98
4.33,4.41,4.45,4.18
4.50,4.69,4.75,4.49
4.69,4.73,4.84,4.69
4.70,4.65,4.70,4.51
4.65,4.52,4.65,4.51
4.54,4.70,4.70,4.54
4.70,4.75,4.93,4.70
4.80,4.63,4.80,4.50
4.56,4.50,4.62,4.28
4.50,4.43,4.50,4.28
4.40,4.38,4.48,4.12
4.37,4.28,4.42,4.22
4.26,4.31,4.35,4.26
4.34,4.31,4.35,4.11
4.28,4.26,4.30,4.21
4.20,4.19,4.23,4.02
4.17,4.20,4.21,4.10
4.22,4.09,4.22,4.09
4.13,4.19,4.20,4.11
4.19,4.32,4.41,4.19
4.31,4.25,4.33,4.17
4.24,4.29,4.33,4.18
4.35,4.25,4.37,4.17
4.22,4.42,4.50,4.20
4.50,4.40,4.60,4.39
4.37,4.52,4.58,4.37
4.57,4.75,4.90,4.57
4.70,4.50,4.71,4.20
4.52,4.41,4.53,4.35
4.35,4.23,4.40,4.18
4.23,4.00,4.23,3.78
3.96,3.95,4.01,3.80
3.90,3.99,4.03,3.85
3.95,3.99,4.01,3.86
3.95,4.15,4.22,3.90
4.13,4.40,4.44,4.10
4.40,4.36,4.46,4.25
4.36,4.41,4.45,4.28
4.40,4.44,4.50,4.40
4.41,4.41,4.48,4.10
4.47,4.38,4.50,4.36
4.38,4.42,4.43,4.23
4.43,4.42,4.43,4.21
4.36,4.44,4.46,4.35
4.45,4.50,4.50,4.30
4.49,4.44,4.55,4.39
4.46,4.44,4.50,4.36
4.43,4.31,4.45,4.31
4.36,4.38,4.40,4.21
4.32,4.36,4.50,4.25
4.36,4.39,4.40,4.22
3.81,4.25,4.32,3.81
4.21,4.37,4.44,4.13
4.34,4.28,4.45,4.25
4.30,4.29,4.31,4.20
4.22,4.26,4.30,4.19
4.24,4.22,4.30,4.20
4.19,4.26,4.34,4.19
4.30,4.35,4.35,4.10
4.27,4.18,4.34,4.14
4.20,4.24,4.38,4.19
4.00,3.89,4.00,3.51
3.94,3.96,4.05,3.72
3.63,3.82,3.86,3.62
3.71,3.76,3.85,3.70
3.74,3.69,3.75,3.66
3.66,3.86,3.87,3.66
3.87,3.85,3.92,3.76
3.82,3.70,3.94,3.68
3.66,3.70,3.76,3.66
3.70,3.55,3.74,3.50
3.75,3.80,3.85,3.74
3.85,3.75,3.91,3.65
3.79,3.78,3.81,3.72
3.84,4.01,4.16,3.84
4.00,3.96,4.09,3.95
3.98,3.95,4.08,3.88
4.00,3.88,4.00,3.75
3.90,3.85,3.90,3.75
3.97,3.79,3.97,3.75
3.75,3.78,3.81,3.67
3.87,3.78,3.87,3.62
3.71,3.74,3.76,3.70
3.75,3.79,3.80,3.65
3.73,3.80,3.97,3.67
3.88,3.89,3.92,3.72
3.87,3.83,3.89,3.65
3.74,3.79,3.90,3.74
3.76,3.86,3.92,3.75
3.86,3.86,3.99,3.77
3.86,3.80,3.86,3.78
3.73,3.90,3.96,3.62
3.70,3.89,3.95,3.65
3.83,3.88,3.89,3.72
3.86,3.67,3.90,3.62
3.64,3.59,3.75,3.52
3.69,3.55,3.71,3.51
3.55,3.67,3.72,3.55
3.61,3.70,3.85,3.61
3.72,3.68,3.72,3.65
3.68,3.73,3.73,3.65
3.68,3.80,3.84,3.68
3.85,3.83,3.85,3.76
3.76,3.82,3.83,3.75
3.78,3.89,3.97,3.78
3.89,3.89,3.91,3.80
4.00,4.00,4.04,3.90
4.01,4.00,4.15,3.89
4.00,4.00,4.05,3.86
3.99,3.88,3.99,3.85
3.86,3.87,3.90,3.83
3.87,3.81,3.87,3.76
3.81,3.77,3.82,3.70
3.75,3.72,3.78,3.69
3.73,3.61,3.73,3.61
3.63,3.60,3.63,3.55
3.57,3.62,3.71,3.55
3.62,3.56,3.62,3.50
3.46,3.40,3.60,3.34
3.36,3.50,3.53,3.21
3.48,3.48,3.52,3.36
3.55,3.50,3.55,3.48
3.48,3.49,3.50,3.41
3.46,3.44,3.47,3.31
3.45,3.42,3.48,3.40
3.43,3.42,3.45,3.27
3.49,3.51,3.54,3.45
3.48,3.44,3.54,3.44
3.45,3.42,3.51,3.42
3.38,3.39,3.50,3.36
3.30,3.18,3.35,3.09
3.18,3.26,3.29,3.18
3.25,3.16,3.25,3.12
3.15,3.07,3.20,2.95
3.06,3.20,3.21,3.05
3.18,3.31,3.45,3.18
3.35,3.47,3.49,3.33
3.49,3.51,3.55,3.40
3.50,3.50,3.55,3.45
3.50,3.50,3.51,3.40
3.45,3.56,3.65,3.45
3.52,3.55,3.70,3.50
3.57,3.55,3.67,3.55
3.54,3.47,3.56,3.42
3.47,3.47,3.48,3.21
3.49,3.49,3.55,3.49
3.52,3.40,3.52,3.40
3.41,3.40,3.42,3.31
3.40,3.40,3.42,3.40
3.42,3.37,3.44,3.35
3.22,3.41,3.42,3.22
3.41,3.38,3.42,3.37
3.36,3.46,3.58,3.32
3.45,3.37,3.47,3.33
3.36,3.31,3.37,3.22
3.30,3.33,3.38,3.23
3.30,3.30,3.37,3.24
3.25,3.50,3.60,3.25
3.54,3.57,3.65,3.50
3.60,3.63,3.71,3.58
3.62,3.54,3.62,3.49
3.54,3.59,3.62,3.40
3.57,3.57,3.59,3.51
3.54,3.59,3.59,3.40
3.54,3.50,3.56,3.45
3.42,3.37,3.49,3.32
3.30,3.37,3.42,3.25
3.37,3.38,3.47,3.32
3.37,3.46,3.46,3.37
3.43,3.42,3.48,3.37
3.39,3.41,3.44,3.37
3.42,3.43,3.50,3.40
3.39,3.56,3.63,3.39
3.58,3.60,3.77,3.57
3.56,3.57,3.63,3.49
3.57,3.56,3.57,3.49
3.56,3.49,3.58,3.45
3.46,3.43,3.50,3.29
3.40,3.49,3.55,3.25
3.50,3.43,3.50,3.33
3.30,3.48,3.58,3.27
3.53,3.58,3.60,3.49
3.58,3.63,3.70,3.35
3.60,3.70,3.70,3.48
3.70,3.75,3.77,3.66
3.75,3.75,3.75,3.64
3.75,3.66,3.75,3.55
3.75,3.66,3.75,3.53
3.69,3.67,3.69,3.60
3.61,3.75,3.79,3.61
3.69,3.77,3.78,3.69
3.71,3.64,3.79,3.60
3.74,3.63,3.74,3.55
3.62,3.57,3.69,3.57
3.53,3.51,3.59,3.51
3.50,3.46,3.64,3.42
3.41,3.37,3.44,3.35
3.39,3.39,3.67,3.38
3.45,3.33,3.45,3.32
3.44,3.17,3.44,3.10
3.13,3.15,3.21,3.13
3.16,3.19,3.24,3.13
3.20,3.20,3.20,3.10
3.20,3.15,3.24,3.15
3.19,3.19,3.24,3.15
3.23,3.17,3.23,3.17
3.16,3.18,3.20,3.12
3.18,3.19,3.20,3.16
3.20,3.16,3.20,3.12
3.10,3.06,3.13,3.06
3.04,3.02,3.09,3.02
3.04,3.04,3.07,2.99
3.02,3.03,3.06,3.02
3.02,3.01,3.05,2.97
2.97,2.96,3.01,2.90
2.91,2.92,2.99,2.90
2.90,2.92,2.98,2.70
2.85,2.88,2.99,2.80
2.89,2.92,2.97,2.86
2.95,2.92,2.98,2.87
2.97,2.95,2.98,2.89
2.92,3.04,3.07,2.92
3.07,3.00,3.45,2.93
3.03,3.03,3.23,2.93
3.01,3.09,3.19,3.01
2.90,3.17,3.20,2.90
3.20,3.20,3.25,3.06
3.02,2.93,3.12,2.87
2.92,2.98,3.08,2.90
2.95,3.06,3.06,2.95
3.01,2.93,3.01,2.89
2.90,2.90,2.90,2.80
2.88,3.08,3.08,2.88
3.00,2.91,3.08,2.91
2.99,3.08,3.09,2.99
3.01,3.52,3.59,2.92
3.55,3.37,3.63,3.33
3.40,3.30,3.40,3.22
3.30,3.42,3.45,3.22
3.46,3.39,3.55,3.32
3.39,3.37,3.46,3.20
3.33,3.21,3.51,3.18
3.16,3.14,3.27,3.03
2.99,3.11,3.17,2.99
