INTT,inTest Corporation Common Stock,NASDAQ
2.71,2.53,2.71,2.50
2.54,2.68,2.69,2.53
2.70,2.54,2.71,2.52
2.56,2.59,2.67,2.55
2.55,2.59,2.60,2.54
2.65,2.79,2.79,2.61
2.82,2.76,2.82,2.72
2.71,2.56,2.71,2.48
2.56,2.55,2.62,2.51
2.50,2.66,2.67,2.48
2.68,2.63,2.70,2.55
2.69,2.64,2.71,2.63
2.63,2.59,2.64,2.56
2.59,2.82,3.03,2.54
2.88,2.99,3.15,2.88
3.07,3.03,3.18,2.94
3.05,2.94,3.10,2.63
2.88,2.99,3.09,2.88
3.04,3.37,3.37,3.00
3.37,3.08,3.42,2.95
3.05,2.91,3.05,2.85
2.95,2.92,2.98,2.86
2.95,2.96,2.98,2.85
3.00,3.22,3.28,3.00
3.19,3.22,3.28,3.13
3.22,3.15,3.23,3.05
3.17,3.10,3.25,3.06
3.05,3.10,3.15,3.01
3.10,3.09,3.12,2.99
3.09,3.09,3.11,3.05
3.09,3.07,3.10,2.97
3.07,3.02,3.07,2.95
3.02,3.06,3.15,2.95
3.05,3.02,3.07,3.01
3.04,2.96,3.04,2.95
2.95,3.00,3.03,2.95
3.05,3.19,3.46,3.05
3.27,3.27,3.31,3.14
3.31,3.33,3.38,3.30
2.57,2.61,2.76,2.50
2.59,2.65,2.65,2.52
2.63,2.58,2.67,2.57
2.57,2.60,2.63,2.51
2.60,2.61,2.61,2.55
2.60,2.55,2.62,2.54
2.52,2.44,2.52,2.33
2.44,2.50,2.59,2.44
2.47,2.28,2.47,2.27
2.27,2.29,2.38,2.23
2.29,2.33,2.57,2.25
2.29,2.42,2.44,2.29
2.44,2.42,2.57,2.42
2.37,2.34,2.37,2.32
2.39,2.37,2.41,2.36
2.35,2.40,2.44,2.35
2.36,2.36,2.41,2.36
2.32,2.35,2.41,2.31
2.36,2.32,2.36,2.26
2.34,2.27,2.35,2.19
2.24,2.24,2.33,2.15
2.26,2.39,2.44,2.26
2.45,2.50,2.51,2.39
2.58,2.54,2.58,2.45
2.58,2.64,2.65,2.50
2.67,2.63,2.68,2.56
2.67,2.62,2.67,2.56
2.59,2.58,2.60,2.51
2.58,2.42,2.59,2.28
2.43,2.48,2.54,2.37
2.48,2.58,2.58,2.44
2.59,2.55,2.59,2.51
2.58,2.59,2.64,2.55
2.56,2.51,2.61,2.51
2.57,2.52,2.57,2.47
2.50,2.53,2.54,2.47
2.49,2.56,2.56,2.47
2.49,2.50,2.53,2.46
2.47,2.53,2.54,2.45
2.53,2.55,2.57,2.48
2.56,2.71,2.78,2.56
2.71,2.81,2.82,2.66
2.81,2.86,2.90,2.77
2.88,2.82,2.89,2.80
2.86,2.81,2.86,2.75
2.79,2.85,2.87,2.75
3.10,3.27,3.35,3.09
3.34,3.22,3.35,3.20
3.25,3.17,3.25,3.00
3.18,3.14,3.19,3.12
3.14,3.20,3.20,3.10
3.20,3.18,3.20,3.16
3.17,3.23,3.25,3.10
3.25,3.30,3.40,3.14
3.34,3.57,3.63,3.28
3.58,3.58,3.64,3.45
3.58,3.82,3.84,3.58
3.86,4.08,4.18,3.84
4.15,3.77,4.15,3.65
3.74,3.87,3.99,3.50
3.98,3.80,3.99,3.77
3.81,3.68,3.81,3.60
3.65,3.83,3.86,3.59
3.82,3.85,3.89,3.75
3.90,4.23,4.28,3.86
4.24,4.54,4.57,4.24
4.50,4.40,4.56,4.32
4.35,4.37,4.45,4.18
4.34,4.38,4.45,4.34
4.39,4.08,4.40,4.05
4.12,4.12,4.25,4.02
4.16,4.28,4.29,4.16
4.29,4.49,4.49,4.29
4.54,4.21,4.67,4.20
4.20,3.95,4.20,3.81
3.91,3.71,3.95,3.65
3.70,3.78,3.87,3.62
3.78,4.16,4.24,3.68
4.16,4.24,4.34,4.12
4.24,4.20,4.27,4.03
4.18,4.23,4.32,4.03
4.09,4.04,4.15,3.96
4.06,4.04,4.15,4.00
4.04,3.95,4.05,3.88
3.93,3.95,3.96,3.72
3.94,4.09,4.15,3.81
4.05,3.87,4.05,3.79
3.82,3.70,3.82,3.63
3.69,3.57,3.70,3.46
3.30,3.44,3.48,3.16
3.45,3.45,3.58,3.40
3.52,3.42,3.59,3.39
3.41,3.39,3.45,3.27
3.44,3.48,3.59,3.40
3.51,3.55,3.62,3.45
3.55,3.57,3.57,3.46
3.55,3.56,3.58,3.53
3.60,3.63,3.73,3.59
3.79,3.80,3.90,3.68
3.82,3.82,3.85,3.74
3.80,3.70,3.81,3.70
3.71,3.68,3.71,3.63
3.68,3.65,3.68,3.58
3.68,3.56,3.68,3.53
3.61,3.68,3.69,3.61
3.69,3.85,3.85,3.66
3.85,3.88,3.94,3.80
3.93,3.95,3.97,3.92
3.99,3.96,3.99,3.82
3.95,3.83,3.95,3.83
3.88,3.94,3.98,3.86
3.93,4.00,4.00,3.82
3.95,3.80,3.99,3.77
3.77,3.78,3.84,3.76
3.80,3.83,3.83,3.77
3.93,3.85,3.95,3.81
3.90,3.93,3.93,3.80
3.93,4.16,4.19,3.90
4.19,4.20,4.33,4.12
4.18,4.10,4.18,3.99
4.11,3.99,4.16,3.90
3.96,3.96,4.05,3.95
3.95,3.98,4.01,3.78
3.95,3.97,3.98,3.85
3.98,3.78,3.98,3.48
3.78,3.69,3.83,3.65
3.73,3.62,3.73,3.50
3.39,3.58,3.65,3.31
3.57,3.81,3.85,3.52
3.82,3.72,3.82,3.70
3.68,3.79,3.79,3.68
3.77,3.66,3.78,3.66
3.69,3.56,3.69,3.51
3.52,3.37,3.54,3.32
3.37,3.39,3.48,3.34
3.38,3.43,3.55,3.38
3.44,3.39,3.47,3.39
3.31,3.32,3.36,3.27
3.35,3.30,3.36,3.25
3.28,3.35,3.35,3.25
3.34,3.39,3.48,3.34
3.32,3.51,3.66,3.29
3.53,3.44,3.53,3.33
3.48,3.44,3.53,3.33
3.42,3.38,3.44,3.27
3.31,3.35,3.40,3.29
3.34,3.29,3.47,3.26
3.30,3.30,3.46,3.25
3.29,3.35,3.60,3.29
3.38,3.48,3.54,3.36
3.43,3.40,3.52,3.35
3.42,3.47,3.54,3.31
3.44,3.34,3.58,3.30
3.31,3.31,3.36,3.29
3.33,3.29,3.34,3.25
3.31,3.31,3.35,3.25
3.29,3.30,3.36,3.28
3.34,3.35,3.39,3.32
3.32,3.32,3.35,3.30
3.28,3.26,3.30,3.19
3.27,3.26,3.32,3.20
3.25,3.33,3.40,3.25
3.29,3.32,3.33,3.28
3.32,3.34,3.43,3.28
3.34,3.36,3.36,3.31
3.31,3.38,3.39,3.24
3.38,3.35,3.38,3.26
3.35,3.26,3.40,3.25
3.26,3.29,3.40,3.26
3.28,3.38,3.40,3.26
3.35,3.52,3.52,3.34
3.50,3.66,3.73,3.48
3.67,3.71,3.80,3.64
3.69,3.73,3.79,3.69
3.70,3.77,3.84,3.70
3.75,3.77,3.78,3.70
3.79,3.71,3.79,3.70
3.72,3.65,3.72,3.59
3.61,3.60,3.65,3.60
3.60,3.60,3.70,3.60
3.60,3.61,3.61,3.55
3.60,3.63,3.64,3.57
3.58,3.54,3.60,3.52
3.51,3.43,3.53,3.40
3.39,3.38,3.44,3.36
3.41,3.37,3.49,3.36
3.36,3.32,3.37,3.31
3.32,3.42,3.42,3.23
3.35,3.44,3.48,3.25
3.41,3.28,3.45,3.28
3.60,2.89,3.60,2.89
2.91,2.80,2.93,2.74
2.82,2.72,2.85,2.58
2.71,2.81,2.85,2.58
2.81,2.90,3.06,2.78
2.90,3.01,3.01,2.69
2.98,2.92,2.99,2.88
2.93,2.86,2.93,2.82
2.77,2.78,2.81,2.68
2.75,2.64,2.86,2.62
2.76,2.63,2.83,2.62
2.61,2.77,2.77,2.61
2.70,2.88,2.99,2.65
2.90,2.87,2.90,2.78
2.80,2.84,2.85,2.77
2.80,2.92,2.97,2.80
2.91,2.93,2.95,2.86
2.90,2.94,2.95,2.90
2.91,2.88,2.94,2.85
2.85,2.90,2.91,2.85
2.85,2.82,2.85,2.72
2.83,2.83,2.88,2.68
2.82,2.72,2.82,2.68
2.72,2.68,2.75,2.61
2.63,2.55,2.68,2.51
2.55,2.61,2.75,2.50
2.62,2.69,2.70,2.62
2.73,2.72,2.73,2.63
2.68,2.70,2.75,2.65
2.64,2.72,2.77,2.58
2.71,2.74,2.75,2.70
2.74,2.74,2.74,2.74
2.65,2.60,2.74,2.58
2.59,2.68,2.74,2.58
2.70,2.59,2.70,2.58
2.70,2.74,2.77,2.68
2.75,2.71,2.75,2.64
2.69,2.69,2.75,2.50
2.54,2.64,2.75,2.50
2.61,2.40,2.61,2.40
2.35,2.36,2.51,2.28
2.35,2.45,2.45,2.31
2.53,2.60,2.60,2.45
2.55,2.50,2.65,2.44
2.47,2.54,2.57,2.47
2.52,2.53,2.53,2.52
2.55,2.55,2.59,2.50
2.60,2.55,2.61,2.55
2.56,2.64,2.64,2.56
2.66,2.65,2.74,2.65
2.57,2.67,2.67,2.41
2.59,2.65,2.66,2.59
2.65,2.65,2.65,2.62
2.65,2.59,2.75,2.56
2.60,2.64,2.65,2.60
2.61,2.66,2.68,2.61
2.61,2.61,2.68,2.59
2.67,2.74,2.76,2.61
2.72,2.77,2.81,2.72
2.83,2.86,2.88,2.74
2.77,2.81,2.88,2.71
2.75,2.77,2.81,2.72
2.70,2.71,2.85,2.52
2.70,2.45,2.70,2.28
2.52,2.40,2.59,2.37
2.46,2.48,2.58,2.44
2.42,2.49,2.51,2.42
2.49,2.45,2.49,2.36
2.45,2.42,2.49,2.40
2.39,2.39,2.50,2.39
2.46,2.46,2.46,2.46
2.41,2.46,2.52,2.40
2.49,2.35,2.49,2.30
2.32,2.35,2.36,2.27
2.32,2.29,2.32,2.26
2.30,2.34,2.39,2.28
2.32,2.26,2.44,2.24
2.44,2.30,2.44,2.28
2.32,2.20,2.39,2.15
2.20,2.17,2.20,2.16
2.13,2.29,2.42,2.13
2.30,2.24,2.30,2.24
2.23,2.33,2.43,2.23
2.31,2.37,2.39,2.31
2.39,2.34,2.39,2.33
2.41,2.24,2.42,2.17
2.25,2.25,2.39,2.18
2.28,2.31,2.36,2.15
2.34,2.27,2.34,2.23
2.34,2.23,2.34,2.17
2.25,2.20,2.25,2.16
2.26,2.31,2.42,2.26
2.32,2.34,2.41,2.29
2.32,2.32,2.35,2.31
2.38,2.41,2.43,2.38
2.43,2.48,2.58,2.42
2.50,2.50,2.55,2.48
2.52,2.62,2.68,2.47
2.68,2.64,2.73,2.60
2.70,2.70,2.75,2.63
2.70,2.75,2.75,2.68
2.77,2.78,2.78,2.65
2.86,2.78,2.88,2.78
2.76,2.85,2.85,2.74
2.80,2.83,2.85,2.80
2.86,2.81,2.86,2.74
2.82,2.95,2.98,2.82
2.98,3.00,3.05,2.89
3.00,3.00,3.10,3.00
2.97,3.00,3.00,2.90
2.97,2.95,2.97,2.86
2.93,2.90,2.97,2.87
2.92,3.00,3.04,2.92
3.04,3.03,3.06,3.00
3.00,3.04,3.04,3.00
2.97,2.99,3.03,2.91
2.99,2.98,3.05,2.98
3.01,3.03,3.04,2.98
3.05,3.00,3.05,2.92
3.01,3.05,3.05,3.01
3.05,3.07,3.09,3.00
3.09,3.09,3.19,3.07
3.10,3.25,3.33,3.10
3.30,3.50,3.51,3.30
3.50,3.65,3.71,3.50
3.69,3.51,3.75,3.40
3.52,3.36,3.53,3.36
3.39,3.43,3.54,3.39
3.48,3.75,3.76,3.48
3.76,3.66,3.79,3.65
3.65,3.66,3.85,3.65
3.67,3.73,3.73,3.61
3.74,3.65,3.74,3.60
3.61,3.65,3.75,3.61
3.61,3.70,3.72,3.61
3.72,3.72,3.84,3.70
3.77,3.61,3.77,3.61
3.63,3.67,3.68,3.61
3.65,3.65,3.69,3.63
3.63,3.46,3.66,3.44
3.46,3.50,3.58,3.42
3.51,3.47,3.51,3.42
3.50,3.40,3.50,3.29
3.41,3.40,3.50,3.40
3.44,3.31,3.44,3.26
3.30,3.15,3.30,3.12
3.15,3.25,3.30,3.15
3.15,3.31,3.41,3.10
3.32,3.43,3.48,3.25
3.33,3.42,3.43,3.33
3.40,3.38,3.40,3.31
3.40,3.44,3.44,3.31
3.45,3.42,3.45,3.40
3.42,3.45,3.45,3.38
3.45,3.45,3.48,3.34
3.41,3.49,3.51,3.39
3.51,3.53,3.54,3.46
3.54,3.51,3.58,3.45
3.51,3.44,3.51,3.42
3.44,3.42,3.44,3.31
3.45,3.54,3.60,3.43
3.51,3.57,3.57,3.48
3.54,3.56,3.57,3.48
3.58,3.55,3.58,3.50
3.52,3.61,3.61,3.50
3.64,3.64,3.73,3.60
3.62,3.67,3.73,3.56
3.68,3.68,3.70,3.65
3.66,3.53,3.66,3.53
3.49,3.45,3.49,3.32
3.45,3.45,3.48,3.43
3.44,3.51,3.55,3.44
3.52,3.47,3.53,3.35
3.45,3.46,3.48,3.20
3.46,3.53,3.53,3.43
3.49,3.47,3.53,3.41
3.45,3.49,3.53,3.38
3.49,3.51,3.52,3.49
3.48,3.52,3.53,3.40
3.52,3.38,3.53,3.38
3.42,3.40,3.42,3.33
3.42,3.52,3.52,3.41
3.53,3.49,3.53,3.43
3.50,3.50,3.53,3.48
3.52,3.75,3.75,3.47
3.74,3.79,3.80,3.57
3.79,3.74,3.97,3.70
3.74,3.78,3.85,3.60
3.74,3.82,3.82,3.63
3.76,3.79,3.85,3.65
3.70,3.72,3.79,3.68
3.78,3.66,3.78,3.66
3.66,3.64,3.72,3.62
3.71,3.43,3.71,3.39
3.42,3.32,3.49,3.32
3.38,3.36,3.43,3.32
3.37,3.40,3.42,3.37
3.36,3.42,3.43,3.35
3.40,3.44,3.48,3.39
3.44,3.43,3.45,3.33
3.35,3.35,3.43,3.33
3.35,3.36,3.40,3.32
3.31,3.38,3.48,3.21
3.44,3.27,3.44,3.21
3.22,3.31,3.31,3.20
3.31,3.36,3.36,3.21
3.36,3.51,3.52,3.36
3.47,3.37,3.50,3.37
3.36,3.57,3.59,3.14
3.58,3.50,3.60,3.43
3.50,3.44,3.50,3.34
3.41,3.40,3.49,3.31
3.40,3.40,3.40,3.40
3.41,3.51,3.53,3.40
3.54,3.36,3.55,3.30
3.32,3.22,3.36,3.13
3.13,3.17,3.21,3.13
3.17,3.25,3.26,3.14
3.24,3.25,3.25,3.22
3.22,3.30,3.30,3.21
3.34,3.32,3.34,3.20
3.32,3.35,3.35,3.32
3.26,3.33,3.33,3.20
3.30,3.27,3.30,3.21
3.18,3.18,3.30,3.17
3.22,3.25,3.33,3.17
3.30,3.39,3.39,3.24
3.36,3.35,3.54,3.35
3.35,3.51,3.55,3.28
3.51,3.41,3.52,3.37
3.30,3.53,3.53,3.30
3.45,3.45,3.64,3.36
3.50,3.41,3.58,3.35
3.22,3.40,3.46,3.22
3.34,3.42,3.48,3.34
3.37,3.39,3.42,3.20
3.36,3.40,3.50,3.27
3.45,3.37,3.45,3.33
3.48,3.49,3.50,3.34
3.46,3.35,3.47,3.27
3.26,3.28,3.48,3.26
3.27,3.32,3.33,3.21
3.30,3.29,3.30,3.20
3.30,3.40,3.40,3.30
3.38,3.33,3.38,3.28
3.31,3.41,3.44,3.31
3.42,3.45,3.45,3.33
3.44,3.33,3.44,3.32
3.35,3.30,3.35,3.30
2.94,2.97,3.07,2.28
2.97,2.88,2.97,2.81
2.81,2.82,2.98,2.80
2.81,2.74,2.82,2.70
2.75,2.65,2.80,2.65
2.65,2.64,2.66,2.50
2.60,2.68,2.68,2.55
2.68,2.69,2.69,2.68
2.80,2.68,2.85,2.66
2.72,2.69,2.74,2.66
2.70,2.60,2.73,2.59
2.65,2.66,2.66,2.63
2.65,2.66,2.66,2.65
2.64,2.59,2.64,2.57
2.55,2.56,2.65,2.55
2.56,2.55,2.61,2.51
2.62,2.60,2.65,2.60
2.58,2.56,2.58,2.55
2.56,2.56,2.56,2.55
2.56,2.60,2.62,2.56
2.55,2.64,2.64,2.55
2.61,2.62,2.72,2.60
2.64,2.57,2.70,2.57
2.58,2.56,2.58,2.56
2.56,2.61,2.69,2.56
2.63,2.63,2.63,2.60
2.63,2.65,2.67,2.63
2.65,2.75,2.92,2.65
2.80,2.77,2.85,2.75
2.85,2.81,2.88,2.81
2.82,2.73,2.90,2.73
2.70,2.72,2.78,2.70
2.80,2.80,2.80,2.71
2.80,2.75,2.80,2.75
2.77,2.75,2.77,2.71
2.71,2.80,2.80,2.70
2.72,2.69,2.72,2.65
2.71,2.71,3.04,2.69
2.65,2.70,2.75,2.60
2.74,2.65,2.74,2.63
2.69,2.62,2.69,2.62
2.63,2.62,2.78,2.60
2.78,2.57,2.82,2.57
2.58,2.61,2.63,2.58
2.62,2.60,2.76,2.59
2.75,2.71,2.79,2.59
2.66,2.61,2.75,2.60
2.63,2.52,2.63,2.43
2.53,2.51,2.53,2.43
2.50,2.42,2.59,2.42
2.40,2.45,2.76,2.40
2.45,2.50,2.75,2.43
2.50,2.50,2.50,2.50
2.57,2.60,2.63,2.47
2.55,2.60,2.60,2.51
2.60,2.60,2.60,2.60
2.50,2.50,2.57,2.50
2.50,2.54,2.60,2.50
2.61,2.48,2.66,2.48
2.50,2.41,2.50,2.40
2.43,2.45,2.47,2.40
2.47,2.42,2.60,2.42
2.43,2.45,2.45,2.40
2.42,2.53,2.53,2.40
2.40,2.42,2.43,2.40
2.44,2.44,2.55,2.42
2.47,2.42,2.47,2.40
2.40,2.41,2.42,2.33
2.42,2.42,2.42,2.42
2.41,2.43,2.43,2.40
2.41,2.43,2.43,2.40
2.47,2.44,2.49,2.42
2.41,2.41,2.49,2.40
2.54,2.38,2.54,2.38
2.38,2.41,2.44,2.38
2.32,2.45,2.45,2.31
2.45,2.55,2.55,2.41
2.47,2.52,2.56,2.40
2.52,2.45,2.58,2.40
2.45,2.49,2.49,2.40
2.40,2.40,2.42,2.40
2.42,2.40,2.42,2.40
2.50,2.42,2.50,2.42
2.40,2.44,2.44,2.40
2.43,2.43,2.43,2.43
2.42,2.42,2.42,2.42
2.40,2.42,2.52,2.40
2.43,2.46,2.53,2.41
2.46,2.46,2.46,2.46
2.46,2.47,2.47,2.44
2.47,2.58,2.60,2.46
2.53,2.71,2.71,2.50
2.52,2.58,2.58,2.52
2.70,2.68,2.73,2.51
2.68,2.68,2.68,2.68
2.69,2.70,2.70,2.68
2.70,2.79,2.83,2.70
2.74,2.79,2.79,2.73
2.76,2.79,2.81,2.74
2.76,2.70,2.78,2.66
2.67,2.65,2.83,2.65
2.65,2.89,3.03,2.62
2.85,2.76,2.85,2.65
2.74,2.93,2.95,2.74
2.95,2.96,2.98,2.95
2.95,2.80,2.95,2.77
2.80,2.80,2.80,2.80
2.85,2.94,3.07,2.81
2.92,2.93,2.93,2.91
2.90,2.86,2.90,2.75
2.94,2.99,3.00,2.94
2.87,2.96,2.96,2.87
2.93,2.85,2.98,2.75
2.75,2.80,2.97,2.75
2.94,2.91,2.94,2.80
2.91,2.91,2.91,2.91
2.85,2.85,2.85,2.85
2.94,2.94,2.94,2.94
2.82,3.00,3.03,2.82
2.92,3.01,3.02,2.92
2.86,3.02,3.02,2.86
2.94,3.07,3.09,2.93
3.05,3.04,3.05,2.96
3.04,3.04,3.04,3.04
3.00,3.00,3.01,2.92
2.93,3.06,3.18,2.88
3.07,3.21,3.21,2.99
3.20,3.21,3.23,3.20
3.21,3.21,3.21,3.21
2.98,3.24,3.25,2.97
3.19,3.19,3.19,3.10
3.11,3.23,3.23,2.97
3.20,3.20,3.25,3.11
3.20,3.20,3.20,3.20
3.21,3.21,3.21,3.21
3.21,3.26,3.32,3.21
3.25,3.25,3.25,3.16
3.25,3.25,3.25,3.01
3.25,3.25,3.30,3.22
3.27,3.30,3.32,3.26
3.33,3.40,3.40,3.26
3.38,3.52,3.55,3.38
3.27,3.38,3.47,3.25
3.31,3.32,3.36,3.21
3.35,3.35,3.35,3.35
3.31,3.30,3.34,3.30
3.33,3.29,3.40,3.28
3.17,3.13,3.25,3.02
3.19,3.15,3.19,3.15
3.02,3.05,3.20,2.63
3.03,3.01,3.07,3.00
2.92,3.10,3.12,2.92
3.10,3.00,3.10,3.00
3.13,3.00,3.13,2.85
3.06,3.01,3.11,2.85
3.01,3.01,3.01,3.01
3.12,3.13,3.13,3.12
3.05,2.96,3.05,2.96
2.90,2.96,3.01,2.90
2.94,2.95,2.98,2.94
2.90,2.90,2.95,2.90
2.90,2.93,3.12,2.90
2.98,3.07,3.09,2.93
3.10,2.95,3.10,2.95
2.95,2.95,3.07,2.95
3.01,3.00,3.03,3.00
2.95,2.97,2.98,2.92
2.87,2.95,2.95,2.85
2.95,2.97,2.97,2.85
2.85,2.93,2.95,2.85
2.92,3.00,3.00,2.92
2.99,2.90,3.09,2.85
2.90,2.92,2.92,2.90
2.90,2.85,2.92,2.85
2.86,2.93,3.00,2.85
3.02,2.86,3.02,2.82
2.86,2.93,2.93,2.86
2.93,2.93,2.93,2.93
2.85,2.87,2.88,2.85
2.90,2.89,2.91,2.82
2.81,2.93,2.93,2.81
2.94,2.92,2.94,2.83
2.85,2.93,2.93,2.85
2.90,2.91,2.94,2.90
2.91,2.90,2.94,2.90
2.90,2.90,2.90,2.90
2.94,3.01,3.11,2.94
2.98,3.10,3.19,2.98
3.01,3.18,3.18,3.01
3.14,3.11,3.29,3.03
3.14,3.17,3.18,3.05
3.10,3.17,3.18,3.10
3.19,3.19,3.30,3.18
3.24,3.15,3.29,3.10
3.24,3.31,3.31,3.24
3.31,3.34,3.35,3.31
3.37,3.39,3.39,3.31
3.38,3.40,3.41,3.31
3.42,3.47,3.49,3.41
3.42,3.48,3.48,3.41
3.43,3.38,3.46,3.33
3.32,3.25,3.35,3.25
3.24,3.35,3.42,3.22
3.36,3.41,3.41,3.35
3.40,3.41,3.42,3.39
3.38,3.38,3.40,3.38
3.35,3.41,3.42,3.33
3.41,3.55,3.55,3.41
3.55,3.59,3.65,3.55
3.60,3.59,3.65,3.55
3.56,3.60,3.60,3.56
3.60,3.56,3.63,3.56
3.49,3.53,3.60,3.41
3.46,3.59,3.60,3.46
3.52,3.52,3.59,3.52
3.51,3.50,3.60,3.50
3.56,3.51,3.61,3.51
3.51,3.66,3.75,3.51
3.70,3.78,3.87,3.66
3.75,3.80,3.80,3.74
3.61,3.67,3.85,3.60
