MCK,McKesson Corporation Common Stock,NASDAQ
62.21,61.96,63.57,61.76
62.30,61.78,62.77,61.52
62.09,60.70,62.22,60.18
60.43,59.88,60.78,59.54
60.27,61.22,61.67,60.24
60.93,60.32,61.07,60.06
60.30,60.52,60.85,60.15
60.59,60.78,61.13,60.23
60.58,60.91,61.10,60.45
60.62,61.26,61.48,60.60
61.42,62.43,62.66,61.40
62.40,61.99,62.91,61.94
62.41,62.38,62.78,61.95
62.23,62.61,62.89,61.99
61.97,61.20,62.05,60.39
61.19,61.08,61.81,60.95
61.54,61.31,61.64,60.41
61.46,61.08,61.85,60.97
61.38,61.68,62.38,61.31
61.38,61.91,62.48,60.67
65.64,65.40,66.07,64.74
65.51,65.03,65.83,64.70
64.72,65.98,66.08,64.55
66.00,67.88,68.00,65.81
68.28,66.95,68.28,66.80
66.85,67.39,67.63,66.80
67.93,67.05,68.00,66.78
67.04,66.30,67.21,66.22
65.98,65.62,66.03,65.46
65.56,64.99,65.93,64.92
64.93,65.18,65.18,64.05
64.90,65.72,65.73,64.31
65.08,65.09,65.53,64.76
65.32,64.59,65.32,64.39
64.34,64.12,64.68,63.55
64.26,64.70,64.90,63.74
65.04,65.39,66.35,64.96
65.45,66.00,66.10,65.13
65.95,65.12,65.95,64.51
64.90,64.19,64.90,63.96
64.82,64.80,65.11,64.08
64.28,64.51,64.75,63.83
64.09,64.26,64.41,63.50
63.61,63.90,64.49,63.32
64.56,65.67,65.89,64.38
65.56,66.83,66.88,65.38
66.55,67.01,67.04,65.65
66.72,66.56,66.89,66.44
66.83,66.85,67.47,66.80
67.12,66.46,67.27,65.84
66.68,67.35,67.52,66.60
67.52,68.09,68.16,67.42
68.08,67.35,68.08,67.03
67.64,68.52,69.11,67.51
69.05,68.29,69.62,68.23
68.28,68.63,68.69,67.68
68.44,68.81,69.21,68.17
69.15,69.41,69.59,68.71
69.49,69.95,70.02,69.29
69.83,70.97,71.03,69.75
70.77,70.86,70.97,70.42
70.67,70.81,70.98,70.50
70.81,70.63,70.89,70.60
70.81,70.60,71.00,70.43
70.58,70.55,71.09,70.22
70.53,70.38,70.67,70.22
70.53,71.21,71.62,70.44
71.15,71.82,71.96,71.00
71.50,72.33,72.36,71.32
72.19,74.86,74.89,72.19
74.39,74.00,74.49,73.36
73.92,73.60,74.47,73.47
73.85,74.47,74.78,73.63
74.93,73.99,74.98,73.75
74.13,74.40,74.90,74.01
74.23,74.17,74.29,73.82
74.35,74.95,75.22,74.23
74.98,74.24,75.04,73.83
74.09,73.76,74.32,73.21
74.16,73.21,74.42,73.15
73.36,74.25,74.29,73.33
73.97,74.57,74.99,73.75
74.86,75.35,75.49,74.41
74.99,75.19,75.33,74.10
75.07,74.15,75.17,73.82
74.91,75.17,75.26,73.38
76.40,77.60,77.83,76.40
77.24,76.88,77.72,76.35
75.57,76.84,77.00,75.04
76.91,77.74,77.85,76.21
77.70,77.18,78.45,77.13
77.34,78.34,78.38,77.28
78.48,78.55,78.87,78.11
78.43,78.46,78.54,77.70
78.09,78.77,79.00,77.52
78.83,79.42,79.46,78.83
79.33,79.07,79.37,78.99
79.29,79.67,79.88,79.02
79.58,80.42,80.52,79.08
80.59,80.64,81.00,80.12
80.11,78.51,80.16,78.26
78.30,78.50,78.68,77.57
78.15,78.21,78.83,77.69
78.32,79.21,79.22,78.21
79.02,79.28,79.90,78.96
79.47,79.29,79.96,79.23
79.06,77.97,79.24,77.60
78.74,80.02,80.59,78.47
80.09,80.48,80.59,79.49
80.49,78.56,80.94,78.43
78.71,78.32,79.06,78.04
78.32,79.70,79.75,77.94
78.98,78.38,78.98,78.28
78.21,77.81,78.57,77.74
77.33,77.26,78.23,76.88
75.83,76.89,77.51,75.56
76.61,75.63,76.81,75.07
76.60,76.85,77.34,76.51
77.78,77.92,78.16,77.07
78.63,78.90,79.76,78.58
78.93,78.81,79.13,78.53
78.45,78.44,78.75,77.89
78.74,79.73,79.93,78.41
79.72,79.59,80.33,79.54
79.73,79.71,80.03,79.37
79.63,79.95,80.21,79.58
80.10,80.12,80.43,79.80
79.89,79.05,80.05,78.99
79.30,79.77,79.82,79.25
79.67,79.31,79.81,79.04
78.57,79.15,79.18,78.47
79.31,78.62,79.55,78.40
78.36,78.58,79.38,78.12
78.84,78.50,78.99,78.08
78.36,78.42,78.96,78.22
78.26,77.60,78.64,77.55
77.85,78.10,78.31,77.58
77.72,78.77,78.94,77.57
78.99,80.61,80.82,78.95
79.83,79.90,80.14,78.61
79.97,80.91,80.92,79.86
81.69,81.95,82.43,81.42
82.30,82.48,82.99,81.79
82.29,83.08,83.22,82.04
83.42,83.45,83.54,82.69
83.75,84.21,84.28,83.69
84.01,83.00,84.68,82.65
83.07,83.01,83.23,82.61
83.01,83.10,83.42,82.72
83.19,83.13,83.82,82.60
80.93,82.92,82.97,80.75
82.54,82.84,83.50,82.27
83.25,82.74,84.40,82.50
82.78,84.74,84.99,82.76
84.93,85.48,85.82,84.51
85.48,84.90,85.97,84.37
84.74,85.02,85.08,84.02
85.02,84.24,85.09,83.76
84.01,85.09,85.37,84.01
84.83,84.78,84.85,84.36
84.81,86.88,87.10,84.61
87.00,86.64,87.32,86.11
86.69,85.07,86.72,84.99
83.88,84.17,84.45,83.29
84.14,83.51,84.23,83.04
83.36,84.20,84.50,83.36
83.77,84.87,85.00,83.10
84.86,85.04,85.07,84.52
85.91,85.61,85.97,85.11
85.64,85.18,85.89,85.08
85.00,84.76,85.14,84.33
84.01,84.28,84.46,83.61
84.00,84.48,84.71,83.85
84.81,84.35,85.10,84.32
84.09,84.23,84.34,83.61
84.39,84.93,85.59,84.17
84.64,83.25,84.64,82.88
83.42,83.48,83.88,83.33
84.35,84.50,84.84,84.14
83.85,83.33,84.51,83.14
83.22,82.49,83.32,82.24
82.95,82.41,83.33,81.81
82.35,83.02,83.20,82.29
83.54,83.81,84.01,83.50
83.52,83.11,83.90,83.05
82.62,82.04,82.63,81.34
81.95,81.55,82.07,81.25
81.33,81.98,82.46,80.97
82.45,83.38,83.38,82.31
83.47,82.90,83.54,82.61
83.19,83.65,83.80,83.13
83.79,84.08,84.40,83.61
84.12,84.00,84.40,83.52
83.97,84.32,84.67,83.70
84.87,84.87,84.96,84.19
84.28,84.54,84.59,84.10
83.75,83.40,83.86,83.11
83.30,83.04,84.11,82.85
83.40,83.17,83.89,82.97
83.01,82.94,83.99,82.78
83.35,82.48,83.35,82.11
82.21,81.79,82.40,81.08
82.03,81.95,82.23,81.33
82.41,82.27,82.65,81.78
82.62,82.11,82.62,79.87
81.68,82.31,82.61,81.63
81.74,81.27,82.17,81.22
81.13,81.16,81.36,80.61
80.89,80.55,81.43,80.43
80.60,79.60,81.42,79.39
81.54,81.12,83.00,79.75
81.38,79.98,81.56,78.44
79.24,77.88,79.56,77.84
77.85,78.16,78.24,76.29
77.34,74.92,77.35,74.92
75.65,75.31,76.57,73.49
73.92,70.91,74.44,70.86
71.54,76.22,76.26,71.16
75.15,73.48,75.46,73.36
73.78,79.20,80.82,73.78
79.23,79.02,79.93,77.88
79.22,78.92,79.69,77.96
78.32,78.12,78.55,76.67
78.51,77.25,78.82,76.62
75.70,74.37,75.80,73.62
73.53,73.85,75.34,73.50
74.15,73.45,75.28,73.25
73.42,75.61,75.75,73.13
75.31,75.91,76.07,74.88
76.06,74.64,76.41,74.11
74.52,76.53,76.95,73.00
77.14,78.13,78.19,77.02
77.41,78.43,78.93,77.22
78.96,79.93,80.33,78.74
79.71,79.19,81.50,78.72
78.15,77.50,78.95,77.44
76.66,76.65,76.86,75.02
77.48,78.72,78.91,77.14
78.23,77.69,79.44,77.53
76.90,74.08,76.98,73.69
73.35,74.18,74.21,72.62
74.19,74.28,74.57,73.43
74.56,75.83,76.78,73.83
76.24,75.44,76.38,74.00
75.33,76.63,76.93,75.28
75.97,76.41,77.11,75.75
76.85,77.38,78.48,76.85
77.53,74.88,77.90,74.83
72.84,73.56,73.83,72.25
72.81,73.36,74.04,72.64
74.03,74.30,74.89,73.19
75.57,76.29,77.43,75.56
76.28,74.74,76.60,74.59
75.83,74.78,76.87,74.04
74.12,72.70,74.31,72.66
72.67,70.45,73.21,70.44
68.93,69.35,70.13,67.59
69.65,70.26,71.23,69.29
69.64,70.08,70.23,66.61
70.45,70.38,71.08,69.68
71.26,73.16,73.17,70.82
72.53,72.99,73.64,72.22
73.40,73.69,74.19,73.08
73.31,73.87,73.93,72.49
74.42,73.45,74.59,73.00
73.08,73.05,73.61,72.70
72.79,73.41,74.09,71.95
73.64,73.19,74.31,72.87
73.01,72.85,73.43,71.67
73.80,75.87,75.90,73.69
75.55,76.94,77.42,75.47
76.51,76.13,77.72,75.87
82.87,81.75,82.87,79.50
83.43,84.99,85.70,82.72
84.64,84.41,85.29,83.76
83.31,81.55,84.18,81.52
79.83,79.30,80.85,78.74
80.41,81.72,82.42,80.41
80.47,81.66,82.24,80.47
81.22,80.62,82.05,80.41
80.83,82.05,82.09,79.85
82.25,81.94,82.25,80.79
80.63,79.38,81.41,79.16
80.25,81.74,82.22,80.07
82.53,82.77,83.64,82.53
82.22,82.51,83.03,82.15
82.08,82.81,83.17,81.63
81.85,81.00,82.16,80.91
80.80,80.43,81.13,79.59
80.80,80.01,80.95,79.92
79.27,78.58,79.39,77.61
78.40,78.14,79.08,77.85
77.44,77.28,77.89,76.72
76.56,76.34,77.49,76.31
78.49,78.24,78.87,77.74
78.63,78.69,79.18,78.12
80.26,81.31,81.36,79.84
81.46,81.70,82.26,81.26
82.18,80.49,82.18,79.94
81.63,80.84,81.78,79.52
80.73,80.66,81.51,80.53
80.24,80.78,81.24,79.63
80.51,78.63,80.70,78.50
79.15,79.74,80.18,79.12
79.40,79.57,79.62,78.84
79.84,78.97,80.30,78.57
78.57,76.67,78.68,76.36
77.08,76.91,77.88,76.81
77.55,77.70,78.99,77.46
77.67,76.61,78.23,76.37
77.76,78.50,79.13,77.73
78.37,77.84,78.83,77.19
77.81,78.35,78.64,77.69
78.50,78.73,78.91,78.41
78.34,79.05,79.27,78.34
78.98,77.24,79.06,77.19
77.56,78.28,78.40,77.41
78.34,77.91,78.52,77.87
79.04,79.54,79.84,78.80
79.17,79.08,79.80,78.78
78.62,77.82,78.69,77.70
77.82,78.67,78.76,77.64
78.48,79.75,79.90,78.22
80.18,79.68,80.84,79.29
79.23,78.77,79.39,78.61
79.11,78.15,79.16,78.13
77.73,77.24,77.89,76.87
78.04,77.45,78.40,77.29
77.17,75.97,77.17,75.62
75.96,75.89,76.12,74.89
75.90,76.51,77.17,75.78
76.40,76.54,77.46,76.40
76.11,76.55,76.84,76.00
76.50,77.85,77.96,76.18
77.90,78.56,79.09,77.27
78.54,79.31,79.86,78.53
79.05,78.69,79.12,78.05
82.91,81.72,83.29,80.71
82.01,82.80,82.94,81.75
82.73,82.33,82.74,81.75
82.42,80.80,82.69,80.42
80.60,82.30,82.33,80.57
81.89,82.69,82.75,81.83
82.80,82.84,82.95,82.47
82.79,82.19,82.79,81.78
81.73,81.34,81.91,81.11
81.59,81.66,81.87,80.80
81.07,81.86,82.41,81.07
81.89,81.30,82.11,81.05
81.32,81.01,81.32,80.61
81.12,82.57,82.86,81.06
82.52,81.33,82.68,80.94
81.58,80.95,81.86,80.73
80.85,81.10,81.44,80.70
81.27,82.00,82.18,80.61
81.36,82.11,82.33,81.12
81.92,82.48,82.90,81.31
82.78,83.51,83.90,82.15
83.49,83.92,84.06,83.07
83.69,82.17,83.93,81.76
82.10,82.25,82.88,81.85
81.76,82.28,82.55,81.53
82.42,83.01,83.20,81.76
83.43,85.56,85.90,83.33
85.40,86.40,87.08,85.36
86.75,86.54,87.04,86.02
86.89,86.72,87.13,85.92
86.72,87.31,87.68,86.38
87.23,87.47,87.47,86.55
87.68,87.56,88.02,87.16
87.59,87.20,87.72,86.84
86.89,87.11,87.27,86.68
87.16,86.76,87.35,86.65
86.02,86.18,86.67,85.99
86.20,86.38,86.92,85.61
87.16,87.60,87.83,87.09
87.82,88.31,88.60,87.77
88.38,88.18,88.84,87.71
87.55,88.59,88.68,87.35
88.74,87.77,88.91,87.72
87.65,88.67,88.81,87.59
88.88,88.54,88.92,88.05
87.90,87.89,88.33,87.56
87.53,87.83,88.12,87.33
87.00,87.34,88.03,86.64
87.04,86.76,87.94,86.76
87.73,87.90,88.09,87.13
90.81,91.34,92.69,90.50
91.22,90.48,91.45,90.02
90.21,89.77,90.60,89.43
90.16,91.36,91.51,89.97
91.20,91.22,91.33,90.75
91.34,90.57,91.48,89.99
90.77,91.00,91.39,90.68
90.01,90.65,91.25,89.69
90.90,90.98,91.21,90.49
91.53,91.38,91.90,91.08
91.41,91.27,92.12,90.77
91.77,91.05,92.18,91.00
91.13,91.41,92.46,91.13
88.74,90.44,91.19,88.66
90.24,90.17,90.42,89.81
90.18,90.59,91.26,89.78
90.41,89.58,90.68,89.38
89.28,89.59,89.90,89.28
89.35,89.77,89.85,88.53
89.15,89.46,90.03,88.70
89.78,89.71,90.24,89.45
89.39,90.15,90.70,89.21
89.39,89.44,89.96,89.01
89.44,88.88,89.57,88.61
89.01,88.95,89.73,88.66
89.17,87.99,89.23,87.98
88.39,87.45,88.81,86.47
87.33,87.29,87.58,86.52
86.30,87.24,87.54,86.17
86.84,86.64,86.99,85.95
86.66,86.99,87.50,86.39
86.75,87.69,87.94,86.71
87.95,87.62,88.00,87.18
87.04,86.93,87.61,86.91
86.76,87.28,87.92,86.50
86.22,86.70,87.12,86.22
86.68,87.31,87.31,86.36
86.97,87.58,87.68,86.67
87.82,88.13,88.40,87.47
88.63,87.77,89.45,87.69
87.78,88.42,88.52,87.67
88.85,87.99,88.92,87.91
87.22,88.81,88.96,87.22
88.78,88.69,89.29,88.50
89.07,89.84,90.25,88.90
90.36,91.00,91.01,90.27
90.39,92.04,92.21,90.39
92.05,92.81,93.29,91.84
93.00,92.24,93.24,91.74
93.46,91.49,93.46,91.36
91.71,91.67,92.06,90.85
91.18,91.02,91.20,90.50
91.46,91.83,92.47,91.04
92.70,92.31,92.82,92.15
91.84,93.27,93.43,91.72
94.47,93.75,94.47,93.43
94.00,95.03,95.29,93.75
94.85,95.67,96.02,94.66
95.60,94.53,95.79,94.36
93.88,93.52,94.32,93.34
93.73,93.92,94.14,93.50
93.98,93.30,94.79,93.11
93.37,93.60,94.48,93.36
93.55,93.63,94.10,93.07
93.52,94.88,95.08,93.50
94.70,94.62,94.88,94.30
95.00,96.25,96.47,94.49
96.04,96.67,97.19,95.90
96.66,96.25,97.23,96.19
96.07,95.34,96.11,95.14
94.86,93.83,94.95,93.54
94.01,92.77,94.01,92.08
93.05,92.68,93.14,91.71
93.70,92.26,94.47,91.31
93.28,91.74,94.18,91.25
91.61,90.65,91.62,90.08
90.94,90.73,92.01,90.08
90.88,89.12,90.99,89.07
88.75,87.57,88.75,87.25
88.46,87.43,89.05,87.34
87.44,87.67,88.43,87.19
87.73,88.41,88.93,87.70
88.10,88.38,88.88,87.70
88.48,88.60,89.14,88.10
88.16,89.06,89.11,87.87
88.70,89.09,89.18,88.13
89.18,88.90,89.47,88.65
88.80,88.78,89.14,88.50
88.80,88.67,88.91,87.97
87.65,86.42,87.65,86.05
86.53,86.46,86.77,86.10
86.48,86.65,87.38,86.48
86.56,86.26,87.34,86.25
86.39,86.51,87.15,86.21
86.43,87.19,87.39,86.25
87.15,87.59,88.13,86.81
87.26,87.63,88.03,86.90
87.73,87.91,88.13,87.41
87.55,86.81,87.61,86.74
87.09,87.11,87.37,86.22
87.24,87.20,87.37,86.66
88.21,88.65,88.99,87.85
89.01,89.44,89.77,88.87
89.36,88.50,89.84,88.22
88.35,87.84,88.62,87.84
87.84,87.45,87.89,87.33
87.93,87.08,87.93,87.00
87.00,87.95,88.02,86.99
87.80,87.40,87.80,85.62
87.17,86.61,87.62,86.45
86.61,86.95,87.09,85.85
86.91,85.48,87.04,85.32
85.03,86.22,86.22,84.65
86.60,86.72,87.58,86.40
86.34,87.00,87.70,86.25
87.33,87.65,87.91,87.11
87.82,87.79,88.60,87.68
88.00,87.15,88.04,86.95
87.04,86.03,87.04,85.84
86.22,85.91,86.70,85.81
85.90,86.39,86.39,85.57
86.36,87.20,87.66,86.02
87.79,89.87,90.63,87.52
90.00,89.47,90.57,89.18
89.47,89.13,89.72,88.97
89.28,89.85,89.96,89.22
89.69,89.04,89.69,88.45
89.53,89.00,89.76,89.00
89.03,89.28,89.95,89.00
89.42,90.88,91.05,89.26
90.88,92.45,92.47,90.88
92.20,91.26,92.62,91.12
91.25,91.34,91.53,90.96
91.16,90.20,91.16,89.60
89.81,90.71,90.78,89.81
89.97,89.60,90.24,89.43
89.69,89.51,90.37,89.36
92.00,93.16,94.51,92.00
92.95,92.58,93.55,92.20
93.00,93.31,93.64,92.00
93.47,94.60,94.62,93.18
94.77,93.30,96.08,93.12
92.98,93.31,93.61,92.75
93.27,93.48,94.10,92.53
93.00,94.69,95.00,92.61
94.22,92.56,94.50,92.55
92.51,92.94,93.84,92.48
93.16,92.70,93.37,92.44
92.41,93.24,93.99,92.38
93.35,92.27,93.54,91.75
92.26,91.31,92.81,91.02
91.41,92.06,92.34,90.60
92.53,92.71,92.96,92.40
92.57,93.49,93.89,92.51
93.39,93.27,93.76,93.00
93.65,94.11,94.11,93.07
93.76,93.56,93.81,93.05
93.43,92.75,93.73,92.33
92.69,92.96,93.34,91.84
93.20,93.72,94.07,93.08
93.64,94.47,94.90,93.52
94.50,94.58,95.37,94.45
94.50,94.48,95.21,93.97
94.17,94.32,94.58,92.86
94.38,94.74,94.79,94.10
94.99,95.30,95.56,94.55
95.00,95.66,96.04,95.00
95.74,97.43,97.58,95.74
97.49,97.30,98.00,97.07
97.38,97.83,98.01,97.01
97.30,98.25,98.28,97.30
98.30,98.63,98.70,97.79
98.94,99.62,100.00,98.65
99.56,97.97,99.58,97.97
98.06,99.08,99.11,97.93
98.23,98.00,99.00,96.77
97.76,97.59,98.14,97.18
97.75,96.60,97.93,96.38
96.60,96.42,97.02,95.47
96.14,95.89,96.95,95.84
95.88,96.96,96.98,95.48
97.95,97.60,98.00,96.67
97.76,98.74,98.80,97.61
98.98,99.94,100.05,98.74
99.44,100.00,100.11,98.97
100.19,100.79,101.12,100.10
100.77,101.10,101.63,100.48
101.56,101.66,102.00,100.98
102.06,101.08,102.06,101.00
101.10,101.44,101.65,100.70
100.92,102.37,102.48,100.87
102.02,102.13,102.57,101.32
102.20,102.94,103.27,102.13
103.22,103.98,103.98,102.59
103.87,103.69,103.98,102.87
103.54,104.91,105.00,103.50
105.16,106.19,106.35,105.02
106.33,106.62,106.73,105.47
106.90,105.47,106.90,105.39
105.72,106.54,106.71,105.38
106.46,105.65,106.55,105.57
105.49,105.23,105.89,105.17
103.48,103.19,105.86,102.47
102.52,102.01,103.06,101.86
102.11,102.21,102.97,101.73
101.88,102.42,102.76,101.46
102.40,103.17,103.38,102.32
103.22,103.80,103.88,102.95
103.46,103.53,103.95,103.13
103.82,104.83,105.00,103.82
104.77,104.91,105.43,104.69
104.61,104.21,104.97,104.14
104.42,103.42,104.72,103.12
103.24,103.87,104.59,103.24
103.88,103.41,104.24,102.97
103.00,102.80,103.39,101.78
102.79,103.66,104.00,102.13
103.82,102.12,104.64,102.12
102.56,104.08,104.41,102.56
103.53,105.60,106.31,103.53
105.66,106.13,107.03,105.60
106.02,107.46,107.94,105.55
107.26,107.39,107.81,106.13
107.47,108.39,108.78,107.37
108.51,108.32,109.47,108.24
108.25,108.05,109.13,107.83
108.54,109.32,109.54,108.20
109.22,109.76,110.00,109.02
109.64,109.85,110.86,109.36
109.76,110.61,111.18,109.71
110.73,111.23,111.55,110.73
111.35,110.48,111.39,110.11
109.87,109.79,110.17,109.42
108.99,106.87,108.99,104.52
107.35,107.05,107.88,106.65
106.77,106.70,107.49,106.02
107.05,107.89,107.96,106.92
108.29,107.62,108.69,107.43
108.25,107.93,108.72,107.76
107.46,107.76,107.98,107.12
107.70,107.96,108.03,107.31
107.77,107.93,108.35,107.62
108.40,108.49,109.32,108.20
108.56,107.68,109.00,107.25
107.59,107.95,108.79,107.09
106.94,106.83,107.50,106.48
106.67,106.94,107.55,106.27
107.18,106.83,107.33,106.77
107.33,107.42,107.99,107.29
107.65,108.78,109.67,107.64
108.54,108.36,109.37,107.88
107.99,106.93,108.58,106.93
107.00,107.77,107.82,106.43
107.16,106.73,107.31,106.35
106.90,105.46,106.90,104.94
105.90,106.25,106.55,104.82
106.04,106.02,106.78,105.75
106.51,106.23,107.70,105.63
106.44,107.01,107.15,106.28
107.04,104.95,108.16,104.58
104.94,104.18,105.37,103.95
104.17,104.49,105.17,102.68
104.45,105.82,105.83,103.53
105.81,105.75,106.10,105.19
106.25,107.44,107.44,105.77
108.05,108.14,108.60,107.15
108.04,108.23,109.02,108.00
108.40,108.63,108.72,107.78
112.21,116.11,116.15,112.02
116.07,115.77,116.94,115.17
115.59,115.29,115.78,114.85
114.97,114.61,115.05,114.19
114.51,115.12,115.63,114.51
115.32,116.24,117.20,115.32
115.74,115.41,116.32,115.30
115.66,116.89,117.00,115.48
116.63,118.02,118.82,116.63
118.00,118.41,118.57,117.11
118.20,117.55,119.32,117.20
116.72,117.28,117.75,116.18
116.79,117.31,117.64,116.09
117.80,116.31,118.30,115.22
113.40,114.37,114.79,113.01
114.21,114.94,115.42,113.58
114.59,113.86,115.67,113.81
114.28,112.74,114.28,111.83
112.54,112.31,113.33,111.37
111.62,111.67,112.86,111.39
111.79,111.81,112.31,111.13
112.68,113.96,114.85,112.65
114.10,114.66,115.32,114.07
113.63,112.87,114.31,112.72
113.80,112.02,114.00,111.99
112.18,113.85,113.95,111.31
113.63,114.29,115.23,113.48
115.01,114.38,115.19,113.72
114.83,114.62,115.77,114.39
114.79,113.93,115.95,113.92
