RNR,RenaissanceRe Holdings Ltd. Common Stock,NASDAQ
56.94,57.35,57.39,56.94
57.27,56.90,57.64,56.86
56.77,57.24,57.27,56.53
57.55,57.43,57.55,56.97
57.39,57.19,57.46,57.11
56.95,57.01,57.16,56.86
56.93,57.13,57.17,56.58
57.13,56.74,57.13,56.61
56.70,55.37,56.81,55.34
55.62,55.62,56.79,55.16
55.87,55.57,56.00,55.00
55.71,55.95,56.18,55.36
56.11,55.69,56.40,55.38
55.03,54.67,55.62,54.58
54.27,55.41,55.56,54.15
55.24,54.46,55.84,53.56
54.36,54.06,55.28,53.94
56.01,55.58,56.19,54.71
54.86,55.84,56.13,54.86
56.16,56.54,56.54,55.78
56.62,57.26,57.71,56.60
57.10,56.15,57.14,56.01
56.40,56.52,56.76,55.80
56.75,56.38,57.99,56.19
56.40,57.40,57.57,56.39
56.65,55.21,56.92,55.21
54.73,54.09,54.74,53.62
53.21,53.06,54.04,53.03
52.22,53.42,53.52,52.19
53.39,52.93,53.76,52.84
53.24,54.90,54.93,53.24
54.88,54.06,54.88,54.06
53.88,53.42,54.78,53.37
53.75,55.17,55.17,53.66
55.03,55.93,56.23,55.03
54.99,54.42,55.34,54.25
54.37,54.16,54.86,54.12
54.28,55.04,55.14,53.70
55.28,55.03,55.77,54.89
55.55,56.06,56.18,55.42
55.36,56.62,56.63,55.36
56.71,56.70,57.42,56.67
56.97,58.24,58.33,56.66
57.99,57.98,58.36,57.80
58.03,58.56,58.57,57.70
58.52,58.81,59.00,58.38
59.07,58.19,59.28,57.98
58.30,58.04,58.98,57.92
57.98,57.83,58.89,57.61
57.69,57.28,57.98,56.94
57.28,58.15,58.24,57.27
58.25,57.67,58.25,57.58
56.82,56.54,57.28,56.27
56.30,56.27,57.14,56.12
56.24,55.40,56.33,54.69
55.76,55.06,55.79,55.02
55.74,55.09,55.81,54.76
54.93,56.24,56.26,54.75
56.57,56.68,56.69,56.19
56.57,57.38,57.38,56.57
57.32,56.57,57.39,56.42
56.97,57.66,57.73,56.91
57.64,57.77,58.00,57.36
57.81,57.27,57.81,56.76
57.00,55.54,57.17,55.52
55.64,55.76,55.97,55.20
55.41,56.17,56.21,55.06
56.21,56.19,56.87,56.08
56.71,57.17,57.17,56.66
57.01,57.65,57.69,56.89
57.86,58.43,58.44,57.64
58.77,58.44,58.89,58.38
58.54,56.58,58.56,56.32
56.81,56.88,57.13,56.04
56.61,57.22,57.43,56.41
58.06,57.99,58.36,57.44
57.99,57.00,58.01,56.86
57.30,58.25,58.28,57.08
58.08,57.47,58.46,57.38
57.18,57.80,57.82,56.75
58.01,57.83,58.02,57.52
57.58,57.59,57.83,57.15
56.47,56.15,56.57,56.08
55.63,55.81,56.04,55.39
55.62,55.86,56.17,55.62
55.53,55.76,55.85,55.29
56.26,56.97,57.14,56.22
57.01,57.09,57.29,56.61
56.87,56.13,56.97,56.11
56.02,55.99,56.32,55.57
56.20,55.88,56.50,55.83
55.18,56.59,56.83,55.18
56.32,57.28,57.32,56.27
57.51,57.26,57.59,56.98
57.29,57.52,57.60,56.93
57.41,56.50,57.41,56.38
56.25,56.79,56.82,55.83
57.01,57.91,57.95,56.93
57.82,57.49,58.02,57.23
58.15,58.11,58.15,57.64
57.64,56.74,57.72,56.64
56.74,57.26,57.35,56.74
57.64,58.14,58.20,57.46
58.15,58.13,58.21,57.56
58.40,58.67,58.77,57.77
58.77,59.07,59.21,58.43
58.76,59.25,59.56,58.64
59.04,58.90,59.29,58.87
59.10,58.97,59.28,58.90
59.19,59.93,60.00,58.87
60.00,58.95,60.00,58.94
58.84,59.55,59.69,58.70
59.10,58.68,59.36,58.64
59.30,59.24,59.47,58.98
59.24,58.86,59.68,58.75
58.79,58.50,59.00,58.33
58.41,58.95,59.02,58.08
59.25,59.96,60.30,59.24
60.33,59.46,60.38,59.19
59.29,59.52,59.63,59.15
60.07,60.15,60.27,58.93
59.94,59.35,60.13,59.27
59.62,59.16,59.62,59.13
59.30,59.61,59.76,59.03
59.55,59.55,59.82,59.38
59.53,59.91,59.99,59.31
60.00,60.95,61.20,59.97
60.98,60.40,61.20,60.20
60.62,60.64,61.32,60.59
60.89,60.67,60.89,60.45
60.24,60.05,60.51,59.91
60.18,60.30,60.53,60.05
60.46,60.48,60.68,60.35
60.60,60.60,60.86,60.54
61.00,60.76,61.24,60.72
60.46,61.54,61.95,60.40
61.06,61.14,61.34,60.81
60.16,60.66,60.91,59.03
60.40,60.26,60.51,59.98
60.39,60.73,61.11,60.18
61.05,61.49,61.51,60.88
61.41,61.33,61.51,60.78
61.80,62.67,62.69,61.68
62.64,62.37,62.87,62.17
62.23,61.76,62.56,61.57
61.75,60.89,62.06,60.79
60.96,62.45,62.45,60.58
61.93,62.12,62.23,61.80
61.77,60.97,61.89,60.95
61.08,60.89,61.47,60.75
60.58,59.94,60.69,59.62
59.91,59.95,60.14,59.64
60.52,60.79,60.85,60.10
60.58,60.48,60.98,60.41
60.24,60.74,60.96,60.11
60.02,61.33,61.55,60.02
61.55,62.16,62.20,61.47
62.16,62.02,62.51,61.63
61.95,61.23,62.39,60.63
61.02,60.28,61.02,59.93
60.89,60.74,61.73,60.51
60.87,61.40,61.63,60.87
61.02,61.53,61.65,60.91
61.26,61.70,61.79,61.26
62.15,61.92,62.43,61.78
61.99,62.39,62.46,61.80
62.42,62.72,62.96,62.42
62.78,63.12,63.36,62.68
63.16,63.61,63.82,62.98
63.61,63.27,64.08,63.23
63.21,62.19,63.29,62.17
62.21,62.48,62.64,62.13
62.19,62.21,62.52,61.95
62.82,62.34,62.97,62.14
62.71,62.28,62.81,62.20
62.27,63.29,63.53,62.27
63.30,63.39,63.56,63.30
63.16,63.56,63.74,63.14
63.60,64.03,64.27,63.60
64.05,64.23,64.50,64.05
64.23,64.23,64.47,64.18
64.20,63.69,64.29,63.68
64.00,64.00,64.40,63.92
64.26,63.35,64.35,63.27
63.07,63.58,63.80,63.07
63.68,62.42,63.87,62.38
62.58,61.98,62.68,61.51
61.65,62.88,62.93,61.65
63.61,63.51,64.07,63.18
63.65,64.22,64.22,63.65
64.26,63.85,64.30,63.80
63.65,64.19,64.34,63.53
64.03,64.44,64.69,64.03
64.31,64.25,64.50,64.01
64.00,64.09,64.38,64.00
64.52,64.15,64.53,63.98
64.09,65.07,65.21,64.09
64.63,65.48,65.72,64.49
65.25,65.80,66.02,65.09
65.79,65.98,66.18,65.60
66.07,65.11,66.08,64.99
65.14,65.62,65.77,65.14
65.95,65.86,66.08,65.53
65.50,65.61,65.95,65.40
65.86,66.26,66.49,65.76
66.12,66.65,66.72,66.12
66.80,67.09,67.21,66.53
67.05,67.14,67.52,66.94
67.44,68.56,69.21,67.44
68.09,68.53,68.61,67.15
68.50,69.53,69.58,68.47
69.41,69.61,70.07,69.41
69.36,69.76,70.14,69.02
69.26,69.76,69.90,68.26
69.60,70.20,70.35,69.58
70.22,70.58,70.58,70.13
69.66,68.53,69.66,68.45
68.74,67.05,68.74,66.99
67.00,66.83,67.24,66.20
66.99,67.14,67.33,66.77
67.58,67.02,67.59,66.80
67.31,66.21,67.33,66.20
66.35,66.30,66.77,66.01
66.79,66.56,67.01,66.23
66.70,65.86,66.70,65.65
65.87,65.75,66.11,65.68
65.94,65.87,66.15,65.70
65.72,65.68,65.93,65.51
65.20,64.63,65.51,64.54
63.37,63.98,64.49,61.84
63.00,65.40,65.52,62.97
64.00,65.60,65.82,63.75
65.06,63.90,65.61,63.74
63.46,63.32,64.00,60.64
63.82,63.63,64.02,63.52
64.40,65.25,65.29,64.10
65.20,64.93,65.52,64.80
64.98,65.52,65.79,64.56
65.66,64.84,65.74,64.82
64.90,64.50,64.95,64.39
64.69,64.21,64.81,64.17
64.21,64.27,65.10,64.13
64.62,67.05,67.13,64.49
67.25,68.99,69.26,66.96
69.36,69.42,70.00,68.98
69.43,71.17,71.69,69.43
70.91,70.83,71.27,70.55
70.91,71.72,72.00,70.55
71.60,71.38,71.84,70.97
71.24,71.13,71.83,71.10
71.07,72.11,72.37,70.81
71.87,70.77,72.02,70.55
71.19,71.40,71.85,70.90
70.22,68.67,71.26,68.37
68.77,69.08,69.32,67.96
68.37,68.54,68.65,67.58
68.76,69.15,69.55,68.34
69.83,69.51,70.07,69.43
69.79,69.34,69.92,69.03
69.23,69.40,69.72,69.02
69.50,69.43,70.00,69.28
69.52,70.00,71.01,67.61
70.00,71.19,71.25,69.77
71.27,70.28,71.29,70.24
70.77,69.50,70.77,69.38
69.59,70.07,70.39,69.59
69.71,68.95,70.06,68.78
68.83,69.62,70.15,68.58
70.41,69.12,70.56,68.94
69.22,68.94,69.22,68.65
69.00,69.27,69.54,69.00
69.28,69.38,69.76,68.86
69.15,70.07,70.17,69.06
69.94,70.10,70.37,69.46
69.85,70.55,70.88,69.62
70.39,70.25,70.46,69.69
70.23,70.83,70.87,69.90
71.00,71.70,71.92,70.66
71.61,73.17,73.93,71.52
72.24,71.71,72.44,71.64
71.70,71.26,72.03,71.18
71.06,70.69,71.47,70.48
70.87,72.30,72.40,70.73
72.33,72.18,72.94,72.03
72.55,71.96,72.81,71.62
71.82,71.02,72.40,70.89
70.96,71.93,72.03,70.64
71.10,71.50,72.02,71.04
71.36,70.62,71.38,70.50
70.95,70.82,71.08,70.49
70.82,70.61,71.15,70.49
70.65,71.60,71.79,69.91
71.45,70.00,71.48,69.98
69.90,70.45,70.65,69.76
70.84,70.98,71.46,70.50
70.52,69.97,70.53,69.67
69.90,70.12,70.75,69.76
70.50,70.00,70.67,69.95
69.83,70.38,70.66,69.70
70.57,70.40,70.97,69.70
70.00,69.81,70.64,69.76
69.27,69.22,69.44,68.27
69.14,68.88,69.45,68.41
68.66,69.33,69.67,68.50
69.29,68.84,69.75,68.84
68.82,69.97,70.02,68.82
70.19,69.95,70.29,69.36
69.61,70.56,70.60,69.37
70.49,69.40,70.49,69.08
69.19,69.47,69.58,68.36
69.89,70.46,70.82,69.76
69.86,71.25,71.37,69.54
70.61,69.72,70.85,69.64
69.40,70.11,70.63,69.40
70.59,70.49,71.37,70.27
70.46,70.21,70.80,69.99
70.63,69.69,70.63,69.56
69.65,68.61,69.93,68.03
69.36,69.36,69.39,68.91
69.71,69.12,69.71,68.71
69.52,70.04,70.29,69.20
70.29,69.85,70.54,69.77
69.57,70.26,70.68,69.36
70.97,71.70,72.30,70.04
70.46,71.00,72.17,68.88
70.93,70.11,71.42,69.94
69.47,69.59,70.09,69.29
70.23,68.22,70.45,68.08
67.84,67.90,68.43,67.84
68.08,67.33,68.12,66.51
66.85,65.48,67.02,65.39
66.04,64.17,66.35,63.20
63.37,60.13,63.79,60.12
60.85,62.88,62.95,60.00
61.81,60.52,62.56,60.41
60.83,63.31,64.01,60.39
63.73,62.49,63.96,62.04
63.19,63.90,64.27,63.11
63.60,64.05,64.45,63.21
64.34,64.35,64.80,64.00
62.57,61.97,62.94,61.64
61.32,60.98,62.71,60.93
62.24,60.60,62.26,60.22
61.05,61.39,61.41,60.37
61.43,61.43,62.05,60.70
61.90,60.77,62.14,60.44
60.28,62.15,62.20,59.50
62.93,65.11,65.13,62.90
64.96,64.80,65.23,64.17
64.99,65.57,65.76,64.62
65.51,65.68,66.31,65.30
64.76,63.98,64.88,63.96
62.73,64.57,64.70,62.49
65.45,66.74,66.77,65.11
66.47,66.70,67.65,66.01
66.18,64.62,66.35,64.46
64.10,65.46,65.51,63.89
65.64,66.80,66.95,65.64
66.88,66.70,67.29,65.23
66.96,66.72,67.06,66.23
66.73,65.89,66.73,65.18
65.03,65.24,65.72,64.57
65.42,65.62,66.20,65.36
65.85,63.50,65.85,63.47
62.26,62.87,63.65,62.26
62.60,62.46,62.89,61.87
63.06,63.25,63.28,61.97
64.13,63.97,65.01,63.73
63.99,62.53,64.20,62.52
63.46,63.63,63.84,62.47
63.15,63.80,64.72,62.64
63.39,60.93,63.74,60.79
60.34,63.26,63.45,60.34
63.28,63.44,63.63,61.79
63.22,63.87,63.89,62.53
63.85,62.31,64.04,62.29
63.18,65.19,65.20,63.02
64.69,64.36,65.46,64.28
64.47,63.40,64.55,62.38
63.31,63.20,63.93,62.92
63.67,63.00,63.94,62.49
62.63,61.86,63.16,61.81
62.06,62.38,62.43,61.63
62.54,63.77,64.20,62.37
63.60,65.89,65.90,63.29
66.31,68.17,68.17,66.17
68.18,69.04,69.51,67.84
68.68,66.56,68.99,66.44
67.92,67.06,67.95,66.37
69.11,68.28,69.33,67.46
68.11,67.94,68.50,67.53
67.18,68.12,68.95,67.05
66.32,66.50,67.42,66.21
67.00,68.28,69.13,66.00
68.94,68.64,69.26,67.81
68.12,68.73,69.07,67.83
68.69,68.82,69.04,68.20
69.75,70.57,70.67,69.10
69.41,69.56,70.40,69.34
70.26,69.78,70.38,69.32
70.16,70.91,71.20,70.16
70.27,70.22,70.86,70.17
69.85,70.14,70.39,69.57
69.69,69.42,70.50,69.40
69.40,68.74,69.91,68.41
69.11,69.98,70.17,68.55
69.48,69.82,70.38,69.23
69.64,69.17,69.83,69.13
68.88,68.02,68.88,67.86
68.11,70.30,70.67,68.00
71.51,71.04,71.73,70.53
71.01,71.25,71.64,70.56
72.54,73.44,73.47,71.71
72.82,72.50,73.20,72.30
72.92,72.58,73.36,72.34
73.00,72.61,73.37,72.18
72.28,72.93,73.24,72.20
72.47,73.32,73.49,72.15
73.03,71.83,73.03,71.70
71.93,73.12,73.24,71.82
72.49,72.10,72.79,71.94
72.25,71.38,72.34,71.06
71.03,71.70,72.13,70.95
71.70,71.81,72.20,71.64
72.08,72.31,72.51,72.00
72.42,71.78,72.86,71.62
72.45,73.08,73.10,72.14
73.30,73.33,73.49,72.48
73.43,73.60,73.60,72.94
73.54,74.48,74.68,73.49
74.42,75.05,75.16,73.84
75.00,74.45,75.00,74.29
74.71,74.48,74.96,74.04
74.48,74.37,74.64,74.06
75.20,73.00,75.70,72.64
72.93,72.14,73.35,71.99
71.90,72.97,73.00,71.18
73.10,72.89,74.05,72.71
73.22,73.42,73.58,72.99
73.42,73.47,73.89,73.09
73.25,73.42,73.53,72.99
73.69,73.27,73.89,72.75
73.10,72.95,73.20,72.40
73.43,72.51,73.74,72.30
72.41,73.13,73.22,71.95
73.35,73.10,73.35,72.80
72.58,73.59,73.88,72.58
73.67,72.08,73.67,71.98
71.64,72.23,72.64,71.32
72.11,72.16,72.35,71.84
76.37,73.48,76.37,71.66
72.88,72.51,73.50,72.51
71.99,72.45,72.50,71.46
72.71,73.11,73.35,72.52
72.70,74.40,74.68,72.48
74.75,74.68,75.04,74.12
75.00,74.97,75.27,74.06
74.65,74.92,75.21,74.40
74.68,75.65,75.75,73.94
75.95,75.13,79.11,74.73
72.34,74.24,75.54,72.34
73.78,73.34,73.96,73.01
73.68,72.96,73.82,71.73
72.63,72.31,72.89,71.70
72.24,72.46,73.15,72.02
72.61,72.93,73.27,72.11
72.90,72.93,73.37,72.72
73.01,73.52,73.78,72.91
73.51,72.54,74.00,72.30
72.70,73.53,73.74,72.70
73.43,73.03,73.52,72.82
72.73,73.07,73.48,72.50
73.18,71.92,73.18,71.63
71.96,71.96,72.62,71.61
72.51,71.69,72.59,71.45
72.00,71.70,72.28,71.66
71.56,73.13,73.19,71.40
72.85,72.15,72.88,72.09
72.26,72.15,72.26,71.36
72.26,72.40,72.83,72.07
72.34,73.32,73.32,72.34
73.17,73.00,73.84,72.82
72.94,75.10,75.11,72.36
75.05,75.40,75.52,74.58
75.14,74.62,75.22,74.32
74.81,74.35,74.81,74.03
74.42,74.61,74.85,74.26
74.11,74.59,74.76,73.94
74.63,73.87,74.75,73.83
73.95,73.14,73.95,73.12
73.75,74.01,74.11,73.17
74.01,74.84,74.96,74.01
74.86,74.43,75.04,74.40
74.63,75.02,75.03,74.36
74.60,75.51,75.65,74.25
75.78,75.73,76.50,75.42
76.06,75.89,76.53,75.23
75.66,75.69,76.27,75.04
75.23,75.50,75.94,75.09
75.26,75.26,75.57,74.93
74.82,74.52,75.04,74.30
74.60,74.23,75.03,74.20
74.62,74.79,74.85,74.28
74.98,75.19,75.50,74.31
75.15,74.18,75.92,74.18
74.27,74.34,75.23,74.19
74.76,74.45,74.82,74.13
73.96,74.06,74.40,73.63
74.23,75.09,75.30,74.23
75.46,75.66,76.01,75.22
75.26,74.90,75.26,74.30
74.89,74.95,75.20,74.69
75.40,75.51,75.51,74.77
75.52,77.00,77.20,75.36
77.00,77.39,77.76,76.66
77.39,78.06,78.13,77.13
77.43,77.72,78.35,77.15
77.72,77.97,78.30,77.20
80.53,78.96,80.53,78.90
79.35,79.40,80.33,78.97
79.57,79.62,79.66,79.00
79.19,79.35,79.62,78.69
78.86,79.06,79.47,78.72
79.15,79.44,79.99,79.15
78.90,79.50,79.99,78.14
78.82,78.40,79.26,78.33
78.19,78.41,78.79,78.19
78.60,78.07,78.60,78.01
78.06,77.41,78.20,77.21
77.08,76.33,77.62,76.20
76.61,77.01,77.26,76.40
77.32,77.58,77.70,76.86
77.41,78.05,78.14,76.79
78.25,78.40,78.66,77.95
78.63,77.80,78.73,77.64
78.05,77.75,78.28,77.55
77.33,76.97,77.81,76.91
76.90,77.07,77.60,76.77
76.65,75.90,76.76,75.72
76.13,75.19,76.28,75.06
74.96,75.28,75.56,74.80
76.02,76.35,76.37,75.58
76.69,76.04,77.24,75.95
75.90,75.64,76.28,74.60
75.82,74.45,76.03,74.45
74.51,74.30,74.67,74.07
74.10,73.38,74.29,73.23
73.38,74.20,74.68,73.33
74.32,74.70,74.92,74.07
74.44,74.28,74.65,74.14
74.24,74.56,74.95,74.24
74.46,74.16,74.68,74.00
74.27,73.58,74.50,73.56
73.93,74.00,74.31,73.77
73.53,73.52,73.89,72.41
73.81,74.15,74.48,73.44
74.05,74.52,74.75,74.04
74.41,75.47,75.48,74.05
76.14,76.01,76.22,75.54
76.44,76.09,76.71,75.81
76.27,76.73,76.73,76.02
75.05,75.68,76.03,75.05
75.02,75.29,75.46,74.88
75.65,75.78,75.84,75.25
75.50,75.63,75.87,75.50
75.36,75.55,75.73,75.10
75.36,75.52,75.82,75.01
75.85,77.02,77.02,75.76
76.36,76.31,77.13,76.15
76.27,76.30,76.84,75.70
75.92,76.65,76.66,75.92
76.60,76.11,76.91,76.03
75.94,75.33,75.94,75.30
75.10,75.18,75.59,74.89
74.87,74.47,75.04,74.14
74.67,74.53,74.90,74.15
75.01,74.21,75.53,74.18
74.44,74.66,75.03,74.24
74.31,74.87,74.96,74.10
74.08,73.99,74.82,73.71
72.01,71.86,73.25,70.00
71.84,72.55,72.78,71.20
71.89,72.25,72.57,71.89
72.18,72.30,73.19,72.14
72.71,72.92,73.47,72.63
72.89,73.82,74.41,72.56
75.08,74.43,75.08,74.11
74.15,74.90,74.91,73.81
74.51,74.63,75.08,74.04
74.81,75.12,75.38,74.55
75.18,75.57,75.85,75.08
75.56,75.45,75.74,75.16
75.29,76.16,76.51,75.15
76.01,76.81,76.83,75.89
76.80,76.32,76.80,76.28
76.30,76.26,76.54,75.92
76.16,76.00,76.35,75.82
75.78,76.38,76.73,75.78
76.50,76.90,77.15,76.50
76.62,76.95,77.37,76.62
76.90,76.98,77.23,76.69
76.53,76.70,77.13,76.47
76.89,77.25,77.66,76.83
77.42,77.85,77.94,77.16
77.94,77.56,78.37,77.42
77.85,77.97,78.39,77.67
77.90,77.32,78.06,77.17
77.24,77.52,77.59,76.99
77.35,77.16,78.10,77.13
77.09,77.05,77.79,76.34
76.95,77.11,77.19,76.78
77.40,77.66,77.90,77.08
77.21,77.04,77.78,77.03
76.91,76.46,77.00,76.27
76.34,77.09,77.34,76.23
76.74,77.20,77.26,76.74
77.46,76.93,77.46,76.85
76.90,76.92,77.46,76.82
76.89,76.44,77.28,76.42
77.12,76.80,77.50,76.42
76.81,76.92,77.12,76.20
76.70,77.04,77.32,76.27
77.08,77.21,77.49,77.01
75.83,77.30,77.32,75.29
77.50,77.02,77.50,76.77
77.22,77.51,77.55,77.05
77.88,78.45,78.68,77.88
78.37,78.54,78.91,77.87
77.24,78.23,78.56,77.24
78.42,78.05,78.60,77.74
78.65,78.22,78.65,78.06
78.60,77.91,79.08,77.78
77.92,78.92,79.00,77.85
79.40,79.79,79.96,78.85
80.00,79.85,80.00,79.35
80.00,80.79,81.23,79.53
80.72,80.91,81.11,80.02
80.73,80.94,80.97,80.57
81.51,81.30,81.80,80.57
81.66,81.14,81.77,80.80
81.63,82.08,82.34,81.42
82.00,81.20,82.00,80.58
80.21,81.36,81.70,79.69
81.58,80.89,81.98,80.63
78.31,77.30,79.40,76.24
77.03,77.63,77.88,76.03
77.85,78.64,78.65,77.54
78.04,77.87,78.27,77.11
77.96,78.59,79.34,77.78
78.34,78.54,78.80,77.64
79.25,78.40,79.25,78.33
78.28,79.15,79.98,78.00
79.76,79.07,80.23,78.94
79.09,79.29,79.63,78.70
79.02,79.78,79.82,78.64
79.80,80.18,80.66,79.29
79.64,80.15,80.44,79.56
80.54,80.55,80.63,80.04
80.56,81.32,81.51,80.56
81.00,81.26,81.96,80.75
81.31,80.59,81.31,80.32
80.60,81.48,81.49,80.12
81.51,81.16,81.77,80.97
81.16,82.76,82.76,80.71
82.51,81.20,82.73,81.01
81.16,81.20,81.84,81.05
81.29,81.51,81.80,81.12
81.35,80.46,81.68,80.27
80.88,80.50,81.19,80.16
80.58,80.55,81.57,80.49
80.88,80.28,81.40,80.06
80.48,80.31,81.01,80.05
80.44,79.26,80.52,79.20
79.27,78.93,79.63,78.68
80.26,80.08,80.49,79.33
80.19,79.39,80.33,79.01
79.60,79.89,80.11,79.17
79.69,78.45,80.09,78.33
78.69,79.26,79.72,77.64
78.84,79.71,80.39,78.84
79.67,79.83,80.22,79.53
80.00,80.23,80.57,79.54
79.91,80.17,80.55,79.83
80.20,81.26,81.35,79.71
81.98,80.97,82.39,80.77
80.98,80.53,81.42,80.01
81.00,80.82,81.00,80.39
80.57,80.28,80.92,80.21
80.53,80.20,80.64,79.87
80.56,80.91,81.08,80.37
79.83,81.52,81.67,79.83
81.27,82.49,82.58,81.27
82.20,83.09,83.20,82.20
82.98,82.70,83.28,82.51
82.73,81.82,82.73,81.77
82.17,82.00,82.24,81.80
81.90,82.02,82.03,81.56
82.26,82.82,83.03,81.80
82.65,82.68,82.90,82.21
82.88,82.93,83.32,82.50
83.04,82.70,83.18,82.20
82.77,82.68,82.86,82.15
82.85,84.02,84.16,82.67
84.06,84.04,84.45,83.46
83.93,85.64,85.78,83.85
86.15,85.84,86.54,85.16
85.41,85.08,85.59,84.43
84.99,85.39,85.63,84.25
85.07,85.38,85.63,85.07
87.20,84.30,87.38,83.81
84.40,84.88,85.04,84.04
84.47,84.16,84.81,83.82
84.33,84.97,85.03,84.06
85.10,84.48,85.35,84.31
84.65,84.03,84.75,83.76
84.16,84.53,84.81,84.13
84.72,84.83,85.14,84.61
84.85,84.23,85.04,84.23
84.01,84.63,84.87,84.01
85.16,86.06,86.07,84.78
86.07,85.24,86.41,85.23
85.65,85.63,85.76,85.14
85.41,87.20,87.28,85.22
87.16,87.44,87.63,86.89
87.19,87.53,87.55,86.61
87.03,87.71,87.81,86.90
87.85,88.59,89.10,87.70
88.66,88.62,89.04,88.08
88.75,88.96,89.20,88.68
89.31,89.63,89.63,88.87
89.81,89.46,89.98,89.08
89.57,89.79,89.92,89.01
89.26,90.04,90.05,89.23
90.06,90.75,90.82,90.01
90.61,91.02,91.10,90.33
90.35,90.76,91.00,90.32
90.75,91.59,91.80,90.67
91.76,91.78,91.95,91.20
91.77,91.48,92.23,91.29
91.99,91.13,92.00,90.96
90.11,90.80,91.10,88.21
91.11,90.56,91.86,90.46
89.86,91.09,91.53,89.11
91.03,91.99,92.03,91.03
91.96,92.02,92.47,91.64
92.36,91.64,92.77,90.94
91.81,91.33,91.82,91.03
91.45,91.09,91.84,90.79
90.94,90.24,90.94,89.67
90.31,90.88,90.88,90.05
91.02,90.86,91.40,90.51
91.14,90.70,91.26,90.41
90.70,90.89,91.41,90.62
91.00,90.99,91.45,90.58
90.96,88.37,90.96,88.31
88.63,89.04,89.43,88.36
89.01,89.16,89.51,88.81
89.22,89.30,89.40,88.78
89.64,90.56,90.57,89.24
90.39,90.41,90.63,89.46
91.68,91.94,92.00,90.95
91.84,93.90,94.09,91.84
93.70,93.97,94.05,93.10
94.05,93.81,94.55,93.53
93.89,94.11,94.46,93.73
93.86,93.89,94.10,93.27
93.33,93.51,94.54,93.10
94.99,91.60,95.00,89.48
91.15,91.28,91.67,90.66
91.44,91.48,91.76,90.51
91.44,92.40,92.40,91.15
91.99,92.09,92.37,91.67
92.14,90.48,92.21,90.43
90.62,90.40,90.69,89.93
90.44,89.93,90.72,89.77
89.93,90.26,90.39,89.72
90.00,90.55,90.89,89.88
90.04,88.06,90.99,87.83
88.06,87.99,88.51,87.60
87.55,87.81,88.13,87.34
87.42,86.50,87.90,86.42
86.46,85.66,86.50,85.20
84.80,85.23,85.96,84.78
84.32,85.37,85.54,83.60
85.82,85.28,86.42,84.98
84.48,86.96,87.21,83.80
87.13,86.70,87.88,86.40
86.74,85.96,87.23,85.96
86.02,86.18,86.18,84.86
86.25,86.05,86.56,85.57
85.49,84.67,85.85,84.63
84.42,84.88,85.25,83.95
85.16,85.76,85.95,84.71
85.68,86.28,86.45,85.33
87.18,85.57,89.60,85.33
85.31,84.88,85.81,84.66
84.82,85.36,85.64,84.68
85.48,84.99,85.67,84.86
85.32,85.62,85.99,85.22
85.66,86.80,87.00,85.55
