LORL,Loral Space and Communications,NASDAQ
68.68,69.71,69.80,68.68
69.50,69.47,69.75,69.01
69.58,70.65,70.91,69.26
71.09,70.34,71.10,70.14
70.00,70.62,70.68,69.50
70.92,71.31,72.11,70.56
70.45,70.93,71.07,70.45
70.12,68.74,70.51,68.64
68.36,67.66,69.59,67.61
68.00,68.50,68.77,66.82
68.51,67.00,69.78,66.88
67.11,67.74,67.86,67.00
67.47,66.84,67.65,65.76
67.34,68.81,68.81,67.34
68.82,68.10,68.82,67.92
68.52,69.30,69.63,68.23
69.40,69.02,69.40,68.54
68.16,68.00,68.71,67.90
68.14,67.90,68.63,67.77
67.77,65.90,68.20,65.62
66.17,65.15,66.17,65.08
65.00,65.28,65.70,62.83
65.15,64.42,66.37,63.99
64.10,63.43,64.66,63.41
63.70,62.26,64.71,62.25
61.75,56.42,61.78,56.18
56.77,54.25,57.20,53.10
52.99,49.90,54.35,49.05
50.55,49.05,50.61,45.93
48.28,49.35,51.26,45.65
49.73,53.53,53.65,48.47
53.88,55.71,56.11,53.52
56.03,57.16,57.16,55.50
56.66,55.95,56.94,55.65
56.08,55.61,56.75,54.95
54.13,53.27,55.27,52.19
51.92,51.98,53.72,51.50
53.25,52.21,53.25,51.81
52.21,53.27,53.30,51.83
53.28,54.17,54.33,52.14
54.50,53.00,54.75,52.73
52.49,53.90,54.07,51.99
54.99,55.94,56.10,54.74
55.67,56.10,56.72,55.50
56.57,56.59,57.29,56.00
56.60,56.50,57.50,55.88
55.40,53.83,57.30,53.65
52.08,54.87,54.96,52.08
55.73,57.55,57.57,54.90
57.38,56.06,58.07,55.99
55.58,53.95,56.39,53.47
53.28,55.31,55.55,53.28
55.49,56.71,57.01,54.38
57.30,57.11,58.27,56.12
57.72,57.50,58.75,56.96
57.89,59.53,59.71,56.69
58.22,56.76,58.22,55.87
57.05,55.35,57.77,55.35
55.52,52.88,56.32,52.78
51.60,51.11,53.18,50.62
51.22,51.94,52.96,51.22
52.42,52.54,52.74,51.10
53.41,53.05,54.90,52.17
52.91,51.19,53.60,51.18
52.20,51.93,52.20,50.23
51.16,50.10,52.09,50.01
50.00,48.56,51.68,48.56
48.29,50.67,51.01,47.19
50.53,52.15,52.70,48.04
52.22,52.97,53.48,51.74
53.00,51.80,53.10,51.25
52.75,55.38,55.40,51.90
55.11,55.60,56.11,54.63
56.35,56.95,57.32,55.74
56.65,54.89,56.65,54.64
55.56,56.76,56.88,55.36
56.21,54.67,56.24,54.41
54.90,54.91,55.45,53.92
55.01,54.25,55.79,53.99
54.50,53.25,54.50,52.80
54.55,54.90,55.14,53.78
55.25,58.00,58.00,55.25
57.88,56.35,58.00,56.18
56.98,58.23,58.62,56.02
60.12,60.73,60.88,59.32
60.56,60.51,61.25,60.43
59.65,60.50,61.19,59.27
58.45,59.77,60.09,57.55
60.75,60.53,61.29,59.24
61.20,61.58,61.75,59.40
60.88,57.99,60.93,57.68
58.02,58.93,59.20,57.39
58.59,59.16,59.64,58.00
57.43,58.00,58.51,57.43
58.50,56.06,58.57,55.78
56.71,57.62,58.29,56.09
57.79,58.92,60.00,57.75
58.67,59.88,59.99,58.67
59.20,59.24,60.37,58.92
59.02,58.99,59.75,58.64
58.98,60.00,60.90,58.98
58.72,60.02,60.50,58.72
60.02,60.00,60.33,59.29
59.54,59.01,60.41,58.69
58.86,59.30,60.04,58.86
61.00,60.59,61.97,59.98
60.45,60.03,60.83,59.92
62.08,62.15,62.35,61.68
62.16,62.00,62.40,61.60
62.72,63.00,63.30,62.61
63.74,64.84,64.89,63.01
64.85,64.19,64.90,63.99
63.63,63.48,64.52,62.61
62.98,61.42,62.98,61.30
61.60,63.38,63.90,61.60
62.63,63.15,63.25,62.38
63.37,62.43,63.75,61.94
61.88,62.21,62.95,61.52
62.60,62.04,62.88,61.72
62.15,62.03,62.29,61.59
62.05,60.70,62.22,60.59
61.69,62.93,63.00,61.58
62.99,62.85,62.99,61.03
63.25,62.15,64.58,61.73
62.11,62.22,62.22,61.42
62.16,62.91,63.12,59.00
63.10,62.73,63.57,62.47
63.11,64.14,64.38,62.88
64.03,64.88,64.95,63.60
65.50,65.29,65.90,64.62
65.00,64.27,65.00,63.62
63.74,64.23,64.59,63.36
64.07,63.39,64.37,62.99
63.74,63.95,64.78,63.09
64.43,65.00,65.20,64.43
64.98,65.81,65.97,64.98
65.49,65.84,65.84,64.80
65.02,65.28,65.44,64.78
65.97,65.66,66.16,63.06
65.62,66.49,66.55,65.62
66.52,65.98,66.52,65.40
66.10,66.71,66.78,66.10
66.58,66.79,66.99,66.47
66.98,67.94,68.25,66.49
68.27,68.37,68.91,67.89
68.49,68.34,69.00,68.11
68.17,68.76,69.45,68.17
68.54,68.42,68.77,67.84
68.78,68.96,69.44,68.13
69.41,69.49,70.00,69.08
69.77,69.07,70.50,68.75
70.35,69.68,70.35,69.44
69.63,69.98,70.37,69.33
70.28,69.95,70.62,69.83
70.19,70.16,70.44,69.37
69.79,69.20,69.96,68.88
68.84,67.76,69.42,67.67
68.53,69.17,69.17,68.41
67.84,67.87,69.17,66.83
68.01,67.90,68.75,67.60
68.16,69.49,69.77,68.16
69.91,69.94,70.50,69.10
70.04,69.19,70.25,68.84
69.08,70.70,71.68,69.08
70.59,70.69,70.90,69.55
70.87,70.42,71.01,70.20
70.04,70.62,70.80,69.52
70.69,69.41,70.82,69.00
69.99,71.24,72.19,69.99
71.74,74.50,74.86,71.32
74.20,74.00,74.80,72.37
73.54,74.21,74.27,73.54
73.38,72.58,74.16,72.17
73.22,73.64,73.64,72.74
74.30,74.35,74.80,73.71
74.54,75.09,76.10,74.43
75.28,75.84,76.01,75.28
76.57,76.15,76.64,75.88
75.86,75.91,77.04,75.69
76.19,76.42,76.55,75.77
76.35,77.15,77.33,75.95
77.17,77.61,78.44,76.90
77.42,76.55,77.42,76.25
76.83,77.78,78.10,76.39
77.32,77.77,77.90,76.75
78.04,77.80,78.19,76.92
78.52,78.90,79.32,78.44
78.79,79.65,79.68,78.52
79.49,79.35,79.78,78.84
81.99,80.19,82.48,79.30
82.46,79.60,82.46,79.38
79.90,79.87,81.73,79.04
80.43,79.26,80.43,78.65
78.75,78.88,79.51,78.06
65.28,66.00,67.90,65.28
65.17,64.92,65.80,64.67
65.08,64.38,66.70,64.19
64.99,64.80,65.11,64.48
64.87,64.86,65.25,64.45
64.60,64.01,64.77,63.80
64.39,63.99,64.74,63.93
64.49,64.32,64.96,64.18
64.14,63.97,64.14,63.46
63.78,62.44,63.89,62.09
62.67,62.83,63.73,62.28
61.85,62.25,62.38,61.26
62.16,62.37,62.79,61.75
63.01,62.94,63.81,62.08
62.78,62.38,63.01,62.25
61.88,62.26,62.64,58.76
62.26,62.05,62.37,61.63
62.33,63.11,63.63,62.19
62.96,63.01,63.32,62.33
63.09,60.51,63.09,60.05
60.15,59.25,60.15,58.64
58.92,59.28,59.85,58.63
58.84,58.27,58.92,57.93
57.95,57.80,58.31,57.22
57.90,58.04,59.08,57.51
57.58,58.07,58.75,57.58
57.37,58.91,59.13,57.27
58.80,59.24,60.71,58.80
59.28,58.51,59.98,58.35
58.24,57.16,58.75,56.49
57.05,58.43,58.95,57.05
58.63,60.21,60.22,58.52
60.06,60.88,61.01,60.06
60.32,60.68,61.18,59.29
60.90,60.81,60.90,60.08
60.62,60.82,60.82,60.34
61.00,61.29,61.75,60.65
60.60,60.23,60.71,60.17
60.36,60.30,60.61,59.86
59.23,59.88,60.11,58.83
59.97,59.06,59.97,58.51
59.01,59.47,59.97,58.64
60.00,60.11,60.24,59.41
60.83,59.56,60.83,59.50
59.41,59.38,59.71,59.23
59.89,57.50,59.89,57.50
57.92,57.83,58.10,57.08
57.50,57.30,58.56,57.15
57.23,58.19,58.28,57.21
58.21,58.27,58.45,57.50
58.04,57.50,58.56,57.42
57.61,58.34,58.47,57.15
58.25,58.25,59.12,58.13
58.92,57.48,58.92,57.26
57.72,58.07,58.63,57.72
57.32,58.02,58.19,57.08
58.07,57.74,58.24,57.02
64.00,65.49,66.28,64.00
64.91,65.98,65.98,64.91
67.11,67.35,67.60,66.25
67.41,67.20,67.45,66.91
67.00,68.28,68.42,66.64
68.06,69.20,69.58,68.06
68.57,70.45,70.57,68.57
70.00,70.34,70.70,69.70
70.52,69.93,71.70,69.82
69.87,70.53,71.03,68.64
70.47,70.62,70.92,69.63
71.06,70.85,71.79,70.72
70.59,70.92,71.30,69.89
70.92,71.49,71.88,70.05
71.84,71.71,72.50,71.61
71.74,72.62,73.41,71.74
71.91,71.94,72.62,71.65
70.96,71.47,71.95,70.36
71.64,71.58,71.64,70.63
72.07,71.83,72.48,71.09
72.77,71.89,73.14,71.69
72.33,72.65,72.89,71.80
72.56,72.21,72.85,71.14
72.17,71.95,73.08,71.48
72.40,71.90,73.00,71.67
71.88,71.17,72.11,71.02
71.87,72.09,73.05,71.73
72.02,71.95,72.50,71.20
71.91,72.50,72.87,71.51
72.45,72.91,73.00,72.07
73.00,73.14,73.14,72.57
72.92,75.19,75.64,72.92
75.35,75.28,75.73,74.09
75.92,73.66,75.94,73.14
73.66,73.50,73.66,72.14
73.60,73.50,73.93,72.21
73.24,73.06,73.70,72.17
72.84,73.14,73.29,71.85
73.42,73.18,73.49,72.40
73.26,73.02,73.32,72.50
72.79,73.00,73.51,72.43
73.07,72.98,73.27,72.80
73.07,73.08,73.18,72.61
73.00,72.91,73.53,72.80
72.82,73.52,74.15,72.82
73.34,73.03,73.49,72.75
73.26,73.42,74.26,72.99
73.43,73.61,73.94,72.14
73.37,73.23,73.74,72.45
73.29,76.37,76.77,73.29
76.74,74.78,76.74,74.50
75.01,73.78,75.49,73.57
73.63,73.60,74.59,73.33
73.94,74.65,75.32,73.94
74.47,74.39,75.21,73.16
74.39,72.88,74.40,71.71
72.69,73.00,73.58,72.56
73.00,71.95,73.12,71.60
71.88,72.28,72.56,71.04
72.00,71.82,72.69,71.41
73.71,71.38,73.71,71.15
71.05,72.50,73.06,71.05
72.95,71.88,74.15,71.77
71.50,70.96,72.03,70.96
71.26,71.73,72.36,70.88
71.31,71.10,71.72,70.61
71.34,71.78,72.12,70.62
71.66,72.69,72.93,71.01
72.90,71.89,72.90,71.62
72.34,73.68,73.74,72.00
73.73,73.26,74.00,73.00
73.21,73.07,73.47,72.58
73.35,73.01,73.35,72.90
73.16,72.76,73.71,72.39
73.43,72.16,73.43,71.60
72.06,71.75,72.48,71.25
72.13,71.79,72.40,71.46
72.30,72.50,73.00,71.82
72.55,72.95,73.01,72.08
72.74,71.89,72.88,71.89
71.42,71.40,71.82,71.00
71.48,71.58,71.66,70.85
71.32,71.62,71.74,70.80
72.13,72.32,73.49,71.20
72.83,72.16,72.83,71.36
72.32,73.26,73.47,72.32
73.75,78.66,79.27,73.75
78.57,79.04,79.42,78.45
78.94,79.32,80.36,78.94
79.55,80.12,80.16,78.66
80.00,78.84,80.00,78.13
78.17,77.83,78.52,75.99
81.00,82.35,84.44,81.00
82.51,80.00,82.51,79.03
80.00,80.69,81.99,79.91
80.89,80.30,81.50,80.16
80.69,80.00,81.43,80.00
80.26,79.03,80.39,78.35
78.90,79.61,79.97,77.25
80.12,79.18,80.25,78.22
78.81,79.32,79.32,78.45
79.28,80.79,80.95,79.22
80.54,81.41,81.62,80.33
81.35,82.79,83.97,80.84
82.48,82.05,82.92,81.75
82.00,84.36,84.56,81.34
85.21,84.17,85.60,82.82
84.39,85.07,85.84,84.03
85.36,82.39,85.59,81.50
82.50,82.66,82.95,81.36
53.16,53.69,54.28,53.00
53.68,53.85,54.00,53.00
54.00,54.10,54.31,53.75
54.14,54.50,54.76,54.07
54.99,54.50,54.99,54.35
54.81,54.79,54.98,54.01
54.87,54.76,54.98,54.16
54.73,54.17,54.89,54.00
54.39,54.76,54.76,54.24
54.69,54.56,54.69,54.12
54.62,54.44,54.65,54.15
54.41,54.46,54.98,54.31
54.42,53.74,54.42,51.91
53.84,53.88,54.13,53.53
54.00,53.63,54.27,53.43
53.52,53.67,53.97,53.12
53.41,53.67,54.20,53.41
54.65,54.66,54.72,52.88
55.44,55.66,55.88,55.12
55.77,55.56,56.13,55.32
55.86,55.54,55.86,55.30
55.26,55.39,55.81,55.24
55.19,55.44,55.78,54.92
55.72,55.42,55.72,54.91
55.44,55.32,55.52,54.91
55.49,55.50,55.73,55.22
55.24,56.11,56.35,54.67
55.89,56.55,56.80,55.87
56.59,56.61,56.91,56.20
56.86,57.00,57.10,56.74
57.00,57.64,57.76,56.75
57.53,58.12,58.14,57.09
58.07,58.62,58.78,57.99
58.60,58.59,59.23,58.46
58.69,58.68,58.76,57.86
58.58,58.99,59.32,58.58
59.07,59.15,59.15,58.47
59.10,58.68,59.24,58.42
58.80,58.69,58.93,58.49
59.06,59.18,59.34,58.76
59.07,58.36,59.07,58.00
58.50,59.37,60.00,58.50
59.09,58.96,59.47,58.72
58.91,58.80,58.91,58.39
59.10,59.37,59.50,59.10
59.09,59.15,59.50,58.67
59.25,59.14,59.97,58.81
59.07,58.98,59.17,58.74
59.00,58.62,59.08,58.39
58.97,58.68,59.08,58.42
58.63,59.07,59.38,58.63
59.19,58.40,59.34,58.26
58.26,58.04,58.69,58.00
58.39,58.91,59.20,58.19
59.05,57.49,59.24,57.49
57.84,57.46,57.84,56.53
57.31,58.26,58.64,57.31
58.28,58.24,58.95,57.62
57.94,59.68,59.96,57.94
59.68,59.07,59.78,58.62
59.05,58.58,59.54,58.00
58.52,58.49,58.55,57.67
58.35,57.80,58.75,57.47
58.15,58.51,58.72,57.44
58.26,58.47,58.65,57.98
58.27,57.88,58.47,57.65
57.73,58.50,59.00,57.73
58.49,58.64,58.90,58.41
58.76,58.66,58.78,57.95
58.10,59.64,59.68,58.10
59.50,59.56,60.10,59.25
59.61,59.66,60.06,59.22
59.26,59.92,60.11,59.26
60.21,60.41,60.65,59.95
60.72,61.19,61.75,60.15
61.59,62.24,62.40,61.20
62.05,62.14,62.79,61.85
62.34,61.88,62.58,61.10
61.98,61.06,62.30,60.17
61.21,62.01,62.18,61.21
62.28,60.33,62.30,60.19
59.80,60.73,60.85,59.80
59.99,60.87,60.95,59.70
60.82,61.32,61.39,60.08
61.31,61.03,61.66,60.98
61.29,61.91,62.40,61.26
61.73,61.61,61.97,61.48
61.48,61.64,61.97,61.48
61.50,60.31,61.53,60.28
61.17,60.44,61.17,60.05
60.25,59.14,60.44,59.10
59.26,59.49,59.96,59.22
59.30,60.02,60.50,59.26
59.97,60.02,60.25,59.80
60.32,60.52,60.70,60.13
60.48,60.48,61.25,60.28
60.72,61.21,61.88,60.47
61.07,61.12,61.69,60.79
61.18,61.41,61.81,61.01
61.55,61.52,62.24,61.14
61.32,59.92,61.93,59.20
59.93,61.48,61.54,59.93
62.16,63.15,63.27,62.00
62.97,63.73,63.74,62.97
64.18,64.54,64.74,63.74
64.54,64.87,65.91,64.36
64.61,64.58,64.75,63.53
64.86,64.31,64.86,63.97
63.88,62.01,63.88,62.00
62.00,61.96,62.38,61.77
61.65,61.85,61.90,61.60
61.54,61.32,61.98,61.30
61.38,60.97,61.54,60.77
60.72,60.35,61.24,60.34
60.53,60.10,60.76,59.13
60.00,61.00,61.50,59.68
60.50,61.98,62.01,60.04
61.77,61.67,62.23,60.96
62.00,61.91,62.40,61.38
61.47,60.95,62.05,60.78
60.93,60.49,61.23,60.19
60.07,60.22,61.47,60.07
60.50,62.06,62.12,60.08
61.94,61.83,62.48,60.86
61.60,59.56,61.81,59.50
59.69,59.57,60.29,59.25
59.95,59.65,59.99,59.40
62.44,61.56,62.59,61.31
61.25,61.05,61.71,61.05
61.73,61.35,61.73,61.15
61.18,62.04,62.14,61.14
62.00,62.19,62.45,61.50
62.75,62.95,63.45,62.19
63.21,62.94,63.53,61.87
63.00,62.05,63.08,62.02
61.46,61.59,61.73,61.01
