CUR,Neuralstem,NASDAQ
43.29,41.86,43.29,40.30
42.25,41.86,42.51,41.34
40.95,41.21,41.86,40.30
40.69,40.82,41.47,39.91
40.95,40.56,41.21,39.78
40.17,39.91,40.69,39.00
39.65,38.48,39.78,37.83
38.22,36.01,38.48,35.10
36.40,35.36,37.31,35.10
35.10,35.36,35.62,32.89
35.36,35.88,37.44,35.10
36.40,37.44,37.96,36.40
39.00,38.61,39.00,37.44
38.35,37.57,38.35,35.88
37.31,37.05,37.57,36.44
37.31,37.31,37.70,36.53
36.01,37.70,38.35,35.75
38.61,39.26,39.39,37.44
39.52,39.52,40.17,38.87
39.26,39.65,39.65,38.87
39.78,39.52,39.78,38.48
39.28,39.52,39.65,39.00
39.52,42.51,43.55,39.26
42.77,44.72,44.72,42.38
44.98,43.55,45.37,43.16
43.55,43.03,43.68,41.21
43.29,41.99,43.29,41.86
42.90,41.73,42.90,41.47
41.21,40.95,42.25,40.30
40.95,40.69,41.31,39.13
40.30,42.90,43.16,39.81
39.65,38.09,40.95,35.88
37.83,36.14,38.09,34.45
37.57,32.76,37.57,32.50
32.50,32.50,34.84,32.50
32.50,31.46,33.41,31.20
32.37,32.50,34.19,31.85
33.80,31.20,34.71,31.20
32.50,32.63,32.76,31.46
32.89,33.41,33.67,32.63
33.54,33.15,33.54,32.76
33.28,32.63,33.80,32.50
33.02,31.33,33.02,30.81
31.72,31.07,31.72,30.68
31.33,31.20,31.72,29.90
31.59,29.25,31.59,29.25
29.64,29.90,30.16,29.25
29.12,30.55,30.55,28.34
30.81,29.77,31.20,29.64
30.55,29.90,30.55,29.38
29.77,30.81,30.81,29.51
31.20,31.72,32.11,30.16
32.24,32.24,32.37,31.20
32.37,32.24,33.67,31.33
33.02,33.28,33.67,32.24
32.76,31.85,33.28,31.59
31.46,32.24,32.89,31.46
32.37,31.46,32.50,31.46
31.72,33.15,33.28,31.59
33.28,31.85,33.28,31.72
31.85,30.68,32.11,30.55
31.07,30.16,31.20,29.77
29.51,29.51,30.16,29.25
29.25,27.56,29.25,27.56
27.43,27.69,28.60,27.30
27.43,28.21,28.60,27.43
28.08,27.95,28.99,27.30
28.08,26.78,29.25,26.65
28.34,27.04,28.47,26.72
27.04,24.44,27.17,24.44
24.31,23.92,25.22,23.40
24.05,23.40,24.44,23.01
22.75,23.40,23.66,22.23
23.92,24.96,27.56,23.92
25.09,24.83,26.00,24.70
25.74,26.26,27.03,24.44
26.26,23.92,26.39,23.92
23.79,24.05,25.35,23.79
24.70,25.22,25.35,24.18
25.09,25.74,25.74,24.70
25.87,26.13,27.17,25.48
27.17,24.31,27.17,24.31
24.70,24.44,25.17,24.05
24.83,25.61,25.87,24.70
26.00,26.91,27.04,25.48
27.04,30.42,30.55,26.91
30.81,30.68,31.85,29.25
31.20,30.94,34.32,30.03
30.94,30.03,31.07,29.25
30.29,29.12,30.29,28.60
29.25,29.64,29.64,27.95
30.16,30.81,31.20,28.60
30.68,28.73,30.88,28.60
28.73,28.86,30.55,28.08
29.25,30.42,30.55,28.86
30.55,29.25,30.94,28.99
29.51,30.42,30.55,28.60
31.07,32.50,33.15,30.16
32.76,32.76,33.80,31.59
32.76,31.72,33.02,30.94
31.72,30.03,31.72,29.38
30.42,31.20,31.33,30.42
30.94,32.37,32.50,30.94
32.50,32.50,32.89,32.37
32.50,32.37,32.76,31.72
32.11,32.11,32.24,30.68
32.11,32.37,32.76,30.94
32.63,34.06,34.32,31.46
34.19,34.32,35.10,33.41
35.23,34.32,35.23,32.89
34.45,34.45,34.45,33.54
33.93,32.24,33.93,31.72
32.50,31.98,32.50,31.72
31.98,30.03,32.37,30.03
29.64,29.77,30.42,28.86
30.03,30.81,31.46,30.03
30.55,30.55,30.94,30.17
30.16,29.90,30.42,28.99
30.29,29.64,30.42,28.99
29.51,28.99,29.64,28.86
28.99,27.56,29.51,27.43
27.69,29.12,29.64,27.69
29.25,28.47,30.29,28.34
29.12,30.16,30.29,29.10
30.29,29.90,30.29,29.64
30.29,29.90,31.59,29.38
30.03,28.47,31.07,28.34
29.51,28.99,29.51,28.08
28.73,28.73,28.99,28.34
28.21,28.34,29.25,28.21
28.47,28.21,28.99,27.95
28.34,28.21,29.25,27.95
28.47,28.08,29.64,27.69
27.82,28.99,29.38,27.82
29.12,28.08,29.25,27.82
27.95,27.82,28.47,27.30
27.43,27.43,27.95,26.91
27.82,28.08,28.60,27.30
28.60,28.47,28.60,27.69
27.95,26.78,28.21,26.52
26.31,26.13,26.91,25.09
26.65,26.00,26.65,25.48
25.61,25.61,26.65,25.22
25.61,26.13,26.52,25.48
26.00,25.87,26.19,25.35
25.87,25.87,25.87,25.35
25.35,25.09,25.61,23.79
25.35,25.48,25.87,25.22
25.74,25.74,25.74,25.35
25.74,25.87,26.13,25.48
25.61,26.52,26.78,25.61
26.65,28.21,28.34,26.65
31.33,30.03,34.97,29.12
30.29,30.55,30.55,29.38
30.55,29.38,30.68,29.25
29.38,29.38,29.90,28.08
29.38,29.77,30.03,28.73
27.43,27.95,28.60,26.13
27.95,27.82,27.95,27.43
27.82,28.08,28.47,26.91
28.21,27.56,28.60,26.78
26.91,26.91,27.69,26.78
26.91,27.56,27.56,26.65
27.95,28.21,28.34,27.53
28.34,27.56,28.86,27.30
27.69,27.69,28.12,27.30
27.43,27.43,27.82,27.17
27.56,27.69,28.21,27.17
27.17,27.30,27.69,27.17
27.30,27.30,27.82,26.78
27.04,27.04,27.69,27.04
27.17,27.43,27.56,26.78
27.30,29.51,29.77,27.30
29.38,28.99,29.90,28.60
28.86,27.04,28.99,26.78
27.04,26.65,27.56,26.65
27.04,26.52,27.17,26.39
26.78,26.52,27.14,26.26
26.52,25.61,26.52,25.35
26.00,26.52,27.36,25.74
28.08,26.26,28.08,26.00
26.52,24.96,26.52,24.83
24.70,25.35,25.48,24.70
25.35,25.48,25.61,24.96
25.22,25.61,26.00,24.96
25.61,25.74,25.74,25.61
25.61,25.35,26.00,25.09
25.22,25.48,26.26,25.22
25.09,25.09,25.61,24.83
25.22,29.12,30.55,24.83
28.08,27.95,29.64,27.04
27.95,27.30,28.21,26.78
29.25,26.26,29.25,26.13
26.26,25.61,26.26,25.48
25.61,25.87,25.87,25.35
25.87,25.61,25.87,25.35
25.61,25.74,26.00,25.35
25.48,24.70,26.26,24.70
24.57,24.57,25.74,24.05
24.31,26.39,26.65,24.31
26.65,26.52,26.91,26.00
26.26,26.65,27.56,26.26
26.65,24.70,26.65,24.70
24.70,24.96,25.35,24.70
25.35,25.22,25.48,24.70
25.35,25.22,25.48,24.70
25.35,24.83,25.35,24.70
24.96,24.70,25.48,24.70
24.70,24.96,25.22,24.44
26.13,24.18,26.13,24.18
24.05,23.79,24.70,23.66
23.40,23.53,24.18,22.75
22.75,22.62,23.27,22.49
22.62,21.97,22.85,21.84
22.10,22.10,22.75,21.84
22.10,23.01,23.14,21.71
23.66,22.88,23.66,22.23
23.01,22.62,23.01,22.49
22.62,22.75,22.88,22.49
22.88,23.27,23.27,22.62
23.53,23.53,24.05,22.75
23.66,23.27,23.79,22.75
23.40,23.27,23.66,22.88
23.14,24.05,24.05,22.88
24.05,23.40,24.05,23.01
23.79,23.66,24.70,23.14
23.66,23.27,24.32,23.27
23.27,23.14,24.05,23.01
23.14,24.44,24.57,22.88
24.44,25.61,26.00,24.12
27.04,26.91,27.56,25.61
26.78,24.44,26.78,24.18
24.31,23.53,24.57,23.40
23.66,22.88,24.11,22.88
22.88,22.88,23.40,22.75
22.75,22.75,23.01,22.75
22.49,22.36,22.62,22.10
22.49,22.10,23.30,22.10
22.49,23.14,25.74,22.49
23.53,23.40,23.66,22.62
23.27,23.92,24.18,22.49
23.92,23.27,24.02,23.14
23.14,22.88,23.27,22.49
22.88,22.62,23.01,22.49
22.49,23.27,23.79,22.23
23.14,21.97,23.27,21.71
21.97,20.41,22.62,20.28
20.54,19.76,21.97,19.63
19.63,18.85,20.02,18.46
18.85,18.46,20.02,18.20
18.85,18.07,19.37,17.94
18.07,17.81,19.24,17.55
18.20,19.11,19.76,17.81
19.11,19.76,20.15,19.11
19.50,19.24,19.89,19.24
19.50,18.46,19.50,18.46
18.46,17.81,18.85,17.81
17.94,18.33,19.24,17.81
18.59,17.81,18.59,17.81
17.94,18.72,19.11,17.55
18.72,17.42,19.37,17.42
17.42,16.38,18.72,16.25
16.25,16.77,17.81,16.25
16.90,17.29,17.55,16.51
16.90,17.16,17.68,16.90
17.03,17.81,18.20,16.90
17.94,16.77,18.46,16.77
16.90,16.51,17.42,16.25
16.25,16.25,17.16,16.25
16.38,14.56,16.51,14.56
14.82,14.43,16.38,14.43
14.43,14.30,14.82,13.78
14.43,15.60,16.64,14.30
15.47,15.86,16.51,15.34
15.86,14.82,16.38,14.82
15.21,15.73,16.38,15.21
15.60,16.77,17.16,15.34
16.90,18.72,19.24,16.90
18.85,18.72,19.50,18.33
18.72,18.46,19.63,17.16
18.85,20.54,20.54,18.07
20.80,23.66,24.57,20.15
23.27,23.40,23.40,22.10
23.79,21.58,26.39,20.80
21.58,20.41,23.01,19.11
21.45,20.15,21.45,18.59
21.45,20.15,21.45,19.89
20.93,19.50,21.32,19.50
19.50,19.50,21.06,19.50
21.84,19.50,21.84,19.37
19.37,19.11,19.76,18.98
18.98,18.20,19.11,17.94
18.07,17.81,18.85,17.55
17.68,17.55,17.94,16.90
17.55,17.94,18.33,16.90
17.94,17.81,18.20,17.55
18.33,19.50,19.50,17.94
19.63,18.85,19.63,18.66
18.85,19.50,19.50,18.20
19.50,18.59,19.63,18.33
18.33,18.20,18.98,17.68
18.20,18.46,18.85,18.07
18.59,17.94,18.85,17.68
18.46,17.29,18.46,17.16
17.55,16.77,17.94,16.77
16.90,15.60,17.03,15.47
15.60,14.95,16.51,14.69
14.95,14.82,15.47,14.82
15.21,17.68,18.40,14.82
18.07,15.73,18.46,15.73
16.90,15.99,18.07,15.80
15.08,14.95,15.86,14.82
14.95,15.21,15.85,14.82
14.94,14.04,15.60,13.52
13.78,14.30,15.08,13.52
18.98,14.95,18.98,14.04
15.60,15.21,16.64,15.08
15.21,15.73,16.25,15.21
15.73,15.73,16.70,15.73
15.73,14.95,15.99,14.95
14.95,15.08,16.25,14.95
14.95,14.95,15.61,14.95
14.95,14.95,15.60,14.95
15.08,14.69,15.47,14.17
14.69,15.08,16.25,14.30
15.08,15.47,15.99,14.55
16.12,15.47,16.25,15.08
15.34,14.95,16.12,14.95
15.47,15.86,16.12,15.47
15.99,15.86,16.51,14.95
16.38,16.64,17.29,15.60
16.38,15.86,16.51,15.86
15.60,16.12,16.51,15.34
17.42,16.64,17.42,15.99
16.77,17.16,17.55,16.77
16.77,16.38,17.16,15.21
16.64,16.12,16.64,15.99
16.51,16.25,16.54,15.86
16.12,16.77,16.90,16.12
18.85,19.11,19.24,16.64
19.24,18.59,19.24,18.46
18.72,19.50,19.50,18.45
20.54,19.76,20.54,18.98
20.02,19.89,20.54,19.24
19.63,19.76,20.02,19.24
18.72,19.37,19.76,18.72
19.76,20.02,20.41,19.50
20.28,18.85,20.28,18.46
18.85,17.55,18.85,16.90
17.68,16.77,17.81,16.77
16.90,16.90,17.55,16.51
17.29,16.90,17.55,16.77
17.03,15.34,17.03,14.30
15.47,18.07,18.07,15.08
18.85,17.94,20.80,17.94
17.94,17.81,18.20,17.29
20.80,17.42,20.80,16.12
17.42,16.90,17.42,16.51
16.77,16.64,17.81,15.60
17.55,17.94,18.20,16.64
18.20,17.29,18.20,16.64
17.55,16.25,17.55,16.25
16.38,17.03,17.03,16.25
16.51,16.51,17.29,15.99
16.90,16.38,17.16,16.25
16.64,15.86,17.81,15.60
15.99,15.99,16.51,15.86
16.51,16.90,17.81,15.60
17.68,16.90,17.68,16.90
16.90,17.16,17.55,16.90
17.29,17.42,17.55,16.64
17.29,17.55,17.55,16.90
17.55,17.16,17.55,16.90
15.60,16.77,16.90,15.60
16.90,16.64,17.20,16.38
16.90,17.03,17.16,16.38
17.03,16.51,17.03,16.51
16.25,15.99,16.77,15.73
16.12,16.64,16.77,15.86
16.12,16.38,16.51,15.73
16.05,15.99,16.25,15.47
16.25,16.25,16.90,15.74
16.64,15.86,16.64,15.60
15.73,15.34,15.99,15.08
15.47,14.56,15.47,14.43
15.21,14.69,15.21,14.43
15.47,14.69,15.47,14.17
15.34,15.34,15.60,14.69
15.08,14.82,15.60,14.69
15.08,14.04,15.08,13.91
14.13,13.91,14.17,13.52
14.30,14.04,14.69,13.91
14.43,14.30,14.69,13.65
14.30,15.21,15.34,14.30
14.43,14.82,15.60,14.18
14.82,14.17,14.95,13.91
14.17,13.00,14.17,13.00
13.39,13.52,13.64,12.87
13.39,13.26,13.78,13.00
13.39,13.13,13.49,13.00
13.52,13.26,13.65,13.00
13.26,13.39,13.39,13.00
13.13,13.13,13.13,12.74
12.88,13.39,13.39,12.61
13.13,13.26,13.67,13.13
13.39,13.65,13.65,13.00
13.52,13.13,13.65,13.06
12.87,12.87,13.65,12.82
12.88,12.74,13.13,12.61
12.74,12.73,12.74,11.83
12.48,12.33,12.61,11.46
12.09,12.22,13.00,11.83
11.96,12.35,12.35,11.18
12.22,11.57,12.35,11.57
11.70,12.54,12.54,11.57
12.35,13.00,13.00,11.85
12.74,13.13,13.26,12.39
12.87,13.00,13.65,12.74
13.00,12.74,13.36,12.61
13.00,12.88,13.13,12.62
13.00,14.30,16.25,13.00
14.69,13.39,15.08,13.39
13.78,13.52,14.84,13.52
13.65,13.78,14.30,13.27
14.43,14.30,14.69,13.65
14.30,14.30,14.82,14.14
13.26,13.39,14.17,13.26
13.65,13.78,14.04,13.65
13.78,12.87,14.30,12.84
12.74,13.52,13.65,12.74
13.13,13.13,13.65,13.13
13.39,13.13,14.04,12.74
13.39,13.13,13.91,12.74
13.39,13.00,13.39,12.74
13.26,13.39,13.91,13.13
13.78,13.39,13.78,13.13
13.65,13.26,13.65,12.35
13.13,13.26,13.52,12.99
12.87,14.17,14.30,12.87
14.43,15.47,15.47,13.78
15.34,15.08,15.50,14.43
15.08,15.47,15.47,14.82
15.60,15.73,15.73,14.95
16.90,16.25,16.90,15.73
16.25,15.47,16.25,14.95
16.25,15.08,16.38,14.56
15.21,15.08,15.47,14.69
14.82,15.47,16.12,14.56
15.08,15.21,16.12,15.08
14.95,15.21,15.21,14.82
15.21,15.02,15.60,14.69
15.21,15.21,15.86,14.82
15.73,15.21,15.73,14.95
15.34,15.21,15.73,15.08
15.08,14.95,15.34,14.82
14.82,14.82,15.47,14.82
14.82,14.95,15.34,14.82
14.95,14.95,15.47,14.69
14.95,15.21,15.21,14.69
15.21,14.95,15.21,14.69
15.08,15.08,15.21,14.82
15.08,14.95,15.47,14.69
14.82,14.82,15.34,14.82
14.82,14.82,15.08,14.69
14.95,15.08,15.21,14.82
15.21,15.08,15.21,14.69
14.82,15.08,15.08,14.69
15.08,14.82,15.08,14.56
14.56,14.82,14.95,14.56
14.95,14.82,15.08,14.56
14.82,14.82,14.95,14.69
14.82,14.56,14.95,14.56
14.95,14.30,14.95,14.30
14.04,13.65,14.69,13.65
13.78,14.04,14.95,13.78
14.17,14.30,14.30,13.65
14.43,14.56,14.95,14.30
14.95,14.82,15.60,14.56
14.95,14.82,15.21,14.69
14.69,14.95,14.95,14.56
14.82,14.82,15.08,14.56
14.69,14.69,14.82,14.43
14.69,13.91,14.95,13.78
14.04,14.17,14.43,14.04
13.78,13.91,14.43,13.78
13.91,14.04,14.43,13.78
13.91,13.78,14.30,13.13
13.52,13.65,13.78,13.13
13.26,13.39,13.65,13.26
13.52,13.39,13.52,13.00
13.39,13.39,13.39,13.13
13.00,13.39,13.52,13.00
12.87,13.26,13.39,12.87
13.26,13.52,13.65,13.26
13.52,13.13,13.52,12.87
13.00,13.26,13.39,12.87
13.26,12.87,13.39,12.87
12.74,12.48,13.39,11.83
12.48,12.74,13.13,11.96
13.00,12.48,13.00,11.96
12.74,12.48,12.74,12.10
12.48,12.48,12.74,12.12
12.35,12.49,12.61,12.35
12.48,12.61,12.74,12.09
12.22,12.73,12.74,12.10
12.35,12.61,12.61,11.96
12.48,12.35,12.74,12.23
12.48,12.09,12.48,11.96
12.35,12.22,12.48,11.70
12.35,11.69,12.35,11.23
11.31,11.78,11.96,11.31
10.53,11.70,11.70,10.40
11.44,11.70,11.96,11.05
11.47,11.83,12.35,11.38
12.09,12.35,12.61,11.95
12.09,12.22,12.74,12.09
12.42,11.83,12.48,11.83
12.09,11.96,12.09,11.58
11.71,12.87,12.87,11.44
12.35,12.09,12.35,11.70
12.35,11.96,12.35,11.83
11.83,12.09,12.22,11.44
11.96,11.83,12.09,11.57
11.83,11.64,11.96,11.47
11.83,11.96,11.96,11.70
11.70,11.83,12.22,11.70
11.70,11.57,12.09,11.57
11.70,11.90,11.96,11.57
11.96,11.70,11.96,11.44
11.44,11.70,11.70,11.31
11.31,11.44,11.75,11.31
11.05,10.66,11.44,10.66
10.59,10.66,11.18,10.59
10.66,11.18,11.43,10.43
10.79,11.12,11.70,10.53
10.40,9.88,11.05,8.63
9.75,11.05,11.31,9.75
11.18,10.53,11.18,10.27
10.40,11.18,11.31,10.27
11.05,11.96,12.02,11.05
12.35,12.35,13.13,12.09
11.96,13.00,13.00,11.70
13.00,13.00,13.00,12.61
13.13,13.00,13.13,12.38
13.00,12.74,13.00,12.48
12.74,12.48,12.87,12.24
12.48,12.48,12.74,11.96
11.57,11.83,12.35,11.57
12.35,12.28,12.61,11.70
12.35,12.22,12.48,12.09
12.22,12.87,13.00,12.21
12.61,12.34,12.74,11.83
12.35,12.22,12.48,11.83
12.22,11.96,12.22,11.85
12.09,12.09,12.61,11.72
12.09,11.96,12.09,10.92
11.83,11.96,12.09,11.83
12.35,12.61,12.87,11.96
12.87,12.54,12.87,12.35
12.74,12.61,12.74,11.70
12.61,12.09,12.61,11.83
12.09,12.09,12.35,11.66
11.70,11.70,12.22,11.70
12.09,11.81,12.09,11.74
11.83,11.31,11.96,11.05
11.44,11.18,11.44,11.07
11.44,10.40,11.44,9.92
10.79,10.30,10.79,10.14
11.05,9.75,11.05,9.62
9.75,9.75,9.88,9.49
10.14,8.58,10.40,8.45
6.37,6.70,7.58,6.01
6.70,6.39,6.96,6.36
6.50,6.37,6.67,6.24
6.37,6.76,6.89,6.24
6.89,7.41,7.54,6.89
7.09,7.41,7.54,6.86
7.15,6.99,7.15,6.54
6.76,5.85,6.82,5.85
6.24,6.37,6.50,5.46
6.89,6.76,6.89,6.50
7.02,6.50,7.02,6.50
6.50,7.12,7.15,6.39
7.28,8.26,8.52,7.15
8.72,8.71,9.23,8.03
9.10,8.06,9.10,7.88
8.45,8.45,8.84,8.19
8.84,8.64,8.84,8.20
8.84,10.14,12.35,8.84
10.66,10.27,10.92,8.84
11.83,13.00,13.00,10.79
13.26,17.94,25.48,13.00
15.34,14.95,17.16,13.91
14.04,17.03,17.55,13.78
17.29,18.20,19.76,16.51
17.94,18.46,20.15,17.29
18.46,16.90,18.46,16.38
16.90,16.38,17.55,15.47
15.47,15.34,15.99,14.43
16.25,15.86,16.90,15.47
15.60,15.59,16.25,14.95
16.64,16.90,17.94,15.60
17.16,16.25,17.16,15.86
16.12,15.34,16.25,15.08
15.34,14.56,15.73,13.65
14.95,14.82,15.73,13.78
15.86,16.64,17.29,15.86
17.29,16.90,18.46,16.25
17.42,16.64,18.85,15.99
15.99,15.47,17.03,15.08
15.60,14.95,16.25,14.43
14.82,14.69,15.08,14.30
14.43,14.30,14.69,14.04
14.56,15.47,15.73,14.43
16.12,15.08,16.25,13.65
15.73,14.95,15.99,14.82
14.82,14.82,15.08,14.56
14.69,14.56,14.82,14.30
14.56,14.17,14.56,14.04
14.04,13.91,14.17,13.26
14.17,13.52,14.17,13.26
13.52,13.13,14.04,13.00
13.00,12.61,13.38,12.22
12.22,11.70,12.87,11.44
11.70,11.70,12.20,11.57
11.83,11.95,12.35,11.70
12.35,12.61,12.87,11.96
12.85,13.78,13.91,12.74
13.65,13.13,13.78,12.74
13.13,12.87,13.39,12.52
12.61,12.75,14.30,12.61
12.74,12.02,13.00,11.83
11.83,13.52,15.08,11.44
13.00,13.06,13.65,13.00
13.00,12.48,13.39,12.35
12.48,12.87,13.00,12.39
12.87,13.00,13.39,12.87
13.00,13.39,14.04,13.00
13.39,13.52,13.65,13.13
13.91,13.78,13.91,13.52
14.17,14.17,14.30,13.52
14.43,15.60,15.99,14.17
16.77,16.38,17.16,15.86
17.03,16.38,17.16,15.47
16.38,16.25,16.42,15.60
16.38,19.37,19.76,15.99
19.89,15.60,20.41,14.95
15.73,15.99,16.51,14.69
16.12,15.47,16.12,14.95
15.21,15.08,15.28,13.91
15.08,15.47,15.60,14.30
15.73,15.73,16.12,14.95
15.73,15.86,16.38,15.34
15.86,15.34,16.25,15.08
15.21,15.34,15.73,14.95
15.60,15.60,15.60,14.95
15.34,15.08,15.86,15.08
15.60,15.21,15.60,14.82
15.60,15.08,15.60,14.56
14.56,14.69,15.08,14.04
14.30,14.56,14.82,14.17
14.04,14.30,14.82,14.04
14.17,14.56,14.82,14.04
14.17,14.30,14.56,14.17
14.17,14.17,14.69,14.04
14.95,15.73,16.12,14.17
15.60,15.73,15.73,14.95
15.73,16.90,17.16,15.73
17.16,17.03,17.16,15.86
17.29,17.16,17.42,16.51
16.90,16.38,16.90,15.99
16.38,15.47,16.64,15.08
15.73,16.12,16.12,15.34
17.81,16.77,18.20,16.64
16.90,17.42,18.07,16.51
17.68,17.03,17.81,16.90
17.03,17.29,17.29,16.77
17.29,16.90,17.29,16.51
17.16,16.64,17.16,16.38
16.90,16.44,16.90,16.25
16.77,16.44,16.77,16.25
16.25,16.38,16.51,15.99
16.38,16.77,17.55,16.25
16.77,16.77,16.90,16.38
16.51,16.51,16.77,16.12
16.51,15.99,16.51,15.86
15.99,16.25,16.64,15.86
16.12,16.51,16.51,15.86
16.51,16.38,16.51,15.86
16.51,16.51,16.51,15.99
15.99,16.25,16.38,15.86
16.38,16.38,16.51,15.99
16.25,16.38,16.38,15.99
16.25,16.25,17.16,15.86
16.25,15.47,16.25,15.34
15.47,15.60,15.60,14.95
15.86,15.47,15.86,15.21
15.47,15.21,15.73,15.08
15.21,15.34,15.60,14.95
15.34,15.08,15.34,14.95
15.34,14.95,15.34,14.95
15.08,14.56,15.21,14.43
14.30,14.43,14.82,14.30
14.43,14.56,14.69,14.17
14.30,13.78,14.43,13.78
13.39,13.91,14.30,13.39
14.30,14.56,14.56,13.65
14.69,14.95,15.21,14.56
15.73,15.21,15.73,14.95
15.08,16.51,16.64,14.95
16.25,15.99,16.77,15.60
15.73,15.21,15.86,14.95
15.60,15.21,15.60,14.95
15.34,14.95,15.34,14.17
14.69,15.34,15.47,14.43
15.34,15.21,15.60,14.69
15.47,14.82,15.60,14.82
15.34,14.88,15.34,14.82
14.95,15.08,15.08,14.17
14.82,14.69,15.08,14.43
14.69,14.69,14.82,14.17
14.82,14.56,15.08,14.17
14.56,14.82,14.82,14.30
14.56,14.43,14.69,14.17
14.56,14.56,14.69,14.30
14.56,14.69,14.69,14.30
14.30,14.43,14.56,14.04
14.30,14.04,14.56,14.04
14.04,14.04,14.17,13.39
13.78,14.30,14.30,13.65
13.91,13.65,14.04,13.00
13.91,13.52,14.17,13.52
13.65,14.17,14.17,13.52
14.30,14.30,14.55,14.04
14.30,14.04,14.56,13.91
13.91,14.30,14.30,13.65
14.17,13.78,14.56,13.65
14.95,14.95,15.08,13.91
14.82,14.69,14.95,14.30
14.69,14.43,14.69,13.91
15.21,14.82,15.21,14.43
14.95,14.95,15.21,14.56
14.95,16.38,16.64,14.43
16.77,15.86,16.77,15.60
15.86,15.60,15.86,14.95
15.86,15.73,15.99,15.34
15.60,15.47,15.86,15.08
15.21,15.34,15.47,15.08
15.34,15.60,15.60,15.08
15.47,15.34,15.47,15.08
15.60,15.21,15.60,15.08
15.21,15.21,15.60,15.08
15.34,16.12,16.12,15.34
16.25,17.16,17.16,15.99
17.16,16.77,17.29,16.64
16.77,17.29,17.42,16.64
17.42,18.07,18.46,17.28
17.94,16.90,18.07,16.25
16.77,18.85,19.50,16.64
19.76,19.37,20.67,18.20
20.28,18.85,20.54,17.81
19.76,18.59,19.76,17.94
18.98,18.59,19.24,18.21
18.72,18.72,18.85,17.94
18.72,18.20,18.98,18.07
18.72,18.20,18.72,18.07
18.20,18.07,18.33,17.81
17.81,18.33,18.72,17.42
18.85,19.76,19.76,18.20
19.89,19.63,20.02,18.85
19.50,19.11,19.76,18.85
18.98,18.72,19.29,18.59
18.72,18.46,18.98,17.94
18.72,19.24,19.24,17.94
19.50,19.89,20.54,19.24
19.89,19.89,19.89,18.72
19.89,19.76,19.89,18.72
19.50,19.50,19.76,18.85
19.50,18.98,19.50,18.85
19.24,18.46,19.37,17.94
18.20,18.07,18.23,17.55
17.94,18.72,18.72,17.68
18.72,18.46,18.85,17.81
