SAA,ProShares Ultra SmallCap600,NASDAQ
38.78,38.96,39.10,38.53
38.76,39.14,39.19,38.36
39.59,40.77,40.77,39.53
40.70,40.96,41.15,40.65
40.69,40.03,41.05,39.47
39.66,39.84,40.33,38.69
40.28,40.90,40.90,39.97
41.00,41.49,41.60,40.79
40.74,42.49,42.62,40.32
42.71,43.43,43.48,42.25
43.47,43.04,43.99,43.02
42.71,41.14,43.44,41.01
41.67,41.28,41.71,40.84
41.93,43.24,43.24,41.49
43.37,40.36,43.40,40.36
40.85,42.15,42.20,40.85
41.07,39.75,41.07,39.25
38.98,38.66,39.85,36.31
38.10,36.10,39.01,30.00
35.29,34.13,36.30,33.40
37.28,37.66,37.71,36.58
36.77,38.20,39.18,36.67
38.54,40.41,40.44,38.52
40.25,39.76,40.89,39.25
39.26,38.19,39.29,37.33
38.78,38.64,39.50,36.45
39.79,37.13,39.88,36.93
36.69,36.45,37.57,35.43
34.67,32.73,34.83,32.72
31.68,33.67,34.12,30.30
33.31,32.71,33.81,32.71
31.08,32.51,32.57,30.20
32.83,32.63,34.25,32.37
34.20,35.26,35.29,33.79
35.07,34.36,35.21,33.98
33.47,32.43,34.41,32.32
32.80,34.11,34.12,32.00
34.27,34.94,35.17,34.05
33.16,31.64,33.71,31.44
31.75,30.08,31.99,30.00
30.20,29.99,30.67,29.00
30.49,30.12,31.42,29.86
31.10,31.97,32.06,30.88
31.37,32.91,32.91,31.12
33.71,33.24,34.34,33.10
33.81,34.74,34.91,33.56
34.19,34.38,35.06,33.99
34.80,34.42,34.81,33.70
34.47,34.45,34.95,34.12
35.39,33.82,35.62,33.41
34.00,32.53,34.75,32.45
32.21,32.27,32.99,31.63
31.72,31.34,32.30,31.22
31.50,32.39,32.56,31.00
32.35,32.17,32.73,31.83
31.13,29.94,31.16,28.39
29.87,29.36,30.69,29.18
29.34,28.90,29.52,27.56
29.12,28.31,29.25,28.00
29.25,27.62,29.72,27.31
27.75,29.44,29.50,27.71
30.13,30.36,30.36,29.50
30.42,31.21,31.21,30.31
31.12,30.58,31.40,29.96
31.41,32.48,32.72,31.15
32.29,32.24,32.60,31.72
32.37,31.70,32.37,30.86
31.14,29.43,31.14,29.34
29.57,29.72,29.81,28.72
28.92,30.68,30.82,28.75
31.27,29.62,31.27,29.53
30.45,31.62,31.78,30.45
31.36,32.91,33.08,31.15
33.28,34.34,34.45,32.98
35.08,34.19,35.24,33.94
34.06,33.02,34.39,32.72
33.68,32.91,33.90,31.90
31.94,32.96,33.35,31.75
34.06,33.89,34.37,33.50
33.73,33.30,34.21,32.87
33.71,33.96,34.22,33.49
33.33,33.12,33.79,33.08
32.11,32.74,32.95,31.36
33.28,33.34,33.58,32.86
32.71,32.26,32.90,31.26
30.92,29.84,30.97,29.69
28.61,29.60,29.80,28.11
29.39,28.83,29.42,28.80
28.32,29.17,29.45,28.13
29.80,30.18,30.70,29.56
30.20,30.48,30.98,29.64
30.31,28.90,30.31,28.71
28.63,28.82,28.85,27.94
29.30,28.09,29.56,28.09
27.29,27.58,28.11,26.71
27.08,28.27,28.44,26.90
28.58,27.88,29.01,27.79
28.50,29.34,29.42,27.48
29.08,28.03,29.29,28.03
27.76,27.91,28.48,27.42
28.87,30.03,30.04,28.67
30.04,30.67,30.83,29.84
31.62,31.68,31.94,31.19
31.56,30.56,31.56,30.41
30.76,30.86,31.29,30.68
31.71,30.85,31.71,30.40
31.00,30.95,31.34,30.78
31.66,32.38,32.60,31.58
32.24,32.22,32.72,32.06
32.00,32.57,32.77,31.68
32.50,32.11,32.58,31.70
32.59,32.41,32.65,31.47
32.54,34.02,34.19,32.18
34.10,33.63,34.45,33.57
33.38,32.86,33.79,32.45
32.34,32.04,33.30,31.97
32.98,34.07,34.19,32.84
34.08,33.96,34.25,33.58
34.06,34.53,34.59,32.86
34.45,34.71,35.04,34.16
35.19,34.42,35.50,33.84
35.10,34.74,35.17,34.20
34.69,33.97,34.92,33.35
34.55,35.64,35.92,34.37
35.77,35.42,35.92,35.10
35.98,35.33,36.00,34.86
35.32,36.02,36.53,35.07
36.28,36.22,36.82,36.12
36.04,36.52,36.72,35.50
36.84,37.58,38.16,36.75
37.75,37.63,37.99,37.00
38.08,37.50,38.37,37.08
37.67,38.06,38.15,37.50
36.98,36.71,37.87,36.23
37.11,37.27,37.65,36.76
37.65,36.98,38.09,36.10
37.20,37.40,37.49,36.98
38.04,37.78,38.57,37.60
37.41,37.63,38.08,37.00
37.16,37.42,37.48,36.50
37.99,37.12,38.11,36.75
37.01,37.40,37.64,37.00
37.74,36.67,38.13,36.29
37.58,38.32,38.38,37.40
38.49,38.52,38.69,37.53
39.84,40.53,40.59,39.74
40.74,40.98,41.25,40.60
40.80,40.92,41.12,40.30
41.12,40.01,41.23,39.66
39.93,40.86,40.86,39.39
40.10,40.48,40.79,39.66
39.76,39.28,40.32,39.16
39.62,39.31,40.06,39.19
38.79,37.84,38.87,37.31
37.96,37.87,38.03,37.52
38.64,39.16,39.51,38.63
39.03,39.40,39.52,38.55
39.17,39.82,39.99,38.75
38.90,39.25,39.25,38.65
39.95,41.00,41.00,39.93
40.62,40.64,40.90,40.55
40.18,40.51,40.74,39.18
39.66,39.90,40.34,39.23
41.21,41.63,41.84,41.21
41.76,42.44,42.52,41.61
42.09,43.03,43.30,41.98
42.86,43.56,43.76,42.86
44.62,44.15,44.79,44.00
44.42,44.06,44.62,44.00
44.69,44.37,44.76,44.04
44.36,45.25,45.40,44.24
45.49,44.90,45.71,44.90
45.11,44.76,45.39,44.76
44.79,44.58,45.75,44.56
44.73,45.46,45.60,44.44
45.56,45.93,45.96,44.96
46.33,46.22,46.79,46.00
46.65,47.14,47.28,46.55
47.44,47.23,47.56,47.12
47.25,47.10,47.50,47.07
47.01,47.47,47.56,46.62
47.45,47.26,47.45,46.94
47.32,47.31,47.50,47.22
47.31,47.33,47.59,47.29
47.11,46.37,47.17,46.22
47.09,47.99,48.42,46.99
48.24,46.30,48.26,45.44
46.14,47.07,47.11,46.00
47.16,46.64,47.25,46.34
46.87,46.21,46.95,44.90
45.68,46.38,46.74,45.05
46.87,46.60,46.95,46.16
47.34,47.41,47.69,46.99
47.39,47.49,47.81,47.17
47.40,48.36,48.49,47.01
48.22,48.35,48.35,47.60
48.39,46.20,48.39,45.98
45.71,45.44,46.42,45.10
46.06,44.94,46.06,44.86
44.88,45.67,45.90,44.84
45.12,45.88,45.88,44.88
46.13,47.40,47.65,45.83
47.47,47.96,48.10,47.13
48.01,45.47,48.01,45.43
45.98,46.18,46.62,45.59
46.76,47.88,48.14,46.56
47.77,47.58,48.38,47.52
47.13,47.71,47.87,46.61
47.83,47.93,48.00,47.34
48.10,48.92,49.48,48.01
49.07,49.36,49.36,48.48
49.01,48.98,49.45,48.55
48.21,49.41,49.44,48.03
49.23,50.36,50.43,49.23
50.54,50.91,50.91,50.42
50.71,49.94,50.78,49.92
50.31,50.86,50.97,50.31
50.95,51.67,51.98,50.72
51.57,51.89,52.20,51.07
50.55,49.25,51.28,49.17
49.18,47.38,49.26,46.90
47.10,47.87,48.12,46.63
48.30,50.07,50.07,48.28
50.74,50.04,50.74,49.37
50.45,48.17,50.53,47.94
47.88,48.64,49.03,47.70
49.65,50.82,51.18,49.65
51.05,50.58,51.06,49.51
51.01,49.11,51.01,48.19
48.76,50.51,51.01,48.47
50.22,50.50,50.85,49.78
48.98,48.02,48.98,47.73
47.19,48.10,48.64,47.07
47.10,47.69,48.25,46.82
45.58,46.90,47.50,44.07
46.80,45.73,47.18,45.44
47.01,46.23,47.18,46.23
47.04,47.32,47.33,46.89
48.30,49.34,49.34,48.30
49.48,49.03,49.65,48.76
48.58,49.02,49.27,47.69
49.37,49.60,50.26,49.05
50.19,50.42,51.49,49.81
50.88,50.12,50.98,50.12
50.07,50.98,51.12,49.66
51.50,52.33,52.51,51.37
52.41,52.93,52.99,52.12
53.63,53.18,54.00,53.06
53.56,53.71,53.80,53.35
53.62,54.06,54.86,53.50
54.84,54.26,55.00,54.06
54.45,53.83,54.79,53.48
54.08,52.50,54.30,52.00
52.76,51.77,52.76,51.50
51.10,50.46,51.55,50.45
50.81,50.26,51.08,49.67
49.51,50.89,50.89,49.45
51.00,51.94,51.94,50.42
50.60,50.28,50.60,49.56
50.63,50.35,50.94,49.84
51.93,52.21,52.28,51.72
52.98,53.00,53.02,52.39
52.77,52.73,53.16,52.28
53.13,54.09,54.55,52.84
54.37,55.06,55.14,54.06
55.11,56.00,56.00,54.81
55.73,55.67,55.95,55.23
56.07,54.55,56.07,54.53
54.37,53.36,54.79,52.62
53.34,52.11,53.51,51.66
51.13,51.85,53.25,51.13
53.13,52.25,53.72,51.88
52.07,53.20,53.37,51.99
53.72,55.06,55.09,53.72
54.89,53.50,54.89,52.85
52.74,54.27,54.48,52.32
53.89,52.88,53.98,52.74
52.05,51.53,53.29,51.51
50.82,51.13,51.40,50.56
51.06,52.55,52.58,51.06
53.34,53.00,53.34,51.88
51.73,51.95,52.66,51.64
50.01,50.28,50.80,49.78
50.55,49.77,50.55,49.51
49.29,50.92,51.16,49.29
50.65,52.04,52.06,50.65
52.30,52.80,53.11,52.30
54.10,54.39,54.39,53.33
54.30,51.16,55.13,51.03
51.10,50.88,51.65,50.39
49.51,49.37,50.32,49.22
49.09,48.08,49.60,47.97
48.72,48.29,49.08,48.29
47.75,47.23,48.11,47.15
47.46,47.73,48.08,47.19
47.12,46.24,47.24,45.84
46.29,45.98,46.72,45.66
46.90,48.03,48.27,46.89
47.16,46.49,47.78,46.27
46.57,46.80,47.56,45.78
47.83,46.95,47.94,46.62
46.81,47.77,47.99,46.63
48.61,49.57,49.66,48.23
49.01,48.82,50.04,48.82
47.63,48.94,49.03,46.83
49.38,48.40,49.48,48.00
48.47,49.22,49.30,48.41
49.53,50.70,50.70,49.42
51.11,51.09,51.29,50.26
51.56,52.19,52.32,51.49
52.28,53.80,54.06,51.98
54.04,54.33,54.52,53.63
54.09,54.46,54.74,53.84
55.46,56.13,56.54,55.31
54.58,55.34,55.37,54.23
53.95,53.13,54.44,52.86
52.74,52.80,53.68,52.45
53.21,53.63,54.66,52.94
53.69,51.93,54.41,51.72
52.30,52.57,52.81,51.93
52.03,51.09,52.12,50.27
51.66,53.28,53.47,51.66
53.22,53.11,53.39,52.40
53.40,54.13,54.49,53.30
53.98,53.97,54.24,53.32
52.68,52.88,53.68,52.34
52.59,51.91,52.81,51.84
51.18,48.87,51.20,48.79
48.99,48.84,50.20,48.74
47.94,48.75,49.30,46.98
50.11,48.19,50.28,47.37
47.76,45.43,48.66,45.25
45.21,45.91,45.91,43.40
44.59,41.22,44.68,41.22
42.27,39.96,43.80,38.11
36.54,33.26,39.23,33.26
35.36,37.14,37.14,31.66
35.08,33.54,36.45,33.38
34.07,37.12,37.91,33.69
38.00,37.40,38.21,36.36
38.41,39.27,39.27,38.02
38.41,38.61,38.88,37.30
38.60,37.90,39.02,37.32
35.47,33.77,35.58,33.21
32.26,32.58,34.67,32.24
34.47,32.53,34.58,32.14
32.94,35.51,35.51,32.49
35.64,36.89,37.18,35.19
37.84,34.97,37.84,34.61
34.20,36.44,36.59,33.02
37.47,39.81,39.81,37.11
39.35,40.31,40.55,38.36
40.75,40.05,41.40,39.43
40.43,38.43,41.20,38.06
36.79,35.68,37.36,35.49
33.17,35.46,35.46,33.17
36.84,38.37,38.39,36.52
37.67,37.15,38.66,36.57
36.03,34.68,36.39,34.00
33.69,35.08,35.16,33.50
35.71,36.31,36.47,35.30
36.94,37.60,38.51,35.72
38.28,38.44,38.63,37.24
38.94,38.55,39.22,38.06
37.15,37.86,38.04,36.41
37.62,36.15,38.33,36.10
36.12,33.45,36.12,33.45
31.16,31.70,32.40,30.97
31.36,32.22,32.71,31.36
33.03,33.78,33.83,32.20
35.31,35.15,36.77,34.82
35.31,32.75,35.47,32.66
34.17,33.75,34.35,32.02
32.76,31.85,33.61,31.84
31.27,28.69,32.02,28.66
28.23,32.54,32.54,28.09
32.60,33.37,33.68,31.43
33.14,34.92,34.93,33.14
35.00,33.08,35.12,32.97
34.58,35.70,35.71,34.46
35.36,36.15,36.44,35.25
36.95,37.28,38.05,36.65
36.79,37.21,37.49,36.06
38.07,38.59,38.59,37.40
37.98,35.94,37.98,35.90
35.19,37.76,38.23,35.19
37.74,36.61,38.17,36.36
36.75,36.89,36.89,34.89
37.83,38.47,38.47,37.51
38.93,40.95,41.18,38.93
40.47,38.48,40.47,38.48
40.00,39.81,40.32,37.99
42.48,44.02,44.58,42.16
43.80,43.72,44.53,43.18
42.19,41.75,43.03,41.72
38.27,38.54,39.99,37.09
39.78,40.47,40.47,39.21
41.52,42.36,42.43,39.42
41.36,41.78,42.00,40.75
41.79,41.32,42.08,40.35
42.35,42.97,43.01,40.91
40.46,39.12,41.18,39.01
40.36,39.60,40.36,39.06
40.75,41.80,41.95,40.57
41.44,40.57,41.55,40.09
40.19,41.69,42.01,39.69
40.65,40.14,42.11,40.14
40.19,39.08,40.69,38.89
38.96,39.43,39.76,38.96
37.89,37.66,38.12,37.06
37.73,37.09,37.96,36.67
36.28,34.81,36.28,34.80
34.37,34.14,35.27,34.10
36.42,37.03,37.10,36.30
37.17,36.95,37.35,36.67
39.88,41.10,41.13,39.67
41.07,40.69,41.72,40.64
41.91,40.91,42.31,40.74
42.41,41.98,42.83,41.58
42.01,42.17,42.58,41.61
41.31,42.04,42.30,40.44
41.26,39.45,41.45,39.45
39.92,42.03,42.36,39.92
40.71,40.76,41.91,39.96
41.69,39.34,41.90,39.00
38.28,38.25,39.04,38.00
39.14,39.08,39.62,38.55
39.88,39.87,40.88,39.37
40.69,38.54,40.85,38.41
40.85,41.65,41.71,40.85
41.44,42.01,42.28,40.78
42.60,42.67,43.10,42.41
43.01,42.94,43.10,42.44
42.70,43.52,43.75,42.57
43.30,41.76,43.30,41.76
42.15,42.74,42.94,42.12
42.54,41.99,42.98,41.99
44.04,43.24,44.32,43.09
42.53,42.78,42.98,42.25
41.64,43.27,43.46,41.34
43.17,43.04,43.58,42.50
43.38,43.31,43.52,42.86
44.41,44.58,44.70,44.31
44.24,44.82,44.98,44.17
45.14,45.31,45.35,44.32
44.44,44.52,44.58,43.76
45.50,44.90,45.67,44.63
44.52,46.25,46.28,44.52
46.72,46.61,46.99,46.28
46.72,46.93,46.95,46.53
46.91,46.69,47.49,46.07
46.09,47.27,47.41,45.86
46.97,48.03,48.17,46.79
48.47,47.76,48.55,47.48
47.27,48.20,48.25,47.09
47.59,47.36,47.72,46.88
48.23,47.64,48.23,47.09
48.28,49.60,49.72,48.18
49.98,50.16,50.55,49.64
51.64,52.33,52.69,51.64
51.96,51.89,52.12,51.51
51.77,51.70,52.25,51.23
52.01,51.88,52.43,51.11
52.35,51.52,52.35,50.98
50.31,49.98,50.42,49.88
51.02,51.15,51.35,50.73
50.88,50.91,50.91,50.05
51.49,49.98,51.49,49.70
50.03,51.85,51.87,50.03
52.58,51.92,52.58,51.82
52.11,51.23,52.21,50.75
50.92,50.53,51.29,50.50
50.60,51.79,51.88,50.40
51.88,51.46,51.94,51.29
50.49,51.27,51.69,49.89
51.27,51.04,51.54,50.48
51.37,49.46,51.77,49.46
49.80,50.13,51.20,49.80
50.17,48.50,50.19,48.08
48.09,48.68,48.78,47.64
47.61,46.85,47.82,46.56
47.24,47.61,47.69,46.95
48.45,48.78,48.97,47.90
48.69,50.03,50.67,48.63
50.12,50.00,50.47,49.74
50.91,52.18,52.20,50.66
52.09,51.32,52.30,50.91
51.19,52.16,52.28,50.96
52.44,51.90,52.44,51.76
51.70,52.91,53.63,51.62
52.18,51.80,52.58,51.50
52.22,51.91,52.44,51.63
50.75,50.82,51.04,50.28
50.99,51.86,51.92,50.27
53.13,53.81,54.09,53.03
54.19,53.43,54.34,53.42
53.00,52.77,53.30,52.00
52.16,52.15,52.76,51.40
53.20,52.31,53.20,51.97
51.95,53.38,53.50,51.79
53.34,52.95,53.60,52.55
51.77,51.33,51.77,50.75
50.83,50.96,51.23,50.72
48.95,49.10,49.49,48.52
48.77,46.85,48.87,46.80
47.69,48.28,48.32,47.55
48.64,49.64,50.04,48.64
49.36,48.28,49.36,48.24
49.12,48.62,49.13,47.77
49.94,50.28,50.93,49.76
49.21,49.24,49.42,48.81
49.93,48.64,49.93,48.31
49.73,49.31,50.00,49.21
47.64,47.78,47.78,46.89
47.72,48.27,48.79,47.72
50.00,49.91,50.39,49.73
50.89,50.79,50.95,50.68
51.12,51.83,51.97,50.03
51.75,50.75,51.75,50.58
50.85,50.83,52.48,50.69
50.00,51.26,51.26,49.83
50.89,49.80,50.89,49.58
49.35,48.10,49.35,48.00
47.66,48.17,48.45,47.66
47.36,48.34,48.34,46.95
47.10,47.79,48.01,46.34
48.51,48.30,48.56,47.64
47.50,47.99,48.18,47.50
46.81,46.72,47.16,46.72
46.99,46.78,47.65,46.50
47.08,46.05,47.43,46.05
46.15,44.10,46.15,44.05
44.25,43.37,44.67,43.19
43.56,45.04,45.04,43.00
45.00,44.34,45.44,43.87
43.76,44.77,44.77,42.90
44.83,44.93,45.06,44.44
44.94,45.03,45.03,44.94
46.13,46.22,46.34,45.83
44.89,44.46,44.89,44.46
43.93,44.33,44.42,43.25
42.44,41.82,42.71,41.56
41.96,41.61,42.14,40.96
41.48,42.39,42.52,41.43
43.08,44.59,44.59,43.00
45.98,44.08,45.98,44.02
43.39,44.95,45.08,43.32
46.21,42.67,46.21,42.67
43.25,43.92,43.92,42.60
43.77,42.81,44.11,42.39
43.31,43.74,43.98,43.31
44.02,44.92,44.97,44.02
44.51,44.88,45.09,44.30
45.27,46.58,46.90,45.27
46.30,46.10,46.68,45.79
46.10,43.66,46.10,43.66
44.37,45.09,45.14,44.09
43.42,43.52,43.73,43.42
43.91,43.81,43.91,43.34
44.80,45.12,45.12,44.48
44.30,45.19,45.19,43.94
46.96,47.68,47.90,46.34
48.22,48.59,48.64,47.43
48.63,49.65,49.88,48.63
50.00,49.74,50.10,49.71
48.46,48.79,48.79,48.41
48.38,48.28,48.49,48.27
48.66,47.53,48.66,47.17
47.60,47.22,47.60,46.85
46.30,47.07,47.35,45.72
47.99,48.18,48.31,47.99
48.18,48.18,48.18,48.18
47.69,48.11,48.14,47.69
47.87,49.18,49.18,47.87
48.70,48.78,48.78,48.70
47.70,47.56,47.75,47.56
46.47,46.18,46.47,45.24
45.50,44.90,45.50,44.65
44.89,44.90,44.90,44.89
45.38,45.84,45.90,45.37
46.43,47.93,48.20,46.31
47.27,47.57,47.62,47.26
47.43,47.17,47.55,47.17
46.10,45.54,46.26,45.54
44.43,45.30,45.55,44.43
46.50,47.41,47.83,46.29
47.66,48.27,48.50,47.66
48.64,49.27,49.62,48.61
48.51,49.10,49.13,48.51
49.17,49.17,49.17,49.17
48.85,49.10,49.10,48.56
48.46,48.36,48.46,47.65
49.29,48.57,49.29,48.25
49.01,48.83,49.01,48.83
49.18,50.43,50.43,48.90
50.36,51.10,51.22,50.36
50.49,50.69,50.82,50.49
51.93,50.39,51.96,50.38
50.59,50.59,50.59,50.59
49.87,49.71,49.87,49.71
50.29,50.20,50.29,50.20
50.04,50.13,50.40,50.04
50.54,50.72,50.86,50.53
51.15,51.25,51.26,51.15
50.50,50.26,50.50,50.10
50.28,50.51,50.58,49.85
50.40,51.63,51.70,50.40
51.58,51.54,51.58,51.49
52.74,53.51,53.68,52.74
54.00,54.10,54.30,53.86
53.73,53.95,54.30,53.73
54.02,54.08,54.47,53.84
54.46,54.26,54.58,54.26
54.40,55.72,56.10,54.17
56.77,56.65,57.44,56.55
56.51,56.07,56.51,55.90
56.03,55.82,56.03,55.56
55.95,55.19,55.95,55.19
54.65,54.61,55.00,54.00
55.48,54.94,55.72,54.94
54.54,54.59,54.80,54.36
54.98,53.11,55.00,53.11
53.27,52.49,53.27,52.02
52.16,53.70,53.70,52.16
52.45,52.66,52.90,51.90
53.19,53.18,53.43,52.94
53.00,53.11,53.11,52.90
52.97,53.01,53.01,52.97
52.41,53.38,53.46,52.34
54.19,53.30,54.69,53.19
52.20,52.78,53.11,52.11
52.25,51.24,52.25,51.24
51.52,51.11,51.52,51.11
51.81,51.64,51.83,51.53
50.66,50.81,50.81,50.32
51.08,51.39,51.41,49.91
51.90,52.14,52.29,51.70
52.68,52.54,53.09,52.54
52.74,52.53,53.00,52.45
50.46,50.82,50.82,50.42
50.53,50.54,50.61,50.31
49.95,50.00,50.24,48.97
50.12,49.58,50.12,49.58
50.96,50.02,50.96,49.83
49.09,49.65,49.65,49.09
49.95,50.69,50.69,49.70
51.57,51.66,51.79,51.13
51.46,50.38,51.46,50.38
50.45,51.02,51.02,50.45
51.82,52.08,52.35,51.74
50.27,49.75,50.30,49.20
49.22,48.33,49.23,48.33
48.00,48.45,49.13,47.61
48.45,48.08,48.46,48.00
47.37,47.99,48.32,46.40
46.76,45.93,46.87,45.75
45.99,45.53,45.99,44.80
45.41,45.56,45.62,44.67
46.71,47.95,47.95,46.71
48.02,48.36,48.36,47.57
48.36,48.36,48.36,48.36
49.00,49.68,49.68,48.94
49.06,50.08,50.12,49.06
50.23,50.13,50.49,49.54
49.70,50.53,50.53,49.65
51.23,51.73,51.73,51.23
52.24,51.55,52.24,51.22
51.83,51.38,51.83,51.33
51.47,51.42,51.73,51.41
51.25,51.74,51.78,51.25
51.46,51.37,51.46,50.79
51.29,51.46,51.48,51.29
51.82,51.82,51.82,51.82
52.21,52.74,52.93,52.12
53.04,52.21,53.20,52.14
51.82,51.95,51.95,51.39
51.60,51.44,51.74,51.44
52.38,52.67,52.67,52.37
53.33,54.45,54.45,53.09
54.32,54.52,55.08,54.09
54.01,54.80,55.23,54.01
53.28,54.40,54.40,52.36
54.38,54.21,54.38,54.13
54.16,53.27,54.29,53.27
53.36,53.49,53.49,52.10
52.60,52.66,53.27,52.60
53.00,54.60,55.05,53.00
56.46,57.79,58.38,56.46
57.04,57.93,58.66,57.04
58.51,58.50,58.87,58.50
57.70,57.76,57.77,57.70
57.75,57.15,57.75,57.15
58.23,58.32,58.42,58.20
58.40,58.31,58.42,57.88
58.38,58.29,58.38,57.97
58.35,58.05,58.35,58.01
58.40,58.67,58.67,58.10
58.46,58.50,58.50,58.30
59.31,59.99,60.00,58.94
59.99,60.39,60.40,59.67
60.39,61.27,61.27,60.20
61.40,60.55,61.40,60.55
61.00,61.76,62.00,61.00
62.00,62.28,62.28,62.00
61.95,61.83,62.47,61.82
62.10,61.96,62.10,61.90
61.30,60.64,61.62,60.24
60.21,61.01,61.01,60.21
61.44,62.67,63.03,61.44
61.93,60.69,61.93,60.55
61.23,62.26,62.35,61.23
61.76,62.87,62.87,61.50
62.30,62.07,62.30,61.86
63.20,63.01,63.20,63.01
62.80,63.06,63.06,62.69
63.01,63.40,63.87,63.00
63.55,63.69,63.69,63.36
64.00,64.68,64.68,64.00
64.66,64.37,64.72,63.82
64.94,65.70,65.72,64.94
66.12,62.97,66.12,62.95
62.73,62.03,62.73,61.40
62.29,63.18,63.18,62.29
63.69,60.29,63.69,60.24
61.00,61.10,61.28,60.73
62.24,62.66,62.66,62.24
62.48,62.50,62.50,62.48
61.23,63.05,63.23,61.23
62.96,62.91,62.96,62.91
64.02,64.58,64.66,63.95
64.62,64.93,64.97,64.62
64.64,65.18,65.32,64.64
66.18,66.69,66.69,65.74
66.52,66.55,66.55,66.21
65.90,66.06,66.06,65.75
66.42,66.77,66.79,66.42
67.40,68.00,68.00,67.23
67.87,68.03,68.28,67.83
67.12,67.01,67.51,66.18
67.00,66.90,67.00,65.99
67.87,67.98,68.01,67.85
66.69,67.01,67.01,66.68
67.38,67.25,67.38,67.24
68.41,67.24,68.41,66.47
68.27,67.42,68.27,67.42
67.42,67.42,67.42,67.42
66.60,67.98,68.20,66.60
68.30,68.30,68.30,68.30
67.48,65.56,67.48,65.42
66.27,64.23,66.27,64.00
63.60,64.65,64.65,63.60
62.68,64.29,64.29,61.84
65.34,65.76,65.76,64.14
65.45,65.15,65.45,64.90
66.20,67.35,67.50,66.20
67.35,67.54,68.17,67.21
66.66,66.63,66.69,66.26
65.79,62.17,66.01,61.50
62.78,64.07,64.07,62.78
61.41,62.10,62.10,61.39
61.28,61.10,61.99,60.78
61.64,62.71,62.71,61.64
62.23,62.11,62.23,61.31
63.83,62.99,64.49,62.99
65.21,65.74,65.74,65.04
67.12,66.49,67.30,66.49
65.79,65.67,65.79,65.67
66.15,66.84,66.84,66.15
66.46,67.32,67.32,66.46
65.77,65.16,65.77,65.16
64.88,66.46,66.53,64.46
67.78,68.84,69.55,67.78
69.11,69.24,69.55,68.87
69.34,70.90,70.90,69.34
70.53,71.21,71.29,70.44
70.96,71.48,71.48,70.96
71.49,72.13,72.13,71.49
71.83,71.83,72.10,71.65
72.70,73.76,73.76,72.70
73.28,74.38,74.79,73.25
73.75,73.63,74.63,73.61
74.50,75.39,75.39,74.35
75.37,75.68,76.09,75.27
76.12,76.24,76.32,75.60
76.48,73.35,77.12,73.01
72.02,73.51,73.58,71.24
72.98,73.38,73.48,72.38
76.69,75.62,76.73,75.62
74.86,73.12,75.03,73.12
74.19,74.73,74.73,74.19
74.30,73.44,74.50,73.44
73.72,73.72,73.72,72.15
74.80,72.78,75.04,72.49
72.82,71.39,73.06,71.16
71.39,72.58,72.58,70.75
72.60,74.04,74.04,72.60
74.24,74.56,74.65,73.60
72.53,73.09,73.53,72.35
73.29,73.29,73.29,73.29
72.33,74.33,74.33,71.22
74.11,73.06,74.44,72.91
72.87,73.94,74.46,72.87
74.40,75.76,76.07,74.40
75.36,74.11,75.36,73.98
