CPSI,Computer Programs and Systems,NASDAQ
43.64,44.01,44.33,43.50
43.43,43.72,43.90,43.00
44.08,43.65,44.37,43.43
42.99,42.82,43.39,42.50
42.25,41.66,42.48,41.37
40.95,41.47,41.54,40.00
41.24,40.54,41.65,40.09
40.19,40.71,41.14,40.14
41.00,41.01,41.43,40.49
41.07,41.74,42.09,40.75
41.50,40.81,41.96,40.65
40.51,41.63,41.90,40.14
42.02,41.27,42.30,41.24
40.72,41.12,41.62,40.03
40.79,42.01,42.50,40.59
42.05,41.87,42.29,41.62
42.36,43.11,43.19,41.52
43.06,41.90,43.41,41.73
41.94,40.86,41.94,40.29
41.11,42.06,42.12,41.11
42.00,42.23,42.45,41.99
42.72,42.99,43.19,42.68
42.94,41.62,43.06,41.39
41.58,41.78,41.96,41.32
42.00,41.63,42.00,41.24
41.63,40.94,41.73,40.70
40.94,41.12,41.33,40.08
41.09,41.47,41.62,40.78
41.22,41.85,42.07,40.97
42.77,42.25,42.77,41.11
42.74,40.93,42.74,40.75
41.12,42.48,42.56,40.98
42.19,42.32,42.91,42.01
42.07,42.48,42.68,41.64
42.13,42.07,42.73,42.05
42.34,42.24,42.62,42.04
42.22,41.95,42.25,41.80
41.76,41.97,42.31,41.67
41.92,42.38,42.48,41.83
42.80,42.57,42.84,41.78
42.64,42.38,42.91,42.25
42.32,41.79,42.39,41.28
42.20,42.72,42.86,41.99
42.76,42.80,42.87,42.24
43.15,42.17,43.22,42.17
42.27,43.52,43.84,42.14
43.32,43.97,44.45,43.13
43.74,44.62,44.69,43.27
44.75,45.71,45.91,44.49
45.79,45.99,46.15,45.50
46.55,45.91,46.55,45.76
46.13,45.95,46.34,45.66
45.31,44.85,45.89,44.61
45.17,44.98,45.42,44.56
45.28,46.06,46.15,45.14
46.06,46.29,46.92,45.78
46.60,46.14,46.78,46.03
46.00,46.16,46.85,45.67
45.80,45.68,46.18,44.80
45.99,45.52,46.10,45.18
45.03,45.67,46.65,44.77
45.72,46.09,46.33,45.54
46.67,46.99,46.99,46.34
47.16,47.00,47.86,46.47
47.83,47.66,47.86,47.06
47.68,47.61,47.90,47.48
47.27,49.30,49.31,47.08
49.49,48.00,49.49,47.61
48.04,49.00,49.37,48.04
48.73,48.50,48.75,48.38
48.04,48.17,48.27,47.95
48.36,47.89,48.53,47.66
47.50,46.10,47.57,45.79
46.18,46.40,46.63,45.69
46.77,46.31,46.94,45.96
46.36,46.38,46.80,46.17
46.43,46.14,46.43,45.76
45.95,45.72,45.95,45.51
46.28,46.65,46.87,46.00
46.51,46.41,46.65,46.38
46.40,46.49,46.70,45.84
46.24,46.69,46.81,46.16
47.28,47.12,47.30,46.68
47.28,46.68,47.28,45.35
46.35,47.60,47.73,46.31
47.69,47.38,47.69,47.05
47.84,47.94,48.19,47.14
48.20,48.23,48.44,48.15
48.50,48.06,48.50,48.01
48.29,48.51,48.58,47.64
48.83,48.24,48.89,48.20
48.46,48.29,48.66,47.83
48.00,48.35,48.97,47.69
48.30,48.61,48.78,48.01
48.53,48.79,48.79,48.03
49.00,48.19,49.00,48.16
48.44,48.75,48.97,48.40
48.70,48.04,48.83,47.90
47.92,48.22,48.39,47.10
48.32,48.10,48.43,47.88
48.28,48.14,48.30,47.70
48.15,47.93,48.23,47.91
48.08,47.66,48.10,47.65
47.57,46.84,47.68,46.79
47.19,46.67,47.25,46.62
46.98,45.58,46.98,45.09
45.55,45.70,46.45,45.50
45.65,44.40,45.65,43.32
44.51,44.19,44.76,43.90
44.12,45.06,45.24,43.85
45.07,46.45,46.76,45.07
46.77,46.92,47.46,46.71
47.00,47.11,47.82,46.88
46.98,48.32,48.52,46.98
48.32,48.25,48.57,47.53
48.25,47.66,48.30,47.33
47.32,47.21,47.75,47.06
47.43,46.52,47.65,46.50
46.46,46.51,47.08,46.06
46.21,46.40,46.75,46.08
46.44,46.45,46.70,46.02
46.50,45.81,46.73,45.81
49.00,50.84,51.04,47.64
51.60,51.90,52.66,51.50
52.01,52.70,52.99,52.01
52.61,53.48,54.00,52.49
53.77,54.80,54.80,53.38
54.81,54.80,55.00,53.94
55.20,56.18,56.30,55.05
56.20,56.38,56.58,55.80
56.29,55.86,56.33,55.68
55.74,55.49,55.80,55.04
55.29,54.65,55.49,54.28
54.35,54.27,54.80,54.10
54.24,54.23,54.52,54.15
54.38,54.55,54.75,54.12
54.60,54.35,54.60,54.31
54.35,53.97,54.58,53.80
53.74,52.29,53.74,52.00
52.38,51.48,52.38,51.47
51.66,52.48,52.78,51.54
52.53,54.15,54.18,52.13
54.25,54.01,54.29,52.66
54.18,54.22,55.53,52.81
54.45,55.15,55.77,54.16
55.52,56.37,56.75,55.30
56.49,57.15,57.25,56.44
57.26,56.12,58.89,55.10
55.87,57.26,57.85,55.12
57.21,58.16,59.04,57.01
57.86,58.55,58.77,57.25
58.50,58.62,59.00,57.56
58.19,57.81,59.00,57.70
56.60,56.54,57.99,56.43
56.44,56.64,58.48,56.38
57.03,57.04,58.55,56.51
57.54,57.98,58.00,56.36
58.01,59.00,59.64,58.01
59.02,58.91,59.30,58.89
58.75,59.94,60.24,58.75
60.45,60.50,61.35,59.77
60.74,60.60,61.49,60.40
60.85,61.12,61.99,60.85
61.13,62.59,63.63,61.12
62.68,63.11,63.34,62.00
63.01,64.28,64.39,63.00
64.35,64.91,65.22,63.19
65.41,64.79,66.00,63.97
64.79,65.56,65.77,64.66
65.71,64.90,65.77,64.88
64.87,63.50,64.87,63.43
63.74,61.97,64.46,61.89
61.83,61.75,62.36,61.50
61.48,60.19,61.94,60.01
60.32,60.77,61.00,59.93
60.40,61.24,61.29,60.40
61.04,60.54,61.24,59.62
59.99,60.79,61.07,59.50
60.85,60.55,61.29,60.09
60.93,60.86,61.80,60.75
61.29,55.93,62.05,55.58
56.20,57.57,58.27,56.20
58.00,59.06,60.58,58.00
59.56,58.64,60.36,58.54
58.73,58.86,59.11,58.61
59.00,58.75,59.00,58.67
59.00,59.11,59.42,58.56
59.07,58.84,59.86,58.02
58.72,58.48,59.38,58.23
58.23,59.02,59.26,58.23
59.18,59.30,59.55,58.50
59.36,59.13,59.54,58.42
59.05,61.23,61.85,59.00
61.36,61.45,62.08,61.35
61.19,61.30,61.74,60.92
61.41,60.98,61.50,59.98
61.00,60.90,61.38,60.46
60.59,60.42,60.87,60.00
60.65,61.16,61.33,60.51
61.42,61.12,61.42,60.75
60.85,61.18,61.51,60.85
60.38,61.03,61.37,60.38
60.98,61.29,61.69,60.38
61.26,62.45,62.70,60.82
62.20,63.15,63.81,61.96
63.28,61.81,63.28,61.61
62.00,62.75,62.78,61.85
62.89,60.84,63.56,60.67
61.21,59.56,61.82,59.35
59.06,58.90,59.59,58.61
57.52,57.03,58.88,56.48
57.47,57.16,57.47,56.87
57.09,57.26,57.76,56.53
57.46,57.22,57.64,57.18
57.03,54.60,57.21,54.35
54.63,53.57,55.28,53.49
54.04,55.68,56.11,51.68
55.66,56.34,58.28,55.66
56.46,57.13,57.18,56.21
57.35,57.48,58.06,57.14
57.05,57.93,58.21,57.04
58.26,59.99,60.25,57.96
59.77,59.43,61.00,59.13
59.13,59.51,60.36,58.70
59.78,58.95,59.78,58.75
59.22,61.17,61.52,59.22
61.25,62.25,62.62,61.25
62.48,61.99,62.48,61.20
62.32,63.48,63.95,62.32
63.70,64.47,64.74,62.60
64.78,65.15,65.57,64.05
65.23,66.62,67.49,64.52
66.83,66.39,66.91,64.61
65.95,66.34,66.90,65.74
65.99,65.16,66.09,64.57
64.79,64.60,65.59,64.15
65.04,65.13,65.93,64.76
65.38,65.51,65.83,64.89
66.13,65.88,66.98,64.82
65.91,64.56,65.91,63.86
64.97,66.81,66.81,63.68
66.80,66.01,67.45,65.86
66.00,68.28,68.29,65.66
68.32,67.93,69.37,67.88
67.43,67.76,67.94,66.39
64.01,61.01,65.61,60.76
61.07,61.12,62.13,60.19
61.31,62.49,62.51,60.14
68.82,73.45,79.06,68.52
75.83,73.52,77.68,72.27
74.00,71.50,73.05,70.34
71.44,73.47,73.93,70.34
72.82,68.82,73.73,68.47
69.20,64.12,69.45,63.75
62.83,58.75,63.45,58.30
59.16,62.44,62.92,56.78
61.25,62.72,64.24,59.65
62.96,64.65,65.41,61.47
65.07,64.69,66.69,64.22
64.82,67.48,67.72,64.82
66.70,66.88,67.32,64.45
67.24,67.31,68.56,66.40
66.70,64.51,66.70,63.84
63.48,62.93,65.23,62.12
64.22,63.07,64.97,62.68
63.22,65.24,65.33,63.05
64.65,64.86,65.82,63.86
65.53,63.28,65.94,62.44
62.75,65.90,65.90,61.82
66.41,68.70,68.87,66.26
68.52,70.72,70.87,67.94
71.05,70.82,71.75,70.14
71.09,67.86,71.09,67.43
66.78,66.50,68.73,66.38
64.67,66.78,66.85,64.42
67.39,68.50,68.60,66.53
68.31,68.82,69.54,67.88
68.25,65.27,68.60,64.50
64.32,66.82,66.91,64.10
67.18,69.53,69.93,66.66
70.00,70.88,71.60,68.50
71.36,71.05,72.10,70.14
71.66,71.70,71.71,69.80
70.51,71.54,72.67,70.06
71.80,69.89,72.77,69.76
70.58,69.06,70.97,68.75
67.54,69.16,69.47,65.98
69.59,69.11,69.59,66.53
69.43,71.17,71.32,67.88
72.00,72.05,74.12,71.23
71.93,67.55,72.94,67.44
68.66,68.35,69.01,66.00
67.38,66.15,69.10,66.03
65.83,63.64,68.52,63.58
63.42,66.16,66.25,62.11
66.76,69.25,69.61,66.76
69.38,68.37,70.50,66.81
68.42,65.35,68.86,65.04
66.38,67.09,67.46,65.46
66.49,69.24,69.79,66.49
69.85,68.74,70.19,68.08
68.43,70.46,70.97,68.42
71.09,72.12,72.50,70.11
71.49,70.07,72.36,69.74
70.69,71.46,72.88,69.36
71.60,70.14,72.26,69.99
70.02,70.79,71.57,68.90
72.07,71.81,72.90,70.65
72.21,73.35,74.62,71.89
73.18,70.60,74.45,70.16
71.69,70.77,73.49,68.46
72.91,71.35,74.41,67.61
58.07,51.01,58.60,50.60
51.12,51.07,53.10,50.29
50.00,51.81,52.47,49.55
52.57,52.36,53.00,51.70
52.87,51.15,52.87,50.00
51.02,52.09,52.50,49.73
51.66,52.34,52.36,50.79
52.00,52.11,52.52,50.71
51.09,50.30,52.34,50.00
50.98,50.48,51.24,50.25
50.83,51.79,51.89,50.40
51.34,51.20,51.72,50.91
50.82,50.38,51.92,50.31
50.00,49.13,50.40,48.94
49.27,49.36,50.02,48.27
49.16,45.35,49.36,44.58
44.60,44.45,45.19,42.59
44.38,43.81,46.21,43.68
43.60,43.81,44.71,43.00
43.59,43.07,44.00,42.85
44.19,43.30,44.39,42.41
43.30,42.30,43.81,41.80
43.41,45.40,45.56,42.60
45.14,46.41,46.93,45.00
46.69,46.23,47.31,45.96
47.29,47.86,48.43,46.44
47.81,46.98,47.81,46.43
46.90,46.37,46.90,45.48
46.15,45.61,46.50,45.48
45.73,47.45,47.85,45.13
46.90,46.89,47.68,46.39
47.10,46.82,48.09,46.72
46.34,45.72,46.34,45.60
46.22,46.22,46.41,45.74
46.64,46.83,46.93,46.31
47.00,46.35,47.23,46.20
47.26,48.94,48.99,47.14
48.97,48.44,48.97,47.54
48.37,48.36,48.86,47.60
48.45,49.05,49.81,48.12
48.84,50.20,50.43,48.30
50.27,50.33,51.15,49.96
50.28,50.82,50.89,49.98
50.72,51.11,52.15,50.72
52.24,52.41,52.73,51.20
52.30,52.40,52.56,51.20
52.33,52.87,53.50,51.83
52.98,54.32,54.72,52.54
54.56,52.85,54.57,52.77
53.42,53.00,53.57,52.78
52.63,52.69,53.37,52.44
52.61,52.61,53.26,52.40
52.40,52.49,53.02,52.17
52.70,52.59,53.05,52.40
52.52,51.48,52.52,51.05
51.49,51.80,52.33,51.29
51.88,51.99,52.44,50.93
51.99,51.09,52.26,50.58
51.03,51.17,51.73,50.99
51.35,51.55,51.87,50.62
52.22,53.31,53.57,51.14
54.00,57.58,59.63,53.50
56.96,57.29,58.21,56.88
57.72,57.25,58.10,56.74
57.45,59.27,59.33,57.40
59.26,59.96,60.72,58.66
60.49,61.19,61.84,60.49
61.00,61.76,62.38,60.14
61.35,61.61,62.64,61.30
61.76,63.29,63.49,61.76
63.26,61.84,63.72,61.62
61.56,60.42,61.71,60.32
61.00,61.32,61.77,59.99
60.87,60.76,61.69,60.24
60.92,60.16,61.23,59.68
60.05,62.01,62.11,59.54
62.20,61.24,62.20,60.67
61.25,60.95,62.02,60.55
61.02,61.08,61.20,60.35
60.99,61.86,62.37,60.80
61.89,61.96,62.33,61.59
61.84,63.22,64.00,61.21
63.14,61.64,63.14,61.24
61.65,60.84,61.65,60.06
60.87,59.84,61.33,59.79
60.00,60.38,60.83,59.34
60.29,60.74,61.10,59.89
60.10,59.17,60.62,58.80
59.22,60.19,60.75,58.85
60.31,61.19,61.47,60.21
60.75,62.14,62.59,60.75
62.27,61.75,62.27,61.34
62.19,60.62,62.20,59.85
60.45,60.39,60.83,60.11
62.04,61.26,62.04,60.23
61.31,59.08,61.82,58.62
59.19,58.47,59.46,58.42
58.27,57.61,58.54,57.01
57.29,58.58,59.23,56.72
58.01,57.64,58.77,57.56
57.80,56.72,57.82,56.58
57.45,57.21,57.76,56.74
57.35,57.24,58.30,56.75
57.45,56.98,58.08,55.76
56.56,56.71,57.47,56.31
57.19,56.52,57.61,56.51
56.64,57.19,57.20,56.07
57.04,56.28,57.57,56.01
55.77,55.30,56.00,54.33
55.36,56.06,56.30,55.21
55.17,55.97,56.33,54.96
56.07,54.88,56.34,54.85
55.63,55.83,55.99,54.98
55.94,55.99,56.65,55.84
55.57,54.81,56.53,54.67
55.20,54.77,55.28,54.26
55.02,56.14,57.24,55.02
55.92,55.96,56.21,55.24
55.75,55.19,56.37,54.83
56.43,55.82,56.84,55.26
55.10,54.98,55.57,54.45
54.88,54.55,55.18,54.38
55.40,54.93,55.54,54.76
55.03,55.89,56.97,54.95
55.50,59.73,61.90,55.50
59.44,59.59,60.33,57.64
59.55,59.25,60.93,59.06
58.87,60.19,60.32,58.47
58.47,58.71,58.95,57.82
58.24,57.50,58.24,56.72
57.08,57.39,58.15,56.74
56.20,55.20,57.18,55.11
55.19,55.77,56.83,55.19
56.06,55.96,56.36,55.56
55.65,57.18,57.22,55.65
56.71,56.36,57.30,56.21
56.38,57.10,57.57,55.93
57.25,57.07,57.79,57.00
57.00,55.93,58.70,55.75
55.78,54.91,56.75,54.81
55.10,55.62,56.22,55.04
55.50,56.23,56.65,55.50
56.00,56.34,56.51,55.36
56.69,55.63,57.23,54.99
55.67,56.63,57.22,55.43
56.72,55.84,56.72,55.15
55.28,54.46,55.55,54.37
54.69,54.40,54.85,53.54
53.57,52.75,54.11,51.64
52.80,52.81,53.28,52.16
52.39,53.62,53.83,52.13
53.83,54.42,55.13,53.60
54.85,54.60,54.93,54.26
54.35,55.32,55.66,54.09
55.70,53.76,56.12,53.59
53.82,55.07,55.46,53.40
54.82,54.56,55.37,54.11
54.77,55.26,55.70,54.71
55.05,55.71,55.92,54.85
55.35,55.55,55.94,55.12
55.63,57.16,57.39,55.63
56.94,56.21,57.55,56.17
56.05,53.72,56.72,53.40
54.11,53.44,54.34,53.32
52.90,54.03,54.39,52.77
54.03,53.93,54.19,53.28
54.06,54.20,54.45,53.47
53.64,55.43,55.43,52.64
56.43,57.22,57.79,56.18
57.40,58.26,58.29,56.10
58.10,59.17,59.17,57.80
58.81,56.91,58.89,56.76
56.29,55.49,57.26,55.00
55.63,54.16,55.63,53.68
54.31,54.31,55.10,54.01
54.39,53.81,54.49,53.24
53.44,53.49,53.97,53.01
53.50,53.21,54.05,53.11
53.05,51.90,53.05,51.75
52.01,51.99,52.47,51.19
51.77,51.85,52.23,51.50
51.84,51.14,52.00,50.71
50.93,50.45,51.13,50.35
49.92,49.00,49.99,48.46
49.04,48.28,49.05,47.59
48.35,48.71,49.19,48.18
49.09,48.80,49.66,46.03
46.00,50.53,51.20,45.99
50.94,50.60,51.15,49.92
50.27,49.50,50.68,49.36
49.85,48.48,50.20,48.48
48.43,48.96,49.38,48.43
49.91,49.17,50.73,49.04
49.42,49.93,50.22,49.35
49.96,49.28,50.19,49.22
49.16,49.75,50.36,48.78
49.83,47.67,50.14,47.26
47.70,48.06,48.45,47.22
48.10,47.24,48.10,46.90
47.58,47.67,48.63,47.24
47.63,47.88,48.28,47.63
48.00,47.40,48.00,47.02
47.38,46.98,47.87,46.79
47.03,46.57,47.25,46.00
46.75,45.41,46.75,45.26
45.50,45.46,45.78,44.95
45.25,46.79,47.16,45.04
47.24,50.59,51.03,47.06
50.97,50.00,51.68,49.62
49.88,49.82,50.60,48.64
50.37,50.81,51.07,49.89
50.70,50.80,51.19,50.49
51.22,50.55,51.22,50.01
50.08,51.56,51.70,50.03
51.39,52.50,52.95,51.39
52.62,52.76,53.29,52.21
53.41,52.88,53.65,52.62
53.23,52.85,53.25,52.54
52.85,52.66,53.37,51.71
52.70,53.30,53.32,52.50
53.33,54.55,54.88,53.01
54.77,54.51,55.51,54.25
54.43,54.32,54.58,53.93
54.40,54.35,54.70,53.82
54.43,54.75,54.85,54.29
54.38,54.65,54.77,54.19
55.44,55.09,55.59,54.84
53.83,55.25,55.59,53.83
55.73,55.19,55.83,54.33
55.26,54.79,55.31,54.44
55.13,55.57,55.83,54.40
55.30,55.55,55.85,54.78
55.86,55.49,56.03,54.76
55.77,54.42,55.95,54.17
54.66,55.28,55.35,54.24
55.00,54.74,55.00,54.20
54.70,53.84,54.74,53.47
53.79,54.12,54.31,53.54
54.01,53.89,54.20,53.34
53.93,53.51,54.24,53.42
53.92,53.56,53.92,52.86
53.75,53.74,53.94,53.49
53.75,53.76,54.11,53.45
53.96,53.92,54.03,53.50
53.90,53.78,54.17,53.49
53.81,54.00,54.28,53.35
53.79,53.50,53.79,53.08
53.50,53.27,53.59,53.04
52.97,52.42,52.97,51.41
52.70,53.20,53.27,52.00
52.79,52.84,53.50,51.73
52.70,50.07,52.70,49.05
49.95,48.81,49.95,47.84
49.35,50.50,51.09,48.30
50.56,50.70,51.50,50.36
50.61,50.51,51.29,50.07
50.15,50.23,50.67,49.72
50.00,49.48,50.01,49.32
49.43,47.73,49.46,46.76
47.41,49.46,49.77,47.41
49.34,49.66,50.07,48.97
49.38,49.72,50.10,49.13
49.97,49.08,49.97,49.02
49.15,49.31,49.46,48.65
49.13,50.42,50.73,49.10
50.81,51.27,51.61,50.54
51.16,51.39,51.39,50.44
51.54,51.33,51.55,50.82
51.59,51.37,51.59,50.59
51.13,51.11,51.63,50.78
50.05,50.77,51.24,50.05
50.71,50.89,51.33,50.28
51.33,51.11,51.41,50.81
51.11,50.07,51.11,50.02
50.91,50.45,51.92,49.82
50.36,49.87,50.95,49.63
49.94,50.53,50.71,49.81
50.35,50.32,50.77,49.77
50.50,50.04,50.50,49.60
50.14,50.77,50.95,49.54
51.08,51.37,51.50,50.52
51.51,50.79,51.70,49.92
50.69,50.95,53.55,50.56
50.96,51.22,51.75,50.23
51.60,50.69,51.60,50.45
50.62,51.48,51.89,50.57
51.40,51.91,52.22,50.82
51.81,51.77,52.39,51.38
51.42,51.69,51.69,50.80
51.58,51.35,51.65,50.34
51.40,50.34,52.39,50.08
50.26,50.14,50.77,49.81
50.04,49.64,50.64,49.25
49.54,50.34,51.77,49.15
51.23,52.26,52.68,51.23
52.18,50.99,53.30,50.20
51.23,51.42,51.70,50.76
51.37,52.26,52.30,50.66
52.24,51.91,52.35,51.55
52.16,51.52,52.16,51.14
51.53,51.43,51.69,51.15
51.51,51.18,51.80,51.18
51.29,51.24,51.48,50.89
50.94,50.92,51.25,50.69
50.72,50.83,51.22,50.69
51.12,51.08,51.68,50.70
51.17,51.28,51.52,51.04
51.30,51.58,51.67,51.13
51.70,51.55,51.86,51.41
51.71,52.62,52.88,51.29
53.01,54.21,54.50,52.90
54.32,53.54,54.49,53.20
54.00,53.85,54.31,53.44
53.94,52.57,54.24,52.35
52.66,52.61,52.98,51.60
48.90,48.00,50.66,47.26
46.11,47.01,47.52,46.08
46.79,47.19,47.65,46.75
47.09,48.06,48.40,46.88
48.62,49.00,49.23,48.44
49.00,48.92,49.15,48.77
49.17,50.46,50.66,48.34
50.57,51.19,51.75,50.14
51.08,50.79,51.54,50.37
50.82,51.19,51.32,50.75
51.50,51.07,51.50,50.64
51.46,51.37,52.63,51.32
51.32,51.28,52.15,51.26
51.15,51.21,51.35,50.49
51.46,51.57,51.70,50.99
51.83,51.59,52.02,51.03
51.63,51.58,52.15,51.05
51.69,52.28,52.78,51.69
52.35,52.14,52.69,51.92
52.00,53.03,53.15,52.00
53.01,52.32,53.29,52.00
52.59,52.55,53.37,52.11
52.56,52.25,52.76,52.04
52.35,52.32,52.48,52.04
52.69,52.77,52.98,52.20
52.80,53.13,53.35,52.43
53.36,53.60,54.11,53.08
53.52,53.46,54.03,53.11
53.64,53.25,53.67,53.11
53.25,53.46,54.48,53.25
53.16,52.68,53.43,52.48
52.94,52.73,53.51,52.56
52.80,52.91,53.15,52.52
52.58,52.57,53.05,52.54
52.30,52.75,53.14,52.20
52.65,52.44,52.99,52.32
52.45,53.13,53.54,52.23
52.91,52.81,53.17,52.20
52.96,54.11,54.50,52.78
54.22,52.99,54.23,52.60
53.20,52.36,53.25,52.13
52.56,52.23,53.01,51.77
52.38,53.14,53.59,52.10
52.67,52.89,53.13,52.21
53.03,52.68,53.16,51.51
52.91,53.02,53.39,52.17
53.19,54.62,55.00,52.93
54.74,54.76,55.16,54.17
54.51,55.10,55.40,54.51
55.20,53.83,55.20,53.71
54.14,54.63,54.74,53.91
54.39,53.81,54.84,53.40
54.05,53.50,54.64,53.28
53.61,54.84,54.95,53.33
55.09,54.04,55.98,53.80
54.20,55.05,56.31,54.20
54.90,54.74,55.19,54.57
55.00,54.85,55.39,54.60
54.23,52.60,54.23,51.39
52.87,53.04,53.78,52.75
52.77,52.46,53.66,52.02
52.13,50.97,52.30,50.85
51.02,50.99,51.33,50.75
51.30,51.00,51.56,50.94
50.98,50.30,51.10,50.01
49.87,49.95,50.30,49.50
49.72,50.07,50.11,49.72
50.07,49.38,50.08,49.34
49.52,49.50,49.92,49.32
49.35,48.98,49.58,48.52
48.90,49.20,49.42,48.58
48.99,50.08,50.08,48.97
49.85,51.09,51.18,49.85
51.45,51.58,51.58,51.14
51.55,51.23,51.80,51.20
50.97,51.84,52.06,50.97
51.80,51.42,52.52,51.06
51.11,51.53,51.81,50.79
51.41,52.02,52.08,50.86
52.40,52.06,52.63,51.63
51.65,51.06,51.94,50.59
50.99,50.48,51.47,50.19
50.09,50.08,50.65,49.96
50.20,50.40,50.66,49.62
50.41,50.15,50.73,49.03
49.92,49.86,50.10,49.43
49.95,50.23,50.56,49.50
50.60,50.40,50.65,49.86
50.40,50.54,50.64,50.10
50.19,50.35,50.58,49.97
50.50,49.98,50.60,49.91
50.05,51.07,51.17,49.58
50.93,50.96,51.27,50.55
51.08,51.00,51.74,50.76
51.00,50.93,51.27,50.66
50.92,50.30,50.92,50.18
49.73,48.88,50.06,48.58
