CLX,Clorox Company (The) Common Stock,NASDAQ
68.01,67.86,68.46,67.82
67.66,67.75,68.00,67.49
68.18,68.83,68.92,68.11
68.63,68.39,68.84,67.95
68.38,67.91,68.38,67.82
68.14,68.22,68.53,67.60
68.00,68.13,68.30,67.67
67.87,67.78,68.32,67.52
67.59,68.08,68.25,67.50
67.80,67.62,68.00,67.27
66.89,67.69,68.03,66.87
67.63,67.61,68.13,67.24
68.35,67.94,68.35,67.48
68.41,68.81,69.06,68.20
69.03,69.57,69.75,69.03
69.51,69.15,69.75,69.05
69.17,68.84,69.25,68.54
69.03,69.65,69.76,68.88
69.75,69.48,69.90,69.35
69.65,69.68,70.00,69.63
69.69,70.00,70.18,69.67
70.12,70.03,70.50,70.00
70.00,70.07,70.35,69.88
70.00,70.86,70.87,69.95
70.82,70.61,70.87,70.33
70.46,69.69,70.46,69.58
69.80,70.39,70.53,69.72
70.21,70.17,70.39,69.60
68.81,69.42,69.90,68.81
69.62,69.94,70.41,69.61
70.07,70.14,70.55,69.84
70.21,69.42,70.44,69.31
69.22,69.64,69.79,69.11
69.85,69.64,70.00,69.62
69.30,69.23,69.53,68.87
69.30,68.79,69.61,68.55
69.25,69.27,69.55,68.98
69.39,69.52,69.77,69.21
68.77,68.54,69.65,68.28
68.77,68.56,69.25,68.47
68.80,69.23,69.34,68.67
69.02,69.79,69.81,68.96
69.57,69.66,70.00,69.44
69.77,69.99,70.25,69.62
67.48,67.47,67.85,66.72
67.49,67.89,68.10,67.31
67.53,68.44,69.00,67.36
68.81,68.63,68.95,68.17
68.53,69.46,69.54,68.53
69.31,69.52,69.88,69.08
69.54,69.63,70.05,69.37
69.63,70.83,70.94,69.58
70.75,70.94,71.00,70.57
70.64,70.77,70.99,70.52
70.50,70.73,71.00,70.50
70.74,70.35,70.75,70.01
70.68,70.57,70.96,70.43
70.57,69.95,70.74,69.89
69.62,70.13,70.25,69.52
70.10,70.35,70.50,70.00
70.35,69.71,70.36,69.35
69.56,69.43,69.66,69.15
69.43,69.29,69.64,69.13
69.64,70.48,70.49,69.34
70.30,69.34,70.40,69.30
69.40,68.60,69.50,68.40
67.69,67.48,68.17,67.43
67.38,67.27,67.50,66.94
67.47,67.37,67.56,67.12
66.66,66.84,66.97,66.23
66.84,67.10,67.50,66.76
66.82,66.62,67.05,66.59
66.76,66.76,67.06,66.45
67.11,67.04,67.37,66.93
66.63,66.30,66.98,65.97
66.09,66.81,66.91,66.09
66.94,67.54,67.98,66.84
67.50,67.86,68.10,67.38
68.22,67.78,68.22,67.72
67.77,67.43,68.05,67.36
66.90,67.23,67.36,66.46
67.26,66.29,67.39,66.24
66.52,66.25,66.69,66.22
66.59,66.56,66.59,66.15
66.89,67.40,67.63,66.79
67.52,67.44,67.74,67.33
67.17,68.27,68.28,67.13
68.38,67.97,68.44,67.87
67.91,68.18,68.53,67.70
68.56,68.36,68.74,67.99
67.91,68.12,68.36,67.78
67.81,70.05,71.98,67.74
70.00,70.14,71.00,69.53
69.84,68.99,70.23,68.84
69.17,68.43,69.27,68.40
74.35,74.55,75.10,72.47
73.32,73.04,73.49,72.50
72.50,72.57,73.48,71.52
74.83,74.34,75.44,74.15
74.30,74.22,74.80,74.00
74.57,74.36,74.59,73.82
73.13,72.69,73.57,72.55
72.58,73.30,73.32,72.54
72.97,73.63,73.87,72.76
73.31,72.69,73.77,72.67
72.38,71.59,72.88,71.59
72.14,71.12,72.20,70.80
70.79,70.29,71.14,69.99
70.45,68.88,70.61,68.44
68.19,64.82,68.24,64.29
66.27,67.18,67.68,65.10
66.21,64.08,66.75,63.84
64.81,67.20,67.24,63.64
66.59,65.28,67.07,65.19
65.51,67.75,68.54,65.48
68.24,67.65,68.36,67.34
68.13,69.95,70.80,68.12
69.67,68.99,70.34,68.93
69.27,66.85,69.59,65.10
65.83,64.12,66.08,63.56
65.02,64.00,65.78,63.76
65.05,64.61,65.16,63.75
65.11,65.77,65.84,64.58
65.68,66.06,66.25,65.19
66.28,65.91,66.67,65.16
65.60,67.14,67.37,65.08
67.51,68.63,68.64,67.32
68.50,70.52,72.34,67.94
70.54,69.70,70.95,69.60
69.69,69.01,70.32,68.97
68.33,68.59,69.29,68.03
66.59,68.47,68.59,66.59
68.74,69.69,70.12,68.60
69.21,68.91,70.03,68.88
68.37,67.48,68.59,67.15
67.00,67.75,67.80,66.74
67.67,68.15,68.21,67.24
68.15,68.37,69.13,67.29
68.84,68.71,68.95,67.76
69.14,69.47,70.00,68.84
68.75,68.83,69.20,68.53
68.98,68.76,69.85,68.75
68.65,66.75,69.10,66.71
65.60,66.13,66.64,65.46
66.49,69.40,69.61,66.49
64.80,66.44,66.49,63.96
67.55,67.37,68.27,66.75
67.39,66.20,67.68,66.12
66.95,66.90,67.84,66.01
66.39,66.33,67.60,66.27
65.77,64.55,66.77,64.48
63.84,65.24,65.37,63.50
65.50,65.82,66.06,64.91
65.69,67.37,67.41,65.58
67.60,66.53,67.60,66.43
67.25,67.27,67.59,66.72
66.98,67.16,67.52,66.82
67.24,66.81,67.50,66.81
66.82,66.71,66.98,66.41
67.36,68.10,68.33,67.12
67.95,67.20,68.20,66.96
67.42,67.86,68.34,67.04
68.00,67.69,68.49,67.57
67.60,68.31,68.38,67.60
68.86,69.56,69.61,68.72
67.31,67.80,68.37,67.31
67.75,67.35,68.13,67.23
67.92,68.63,68.67,67.25
69.41,68.57,69.42,67.01
67.84,66.23,68.05,65.92
66.44,66.94,67.66,66.25
66.00,65.86,66.45,65.20
67.24,65.00,67.46,64.95
65.11,63.97,65.55,63.85
63.97,65.00,65.07,63.85
65.10,65.80,65.98,65.10
66.01,65.64,66.12,65.27
64.91,64.41,65.42,64.10
64.72,65.37,65.86,64.68
65.51,65.63,65.95,65.19
65.60,65.88,66.15,65.30
65.79,65.00,65.85,64.96
64.82,64.92,65.51,64.64
65.01,64.96,65.20,64.44
65.10,64.67,65.25,64.55
64.36,64.15,64.52,63.10
64.07,64.25,64.68,63.93
63.74,63.71,64.21,63.06
63.53,63.97,64.59,63.53
65.03,64.59,65.04,64.35
64.88,65.00,65.20,64.67
65.80,64.96,65.93,64.90
65.11,64.91,65.98,64.83
65.43,65.21,65.64,65.15
65.90,65.09,65.90,65.01
65.20,65.60,65.89,65.06
65.44,65.50,65.59,65.16
65.42,64.94,65.57,64.80
65.00,65.03,65.38,64.99
64.88,64.99,65.08,64.55
65.10,64.68,65.30,64.57
64.61,64.97,65.21,64.50
65.15,65.27,65.46,65.00
65.42,65.00,65.47,64.86
64.95,64.98,65.33,64.91
65.19,65.41,65.51,65.14
65.36,65.50,65.65,65.35
65.84,66.17,66.39,65.21
66.53,66.59,66.75,66.06
66.57,66.81,67.00,66.53
66.94,66.43,67.00,66.34
66.48,66.95,67.08,66.43
66.41,66.56,66.92,66.19
67.14,67.52,67.68,66.71
67.33,67.10,67.77,66.93
66.87,67.19,67.30,66.62
67.17,67.16,67.39,66.37
67.32,67.38,67.45,66.88
67.53,67.96,68.06,67.42
67.80,67.93,67.97,67.51
67.99,68.37,68.44,67.17
68.02,68.03,68.15,67.60
68.48,68.93,69.05,68.19
69.05,69.35,69.37,68.66
69.45,70.24,70.30,69.31
70.22,69.99,70.22,69.34
70.08,69.21,70.10,68.87
68.56,68.63,68.93,67.97
68.64,68.64,68.96,68.30
68.73,68.84,69.30,68.68
68.58,68.56,68.84,68.28
68.35,68.31,68.49,67.77
68.59,68.66,68.96,68.19
68.78,69.13,69.60,68.76
69.04,68.73,69.34,68.58
69.98,69.86,70.89,69.52
69.56,69.41,69.71,69.24
69.49,69.57,69.67,69.35
69.59,68.38,69.65,68.25
68.38,68.45,68.60,67.90
68.02,67.75,68.18,67.47
68.10,68.07,68.22,67.89
68.16,68.09,68.53,67.62
68.04,68.37,68.43,67.80
68.37,68.61,68.70,68.14
68.88,68.49,68.88,68.16
68.67,67.71,68.76,67.60
67.70,67.61,67.82,67.20
67.68,68.11,68.41,67.46
68.12,67.79,68.15,67.69
67.50,67.29,67.79,67.20
67.40,67.81,67.88,67.27
67.54,67.61,67.99,67.46
67.60,67.75,67.93,67.44
67.68,67.53,67.88,67.30
67.50,67.92,68.11,67.45
67.66,67.80,68.01,67.50
67.71,67.56,67.82,67.32
67.80,67.81,67.92,67.35
67.81,67.91,67.92,67.46
67.79,68.14,68.29,67.79
68.21,68.63,68.64,68.15
68.56,68.41,68.79,68.29
68.41,68.75,68.88,68.33
68.91,68.21,68.91,67.84
68.21,67.84,68.28,67.43
67.49,68.08,68.18,67.42
68.00,68.29,68.60,67.81
67.92,68.21,68.36,67.92
68.23,67.99,68.24,67.65
68.14,68.32,68.47,67.87
68.50,68.15,68.80,68.05
68.20,68.41,68.71,68.20
68.21,68.35,68.65,67.68
68.57,68.75,68.98,68.45
68.48,69.32,70.09,68.31
69.34,69.70,70.08,69.30
69.42,69.06,69.53,69.05
69.00,68.96,69.00,68.31
68.53,68.87,68.87,68.31
68.87,68.88,69.00,68.51
69.10,69.48,69.53,69.07
69.51,69.85,69.85,69.08
69.72,70.23,70.36,69.61
70.33,70.08,70.40,69.93
70.17,70.34,70.35,69.75
70.18,70.39,70.55,69.93
70.18,70.00,70.59,69.91
70.19,70.24,70.65,69.95
69.50,69.02,69.50,68.78
69.26,69.43,69.57,69.12
69.75,69.82,69.98,69.44
69.75,70.04,70.30,69.67
69.84,69.78,70.22,69.72
69.85,70.10,70.12,69.47
69.99,70.02,70.49,69.90
68.73,67.80,68.75,66.75
67.94,67.03,68.19,66.72
66.95,67.46,67.50,66.81
67.42,68.17,68.25,67.30
67.94,68.49,68.61,67.74
68.24,68.36,68.74,68.01
68.68,68.52,68.86,68.36
68.52,68.56,68.78,68.34
68.34,69.07,69.23,68.31
68.91,69.04,69.37,68.88
69.12,68.64,69.33,68.50
68.65,67.82,68.96,67.81
68.00,67.64,68.49,67.40
67.90,68.29,68.36,67.38
68.37,68.41,68.88,68.30
68.38,69.00,69.15,68.33
69.00,69.19,69.74,68.86
69.23,69.59,70.07,69.23
69.34,69.51,69.83,69.10
69.27,68.84,69.69,68.84
68.72,68.80,69.28,68.65
68.87,69.36,69.65,68.83
69.08,69.98,70.07,69.08
69.86,69.96,70.09,69.40
70.22,71.05,71.06,70.06
71.32,71.35,71.50,70.79
71.25,71.82,71.94,71.13
71.93,71.43,72.02,71.39
71.42,71.82,71.82,71.15
71.72,72.02,72.08,71.41
72.20,73.06,73.23,72.14
73.35,72.56,73.54,72.49
72.68,72.85,72.86,72.29
72.66,72.23,72.99,72.22
72.13,71.89,72.19,71.33
71.91,71.03,72.16,70.94
71.28,71.14,71.45,71.05
70.99,70.57,71.16,70.30
70.77,71.04,71.39,70.62
71.07,71.49,71.64,71.01
70.72,71.88,71.88,70.72
72.22,72.46,72.73,72.09
71.68,72.31,72.35,71.12
72.26,72.67,72.84,72.05
72.60,72.55,72.80,72.30
72.27,72.18,72.45,71.69
72.18,72.24,72.35,71.92
72.65,72.33,72.73,72.19
72.31,72.22,72.53,71.98
72.17,72.40,72.68,72.06
72.56,73.08,73.49,72.45
72.88,72.72,73.30,72.60
72.75,73.32,73.56,72.50
73.19,73.23,73.63,73.01
73.29,73.37,73.65,72.76
73.04,72.74,73.59,72.58
71.67,72.65,72.76,71.50
72.58,72.28,72.75,71.95
72.39,72.12,72.55,71.73
72.68,72.87,72.94,72.54
73.10,73.12,73.55,72.92
73.07,73.04,73.59,72.83
72.96,72.71,73.10,72.60
72.72,72.16,72.90,71.96
72.16,72.22,72.69,71.72
72.88,71.76,73.07,71.71
71.94,71.48,72.10,71.42
71.45,70.95,71.60,70.52
70.84,71.39,71.47,70.74
71.32,71.48,71.49,70.92
71.50,71.85,72.22,71.26
71.73,71.82,71.90,71.55
71.99,72.53,72.75,71.71
72.36,72.07,72.66,71.84
71.91,72.21,72.35,71.76
72.12,72.39,72.50,71.71
72.28,72.31,72.40,71.89
72.34,72.10,72.56,72.06
71.96,72.06,72.22,71.72
72.14,71.97,72.26,71.81
71.82,72.31,72.50,71.75
72.30,72.36,72.66,72.30
72.31,72.19,72.61,72.08
72.06,72.09,72.31,71.75
72.00,72.30,72.47,71.80
72.48,72.75,72.83,72.31
72.80,72.99,73.21,72.57
72.90,72.90,73.10,72.61
73.20,73.44,73.45,72.93
73.41,72.78,73.43,72.65
72.57,72.32,72.73,72.27
72.26,72.11,72.26,71.89
72.24,71.69,72.40,71.55
71.73,71.95,71.98,71.20
72.34,70.59,72.34,70.45
70.35,70.10,70.51,69.67
70.12,70.95,71.19,69.81
71.02,71.45,71.86,70.88
71.36,71.75,72.00,71.25
71.89,71.40,72.18,71.20
71.35,71.96,72.15,71.35
71.96,71.39,72.31,71.33
71.40,72.01,72.92,71.40
72.08,71.63,72.18,71.36
71.54,72.05,72.08,71.05
72.17,72.28,72.72,71.86
72.43,72.39,72.78,72.20
72.53,73.00,73.25,72.44
73.22,73.53,73.65,73.06
73.65,73.74,73.88,73.54
73.92,74.35,74.97,73.60
74.47,73.96,74.85,73.58
73.95,73.98,74.68,73.78
74.39,73.78,74.39,73.78
73.75,73.81,74.27,73.60
73.91,74.33,74.57,73.76
74.50,74.86,74.90,74.18
75.00,75.44,75.54,74.81
75.45,75.63,75.90,75.03
75.57,74.99,75.58,74.60
74.62,73.82,74.62,73.44
73.57,73.19,73.82,72.84
73.30,72.80,73.64,72.66
73.34,72.81,73.74,72.50
72.89,72.10,72.98,71.90
71.21,72.30,73.47,71.00
72.47,72.79,73.24,72.08
73.14,73.05,73.54,72.82
73.13,72.92,73.61,72.50
73.00,73.49,73.69,72.91
73.26,73.11,73.56,72.56
73.03,72.63,73.30,72.55
72.63,72.78,73.33,72.51
72.82,73.04,73.34,72.61
72.86,73.47,73.87,72.85
73.48,72.79,74.00,72.67
72.70,72.67,73.16,72.53
73.05,74.29,74.29,72.75
74.47,74.10,74.92,73.72
74.15,74.40,74.50,73.82
74.49,74.34,74.66,73.98
74.50,74.65,74.67,74.20
74.20,74.49,74.86,74.08
74.49,74.63,74.96,74.24
74.57,75.17,75.20,74.41
75.30,75.33,75.46,74.92
75.37,76.35,76.46,74.75
76.45,76.17,76.74,75.95
76.04,75.51,76.36,75.15
75.50,75.62,75.78,75.18
75.54,75.79,75.81,75.33
75.82,76.27,76.38,75.69
76.18,75.94,76.27,75.61
76.18,76.07,76.40,75.82
76.25,75.75,76.25,75.57
75.99,75.52,76.25,75.46
75.23,75.40,76.06,75.08
75.38,75.60,76.02,75.24
75.68,76.47,76.54,75.34
76.58,75.51,76.58,75.50
75.61,75.34,75.96,75.04
75.24,74.02,75.37,74.00
73.99,73.63,74.04,73.54
73.66,73.10,73.87,72.95
73.13,73.09,73.37,72.66
72.87,72.66,73.46,72.62
72.53,73.22,73.25,72.20
73.89,74.09,74.09,73.50
74.01,73.89,74.23,73.67
74.08,74.71,74.71,73.92
74.64,74.41,74.79,74.17
74.41,74.63,74.65,74.20
74.81,74.82,75.09,74.63
74.94,75.48,75.48,74.71
75.47,75.68,75.68,75.06
75.81,76.60,76.77,75.59
76.99,76.61,76.99,76.44
76.49,76.20,76.70,76.19
76.49,76.90,76.99,76.22
76.57,76.84,76.89,75.95
76.76,77.10,77.10,76.72
77.02,77.11,77.22,76.81
77.29,77.17,77.78,77.11
77.61,77.54,77.80,77.04
77.42,77.84,77.95,77.30
77.83,78.82,79.00,77.72
78.82,78.68,79.01,78.34
78.42,78.41,78.77,78.02
79.03,79.16,79.48,78.85
80.86,79.72,80.86,79.64
80.00,79.99,80.23,79.63
79.76,80.91,80.93,79.68
80.61,80.84,80.95,80.46
80.78,80.73,81.34,80.30
80.52,80.50,80.74,80.16
80.63,80.59,80.74,80.08
80.75,81.04,81.31,80.62
81.02,81.39,81.50,80.95
81.59,81.75,82.22,81.46
81.75,82.54,82.62,81.70
82.40,82.44,82.85,82.17
82.19,82.37,82.63,81.91
82.37,83.13,83.15,82.27
83.25,82.32,83.68,82.32
82.80,83.62,83.79,82.49
83.43,84.37,84.55,83.00
84.47,84.01,84.95,83.97
83.80,83.98,84.17,83.21
83.80,84.17,84.17,83.26
84.45,84.77,84.90,84.24
84.66,84.78,85.33,84.60
84.50,84.16,84.91,84.08
84.41,84.21,84.50,83.71
84.26,84.50,84.78,84.20
84.55,84.35,84.75,84.21
84.42,83.94,84.60,83.93
83.98,83.95,84.65,83.86
83.59,83.72,83.90,83.36
83.70,83.92,84.07,83.36
83.91,84.48,84.60,83.87
84.69,85.46,85.54,84.66
85.37,85.36,85.71,85.06
85.63,86.46,86.49,85.49
86.70,86.38,86.89,85.94
86.50,87.54,87.59,86.46
87.19,87.32,87.37,86.84
87.38,88.53,88.63,87.15
88.53,88.13,88.55,88.00
88.55,89.17,89.33,88.28
89.29,87.00,89.29,86.83
87.10,87.08,87.61,86.45
86.81,86.61,86.99,86.22
86.69,87.36,87.37,86.20
87.30,86.90,87.44,86.11
86.94,87.73,87.89,86.83
87.69,88.69,88.93,87.51
88.45,88.76,89.14,88.10
88.41,87.61,88.81,87.61
88.16,89.53,89.66,87.82
89.32,88.51,89.32,87.84
88.86,88.84,89.11,88.54
88.78,89.53,90.10,88.77
89.06,89.25,89.55,88.48
89.49,89.48,89.98,88.54
89.03,87.42,89.24,87.28
87.68,87.06,87.99,86.81
87.18,86.67,87.50,86.38
87.24,86.26,87.59,86.19
86.25,86.25,86.77,85.37
83.25,85.00,87.51,83.25
85.03,85.84,85.91,84.75
86.37,86.19,86.79,85.34
86.19,85.33,86.47,85.15
85.50,85.96,86.35,85.38
86.00,85.96,86.06,85.41
85.94,85.73,86.04,85.42
86.21,86.15,86.40,85.61
86.05,86.22,86.77,85.64
86.48,88.11,88.23,86.48
87.59,88.05,88.25,87.12
87.82,87.57,87.97,87.20
87.55,87.37,87.85,86.60
87.37,86.58,87.40,86.50
86.68,86.20,86.80,85.50
86.10,86.10,87.21,85.88
85.66,85.98,86.34,85.36
85.96,86.61,86.77,85.77
87.28,87.10,87.68,86.75
86.70,84.84,86.87,84.58
84.85,84.79,85.65,84.75
84.56,83.08,84.68,83.08
83.15,83.18,83.61,82.10
83.18,84.22,84.51,83.10
84.01,83.10,84.12,83.07
83.10,83.89,83.91,82.60
84.35,84.47,84.85,83.86
84.59,84.57,84.72,83.97
84.04,84.47,85.35,83.73
84.89,84.38,85.24,84.37
84.30,85.35,85.53,84.16
85.17,85.39,85.64,84.95
85.77,86.14,86.61,85.60
86.11,85.85,86.15,85.64
85.79,84.11,85.90,84.05
