UGE,ProShares Ultra Consumer Goods,NASDAQ
48.35,48.81,48.92,48.16
49.79,49.30,50.33,49.20
51.17,51.13,51.17,50.79
50.66,51.14,51.14,50.36
51.67,51.52,52.14,51.52
52.44,52.93,52.93,52.16
52.54,52.48,52.62,52.38
52.11,52.96,52.96,52.05
52.82,52.70,52.82,52.70
53.70,52.45,53.70,52.45
52.61,50.75,52.68,50.75
50.56,50.10,51.00,50.10
50.60,50.55,50.83,50.00
49.65,49.15,49.65,49.15
49.73,49.86,49.96,49.73
48.50,47.52,48.76,47.34
48.05,47.04,48.06,46.81
46.81,47.15,47.15,46.37
47.54,46.89,47.54,46.75
47.50,47.01,47.89,46.68
47.50,48.74,48.78,47.47
50.35,51.00,51.00,50.11
51.00,51.14,51.25,50.92
50.95,51.45,51.45,50.95
52.46,52.76,52.80,52.45
52.67,52.90,52.90,52.67
52.51,52.96,52.98,52.51
52.86,51.31,52.86,51.31
51.61,51.34,51.61,51.15
49.95,53.01,53.01,49.95
53.15,52.11,53.15,52.11
53.85,53.76,53.93,53.75
53.96,54.50,54.85,53.96
54.95,55.65,55.65,54.95
56.00,56.10,56.19,55.80
56.00,54.94,56.00,54.94
55.03,54.37,55.03,53.37
53.16,54.10,54.10,53.16
55.80,55.75,55.87,55.39
54.85,54.79,55.03,54.79
55.16,55.52,55.52,55.16
55.02,55.07,55.07,54.94
54.54,54.31,54.54,54.18
55.87,56.01,56.01,55.87
55.55,55.58,55.58,55.55
53.93,53.83,54.20,53.79
52.49,53.42,53.42,52.49
53.48,53.04,53.48,53.04
53.31,52.96,53.31,52.96
53.55,54.65,55.04,53.55
54.83,54.86,55.06,54.00
52.99,53.24,53.24,52.99
52.89,53.26,53.26,52.88
53.27,53.04,53.49,53.04
52.12,52.22,52.43,51.94
51.24,52.06,52.06,51.19
51.36,51.60,51.60,51.36
51.51,52.73,52.82,51.51
52.30,52.30,52.30,52.30
51.50,51.82,51.82,51.00
53.71,53.82,53.82,53.56
54.41,54.36,54.41,54.19
55.39,55.51,55.57,55.05
55.33,55.38,55.41,55.26
55.51,55.48,55.62,55.43
55.72,55.80,55.99,55.72
56.28,56.28,56.28,56.28
56.95,56.61,57.05,56.33
56.34,56.70,56.91,56.34
57.04,57.08,57.08,57.04
57.02,57.38,57.38,57.02
57.73,57.34,57.73,57.34
57.24,58.66,58.66,57.24
58.10,58.56,58.58,57.89
58.33,58.03,58.33,57.94
57.79,57.02,57.79,56.97
58.31,58.66,58.78,58.31
58.57,58.59,58.59,58.57
58.63,58.80,58.80,57.56
58.57,58.14,58.68,58.14
59.27,57.91,59.27,57.40
58.15,58.06,58.15,57.60
58.04,58.40,58.40,58.04
59.23,59.57,59.57,58.28
59.62,59.46,59.62,59.46
58.90,59.28,59.28,58.85
59.50,60.20,60.20,59.50
60.31,60.21,60.61,60.21
60.03,60.85,60.85,60.03
61.63,62.25,62.31,61.63
62.68,62.15,62.68,62.15
62.10,62.32,62.32,62.10
62.49,62.74,62.74,62.46
61.87,61.22,62.18,61.22
62.55,62.83,62.83,62.55
62.86,62.73,63.54,62.73
62.87,62.94,62.94,62.85
64.04,63.84,64.05,63.73
62.84,63.18,63.30,62.84
62.34,62.70,62.70,61.80
62.73,62.73,62.73,62.65
63.10,63.15,63.15,63.10
63.54,63.09,64.07,62.60
63.40,63.73,63.73,63.40
63.38,63.38,63.38,63.38
65.00,65.82,65.87,64.94
65.50,65.68,65.71,65.50
65.55,65.82,65.82,65.27
65.91,65.00,65.91,65.00
65.03,64.93,65.03,64.43
64.71,64.96,64.96,64.71
64.28,64.16,64.73,63.83
64.96,64.43,65.10,64.43
63.83,62.41,64.10,62.41
62.76,63.15,63.15,62.76
63.84,64.08,64.08,63.84
64.33,64.74,64.74,64.15
65.00,64.14,65.00,64.14
63.63,63.51,63.63,63.32
64.18,64.58,64.59,64.18
64.63,64.59,64.63,64.59
62.75,63.62,63.63,62.65
63.00,63.40,63.40,63.00
64.40,65.30,65.30,64.40
65.61,66.04,66.05,65.55
65.80,66.23,66.25,65.80
66.14,66.38,66.38,66.14
66.78,66.31,66.78,66.31
66.50,66.55,66.55,66.38
67.18,67.19,67.19,67.18
67.42,67.43,67.51,67.42
67.89,67.52,67.89,67.49
67.65,68.01,68.01,67.65
67.71,68.02,68.03,67.65
68.68,69.00,69.00,68.68
69.10,69.66,69.75,69.10
69.52,70.00,70.16,69.52
70.15,70.01,70.62,70.00
70.06,70.06,70.06,70.06
70.14,69.98,70.14,69.98
70.80,69.44,70.80,69.24
69.14,69.44,69.44,69.11
69.59,69.59,69.59,69.59
69.49,69.42,69.53,69.42
69.61,69.61,69.61,69.61
71.86,69.99,71.86,69.90
69.21,69.29,69.29,69.21
68.88,70.03,70.06,68.88
69.91,69.72,69.91,69.59
69.00,69.04,69.04,68.56
68.88,69.41,69.41,68.88
70.77,69.01,70.77,68.98
69.74,70.31,70.36,69.74
70.53,70.46,70.57,70.46
70.65,70.71,70.71,70.64
70.21,70.43,71.02,70.21
71.29,69.57,71.29,69.57
69.80,69.30,69.80,69.01
69.60,69.59,69.60,69.59
69.97,69.97,69.97,69.97
69.90,70.21,70.28,69.53
70.63,70.44,70.64,69.88
69.45,69.37,69.65,69.37
69.61,67.04,69.61,66.97
66.68,66.77,66.78,66.68
67.91,68.41,68.41,67.91
67.68,67.35,67.68,67.06
67.85,68.16,68.17,67.85
68.28,68.99,68.99,68.28
69.74,69.88,70.04,69.74
70.22,70.70,70.70,70.22
71.23,70.92,71.23,70.92
70.58,70.47,70.58,70.32
70.06,71.20,71.27,70.06
71.95,71.27,72.56,71.13
71.10,70.80,71.10,70.80
71.26,71.26,71.26,71.26
72.00,72.44,72.44,72.00
73.30,72.30,73.30,72.30
69.66,71.32,72.26,69.66
71.16,70.59,71.29,70.20
69.95,70.06,70.77,69.88
70.58,71.15,71.15,70.51
72.02,71.47,72.02,71.47
71.47,71.47,71.47,71.47
70.32,70.09,70.32,70.09
71.75,72.24,72.24,71.75
71.84,71.13,71.84,70.58
70.79,70.53,70.79,70.31
70.63,71.78,72.05,70.63
71.71,71.71,71.71,71.71
71.08,71.08,71.08,71.08
70.11,70.56,70.56,70.11
70.00,69.66,70.05,69.66
67.32,68.02,68.02,67.29
68.16,67.08,68.23,67.00
68.24,67.86,68.75,67.86
69.30,67.91,69.30,67.91
69.60,70.18,70.34,69.60
70.18,70.18,70.18,70.18
69.21,70.57,70.71,69.21
70.87,71.79,71.79,70.87
72.60,72.28,72.78,72.22
73.00,71.99,73.00,71.99
71.99,71.99,71.99,71.99
73.56,73.81,73.81,73.56
73.49,73.49,73.49,73.49
73.49,74.50,74.82,73.49
74.50,74.50,74.50,74.50
75.37,75.37,75.37,75.37
75.37,75.37,75.37,75.37
74.21,74.59,74.83,74.19
74.85,73.60,74.85,73.60
74.62,74.61,74.63,74.61
73.90,74.32,74.32,73.90
74.64,74.98,75.03,74.54
75.05,75.36,75.36,75.05
75.70,76.31,76.31,75.70
74.90,74.90,74.90,74.90
75.20,74.62,75.26,74.58
76.97,77.23,77.23,76.97
77.64,77.31,77.64,77.02
77.24,76.37,77.24,76.15
77.14,77.66,77.91,77.14
78.24,78.65,78.65,78.08
78.69,79.32,79.52,78.36
80.16,80.21,80.42,80.16
80.80,80.17,80.80,80.05
80.27,79.87,80.27,79.71
79.97,79.90,80.41,79.82
79.30,78.91,79.98,78.91
80.49,79.35,80.55,79.29
79.36,79.65,79.84,79.26
80.34,80.30,80.37,80.14
80.57,80.01,81.04,79.90
79.71,82.04,82.04,79.71
82.24,81.41,82.47,81.29
81.38,80.91,81.71,80.75
81.08,81.02,81.25,80.61
81.33,81.92,81.92,80.85
82.86,83.14,83.16,82.12
83.33,82.12,83.33,81.79
80.12,80.77,81.13,80.12
80.95,80.67,81.12,80.67
80.00,80.29,80.29,79.77
80.29,80.55,80.55,80.29
81.49,81.81,81.94,81.05
82.65,83.17,83.17,82.00
82.52,81.15,82.52,81.15
80.54,79.16,80.54,78.98
77.23,77.41,77.99,77.23
76.98,76.36,77.11,76.28
76.54,75.88,76.69,75.88
75.59,75.13,75.59,75.13
75.44,76.88,76.88,75.44
76.00,75.15,76.00,74.68
74.72,75.69,75.69,74.72
77.36,77.36,77.36,77.36
76.22,74.48,76.22,74.48
75.59,75.85,75.85,74.70
76.60,76.57,76.60,76.26
76.65,77.71,77.77,76.65
78.84,78.70,78.84,78.70
78.48,77.79,78.48,77.79
75.65,76.71,76.71,74.98
76.09,75.65,76.09,75.59
76.47,76.69,77.12,76.47
77.57,77.63,77.76,77.56
78.89,78.89,79.20,78.43
80.06,80.46,80.54,79.90
81.03,82.15,82.21,81.03
82.15,82.28,82.65,82.05
82.28,82.28,82.28,82.28
83.84,84.14,84.49,83.84
82.49,82.67,82.95,82.49
81.83,81.42,81.83,81.10
81.01,81.88,81.88,81.01
81.33,81.06,81.83,80.93
80.05,80.14,80.14,79.81
80.28,80.51,80.51,80.28
80.19,79.30,80.19,79.30
82.03,81.94,82.03,81.94
81.34,81.35,81.35,81.34
81.89,82.60,82.60,81.89
83.01,82.77,83.01,82.77
81.14,81.88,81.88,81.14
80.57,80.32,80.70,80.24
79.83,78.00,79.83,78.00
79.42,78.20,79.42,78.20
77.67,77.35,77.67,77.35
78.08,75.93,78.08,75.73
75.94,73.90,75.94,73.90
73.93,73.66,73.95,73.35
73.00,69.78,73.00,69.70
68.62,70.86,71.39,67.77
68.76,63.87,68.84,63.87
66.13,67.22,67.22,62.81
63.75,64.59,65.12,63.75
63.65,67.90,68.18,63.05
68.06,69.00,69.00,68.06
70.06,69.97,70.68,69.97
70.80,70.35,70.80,70.35
71.02,70.34,71.02,70.34
67.35,66.76,67.35,65.58
66.30,65.49,66.67,65.49
66.09,65.47,66.10,65.47
65.88,68.10,68.10,65.86
69.85,69.33,69.85,69.33
68.69,68.09,68.69,68.09
67.55,68.43,68.43,67.55
72.29,72.86,72.88,72.29
74.24,73.73,74.24,73.73
74.88,74.24,74.88,74.24
74.20,73.41,74.20,73.41
73.41,73.41,73.41,73.41
66.44,69.35,69.35,66.44
71.45,72.01,72.01,71.42
71.99,71.69,72.00,71.69
69.74,68.87,69.74,68.87
66.19,68.03,68.03,66.19
67.75,68.44,68.63,67.75
71.16,71.16,71.16,71.16
71.16,71.16,71.16,71.16
74.06,73.86,74.06,73.31
71.74,71.92,71.92,71.74
71.92,71.92,71.92,71.92
72.49,71.54,72.49,71.54
65.40,65.53,65.95,64.40
65.53,65.53,65.53,65.53
67.61,67.61,67.61,67.61
71.23,70.43,71.48,70.38
69.62,69.60,69.62,69.60
69.29,68.10,69.29,66.50
67.85,65.88,67.85,65.88
66.14,62.96,66.21,62.96
60.43,62.00,62.28,60.43
65.35,65.74,65.74,65.35
66.80,66.82,66.82,66.79
69.89,69.32,69.89,69.32
71.68,71.24,71.83,71.09
71.57,71.80,72.29,71.47
73.05,73.51,74.53,73.03
72.30,73.11,73.53,71.95
74.50,74.16,74.82,74.01
74.30,72.61,74.34,72.61
71.95,74.92,74.92,71.93
73.93,72.62,74.47,72.62
72.94,73.30,73.94,72.25
75.59,75.53,76.58,75.46
76.28,76.82,76.99,76.28
75.67,74.22,75.83,74.22
75.03,74.73,75.03,73.92
78.62,77.90,78.84,76.80
77.76,78.14,78.19,77.76
77.49,77.65,77.65,77.47
72.25,72.50,73.41,72.21
73.71,73.73,74.03,73.09
75.00,75.68,75.73,74.49
73.99,75.00,75.13,73.99
75.19,75.25,75.25,73.72
75.23,77.02,77.09,75.14
74.09,72.50,74.39,71.95
72.50,73.85,73.96,72.50
75.98,75.51,76.03,75.33
74.74,74.65,75.27,74.13
74.49,75.93,76.05,74.29
74.96,74.02,75.95,74.02
73.23,72.12,74.11,71.55
72.79,72.52,73.02,72.37
70.47,70.48,70.63,69.12
70.23,70.23,71.01,69.47
68.41,68.64,68.67,68.10
68.02,68.08,68.83,67.87
70.23,70.57,71.29,70.23
71.25,72.05,72.61,71.25
75.07,76.17,76.17,75.05
75.94,76.11,76.80,75.83
76.98,76.15,77.09,75.99
77.61,76.68,77.61,76.68
77.14,77.18,77.52,76.81
76.46,77.06,77.67,75.69
76.85,75.03,76.85,74.79
76.89,77.20,77.20,76.89
76.04,74.80,76.04,74.26
76.33,73.88,76.38,73.86
72.97,72.46,73.26,72.46
73.96,74.07,74.22,73.76
75.09,73.79,75.32,73.61
73.76,73.02,73.92,72.99
75.15,75.86,75.93,75.15
76.38,77.88,77.88,76.36
78.45,77.65,78.45,77.41
78.14,79.11,79.11,78.14
79.19,79.19,79.45,79.01
78.54,77.77,78.54,77.75
78.97,78.78,78.97,78.73
78.88,78.34,78.88,78.34
79.34,78.87,79.34,78.87
78.69,79.01,79.13,78.38
79.01,79.01,79.01,79.01
79.68,78.97,79.68,78.84
79.53,79.32,79.53,79.00
80.33,80.31,80.52,80.13
79.89,79.61,79.89,79.24
79.76,80.10,80.10,79.15
79.39,79.61,79.61,79.39
80.78,80.63,80.96,80.63
80.17,80.82,80.82,79.80
80.90,81.10,81.10,80.90
80.46,80.98,80.98,80.46
80.06,80.71,80.71,80.06
80.11,80.11,80.11,80.11
79.85,82.62,82.62,79.85
83.23,81.77,83.23,81.77
80.88,80.78,80.88,80.68
79.21,79.97,79.97,78.99
80.38,79.97,80.38,79.97
80.90,81.53,81.58,80.90
81.78,81.47,81.78,81.47
83.10,83.29,83.43,82.59
83.39,83.37,83.39,83.14
84.00,84.00,84.00,84.00
83.41,83.41,83.41,83.41
83.36,84.49,84.49,83.36
83.16,83.37,83.37,83.16
83.37,83.37,83.37,83.37
84.34,84.34,84.34,84.34
84.34,84.34,84.34,84.34
85.53,85.93,85.98,85.53
86.36,86.01,86.36,86.01
86.45,86.29,86.45,86.29
86.29,86.29,86.29,86.29
86.38,86.38,86.38,86.38
86.38,86.38,86.38,86.38
87.28,87.28,87.28,87.28
86.84,87.03,87.03,86.71
87.46,87.81,87.81,87.46
87.92,87.89,87.92,87.89
88.00,87.74,88.00,87.66
87.74,87.74,87.74,87.74
85.39,85.31,85.39,85.28
85.54,85.66,85.82,85.54
85.66,85.66,85.66,85.66
85.66,85.66,85.66,85.66
88.50,88.60,88.72,88.38
89.54,89.79,89.79,89.31
90.85,90.85,90.85,90.85
89.93,89.93,89.93,89.93
89.93,89.93,89.93,89.93
89.90,90.59,90.81,89.90
90.29,90.34,90.34,90.29
90.65,90.63,90.65,90.63
89.92,90.24,90.46,89.92
90.00,89.48,90.00,89.42
91.81,91.81,91.81,91.81
92.73,92.73,92.73,92.73
91.46,91.44,91.46,91.44
90.32,90.37,90.43,90.29
92.05,92.52,92.57,92.05
92.73,93.13,93.16,92.73
93.74,93.74,93.76,93.74
92.50,92.28,92.70,92.28
92.29,92.05,92.29,92.05
89.93,90.21,90.21,89.93
89.19,87.57,89.19,87.39
88.98,88.98,88.98,88.98
88.85,89.56,89.56,88.85
90.03,90.07,90.45,89.33
89.15,89.37,89.37,89.15
91.35,91.63,91.63,91.35
90.49,90.49,90.49,90.49
91.13,91.13,91.13,91.13
91.47,91.74,91.74,91.47
90.25,89.37,90.25,89.37
89.30,89.30,89.30,89.30
90.88,91.37,91.37,90.88
91.37,91.37,91.37,91.37
91.37,91.37,91.37,91.37
91.65,91.65,91.65,91.65
93.20,93.36,93.36,93.20
93.00,93.00,93.00,93.00
92.51,92.53,92.53,92.51
90.29,90.29,90.29,90.29
89.52,89.52,89.52,89.52
87.67,88.55,88.55,87.67
87.43,86.95,87.43,86.95
88.57,88.90,88.90,88.57
88.90,88.90,88.90,88.90
87.14,87.06,87.14,87.06
87.11,87.11,87.11,87.11
87.11,87.11,87.11,87.11
85.15,85.18,85.39,85.15
84.78,83.30,84.78,83.30
83.82,83.82,83.82,83.82
85.74,85.71,85.74,85.71
83.63,84.00,84.00,83.63
85.22,85.69,86.30,85.22
86.31,86.14,86.31,86.14
88.17,88.17,88.17,88.17
90.44,86.03,90.44,86.03
85.99,85.99,85.99,85.99
82.84,81.30,82.84,81.30
81.30,81.30,81.30,81.30
81.30,81.30,81.30,81.30
83.95,83.95,83.95,83.95
83.95,83.95,83.95,83.95
85.40,85.76,85.77,85.40
87.77,85.50,87.77,85.50
84.94,84.84,84.94,84.84
84.91,84.91,84.91,84.91
85.68,85.68,85.68,85.68
85.68,85.68,85.68,85.68
85.68,85.68,85.68,85.68
87.62,87.62,87.62,87.62
86.68,86.68,86.68,86.68
84.80,84.80,84.80,84.80
84.36,84.26,84.37,84.26
82.53,82.53,82.53,82.48
83.28,83.28,83.28,83.28
83.28,83.28,83.28,83.28
82.90,82.90,82.90,82.90
83.01,85.70,85.70,83.01
85.70,85.70,85.70,85.70
85.70,85.70,85.70,85.70
86.17,86.17,86.17,86.17
86.17,86.17,86.17,86.17
87.09,87.13,87.13,87.09
87.13,87.13,87.13,87.13
87.13,87.13,87.13,87.13
87.13,87.13,87.13,87.13
88.88,88.88,88.88,88.88
89.03,89.00,89.03,89.00
89.11,89.11,89.11,89.11
89.72,89.58,89.72,89.58
90.32,90.32,90.32,90.32
89.01,89.01,89.01,89.01
86.26,86.38,86.38,86.26
85.00,84.89,85.00,84.84
84.89,84.89,84.89,84.89
87.84,87.84,87.84,87.84
90.00,90.70,90.70,90.00
90.70,90.70,90.70,90.70
90.62,90.62,90.62,90.62
90.62,90.62,90.62,90.62
88.56,88.56,88.56,88.56
88.56,88.56,88.56,88.56
91.78,91.42,91.93,91.42
91.62,91.77,91.96,91.62
91.61,92.02,92.23,91.61
91.86,91.60,92.10,91.60
91.60,91.53,91.60,91.53
91.53,91.33,91.70,91.33
91.33,91.33,91.33,91.33
91.33,91.33,91.33,91.33
92.23,93.88,93.88,92.23
93.88,93.88,93.88,93.88
93.78,93.66,93.78,93.66
93.66,93.66,93.66,93.66
92.75,92.15,92.75,92.15
92.15,92.15,92.15,92.15
92.19,92.19,92.19,92.19
92.19,92.19,92.19,92.19
92.19,92.19,92.19,92.19
92.19,92.19,92.19,92.19
92.19,92.19,92.19,92.19
92.19,92.19,92.19,92.19
92.04,92.04,92.04,92.04
92.04,92.04,92.04,92.04
94.15,94.49,94.49,93.91
94.52,94.87,94.87,94.52
94.87,94.87,94.87,94.87
94.36,94.50,94.50,94.36
94.50,94.50,94.50,94.50
94.50,94.50,94.50,94.50
95.46,95.46,95.46,95.46
95.48,95.48,95.48,95.48
95.48,95.48,95.48,95.48
95.48,95.48,95.48,95.48
95.48,95.48,95.48,95.48
98.02,98.02,98.02,98.02
96.20,96.20,96.20,96.20
95.85,95.85,95.85,95.85
95.85,95.85,95.85,95.85
95.85,95.85,95.85,95.85
95.85,95.85,95.85,95.85
94.91,94.95,94.95,94.91
94.95,94.95,94.95,94.95
94.95,94.95,94.95,94.95
94.95,94.95,94.95,94.95
94.95,94.95,94.95,94.95
94.95,94.95,94.95,94.95
95.08,96.20,97.50,95.08
96.20,96.20,96.20,96.20
96.20,96.20,96.20,96.20
96.20,96.20,96.20,96.20
95.51,95.51,95.51,95.51
95.51,95.51,95.51,95.51
98.10,98.10,98.10,98.10
98.10,98.10,98.10,98.10
98.10,98.10,98.10,98.10
98.10,98.10,98.10,98.10
98.10,98.10,98.10,98.10
95.16,92.23,95.16,91.95
93.48,92.50,93.57,92.50
92.50,92.50,92.50,92.50
93.58,93.58,93.58,93.58
93.58,93.58,93.58,93.58
96.46,93.67,96.46,93.67
94.46,93.40,94.46,92.56
93.40,93.40,93.40,93.40
93.00,92.75,93.10,92.31
93.09,90.68,93.09,90.68
90.04,91.00,91.00,90.04
91.00,91.00,91.00,91.00
91.00,91.00,91.00,91.00
89.82,88.48,89.82,88.48
87.08,86.84,87.65,84.00
89.30,89.30,89.30,89.30
92.63,92.63,92.63,92.63
93.45,92.93,93.86,92.93
92.93,92.93,92.93,92.93
94.80,97.04,97.04,94.80
96.79,96.79,96.79,96.79
97.12,97.31,97.31,97.12
97.13,97.13,97.13,97.13
98.26,98.26,98.26,98.26
98.12,98.59,98.59,98.12
98.59,98.59,98.59,98.59
98.59,98.59,98.59,98.59
98.59,98.59,98.59,98.59
98.59,98.59,98.59,98.59
98.59,98.59,98.59,98.59
98.97,98.49,98.97,98.49
99.57,99.85,99.89,99.57
100.80,98.75,100.80,98.75
99.37,97.90,99.37,97.90
97.90,97.90,97.90,97.90
97.90,97.90,97.90,97.90
97.90,97.90,97.90,97.90
99.09,99.09,99.09,99.09
97.26,97.97,98.13,97.26
97.97,97.97,97.97,97.97
97.97,97.97,97.97,97.97
94.84,95.09,95.10,94.84
94.55,94.47,94.55,94.47
94.20,94.57,94.57,94.20
95.01,94.10,95.01,93.66
99.74,99.74,99.74,99.74
99.74,99.74,99.74,99.74
101.87,102.00,102.00,101.84
102.00,102.00,102.00,102.00
100.28,100.93,100.93,100.28
101.93,101.93,101.93,101.93
102.70,102.70,102.70,102.70
102.95,102.95,102.95,102.95
102.95,102.95,102.95,102.95
104.48,104.12,104.48,103.94
105.03,105.00,105.03,105.00
105.25,105.25,105.25,105.25
105.76,106.36,106.36,105.76
106.36,106.36,106.36,106.36
106.36,106.36,106.36,106.36
105.57,107.12,107.12,105.57
107.12,107.12,107.12,107.12
109.34,108.18,109.34,108.18
108.78,109.24,109.24,108.78
109.78,108.82,109.78,108.82
108.41,108.41,108.41,108.41
108.41,108.41,108.41,108.41
107.77,107.68,107.82,107.37
107.68,107.68,107.68,107.68
110.32,110.32,110.32,110.32
109.91,111.27,111.27,109.91
112.38,111.39,112.38,111.39
111.09,111.09,111.17,110.73
111.16,111.41,111.50,111.06
111.43,111.23,111.44,111.12
111.71,112.50,112.81,111.71
112.50,112.50,112.50,112.50
114.00,114.17,114.17,114.00
114.75,114.51,115.03,114.26
112.64,112.74,112.74,112.21
112.74,112.74,112.74,112.74
116.85,114.77,116.85,114.77
111.83,111.85,111.85,111.79
111.85,111.85,111.85,111.85
114.85,114.75,114.85,114.75
114.05,113.99,114.05,113.99
114.44,115.23,115.35,114.44
115.95,117.42,117.42,115.95
117.42,117.42,117.42,117.42
117.37,117.37,117.37,117.37
117.13,117.13,117.13,117.13
118.50,118.50,118.50,118.50
119.95,118.18,119.95,118.18
118.14,118.13,118.14,118.13
118.82,119.72,119.79,118.82
118.96,118.96,118.96,118.96
116.40,118.29,118.29,116.40
118.55,118.55,118.55,118.55
120.36,120.29,120.36,120.25
120.15,120.15,120.15,119.80
121.32,121.18,121.32,121.18
121.25,121.25,121.25,121.25
121.25,121.25,121.25,121.25
121.25,121.25,121.25,121.25
123.40,123.60,123.61,122.58
123.52,123.35,123.80,123.35
125.55,125.50,125.55,125.46
125.55,122.24,125.55,122.24
122.03,123.26,123.57,122.03
120.50,120.50,120.50,120.50
122.62,122.62,122.62,122.62
123.32,123.71,123.84,123.32
123.71,123.71,123.71,123.71
128.16,127.55,128.24,127.55
127.07,127.54,127.54,127.07
123.75,123.75,124.01,123.75
123.75,123.75,123.75,123.75
125.40,124.08,125.69,124.08
124.22,123.79,124.27,123.18
126.89,127.04,127.04,126.89
130.92,125.85,130.92,125.85
130.42,130.42,130.42,130.42
129.12,127.97,129.12,127.97
127.50,129.55,129.55,127.50
130.59,130.09,130.59,130.09
129.95,130.31,131.35,129.88
130.31,130.31,130.31,130.31
131.40,130.35,131.53,130.35
129.76,131.25,131.25,129.76
131.25,131.25,131.25,131.25
132.20,132.10,132.20,132.08
134.77,134.03,134.77,127.32
132.51,134.06,134.06,132.51
135.73,135.00,135.73,134.26
135.00,135.00,135.00,135.00
134.36,135.58,135.58,134.36
137.04,137.42,137.42,137.03
139.40,140.37,140.86,139.39
140.60,140.16,141.70,140.08
139.96,139.96,139.96,139.96
140.26,139.07,140.26,139.07
138.00,139.25,139.50,137.09
140.34,137.72,140.34,137.72
128.52,135.44,135.44,128.52
135.73,137.80,137.80,135.73
141.20,137.93,141.20,137.93
138.00,135.73,138.00,135.73
136.34,135.58,136.34,135.58
131.46,130.78,133.57,130.78
129.91,130.96,130.96,127.81
133.66,131.33,133.66,130.47
130.81,128.03,130.81,128.03
127.30,128.67,128.67,126.73
128.67,128.67,128.67,128.67
66.46,66.46,66.56,66.46
67.00,66.51,67.00,66.04
66.00,66.00,66.00,66.00
65.34,67.00,67.00,65.34
67.69,67.03,67.69,66.89
68.28,67.37,68.28,67.37
67.37,67.37,67.37,67.37
66.50,66.25,66.50,66.25
