XLG,Guggenheim S&P 500 Top 50 ETF,NASDAQ
91.77,92.05,92.18,91.77
91.78,91.50,91.82,91.43
91.23,91.62,91.70,90.95
92.23,91.83,92.23,91.79
91.80,92.41,92.43,91.80
92.04,92.45,92.50,91.74
92.75,92.55,92.83,92.50
92.64,92.61,92.77,92.35
92.79,91.19,92.79,91.08
91.38,91.73,91.73,90.96
92.23,93.40,93.52,92.23
93.23,93.02,93.27,93.02
92.88,93.29,93.34,92.59
93.24,93.32,93.32,92.76
93.48,93.89,94.10,93.48
93.87,94.43,94.48,93.84
94.34,94.23,94.43,93.82
93.67,93.93,93.99,93.67
93.59,94.28,94.44,93.59
94.22,94.77,94.77,94.22
94.47,94.49,94.58,94.20
94.67,94.89,95.00,94.64
94.75,95.17,95.24,94.74
95.10,95.30,95.32,95.02
94.42,93.65,94.83,93.41
93.53,93.42,93.82,93.00
93.27,93.10,93.27,92.60
93.34,93.83,93.91,93.34
94.12,94.45,94.58,94.02
94.88,93.20,94.88,93.14
93.42,93.25,93.56,93.00
94.03,94.76,94.87,94.03
94.74,93.94,94.74,93.35
94.38,93.33,94.38,92.93
93.56,94.02,94.28,93.15
93.63,94.08,94.33,93.63
93.43,92.27,93.43,92.25
92.00,92.93,93.16,92.00
92.01,92.30,92.37,91.68
89.97,91.38,91.47,89.89
90.80,89.19,90.80,88.69
90.39,90.40,90.63,89.90
91.10,90.29,91.10,90.20
91.88,91.65,91.88,91.55
91.68,91.52,91.68,91.48
91.29,91.90,91.93,90.88
92.25,92.43,92.59,91.85
92.71,92.75,92.99,92.62
92.80,92.56,93.18,92.56
92.60,93.09,93.11,92.28
93.53,93.90,94.01,93.53
93.70,93.53,93.70,93.53
94.18,93.68,94.18,93.63
93.93,93.70,93.93,93.58
93.51,93.77,94.10,93.51
94.08,94.21,94.29,93.93
94.22,94.16,94.32,93.66
94.31,93.94,94.31,93.73
93.93,93.81,94.28,93.65
93.21,92.97,93.33,92.70
93.35,92.97,93.51,92.75
92.43,92.89,92.93,92.39
92.78,93.00,93.21,92.78
91.85,92.00,92.07,91.33
92.19,92.55,92.60,92.01
93.76,93.70,93.81,93.59
94.19,94.00,94.19,93.81
93.86,93.89,94.01,93.70
94.31,94.77,94.86,94.31
94.84,95.68,95.68,94.78
95.38,95.72,95.79,95.35
95.76,95.87,96.05,95.76
96.29,95.71,96.34,95.63
95.79,95.57,95.96,95.34
95.64,95.30,95.66,95.04
94.74,94.38,95.04,94.38
95.08,94.49,95.33,94.27
94.47,94.63,94.82,94.25
94.96,95.22,95.31,94.86
94.99,94.42,95.00,94.08
93.92,94.76,94.97,93.81
94.78,94.07,94.78,93.87
93.84,93.47,94.30,93.34
93.01,93.68,93.68,92.98
93.61,94.13,94.19,93.47
94.43,94.38,94.53,93.93
94.22,93.58,94.22,93.52
92.51,92.66,92.82,92.26
92.78,92.70,92.96,92.50
92.62,92.72,93.11,92.60
92.56,92.97,93.26,92.51
93.45,93.35,93.60,93.22
94.10,94.15,94.40,93.89
94.16,92.60,94.18,92.60
92.62,92.30,92.62,91.97
91.13,91.64,92.12,91.13
91.47,90.72,91.47,90.65
91.04,90.42,91.19,90.42
90.49,90.37,90.78,90.27
90.51,90.90,91.27,90.39
90.49,89.84,90.49,89.70
89.95,90.05,90.47,89.95
90.99,90.93,91.26,90.93
90.31,89.47,90.31,89.19
89.54,89.87,90.13,89.34
90.06,89.60,90.27,89.36
89.20,89.85,90.04,89.20
90.07,90.77,90.95,90.07
90.41,90.34,90.87,90.31
89.18,89.85,89.85,88.69
89.31,88.72,89.31,88.71
88.71,89.79,90.13,88.71
90.18,90.62,90.63,89.97
91.26,91.42,91.43,90.91
91.82,92.35,92.36,91.70
92.39,93.57,93.62,92.28
93.60,93.53,93.69,93.50
93.50,93.71,93.89,93.27
94.43,94.76,94.97,94.41
93.66,94.31,94.31,93.66
93.27,92.66,93.44,92.60
92.65,92.70,93.40,92.53
92.82,92.73,93.58,92.51
93.05,92.41,93.34,92.26
92.96,92.81,93.06,92.38
92.38,92.27,92.52,91.71
93.00,93.83,93.86,93.00
94.22,93.85,94.22,93.85
94.21,95.11,95.29,94.19
95.33,95.22,95.39,94.82
94.28,94.86,95.20,94.27
94.47,94.53,94.91,94.47
93.96,92.93,94.00,92.80
92.83,92.62,93.49,92.45
91.67,91.82,92.59,91.47
92.91,91.69,92.96,90.88
91.21,89.74,91.38,89.74
89.84,90.06,90.08,88.62
89.10,86.35,89.10,86.26
87.38,86.46,87.56,84.08
84.03,81.40,85.27,81.30
82.59,84.74,84.74,79.85
83.68,80.87,83.68,80.70
81.68,84.18,85.29,81.68
85.23,84.84,85.61,84.39
85.96,86.49,86.53,85.57
85.85,85.84,86.27,85.10
86.49,85.95,86.89,85.52
83.83,82.89,83.83,82.04
81.75,81.45,83.28,81.38
83.44,81.30,83.44,81.30
81.71,83.92,83.97,81.53
83.74,84.92,85.00,83.74
85.48,83.95,85.80,83.66
83.57,85.00,85.39,82.61
85.93,87.09,87.11,85.93
86.74,87.24,87.72,86.41
87.74,87.51,88.36,87.14
87.50,86.53,87.95,86.53
84.95,84.54,85.30,84.32
82.27,83.91,84.02,82.27
85.27,85.94,86.00,84.98
86.04,85.18,86.08,85.18
84.21,83.18,84.40,82.91
81.92,83.64,83.65,81.92
83.92,84.22,84.53,83.30
84.43,85.36,86.22,83.66
86.04,86.76,86.76,85.63
86.77,86.89,86.97,86.29
85.57,86.16,86.54,85.07
86.69,86.16,87.22,86.13
86.24,84.02,86.45,84.02
81.76,81.67,82.22,80.45
80.91,81.88,82.22,80.91
82.56,83.64,83.65,81.91
85.33,84.52,86.01,84.29
85.43,83.38,85.43,83.38
85.03,84.31,85.03,83.11
83.32,82.40,84.01,82.40
81.89,80.30,82.87,80.30
79.51,81.69,81.91,78.50
81.90,83.00,83.16,81.35
82.57,84.30,84.34,82.57
84.55,83.86,84.81,83.54
85.95,86.62,86.62,85.80
86.13,86.71,86.92,86.13
87.54,87.62,88.43,87.35
87.04,87.36,87.55,86.66
88.59,88.94,88.94,88.04
88.51,87.33,88.51,87.19
87.22,88.90,89.51,86.90
88.78,87.69,89.13,87.61
87.92,88.13,88.32,87.07
89.19,89.40,89.49,88.66
89.68,90.25,90.40,89.68
89.76,88.64,89.76,88.47
89.45,89.50,89.55,88.28
91.70,92.15,92.39,91.00
91.60,92.19,92.32,91.60
91.19,89.97,91.25,89.97
87.63,87.45,88.60,87.45
88.57,88.82,88.96,88.17
89.65,90.59,90.62,89.16
89.73,89.60,89.85,89.16
89.72,90.26,90.29,89.07
90.93,91.53,91.65,90.33
89.70,88.47,90.00,88.22
89.69,89.16,89.69,88.75
90.41,90.68,90.84,90.38
90.40,89.94,90.41,89.58
89.62,90.44,90.81,89.59
89.64,89.05,90.30,88.93
88.78,87.75,89.03,87.27
88.19,87.77,88.23,87.63
86.39,86.28,86.54,85.48
85.93,85.82,86.20,85.32
84.79,84.09,84.82,84.09
84.65,83.68,84.74,83.68
85.77,85.93,86.13,85.39
86.00,86.20,86.77,86.00
88.45,89.70,89.84,88.32
89.53,89.64,89.97,89.39
90.62,90.13,90.88,90.11
91.15,90.82,91.42,90.33
91.16,91.04,91.53,90.95
90.57,91.42,91.77,90.37
90.96,89.81,90.96,89.59
90.15,91.27,91.39,90.15
90.54,89.95,90.54,89.32
90.61,89.43,90.66,89.20
89.06,88.62,89.06,88.37
89.32,88.75,89.52,88.73
88.82,88.41,89.22,88.24
88.37,87.63,88.37,87.46
89.39,90.07,90.11,89.26
89.95,90.09,90.15,89.30
90.33,90.95,90.96,90.30
91.12,91.72,91.86,91.03
91.66,91.77,92.04,91.66
91.33,90.77,91.33,90.66
91.16,91.71,91.73,91.09
91.53,91.31,91.75,91.29
92.70,92.88,93.20,92.70
92.52,93.09,93.19,92.40
92.74,93.29,93.40,92.37
93.43,93.05,93.43,92.77
93.07,93.13,93.21,92.77
94.04,93.56,94.04,93.47
93.29,93.63,93.70,93.19
93.78,93.72,93.92,93.21
93.04,93.31,93.31,92.62
94.00,93.55,94.20,93.41
93.70,94.52,94.52,93.70
94.78,94.95,95.03,94.56
94.72,95.28,95.28,94.72
95.26,95.33,95.63,94.89
94.71,94.96,95.07,94.57
95.05,95.76,95.97,94.76
96.23,95.30,96.32,95.07
94.90,95.14,95.31,94.90
94.33,94.93,94.97,94.04
95.40,94.90,95.47,94.42
95.46,95.66,95.91,95.35
95.65,95.54,95.70,95.22
96.40,96.77,96.79,96.40
96.47,96.95,96.95,96.36
96.69,97.18,97.35,96.54
97.34,97.47,97.47,97.00
97.62,97.77,97.88,97.36
96.91,97.01,97.08,96.72
97.65,97.79,97.87,97.49
97.68,97.73,97.73,97.21
98.10,97.15,98.21,97.07
97.07,98.20,98.26,97.00
98.53,98.58,98.66,98.23
98.89,98.90,99.19,98.60
98.75,98.51,98.85,98.50
98.25,99.00,99.05,98.19
99.25,99.12,99.29,99.05
98.58,99.44,99.71,98.58
99.49,99.97,100.00,99.34
100.13,99.69,100.46,99.53
100.07,100.19,100.36,99.88
100.18,100.08,100.18,99.87
99.93,99.77,100.02,99.41
98.64,98.41,98.79,98.17
98.70,99.05,99.17,98.61
99.67,99.82,100.01,99.42
99.93,99.90,100.32,99.80
99.97,100.31,100.34,99.90
100.80,102.26,102.26,100.70
102.32,102.39,102.68,102.09
102.53,102.87,102.88,102.45
102.53,102.34,102.54,102.25
102.59,102.94,103.22,102.49
102.43,102.92,103.00,102.27
102.79,102.64,102.96,102.52
101.80,101.99,102.32,101.71
102.05,102.29,102.36,101.97
102.91,103.60,103.60,102.91
103.83,103.43,103.89,103.41
103.43,103.07,103.61,102.66
102.49,102.84,102.90,102.10
103.26,103.12,103.26,102.66
103.05,103.71,104.05,102.78
103.69,103.50,103.85,102.93
102.65,102.47,102.81,102.04
102.14,102.46,102.59,102.14
101.40,101.52,101.93,101.20
101.66,99.96,101.66,99.77
100.88,100.60,100.92,100.50
100.97,101.76,101.80,100.94
101.21,100.23,101.21,100.19
100.91,100.24,100.91,100.00
100.88,101.87,101.98,100.82
101.42,101.42,101.77,101.37
101.34,100.45,101.40,99.98
101.06,100.54,101.39,100.54
99.56,99.87,99.89,99.31
100.00,100.26,100.46,99.92
101.50,101.77,101.84,101.42
101.48,102.40,102.59,101.48
102.62,102.66,102.84,102.26
102.09,102.09,102.18,101.88
102.03,102.71,103.43,102.03
102.26,102.49,102.50,101.99
102.55,101.89,102.60,101.70
101.32,100.46,101.40,100.21
99.83,100.41,100.67,99.83
99.76,99.97,100.14,99.13
99.01,99.40,99.90,98.76
100.03,99.49,100.03,99.49
98.83,99.10,99.93,98.75
98.14,97.88,98.55,97.86
97.93,97.58,98.50,97.45
97.95,97.41,98.41,97.41
97.25,96.26,97.38,96.26
96.70,95.59,96.70,95.41
95.80,96.85,96.85,95.80
97.13,96.98,97.70,96.61
96.32,96.94,97.05,95.46
96.94,97.06,97.17,96.49
97.08,96.66,97.15,96.48
97.40,97.66,97.81,97.12
96.78,96.72,96.85,96.38
96.62,96.49,97.00,95.95
95.16,94.33,95.43,94.33
94.00,94.42,94.48,93.69
94.67,94.83,94.83,94.29
95.37,96.93,96.93,95.34
98.03,96.90,98.09,96.90
96.84,97.89,97.89,96.69
98.57,97.17,98.57,97.17
97.11,97.92,97.92,96.81
97.66,97.54,98.30,97.29
97.81,98.62,98.93,97.57
98.49,98.97,99.08,98.43
98.66,99.04,99.34,98.66
99.58,100.00,100.40,99.54
100.00,99.86,100.26,99.22
100.01,97.86,100.14,97.78
98.49,98.75,98.81,98.15
97.57,97.14,97.57,96.86
97.38,97.64,97.88,97.04
98.51,98.46,98.65,98.35
97.83,98.21,98.33,97.15
99.87,100.52,100.52,99.60
100.63,100.89,100.89,100.16
100.85,101.30,101.37,100.85
100.85,100.94,101.32,100.53
100.08,100.21,100.27,99.73
99.84,100.20,100.25,99.82
100.76,99.50,100.78,99.21
99.54,99.47,99.68,99.00
98.91,99.01,99.41,98.61
99.30,100.66,100.72,99.30
100.52,100.54,100.76,100.32
100.97,101.19,101.33,99.97
101.05,101.71,101.91,101.05
102.06,101.91,102.17,101.71
101.55,101.10,101.64,101.10
99.81,100.46,100.54,99.41
100.56,99.68,100.56,98.98
99.66,99.46,99.83,99.00
100.65,101.06,101.16,100.47
101.51,102.71,102.91,101.34
102.67,102.68,103.13,102.58
102.93,102.62,103.13,102.62
103.27,102.54,103.27,102.35
101.63,101.69,102.35,101.15
103.19,103.54,103.73,103.05
103.83,103.77,104.24,103.75
104.13,103.91,104.32,103.91
103.55,104.00,104.20,103.53
103.94,104.11,104.30,103.77
103.65,104.34,104.34,103.61
104.21,104.35,104.37,103.85
104.81,104.49,104.93,104.24
104.47,104.52,104.72,104.38
104.53,105.24,105.38,104.48
105.38,105.41,105.41,105.11
105.33,105.52,105.54,105.17
105.84,104.98,106.10,104.78
104.72,105.19,105.32,104.71
104.99,104.44,104.99,104.35
104.19,105.13,105.29,104.16
105.44,105.19,105.53,105.07
105.01,105.10,105.38,104.87
105.22,105.06,105.40,104.99
104.62,104.25,104.62,104.22
104.85,104.67,105.17,104.23
104.72,104.47,104.83,104.03
104.62,104.53,104.90,104.45
105.21,106.57,106.58,105.21
106.78,106.78,106.78,106.55
106.67,106.08,106.78,106.07
106.23,106.33,106.65,106.20
106.67,106.57,106.71,106.22
106.63,108.50,108.79,106.61
108.82,108.60,109.35,108.46
108.48,108.54,108.82,108.40
108.52,108.71,108.86,108.39
108.89,108.82,109.17,108.65
108.42,108.98,109.09,108.26
109.16,108.47,109.16,108.47
107.89,108.32,108.52,107.78
108.60,107.42,108.95,107.32
107.30,106.83,107.36,106.64
107.29,107.74,107.98,106.96
107.30,107.20,107.59,106.86
107.64,107.47,108.36,107.36
108.00,107.49,108.05,106.98
107.77,108.18,108.31,107.35
108.58,108.85,108.97,108.43
109.46,108.75,109.46,108.48
108.32,108.23,108.44,108.07
108.10,107.17,108.11,107.10
107.13,106.44,107.16,106.28
107.16,106.21,107.16,106.21
106.27,105.94,106.44,105.76
106.27,106.79,106.93,105.92
107.35,107.78,107.81,107.17
107.72,108.11,108.24,107.72
107.82,107.53,108.18,107.31
107.22,105.61,107.28,105.47
105.47,105.77,105.77,104.90
104.74,104.21,104.80,104.00
104.57,103.94,104.66,103.94
104.81,104.25,104.81,103.77
104.23,104.24,104.64,103.59
104.86,104.10,104.86,103.70
104.40,105.04,105.15,104.40
105.60,104.09,105.60,103.95
103.88,104.16,104.40,103.64
104.54,104.87,105.40,104.53
103.57,102.36,103.65,102.01
102.56,101.10,102.85,101.05
100.63,101.33,102.11,100.59
101.62,101.24,101.65,101.06
100.49,100.80,101.79,100.45
101.09,99.47,101.11,99.25
99.30,99.20,99.78,98.86
99.18,99.60,99.68,98.34
100.75,101.69,101.70,100.70
101.71,101.73,101.92,101.26
101.98,102.06,102.18,101.73
102.64,103.51,103.51,102.57
102.98,103.38,103.38,102.79
103.27,102.78,103.55,102.76
102.21,103.53,103.63,101.74
104.08,103.99,104.33,103.57
104.09,104.05,104.19,103.70
104.49,103.71,104.49,103.57
103.65,103.34,103.65,103.10
103.44,103.21,103.90,102.71
103.15,103.75,103.82,103.15
104.20,103.93,104.24,103.57
103.75,103.86,104.29,103.75
104.31,104.61,105.16,104.31
105.00,104.68,105.46,104.65
104.73,104.16,104.93,103.96
103.65,103.44,103.80,103.29
103.64,104.58,104.63,103.64
104.88,105.61,105.70,104.45
105.55,104.69,105.78,104.69
104.72,105.21,105.21,104.58
103.08,103.44,103.70,102.86
103.10,103.09,103.27,102.95
103.13,102.68,103.23,102.31
102.69,102.77,102.86,101.47
101.77,101.34,102.33,101.34
100.99,103.06,103.06,100.99
105.42,105.82,105.82,104.89
105.87,105.47,105.87,105.24
105.53,105.73,105.87,105.28
105.34,105.47,105.55,105.09
105.32,105.25,105.42,104.86
105.44,105.34,105.73,105.22
106.05,106.19,106.28,105.48
106.20,106.27,106.38,105.96
105.92,105.90,106.14,105.76
105.55,105.88,105.96,105.50
105.78,106.04,106.22,105.72
106.40,106.48,106.75,106.10
106.20,106.57,106.57,105.98
106.57,106.88,106.92,106.32
107.10,107.46,107.58,107.10
106.80,106.95,107.55,106.80
107.38,107.24,107.55,106.98
107.39,107.43,107.58,107.03
107.28,108.08,108.16,107.28
107.89,107.51,108.16,107.42
107.77,107.30,107.77,107.30
107.88,108.25,108.31,107.67
107.68,106.94,107.70,106.94
107.47,108.23,108.50,107.47
107.78,108.11,108.24,107.78
108.20,108.01,108.22,107.34
108.25,108.42,108.57,108.22
108.46,108.55,108.63,108.28
108.39,108.63,108.80,108.38
108.97,108.67,109.00,108.40
108.38,108.82,108.97,108.36
109.06,108.80,109.14,108.41
108.95,109.68,109.78,108.95
109.60,108.75,109.74,108.68
108.35,108.23,108.55,107.97
108.58,108.92,108.94,108.29
109.39,107.27,109.77,107.27
107.72,107.88,108.04,107.18
107.84,109.03,109.32,107.82
109.09,108.73,109.61,108.73
108.27,108.93,109.17,108.17
108.70,109.40,109.40,108.59
109.92,110.36,110.75,109.92
110.87,110.55,110.87,110.39
110.70,110.88,110.92,110.62
111.32,111.05,111.37,110.64
110.94,111.51,111.51,110.91
111.52,111.03,111.53,110.83
111.16,111.12,111.34,110.88
111.52,111.73,111.74,111.49
110.94,111.00,111.19,110.75
110.23,110.58,110.98,110.23
110.97,110.45,110.99,109.83
111.13,110.99,111.18,110.83
110.29,110.09,110.71,110.08
110.78,110.92,111.03,110.62
111.53,110.65,111.53,110.36
111.06,111.49,111.49,111.00
110.80,111.21,111.23,110.66
111.24,111.26,111.45,111.00
111.22,111.17,111.50,110.96
111.39,112.01,112.24,111.39
111.70,111.07,111.70,110.86
111.20,111.45,111.57,111.00
110.11,110.84,110.88,110.11
110.77,111.44,111.44,110.57
111.60,111.85,112.27,111.53
112.29,113.34,113.45,112.24
113.13,113.62,113.74,113.00
113.20,113.47,113.47,112.91
112.88,111.30,113.02,111.25
112.22,112.75,112.75,111.92
111.98,111.11,111.98,110.67
111.26,110.44,111.26,110.18
110.59,111.28,111.41,110.59
111.59,111.86,112.03,110.96
112.51,112.99,113.10,111.17
112.88,112.61,113.01,112.54
112.83,112.84,113.33,112.73
112.71,112.95,113.13,112.56
113.21,113.71,113.93,113.08
113.60,113.82,114.01,113.21
113.58,113.07,113.72,113.03
113.24,114.01,114.09,113.24
114.97,114.91,115.24,114.79
115.07,115.12,115.31,114.90
115.47,115.68,115.71,115.08
115.55,116.28,116.28,115.45
116.20,115.72,116.36,115.69
115.83,116.05,116.07,115.60
115.93,116.20,116.30,115.76
116.53,117.11,117.15,116.53
117.03,117.63,117.98,117.03
117.74,117.50,118.11,117.42
118.02,118.34,118.34,117.55
118.27,118.33,118.73,118.11
118.42,118.66,118.84,118.14
118.74,118.09,119.59,117.75
116.71,117.75,118.06,116.71
117.17,117.82,117.82,116.99
119.04,118.39,119.47,118.26
117.90,117.66,118.04,117.11
117.76,118.01,118.54,117.76
117.86,116.29,118.17,116.25
116.62,117.28,117.28,116.23
117.46,116.84,117.94,116.36
116.63,115.43,116.69,115.38
115.47,115.87,115.96,114.51
117.19,117.48,117.56,116.54
118.16,117.49,118.16,117.34
116.41,116.44,117.37,116.33
117.19,115.56,117.35,115.56
115.54,117.09,117.19,115.26
116.97,116.24,117.20,116.08
116.96,117.01,117.69,116.52
117.24,117.90,118.14,117.24
117.85,116.44,118.02,116.44
