SLY,SPDR S&P 600 Small Cap ETF (based on S&P SmallCap 600 Index -- symbol SML),NASDAQ
53.76,54.82,54.82,53.76
55.69,56.04,56.34,55.62
55.90,56.78,56.78,55.77
56.40,56.66,57.06,56.21
56.81,56.39,56.81,56.20
56.43,56.46,56.62,56.21
57.19,55.85,57.29,55.73
56.16,54.75,56.18,54.75
54.47,54.70,54.74,54.08
54.21,53.58,54.45,53.55
53.57,54.29,54.62,53.57
54.57,54.52,54.73,53.95
53.53,52.13,53.53,52.07
52.11,51.63,52.63,51.45
51.61,51.31,51.61,50.00
51.54,50.81,51.54,50.53
51.65,49.83,51.65,49.83
50.22,51.86,51.86,50.22
52.24,52.00,52.41,52.00
52.96,53.21,53.23,52.86
53.31,52.94,53.31,52.63
53.70,54.55,54.63,53.69
54.48,54.37,54.48,54.11
54.27,54.11,54.27,53.42
53.63,52.05,53.63,51.94
52.22,52.13,52.33,51.56
51.41,53.15,53.15,51.41
53.25,52.58,53.37,52.58
52.99,53.78,54.20,52.99
53.76,55.09,55.11,53.70
55.38,56.43,56.45,55.24
56.94,56.18,56.97,55.91
56.19,55.26,56.19,55.26
55.64,54.54,55.70,54.54
54.25,55.35,55.35,54.25
56.01,56.25,56.25,55.81
55.76,55.82,56.29,55.31
55.87,56.18,56.18,55.87
55.91,55.83,55.97,55.68
54.90,54.78,55.03,54.50
55.79,56.00,56.00,55.71
55.41,55.21,55.41,54.75
53.89,53.03,53.95,53.00
52.22,52.45,52.83,51.75
52.46,52.41,52.51,52.31
52.10,52.47,52.74,52.10
53.10,53.58,53.78,53.10
53.37,53.65,53.85,53.10
53.42,52.28,53.42,52.28
52.03,51.82,52.03,51.47
52.59,51.70,52.69,51.70
50.83,51.23,51.29,50.26
50.51,51.70,51.70,50.36
51.71,51.20,52.08,51.20
51.22,52.23,52.25,50.82
52.43,52.06,52.43,51.94
51.29,51.22,51.83,51.15
52.14,53.21,53.22,52.10
53.15,54.01,54.01,53.12
54.87,54.64,54.97,54.64
54.61,53.83,54.61,53.79
54.22,54.23,54.55,54.13
54.95,54.25,54.95,54.02
54.35,54.55,54.67,54.29
55.02,55.54,55.56,55.02
55.54,55.81,55.98,55.29
55.11,55.81,55.91,55.04
55.66,55.54,55.77,55.23
55.72,55.62,55.72,55.05
55.67,56.98,56.98,55.58
56.75,56.64,57.13,56.60
56.68,55.79,56.75,55.72
55.84,55.48,56.06,55.48
56.02,56.93,56.94,56.02
57.07,56.80,57.09,56.64
56.90,57.04,57.06,55.97
57.12,57.52,57.61,57.12
57.85,57.48,58.04,57.15
57.43,57.34,57.43,57.34
57.43,56.94,57.43,56.81
57.64,58.46,58.50,57.36
58.43,57.96,58.50,57.95
58.47,57.88,58.47,57.75
57.88,58.68,58.68,57.85
58.80,58.87,59.18,58.80
58.68,58.93,59.04,58.40
59.47,60.00,60.21,59.36
59.71,59.71,59.89,59.49
60.12,59.57,60.12,59.32
59.61,59.93,59.93,59.48
59.83,58.73,59.83,58.54
59.02,59.47,59.78,59.02
59.74,59.30,60.11,58.76
59.44,59.75,59.75,59.40
60.18,60.34,60.67,60.18
59.81,60.02,60.26,59.66
59.62,59.57,59.79,59.26
60.27,59.62,60.27,59.45
59.72,59.92,59.92,59.71
60.15,59.66,60.43,59.62
60.06,60.45,60.46,60.06
60.51,60.10,60.69,59.98
61.69,62.05,62.05,61.61
62.22,62.55,62.68,62.22
62.44,62.47,62.53,62.14
62.75,61.69,62.75,61.66
61.77,62.17,62.20,61.46
61.65,62.16,62.16,61.52
61.65,61.27,62.06,61.10
61.54,61.23,61.75,61.23
60.97,60.03,60.97,59.85
60.36,60.37,60.40,60.22
61.24,61.27,61.58,61.17
61.22,61.58,61.58,60.92
61.32,61.91,61.99,61.13
61.30,61.21,61.36,61.07
61.97,62.48,62.59,61.97
62.49,62.33,62.56,62.33
61.91,62.21,62.29,61.36
61.65,61.76,62.10,61.40
62.98,63.09,63.24,62.89
63.55,63.81,63.88,63.55
63.55,64.39,64.39,63.55
64.44,64.82,64.82,64.32
65.54,64.99,65.54,64.92
65.25,65.02,65.25,64.79
65.18,65.18,65.29,64.98
65.42,65.93,65.93,65.26
66.28,65.67,66.28,65.67
65.87,65.61,65.95,65.56
65.65,65.47,66.04,65.30
65.40,65.87,65.95,65.14
65.52,65.80,65.88,65.27
61.15,66.00,71.11,61.15
66.26,66.68,66.73,66.26
66.77,66.67,66.93,66.63
66.77,66.65,66.97,66.55
66.42,66.90,66.92,66.31
67.09,66.81,67.09,66.48
66.88,66.75,66.88,66.63
66.90,66.87,67.04,66.75
66.68,66.00,66.68,66.00
66.54,67.30,67.52,66.54
67.29,66.03,67.29,65.60
66.13,66.57,66.66,65.91
66.82,66.35,66.82,66.18
66.59,65.91,66.59,65.12
65.75,66.21,66.21,65.17
66.46,66.19,66.55,65.97
66.61,66.92,67.03,66.61
66.86,66.75,67.09,66.75
66.81,67.46,67.46,66.81
67.40,67.50,67.50,67.09
67.53,66.01,67.57,66.01
65.79,65.56,65.87,65.35
65.95,65.10,65.95,65.06
65.32,65.69,65.73,65.09
65.14,65.73,65.73,65.14
65.77,66.97,67.09,65.76
66.94,67.26,67.45,66.78
67.11,65.68,67.11,65.50
65.88,66.09,66.37,65.44
66.59,67.27,67.50,66.00
67.20,67.19,67.61,67.00
66.92,67.34,67.34,66.20
67.22,67.16,67.33,66.86
67.47,68.15,68.32,67.47
68.05,68.05,68.10,67.76
68.13,67.90,68.36,67.72
67.79,68.32,68.49,67.79
68.48,68.97,69.01,68.48
69.05,69.35,69.35,69.05
69.25,68.76,69.29,68.76
69.21,69.49,69.49,69.07
69.08,70.03,70.03,69.08
69.87,70.04,70.33,69.70
69.47,68.45,69.54,68.27
68.21,67.10,68.21,66.74
66.68,67.25,67.40,66.51
67.68,68.54,68.54,67.68
69.24,68.61,69.31,68.47
69.16,67.61,69.16,67.41
67.51,67.76,68.01,66.70
68.52,69.44,69.53,68.52
68.73,69.05,69.05,68.62
69.54,68.27,69.54,67.64
68.21,69.32,69.59,68.17
69.11,69.27,69.54,65.86
68.59,67.69,68.59,67.56
67.05,67.89,67.89,67.05
67.47,67.32,67.47,66.96
65.90,66.73,66.73,65.55
66.96,65.99,66.96,65.99
67.13,66.28,67.13,66.28
66.90,66.86,66.99,66.72
67.61,68.33,68.33,67.61
68.56,68.20,68.73,68.03
68.01,68.25,68.27,67.27
68.29,68.86,68.86,68.29
69.83,69.73,69.83,69.58
69.55,68.93,69.55,68.93
68.79,69.48,69.58,68.34
69.94,70.42,70.42,69.84
70.22,70.78,70.85,70.11
71.36,71.10,71.57,70.99
71.37,71.45,71.45,71.37
71.45,71.60,72.09,71.45
72.35,71.85,72.35,71.66
71.89,71.65,72.14,71.50
71.36,70.16,71.36,70.16
70.59,70.15,70.90,69.83
69.49,69.23,69.69,69.15
69.22,69.13,69.41,68.68
68.45,68.87,69.31,68.45
69.56,70.01,70.09,69.32
69.28,69.10,69.28,68.59
69.39,68.98,69.56,68.81
70.23,70.48,70.48,70.02
70.61,70.77,70.86,70.56
70.95,70.75,70.95,70.61
71.01,71.80,72.00,71.01
71.80,71.89,72.02,71.80
72.25,72.58,72.58,72.17
72.69,72.74,72.90,72.47
72.67,72.20,72.78,72.16
71.93,71.16,71.93,71.00
71.03,70.57,71.24,70.00
69.82,70.31,71.15,69.61
71.01,70.43,71.28,70.38
70.67,71.24,71.24,70.20
71.39,72.01,72.10,71.39
72.09,71.36,72.10,71.21
70.97,71.92,72.02,70.97
71.98,70.95,71.98,70.90
70.48,70.05,70.92,70.05
69.56,69.96,70.00,69.32
69.78,70.52,70.66,69.78
71.19,70.93,71.19,70.53
70.79,70.69,70.80,70.00
69.40,69.21,69.40,68.85
69.34,69.16,69.61,68.80
68.54,69.72,69.79,68.54
69.55,70.54,70.54,69.44
70.79,70.66,71.18,70.66
71.55,71.58,71.58,71.23
71.76,70.62,71.76,70.62
70.06,69.77,70.10,69.41
68.88,68.78,69.19,68.62
68.35,67.93,68.63,67.82
68.10,68.07,68.45,67.92
67.48,67.29,67.72,67.29
67.32,67.74,67.89,67.32
67.23,66.59,67.23,66.16
66.37,66.52,66.84,66.00
66.88,67.74,68.00,66.88
67.26,66.73,68.48,66.73
67.00,66.74,67.33,66.25
67.30,66.81,67.49,66.81
66.78,67.32,67.58,66.72
68.01,68.67,68.68,68.01
68.42,68.37,69.04,68.37
67.91,68.09,68.09,67.91
68.53,67.83,68.53,67.83
68.52,68.55,68.55,68.29
68.55,69.42,69.42,68.55
69.74,69.89,69.89,69.74
70.39,70.53,70.64,70.39
70.78,71.71,71.73,70.75
71.79,72.02,72.04,71.56
71.78,72.17,72.25,71.78
73.03,73.17,73.53,73.03
72.36,72.67,72.67,71.92
71.79,71.28,71.93,70.98
71.09,71.13,71.61,71.09
71.27,71.46,72.03,71.08
71.58,70.49,71.88,70.24
70.54,70.81,70.81,70.43
70.30,69.86,70.30,69.43
70.78,71.43,71.57,70.64
71.57,71.27,71.57,70.84
71.56,71.95,72.09,71.56
71.53,71.93,71.98,71.53
70.81,71.21,71.61,70.65
70.86,70.35,70.90,70.35
69.96,68.57,69.96,68.41
68.48,68.30,69.23,68.30
67.19,68.35,68.37,67.19
69.18,67.67,69.18,67.35
67.56,65.82,68.16,65.82
65.83,66.33,66.33,63.77
65.11,62.95,65.14,62.79
62.99,62.00,63.15,60.64
59.95,56.77,61.26,56.47
58.20,59.04,59.59,55.23
57.89,57.29,59.55,57.29
57.59,60.26,60.26,57.40
60.69,60.39,60.96,59.70
61.40,61.88,61.88,61.16
61.09,61.01,61.56,60.50
61.74,60.81,61.74,60.62
59.00,57.59,59.00,57.17
56.36,56.58,58.25,56.36
56.21,56.56,57.21,56.21
56.82,59.54,59.54,56.82
59.29,60.30,60.49,59.13
60.59,59.24,60.59,58.76
59.49,59.73,60.04,59.49
61.46,62.80,62.80,61.35
62.10,63.33,63.33,62.10
63.30,62.86,64.01,62.36
63.90,61.66,63.90,61.66
60.28,60.04,60.76,59.97
57.28,59.28,59.28,57.28
60.43,61.54,61.58,60.43
61.15,61.48,61.87,61.13
59.83,58.65,59.92,58.19
57.59,58.05,58.73,57.59
59.51,60.14,60.14,59.51
60.69,61.80,61.94,60.20
61.65,61.85,61.91,60.98
61.96,61.64,61.99,61.61
60.76,61.38,61.38,60.09
60.70,59.85,61.51,59.85
59.43,57.74,59.79,57.74
55.19,56.09,56.74,55.15
56.24,56.59,56.63,56.16
57.52,57.38,57.52,56.52
59.03,58.93,60.23,58.93
58.23,57.67,58.81,57.67
57.42,56.63,57.42,56.63
57.96,56.32,58.00,56.32
56.11,54.18,56.17,53.99
53.30,56.10,56.10,53.00
57.17,58.12,58.12,56.65
58.25,59.27,59.27,58.25
58.89,58.48,59.03,57.43
59.51,60.20,60.20,58.77
60.07,60.44,60.48,59.66
60.79,61.68,61.68,60.79
60.61,61.10,61.23,60.28
61.84,62.03,62.03,61.49
61.68,60.29,61.68,60.29
60.15,61.92,61.95,60.15
61.74,60.68,61.79,60.68
60.63,60.69,60.75,59.65
61.91,62.29,62.60,61.54
63.00,64.35,64.46,63.00
63.54,63.48,63.54,63.11
63.66,63.69,63.69,62.20
65.65,66.84,67.18,65.23
66.83,66.48,67.23,66.32
65.60,64.90,66.57,64.84
62.53,62.58,63.80,62.53
63.98,64.23,64.23,63.13
64.20,65.30,65.31,64.20
64.87,65.20,65.46,64.49
65.18,65.13,65.39,64.22
65.78,65.56,65.78,65.56
64.43,63.86,64.44,63.86
64.01,63.70,64.27,63.40
65.35,65.17,65.41,65.17
64.91,64.17,64.91,64.00
64.23,64.93,64.93,63.85
64.50,64.43,65.53,64.43
64.53,63.34,64.53,63.34
63.18,63.54,63.54,63.18
62.30,62.10,62.30,61.19
62.14,61.63,62.20,61.40
60.66,59.96,60.68,59.87
59.92,59.92,59.92,59.92
60.94,61.71,61.74,60.94
61.73,61.89,61.93,61.40
63.94,65.35,65.35,63.81
64.93,65.46,65.68,64.48
65.95,65.07,65.95,65.06
66.25,65.50,66.55,65.50
65.55,65.96,66.26,65.49
64.89,66.01,66.01,64.49
64.69,64.02,65.39,64.02
64.30,65.90,65.94,64.30
64.60,64.97,64.97,64.44
65.45,63.62,65.45,63.56
63.09,62.99,63.64,62.75
63.84,63.80,63.99,63.48
64.61,64.11,64.77,63.85
64.46,63.10,64.72,62.96
65.32,65.59,65.59,65.32
65.47,65.25,65.47,64.68
66.24,66.34,66.69,66.24
66.46,66.51,66.81,66.38
66.86,67.08,67.32,66.86
66.81,65.50,66.81,65.50
65.89,66.38,66.57,65.89
66.52,66.07,66.63,66.07
67.44,67.00,67.72,66.80
66.79,66.55,66.79,66.14
66.14,66.89,67.11,65.60
66.81,67.03,67.03,66.53
66.95,66.94,66.95,66.63
67.99,67.75,67.99,67.75
67.47,67.93,68.09,67.47
68.27,68.38,68.38,67.66
67.72,67.86,68.09,67.43
68.38,67.79,68.64,67.79
67.88,68.94,68.95,67.88
69.46,69.37,69.66,69.26
69.40,69.56,69.64,69.33
69.78,69.52,69.85,69.10
69.49,70.06,70.06,69.49
69.62,70.47,70.62,69.62
70.71,70.25,70.71,70.00
69.79,70.57,70.60,69.79
69.74,70.11,70.35,69.74
70.40,70.25,70.48,69.79
71.21,71.66,71.76,71.21
71.95,72.13,72.28,71.95
73.44,73.63,73.81,73.44
73.35,73.22,73.50,73.07
73.39,73.13,73.49,72.90
73.46,73.27,73.65,72.80
73.45,73.05,73.45,72.60
72.29,71.93,72.31,71.88
72.81,72.90,72.98,72.39
72.61,72.51,72.61,72.00
73.01,71.71,73.01,71.67
72.16,73.18,73.26,71.99
73.84,73.30,73.84,73.29
73.52,73.00,73.66,72.79
72.77,72.44,72.98,72.40
72.36,73.26,73.34,72.12
73.41,73.18,73.41,72.96
72.49,73.16,73.18,72.01
73.02,72.82,73.31,72.59
73.32,72.04,73.32,71.92
71.97,72.20,72.97,71.97
72.11,70.93,72.11,70.57
70.81,71.18,71.24,70.39
70.48,69.74,70.48,69.66
69.98,70.43,70.43,69.96
70.89,71.16,71.16,70.86
71.19,72.03,72.61,71.19
72.15,72.19,72.33,71.97
72.58,73.69,73.69,72.52
73.62,73.08,73.80,73.04
72.98,73.64,73.73,72.72
73.76,73.26,73.76,73.26
73.23,73.84,74.34,73.23
73.29,73.31,73.42,72.99
73.31,73.27,73.65,73.01
72.38,72.64,72.67,72.10
72.52,73.16,73.16,72.43
74.09,74.70,74.72,74.09
74.76,74.35,75.05,74.35
74.23,73.77,74.30,73.34
73.17,73.85,73.85,72.93
74.20,73.84,74.20,73.41
73.27,74.49,74.49,73.05
74.38,74.12,74.38,73.76
73.11,72.75,73.11,72.36
72.82,72.58,72.82,72.45
71.59,71.44,71.71,71.04
71.19,69.67,71.19,69.63
70.39,70.49,70.75,70.24
71.62,71.65,72.03,71.62
70.91,70.76,71.08,70.76
71.29,71.09,71.65,70.44
71.75,72.57,72.73,71.75
71.81,71.64,71.81,71.28
71.70,71.15,72.08,71.00
72.03,71.55,72.10,71.55
70.50,70.31,70.50,69.85
70.47,70.95,71.16,70.34
72.25,71.92,72.30,71.70
72.29,72.69,72.70,72.19
72.43,73.46,73.46,72.38
73.17,72.84,73.17,72.65
72.60,72.71,73.86,72.60
72.00,72.91,73.02,71.91
72.68,71.65,72.68,71.65
71.63,70.72,71.63,70.67
70.35,70.85,70.98,70.21
70.48,70.81,70.81,69.84
69.79,70.56,70.77,69.61
70.88,70.88,71.43,70.00
70.18,70.51,70.88,70.18
69.78,69.76,70.01,69.56
69.83,69.83,70.36,69.77
70.17,69.32,70.23,69.32
69.28,67.77,69.28,67.77
67.83,67.55,67.98,67.00
67.48,68.43,68.43,66.82
68.53,67.66,68.78,67.66
67.53,68.28,68.34,66.88
68.34,68.18,68.43,67.74
68.34,68.35,68.54,68.25
69.03,69.33,69.53,68.64
68.42,68.17,68.42,68.07
68.16,67.81,68.16,67.33
66.67,65.94,66.67,65.82
66.26,65.94,66.26,65.28
66.04,66.42,66.54,65.65
67.18,68.17,68.17,67.18
69.26,68.19,69.31,68.05
67.70,68.37,68.55,67.07
68.85,67.94,68.85,67.90
67.11,67.60,67.66,66.71
67.28,66.77,67.84,66.67
66.94,67.19,67.68,66.94
67.73,68.12,68.23,67.73
68.12,68.29,68.29,67.82
68.58,69.49,69.77,68.58
69.27,69.18,69.68,68.99
69.07,67.47,69.07,67.46
68.04,68.32,68.33,67.95
67.28,67.16,67.28,67.10
67.51,67.62,67.63,67.36
68.26,68.38,68.40,67.96
68.26,68.48,68.62,67.53
69.98,70.53,70.67,69.98
68.48,70.73,70.82,68.48
71.21,71.83,71.98,71.05
71.94,72.01,72.20,71.90
71.44,70.92,71.44,70.92
66.81,70.98,71.01,66.81
71.40,70.14,71.43,67.21
70.34,69.99,70.44,69.79
69.49,69.69,69.69,68.92
70.24,70.94,70.98,70.24
70.56,70.77,70.89,70.25
71.99,70.64,71.99,70.00
70.90,71.21,71.59,70.90
72.46,71.17,72.46,71.17
70.68,70.30,70.68,70.30
69.19,69.40,69.40,68.65
69.61,68.23,69.61,68.23
68.77,68.38,68.96,68.30
69.45,69.09,69.45,68.81
69.58,70.89,70.89,69.58
70.91,70.20,71.26,70.20
70.47,70.05,70.47,70.05
69.92,68.84,69.98,68.84
68.26,68.56,68.70,68.26
70.35,70.49,73.10,69.69
70.51,70.95,71.39,70.38
71.54,71.65,72.00,71.38
71.64,71.66,71.78,71.46
71.93,71.75,71.93,71.60
71.56,71.76,71.82,71.29
71.58,71.57,71.70,70.82
71.76,71.11,71.79,71.11
70.92,71.89,71.89,70.92
72.01,72.74,72.92,71.60
72.79,73.14,73.22,72.76
73.03,72.90,73.08,72.56
73.36,73.02,73.90,73.02
72.46,72.67,72.80,72.32
72.43,72.23,72.45,71.95
72.64,72.43,72.64,72.31
72.58,72.30,72.72,72.24
72.38,72.85,73.01,72.38
73.07,73.26,73.42,73.00
72.40,72.56,72.65,72.40
72.97,72.84,72.97,72.39
72.72,73.61,73.72,72.31
73.61,73.50,73.84,73.37
74.00,74.91,75.14,74.00
75.22,75.20,75.42,75.14
75.33,75.10,75.51,75.00
75.09,75.33,75.59,75.09
75.61,75.47,75.61,75.23
75.40,76.49,77.02,75.32
76.73,77.10,77.57,76.73
76.84,76.44,76.84,76.33
76.48,76.40,76.53,76.14
76.71,76.18,76.92,76.18
75.46,75.65,75.78,75.46
76.25,75.84,76.38,75.84
75.46,75.37,75.82,75.27
75.67,74.42,75.96,74.42
74.12,73.76,74.15,73.59
74.12,74.88,75.00,74.00
74.57,74.19,74.60,74.18
74.53,74.43,75.03,74.03
74.73,74.34,74.73,74.18
74.16,74.18,74.68,74.12
74.37,74.51,74.72,74.04
75.06,74.63,75.55,74.41
74.32,74.07,74.38,74.04
73.90,73.13,74.21,73.13
73.20,73.21,73.25,72.94
73.57,73.27,73.73,73.25
73.27,72.70,73.27,72.48
73.22,73.06,73.22,72.76
73.57,73.73,73.81,73.51
74.01,74.28,74.52,73.99
74.29,74.10,74.46,73.93
73.21,72.78,73.41,72.40
72.64,72.68,72.71,72.32
72.25,72.38,72.38,71.51
72.71,72.10,72.71,72.05
72.62,72.21,72.62,72.00
72.36,72.22,72.36,71.62
72.33,72.74,72.74,71.93
73.00,73.47,73.58,72.67
73.87,72.57,73.87,72.57
72.46,72.96,73.15,72.22
73.13,73.75,73.94,73.13
72.88,72.14,72.88,70.28
71.91,71.05,72.14,71.05
70.86,70.94,71.62,70.69
71.23,70.87,71.29,70.75
70.66,70.59,71.20,70.59
70.69,69.25,70.69,69.15
69.17,69.01,69.38,68.11
68.54,69.40,69.40,68.20
70.10,70.83,70.91,70.10
70.58,71.02,71.02,70.50
71.21,71.18,71.76,71.00
71.53,71.72,72.03,71.48
71.76,72.20,72.20,71.76
72.77,72.60,72.79,72.34
71.73,72.65,72.87,71.67
73.57,73.71,73.79,73.27
73.68,73.10,73.68,73.10
73.30,73.21,73.40,73.17
73.58,73.55,73.59,72.86
73.79,73.31,73.79,72.90
73.48,73.36,73.48,73.29
73.45,73.40,73.53,73.12
73.63,73.71,73.89,73.56
74.24,74.39,74.99,74.10
74.51,73.91,74.74,73.91
74.09,73.53,74.09,73.30
73.37,73.40,73.70,73.27
73.75,74.38,74.39,73.67
74.73,75.33,75.57,74.59
75.48,75.53,76.03,75.42
75.47,75.85,76.10,75.39
74.39,75.06,75.16,74.25
74.83,74.83,75.09,74.73
75.08,74.28,75.08,74.24
74.19,74.35,74.35,73.25
73.67,73.96,74.36,73.67
73.73,75.11,75.24,73.28
76.78,77.38,77.48,76.78
77.50,76.98,77.80,76.98
77.66,77.84,77.96,77.34
77.60,77.44,77.60,77.13
77.28,77.21,77.35,76.86
77.59,77.60,77.73,77.37
77.82,77.57,77.82,77.22
77.74,77.64,77.76,77.35
77.52,77.67,77.86,77.36
77.34,77.90,77.93,77.34
78.03,77.89,78.04,77.72
78.22,78.61,78.72,78.15
78.49,79.00,79.00,78.49
78.93,79.58,79.58,78.80
79.56,79.30,79.56,79.23
79.83,79.93,80.17,79.59
80.40,80.25,80.48,79.87
80.50,80.23,80.50,79.87
80.19,80.28,80.28,79.88
80.24,79.33,80.24,79.01
79.36,79.64,79.71,79.36
80.13,80.53,80.69,79.98
80.04,79.39,80.12,79.36
80.06,80.29,80.42,80.06
79.83,80.46,80.46,79.63
80.58,80.33,80.58,79.88
80.68,81.01,81.02,80.68
80.97,80.68,80.97,80.44
81.13,81.19,81.27,80.89
81.33,81.31,81.41,80.98
81.68,81.70,81.79,81.63
81.68,81.63,81.89,81.45
81.83,82.38,82.38,81.70
82.67,80.89,82.67,80.89
80.74,80.23,80.89,79.70
80.55,80.89,80.89,80.55
81.57,79.10,81.57,79.10
79.76,79.62,79.78,79.03
79.50,80.78,80.87,79.50
80.82,80.53,81.09,80.53
80.18,80.96,81.00,79.57
80.87,80.87,80.90,80.34
81.66,81.84,82.05,81.62
82.00,82.09,82.10,81.78
82.08,82.38,82.38,81.97
83.08,83.17,83.17,82.40
82.95,83.11,83.11,82.77
83.57,82.77,83.57,82.55
82.92,83.27,83.30,82.59
83.46,84.00,84.12,83.44
83.93,83.85,84.19,83.73
83.25,83.45,83.79,83.13
83.55,83.15,83.91,82.62
83.54,83.93,83.97,83.54
83.69,83.26,83.73,83.16
83.66,83.38,83.66,83.35
83.83,83.52,84.29,82.94
83.96,83.87,83.96,83.35
83.45,83.91,83.91,83.00
83.85,83.78,84.05,83.78
83.77,82.80,83.87,82.38
83.20,82.76,83.42,82.62
82.70,81.21,82.70,81.09
81.29,81.84,81.84,81.14
80.88,81.73,81.73,80.76
81.89,82.37,82.39,81.58
82.42,82.26,82.56,82.01
82.42,83.41,83.53,82.37
83.64,83.64,84.06,83.18
83.39,83.12,83.39,82.93
82.57,80.32,82.57,79.90
80.83,81.32,81.49,80.59
81.02,80.33,81.02,79.63
80.29,79.56,80.35,79.56
80.00,80.65,80.77,79.75
80.70,80.81,80.99,79.71
81.51,81.98,82.07,81.27
82.16,82.46,82.68,81.97
83.11,83.03,83.60,83.02
82.86,82.72,82.87,82.35
82.81,83.25,83.41,82.81
83.31,83.74,83.74,83.04
83.48,81.90,83.56,81.74
82.07,83.20,83.27,82.07
84.87,84.55,85.02,84.43
84.61,84.79,85.11,84.56
85.08,85.89,85.89,85.00
85.90,85.96,86.07,85.64
86.00,85.93,86.30,85.76
86.23,86.71,86.72,86.05
86.43,86.35,86.62,86.23
86.62,87.35,87.58,86.43
87.41,87.80,88.16,87.32
87.69,87.39,88.03,87.39
87.74,88.51,88.57,87.74
88.52,88.72,89.16,88.49
88.85,88.93,89.14,88.67
89.03,87.60,89.52,87.17
86.89,87.43,87.43,85.74
87.08,87.37,87.47,86.76
88.72,88.70,89.46,88.37
88.20,87.66,88.46,87.22
88.00,88.18,88.34,87.82
86.93,87.34,88.14,86.93
87.43,87.76,87.76,86.71
87.82,87.29,88.52,86.71
87.02,86.39,87.33,86.16
86.10,86.86,86.86,85.65
87.41,87.83,87.83,86.96
87.99,88.12,88.18,87.79
86.86,87.39,87.90,86.67
87.75,86.57,87.75,86.38
86.40,88.01,88.01,86.23
87.79,87.46,87.83,86.98
