BAA,BANRO CORPORATION Ordinary Shares,NASDAQ
2.04,1.99,2.08,1.92
1.94,2.00,2.04,1.89
1.94,1.89,2.00,1.85
1.92,1.92,1.94,1.81
1.88,1.91,1.92,1.86
1.91,1.93,2.01,1.90
1.90,2.00,2.05,1.90
2.01,1.93,2.01,1.92
2.00,2.05,2.05,1.96
2.04,2.00,2.08,1.99
2.05,1.99,2.05,1.98
1.97,2.02,2.03,1.95
2.00,1.98,2.00,1.91
1.94,1.94,1.97,1.89
1.90,1.86,1.93,1.86
1.85,1.86,1.87,1.78
1.98,1.80,1.98,1.80
1.80,1.82,1.84,1.80
1.83,1.82,1.85,1.79
1.86,1.86,2.02,1.84
1.88,1.78,1.90,1.78
1.83,1.78,1.86,1.78
1.79,1.79,1.82,1.70
1.79,1.75,1.81,1.73
1.78,1.80,1.82,1.78
1.77,1.75,1.81,1.75
1.78,1.80,1.80,1.75
1.80,1.80,1.82,1.77
1.77,1.78,1.82,1.76
1.79,1.81,1.81,1.78
1.81,1.84,1.85,1.81
1.80,1.77,1.81,1.76
1.76,1.68,1.78,1.68
1.70,1.70,1.72,1.57
1.65,1.71,1.72,1.61
1.77,1.75,1.78,1.72
1.73,1.60,1.76,1.60
1.62,1.57,1.70,1.55
1.61,1.67,1.67,1.61
1.67,1.60,1.69,1.60
1.61,1.58,1.63,1.58
1.59,1.64,1.66,1.58
1.64,1.67,1.67,1.59
1.68,1.70,1.70,1.64
1.72,1.75,1.78,1.70
1.77,1.87,1.90,1.72
1.95,1.82,1.95,1.81
1.86,1.81,1.86,1.81
1.85,1.86,1.92,1.82
1.87,1.88,1.93,1.82
1.90,1.92,1.97,1.90
1.91,1.89,1.93,1.87
1.92,1.90,1.92,1.86
1.98,2.00,2.02,1.91
2.00,2.08,2.14,2.00
2.13,2.11,2.19,2.07
2.14,2.06,2.14,2.02
2.06,2.09,2.13,2.06
2.07,2.03,2.12,1.98
2.00,2.00,2.01,1.95
2.03,1.94,2.08,1.92
1.90,1.94,2.00,1.88
1.96,1.97,2.00,1.96
2.00,2.02,2.05,1.98
2.04,2.21,2.24,2.04
2.26,2.36,2.43,2.25
2.49,2.26,2.49,2.26
2.27,2.45,2.46,2.27
2.53,2.36,2.62,2.31
2.42,2.60,2.69,2.42
2.65,2.58,2.74,2.49
2.69,2.42,2.69,2.35
2.47,2.58,2.58,2.40
2.41,2.74,2.79,2.06
2.83,2.87,2.90,2.67
2.93,2.99,3.25,2.93
3.00,2.82,3.06,2.80
2.83,2.85,2.91,2.79
2.84,2.75,2.84,2.70
2.50,2.53,2.70,2.36
2.52,2.69,2.74,2.52
2.77,2.86,2.89,2.72
2.91,2.93,2.94,2.88
2.93,2.98,3.00,2.93
2.88,2.93,2.95,2.88
2.82,2.91,2.91,2.79
2.91,3.06,3.09,2.91
3.00,2.95,3.05,2.92
2.90,2.87,2.95,2.82
2.88,2.91,2.94,2.86
2.96,2.87,2.98,2.84
3.03,3.08,3.10,2.94
3.07,3.01,3.21,3.00
3.09,3.07,3.09,2.91
3.16,3.09,3.31,3.07
3.09,3.13,3.17,2.98
3.24,3.16,3.24,3.07
3.05,3.02,3.06,2.89
3.04,2.93,3.05,2.89
2.86,2.69,2.86,2.67
2.68,2.74,2.78,2.68
2.87,2.82,2.87,2.75
2.80,2.83,2.86,2.74
2.85,2.89,2.90,2.81
2.89,2.84,2.89,2.76
2.86,3.00,3.00,2.80
2.93,2.89,2.95,2.87
2.90,2.97,2.97,2.83
2.96,2.90,3.01,2.81
2.99,2.83,2.99,2.75
2.86,3.00,3.07,2.85
2.99,3.04,3.06,2.95
3.09,3.19,3.19,3.00
3.20,3.10,3.26,3.08
3.15,3.05,3.15,2.85
3.06,3.05,3.06,2.91
3.07,3.21,3.22,3.00
3.57,3.71,3.73,3.51
3.72,3.74,3.85,3.66
3.71,3.65,3.75,3.59
3.64,3.68,3.72,3.52
3.68,3.55,4.03,3.36
3.56,3.42,3.59,3.40
3.47,3.48,3.54,3.44
3.44,3.29,3.50,3.25
3.38,3.44,3.49,3.33
3.49,3.60,3.64,3.48
3.65,3.77,3.84,3.61
3.64,3.85,3.94,3.64
3.88,3.85,3.88,3.78
3.89,4.02,4.03,3.83
4.19,4.12,4.21,4.06
4.22,3.77,4.44,3.66
3.77,3.66,3.81,3.59
3.72,3.64,3.77,3.60
3.60,3.63,3.68,3.57
3.65,3.61,3.69,3.52
3.64,3.86,3.87,3.62
3.92,3.86,3.94,3.70
3.83,3.77,3.91,3.66
3.64,3.39,3.66,3.35
3.41,3.42,3.74,3.40
3.49,3.32,3.53,3.24
3.31,3.43,3.46,3.17
3.45,3.25,3.47,3.19
3.25,3.33,3.36,3.24
3.27,3.26,3.30,3.20
3.27,3.26,3.30,3.22
3.26,3.17,3.28,3.16
3.18,3.25,3.32,3.18
3.22,3.11,3.27,3.10
3.16,3.27,3.39,3.13
3.32,3.25,3.39,3.21
3.30,3.43,3.50,3.19
3.38,3.32,3.38,3.28
3.33,3.20,3.36,3.15
3.26,3.28,3.38,3.23
3.30,3.09,3.30,3.08
3.09,3.01,3.09,2.98
3.02,2.93,3.07,2.91
3.02,3.06,3.09,2.99
3.15,3.08,3.22,3.01
3.09,3.12,3.16,3.05
3.14,3.16,3.17,3.07
3.18,3.31,3.36,3.18
3.34,3.22,3.42,3.17
3.19,3.08,3.20,3.03
3.15,3.24,3.35,3.15
3.24,3.28,3.33,3.21
3.31,3.36,3.41,3.31
3.40,3.56,3.59,3.39
3.56,3.48,3.65,3.47
3.46,3.36,3.46,3.35
3.43,3.57,3.62,3.42
3.64,3.40,3.64,3.32
3.42,3.25,3.44,3.23
3.29,3.07,3.30,3.05
3.15,2.80,3.15,2.72
2.81,3.01,3.01,2.77
2.99,2.86,3.06,2.84
2.77,2.78,2.79,2.55
2.80,2.62,2.87,2.62
2.65,2.59,2.72,2.53
2.69,2.66,2.70,2.62
2.72,2.76,2.85,2.72
2.76,2.69,2.77,2.68
2.71,2.68,2.71,2.63
2.68,2.77,2.81,2.68
2.72,2.64,2.74,2.61
2.60,2.54,2.65,2.54
2.53,2.56,2.60,2.51
2.59,2.52,2.59,2.52
2.52,2.50,2.59,2.50
2.50,2.48,2.57,2.47
2.50,2.59,2.74,2.48
2.56,2.63,2.66,2.55
2.71,2.66,2.73,2.62
2.67,2.68,2.70,2.63
2.71,2.70,2.85,2.70
2.74,2.66,2.78,2.65
2.62,2.50,2.63,2.50
2.50,2.45,2.55,2.45
2.54,2.89,2.96,2.47
2.89,2.83,2.93,2.75
2.74,3.04,3.04,2.74
3.08,3.45,3.45,3.02
3.45,3.39,3.62,3.24
3.66,3.73,3.74,3.44
3.71,3.61,3.73,3.51
3.62,3.40,3.62,3.39
3.42,3.42,3.50,3.36
3.41,3.56,3.61,3.40
3.58,3.60,3.63,3.52
3.53,3.64,3.75,3.53
3.69,3.64,3.69,3.57
3.63,3.50,3.64,3.40
3.43,3.47,3.53,3.37
3.49,3.44,3.53,3.43
3.47,3.70,3.72,3.44
3.75,3.79,3.96,3.69
3.76,3.53,3.79,3.45
3.44,3.44,3.54,3.32
3.42,3.32,3.46,3.30
3.26,3.14,3.30,3.09
3.12,3.17,3.20,3.06
3.15,3.21,3.29,3.15
3.23,3.13,3.26,3.07
3.10,3.28,3.32,3.02
3.26,3.28,3.31,3.19
3.49,3.39,3.49,3.21
3.39,3.36,3.45,3.33
3.33,3.32,3.35,3.20
3.35,3.35,3.37,3.27
3.43,3.79,3.81,3.43
3.71,3.70,3.83,3.63
3.62,3.51,3.68,3.39
3.47,3.42,3.51,3.40
3.40,3.31,3.50,3.30
3.40,3.29,3.41,3.28
3.29,3.28,3.36,3.26
3.28,3.31,3.42,3.28
3.36,3.37,3.42,3.30
3.33,3.44,3.60,3.33
3.49,3.37,3.51,3.33
3.33,3.26,3.39,3.20
3.25,3.13,3.35,3.10
3.21,3.13,3.25,3.07
3.14,3.16,3.22,3.11
3.21,3.38,3.43,3.20
3.41,3.60,3.63,3.41
3.47,3.53,3.58,3.29
3.54,3.48,3.54,3.41
3.42,3.40,3.47,3.38
3.43,3.38,3.44,3.27
3.41,3.83,3.83,3.41
3.78,3.81,3.81,3.52
3.80,3.78,3.82,3.65
3.76,4.02,4.10,3.76
4.11,4.07,4.18,3.91
4.07,3.97,4.12,3.92
3.96,3.83,3.99,3.79
3.85,3.80,3.91,3.69
3.76,3.98,4.00,3.72
4.02,4.10,4.26,3.99
4.18,3.94,4.20,3.92
4.04,3.97,4.04,3.88
3.98,4.10,4.12,3.96
4.10,4.13,4.18,4.00
4.10,4.86,5.02,4.07
4.94,4.63,4.97,4.51
4.64,4.64,4.80,4.55
4.69,4.48,4.72,4.42
4.54,4.45,4.59,4.45
4.50,4.32,4.50,4.27
4.27,4.36,4.40,4.24
4.36,4.36,4.44,4.27
4.36,4.41,4.62,4.35
4.41,4.62,4.78,4.31
4.56,4.58,4.72,4.50
4.64,4.07,4.65,4.00
4.02,3.83,4.02,3.30
3.77,3.82,3.94,3.66
3.71,4.06,4.13,3.71
4.07,4.17,4.28,3.90
4.23,4.21,4.29,4.10
4.20,4.25,4.33,4.04
4.28,4.28,4.31,4.19
4.29,4.20,4.29,4.16
4.23,4.20,4.27,4.12
4.10,3.93,4.18,3.84
4.00,3.98,4.11,3.87
4.06,4.19,4.25,4.05
4.17,4.26,4.26,4.09
4.24,4.20,4.24,4.03
4.20,4.52,4.56,4.15
4.50,4.78,4.80,4.41
4.78,4.92,5.04,4.65
4.90,4.95,4.97,4.80
4.95,4.76,4.95,4.69
4.77,4.73,4.80,4.66
4.80,4.70,4.88,4.69
4.72,4.67,4.94,4.56
4.64,5.04,5.04,4.34
5.15,5.20,5.24,4.95
5.15,5.05,5.27,4.80
5.00,4.74,5.02,4.60
4.78,4.74,4.79,4.58
4.73,4.83,5.04,4.60
4.79,4.83,4.87,4.60
4.84,4.92,5.09,4.77
4.86,4.84,4.90,4.57
4.84,4.98,5.12,4.82
4.95,4.85,5.06,4.83
4.45,4.29,4.60,4.08
4.06,3.85,4.10,3.61
3.84,4.00,4.01,3.76
4.06,4.20,4.38,4.06
4.24,3.80,4.26,3.74
3.94,3.82,4.02,3.78
3.78,3.94,4.02,3.69
3.99,3.71,4.05,3.71
3.60,3.49,3.65,3.18
3.52,3.77,3.81,3.48
3.84,3.98,4.09,3.84
4.01,4.01,4.26,3.86
4.10,4.21,4.24,4.09
4.15,4.40,4.50,4.12
4.54,4.27,4.61,4.24
4.25,4.28,4.28,4.04
4.32,4.23,4.35,4.15
4.24,4.13,4.24,4.09
4.07,4.37,4.45,3.98
4.37,3.99,4.38,3.94
3.96,3.95,4.06,3.85
4.06,3.87,4.15,3.85
3.97,4.16,4.17,3.92
4.18,4.32,4.38,3.99
4.39,4.34,4.41,4.20
4.48,4.40,4.48,4.36
4.36,4.54,4.61,4.33
4.50,4.32,4.50,4.22
4.23,4.15,4.23,4.00
4.28,4.13,4.29,4.03
4.19,4.38,4.46,4.05
4.30,4.22,4.31,4.15
4.28,4.37,4.38,4.22
4.36,4.21,4.41,4.17
4.16,4.07,4.31,4.05
4.16,4.19,4.23,4.02
4.23,4.27,4.31,4.19
4.27,4.23,4.31,4.18
4.26,4.22,4.29,4.17
4.21,4.16,4.29,4.14
4.13,3.92,4.16,3.81
3.97,3.89,3.97,3.74
3.78,3.61,3.80,3.47
3.66,3.61,3.73,3.46
3.54,3.48,3.56,3.38
3.41,3.34,3.47,3.30
3.48,3.38,3.54,3.35
3.41,3.56,3.60,3.37
3.74,3.88,3.96,3.68
3.73,3.88,3.94,3.70
3.94,3.88,3.97,3.78
3.87,3.76,3.95,3.71
3.78,3.80,3.87,3.62
3.85,3.82,3.91,3.79
3.75,3.69,3.85,3.66
3.71,3.74,3.78,3.62
3.60,3.57,3.67,3.50
3.55,3.25,3.64,3.20
3.16,2.88,3.16,2.81
2.94,3.01,3.19,2.85
3.10,3.27,3.27,3.01
3.20,3.16,3.29,3.13
3.25,3.23,3.38,3.21
3.27,3.48,3.50,3.19
3.51,3.56,3.56,3.49
3.63,3.67,3.69,3.61
3.72,3.65,3.72,3.59
3.69,3.42,3.69,3.40
3.41,3.68,3.68,3.30
3.70,3.70,3.91,3.60
3.83,4.12,4.16,3.80
4.11,4.23,4.23,4.04
4.22,4.18,4.22,4.02
4.15,4.17,4.22,4.05
4.20,4.15,4.20,4.09
4.29,4.20,4.31,4.18
4.21,4.35,4.45,4.07
4.39,4.42,4.50,4.38
4.33,4.30,4.40,4.19
4.47,4.53,4.70,4.44
4.51,4.63,4.65,4.45
4.66,4.48,4.69,4.38
4.45,4.45,4.45,4.27
4.49,4.44,4.51,4.37
4.34,4.55,4.60,4.30
4.52,4.75,4.76,4.47
4.76,4.85,4.92,4.73
4.79,4.92,4.93,4.75
4.91,4.98,5.03,4.80
5.04,4.87,5.07,4.84
4.96,4.93,4.96,4.83
4.94,5.09,5.10,4.90
5.09,5.05,5.09,4.99
5.01,4.92,5.03,4.88
4.89,4.83,4.93,4.68
4.81,4.75,4.92,4.74
4.82,4.83,4.95,4.81
4.73,4.69,4.81,4.63
4.76,4.59,4.85,4.52
4.52,4.56,4.60,4.45
4.62,4.62,4.79,4.55
4.56,4.72,4.77,4.45
4.77,4.71,4.77,4.54
4.81,5.02,5.03,4.67
5.00,5.46,5.56,4.98
5.47,5.33,5.58,5.26
5.32,5.65,5.76,5.31
6.05,5.65,6.05,5.54
5.68,5.58,5.74,5.58
5.67,5.40,5.74,5.33
5.41,5.35,5.52,5.24
5.38,5.45,5.54,5.24
5.40,5.19,5.47,5.10
5.03,4.83,5.03,4.70
4.82,5.14,5.18,4.82
5.22,5.29,5.35,5.13
5.25,5.45,5.51,5.19
5.44,5.38,5.47,5.28
5.36,5.36,5.54,5.28
5.26,5.00,5.28,4.85
4.98,5.04,5.17,4.75
5.03,5.01,5.10,4.97
5.05,5.02,5.15,5.00
4.98,4.80,4.98,4.77
4.76,4.88,5.07,4.72
4.80,4.55,4.90,4.51
4.57,4.72,4.82,4.57
4.78,4.90,4.91,4.72
4.90,4.68,4.90,4.61
4.67,4.59,4.68,4.45
4.51,4.48,4.57,4.35
4.53,4.62,4.68,4.44
4.61,4.68,4.72,4.53
4.65,4.47,4.66,4.40
4.34,4.21,4.34,4.07
4.25,4.23,4.33,4.14
4.26,4.08,4.40,4.07
4.10,4.25,4.26,3.98
4.22,4.20,4.36,4.19
4.18,4.33,4.42,4.18
4.31,4.18,4.31,4.08
4.16,3.94,4.22,3.91
4.00,4.04,4.12,3.95
3.99,4.02,4.09,3.95
4.06,4.05,4.23,4.01
4.05,3.97,4.14,3.97
3.91,3.87,3.91,3.80
3.90,3.83,3.95,3.80
3.89,4.15,4.17,3.87
4.17,4.13,4.27,4.10
4.18,4.30,4.30,4.17
4.21,4.27,4.30,4.15
4.31,4.23,4.52,4.21
4.18,4.18,4.23,4.05
4.14,4.09,4.14,3.98
4.05,4.11,4.14,3.98
4.04,3.89,4.12,3.87
3.85,3.74,3.86,3.68
3.63,3.80,4.08,3.59
3.89,3.96,4.02,3.89
3.90,3.80,3.99,3.77
3.75,3.70,3.83,3.66
3.69,3.47,3.76,3.47
3.47,3.43,3.64,3.37
3.48,3.75,3.90,3.48
3.84,3.90,4.04,3.78
3.91,3.99,4.02,3.89
3.99,3.90,4.10,3.84
3.85,4.07,4.08,3.71
4.16,4.21,4.28,4.07
4.23,4.37,4.42,4.16
4.40,4.45,4.73,4.37
4.33,4.14,4.34,4.10
4.16,4.17,4.25,3.97
4.22,4.27,4.45,4.22
4.31,4.23,4.34,4.17
4.21,4.48,4.51,4.20
4.41,4.50,4.59,4.31
4.54,4.42,4.54,4.24
4.31,4.40,4.48,4.25
4.32,4.39,4.45,4.29
4.45,4.52,4.62,4.40
4.54,4.34,4.64,4.33
4.37,4.22,4.38,4.03
4.21,3.98,4.22,3.98
4.00,4.26,4.32,3.97
4.27,4.24,4.34,4.20
4.17,4.29,4.40,4.12
4.17,3.90,4.20,3.84
3.90,3.72,3.96,3.66
3.73,3.71,3.78,3.56
3.70,3.72,3.76,3.61
3.75,3.75,3.82,3.67
3.69,3.50,3.71,3.43
3.69,3.65,3.72,3.55
3.70,3.75,3.80,3.62
3.89,3.94,3.95,3.83
3.94,4.05,4.08,3.85
3.95,3.86,4.00,3.72
3.81,3.80,3.94,3.77
3.74,3.62,3.74,3.51
3.58,3.59,3.61,3.43
3.45,3.41,3.50,3.37
3.45,3.56,3.61,3.43
3.54,3.58,3.74,3.54
3.58,3.51,3.62,3.50
3.50,3.48,3.60,3.45
3.55,3.50,3.62,3.47
3.49,3.45,3.52,3.43
3.35,3.32,3.35,3.21
3.33,3.35,3.43,3.22
3.40,3.47,3.53,3.38
3.52,3.85,3.85,3.52
3.89,4.04,4.10,3.87
4.04,4.11,4.15,4.00
4.11,3.87,4.11,3.87
3.89,3.81,3.93,3.75
3.75,3.72,3.87,3.68
3.78,3.81,3.93,3.75
3.81,3.74,3.91,3.73
3.84,4.02,4.02,3.79
4.02,4.03,4.15,4.00
3.95,4.04,4.10,3.87
4.01,4.05,4.09,3.97
4.04,4.06,4.17,4.00
4.05,4.04,4.08,3.91
4.02,4.04,4.06,3.92
4.05,4.07,4.18,4.02
4.06,4.05,4.07,3.93
4.05,3.98,4.05,3.96
4.08,4.27,4.29,4.03
4.23,4.49,4.52,4.19
4.54,4.57,4.65,4.50
4.53,4.53,4.68,4.49
4.58,4.47,4.58,4.44
4.49,4.42,4.52,4.40
4.42,4.40,4.54,4.36
4.40,4.09,4.40,4.05
4.16,4.30,4.30,4.02
4.33,4.55,4.57,4.22
4.53,4.48,4.54,4.35
4.47,4.72,4.73,4.47
4.75,4.95,5.15,4.75
4.89,4.83,5.03,4.61
4.90,4.71,4.94,4.69
4.80,4.50,4.85,4.42
4.44,4.63,4.67,4.25
4.66,4.82,5.00,4.65
4.82,4.62,4.83,4.55
4.60,4.57,4.66,4.49
4.57,4.82,4.88,4.45
4.70,4.71,4.77,4.65
4.80,4.84,4.95,4.71
4.84,4.70,4.90,4.64
4.81,4.57,4.81,4.57
4.50,4.52,4.62,4.32
4.58,4.73,4.76,4.55
4.73,4.66,4.81,4.61
4.69,4.59,4.80,4.51
4.59,4.62,4.68,4.48
4.60,4.57,4.67,4.54
4.65,4.85,4.88,4.61
4.88,4.86,5.04,4.79
4.80,4.78,4.80,4.64
4.78,4.60,4.79,4.56
4.59,4.63,4.72,4.55
4.69,4.73,4.76,4.64
4.72,4.65,4.79,4.61
4.60,4.62,4.63,4.50
4.57,4.67,4.69,4.56
4.69,4.83,4.85,4.63
4.72,4.76,4.84,4.72
4.72,4.60,4.72,4.54
4.59,4.69,4.71,4.57
4.60,4.66,4.67,4.55
4.69,4.62,4.69,4.60
4.71,4.66,4.75,4.61
4.65,4.61,4.72,4.59
4.39,4.66,4.68,4.36
4.65,4.77,4.81,4.65
4.73,4.68,4.77,4.63
4.64,4.48,4.64,4.45
4.52,4.58,4.65,4.47
4.55,4.49,4.62,4.35
4.43,4.49,4.56,4.37
4.45,4.44,4.56,4.35
4.46,4.45,4.49,4.41
4.40,4.20,4.41,4.19
4.26,3.95,4.26,3.90
3.90,3.66,3.95,3.51
3.61,3.48,3.64,3.45
3.59,3.52,3.62,3.49
3.47,3.08,3.47,3.05
3.08,2.88,3.11,2.87
3.12,3.22,3.24,2.92
3.18,3.28,3.29,3.13
3.36,3.27,3.37,3.21
3.24,3.39,3.43,3.18
3.43,3.29,3.49,3.25
3.31,3.32,3.34,3.21
3.37,3.28,3.40,3.27
3.20,3.24,3.31,3.20
3.26,3.11,3.30,3.11
3.11,3.22,3.27,3.11
3.27,3.11,3.28,3.10
3.12,3.27,3.30,3.12
3.28,3.22,3.29,3.22
3.23,3.16,3.31,3.14
3.15,3.08,3.15,2.98
3.06,3.07,3.11,3.00
3.05,3.06,3.08,2.89
3.04,2.95,3.10,2.93
2.99,2.83,3.00,2.82
2.82,2.79,2.87,2.72
2.74,2.70,2.83,2.65
2.67,2.75,2.76,2.58
2.75,2.80,2.85,2.75
2.76,2.67,2.79,2.62
2.66,2.65,2.69,2.63
2.72,2.80,2.82,2.61
2.95,2.81,3.02,2.79
2.82,2.67,2.90,2.67
2.59,2.77,2.78,2.55
2.76,2.70,2.78,2.67
2.73,2.80,2.87,2.70
2.79,2.94,2.94,2.79
2.97,3.10,3.13,2.97
3.12,3.03,3.15,2.97
3.07,3.05,3.13,2.99
3.08,2.98,3.09,2.94
2.96,2.91,3.03,2.91
2.94,2.96,3.00,2.91
2.97,2.84,2.97,2.81
2.85,2.90,3.02,2.85
2.91,2.77,2.91,2.73
2.75,2.66,2.75,2.61
2.64,2.53,2.64,2.48
2.55,2.39,2.55,2.36
2.40,2.38,2.45,2.26
2.39,2.50,2.60,2.39
2.49,2.48,2.54,2.42
2.55,2.61,2.62,2.51
2.63,2.69,2.75,2.63
2.68,2.72,2.73,2.58
2.72,2.75,2.76,2.67
2.73,2.83,2.87,2.69
2.84,2.79,2.87,2.70
2.75,2.69,2.75,2.65
2.66,2.59,2.67,2.53
2.60,2.64,2.64,2.54
2.64,2.55,2.71,2.53
2.50,2.53,2.55,2.45
2.51,2.45,2.53,2.41
2.40,2.35,2.40,2.23
2.33,2.53,2.56,2.22
2.49,2.51,2.52,2.33
2.52,2.53,2.59,2.47
2.53,2.46,2.55,2.38
2.43,2.30,2.43,2.25
2.28,2.28,2.34,2.23
2.25,2.14,2.26,2.11
2.14,2.04,2.15,1.99
2.06,2.17,2.18,2.02
2.15,2.20,2.25,2.10
2.20,1.69,2.20,1.69
1.80,1.88,1.95,1.78
1.89,1.93,1.94,1.86
2.00,2.00,2.07,1.93
1.99,1.95,2.03,1.93
1.93,1.98,2.00,1.91
1.99,1.97,2.07,1.97
1.99,1.93,2.02,1.89
1.94,1.96,1.99,1.88
1.96,1.95,1.96,1.88
1.95,1.97,2.02,1.91
1.96,2.02,2.04,1.96
2.02,1.94,2.02,1.93
1.93,1.98,1.99,1.89
1.85,1.76,1.85,1.72
1.75,1.72,1.76,1.69
1.73,1.72,1.74,1.69
1.70,1.62,1.71,1.60
1.63,1.51,1.63,1.50
1.52,1.58,1.59,1.50
1.61,1.56,1.61,1.50
1.56,1.50,1.57,1.46
1.50,1.47,1.50,1.43
1.45,1.41,1.47,1.38
1.41,1.36,1.41,1.32
1.30,1.32,1.34,1.23
1.20,1.14,1.20,1.02
1.20,1.15,1.23,1.10
1.12,1.06,1.15,1.05
1.09,1.05,1.13,1.02
1.06,1.13,1.16,1.03
1.18,1.21,1.21,1.12
1.21,1.15,1.21,1.12
1.16,1.27,1.28,1.13
1.32,1.27,1.33,1.24
1.29,1.31,1.31,1.21
1.31,1.25,1.32,1.25
1.23,1.28,1.30,1.16
1.22,1.18,1.27,1.16
1.16,1.12,1.21,1.10
1.15,1.07,1.16,1.04
1.08,1.05,1.09,1.03
1.03,0.95,1.05,0.95
0.99,0.96,1.04,0.95
1.05,1.13,1.18,1.01
1.09,1.19,1.19,1.03
1.17,1.16,1.19,1.13
1.12,1.10,1.18,1.09
1.10,1.09,1.12,1.05
1.07,1.11,1.13,1.03
1.11,1.04,1.11,1.04
1.00,1.07,1.10,1.00
1.06,1.02,1.08,1.02
1.03,1.01,1.06,1.00
1.03,1.02,1.05,1.00
1.00,0.97,1.00,0.96
0.99,1.01,1.04,0.97
1.01,1.04,1.04,1.00
1.07,1.18,1.22,1.07
1.20,1.20,1.27,1.10
1.20,1.17,1.24,1.13
1.15,1.13,1.17,1.12
1.12,1.10,1.15,1.09
1.11,1.20,1.22,1.07
1.16,1.16,1.20,1.11
1.13,1.13,1.16,1.12
1.11,1.10,1.13,1.09
1.11,1.06,1.17,1.06
1.06,1.09,1.09,1.02
1.08,1.05,1.08,1.04
1.09,1.11,1.12,1.01
1.08,1.00,1.11,0.99
1.03,0.96,1.05,0.96
