EZA,iShares MSCI South Africa Index Fund,NASDAQ
57.64,57.90,58.45,57.32
57.18,57.33,57.57,56.44
57.92,57.60,58.45,57.42
57.64,58.48,58.75,57.18
58.25,57.96,58.81,57.88
57.91,58.40,58.94,57.78
59.77,60.56,60.80,59.60
60.87,61.31,61.36,60.63
61.79,61.92,62.03,61.47
61.01,60.37,61.03,60.22
60.46,60.94,61.23,60.46
61.98,61.15,62.00,61.04
61.64,62.08,62.17,61.55
63.67,63.50,63.75,63.23
63.74,63.95,64.59,63.42
63.70,64.00,64.03,63.22
63.51,63.49,63.53,63.06
63.26,63.00,63.45,62.91
63.87,64.52,64.55,63.86
64.51,64.69,65.14,63.93
64.90,65.01,65.48,64.70
64.66,64.60,65.42,64.37
65.77,65.75,66.04,65.56
65.98,65.67,66.10,65.60
65.93,66.91,66.99,65.74
66.80,66.82,67.22,66.60
67.00,67.22,67.41,66.46
67.56,67.95,68.03,67.50
67.44,67.18,67.62,66.38
67.80,68.81,69.00,67.80
68.79,69.04,69.50,68.76
68.85,68.03,68.88,67.57
68.30,68.88,69.10,68.12
68.83,68.83,69.19,68.50
68.60,69.13,69.35,68.05
69.72,70.39,70.80,69.64
70.29,70.15,70.70,69.71
69.84,69.54,70.15,69.00
69.51,70.89,70.89,69.27
68.39,67.67,68.58,67.31
68.06,68.30,68.90,67.80
69.14,68.34,69.60,67.46
68.33,68.43,68.43,67.85
68.76,68.54,68.93,68.14
68.00,67.86,68.27,67.19
67.22,66.76,67.22,65.83
66.97,67.47,67.64,66.95
67.71,67.73,68.37,67.54
67.89,68.10,68.44,67.70
68.73,69.34,69.63,68.70
69.73,70.66,70.76,69.41
71.81,72.00,72.02,71.22
71.76,71.99,72.19,71.43
71.47,72.06,72.06,71.13
72.64,70.86,72.99,70.70
71.69,71.72,72.08,70.99
71.42,71.74,71.80,71.02
71.28,70.51,72.09,70.31
71.08,70.60,71.59,70.58
69.71,68.64,70.06,68.34
69.50,69.52,70.31,69.31
70.28,70.42,70.80,69.84
70.03,70.63,70.73,69.52
69.86,70.08,70.30,69.16
68.53,67.72,68.61,67.50
68.66,68.90,69.05,68.48
67.88,67.79,68.29,67.63
67.35,67.87,67.95,66.38
66.64,66.72,66.98,66.02
67.78,68.20,68.52,67.63
69.00,70.85,70.90,68.81
70.66,71.87,71.97,70.52
71.43,72.26,72.30,71.40
72.03,71.15,72.24,71.06
71.19,71.34,71.65,70.73
71.86,71.71,71.95,71.36
71.55,71.90,72.06,71.23
71.91,72.17,72.53,71.87
72.03,72.35,72.79,72.03
72.52,71.76,72.93,71.66
72.24,72.22,72.58,71.54
72.26,72.06,72.26,71.76
72.42,72.33,72.59,72.00
71.68,71.92,72.03,71.56
71.86,72.01,72.07,71.66
71.99,72.63,72.69,71.95
72.45,72.45,72.59,71.95
72.82,73.03,73.28,72.78
73.33,73.71,73.90,73.33
74.01,74.22,74.36,73.55
74.24,74.68,75.07,74.14
74.94,74.82,75.27,74.56
74.03,74.15,74.16,73.34
72.91,73.43,73.74,72.50
72.85,71.98,72.88,71.70
71.27,71.44,72.21,70.74
70.81,71.15,71.20,70.33
71.50,71.18,71.85,70.88
72.01,72.18,72.59,71.65
72.63,71.67,72.63,71.59
71.21,71.72,71.93,70.75
70.84,71.52,71.52,70.84
70.68,69.32,70.68,69.11
68.56,68.17,68.62,67.55
68.56,68.16,68.62,67.90
68.23,68.75,69.06,68.23
67.64,67.54,67.74,67.10
67.81,68.07,68.21,67.59
68.06,67.99,68.49,67.77
66.27,64.80,66.58,64.51
65.08,65.59,65.74,65.01
66.06,66.67,66.78,65.65
66.69,66.61,67.11,66.54
66.67,66.79,67.00,65.90
66.99,67.07,67.32,66.56
66.46,66.52,66.92,66.04
66.31,67.47,67.49,66.29
66.62,65.90,66.80,65.53
65.40,65.61,65.93,64.94
65.69,66.99,67.23,65.63
66.50,66.16,66.50,65.87
66.38,65.72,66.38,65.63
66.15,66.63,66.79,66.07
66.69,67.68,67.92,66.69
67.90,68.31,68.31,67.46
67.62,66.50,68.22,66.29
67.15,66.78,67.36,66.02
66.72,67.02,67.10,66.00
67.86,68.31,68.45,67.70
68.91,69.37,69.38,68.67
69.06,67.95,69.17,67.67
69.15,69.44,69.67,68.97
70.33,70.30,70.46,69.67
70.14,69.82,70.14,69.28
70.37,69.28,70.79,69.07
69.51,70.01,70.31,69.08
70.34,70.05,70.34,69.64
68.31,67.67,68.31,67.38
68.01,69.03,69.54,68.01
68.34,69.65,69.68,68.04
65.79,66.64,66.99,65.06
66.57,64.85,67.25,64.26
65.33,65.22,66.04,65.09
66.16,65.43,66.36,65.20
66.97,67.03,67.29,66.62
67.28,67.98,68.22,67.28
68.28,69.02,69.33,67.98
69.56,70.02,70.34,69.26
69.98,70.19,70.46,69.56
69.81,69.60,69.86,69.51
70.06,70.90,71.05,70.06
71.63,72.34,72.82,71.63
72.37,72.93,73.04,72.25
73.54,74.20,74.43,73.19
74.53,74.49,74.76,74.10
74.13,74.64,74.97,74.00
75.06,75.61,75.78,75.06
75.65,75.39,75.80,74.71
75.64,75.62,75.99,75.15
75.18,74.30,75.30,74.19
73.92,73.10,74.08,72.80
73.38,72.34,73.48,71.82
71.47,72.03,72.14,70.70
71.30,71.95,71.99,70.64
70.00,69.87,70.00,68.69
70.20,71.07,71.09,70.06
72.15,72.83,73.08,71.82
73.58,74.19,74.28,73.46
74.27,73.70,74.42,73.36
74.22,74.73,74.73,73.94
75.26,75.71,75.85,73.99
74.72,75.87,75.92,74.70
76.64,76.87,77.19,76.21
77.14,76.68,77.58,76.38
75.39,74.53,75.39,73.94
73.88,73.13,73.90,72.53
71.46,71.11,71.80,70.41
72.50,72.06,73.58,71.51
71.79,71.78,72.00,71.05
71.74,72.41,72.59,71.34
71.99,70.32,71.99,69.68
69.58,70.32,70.65,69.02
69.94,68.56,69.94,68.07
68.82,69.22,69.86,68.72
68.64,69.44,69.56,68.40
69.71,70.53,70.71,69.33
70.54,70.78,71.02,70.23
70.70,70.11,70.93,69.83
67.69,67.91,68.24,67.25
68.74,69.08,69.40,68.74
68.21,69.12,69.48,68.11
69.66,70.30,70.39,69.33
70.82,70.85,71.41,70.56
72.89,72.88,73.00,72.20
72.57,71.46,72.92,71.36
72.22,72.64,72.74,71.42
71.51,71.94,72.52,71.51
71.34,70.33,71.84,70.22
72.12,71.47,72.25,71.44
71.50,71.32,71.67,71.07
71.20,71.47,71.95,71.08
70.61,70.02,70.76,69.57
70.45,69.75,70.45,69.38
70.02,70.44,70.78,70.00
69.75,68.68,70.07,68.34
68.17,68.15,68.81,67.43
69.01,68.86,69.34,68.50
68.99,69.21,69.56,68.91
69.85,70.98,71.10,69.83
68.55,68.09,69.22,68.04
66.87,68.00,68.13,66.48
67.45,66.97,67.51,66.80
67.00,67.58,68.02,66.87
68.06,69.10,69.15,68.00
69.06,69.96,70.14,68.69
70.50,71.07,71.08,70.16
70.32,71.64,71.71,70.09
71.52,71.73,72.15,71.34
71.42,71.55,72.00,71.00
72.28,72.66,72.88,72.25
71.06,71.38,71.53,70.63
70.12,69.22,70.24,69.00
69.04,69.30,70.28,68.81
69.64,70.04,70.96,69.40
70.82,70.00,71.03,69.78
70.36,70.70,70.97,70.10
69.18,69.20,69.29,68.57
69.91,69.99,70.08,69.22
69.96,70.12,70.28,69.72
70.41,71.35,71.48,70.25
70.82,71.09,71.24,70.14
70.55,70.98,71.48,70.55
71.75,71.60,72.15,71.37
71.88,70.44,71.89,70.22
70.21,69.44,70.60,69.32
69.63,69.81,70.19,69.31
70.98,70.70,71.19,69.73
69.99,68.36,70.37,68.26
69.64,69.35,70.01,68.20
67.08,63.21,67.10,63.21
65.53,64.85,66.22,62.74
63.52,59.41,63.87,59.09
59.78,62.39,62.69,57.44
61.56,60.12,63.08,60.12
61.75,64.04,65.19,61.59
64.63,64.44,64.87,63.37
64.65,66.06,66.07,64.32
64.92,64.53,65.30,63.86
65.21,65.34,66.09,64.84
63.73,62.68,63.73,61.99
62.85,62.56,64.37,62.46
64.34,63.55,64.42,63.29
62.97,64.27,64.41,62.41
63.87,63.98,64.30,62.90
63.95,62.91,64.22,62.29
62.90,64.52,64.74,62.28
66.57,66.98,67.12,66.33
66.64,67.33,67.81,66.26
68.36,68.86,69.03,68.09
69.52,68.79,70.24,68.70
67.37,67.41,68.19,67.02
65.60,66.07,66.15,65.04
66.86,68.49,68.56,66.54
67.61,67.26,68.45,66.95
66.30,65.69,66.63,65.05
64.36,64.93,65.25,63.40
64.74,65.85,66.08,64.32
65.65,65.65,66.44,64.12
66.33,66.51,66.90,65.60
66.10,66.32,66.54,65.66
64.21,64.22,64.60,63.36
63.90,63.48,64.71,63.26
63.05,60.43,63.07,60.38
58.39,57.08,58.94,56.50
57.09,57.50,57.90,56.29
58.79,59.64,59.68,57.48
61.40,61.29,62.46,60.80
61.70,59.82,62.22,59.65
60.05,58.95,60.38,57.80
56.89,56.54,58.69,56.16
57.08,56.22,58.28,56.13
55.52,57.64,57.64,54.64
57.10,58.39,58.54,56.56
58.32,59.85,59.99,57.30
59.97,59.24,60.38,58.63
61.14,61.92,62.01,61.14
60.64,61.09,61.30,59.79
62.09,62.21,63.18,62.09
61.76,61.62,61.94,60.53
61.95,62.21,62.21,61.31
61.42,60.24,61.42,60.04
60.02,62.01,62.42,59.30
61.34,60.01,61.34,59.72
59.63,58.81,59.85,57.80
59.61,60.83,60.89,59.60
61.22,62.97,63.00,61.07
62.33,61.87,62.96,61.64
62.68,62.93,63.21,61.39
65.06,66.82,67.70,64.80
65.57,66.73,66.83,65.57
65.14,63.40,65.29,63.19
60.86,61.61,62.54,60.36
62.79,63.37,63.87,62.41
64.75,65.18,65.63,63.76
64.22,64.16,64.29,63.33
63.98,65.12,65.21,63.78
65.26,66.06,66.22,64.44
63.45,61.69,63.45,61.37
63.18,63.14,64.00,62.49
63.86,64.16,64.68,63.76
63.80,63.10,64.00,62.83
62.67,62.72,63.27,61.88
62.36,62.19,63.65,62.00
62.08,60.27,62.46,59.86
61.20,60.31,61.22,60.31
59.64,58.62,59.78,58.08
58.33,58.51,59.15,57.92
57.79,56.78,57.79,56.78
57.66,57.01,58.53,57.01
60.08,60.43,60.70,59.82
59.31,59.47,60.10,59.03
62.32,64.78,64.78,62.32
63.69,63.86,64.40,63.33
64.50,62.87,64.60,62.79
64.51,64.17,64.99,63.70
63.79,64.32,64.91,63.31
63.79,64.74,65.24,63.49
63.73,61.58,63.73,61.52
62.65,63.97,64.24,62.64
62.20,61.09,62.20,60.74
61.29,59.46,61.88,59.36
59.59,58.87,59.96,58.72
60.02,59.22,60.28,58.89
59.78,59.93,60.50,59.62
59.69,58.31,59.75,58.19
59.21,60.24,60.33,59.21
59.67,59.77,59.82,58.88
60.06,60.54,61.08,60.06
60.90,60.95,61.19,60.77
61.01,61.24,61.27,60.91
61.32,60.17,61.43,60.14
60.36,60.78,60.94,60.06
61.29,61.07,61.69,60.98
62.76,62.70,63.29,62.52
61.97,62.05,62.52,61.48
61.07,61.30,61.54,60.64
61.73,61.28,61.99,61.26
61.85,61.65,62.07,61.42
62.85,62.35,62.89,62.24
61.90,62.33,62.33,61.55
62.80,63.10,63.26,62.42
61.77,61.76,61.97,60.93
63.15,63.15,63.73,62.91
63.62,65.18,65.24,63.47
65.05,65.29,65.45,64.74
64.83,65.28,65.47,64.49
65.12,65.38,65.65,64.85
64.27,65.02,65.07,63.98
64.08,65.92,66.13,63.39
66.50,66.12,66.61,65.80
66.14,66.92,67.26,66.12
65.12,65.60,65.88,64.90
66.31,66.53,66.66,65.93
67.53,68.72,69.07,67.53
68.53,68.85,69.62,68.46
69.36,70.21,70.24,68.78
68.52,69.04,69.10,68.29
68.91,69.14,69.35,68.31
68.90,68.82,69.47,68.53
69.08,69.00,69.19,68.63
67.17,67.36,67.40,66.72
67.99,68.25,68.37,67.76
67.71,67.57,67.75,67.01
67.78,67.18,67.91,66.99
66.14,67.44,67.44,65.65
67.46,67.30,67.61,67.03
67.85,67.39,68.13,67.25
67.37,67.13,67.44,66.81
67.85,68.42,68.61,67.64
68.84,69.37,69.48,68.83
68.12,69.18,69.68,68.06
69.63,70.60,70.69,69.58
71.37,69.71,71.54,69.54
70.40,71.35,71.46,70.40
70.46,70.39,70.91,70.13
69.88,69.53,69.90,69.24
67.71,66.92,67.77,66.64
67.57,68.37,68.50,67.37
69.09,69.67,69.90,68.98
69.73,69.61,70.25,69.47
69.16,69.28,69.61,68.78
69.48,70.12,70.25,69.40
69.33,68.56,69.69,68.28
69.06,69.49,69.73,68.71
69.30,69.55,69.78,69.30
69.10,69.55,69.79,69.10
68.31,68.48,70.08,67.85
68.51,68.19,68.51,67.94
67.05,67.11,67.25,66.64
67.18,67.46,67.50,66.58
68.77,69.59,69.68,68.68
69.64,69.55,69.93,69.55
68.88,68.01,68.97,67.56
67.26,68.09,68.32,66.98
68.48,68.91,68.93,67.77
68.53,69.67,70.05,68.38
69.20,68.45,69.57,67.89
67.08,66.06,67.08,65.79
66.45,66.65,67.16,66.32
65.76,65.74,66.11,65.58
65.72,64.73,65.83,64.38
65.55,64.96,65.68,64.94
65.33,66.52,66.69,65.27
66.19,65.47,66.19,65.46
65.58,65.70,65.97,65.01
66.73,67.05,67.31,66.50
66.70,67.19,67.44,66.70
66.92,66.51,67.12,66.12
67.29,67.44,67.94,67.22
66.77,66.60,66.77,66.03
66.97,66.91,67.33,66.77
67.54,67.95,68.05,67.38
67.88,68.11,68.21,67.51
68.39,68.36,68.45,67.99
68.41,68.60,68.66,68.25
68.39,69.47,69.88,68.39
68.78,68.77,68.91,68.25
68.90,68.15,69.08,67.97
68.36,67.62,68.46,67.48
67.10,67.71,67.89,67.10
66.74,66.33,66.78,65.36
64.57,65.07,65.65,63.98
65.75,65.79,65.96,65.39
64.80,64.70,65.81,64.64
63.50,62.92,63.60,62.87
62.83,61.96,62.96,61.69
62.56,62.39,63.61,62.28
62.57,62.01,62.85,62.01
62.18,61.31,62.40,61.09
61.70,62.86,62.95,61.48
63.03,62.45,63.58,61.99
61.55,62.21,62.24,60.38
62.23,62.36,62.60,61.56
61.65,61.99,62.35,61.62
62.72,63.05,63.55,62.41
61.43,61.23,61.63,60.85
61.80,62.27,62.59,61.00
61.69,61.31,61.97,61.09
62.05,62.41,62.64,61.79
62.80,62.87,63.00,62.13
63.34,64.39,64.63,63.04
65.49,64.20,65.64,64.08
62.97,63.74,63.88,62.70
63.97,62.32,64.10,62.18
63.34,63.72,63.89,62.89
63.71,63.86,64.59,63.55
63.70,64.08,64.30,63.38
63.80,64.79,64.96,63.76
64.81,66.01,66.15,64.54
66.47,66.89,67.31,66.35
66.85,67.17,67.92,66.43
65.21,63.26,65.47,63.17
63.85,63.07,63.93,62.76
62.37,62.42,62.57,61.81
62.66,62.86,62.98,61.86
62.57,62.37,62.88,62.19
61.50,61.68,61.79,60.87
62.99,63.90,63.96,62.99
63.77,63.99,64.09,63.18
64.70,65.16,65.25,64.35
64.81,65.22,65.65,64.48
64.09,64.19,64.30,63.73
63.53,63.82,63.93,63.17
64.77,63.31,65.00,63.10
63.36,63.27,63.63,62.87
62.11,62.14,62.55,61.55
62.41,63.15,63.26,62.41
63.28,63.69,63.85,63.02
63.90,64.44,64.49,63.12
63.80,64.49,64.56,63.80
64.28,64.64,64.71,63.95
63.74,63.63,63.83,63.43
61.60,61.68,61.99,61.03
61.89,61.61,61.98,61.05
62.77,62.90,63.30,62.34
63.58,64.32,64.58,63.44
65.31,66.52,66.60,65.14
65.69,66.12,66.38,65.69
65.53,64.47,65.57,64.43
65.39,64.61,65.77,64.52
64.15,64.53,65.11,64.05
67.11,67.35,67.83,66.78
67.28,67.47,67.78,67.28
67.16,67.48,67.76,67.02
66.75,67.54,67.80,66.61
67.50,67.66,67.88,67.27
66.92,68.08,68.15,66.82
67.36,66.99,67.49,66.64
67.16,67.03,67.44,66.85
66.44,66.44,66.88,66.34
66.80,67.44,67.74,66.52
65.78,65.65,65.98,65.31
65.60,65.71,65.86,65.35
66.76,66.50,67.15,66.24
65.87,66.75,66.86,65.71
66.40,65.90,66.53,65.72
65.59,65.71,65.99,65.29
65.72,65.29,66.01,65.18
65.59,65.07,65.67,64.98
65.57,65.28,65.77,65.18
64.60,64.02,64.60,63.85
64.30,64.78,65.18,63.67
64.98,64.84,65.13,64.46
64.42,64.11,64.66,63.95
65.04,66.88,67.36,64.89
66.94,67.60,67.60,66.86
67.06,66.63,67.31,66.60
66.63,67.08,67.50,66.56
66.34,66.02,66.43,65.45
65.71,68.20,68.72,65.28
67.34,67.30,67.85,66.86
67.73,67.13,67.73,66.82
67.73,68.29,68.39,67.37
68.00,67.78,68.03,67.52
66.56,67.47,67.47,66.22
67.54,67.34,68.04,67.15
66.95,67.36,67.60,66.77
67.89,66.95,68.33,66.88
66.78,66.62,66.86,66.12
67.11,67.23,67.52,66.43
66.45,66.75,67.22,66.22
67.03,66.70,67.66,66.47
67.22,67.25,67.43,66.74
66.55,65.73,66.55,65.65
65.38,65.43,65.53,65.02
64.31,63.24,64.60,62.93
61.84,62.07,62.09,61.60
62.67,62.56,62.94,62.01
63.70,63.25,63.94,63.14
63.83,64.12,64.38,63.83
64.73,63.76,65.23,63.62
63.77,63.73,64.07,63.39
64.91,65.05,65.27,64.70
66.37,66.10,66.86,65.97
65.19,65.26,65.66,64.85
65.03,64.46,65.29,64.41
65.39,65.67,65.92,65.19
64.30,64.05,64.42,63.52
64.66,64.00,64.69,63.87
65.15,64.75,65.22,64.37
65.04,65.33,65.63,64.92
65.41,65.63,65.89,64.92
65.61,66.02,66.15,65.61
66.55,65.58,66.69,65.33
66.09,66.40,66.63,65.94
66.50,67.41,67.53,66.47
67.32,66.84,67.32,65.87
66.51,65.77,66.99,65.70
66.11,66.15,66.66,65.88
66.19,66.23,66.39,65.98
65.70,65.85,66.27,65.67
64.89,63.77,65.20,63.63
63.44,63.47,63.95,63.19
64.20,64.65,64.70,63.71
65.05,65.53,65.61,65.05
64.81,65.47,65.65,64.66
64.57,64.78,64.92,64.24
65.00,65.41,65.46,64.66
65.14,65.37,65.40,65.00
65.28,65.09,65.52,64.97
64.38,65.22,65.47,64.23
65.65,65.97,66.00,65.34
65.02,64.68,65.21,64.35
64.94,64.63,65.07,64.63
65.17,65.46,65.61,64.99
65.87,65.89,66.37,65.67
66.74,67.14,67.22,66.66
67.01,67.39,67.39,66.94
66.92,67.94,68.02,66.92
67.43,67.88,68.14,67.43
68.29,68.27,68.73,67.90
68.08,67.97,68.37,67.79
67.83,68.26,68.37,67.68
68.44,69.04,69.14,68.40
68.09,69.17,69.22,67.83
68.81,69.01,69.44,68.72
68.92,69.94,69.98,68.84
68.58,69.20,69.27,68.58
68.74,68.73,69.04,68.53
68.94,68.94,69.28,68.79
69.92,70.23,70.48,69.72
69.96,70.39,70.70,69.88
70.44,71.58,71.59,70.44
70.82,71.71,71.72,70.42
70.68,70.72,71.59,70.60
70.76,71.18,71.34,70.38
70.84,70.93,71.02,70.53
70.56,70.28,70.73,69.94
70.11,70.24,70.50,70.07
69.93,69.89,69.98,69.53
68.86,68.66,69.04,68.48
68.55,68.74,68.77,68.05
67.25,67.36,67.36,66.80
67.05,67.32,67.48,66.81
67.86,67.62,68.01,67.55
66.86,67.05,67.27,66.76
67.04,67.23,67.26,66.86
66.22,65.70,66.31,65.60
65.87,65.80,66.33,65.62
66.54,66.77,66.93,66.42
65.67,65.43,65.94,65.00
65.91,66.17,66.36,65.79
65.01,65.38,65.55,65.01
66.22,66.24,66.60,66.16
66.96,67.57,67.71,66.78
66.41,66.85,66.99,66.41
67.44,67.73,68.02,67.43
66.68,67.13,67.19,66.50
67.49,67.46,67.74,66.91
67.69,67.93,67.96,67.64
67.74,67.88,68.04,67.49
66.93,67.63,67.92,66.93
67.92,67.81,67.93,67.49
67.53,68.46,68.47,67.24
67.95,67.30,68.01,67.23
66.92,67.21,67.41,66.83
67.07,66.09,67.13,65.94
65.79,65.17,65.79,64.90
65.55,65.62,65.65,65.17
66.47,65.21,66.73,65.21
66.14,66.11,66.39,65.68
65.10,65.94,65.96,64.80
64.85,64.49,65.15,64.45
65.08,65.75,65.75,64.87
64.40,64.47,64.62,64.07
65.79,66.10,66.15,65.70
65.71,65.64,65.78,65.23
65.21,65.14,65.46,65.11
66.33,66.37,66.46,65.79
65.90,66.45,66.46,65.84
65.60,65.18,65.93,65.13
64.79,64.00,64.79,63.97
64.53,64.70,64.97,64.23
64.68,64.29,64.68,64.16
63.87,63.94,64.44,63.87
63.80,63.29,63.94,62.88
63.43,63.27,63.65,63.20
63.26,63.10,63.29,63.00
62.78,62.97,62.97,62.50
63.20,63.21,63.46,62.77
64.11,64.26,64.48,63.87
62.95,63.45,63.47,62.64
63.69,63.85,63.89,63.51
63.61,63.38,63.85,63.26
63.80,63.23,63.80,63.19
62.91,62.13,62.99,61.91
62.06,62.53,62.70,61.96
61.65,62.45,62.51,61.50
62.95,63.61,63.62,62.78
63.03,63.89,64.25,63.01
64.36,64.71,65.08,64.33
64.67,64.83,64.95,64.38
64.13,63.26,64.31,62.95
61.64,59.79,61.64,59.74
61.55,61.93,62.09,61.23
61.08,60.65,61.25,60.29
60.67,60.59,60.84,60.27
61.62,61.40,61.65,61.17
61.04,60.91,61.04,60.18
61.48,62.04,62.06,61.43
61.90,62.50,62.70,61.90
63.15,63.05,63.51,62.98
63.21,62.54,63.21,62.29
63.42,64.01,64.08,63.42
63.55,64.20,64.26,63.03
64.15,63.40,64.15,63.14
64.20,65.12,65.18,64.20
64.90,65.67,65.82,64.90
65.33,65.49,65.51,64.95
64.90,64.69,65.03,64.49
65.20,65.88,65.88,65.13
66.12,65.25,66.13,64.98
65.02,65.22,65.27,64.67
65.03,64.74,65.14,64.71
64.62,64.88,65.01,64.59
64.80,65.13,65.17,64.66
64.91,64.86,65.55,64.72
64.28,64.25,64.29,63.98
62.51,63.39,63.45,62.51
62.84,63.20,63.65,62.42
63.52,62.28,64.28,62.01
61.47,62.27,62.31,61.36
61.53,61.77,61.98,61.43
61.80,61.77,62.10,61.62
60.94,60.45,60.98,60.27
59.47,59.60,60.07,59.16
58.56,58.94,59.97,58.50
58.96,60.38,60.54,58.47
60.78,59.54,61.01,59.26
58.93,57.85,59.10,57.82
57.31,58.19,58.19,57.11
57.66,58.01,58.48,57.54
57.05,56.58,57.12,56.57
55.29,55.55,56.08,55.03
56.26,55.32,56.40,55.24
56.34,58.09,58.11,56.30
58.13,57.60,58.24,57.32
58.15,57.56,58.46,57.30
57.95,58.95,59.06,57.95
58.55,56.53,58.99,56.46
