HEI,Heico Corporation Common Stock,NASDAQ
36.41,37.82,37.84,36.06
38.73,39.53,39.58,38.00
39.82,39.66,40.28,39.59
39.49,39.70,40.45,39.39
39.93,39.45,40.12,38.73
38.80,39.53,40.30,38.80
40.27,40.17,40.68,39.47
40.06,40.34,40.66,39.57
40.50,40.72,41.12,40.10
40.35,39.89,40.91,39.82
39.33,38.17,39.59,37.99
38.58,38.29,38.58,38.09
37.80,37.14,37.94,36.81
36.29,35.43,36.51,35.24
34.84,35.24,35.47,34.61
35.00,34.90,35.32,34.84
34.60,35.67,35.83,34.58
36.19,36.90,37.19,35.97
36.83,37.47,37.97,36.49
37.21,36.64,37.43,36.44
36.36,36.51,36.83,36.09
36.76,35.63,37.01,35.59
35.13,35.05,35.48,34.67
34.82,36.23,36.44,34.58
41.43,41.76,42.71,38.74
42.19,41.03,43.59,39.27
40.80,40.66,41.43,40.55
40.72,41.49,42.58,40.08
42.31,43.24,43.59,42.05
42.77,42.66,43.40,42.27
43.12,42.74,43.53,42.37
42.73,41.58,43.01,41.35
41.59,41.98,42.26,41.20
42.76,41.34,42.76,40.62
41.42,41.88,42.16,41.06
42.27,43.80,44.05,41.48
43.75,43.42,43.79,43.25
43.33,43.51,43.91,42.46
43.30,42.39,43.30,42.00
42.93,43.14,43.76,41.75
43.22,45.56,45.84,42.92
45.65,45.77,46.76,45.08
45.52,44.67,46.11,44.10
44.32,44.04,45.40,43.92
44.56,45.62,45.91,44.41
45.76,44.82,45.94,44.56
45.04,45.91,46.03,42.86
45.61,46.40,46.85,45.39
46.88,45.64,47.53,45.18
46.18,46.19,46.37,45.52
46.11,44.92,46.53,44.75
45.52,46.95,47.15,45.21
46.96,47.21,47.52,46.56
47.56,47.19,47.99,47.00
47.35,47.63,47.99,46.92
47.73,47.39,48.02,47.27
47.25,47.35,47.62,46.77
47.49,49.12,49.37,47.24
49.20,49.34,49.81,48.87
50.05,49.03,50.05,48.53
49.00,49.50,49.64,48.54
48.64,48.42,49.30,48.09
48.82,49.13,49.37,48.50
49.46,48.49,49.46,47.20
48.52,48.87,49.02,48.20
49.28,49.30,49.85,49.14
48.89,50.25,50.52,48.54
49.79,50.20,50.40,49.18
50.75,49.92,50.75,49.15
49.75,49.78,50.25,49.30
50.00,49.70,50.43,49.21
50.45,51.62,51.66,50.10
51.51,51.60,52.08,50.51
52.56,52.54,52.75,52.11
52.75,51.71,52.75,51.46
51.41,51.11,51.81,50.99
51.14,50.49,51.50,49.79
50.77,51.77,51.89,49.70
51.41,50.16,51.41,50.05
49.53,48.99,49.67,48.91
49.37,49.06,49.75,48.64
48.55,48.63,48.73,47.99
48.72,48.42,48.77,48.25
49.13,49.52,50.00,48.89
49.38,49.49,49.62,48.70
49.26,50.20,50.52,49.01
49.64,49.90,49.98,49.31
50.53,51.27,51.28,50.22
50.84,51.24,51.80,50.63
50.79,52.23,52.37,50.51
51.68,52.60,52.64,51.29
53.09,53.91,53.95,52.75
53.95,54.85,54.98,53.72
54.48,54.94,54.98,54.27
54.81,55.49,55.61,54.63
56.28,57.65,57.96,55.86
57.98,57.23,58.29,57.11
57.82,55.82,57.82,55.76
56.11,55.65,56.32,55.43
55.95,55.77,56.20,55.65
56.00,56.09,56.66,55.99
56.10,56.34,56.76,55.53
59.00,53.97,59.00,53.77
53.73,52.50,53.73,51.27
52.85,52.49,53.64,52.48
52.83,53.03,53.12,52.28
52.96,52.75,53.10,52.50
52.63,52.42,52.64,52.21
52.29,52.40,52.43,52.04
52.40,52.14,52.46,51.90
52.37,51.91,52.67,51.88
51.79,51.63,52.19,51.58
51.37,51.03,51.95,50.82
51.72,52.15,52.98,51.28
52.43,52.23,52.43,50.95
52.17,52.52,52.63,51.82
52.49,52.90,53.04,52.14
52.90,52.72,53.34,51.85
52.55,52.72,53.16,51.93
52.99,52.93,53.30,52.65
53.48,54.25,54.48,53.35
54.31,54.00,54.60,53.46
54.03,54.66,54.74,53.76
54.43,54.79,54.93,54.16
54.63,53.67,54.94,53.47
53.28,51.89,53.94,51.45
52.69,51.96,53.39,51.84
52.04,52.03,52.48,51.72
51.58,51.58,51.75,50.75
51.65,52.78,53.05,51.50
52.78,51.63,52.78,51.57
51.60,49.65,51.68,49.27
51.72,52.29,54.00,50.64
52.77,54.47,55.08,52.43
54.30,55.40,55.72,54.09
55.27,55.40,55.80,54.03
55.36,55.71,55.79,54.68
55.68,56.20,56.75,55.40
56.22,56.45,56.61,55.74
56.07,56.18,56.71,55.72
55.74,56.18,56.35,55.52
55.89,56.60,56.66,55.80
56.56,57.33,57.46,56.02
57.02,57.03,57.32,56.33
57.12,57.19,57.49,56.57
56.91,56.00,56.91,55.74
56.41,54.70,56.41,54.56
54.12,53.23,54.32,52.71
54.22,56.53,57.87,54.14
57.99,55.43,57.99,54.98
55.65,55.73,55.91,55.12
56.21,55.32,56.49,54.90
55.53,53.35,55.70,53.33
53.26,54.71,54.96,52.62
55.35,56.80,57.35,55.35
56.95,56.71,56.95,55.77
56.75,56.51,56.84,55.47
56.44,58.48,59.15,56.23
58.38,58.77,59.42,58.16
57.93,57.14,58.13,56.86
56.74,57.99,58.07,56.51
57.36,57.60,58.35,57.04
55.96,57.01,57.36,55.96
57.00,56.51,57.00,55.73
57.49,56.72,57.77,56.60
57.49,58.04,58.88,57.22
58.94,59.28,59.71,58.66
59.47,59.11,59.92,59.03
59.04,59.58,59.91,58.35
59.91,59.71,59.91,59.25
59.67,60.20,61.30,59.27
60.47,59.72,60.47,59.49
59.99,62.18,62.25,59.71
62.71,63.72,63.78,62.07
62.77,62.52,63.16,62.41
62.86,61.43,63.43,61.19
61.62,61.72,61.94,60.98
61.48,61.98,62.92,61.41
62.41,62.21,62.72,61.87
62.44,62.43,63.11,62.15
62.95,61.18,63.13,60.66
61.18,60.92,62.03,60.51
60.58,59.71,60.93,59.31
60.24,59.74,60.24,58.91
59.16,59.49,59.64,58.39
59.23,59.35,59.78,58.91
58.35,57.99,58.59,57.44
58.25,57.70,58.50,57.23
58.73,59.54,59.61,58.50
60.04,59.96,60.04,58.90
59.12,59.08,59.42,58.49
47.40,47.43,48.35,46.51
47.36,47.42,47.59,46.86
47.19,47.56,47.68,46.93
47.80,48.16,48.44,47.53
48.17,47.63,48.51,47.59
47.50,46.59,47.83,46.43
46.54,45.39,46.71,45.35
44.92,45.64,46.35,44.76
46.29,48.19,48.46,46.11
47.97,48.94,49.23,47.97
49.32,50.22,50.26,49.32
50.19,49.92,50.28,49.75
49.73,50.72,50.86,49.43
50.88,50.06,51.22,49.80
49.56,49.54,50.24,49.50
48.72,49.76,50.03,48.72
49.92,49.79,50.13,49.62
50.25,50.38,50.57,49.69
50.13,50.41,50.74,49.87
49.25,50.46,50.84,49.25
50.57,49.77,50.75,49.75
51.00,54.71,55.94,50.75
53.90,54.03,54.14,53.00
54.06,53.96,54.27,53.73
54.44,54.98,54.99,53.41
54.95,52.60,54.95,52.23
52.75,52.90,53.29,52.25
52.48,52.17,53.11,52.00
52.17,52.06,52.91,52.00
52.50,52.00,52.50,52.00
52.00,52.02,52.30,51.93
52.18,51.72,52.35,51.63
51.37,50.52,51.48,50.32
50.90,51.56,51.70,50.53
52.21,53.12,53.40,51.98
52.44,52.49,53.33,52.01
52.53,52.86,53.27,52.33
53.13,52.69,54.19,52.58
52.49,53.85,53.98,52.08
54.35,55.25,55.88,53.98
55.05,54.63,55.28,54.55
53.89,54.70,55.00,53.13
54.73,53.24,54.73,53.00
53.20,53.84,54.03,52.72
54.15,54.23,54.54,53.73
54.38,54.21,54.58,53.94
54.49,54.74,55.12,53.95
54.91,55.93,56.22,54.72
55.92,56.25,56.55,55.71
56.13,57.16,57.29,55.53
57.26,57.54,57.98,56.95
57.05,57.74,57.98,56.41
57.25,56.64,57.61,56.26
56.50,56.15,57.04,56.05
56.55,56.31,56.95,55.93
56.32,55.25,56.55,55.16
55.22,55.23,55.58,54.83
54.99,54.31,55.05,53.94
54.62,56.40,56.42,54.62
56.53,56.79,56.92,56.27
57.13,56.91,57.75,56.68
56.94,56.89,57.36,56.44
55.99,56.17,56.77,55.83
56.17,55.42,56.18,55.41
55.00,52.17,55.01,51.84
52.31,52.48,53.34,52.18
52.00,52.26,52.75,50.76
52.56,52.29,53.02,51.47
51.88,51.09,52.82,51.05
51.03,51.19,51.72,49.51
50.30,48.04,50.86,47.99
48.67,46.17,48.67,45.41
44.49,41.36,47.43,41.07
42.62,47.59,48.19,40.05
45.75,44.71,47.36,44.60
45.05,46.15,47.48,44.33
46.81,47.87,47.94,45.90
48.41,48.97,49.24,48.36
48.51,47.97,48.93,47.37
48.28,48.15,48.47,47.53
46.28,45.15,46.90,44.53
44.01,44.17,45.76,44.01
45.59,44.34,45.77,43.68
44.78,49.83,50.16,44.78
50.59,50.98,51.66,47.97
52.95,53.72,54.80,52.12
53.25,54.65,55.03,52.19
55.00,55.06,55.20,53.70
54.78,54.93,55.56,54.33
55.41,54.52,55.63,53.59
54.49,53.50,55.97,52.95
53.02,51.02,53.12,50.89
49.20,51.84,51.95,49.20
52.84,52.35,52.85,52.04
51.89,50.64,52.93,50.37
50.24,48.63,50.55,48.04
47.62,48.55,49.01,47.39
48.75,48.81,49.62,48.13
49.11,49.59,50.47,47.66
50.07,50.18,50.52,49.45
50.58,49.62,51.38,49.53
49.18,48.83,49.36,48.15
49.10,46.66,49.40,46.38
47.20,47.50,49.26,47.15
45.88,45.34,47.61,44.73
45.26,47.17,47.23,45.26
47.56,47.97,48.02,46.13
48.89,50.51,51.09,48.41
50.43,49.36,51.23,49.36
50.75,48.85,51.26,47.42
48.00,49.24,50.00,47.60
48.80,46.07,49.87,46.04
45.75,48.26,48.50,45.18
48.33,52.62,52.67,47.53
52.50,51.88,53.61,50.86
52.75,52.55,53.74,51.57
53.75,54.00,54.20,52.50
53.92,53.94,54.60,53.17
54.35,53.95,54.70,53.61
53.52,53.54,53.80,52.90
54.37,53.43,54.37,52.54
53.03,51.19,53.21,51.07
51.65,52.96,53.34,50.50
52.80,51.72,53.83,51.45
51.78,52.72,52.91,51.06
53.75,53.80,53.98,52.72
53.85,55.48,55.50,53.74
55.16,53.99,55.35,53.88
55.10,55.06,55.33,53.53
57.00,59.28,59.42,55.91
59.22,58.15,59.45,57.67
57.69,57.02,58.75,57.00
54.97,55.22,56.47,54.41
56.39,57.18,57.36,55.97
57.90,59.12,59.25,57.01
58.60,58.34,58.91,57.86
58.27,58.38,58.80,57.28
58.48,59.91,59.91,58.12
58.08,57.60,58.79,57.41
58.43,58.75,59.29,57.87
59.74,60.19,60.48,59.44
60.34,59.43,60.92,59.09
59.35,60.88,60.94,58.92
60.44,58.58,60.44,58.52
58.42,57.67,59.47,57.35
57.60,57.67,58.05,57.11
56.57,56.36,57.14,55.49
56.34,55.21,56.39,54.93
54.72,52.96,54.76,52.76
52.67,52.35,53.87,52.33
54.20,56.01,56.16,54.13
56.30,54.69,56.45,54.66
55.91,59.34,59.39,55.86
58.94,58.32,59.64,58.31
59.05,58.85,59.63,58.32
59.57,59.61,60.03,58.91
59.82,59.83,60.50,59.11
59.38,59.38,59.84,57.88
58.66,57.04,59.17,56.87
57.32,59.99,60.25,57.22
59.23,59.03,59.23,58.08
59.42,57.90,60.22,57.61
57.22,57.95,58.78,57.22
58.64,58.52,59.06,57.61
61.97,56.09,61.97,55.72
55.97,55.44,57.39,55.29
56.84,58.89,58.99,56.77
59.00,59.07,59.24,57.31
59.51,58.98,59.72,58.66
59.07,58.77,59.08,58.43
58.50,59.63,59.91,58.50
59.63,57.86,59.72,57.73
57.91,58.75,59.02,57.44
58.53,58.48,58.83,58.12
59.59,57.85,60.24,57.68
56.57,56.64,57.24,56.34
56.29,56.45,56.59,55.64
56.55,55.97,56.55,55.55
56.33,55.94,56.45,55.26
56.83,56.44,57.17,56.25
56.32,56.49,56.60,55.96
56.53,56.44,56.66,56.11
56.00,54.79,56.26,54.58
55.41,54.66,55.64,54.44
54.59,54.36,54.84,53.87
54.69,55.63,55.69,54.59
55.64,57.08,57.61,55.62
57.00,56.20,57.11,55.87
55.71,54.79,55.71,54.66
54.65,54.54,55.09,54.14
54.70,54.78,54.98,54.30
54.38,55.00,55.14,54.38
54.57,54.79,55.16,54.51
55.25,55.60,56.13,55.15
56.10,58.06,58.16,55.65
58.19,57.73,58.32,57.56
58.75,59.53,59.96,58.66
59.04,57.95,59.04,57.82
57.96,58.58,58.75,57.71
58.83,58.85,59.05,58.23
58.89,58.52,58.95,58.36
58.04,57.97,58.38,57.82
58.78,58.86,59.37,58.52
58.52,58.71,58.92,58.35
59.08,58.43,59.22,58.26
58.50,59.00,59.11,58.35
59.26,58.93,59.59,58.74
58.90,58.59,58.98,58.37
58.43,58.29,58.89,58.01
58.30,56.01,58.30,55.30
56.06,57.00,57.39,56.06
56.51,55.75,56.51,55.42
55.73,55.40,55.99,55.06
55.59,54.68,55.90,54.65
54.51,55.16,55.60,54.51
55.24,54.54,55.30,54.53
54.50,53.75,54.68,53.58
53.31,52.58,53.73,52.51
52.78,52.90,53.44,52.27
53.26,53.39,53.50,52.75
53.35,53.37,54.29,53.17
53.35,53.62,54.41,53.35
54.20,54.97,55.00,53.66
54.96,55.30,55.38,54.81
55.39,53.72,55.39,53.24
53.59,53.44,53.90,53.05
53.40,54.06,54.50,53.00
53.59,52.65,53.75,52.45
52.65,52.77,53.13,51.80
52.17,52.16,52.40,51.40
52.09,52.19,52.33,51.65
52.80,53.74,53.80,52.25
53.76,52.99,53.96,52.96
53.15,52.19,53.15,51.92
51.94,52.10,52.28,51.44
52.81,51.59,52.81,51.59
51.54,51.05,51.59,50.59
51.00,50.71,51.27,50.45
50.22,50.01,50.64,49.68
49.66,49.77,49.96,49.37
50.09,49.90,50.69,49.15
49.91,49.39,50.16,49.14
49.95,49.95,50.18,49.59
50.19,50.58,50.83,50.14
50.21,49.82,50.64,49.63
50.05,49.86,50.31,49.28
50.19,51.93,52.34,49.99
51.73,51.66,52.13,51.11
51.73,50.16,51.94,50.14
50.81,51.73,52.50,50.81
51.29,50.33,51.57,50.19
50.40,50.81,50.83,50.07
41.39,40.88,42.44,40.66
40.91,40.50,40.97,40.40
40.64,40.93,41.01,40.03
41.00,40.32,41.03,40.21
40.21,39.63,40.76,39.62
39.44,39.90,39.90,39.13
39.94,39.61,40.04,39.35
39.30,39.02,39.49,38.69
38.93,39.40,39.58,38.93
39.09,39.44,39.77,39.09
39.03,39.37,39.85,38.90
39.67,39.13,39.67,38.85
38.80,39.08,39.20,38.69
38.63,38.59,39.06,38.30
38.59,38.83,39.29,38.34
38.89,38.65,39.47,38.62
38.59,38.09,38.77,38.09
38.07,36.96,38.07,36.65
36.96,37.74,37.77,36.61
37.68,38.45,39.07,37.42
39.62,41.84,42.19,39.18
42.75,41.80,43.28,41.33
41.70,41.80,42.20,41.61
42.20,42.19,42.26,41.40
41.89,41.50,42.27,41.08
41.50,41.66,42.10,41.08
41.30,39.67,41.56,39.63
39.94,39.38,40.25,38.94
39.12,39.24,39.56,38.77
39.49,40.02,40.03,39.35
40.56,39.99,40.67,39.96
39.84,40.47,40.51,39.72
40.73,39.26,40.80,39.24
39.44,40.16,40.34,39.14
40.05,39.23,40.33,38.98
39.23,39.50,39.75,39.04
39.47,38.57,39.60,38.22
38.33,38.64,38.84,38.16
38.92,40.13,40.31,38.67
40.20,40.31,40.66,39.94
40.04,39.03,40.13,38.72
39.15,39.25,39.26,38.77
38.80,38.82,38.88,38.50
38.84,38.95,39.27,38.84
38.97,38.90,39.04,38.63
38.54,38.34,38.77,37.76
39.24,39.52,39.76,39.09
39.64,39.46,39.72,38.95
39.36,40.53,40.54,39.23
40.46,40.56,40.90,40.43
40.29,40.40,40.40,40.00
40.32,40.12,40.50,39.93
40.54,40.25,40.86,40.05
40.19,38.75,40.22,38.52
38.53,38.96,39.11,37.80
38.98,40.02,40.17,38.98
39.92,39.26,40.11,39.00
39.46,39.28,39.73,38.77
39.06,39.00,39.33,38.83
39.21,38.95,39.23,38.77
38.55,38.32,39.24,38.31
37.86,37.39,37.86,37.23
37.54,35.89,37.54,35.86
36.13,35.84,36.62,35.24
36.41,35.84,36.66,35.44
35.97,36.81,36.94,35.75
37.01,36.54,37.30,36.34
36.47,35.69,36.61,35.61
36.05,34.21,36.23,34.20
34.25,34.80,35.08,34.21
35.39,36.46,37.13,35.39
36.59,36.21,37.30,36.20
36.63,36.94,37.35,36.63
36.70,35.59,36.79,35.29
35.52,36.02,36.42,35.51
35.86,35.15,36.01,34.70
34.90,34.95,35.25,34.65
35.16,34.78,35.32,34.54
34.68,34.60,34.88,34.29
34.46,35.24,35.48,34.46
35.10,35.90,35.96,35.10
35.70,35.68,35.82,35.28
35.72,35.60,36.45,35.40
35.56,34.80,35.78,34.66
36.51,37.89,39.15,35.53
37.60,35.48,37.64,35.31
35.51,35.04,35.65,34.91
34.94,35.11,35.35,34.75
35.04,35.18,35.37,34.84
34.94,34.88,35.05,34.60
35.22,34.84,35.22,34.32
34.97,35.00,35.13,34.01
34.86,35.06,35.28,34.73
35.13,35.69,35.88,35.10
35.85,35.77,35.99,35.65
35.68,35.68,36.07,35.51
35.80,36.29,36.30,35.65
36.52,36.64,36.66,36.31
36.59,37.39,37.69,36.39
37.65,37.82,38.61,37.58
37.71,37.79,37.82,37.21
37.63,37.89,37.98,37.47
37.92,38.25,38.37,37.58
38.11,38.26,38.37,37.90
38.81,38.37,39.48,38.18
38.21,38.50,38.89,38.15
38.64,38.42,38.80,38.34
38.47,38.29,38.57,38.08
38.51,38.65,38.80,38.37
38.45,38.69,38.96,38.36
38.81,38.64,39.13,38.39
38.70,38.62,38.84,38.24
38.74,38.14,38.84,38.09
38.22,38.57,38.67,37.87
38.65,38.59,39.69,38.49
38.39,38.20,38.63,38.17
38.11,37.80,38.46,37.45
37.82,38.22,38.34,37.65
38.58,38.27,38.59,38.13
38.26,38.33,38.59,38.10
38.51,38.57,38.59,38.37
38.60,38.60,38.60,38.47
38.60,38.60,38.60,38.44
38.60,39.72,39.74,38.43
39.47,38.80,39.47,38.44
38.67,38.40,38.70,38.23
38.12,38.15,38.29,37.61
38.36,38.09,38.38,37.99
38.45,38.12,38.45,37.72
38.23,37.93,38.34,37.60
38.25,38.63,38.63,38.00
38.78,40.43,40.66,38.78
40.72,38.79,40.72,38.68
38.80,39.10,39.51,38.34
39.39,39.73,40.14,39.22
39.39,39.00,39.86,38.31
39.20,38.27,39.20,38.25
38.46,39.43,39.87,38.09
39.67,39.40,39.81,39.22
39.10,39.02,39.61,38.91
39.21,38.63,39.52,38.32
38.60,38.02,38.66,37.73
37.89,37.95,38.28,37.35
38.26,39.00,39.01,37.84
38.86,39.36,39.52,38.59
39.42,39.40,39.64,39.03
39.60,39.82,40.15,39.41
39.73,40.37,40.43,39.73
40.44,40.85,42.32,40.01
40.70,41.22,41.33,40.02
41.62,41.95,42.15,41.51
42.20,41.18,42.20,41.09
41.70,41.72,41.87,41.20
41.76,42.36,42.44,41.62
41.96,41.47,42.31,41.37
41.60,42.42,42.50,41.26
42.67,42.51,42.99,42.11
42.67,42.49,42.94,42.26
42.87,43.53,43.68,42.50
43.75,43.12,43.86,43.00
41.21,40.79,41.72,40.55
40.81,40.79,41.00,40.31
40.89,41.31,41.51,40.58
41.29,42.47,42.92,41.01
42.35,43.48,43.74,41.17
43.39,43.92,43.99,42.95
43.70,43.79,43.98,43.00
43.86,44.39,44.42,43.68
44.50,44.41,44.59,44.21
44.38,44.37,44.54,43.50
44.03,43.46,44.40,43.44
43.58,44.76,44.91,43.10
45.55,45.57,46.00,44.80
45.51,45.81,46.24,45.33
46.12,46.28,46.38,45.62
46.16,45.76,46.39,45.70
45.76,44.99,45.85,44.80
45.18,45.34,45.71,44.99
45.51,45.29,45.51,44.85
45.37,44.90,45.38,44.65
44.72,44.73,45.09,44.51
44.49,45.05,45.23,44.34
44.84,45.09,45.29,44.55
45.21,45.56,45.63,44.85
45.44,45.85,46.00,45.43
45.88,46.54,46.67,45.71
46.54,46.23,46.82,46.17
46.38,47.03,47.09,46.36
47.35,47.09,47.65,46.70
47.08,46.40,47.26,46.21
46.30,46.76,47.13,46.29
46.59,45.65,46.88,45.46
45.64,45.36,45.76,44.99
45.67,46.14,46.61,45.66
45.88,45.14,46.18,45.07
45.43,45.76,46.09,45.35
45.50,45.95,46.00,45.16
45.83,46.07,46.08,45.39
46.19,46.39,46.75,46.01
46.42,46.10,46.47,45.73
46.10,46.31,46.58,45.92
46.52,46.33,46.52,45.93
46.13,46.10,46.34,46.01
46.29,46.15,46.47,46.01
46.16,47.07,47.19,46.16
46.96,46.06,47.30,45.98
46.31,44.94,46.84,44.88
45.39,45.30,45.45,45.04
45.53,43.96,45.71,43.96
44.13,44.16,44.60,43.87
44.07,44.71,45.31,44.00
44.35,43.41,44.35,42.80
42.97,43.18,43.81,42.57
43.15,43.14,43.41,42.57
43.35,43.43,43.57,42.92
43.52,43.10,43.64,43.03
43.10,43.50,43.70,42.94
43.92,44.16,44.28,43.55
43.99,44.99,45.04,43.99
44.90,45.52,45.55,44.88
45.64,45.93,46.28,45.41
45.95,46.40,46.80,45.81
46.49,45.87,46.85,45.87
45.46,45.35,46.06,45.20
45.41,45.14,45.70,44.84
45.34,45.61,46.00,45.17
45.19,44.32,45.44,44.26
44.60,44.10,44.61,43.90
44.16,44.07,44.54,43.87
44.22,44.14,44.38,43.91
43.74,43.87,44.12,43.40
44.00,43.41,44.00,43.40
43.46,43.17,43.60,42.50
43.40,42.11,43.47,41.90
42.15,41.65,42.35,41.60
41.59,42.59,42.75,41.57
41.93,42.64,42.83,41.80
42.74,43.29,43.40,42.64
43.48,43.11,43.71,43.10
43.32,43.99,44.11,43.00
44.00,43.97,44.22,43.86
43.95,44.06,44.28,43.73
43.94,42.77,43.94,42.55
43.04,42.96,43.15,42.61
42.53,41.73,42.60,41.38
41.73,41.13,41.77,41.04
41.18,41.37,41.52,40.76
41.60,42.42,42.78,41.04
42.81,43.24,43.28,42.70
43.32,43.35,43.65,42.96
43.40,43.84,44.05,43.32
43.68,43.23,44.04,42.95
43.40,43.41,43.85,43.25
43.45,44.01,44.17,43.39
43.94,42.32,44.04,42.27
42.43,43.11,43.41,42.39
43.71,43.79,44.21,43.47
43.94,43.95,44.41,43.44
44.08,44.20,44.32,43.87
44.11,44.00,44.48,43.82
44.00,43.87,44.20,43.72
44.05,44.69,44.83,43.96
44.68,44.41,44.75,44.36
44.40,44.90,45.09,44.34
44.70,45.85,45.90,44.70
45.83,45.71,46.23,45.49
46.00,46.28,46.36,45.61
46.04,46.48,46.69,45.99
46.49,46.46,46.61,46.17
46.60,45.91,46.73,45.64
47.00,49.34,51.54,46.46
49.34,49.91,50.00,48.90
50.65,51.46,51.81,50.43
51.16,50.51,51.41,50.07
50.59,51.07,51.20,50.29
50.67,50.58,51.15,50.52
50.73,51.74,51.91,50.73
51.93,51.46,52.50,51.11
51.53,51.07,51.57,50.93
50.96,51.49,51.49,50.66
51.52,51.74,52.08,51.51
52.01,52.27,52.32,51.71
51.69,51.72,52.10,51.48
52.02,51.02,52.02,50.85
50.90,51.57,51.89,50.65
51.51,51.36,52.00,50.96
51.86,52.30,52.46,51.30
52.54,52.42,52.96,52.15
52.49,51.88,52.63,51.69
51.06,50.65,52.02,50.31
