ANTM,Anthem,NASDAQ
65.27,64.93,66.19,64.76
65.10,66.09,66.39,64.79
66.25,66.52,67.10,65.78
66.58,66.47,67.02,66.30
66.78,65.98,67.00,65.91
66.14,66.81,67.78,65.87
67.41,68.80,69.41,67.29
68.55,67.99,68.55,67.46
68.23,67.91,69.00,67.18
67.88,68.33,68.75,67.54
68.41,69.40,69.56,68.41
68.79,68.45,68.84,68.02
68.25,67.98,68.82,67.52
67.46,66.97,67.65,66.45
65.81,67.41,67.94,65.50
67.17,66.46,67.61,66.14
67.62,65.99,67.65,65.76
66.83,66.65,67.14,66.38
67.17,67.09,67.83,66.00
67.06,67.47,68.11,67.02
67.19,67.04,67.19,66.46
67.58,68.77,68.83,67.47
69.10,69.34,70.00,68.88
69.31,68.96,69.49,68.44
69.17,69.35,69.67,68.86
69.53,69.65,69.96,69.22
69.70,69.79,69.96,68.80
70.04,70.75,70.75,69.76
70.69,70.61,71.00,70.42
70.32,69.48,70.32,69.32
69.85,68.85,69.89,68.50
68.71,69.07,69.73,68.52
69.36,68.95,69.69,68.51
68.95,69.25,69.67,68.92
68.95,69.74,69.90,68.67
69.98,69.15,70.24,68.68
68.91,69.51,69.63,68.25
69.59,69.41,69.98,69.12
68.76,68.06,68.83,67.34
68.03,68.98,69.23,67.92
69.33,69.39,69.96,69.24
71.60,72.27,72.79,71.10
71.91,72.21,72.26,71.37
72.29,72.97,73.39,72.15
73.71,75.54,75.74,72.24
74.75,76.55,76.63,74.68
75.09,76.79,76.95,75.00
76.92,77.18,78.20,76.80
76.88,77.20,77.55,76.82
77.25,77.20,77.50,76.55
76.78,77.49,78.59,76.65
78.24,77.96,78.81,77.62
78.09,79.80,79.91,77.83
79.73,79.82,79.97,78.93
79.58,79.41,79.94,78.59
79.01,80.00,80.00,78.08
80.00,80.25,81.80,80.00
79.89,80.76,80.92,78.96
80.44,79.98,80.60,79.39
80.18,81.32,81.40,79.78
81.42,81.78,81.92,81.33
81.59,80.53,81.69,80.30
79.78,79.14,79.99,78.68
79.00,77.54,79.11,77.27
77.13,76.74,77.65,76.48
76.48,77.42,77.68,75.50
77.27,77.58,78.11,76.29
78.03,78.17,78.47,77.55
77.96,77.17,78.20,77.08
77.11,78.00,78.14,76.81
77.10,76.68,77.42,76.55
75.79,75.44,76.19,75.31
75.75,76.18,76.97,75.60
75.42,75.52,76.06,74.66
76.08,77.75,78.00,75.70
77.42,76.34,77.44,75.84
76.40,76.13,76.95,76.02
76.88,77.74,78.48,76.56
77.15,76.18,78.03,75.63
76.20,76.27,76.45,75.10
76.84,76.24,77.04,75.95
75.80,78.69,78.76,75.79
78.92,79.25,79.93,78.55
78.93,77.81,79.69,77.75
77.59,77.72,77.86,75.52
77.83,77.33,77.98,75.99
77.12,77.77,77.98,76.46
78.07,79.09,79.42,78.00
79.25,79.21,79.67,78.53
79.29,78.77,79.81,78.63
79.00,80.79,80.90,79.00
80.78,80.22,80.78,79.52
80.15,79.97,80.71,79.74
78.85,78.27,80.08,78.00
77.77,78.00,78.11,76.74
76.66,75.21,76.72,74.77
75.07,75.95,76.86,75.06
76.15,76.68,77.61,76.07
76.95,76.56,77.24,76.37
76.96,74.90,76.96,74.78
74.50,74.25,75.08,73.50
74.49,73.54,74.49,73.05
74.17,73.65,74.28,72.79
74.27,74.65,75.69,74.13
74.50,74.41,74.90,73.98
