KRU,ProShares Ultra S&P Regional Banking,NASDAQ
42.01,41.59,42.41,41.59
41.99,41.70,42.07,41.61
41.00,41.37,41.37,40.04
41.32,41.22,41.32,41.22
43.10,43.03,43.11,43.03
42.22,41.54,42.24,41.26
41.87,42.69,42.78,41.85
43.39,43.94,44.74,43.39
44.52,44.52,44.52,44.52
44.54,44.88,45.10,44.38
45.10,44.94,45.12,44.92
42.16,42.57,42.99,41.68
42.91,43.02,43.20,42.91
43.00,43.79,43.79,43.00
43.49,44.08,44.08,43.48
44.68,45.25,45.25,43.87
45.38,45.76,46.08,45.38
46.10,47.26,47.41,46.10
46.25,46.34,46.53,45.75
45.96,46.75,46.78,45.92
47.58,47.95,48.26,47.22
47.51,46.79,47.51,46.42
45.96,44.63,45.96,44.50
45.51,45.39,46.44,45.39
46.13,46.19,46.79,45.98
46.47,44.45,46.47,44.34
45.69,44.73,45.69,44.73
43.92,42.84,43.92,42.28
43.45,44.51,44.51,43.27
45.04,44.94,45.05,44.90
45.71,46.72,46.91,45.53
46.39,46.37,46.54,45.53
45.47,45.79,46.08,45.15
45.78,44.81,45.78,44.81
44.22,43.20,44.22,43.12
43.33,42.78,43.51,42.78
42.25,43.19,43.33,42.25
44.27,43.11,44.27,42.79
42.77,41.18,43.23,41.18
40.81,40.98,40.99,40.39
41.83,38.75,41.83,38.75
39.46,37.99,39.46,37.99
36.92,30.14,37.38,30.14
31.35,31.05,31.35,30.00
31.44,30.82,31.44,29.72
29.30,31.42,31.77,29.30
31.78,29.55,31.78,29.55
31.20,31.45,31.45,31.02
31.53,30.95,31.53,30.60
31.23,30.97,31.30,30.74
28.89,28.45,28.89,27.99
27.14,26.04,27.76,26.04
26.96,25.93,26.96,25.93
26.45,28.52,28.52,26.45
28.75,30.18,30.52,28.75
32.37,29.15,32.99,29.00
28.16,29.36,29.76,27.30
31.25,31.92,32.03,31.25
32.17,32.23,32.23,31.87
33.49,32.40,33.49,32.27
33.06,30.22,33.06,30.21
29.20,27.40,29.52,27.40
25.73,27.25,27.25,25.73
27.54,30.47,30.63,27.54
30.21,28.56,30.21,28.23
27.35,26.73,28.30,26.43
26.47,26.75,26.86,26.31
28.16,28.85,29.52,28.16
29.20,30.17,30.17,28.53
30.55,30.78,30.80,30.00
30.45,30.69,31.63,29.53
29.47,28.78,29.47,28.78
29.34,28.06,29.36,28.03
28.02,24.49,28.02,24.49
24.47,23.99,24.47,23.99
24.49,24.07,24.49,23.93
25.59,26.01,26.01,24.75
27.39,26.94,28.10,26.81
27.35,25.04,27.35,24.93
25.95,26.62,26.62,24.96
25.25,24.68,26.31,24.68
24.29,22.90,25.38,22.90
22.78,24.91,24.91,22.78
25.89,27.24,27.24,25.29
27.10,28.68,28.68,27.10
29.68,26.04,29.68,26.04
27.22,28.61,28.61,27.10
28.09,29.87,29.87,28.08
30.11,32.13,32.13,30.11
30.93,29.83,30.93,28.79
30.86,30.08,30.86,28.94
30.08,28.04,30.08,28.04
28.76,31.08,31.41,27.97
31.74,30.89,31.74,30.56
31.43,31.79,31.79,30.32
33.18,33.89,33.89,32.55
33.84,35.26,35.64,33.80
35.29,32.60,35.29,32.57
33.59,33.99,34.30,33.07
36.79,37.55,38.00,36.17
36.71,37.08,37.77,36.71
35.60,35.57,36.39,35.57
33.67,31.40,34.07,31.25
32.10,34.10,34.10,32.10
34.00,35.89,35.96,33.34
35.62,34.91,35.62,34.43
34.67,35.43,35.43,34.67
36.20,36.79,36.79,36.20
34.95,34.25,34.97,34.25
33.98,33.52,34.30,33.25
34.03,35.09,35.45,34.03
34.45,33.41,34.71,33.18
33.46,34.54,34.78,32.83
33.74,33.94,35.10,33.61
33.13,33.05,34.31,33.05
33.85,33.86,33.86,32.74
32.56,31.82,32.56,31.53
31.96,31.50,32.25,31.14
29.97,29.56,30.34,29.15
29.81,29.62,29.81,29.62
30.72,30.68,30.83,30.52
31.02,30.45,31.04,30.29
32.45,35.03,35.08,32.45
34.47,34.19,35.10,33.74
35.58,35.22,36.25,34.96
36.16,36.45,37.03,35.98
36.13,36.45,36.45,36.04
35.08,36.73,36.73,34.59
35.42,34.45,35.48,34.44
34.76,34.66,34.83,34.66
34.62,35.20,35.20,34.20
36.18,33.92,36.18,33.78
33.92,33.24,34.51,33.24
34.17,34.47,34.70,33.90
35.36,34.85,36.31,34.80
35.33,33.66,35.33,33.48
35.20,36.29,36.49,35.20
36.06,36.48,36.58,35.76
37.30,38.87,39.66,37.30
38.57,38.73,38.88,38.41
37.95,38.90,39.07,37.95
38.51,37.43,38.56,37.38
37.95,38.54,38.68,37.70
38.29,38.20,38.65,38.16
39.53,39.58,40.66,39.52
38.68,39.87,40.13,38.68
39.81,41.57,42.20,38.90
40.83,41.03,41.52,40.23
41.33,42.29,42.29,41.01
43.91,43.07,44.15,43.00
43.49,43.04,43.49,41.70
43.45,43.48,43.48,41.87
42.61,42.91,43.04,42.19
43.60,42.55,43.95,42.30
42.49,43.14,43.14,42.49
43.76,42.75,43.76,42.32
42.85,43.88,43.88,42.55
44.41,43.38,44.41,42.47
42.94,43.47,43.47,42.12
43.79,43.94,43.94,43.65
43.83,41.40,43.84,40.63
41.36,41.99,42.00,40.21
40.78,41.71,41.71,40.78
41.47,41.69,41.74,41.21
42.82,43.31,43.31,42.29
43.15,43.84,43.88,43.15
44.62,46.03,46.42,44.62
45.67,44.98,45.94,44.87
45.42,45.38,45.42,45.38
45.00,45.31,45.80,44.21
45.35,44.84,45.35,44.52
43.54,43.51,43.83,43.46
44.38,44.55,44.78,44.38
44.15,43.87,44.15,43.63
44.71,43.84,44.71,43.84
44.38,45.57,45.59,44.21
46.09,46.39,46.84,46.09
46.40,45.58,46.50,45.58
45.24,45.02,45.24,45.02
43.95,44.26,44.26,43.12
44.87,45.20,45.20,44.81
44.07,45.10,45.16,43.14
45.04,44.76,45.31,44.76
45.41,44.30,45.64,44.30
45.13,45.58,45.58,45.13
45.04,43.11,45.04,43.06
42.37,43.58,43.60,42.35
42.87,41.19,42.87,41.07
41.65,42.51,42.51,41.65
43.56,43.56,43.56,43.56
44.00,45.10,45.61,44.00
44.58,45.26,45.26,44.58
45.94,48.38,48.38,45.94
48.00,48.25,48.82,47.49
48.91,49.89,49.89,48.91
50.60,50.35,51.29,49.79
51.19,51.36,52.50,50.71
50.27,51.04,51.31,50.03
50.50,50.55,50.78,50.24
48.70,48.22,48.87,48.22
48.73,49.23,49.34,48.23
50.49,50.42,50.49,50.36
50.83,50.38,50.83,50.15
50.03,50.54,50.56,49.54
49.23,49.86,49.86,49.23
49.30,49.10,49.30,48.96
49.10,49.78,49.85,49.10
50.04,49.45,50.04,49.45
47.12,47.95,47.96,47.12
47.86,47.15,47.86,47.15
45.35,45.81,45.81,44.98
45.32,43.91,45.32,43.70
44.85,45.56,45.56,44.85
46.11,46.78,46.78,46.05
46.38,44.18,46.38,44.18
44.00,45.01,45.08,43.62
47.19,47.38,47.38,47.19
46.50,45.50,46.50,45.50
46.25,46.25,46.25,46.25
46.45,46.95,46.95,46.35
44.26,45.08,45.08,44.26
45.55,46.35,46.35,45.55
47.28,47.53,47.81,47.28
48.07,48.20,48.32,47.40
48.17,49.01,49.01,47.33
48.11,47.45,48.48,47.45
47.52,47.56,49.12,47.52
46.87,47.18,47.18,46.39
47.12,46.36,47.12,46.36
46.04,45.39,46.04,44.82
45.58,46.41,46.41,45.37
46.18,46.18,46.18,46.18
45.89,45.33,45.89,44.71
46.00,46.67,46.67,46.00
46.03,45.95,46.30,45.40
45.70,44.67,45.70,44.67
44.66,44.42,44.66,44.18
44.20,43.51,44.99,43.51
43.51,43.51,43.51,43.51
42.26,41.31,42.50,41.31
41.63,42.58,42.58,41.63
43.14,42.44,43.14,42.19
42.04,41.49,42.04,41.35
42.51,43.33,43.33,42.51
43.23,43.23,43.23,43.23
44.12,44.12,44.12,44.12
44.12,44.12,44.12,44.12
42.39,42.13,42.39,42.13
41.82,39.53,41.82,39.53
39.21,37.78,39.21,37.43
37.54,37.72,37.93,37.54
39.04,39.11,39.11,39.04
39.90,40.31,40.31,39.90
40.31,40.95,40.95,40.31
41.57,41.22,41.62,41.22
39.70,40.32,40.32,38.11
40.05,41.30,41.30,40.05
40.32,41.06,41.06,40.32
42.59,42.45,42.59,42.38
42.19,42.11,42.34,42.11
42.11,42.11,42.11,42.11
43.32,43.43,43.81,42.80
42.25,41.74,42.25,41.74
41.59,41.92,41.92,41.59
40.93,41.26,41.42,40.93
41.39,41.39,41.39,41.39
41.39,41.39,41.39,41.39
42.49,42.21,42.49,42.21
44.32,45.46,45.46,44.32
46.41,46.41,46.41,46.41
46.38,46.95,47.01,46.38
46.85,46.86,46.86,46.85
46.26,46.32,46.32,46.26
45.44,45.44,45.44,45.44
46.00,44.82,46.00,44.82
45.18,45.75,45.75,45.18
45.75,45.75,45.75,45.75
46.31,47.25,47.25,46.31
47.40,47.26,47.48,46.86
47.00,47.00,47.00,47.00
47.41,47.00,47.90,47.00
46.32,46.29,46.55,46.29
45.00,45.04,45.04,44.91
43.51,43.51,43.51,43.51
43.26,43.09,43.26,43.09
43.09,43.09,43.09,43.09
43.09,43.09,43.09,43.09
44.92,44.92,44.92,44.92
44.78,44.78,44.78,44.78
44.16,44.16,44.16,44.16
43.73,43.08,43.81,43.08
42.19,41.90,42.19,41.90
44.00,44.00,44.00,44.00
44.47,44.12,44.47,44.12
45.17,45.23,45.23,45.17
44.90,44.99,44.99,44.90
44.99,44.99,44.99,44.99
44.99,44.99,44.99,44.99
43.60,43.60,43.60,43.60
43.60,43.60,43.60,43.60
43.60,43.60,43.60,43.60
45.46,45.46,45.46,45.46
45.78,45.99,45.99,45.78
46.60,46.60,46.60,46.60
47.13,47.13,47.13,47.12
46.76,46.20,46.79,46.20
45.51,45.51,45.51,45.51
44.85,44.63,45.13,44.52
45.42,45.32,45.44,45.32
45.32,45.32,45.32,45.32
46.06,46.06,46.06,46.06
46.55,46.55,46.55,46.55
46.01,46.01,46.01,46.01
46.01,46.01,46.01,46.01
46.01,46.01,46.01,46.01
48.10,48.90,48.90,48.10
49.40,49.55,49.76,49.40
50.12,48.84,50.12,48.84
48.92,48.92,48.92,48.92
49.85,49.66,49.85,49.66
49.73,50.84,51.25,49.73
51.28,52.74,53.00,51.28
53.50,50.99,53.50,50.91
51.01,51.43,51.43,51.01
51.43,51.43,51.43,51.43
51.22,50.36,51.22,49.71
50.86,50.86,50.86,50.86
50.86,50.86,50.86,50.86
51.04,49.60,51.04,49.60
49.60,48.68,49.60,48.68
48.82,49.35,49.35,48.82
49.35,49.35,49.35,49.35
48.31,48.20,48.31,48.20
48.00,48.00,48.00,48.00
48.00,48.00,48.00,48.00
49.15,49.22,49.22,49.15
50.00,50.27,50.74,50.00
49.58,49.49,49.58,49.39
48.23,48.34,48.34,48.23
48.34,48.34,48.34,48.34
48.00,48.00,48.00,48.00
48.00,46.03,48.00,46.03
46.69,46.68,46.69,46.68
47.54,44.67,47.54,44.67
46.00,46.13,46.18,46.00
46.30,45.99,46.30,45.99
45.99,45.99,45.99,45.99
45.99,45.99,45.99,45.99
44.41,45.65,45.65,44.40
46.14,46.14,46.14,46.14
46.54,46.54,47.04,45.55
46.54,46.54,46.54,46.54
45.00,45.43,45.43,44.63
46.60,46.65,46.65,46.60
46.65,46.65,46.65,46.65
46.65,46.65,46.65,46.65
46.20,46.52,46.65,46.20
44.80,43.77,44.81,43.74
43.69,42.33,43.71,42.33
41.31,42.25,42.72,41.31
42.30,42.56,42.56,42.12
42.56,42.56,42.56,42.56
42.56,42.56,42.56,42.56
39.66,39.90,39.90,39.66
39.77,39.77,39.77,39.77
41.65,41.70,41.91,41.65
42.90,42.90,42.90,42.90
42.77,42.35,42.77,42.35
43.68,44.71,44.71,43.68
44.20,44.19,44.20,44.19
44.19,44.19,44.19,44.19
45.61,43.33,45.61,43.33
44.54,44.49,44.54,44.49
44.49,44.49,44.49,44.49
44.48,44.58,44.58,44.45
43.71,43.99,43.99,43.70
44.15,43.72,44.15,43.72
44.14,44.14,44.14,44.14
44.14,44.14,44.14,44.14
44.14,44.14,44.14,44.14
44.14,44.14,44.14,44.14
44.85,44.33,44.85,44.33
44.33,44.33,44.33,44.33
43.51,43.49,43.51,43.49
44.90,44.90,44.90,44.90
45.30,46.02,46.04,45.30
46.02,46.02,46.02,46.02
47.13,47.08,47.13,47.08
46.28,46.54,46.54,46.25
46.54,46.54,46.54,46.54
46.54,46.54,46.54,46.54
44.69,44.18,44.69,44.18
44.06,44.72,44.72,44.06
44.23,45.21,45.21,44.16
47.12,48.87,48.87,46.95
48.87,48.87,48.87,48.87
50.28,50.28,50.28,50.28
49.18,49.33,49.41,49.18
49.33,49.33,49.33,49.33
49.27,49.35,49.44,49.27
49.19,49.10,49.19,49.07
47.87,48.02,48.18,47.60
47.66,48.59,48.62,47.66
48.55,49.07,49.07,48.55
49.36,49.36,49.36,49.36
50.40,50.52,50.64,50.22
50.06,49.98,50.06,49.78
50.51,50.89,50.89,50.51
50.89,50.62,50.89,50.62
50.35,50.12,50.35,49.90
50.10,49.75,50.10,49.75
50.31,50.46,50.62,50.31
51.01,50.21,51.01,50.21
50.21,50.21,50.21,50.21
50.21,50.21,50.21,50.21
51.00,51.50,51.50,51.00
50.36,50.40,50.40,50.36
51.37,51.39,51.39,51.28
51.01,51.27,51.27,50.57
51.27,51.27,51.27,51.27
51.27,51.27,51.27,51.27
51.27,51.27,51.27,51.27
52.81,53.51,53.51,52.81
53.39,53.39,53.39,53.39
53.39,53.39,53.39,53.39
53.39,53.39,53.39,53.39
53.80,53.80,53.80,53.80
52.98,53.03,53.03,52.98
51.91,52.19,52.19,51.91
52.19,52.19,52.19,52.19
51.19,51.00,51.19,51.00
51.00,51.00,51.00,51.00
51.00,51.00,51.00,51.00
51.00,51.00,51.00,51.00
52.09,52.30,52.30,52.09
52.58,52.58,52.58,52.58
54.02,53.32,54.02,53.32
53.75,53.78,53.78,53.74
53.85,54.58,54.65,53.85
55.20,55.27,55.38,54.75
56.31,55.34,56.31,55.34
55.37,55.02,55.37,55.02
55.33,55.33,55.33,55.33
56.83,56.83,56.83,56.78
56.83,56.83,56.83,56.83
56.83,56.83,56.83,56.83
56.66,56.61,56.66,56.61
57.21,57.21,57.21,57.21
56.83,56.83,56.83,56.83
57.07,57.07,57.07,57.07
57.55,57.55,57.55,57.55
57.55,57.55,57.55,57.55
57.55,57.55,57.55,57.55
57.55,57.55,57.55,57.55
55.37,55.37,55.37,55.37
55.65,54.64,55.65,54.64
53.99,53.49,53.99,53.49
53.49,53.49,53.49,53.49
53.49,53.49,53.49,53.49
53.69,53.69,53.69,53.69
53.50,54.00,54.77,53.50
54.00,54.00,54.00,54.00
55.48,55.48,55.48,55.48
54.55,54.55,54.55,54.55
53.86,50.93,53.86,50.93
50.93,50.93,50.93,50.93
50.02,50.02,50.02,50.02
50.00,50.00,50.00,50.00
50.66,50.66,50.66,50.66
50.66,50.66,50.66,50.66
50.66,50.66,50.66,50.66
53.20,53.20,53.20,53.20
53.20,53.20,53.20,53.20
52.76,52.76,52.76,52.76
52.76,52.76,52.76,52.76
52.79,53.00,53.00,52.79
53.00,53.00,53.00,53.00
52.03,52.04,52.04,52.03
52.00,53.39,53.72,52.00
54.27,54.27,54.27,54.27
55.69,56.08,56.08,55.69
56.08,56.08,56.08,56.08
55.67,55.67,55.67,55.67
55.67,55.67,55.67,55.67
55.67,55.67,55.67,55.67
55.67,55.67,55.67,55.67
58.42,57.64,58.43,57.64
58.10,58.10,58.10,58.10
58.98,58.98,58.98,58.98
59.60,59.60,59.60,59.60
59.60,59.60,59.60,59.60
62.27,58.40,62.27,58.40
57.21,57.35,57.35,57.21
57.35,57.35,57.35,57.35
57.35,57.35,57.35,57.35
57.35,57.35,57.35,57.35
57.35,57.35,57.35,57.35
57.35,57.35,57.35,57.35
58.00,57.12,58.00,57.12
58.17,58.17,58.17,58.17
56.49,56.49,56.49,56.49
56.49,56.49,56.49,56.49
56.49,56.49,56.49,56.49
58.84,58.90,58.90,58.84
58.01,58.65,58.99,58.01
58.50,57.10,58.50,56.96
57.10,57.10,57.10,57.10
57.40,57.40,57.40,57.40
57.93,56.83,57.93,56.83
57.87,57.87,57.87,57.87
57.87,57.87,57.87,57.87
