MCZ,Mad Catz Interactive Inc Common Stock,NASDAQ
1.81,1.88,1.98,1.81
1.88,1.81,1.90,1.80
1.80,1.78,1.81,1.72
1.74,1.71,1.80,1.66
1.65,1.65,1.69,1.40
1.64,1.66,1.73,1.62
1.72,1.69,1.75,1.68
1.74,1.65,1.74,1.65
1.73,1.64,1.74,1.62
1.65,1.65,1.71,1.63
1.70,1.66,1.70,1.63
1.71,1.82,1.83,1.65
1.83,1.83,1.90,1.77
1.86,1.80,1.92,1.80
1.78,1.76,1.80,1.73
1.81,1.90,1.95,1.76
1.94,2.19,2.22,1.91
2.28,2.10,2.29,2.08
2.15,2.33,2.39,2.10
2.32,2.33,2.37,2.29
2.35,2.19,2.35,2.11
2.19,2.27,2.31,2.15
2.35,2.17,2.35,2.17
2.17,2.06,2.22,2.04
2.01,1.96,2.03,1.91
1.99,2.05,2.12,1.99
2.09,2.20,2.23,2.01
2.25,2.13,2.25,2.11
2.11,1.92,2.12,1.70
1.94,1.88,1.95,1.83
1.87,1.89,1.95,1.84
1.91,1.90,1.95,1.86
1.92,1.97,1.97,1.88
1.95,2.00,2.11,1.95
1.98,2.00,2.08,1.96
2.01,1.92,2.04,1.92
1.91,1.97,1.97,1.88
2.00,1.98,2.01,1.91
2.00,1.85,2.00,1.83
1.88,1.80,1.89,1.75
1.75,1.74,1.80,1.71
1.75,1.80,1.80,1.75
1.80,1.76,1.80,1.76
1.77,1.90,1.90,1.77
1.86,1.77,1.93,1.77
1.79,1.79,1.83,1.73
1.83,1.75,1.83,1.70
1.69,1.64,1.74,1.64
1.67,1.68,1.70,1.64
1.69,1.76,1.77,1.66
1.77,1.76,1.80,1.70
1.76,1.74,1.76,1.71
1.73,1.66,1.73,1.65
1.66,1.67,1.72,1.66
1.67,1.74,1.78,1.66
1.74,1.80,1.87,1.74
1.85,1.79,1.86,1.78
1.85,1.82,1.86,1.79
1.77,1.79,1.82,1.75
1.79,1.75,1.80,1.71
1.71,1.70,1.75,1.70
1.72,1.68,1.79,1.66
1.70,1.69,1.72,1.65
1.68,1.51,1.68,1.50
1.52,1.74,1.76,1.50
1.76,1.72,1.82,1.65
1.80,1.77,1.80,1.72
1.82,1.80,1.83,1.71
1.67,1.56,1.69,1.50
1.56,1.31,1.56,1.28
1.39,1.27,1.42,1.27
1.31,1.39,1.40,1.29
1.44,1.42,1.46,1.41
1.45,1.35,1.45,1.35
1.35,1.38,1.39,1.25
1.38,1.35,1.42,1.31
1.34,1.33,1.39,1.32
1.34,1.41,1.41,1.31
1.43,1.38,1.45,1.38
1.42,1.42,1.46,1.39
1.40,1.41,1.46,1.40
1.41,1.41,1.42,1.36
1.39,1.40,1.44,1.36
1.57,1.55,1.63,1.50
1.50,1.48,1.54,1.43
1.47,1.44,1.52,1.37
1.41,1.40,1.45,1.37
1.40,1.45,1.50,1.39
1.49,1.44,1.51,1.42
1.39,1.38,1.45,1.37
1.37,1.39,1.39,1.34
1.40,1.40,1.43,1.39
1.42,1.40,1.42,1.35
1.42,1.36,1.42,1.35
1.40,1.31,1.40,1.29
1.28,1.30,1.32,1.24
1.32,1.26,1.32,1.26
1.25,1.24,1.26,1.20
1.22,1.22,1.23,1.18
1.19,1.16,1.19,1.11
1.31,1.26,1.33,1.19
1.30,1.26,1.33,1.25
1.29,1.23,1.31,1.14
1.23,1.11,1.23,1.11
0.78,0.73,0.85,0.66
0.65,0.58,0.68,0.55
0.64,0.68,0.69,0.60
0.76,0.71,0.76,0.67
0.73,0.82,0.86,0.73
0.90,0.88,0.92,0.86
0.89,0.95,0.99,0.89
0.96,0.96,0.96,0.92
1.00,0.98,1.04,0.95
1.00,0.91,1.02,0.86
0.90,0.83,0.90,0.80
0.83,0.78,0.88,0.75
0.80,0.81,0.84,0.78
0.99,0.80,0.99,0.78
0.78,0.77,0.82,0.75
0.77,0.79,0.81,0.76
0.81,0.80,0.82,0.78
0.81,0.83,0.84,0.80
0.86,0.80,0.86,0.80
0.80,0.78,0.83,0.78
0.78,0.75,0.80,0.74
0.73,0.72,0.73,0.69
0.72,0.72,0.75,0.70
0.74,0.73,0.75,0.72
0.71,0.70,0.73,0.70
0.96,0.74,0.96,0.70
0.71,0.71,0.74,0.70
0.71,0.76,0.85,0.71
0.75,0.75,0.78,0.75
0.80,0.75,0.80,0.74
0.72,0.75,0.76,0.72
0.75,0.71,0.75,0.71
0.71,0.69,0.73,0.68
0.69,0.66,0.69,0.61
0.64,0.67,0.69,0.61
0.66,0.66,0.67,0.65
0.68,0.66,0.73,0.65
0.68,0.62,0.68,0.62
0.67,0.62,0.67,0.60
0.62,0.61,0.65,0.59
0.59,0.56,0.64,0.54
0.60,0.57,0.60,0.54
0.58,0.65,0.65,0.57
0.65,0.67,0.69,0.60
0.68,0.67,0.69,0.65
0.73,0.65,0.73,0.63
0.64,0.67,0.68,0.63
0.68,0.66,0.68,0.65
0.66,0.67,0.67,0.63
0.66,0.68,0.69,0.65
0.69,0.67,0.69,0.66
0.69,0.72,0.72,0.65
0.66,0.68,0.73,0.66
0.68,0.68,0.69,0.66
0.70,0.68,0.70,0.66
0.67,0.67,0.69,0.65
0.70,0.68,0.73,0.66
0.69,0.84,0.84,0.69
0.84,0.81,0.89,0.81
0.85,0.81,0.85,0.79
0.83,0.83,0.91,0.81
0.83,0.80,0.83,0.79
0.82,0.86,0.90,0.80
0.90,0.81,0.90,0.81
0.86,0.82,0.86,0.80
0.79,0.79,0.83,0.78
0.77,0.75,0.82,0.74
0.71,0.75,0.75,0.70
0.61,0.63,0.67,0.59
0.62,0.58,0.65,0.55
0.58,0.59,0.61,0.56
0.54,0.59,0.61,0.54
0.60,0.62,0.65,0.56
0.63,0.64,0.69,0.60
0.65,0.62,0.67,0.61
0.61,0.59,0.62,0.58
0.59,0.59,0.61,0.58
0.58,0.59,0.61,0.57
0.60,0.59,0.60,0.58
0.59,0.61,0.61,0.59
0.64,0.60,0.64,0.60
0.60,0.59,0.62,0.58
0.58,0.58,0.61,0.57
0.58,0.59,0.60,0.58
0.57,0.57,0.60,0.57
0.57,0.58,0.59,0.57
0.59,0.57,0.59,0.56
0.56,0.57,0.60,0.56
0.57,0.62,0.62,0.57
0.62,0.60,0.63,0.57
0.68,0.58,0.68,0.58
0.58,0.56,0.60,0.56
0.59,0.55,0.59,0.55
0.53,0.54,0.56,0.52
0.54,0.58,0.58,0.53
0.56,0.56,0.58,0.55
0.56,0.54,0.57,0.53
0.55,0.53,0.55,0.52
0.53,0.51,0.53,0.51
0.54,0.52,0.54,0.51
0.52,0.53,0.53,0.51
0.53,0.53,0.55,0.52
0.52,0.51,0.55,0.51
0.52,0.53,0.55,0.52
0.57,0.53,0.57,0.52
0.53,0.54,0.55,0.53
0.53,0.53,0.55,0.52
0.52,0.56,0.58,0.52
0.56,0.63,0.64,0.56
0.67,0.60,0.67,0.60
0.60,0.63,0.64,0.60
0.60,0.62,0.64,0.60
0.64,0.64,0.70,0.62
0.75,0.80,0.84,0.72
0.81,0.72,0.81,0.70
0.74,0.71,0.74,0.68
0.74,0.67,0.74,0.66
0.66,0.66,0.68,0.66
0.66,0.67,0.69,0.66
0.68,0.66,0.68,0.66
0.67,0.68,0.69,0.66
0.70,0.66,0.70,0.66
0.67,0.65,0.69,0.65
0.66,0.66,0.68,0.64
0.64,0.66,0.67,0.64
0.67,0.64,0.67,0.62
0.64,0.62,0.64,0.61
0.62,0.65,0.65,0.60
0.65,0.67,0.68,0.64
0.56,0.58,0.59,0.54
0.57,0.57,0.58,0.55
0.57,0.55,0.59,0.55
0.55,0.56,0.56,0.55
0.56,0.55,0.56,0.54
0.54,0.54,0.54,0.53
0.53,0.54,0.55,0.53
0.55,0.56,0.56,0.54
0.56,0.57,0.58,0.55
0.58,0.61,0.61,0.56
0.61,0.58,0.62,0.58
0.58,0.57,0.60,0.57
0.57,0.56,0.57,0.55
0.56,0.55,0.57,0.55
0.55,0.55,0.56,0.55
0.55,0.55,0.56,0.54
0.55,0.55,0.56,0.55
0.55,0.53,0.56,0.53
0.55,0.54,0.55,0.53
0.54,0.57,0.58,0.54
0.57,0.56,0.58,0.56
0.55,0.54,0.57,0.54
0.54,0.55,0.57,0.54
0.55,0.55,0.56,0.54
0.55,0.55,0.56,0.54
0.56,0.56,0.56,0.55
0.56,0.58,0.62,0.55
0.57,0.61,0.64,0.57
0.60,0.66,0.66,0.60
0.65,0.63,0.66,0.63
0.64,0.65,0.72,0.64
0.65,0.62,0.65,0.61
0.61,0.63,0.64,0.60
0.63,0.63,0.63,0.59
0.63,0.61,0.63,0.58
0.65,0.62,0.65,0.59
0.61,0.60,0.62,0.57
0.60,0.60,0.62,0.59
0.62,0.57,0.62,0.56
0.57,0.58,0.58,0.56
0.57,0.57,0.59,0.56
0.56,0.55,0.56,0.55
0.56,0.58,0.60,0.55
0.58,0.57,0.59,0.57
0.58,0.56,0.58,0.55
0.57,0.55,0.57,0.55
0.54,0.54,0.56,0.54
0.54,0.57,0.57,0.54
0.55,0.56,0.57,0.55
0.55,0.54,0.55,0.54
0.55,0.55,0.55,0.54
0.54,0.54,0.56,0.54
0.54,0.56,0.57,0.53
0.56,0.56,0.57,0.54
0.56,0.54,0.56,0.54
0.53,0.54,0.55,0.53
0.55,0.54,0.55,0.53
0.54,0.55,0.55,0.54
0.54,0.53,0.54,0.53
0.53,0.53,0.55,0.53
0.52,0.53,0.55,0.52
0.53,0.52,0.55,0.52
0.52,0.53,0.53,0.51
0.53,0.52,0.53,0.52
0.52,0.51,0.54,0.51
0.51,0.50,0.52,0.49
0.49,0.47,0.52,0.45
0.47,0.48,0.48,0.46
0.47,0.46,0.47,0.45
0.46,0.42,0.47,0.39
0.40,0.42,0.43,0.40
0.42,0.44,0.45,0.42
0.46,0.45,0.47,0.44
0.44,0.46,0.47,0.44
0.47,0.44,0.47,0.44
0.44,0.45,0.45,0.44
0.44,0.43,0.45,0.43
0.43,0.42,0.45,0.40
0.45,0.41,0.45,0.41
0.43,0.41,0.43,0.40
0.40,0.41,0.42,0.39
0.42,0.45,0.45,0.40
0.42,0.46,0.48,0.42
0.46,0.46,0.47,0.45
0.49,0.47,0.51,0.46
0.46,0.46,0.46,0.43
0.45,0.46,0.46,0.43
0.47,0.51,0.54,0.47
0.52,0.53,0.54,0.51
0.53,0.52,0.53,0.51
0.50,0.51,0.53,0.50
0.51,0.50,0.52,0.49
0.51,0.54,0.56,0.51
0.55,0.48,0.55,0.48
0.52,0.52,0.54,0.51
0.53,0.53,0.53,0.51
0.51,0.52,0.53,0.51
0.51,0.51,0.52,0.51
0.52,0.51,0.52,0.51
0.51,0.54,0.54,0.51
0.52,0.56,0.56,0.52
0.53,0.56,0.56,0.53
0.55,0.56,0.56,0.54
0.57,0.59,0.59,0.56
0.59,0.58,0.60,0.57
0.59,0.60,0.63,0.59
0.60,0.59,0.60,0.58
0.58,0.59,0.59,0.58
0.60,0.62,0.62,0.59
0.62,0.65,0.65,0.62
0.64,0.70,0.70,0.64
0.71,0.67,0.74,0.66
0.67,0.68,0.71,0.67
0.65,0.71,0.72,0.64
0.71,0.67,0.72,0.61
0.67,0.61,0.70,0.61
0.62,0.62,0.63,0.59
0.61,0.64,0.65,0.61
0.62,0.63,0.65,0.61
0.63,0.63,0.67,0.62
0.66,0.64,0.66,0.63
0.65,0.66,0.69,0.63
0.70,0.67,0.70,0.65
0.69,0.70,0.70,0.67
0.70,0.69,0.70,0.67
0.67,0.67,0.69,0.65
0.65,0.66,0.68,0.62
0.66,0.63,0.68,0.63
0.62,0.64,0.68,0.62
0.65,0.66,0.66,0.63
0.67,0.65,0.68,0.64
0.66,0.68,0.68,0.66
0.67,0.67,0.70,0.66
0.67,0.66,0.69,0.64
0.67,0.69,0.69,0.64
0.69,0.66,0.69,0.64
0.67,0.69,0.69,0.65
0.68,0.66,0.68,0.65
0.68,0.68,0.70,0.67
0.69,0.67,0.69,0.67
0.66,0.67,0.68,0.66
0.67,0.68,0.69,0.66
0.67,0.69,0.69,0.67
0.68,0.69,0.70,0.66
0.67,0.67,0.69,0.66
0.67,0.65,0.69,0.65
0.67,0.65,0.67,0.64
0.65,0.64,0.66,0.64
0.63,0.67,0.68,0.63
0.66,0.66,0.67,0.66
0.65,0.64,0.68,0.64
0.64,0.65,0.66,0.64
0.64,0.63,0.67,0.61
0.63,0.63,0.65,0.62
0.63,0.63,0.64,0.62
0.62,0.64,0.64,0.62
0.64,0.64,0.65,0.63
0.65,0.63,0.65,0.63
0.62,0.64,0.64,0.61
0.64,0.62,0.65,0.62
0.64,0.63,0.64,0.61
0.61,0.61,0.63,0.60
0.61,0.61,0.62,0.60
0.61,0.59,0.63,0.59
0.59,0.59,0.59,0.56
0.59,0.60,0.60,0.58
0.60,0.58,0.60,0.58
0.56,0.58,0.60,0.56
0.58,0.61,0.61,0.58
0.58,0.61,0.61,0.58
0.60,0.58,0.62,0.58
0.59,0.60,0.61,0.59
0.61,0.58,0.61,0.58
0.58,0.59,0.60,0.57
0.57,0.58,0.59,0.57
0.59,0.59,0.60,0.58
0.59,0.60,0.60,0.58
0.58,0.60,0.60,0.58
0.57,0.59,0.60,0.57
0.60,0.59,0.60,0.58
0.59,0.60,0.60,0.58
0.60,0.59,0.60,0.59
0.59,0.63,0.64,0.59
0.63,0.68,0.69,0.63
0.67,0.65,0.69,0.64
0.65,0.63,0.66,0.61
0.65,0.63,0.67,0.63
0.59,0.57,0.60,0.53
0.57,0.56,0.59,0.56
0.58,0.58,0.58,0.57
0.55,0.54,0.57,0.54
0.55,0.54,0.56,0.54
0.54,0.55,0.57,0.54
0.55,0.54,0.57,0.54
0.54,0.55,0.55,0.53
0.55,0.54,0.56,0.53
0.55,0.59,0.60,0.55
0.57,0.60,0.60,0.57
0.59,0.58,0.61,0.57
0.56,0.58,0.60,0.56
0.57,0.57,0.59,0.56
0.56,0.58,0.58,0.56
0.57,0.58,0.59,0.57
0.57,0.59,0.59,0.57
0.62,0.61,0.62,0.59
0.60,0.57,0.60,0.56
0.58,0.58,0.59,0.58
0.58,0.58,0.59,0.58
0.58,0.57,0.58,0.57
0.57,0.57,0.58,0.57
0.58,0.56,0.58,0.56
0.57,0.56,0.58,0.56
0.57,0.56,0.57,0.56
0.56,0.56,0.57,0.56
0.57,0.55,0.58,0.55
0.57,0.56,0.57,0.54
0.55,0.54,0.56,0.54
0.50,0.55,0.55,0.50
0.54,0.54,0.55,0.54
0.55,0.51,0.55,0.51
0.51,0.52,0.53,0.51
0.52,0.51,0.53,0.51
0.51,0.51,0.53,0.50
0.49,0.50,0.52,0.49
0.50,0.52,0.53,0.49
0.51,0.52,0.54,0.51
0.53,0.54,0.54,0.52
0.52,0.55,0.57,0.52
0.56,0.57,0.57,0.55
0.58,0.56,0.58,0.55
0.55,0.56,0.58,0.55
0.56,0.56,0.57,0.56
0.57,0.57,0.58,0.56
0.56,0.57,0.58,0.56
0.57,0.58,0.59,0.56
0.57,0.57,0.59,0.56
0.56,0.57,0.58,0.56
0.56,0.56,0.57,0.56
0.50,0.56,0.56,0.50
0.57,0.54,0.57,0.53
0.54,0.57,0.58,0.54
0.56,0.57,0.58,0.56
0.56,0.58,0.58,0.56
0.56,0.57,0.58,0.56
0.58,0.57,0.58,0.57
0.56,0.58,0.59,0.56
0.57,0.59,0.60,0.57
0.61,0.61,0.61,0.57
0.51,0.48,0.52,0.45
0.48,0.48,0.50,0.47
0.48,0.46,0.48,0.46
0.45,0.43,0.46,0.43
0.45,0.43,0.45,0.43
0.44,0.45,0.45,0.44
0.45,0.44,0.46,0.44
0.43,0.44,0.44,0.43
0.44,0.43,0.44,0.43
0.45,0.44,0.46,0.44
0.44,0.43,0.44,0.43
0.43,0.43,0.44,0.43
0.42,0.41,0.43,0.41
0.41,0.40,0.42,0.40
0.41,0.41,0.42,0.41
0.42,0.46,0.46,0.41
0.45,0.44,0.45,0.43
0.44,0.42,0.45,0.41
0.42,0.41,0.42,0.41
0.43,0.41,0.43,0.41
0.42,0.41,0.42,0.40
0.40,0.42,0.43,0.40
0.42,0.42,0.42,0.41
0.41,0.41,0.42,0.41
0.40,0.40,0.41,0.40
0.40,0.39,0.43,0.39
0.40,0.41,0.41,0.40
0.41,0.41,0.42,0.40
0.42,0.40,0.42,0.40
0.41,0.41,0.42,0.40
0.42,0.41,0.42,0.40
0.40,0.41,0.41,0.39
0.40,0.40,0.41,0.39
0.40,0.39,0.41,0.39
0.39,0.39,0.40,0.39
0.38,0.38,0.39,0.37
0.38,0.41,0.41,0.37
0.42,0.39,0.42,0.38
0.39,0.38,0.39,0.38
0.41,0.38,0.41,0.37
0.37,0.38,0.38,0.37
0.40,0.39,0.40,0.38
0.39,0.38,0.40,0.38
0.38,0.38,0.39,0.38
0.37,0.39,0.40,0.37
0.38,0.38,0.39,0.38
0.36,0.38,0.40,0.36
0.40,0.39,0.40,0.37
0.39,0.38,0.39,0.37
0.37,0.39,0.39,0.37
0.39,0.39,0.39,0.38
0.39,0.39,0.40,0.38
0.39,0.40,0.40,0.38
0.40,0.41,0.41,0.39
0.41,0.42,0.42,0.40
0.42,0.40,0.42,0.40
0.41,0.40,0.42,0.39
0.39,0.41,0.42,0.39
0.40,0.44,0.44,0.40
0.44,0.48,0.50,0.43
0.49,0.44,0.49,0.43
0.45,0.45,0.46,0.43
0.46,0.44,0.46,0.40
0.46,0.44,0.46,0.43
0.43,0.42,0.43,0.42
0.41,0.43,0.44,0.40
0.42,0.43,0.44,0.42
0.39,0.45,0.46,0.39
0.46,0.45,0.46,0.42
0.43,0.45,0.46,0.43
0.46,0.45,0.46,0.43
0.45,0.45,0.45,0.43
0.45,0.45,0.45,0.44
0.46,0.44,0.46,0.44
0.43,0.45,0.45,0.43
0.45,0.45,0.47,0.43
0.47,0.46,0.48,0.45
0.46,0.46,0.47,0.44
0.44,0.50,0.50,0.44
0.48,0.47,0.50,0.47
0.49,0.48,0.49,0.47
0.47,0.46,0.49,0.45
0.47,0.48,0.48,0.46
0.48,0.49,0.49,0.47
0.44,0.46,0.47,0.44
0.46,0.50,0.52,0.46
0.50,0.49,0.51,0.47
0.48,0.47,0.49,0.46
0.46,0.47,0.47,0.46
0.47,0.47,0.48,0.46
0.46,0.47,0.47,0.46
0.47,0.46,0.47,0.45
0.46,0.48,0.51,0.46
