IYH,iShares U.S. Healthcare ETF,NASDAQ
62.22,62.23,62.30,62.05
62.43,62.28,62.66,62.13
62.52,63.06,63.16,62.37
63.06,63.13,63.29,62.90
62.98,63.14,63.43,62.92
62.56,62.63,63.05,62.46
63.31,63.48,63.51,63.03
63.14,63.06,63.33,63.03
63.16,63.53,63.62,62.82
63.32,63.33,63.47,63.15
63.68,63.26,63.85,63.03
63.59,63.24,63.59,62.90
63.16,62.63,63.30,62.44
63.19,63.75,63.84,63.19
63.63,63.57,63.83,63.36
63.81,63.59,63.88,63.42
63.65,63.80,63.95,63.49
64.00,63.82,64.00,63.66
63.69,63.95,64.12,63.41
64.37,64.38,64.54,64.15
64.34,64.25,64.53,63.96
64.28,64.46,64.79,64.11
64.53,64.97,65.04,64.52
64.60,63.84,64.60,63.49
63.81,64.26,64.58,63.81
64.41,64.46,64.77,63.97
64.39,64.52,64.55,64.33
64.82,64.81,65.32,64.77
64.47,64.61,64.61,64.36
64.25,64.31,64.43,63.86
64.73,64.57,64.84,64.32
64.67,64.28,64.67,64.11
64.47,64.22,64.87,63.87
64.69,64.75,64.87,64.64
64.89,64.75,64.96,64.29
65.52,65.18,65.52,65.03
65.14,64.94,65.20,64.65
64.70,64.71,64.79,64.55
64.94,64.47,64.94,64.35
64.50,64.61,64.61,63.92
64.15,64.70,64.70,64.12
64.40,64.01,64.47,63.86
64.19,63.94,64.26,63.92
63.53,63.00,63.67,62.86
63.02,63.11,63.34,63.00
63.67,63.94,64.10,63.33
63.90,63.99,64.07,63.75
63.89,64.06,64.15,63.53
63.41,63.25,63.51,63.17
63.67,63.81,63.88,63.53
63.32,63.39,63.55,63.28
62.91,63.20,63.33,62.38
62.61,62.68,62.99,62.52
63.48,63.75,63.85,63.32
63.82,64.22,64.22,63.78
63.94,64.30,64.33,63.94
64.17,63.90,64.17,63.90
64.22,63.89,64.33,63.87
63.84,63.99,64.05,63.75
64.06,64.12,64.14,63.92
64.27,64.83,64.88,64.27
64.85,64.87,65.15,64.83
65.01,65.61,65.76,65.01
65.61,65.52,65.93,65.49
65.56,65.96,65.96,65.34
65.95,66.01,66.02,65.66
66.00,66.03,66.19,65.81
66.14,65.96,66.16,65.94
65.68,65.79,65.82,65.62
65.67,65.74,65.84,65.67
65.43,65.61,65.70,65.41
65.63,65.59,65.74,65.48
65.76,65.62,65.76,65.62
65.67,65.50,65.67,65.45
65.36,65.37,65.54,65.28
65.84,66.03,66.39,65.84
66.18,66.19,66.20,65.93
65.93,66.35,66.43,65.93
66.27,66.52,66.57,66.27
66.48,66.47,66.55,66.08
66.16,66.33,66.35,66.16
66.47,66.65,66.72,66.45
66.97,66.99,67.04,66.73
66.88,66.70,66.88,66.57
66.47,66.76,66.76,66.47
66.62,67.03,67.04,66.62
67.09,66.57,67.09,66.33
66.36,66.69,66.77,66.30
66.87,66.64,66.97,66.59
66.47,66.65,66.85,66.47
66.42,66.70,66.81,66.42
66.76,66.70,66.87,66.67
66.56,66.87,66.97,66.56
66.89,65.63,66.90,65.59
65.80,65.72,65.94,65.52
66.19,66.80,66.94,66.15
66.79,66.69,66.79,66.54
66.55,66.77,66.90,66.16
66.85,67.03,67.03,66.59
67.01,66.99,67.20,66.94
66.99,67.20,67.22,66.99
67.04,67.06,67.19,66.88
66.79,67.14,67.18,66.79
66.88,67.26,67.38,66.79
67.22,67.52,67.56,67.10
67.30,67.52,67.52,67.19
67.66,67.84,68.00,67.64
67.58,68.07,68.15,67.55
68.08,68.19,68.31,67.95
67.46,67.17,67.83,67.07
67.13,66.59,67.21,66.58
66.42,66.73,66.89,66.35
67.01,67.38,67.38,66.94
67.67,67.99,68.07,67.65
68.12,67.54,68.28,67.48
67.36,67.78,67.89,67.31
68.35,69.02,69.13,68.28
69.14,68.95,69.14,68.52
69.13,68.36,69.13,68.05
68.39,68.85,69.02,68.21
68.64,68.94,69.07,68.63
68.65,67.92,68.65,67.89
67.64,68.20,68.30,67.64
67.70,67.85,68.18,67.52
66.32,67.04,67.35,66.32
66.85,65.95,66.86,65.66
66.87,66.66,66.87,66.32
67.40,67.04,67.40,66.77
67.73,67.42,67.91,67.31
67.74,67.40,67.74,67.36
67.21,67.31,67.44,66.85
67.68,68.09,68.14,67.47
68.01,68.06,68.35,67.84
68.19,68.05,68.19,68.03
68.09,68.52,68.53,68.00
68.80,69.11,69.37,68.80
68.98,69.14,69.33,68.98
69.46,69.52,69.59,69.29
69.73,69.92,70.02,69.73
69.64,69.64,69.88,69.62
69.93,69.82,70.05,69.79
69.74,69.73,70.00,69.53
69.97,69.71,70.11,69.48
69.75,69.98,70.20,69.75
69.60,69.94,70.18,69.60
70.31,69.93,70.31,69.79
69.58,70.32,70.41,69.58
70.50,70.92,71.03,70.50
70.34,70.07,70.35,69.77
70.36,70.64,70.64,70.11
71.40,71.29,71.47,71.15
71.74,71.47,71.83,71.27
71.49,71.56,71.58,71.22
71.75,72.36,72.49,71.75
72.51,73.31,73.40,72.37
73.33,73.73,73.79,73.13
73.73,73.65,73.81,73.58
73.97,74.32,74.51,73.93
74.32,74.01,74.32,73.67
74.07,73.87,74.09,73.56
73.57,73.38,73.95,73.20
73.81,73.92,74.30,73.68
73.99,74.42,74.48,73.88
74.70,74.88,74.93,74.37
74.93,74.70,75.13,74.38
74.46,75.36,75.47,74.25
75.52,75.14,75.69,74.80
74.84,75.14,75.50,74.83
75.07,75.07,75.14,74.63
75.10,75.73,75.78,75.00
75.93,75.51,75.93,75.20
75.42,74.98,75.42,74.69
74.34,74.25,74.34,73.92
74.27,73.95,74.27,73.91
73.62,74.09,74.22,73.62
73.82,74.18,74.30,73.54
74.21,74.26,74.36,74.00
74.67,75.15,75.17,74.52
74.92,74.16,75.12,74.14
74.04,73.99,74.18,73.70
73.12,73.24,73.68,73.12
73.06,72.63,73.14,72.61
73.02,72.85,73.34,72.78
72.73,72.81,72.94,72.59
72.97,73.45,73.78,72.97
73.19,72.16,73.19,72.12
72.28,72.44,72.79,72.28
73.03,73.11,73.37,72.81
72.60,72.09,73.07,71.98
72.08,72.25,72.44,71.79
72.85,72.29,72.90,72.11
72.26,73.00,73.05,72.20
73.39,73.54,73.71,73.20
73.36,73.15,73.63,73.15
72.82,73.10,73.13,72.12
72.72,71.99,72.93,71.84
72.02,72.34,72.53,71.65
72.61,73.43,73.57,72.49
73.70,73.52,73.72,73.30
73.75,73.78,73.96,73.68
73.72,74.71,74.74,73.72
74.50,74.54,74.61,74.29
74.40,74.78,74.92,74.40
75.19,74.75,75.19,74.51
74.23,74.56,74.57,74.12
73.72,73.45,74.00,73.29
73.30,73.48,74.15,73.30
73.86,73.82,74.55,73.71
73.90,73.72,74.27,73.57
73.88,73.38,73.88,73.01
73.10,72.80,73.22,72.28
72.99,73.43,73.57,72.85
73.56,73.19,73.56,72.99
73.79,74.38,74.62,73.73
74.45,74.31,74.48,73.96
73.81,73.39,73.92,73.31
73.32,72.77,73.32,72.69
72.45,71.35,72.45,71.27
71.33,71.26,72.12,71.17
70.63,70.92,71.34,70.11
71.73,69.62,71.73,68.93
69.10,68.05,69.48,68.02
68.07,68.09,68.13,66.63
67.15,65.15,67.21,65.13
65.80,65.58,66.40,63.87
64.00,61.98,64.76,61.98
62.60,64.44,64.44,61.02
63.48,61.76,63.87,61.62
62.09,64.46,65.23,61.91
65.03,65.10,65.68,64.54
65.66,66.42,66.47,65.40
65.96,66.29,66.73,65.70
66.54,66.26,67.11,65.75
64.64,64.03,64.99,63.59
63.31,63.74,64.80,63.20
64.78,63.82,64.93,63.72
64.07,65.90,65.90,63.90
65.70,66.65,66.66,65.60
66.78,65.51,66.78,65.28
64.95,66.30,66.47,64.06
67.09,68.07,68.11,67.09
67.54,68.42,68.75,67.38
68.93,68.77,69.28,68.39
68.77,68.20,69.33,68.15
67.22,66.69,67.74,66.63
65.06,66.90,66.95,65.06
67.80,68.55,68.57,67.51
68.09,67.85,68.79,67.81
67.27,65.87,67.27,65.64
65.09,66.06,66.13,64.92
66.00,66.76,66.82,66.00
67.04,67.39,68.07,66.15
67.95,68.08,68.08,67.04
68.25,68.34,68.63,67.91
67.36,67.78,68.00,67.21
67.96,68.29,69.01,67.79
68.13,66.57,68.45,66.57
64.92,65.11,65.43,64.43
64.45,65.01,65.25,64.23
65.51,65.92,65.94,64.63
67.06,66.91,67.67,66.64
67.03,65.69,67.24,65.62
66.78,66.15,66.92,65.20
65.35,65.31,66.48,65.31
64.88,63.17,65.47,63.17
62.54,64.02,64.02,62.08
64.14,65.00,65.09,63.80
65.10,65.93,65.93,64.98
66.11,65.71,66.25,65.60
66.66,67.20,67.27,66.66
66.85,67.03,67.20,66.85
67.47,67.10,67.75,67.10
66.78,67.23,67.34,66.62
67.97,67.74,67.97,67.40
67.43,66.63,67.43,66.45
66.36,67.03,67.47,65.96
67.33,66.87,67.72,66.69
66.96,66.93,67.16,66.19
67.61,68.12,68.26,67.61
68.22,69.25,69.31,68.22
68.94,67.80,68.97,67.72
68.61,68.61,68.82,67.80
69.99,70.10,70.36,69.31
70.07,70.37,70.48,70.02
69.72,69.10,69.96,69.10
67.62,67.72,68.35,67.30
68.50,68.12,68.56,67.73
68.65,68.78,68.89,68.11
68.20,68.18,68.46,67.76
68.30,68.94,68.98,68.05
69.24,69.70,69.76,68.71
68.37,67.73,68.79,67.56
68.59,68.64,68.88,68.00
69.27,69.73,69.97,69.27
69.38,69.30,69.57,69.07
69.22,69.43,69.63,68.89
68.81,68.23,69.25,68.22
68.01,67.47,68.14,66.93
67.65,67.31,67.65,67.26
66.41,66.37,66.77,66.15
66.20,66.53,66.76,66.14
65.89,65.70,65.96,65.53
65.19,65.23,65.72,65.19
66.53,67.01,67.15,66.35
67.13,67.31,67.70,67.13
68.79,69.74,69.83,68.79
69.71,69.82,70.20,69.71
70.16,69.01,70.25,68.84
69.80,69.13,69.84,68.83
69.26,69.41,69.76,69.16
69.12,69.92,70.09,68.99
69.54,68.49,69.54,68.44
68.84,69.54,69.68,68.84
68.99,68.70,69.06,68.47
69.06,68.62,69.48,68.41
68.54,68.49,68.77,68.33
69.06,69.16,69.39,68.85
69.51,69.21,69.72,69.09
69.42,69.07,69.91,68.94
69.91,70.55,70.65,69.91
70.48,71.03,71.09,70.48
70.73,71.17,71.25,70.70
71.39,71.66,71.71,71.30
71.50,71.91,72.00,71.50
71.87,71.04,71.87,70.93
71.26,71.65,71.75,71.26
71.53,71.57,71.86,71.53
72.22,72.34,72.55,72.21
72.09,72.01,72.18,71.76
71.66,72.32,72.35,71.50
72.49,72.41,72.59,72.10
72.63,72.58,72.64,72.10
73.20,73.25,73.30,73.02
73.12,73.34,73.39,73.00
73.57,73.52,73.57,73.01
73.13,73.23,73.31,72.67
73.78,73.71,74.10,73.64
73.66,74.12,74.13,73.62
74.16,74.12,74.24,73.83
74.28,74.12,74.33,73.83
74.10,73.79,74.19,73.58
73.53,73.88,74.03,73.53
73.64,74.55,74.62,73.53
74.65,74.16,74.66,73.95
74.04,74.43,74.54,74.04
73.91,74.16,74.21,73.58
74.36,74.25,74.79,74.08
74.39,75.08,75.33,74.39
75.05,74.96,75.05,74.47
75.44,75.25,75.46,75.10
75.09,75.08,75.30,74.82
74.76,75.25,75.25,74.67
75.11,75.00,75.33,74.70
75.11,74.79,75.11,74.56
74.26,74.58,74.58,74.18
74.85,75.18,75.33,74.85
75.14,75.25,75.45,74.98
75.52,75.21,75.64,75.09
75.19,75.81,75.83,75.18
75.75,75.44,75.75,75.39
75.53,74.86,75.53,74.75
74.78,74.92,75.07,74.63
74.90,75.00,75.09,74.83
75.15,75.37,75.47,75.12
74.90,75.42,75.65,74.87
75.49,75.80,75.89,75.36
75.64,75.33,75.90,75.32
75.27,75.66,75.76,75.27
75.71,75.54,75.71,75.36
75.42,75.36,75.65,75.19
74.88,74.23,74.98,74.06
74.33,74.51,74.62,74.23
74.88,75.44,75.61,74.88
75.61,75.76,75.96,75.61
75.72,75.68,75.85,75.56
76.04,76.74,76.74,76.03
76.71,76.71,76.92,76.58
76.81,76.95,77.04,76.60
76.96,76.92,77.26,76.86
76.81,76.96,77.16,76.80
76.68,76.61,76.80,76.46
76.59,76.58,76.71,76.43
76.05,76.35,76.45,76.02
76.33,76.51,76.53,76.21
76.70,77.48,77.51,76.61
77.69,77.60,77.95,77.55
77.68,77.44,77.97,77.05
77.12,77.58,77.66,77.02
77.90,78.20,78.32,77.86
78.18,78.48,78.66,78.04
78.38,78.66,78.67,78.24
78.28,78.09,78.28,77.93
77.85,78.14,78.14,77.72
77.18,77.02,77.33,77.00
76.85,75.98,77.04,75.96
76.51,76.24,76.66,76.21
76.34,76.69,76.77,76.29
76.62,75.88,76.62,75.88
76.10,75.87,76.10,75.59
76.16,76.92,77.03,76.16
76.85,76.83,77.07,76.81
77.24,77.15,77.73,76.83
77.37,77.51,77.89,77.32
76.84,77.00,77.02,76.70
77.00,77.19,77.35,76.90
77.59,78.08,78.17,77.59
77.79,78.08,78.20,77.62
78.26,78.21,78.41,77.91
78.18,78.05,78.38,77.89
77.92,78.32,78.61,77.75
78.05,78.23,78.32,78.04
78.28,77.87,78.28,77.73
77.63,76.83,77.63,76.80
76.59,77.17,77.42,76.59
76.78,77.40,77.40,76.42
76.68,76.69,77.09,76.26
77.17,77.17,77.48,77.15
77.08,77.21,77.73,77.07
76.57,76.98,77.29,76.49
76.94,76.57,77.07,76.36
76.71,76.69,76.94,76.54
76.62,75.78,76.66,75.78
76.11,75.05,76.11,74.90
75.30,75.97,75.97,75.20
76.07,75.78,76.48,75.61
75.40,75.37,75.74,74.69
75.47,76.13,76.13,75.47
76.10,76.03,76.40,75.90
76.28,76.30,76.64,76.00
75.95,75.69,76.01,75.58
75.71,75.39,75.84,74.99
74.65,73.96,74.79,73.90
73.99,74.13,74.19,73.64
73.98,74.64,74.70,73.92
74.86,75.61,75.61,74.79
76.32,75.61,76.32,75.57
75.53,76.25,76.29,75.51
76.52,75.41,76.52,75.41
75.61,76.15,76.15,75.31
76.10,75.98,76.56,75.96
76.72,77.03,77.23,76.59
77.27,77.55,77.61,77.24
77.26,77.93,78.02,77.26
77.91,78.37,78.59,77.91
78.13,78.21,78.46,77.87
78.27,77.18,78.38,77.15
77.59,78.14,78.28,77.49
77.26,77.10,77.36,77.06
77.32,77.43,77.61,77.13
77.60,78.29,78.54,77.60
77.92,78.00,78.01,77.20
79.11,79.50,79.50,79.02
79.20,79.86,79.95,79.20
79.83,79.75,80.02,79.59
79.35,79.41,79.72,79.32
78.98,78.94,79.10,78.57
78.80,79.46,79.48,78.80
79.72,78.89,79.81,78.69
78.91,78.82,78.99,78.41
78.59,79.03,79.27,78.36
79.20,79.94,79.99,79.20
79.84,79.99,80.13,79.67
80.12,80.98,81.14,79.95
80.82,81.24,81.37,80.62
81.36,81.15,81.36,80.76
80.75,80.10,80.75,80.04
79.21,79.19,79.32,78.75
79.20,78.30,79.20,77.87
78.54,78.54,78.73,78.16
79.41,79.33,79.73,79.12
79.74,81.23,81.41,79.74
81.12,80.78,81.12,80.74
80.87,80.32,81.04,80.28
80.48,80.23,80.84,80.18
79.72,79.53,79.99,79.07
80.19,80.48,80.93,80.19
80.77,80.59,80.78,80.46
80.54,80.49,80.75,80.43
80.39,80.71,80.84,80.39
80.59,80.63,80.98,80.50
80.62,81.01,81.06,80.57
80.94,80.77,80.94,80.46
81.06,81.03,81.19,80.95
81.22,81.32,81.50,81.16
81.23,81.16,81.35,80.89
81.20,80.84,81.20,80.64
80.75,81.05,81.06,80.74
80.95,80.74,81.24,80.70
80.63,80.84,80.96,80.61
80.71,80.76,80.88,80.58
80.77,81.45,81.54,80.77
81.26,81.48,81.74,81.23
81.45,81.36,81.63,81.26
81.44,81.63,81.96,81.44
81.41,81.38,81.58,81.10
81.89,81.66,81.93,81.30
81.64,81.96,82.17,81.27
82.15,82.00,82.31,81.80
82.34,83.35,83.40,82.34
83.56,83.33,83.56,83.09
83.27,83.10,83.40,83.10
83.22,83.07,83.31,83.03
83.29,83.12,83.32,83.00
82.97,83.95,84.06,82.96
84.05,83.66,84.07,83.53
83.67,84.10,84.16,83.67
84.13,84.47,84.57,84.04
84.60,84.54,84.83,84.43
84.49,84.85,84.87,84.30
85.04,85.28,85.46,84.99
84.90,85.30,85.42,84.90
85.07,84.83,85.72,84.82
84.88,84.29,85.16,84.26
84.63,84.89,85.08,84.47
84.67,84.59,84.77,84.21
84.80,84.99,85.51,84.80
85.41,85.53,85.68,85.08
85.66,86.15,86.18,85.51
86.35,86.61,86.88,86.21
86.90,86.68,87.11,86.50
86.50,86.59,86.60,86.20
86.30,85.39,86.30,85.39
85.44,84.82,85.44,84.55
85.13,84.93,85.48,84.92
85.21,84.80,85.35,84.72
84.88,85.85,85.92,84.88
86.26,86.69,86.74,86.26
86.78,86.80,86.89,86.54
86.43,86.67,86.70,86.15
86.57,85.14,86.57,84.97
85.11,85.17,85.18,84.66
84.26,84.00,84.51,83.49
84.31,84.09,84.52,84.06
84.53,84.72,84.94,84.38
84.57,84.19,84.69,83.81
84.34,83.47,84.38,83.20
83.54,84.21,84.58,83.54
84.52,83.66,84.52,83.66
83.55,83.96,84.06,83.37
83.78,84.03,84.44,83.55
83.34,82.61,83.45,81.86
82.54,81.62,82.59,81.58
81.42,81.91,82.41,81.37
82.37,82.31,82.64,82.13
82.09,81.94,82.81,81.93
82.10,80.86,82.15,80.70
80.78,80.72,80.88,80.32
80.68,81.37,81.58,80.65
82.06,82.25,82.29,82.00
82.28,82.78,82.78,82.13
83.06,82.90,83.06,82.70
83.05,83.80,83.80,83.05
83.38,83.38,83.38,83.00
83.13,82.93,83.47,82.85
82.79,83.51,83.51,82.22
83.82,84.16,84.29,83.79
84.22,84.18,84.33,83.88
84.38,84.01,84.67,83.86
83.95,84.13,84.38,83.95
84.25,84.42,84.67,83.87
84.46,84.39,84.49,84.21
84.41,84.63,84.65,84.00
84.49,84.97,85.15,84.49
85.28,85.83,86.05,85.26
86.02,85.62,86.29,85.62
85.62,84.91,85.78,84.83
84.84,84.60,84.97,84.48
84.69,85.19,85.19,84.69
85.37,85.92,86.01,85.12
85.70,84.72,85.70,84.72
84.57,84.78,84.85,84.44
84.03,84.13,84.36,83.85
83.91,83.85,84.03,83.71
83.93,83.46,83.93,83.19
83.46,83.47,83.77,82.61
82.94,82.48,83.25,82.48
82.27,83.51,83.51,82.10
84.51,85.09,85.15,84.44
85.16,85.26,85.35,84.85
85.48,85.62,85.79,85.44
85.52,86.05,86.05,85.38
85.92,85.96,86.25,85.91
86.27,86.94,86.94,86.27
87.22,87.54,87.64,86.86
87.59,87.41,87.66,87.23
87.43,87.53,87.70,87.24
87.23,87.50,87.59,87.23
87.44,87.32,87.49,87.25
87.65,88.11,88.26,87.55
88.06,88.30,88.30,87.79
88.23,88.64,88.64,87.90
88.51,88.41,88.70,88.21
88.62,89.06,89.28,88.62
89.30,89.81,89.81,89.02
90.10,89.41,90.10,89.36
89.42,90.20,90.41,89.42
90.31,89.99,90.49,89.93
89.89,89.77,90.10,89.75
90.10,90.62,90.69,89.96
90.03,89.55,90.20,89.53
89.92,90.55,90.67,89.92
90.41,90.47,90.63,90.20
90.51,90.11,90.51,89.60
90.28,90.76,90.76,90.26
90.61,90.52,90.61,90.38
90.62,90.38,90.62,90.33
90.49,90.40,90.49,90.10
90.25,90.60,90.71,90.19
90.69,90.69,90.88,90.46
90.55,91.27,91.28,90.55
91.32,90.74,91.40,90.71
90.46,90.26,90.54,89.97
90.63,90.75,90.78,90.37
91.16,89.75,91.34,89.75
90.04,89.94,90.19,89.44
89.95,90.94,91.25,89.71
91.03,90.93,91.57,90.90
90.61,91.51,91.58,90.44
91.36,92.13,92.13,91.24
92.53,92.92,93.02,92.50
93.08,93.13,93.30,92.90
93.23,93.08,93.45,92.99
93.43,93.38,93.45,92.86
93.49,93.80,93.80,93.14
94.00,94.14,94.20,93.92
94.14,94.19,94.26,93.84
94.35,94.36,94.38,94.05
93.98,93.95,94.31,93.75
93.50,93.50,93.91,93.13
93.72,93.54,93.90,93.08
93.91,94.44,94.56,93.91
94.15,93.90,94.38,93.66
94.21,94.51,94.51,94.16
94.44,93.95,94.56,93.55
94.10,95.08,95.08,94.10
94.80,95.60,95.63,94.52
95.66,96.42,96.54,95.66
96.49,96.66,96.74,96.12
97.29,97.94,98.02,97.29
98.13,97.20,98.13,97.01
97.58,97.63,98.09,97.19
96.80,97.00,97.04,96.51
96.96,97.17,97.17,96.32
97.46,97.52,97.91,97.34
97.81,99.15,99.15,97.81
99.28,100.10,100.39,99.28
99.86,100.21,100.36,99.69
100.21,98.28,100.33,98.28
99.12,99.84,99.88,98.70
99.35,99.37,99.59,98.58
99.46,98.12,99.46,97.95
98.97,100.11,100.11,98.70
100.45,100.58,100.73,99.93
100.99,101.25,101.65,100.39
100.81,99.49,100.92,99.44
100.02,99.99,100.21,99.38
99.65,100.02,100.13,99.50
100.43,100.42,100.71,100.25
100.18,99.63,100.18,99.30
98.88,98.57,99.45,98.49
99.19,99.62,99.73,99.07
100.51,100.15,100.70,100.00
100.43,99.65,100.43,99.58
99.93,99.87,100.01,99.53
99.93,100.16,100.38,99.73
100.20,100.25,100.64,99.92
100.21,101.46,101.46,100.21
101.54,102.27,102.29,101.20
102.37,103.34,103.38,102.37
103.33,103.67,104.22,103.15
103.54,102.55,103.54,102.47
102.79,103.07,103.07,102.33
103.00,102.37,103.17,102.25
102.50,103.42,103.50,102.41
103.90,103.29,105.66,102.81
102.22,103.40,103.70,102.13
102.90,103.13,103.23,102.40
104.12,104.14,105.03,103.77
103.78,102.61,103.78,102.05
102.80,103.42,103.78,102.69
103.11,101.22,103.38,101.21
101.80,101.69,101.80,100.71
101.80,100.98,102.14,100.57
100.80,99.48,101.31,99.26
99.51,100.85,100.86,99.03
101.55,101.99,102.38,101.55
102.30,102.24,102.39,101.80
101.51,101.78,102.40,101.00
102.39,100.76,102.61,100.76
100.55,102.27,102.33,100.01
102.06,101.99,102.58,101.85
102.61,102.16,102.99,101.73
102.39,103.03,103.08,102.28
103.04,101.39,103.09,101.38
