VGZ,Vista Gold Corp Common Stock,NASDAQ
1.37,1.49,1.49,1.37
1.59,1.42,1.59,1.37
1.42,1.40,1.46,1.39
1.37,1.39,1.42,1.37
1.39,1.38,1.41,1.37
1.38,1.33,1.38,1.30
1.31,1.36,1.37,1.30
1.35,1.36,1.38,1.35
1.37,1.38,1.38,1.35
1.39,1.35,1.39,1.34
1.35,1.35,1.49,1.33
1.39,1.36,1.41,1.35
1.38,1.36,1.39,1.35
1.39,1.38,1.39,1.36
1.41,1.38,1.41,1.35
1.35,1.36,1.38,1.33
1.36,1.38,1.39,1.33
1.43,1.45,1.47,1.37
1.41,1.47,1.49,1.41
1.55,1.73,1.74,1.50
1.75,1.73,1.85,1.73
1.72,1.70,1.75,1.65
1.87,1.91,2.00,1.83
1.94,1.95,1.99,1.83
1.95,1.89,1.98,1.85
1.84,1.91,1.94,1.80
1.94,2.31,2.31,1.92
2.30,2.24,2.35,2.15
2.27,2.25,2.28,2.15
2.23,2.21,2.26,2.20
2.23,2.11,2.29,2.10
2.14,2.18,2.22,2.12
2.18,2.26,2.26,2.18
2.29,2.48,2.48,2.26
2.45,2.36,2.48,2.36
2.41,2.40,2.47,2.36
2.40,2.34,2.44,2.27
2.40,2.42,2.42,2.32
2.36,2.37,2.40,2.32
2.42,2.12,2.48,2.10
2.13,2.20,2.27,2.03
2.22,2.26,2.31,2.11
2.29,2.05,2.35,2.05
2.13,2.13,2.18,2.10
2.11,2.22,2.23,2.07
2.26,2.22,2.29,2.21
2.25,2.35,2.35,2.21
2.35,2.35,2.41,2.33
2.44,2.47,2.47,2.36
2.44,2.51,2.52,2.35
2.52,2.57,2.59,2.51
2.53,2.57,2.58,2.40
2.62,2.68,2.76,2.59
2.68,2.76,2.80,2.63
2.84,2.76,2.90,2.72
2.75,2.76,2.78,2.70
2.76,2.69,2.79,2.62
2.62,2.68,2.76,2.62
2.70,2.75,2.79,2.61
2.66,2.75,2.76,2.63
2.80,2.87,2.88,2.75
2.89,2.80,2.90,2.78
2.78,2.79,2.83,2.71
2.79,2.69,2.79,2.65
2.58,2.39,2.60,2.38
2.36,2.51,2.54,2.35
2.59,2.54,2.69,2.52
2.57,2.65,2.67,2.48
2.70,2.61,2.78,2.61
2.58,2.80,2.82,2.58
2.80,2.75,2.80,2.67
2.76,2.74,2.77,2.69
2.76,2.75,2.80,2.73
2.71,2.78,2.78,2.65
2.78,2.74,2.78,2.69
2.67,2.69,2.74,2.63
2.80,2.82,2.84,2.74
2.82,3.03,3.07,2.82
3.10,3.13,3.26,3.04
3.42,2.95,3.45,2.92
2.95,3.18,3.19,2.84
3.18,3.14,3.20,3.10
3.03,2.90,3.10,2.86
2.97,2.85,2.97,2.85
2.90,2.96,2.99,2.80
3.00,2.94,3.00,2.84
3.03,2.98,3.05,2.95
2.99,3.01,3.02,2.92
3.06,3.02,3.06,2.97
2.97,2.91,3.04,2.85
3.00,2.86,3.00,2.85
2.81,2.83,2.85,2.80
2.83,2.85,2.95,2.78
2.89,2.85,2.92,2.83
2.93,2.93,3.00,2.86
2.97,2.98,3.02,2.95
2.97,3.05,3.07,2.93
3.09,3.05,3.15,3.04
3.17,2.87,3.17,2.85
2.95,2.79,2.95,2.75
2.88,2.75,2.89,2.71
2.70,2.70,2.75,2.67
2.75,2.73,2.76,2.67
2.75,2.53,2.75,2.51
2.58,2.55,2.62,2.55
2.67,2.50,2.67,2.48
2.55,2.70,2.70,2.48
2.70,2.56,2.70,2.55
2.59,2.50,2.60,2.49
2.53,2.47,2.53,2.47
2.50,2.49,2.54,2.35
2.57,2.52,2.57,2.50
2.56,2.58,2.61,2.52
2.62,2.60,2.63,2.56
2.60,2.48,2.63,2.47
2.46,2.39,2.52,2.25
2.43,2.50,2.50,2.39
2.73,2.63,2.80,2.52
2.63,3.07,3.15,2.58
3.14,3.04,3.33,2.97
2.99,2.99,3.02,2.91
2.96,3.00,3.03,2.86
3.03,3.05,3.13,2.93
3.03,3.00,3.07,2.98
3.05,2.86,3.11,2.86
2.78,2.80,2.87,2.74
2.85,2.89,2.95,2.82
2.89,2.72,2.95,2.72
2.68,2.64,2.72,2.57
2.71,2.40,2.79,2.40
2.57,2.50,2.64,2.43
2.49,2.50,2.51,2.40
2.53,2.67,2.68,2.51
2.64,2.52,2.66,2.49
2.51,2.56,2.61,2.49
2.53,2.52,2.57,2.51
2.55,2.67,2.70,2.53
2.69,2.61,2.69,2.58
2.66,2.79,2.83,2.58
2.81,2.80,2.87,2.76
2.82,2.76,2.89,2.75
2.85,2.83,2.89,2.75
2.91,2.74,2.92,2.74
2.73,2.83,2.85,2.68
2.78,2.72,2.84,2.71
2.69,2.79,2.80,2.69
2.80,2.82,2.82,2.72
2.82,2.97,2.99,2.76
3.00,2.95,3.00,2.90
2.95,3.00,3.07,2.90
3.05,2.94,3.05,2.90
2.88,2.89,2.95,2.80
2.84,2.85,2.87,2.76
2.82,3.05,3.05,2.82
3.07,3.23,3.24,3.05
3.28,3.52,3.59,3.23
3.64,3.76,3.90,3.55
3.68,3.71,3.75,3.51
3.68,3.67,3.82,3.62
3.88,3.85,3.89,3.71
3.82,3.74,3.82,3.55
3.69,3.63,3.78,3.60
3.57,3.36,3.57,3.25
3.13,3.46,3.51,3.13
3.49,3.26,3.49,3.22
3.01,3.19,3.26,2.90
3.24,3.27,3.39,3.15
3.30,3.19,3.42,3.19
3.27,3.24,3.37,3.20
3.44,3.86,3.86,3.33
3.75,4.08,4.22,3.67
4.10,4.03,4.28,3.96
3.97,3.90,4.07,3.81
3.86,3.87,4.04,3.76
3.88,3.83,3.99,3.81
3.84,3.88,3.96,3.78
3.93,3.99,3.99,3.84
4.00,4.00,4.19,3.82
4.01,3.89,4.03,3.89
3.90,3.69,3.91,3.55
3.70,3.91,3.96,3.60
4.03,3.88,4.09,3.80
3.89,3.92,3.98,3.83
3.96,3.81,3.98,3.80
3.82,3.65,3.88,3.61
3.47,3.40,3.51,3.34
3.46,3.43,3.46,3.40
3.40,3.47,3.49,3.40
3.45,3.38,3.46,3.37
3.37,3.40,3.43,3.30
3.36,3.43,3.44,3.33
3.49,3.44,3.49,3.40
3.45,3.41,3.51,3.36
3.38,3.24,3.41,3.23
3.25,3.29,3.55,3.10
3.30,3.29,3.34,3.16
3.34,3.21,3.34,3.17
3.25,3.28,3.38,3.19
3.26,3.18,3.33,3.16
3.15,3.08,3.28,3.02
3.04,2.97,3.09,2.91
2.94,2.91,3.08,2.89
2.96,2.99,3.06,2.95
3.00,2.94,3.02,2.92
2.99,2.96,2.99,2.93
2.99,2.86,2.99,2.80
2.84,2.89,2.96,2.68
2.92,2.79,2.96,2.78
2.76,2.74,2.86,2.72
2.66,2.89,2.94,2.61
2.90,3.01,3.11,2.90
3.03,2.79,3.03,2.75
2.78,2.92,2.96,2.67
2.84,2.91,2.94,2.81
2.96,2.99,3.00,2.80
3.04,3.05,3.07,2.98
3.01,3.07,3.10,2.96
3.12,2.98,3.22,2.96
2.93,2.87,2.95,2.84
2.85,2.90,3.00,2.84
2.92,2.82,2.93,2.79
2.80,2.82,2.92,2.79
2.81,2.88,2.91,2.80
2.88,2.86,2.92,2.80
2.85,2.81,2.89,2.76
2.81,2.84,2.91,2.78
2.82,2.88,2.93,2.80
2.86,2.82,2.90,2.76
2.82,2.84,2.87,2.81
2.81,2.69,2.84,2.58
2.60,2.63,2.74,2.52
2.58,2.70,2.70,2.53
2.70,2.59,2.70,2.58
2.60,2.80,2.81,2.59
2.75,2.76,2.82,2.75
2.72,2.79,2.81,2.60
2.79,2.77,2.83,2.66
2.72,2.82,2.82,2.69
2.82,2.93,2.94,2.77
2.92,2.93,2.98,2.85
2.92,2.83,2.96,2.82
2.83,2.83,2.87,2.70
2.89,2.86,2.94,2.81
2.96,2.99,3.00,2.88
2.99,3.13,3.19,2.95
3.14,3.32,3.36,3.14
3.31,3.20,3.40,3.11
3.16,3.34,3.37,3.13
3.41,3.46,3.50,3.37
3.38,3.20,3.43,3.18
3.28,3.40,3.42,3.26
3.47,3.43,3.66,3.39
3.44,3.35,3.44,3.32
3.30,3.41,3.45,3.27
3.41,3.45,3.46,3.31
3.45,3.40,3.52,3.37
3.48,3.30,3.53,3.29
3.28,3.40,3.42,3.28
3.42,3.13,3.44,3.12
3.16,3.27,3.28,3.13
3.23,3.09,3.40,3.07
3.31,3.15,3.31,3.07
3.13,3.19,3.27,3.13
3.26,3.26,3.34,3.21
3.24,2.90,3.30,2.86
2.84,2.80,3.05,2.60
2.84,2.70,3.06,2.70
2.88,2.94,2.94,2.59
3.00,2.82,3.02,2.79
2.92,3.15,3.19,2.88
3.16,3.24,3.25,3.05
3.26,3.27,3.28,3.17
3.24,3.12,3.28,3.10
3.08,3.12,3.25,3.05
3.18,2.99,3.21,2.96
3.03,3.14,3.30,3.03
3.15,3.32,3.34,3.14
3.32,3.29,3.37,3.17
3.21,3.09,3.25,2.95
3.09,3.18,3.22,3.03
3.13,3.26,3.26,3.07
3.27,3.23,3.27,3.11
3.26,3.31,3.36,3.23
3.31,3.41,3.44,3.26
3.45,3.50,3.55,3.36
3.59,3.58,3.59,3.44
3.57,4.01,4.03,3.50
3.86,4.00,4.00,3.77
3.99,3.78,4.11,3.77
3.78,3.70,3.90,3.60
3.80,4.41,4.46,3.77
4.42,4.55,4.57,4.07
4.56,4.54,4.59,4.33
4.43,4.34,4.44,4.13
4.29,4.27,4.40,4.20
4.35,3.80,4.36,3.74
3.82,3.85,4.08,3.78
3.87,3.89,4.12,3.83
3.71,3.55,3.80,3.50
3.51,3.45,3.56,3.30
3.43,3.42,3.49,3.22
3.55,3.59,3.69,3.48
3.66,3.29,3.66,3.27
3.46,3.38,3.46,3.26
3.34,3.34,3.43,3.30
3.36,3.16,3.42,3.16
3.21,3.20,3.23,3.02
3.37,3.40,3.41,3.17
3.41,3.52,3.61,3.41
3.58,3.42,3.63,3.35
3.50,3.56,3.59,3.39
3.62,3.57,3.63,3.47
3.56,3.58,3.62,3.50
3.52,3.41,3.53,3.31
3.55,3.55,3.56,3.44
3.50,3.39,3.59,3.38
3.35,3.38,3.39,3.20
3.37,3.10,3.39,3.09
3.10,3.07,3.18,3.02
3.09,3.15,3.21,3.08
3.20,3.36,3.36,3.17
3.38,3.53,3.58,3.26
3.57,3.68,3.74,3.49
3.80,3.80,3.82,3.70
3.78,3.81,3.90,3.75
3.78,3.61,3.78,3.59
3.49,3.66,3.75,3.46
3.65,3.78,3.85,3.65
3.85,3.96,3.96,3.70
3.85,3.86,3.92,3.78
3.92,4.00,4.00,3.79
4.00,4.03,4.07,3.92
3.95,3.82,4.16,3.82
3.90,3.70,3.90,3.60
3.73,3.93,3.99,3.70
3.92,3.79,3.93,3.75
3.75,3.84,3.87,3.72
3.78,3.67,3.79,3.67
3.71,3.52,3.75,3.49
3.51,3.43,3.56,3.36
3.33,3.28,3.36,3.19
3.32,3.42,3.56,3.31
3.34,3.22,3.36,3.22
3.20,3.12,3.31,3.12
3.22,3.32,3.33,3.20
3.23,3.28,3.34,3.23
3.39,3.61,3.67,3.39
3.65,3.63,3.82,3.58
3.70,3.59,3.70,3.52
3.48,3.61,3.66,3.45
3.58,3.67,3.71,3.36
3.66,3.68,3.73,3.55
3.63,3.35,3.63,3.34
3.38,3.47,3.49,3.32
3.34,3.30,3.40,3.26
3.30,3.13,3.40,3.12
3.10,3.37,3.37,3.01
3.46,3.23,3.46,3.13
3.29,3.27,3.36,3.17
3.25,3.15,3.29,3.13
3.20,3.28,3.28,3.15
3.28,3.34,3.37,3.20
3.29,3.17,3.29,3.17
3.17,3.17,3.27,3.14
3.09,3.14,3.15,3.05
3.15,2.86,3.22,2.85
2.85,3.04,3.05,2.77
3.06,3.07,3.16,3.03
3.19,3.31,3.31,3.12
3.27,3.24,3.34,3.18
3.21,3.28,3.29,3.13
3.27,3.27,3.33,3.20
3.32,3.25,3.37,3.24
3.31,3.35,3.41,3.26
3.36,3.34,3.36,3.26
3.35,3.34,3.39,3.28
3.28,3.38,3.38,3.20
3.41,3.22,3.44,3.20
3.28,3.38,3.41,3.25
3.40,3.35,3.44,3.30
3.38,3.44,3.44,3.32
3.40,3.62,3.64,3.39
3.58,3.47,3.61,3.44
3.46,3.80,3.82,3.46
3.84,3.80,3.89,3.70
3.76,3.88,3.96,3.76
3.86,3.78,3.91,3.75
3.83,3.77,3.91,3.72
3.79,3.93,3.97,3.78
3.90,3.91,4.00,3.89
3.93,3.75,3.93,3.71
3.75,3.56,3.75,3.50
3.55,3.61,3.69,3.51
3.65,3.63,3.71,3.57
3.65,3.61,3.73,3.60
3.55,3.58,3.59,3.47
3.60,3.41,3.60,3.41
3.40,3.40,3.45,3.31
3.46,3.39,3.56,3.37
3.39,3.53,3.55,3.31
3.56,3.48,3.56,3.42
3.51,3.70,3.70,3.51
3.66,3.74,3.84,3.61
3.78,3.92,3.92,3.71
3.94,3.75,3.95,3.73
3.76,3.69,3.83,3.65
3.72,3.76,3.86,3.71
3.81,3.54,3.87,3.52
3.58,3.57,3.64,3.51
3.57,3.51,3.59,3.50
3.49,3.44,3.53,3.41
3.32,3.26,3.39,3.20
3.29,3.43,3.47,3.23
3.46,3.43,3.50,3.37
3.41,3.43,3.50,3.35
3.41,3.36,3.46,3.34
3.38,3.39,3.44,3.33
3.34,3.11,3.35,3.10
3.12,3.15,3.21,3.08
3.16,3.04,3.23,3.02
3.05,3.07,3.14,3.05
3.04,3.05,3.07,2.94
3.04,3.06,3.13,3.04
3.04,3.02,3.05,2.97
3.04,3.21,3.22,3.00
3.22,3.41,3.41,3.22
3.45,3.30,3.49,3.30
3.29,3.22,3.29,3.16
3.21,3.13,3.22,3.08
3.17,3.14,3.20,3.11
3.15,3.21,3.26,3.11
3.22,3.07,3.22,3.06
3.03,2.93,3.07,2.91
2.94,2.93,3.01,2.90
2.92,2.83,3.03,2.83
2.84,2.86,2.95,2.67
2.88,2.88,2.93,2.81
2.86,2.95,3.01,2.80
2.94,2.95,2.97,2.84
2.95,2.92,3.00,2.91
2.95,3.02,3.07,2.89
2.98,2.85,3.02,2.85
2.86,2.81,2.94,2.80
2.83,2.77,2.88,2.77
2.73,2.72,2.78,2.62
2.72,2.79,2.83,2.72
2.83,2.89,2.91,2.75
2.89,2.95,2.99,2.89
2.98,2.99,3.05,2.91
2.96,3.02,3.05,2.89
3.00,3.03,3.20,3.00
3.01,2.98,3.04,2.94
2.95,2.86,3.01,2.82
2.85,2.80,2.96,2.80
2.81,2.78,2.90,2.74
2.74,2.61,2.76,2.60
2.55,2.83,2.93,2.53
2.84,2.89,2.93,2.82
2.83,2.75,2.90,2.72
2.67,2.65,2.88,2.65
2.67,2.41,2.80,2.35
2.41,2.45,2.54,2.28
2.46,2.56,2.69,2.46
2.58,2.56,2.67,2.50
2.57,2.71,2.71,2.56
2.67,2.62,2.74,2.58
2.59,2.81,2.81,2.51
2.85,3.02,3.04,2.82
3.03,3.04,3.11,2.96
3.10,3.05,3.10,2.91
2.98,3.05,3.12,2.93
3.05,2.89,3.09,2.86
2.91,3.09,3.18,2.85
3.12,3.23,3.23,3.04
3.23,3.14,3.25,3.10
3.15,3.25,3.26,3.09
3.30,3.17,3.32,3.12
3.13,3.21,3.22,2.93
3.23,2.98,3.25,2.97
2.99,3.21,3.23,2.99
3.21,3.14,3.26,3.13
3.13,3.06,3.20,2.99
3.05,2.95,3.12,2.95
2.98,3.08,3.11,2.94
3.13,3.04,3.14,3.00
3.02,3.02,3.15,2.94
2.99,2.87,3.00,2.87
2.87,3.03,3.03,2.87
2.90,2.88,3.03,2.85
2.87,2.93,2.94,2.82
2.92,2.89,2.96,2.85
2.86,2.82,2.90,2.80
2.95,2.91,2.95,2.85
2.90,2.95,2.95,2.87
2.98,3.02,3.02,2.94
2.94,2.94,3.00,2.91
2.89,2.83,2.91,2.82
2.83,2.92,2.93,2.82
2.95,2.86,2.98,2.83
2.85,2.90,2.93,2.83
2.84,2.94,3.00,2.80
2.97,2.93,3.00,2.88
2.92,2.98,3.00,2.91
2.96,3.01,3.03,2.91
2.98,3.03,3.09,2.94
3.05,2.98,3.12,2.90
2.97,3.02,3.04,2.97
2.96,2.90,3.00,2.89
2.92,2.92,2.97,2.88
2.95,3.04,3.07,2.95
3.07,3.13,3.16,3.04
3.18,3.16,3.18,3.10
3.15,3.14,3.21,3.14
3.13,3.02,3.18,2.99
3.03,2.83,3.04,2.80
2.81,2.84,2.98,2.81
2.86,2.90,3.00,2.85
2.87,3.17,3.18,2.87
3.11,3.19,3.20,3.00
3.19,3.06,3.23,3.04
3.01,3.19,3.20,3.01
3.18,3.14,3.20,3.12
3.14,3.19,3.20,3.14
3.17,3.10,3.18,3.07
3.08,3.13,3.15,3.05
3.09,3.14,3.18,3.06
3.12,3.04,3.15,3.01
3.00,2.99,3.10,2.97
3.02,3.14,3.14,3.02
3.12,3.23,3.25,3.10
3.25,3.21,3.27,3.16
3.19,3.20,3.25,3.14
3.23,3.06,3.23,3.05
3.09,3.00,3.11,2.97
3.00,3.00,3.02,2.98
3.00,2.95,3.06,2.92
2.96,3.08,3.13,2.92
3.14,3.23,3.23,3.07
3.24,3.17,3.25,3.14
3.24,3.27,3.27,3.16
3.34,3.30,3.40,3.28
3.29,3.30,3.43,3.25
3.33,3.38,3.41,3.30
3.41,3.32,3.41,3.19
3.31,3.54,3.64,3.21
3.55,3.50,3.59,3.47
3.49,3.44,3.51,3.40
3.44,3.63,3.66,3.41
3.64,3.91,3.98,3.64
3.81,3.95,3.97,3.81
4.01,3.52,4.09,3.52
3.55,3.71,3.74,3.44
3.85,3.63,3.88,3.63
3.63,3.65,3.70,3.58
3.67,3.79,3.80,3.62
3.77,3.63,3.84,3.60
3.63,3.58,3.75,3.53
3.57,3.53,3.62,3.47
3.55,3.52,3.60,3.47
3.57,3.64,3.69,3.54
3.63,3.47,3.68,3.47
3.47,3.48,3.53,3.41
3.49,3.30,3.52,3.30
3.28,3.39,3.42,3.28
3.43,3.44,3.53,3.40
3.43,3.37,3.49,3.37
3.35,3.45,3.47,3.31
3.48,3.56,3.58,3.45
3.54,3.55,3.59,3.48
3.51,3.54,3.59,3.45
3.54,3.40,3.54,3.35
3.43,3.43,3.50,3.37
3.38,3.30,3.42,3.30
3.30,3.27,3.38,3.25
3.35,3.34,3.38,3.29
3.30,3.34,3.35,3.27
3.33,3.33,3.37,3.25
3.31,3.30,3.34,3.27
3.29,3.25,3.31,3.22
3.29,3.15,3.31,3.14
3.16,3.29,3.29,3.10
3.27,3.25,3.29,3.12
3.23,3.32,3.41,3.17
3.22,3.21,3.29,3.18
3.24,3.21,3.26,3.17
3.17,3.16,3.31,3.14
3.17,3.01,3.20,3.00
2.98,2.92,3.04,2.90
2.94,2.98,3.00,2.85
3.09,3.12,3.13,3.00
3.12,3.01,3.12,3.01
3.02,2.99,3.08,2.96
3.02,2.98,3.04,2.97
2.97,2.99,3.00,2.95
2.96,2.97,3.03,2.96
2.91,2.91,2.96,2.86
2.99,2.96,2.99,2.86
2.91,2.96,3.00,2.91
2.96,3.00,3.00,2.94
2.97,2.91,2.98,2.85
2.89,2.98,3.00,2.89
2.95,2.96,3.00,2.92
2.99,2.96,3.00,2.92
2.95,3.00,3.00,2.92
2.97,2.98,3.01,2.95
2.99,2.98,3.06,2.96
2.96,2.94,3.00,2.89
2.71,2.65,2.93,2.21
2.66,2.70,2.70,2.64
2.72,2.61,2.72,2.53
2.59,2.59,2.60,2.52
2.56,2.50,2.65,2.46
2.49,2.41,2.57,2.41
2.41,2.54,2.56,2.37
2.55,2.58,2.59,2.50
2.57,2.62,2.67,2.55
2.61,2.58,2.65,2.57
2.57,2.70,2.70,2.57
2.76,2.64,2.79,2.60
2.63,2.52,2.63,2.50
2.49,2.58,2.61,2.48
2.60,2.54,2.60,2.53
2.55,2.66,2.66,2.55
2.66,2.58,2.66,2.56
2.58,2.57,2.65,2.54
2.60,2.58,2.60,2.55
2.59,2.56,2.66,2.54
2.58,2.57,2.63,2.53
2.54,2.50,2.58,2.50
2.51,2.49,2.56,2.46
2.49,2.46,2.51,2.43
2.49,2.58,2.61,2.47
2.58,2.46,2.59,2.46
2.45,2.37,2.52,2.35
2.38,2.26,2.40,2.25
2.26,2.35,2.37,2.24
2.36,2.40,2.45,2.36
2.43,2.40,2.48,2.37
2.39,2.27,2.42,2.26
2.27,2.38,2.39,2.25
2.37,2.36,2.44,2.36
2.38,2.35,2.43,2.33
2.31,2.39,2.42,2.31
2.38,2.37,2.47,2.35
2.36,2.31,2.39,2.31
2.30,2.21,2.30,2.20
2.21,2.30,2.30,2.16
2.32,2.15,2.32,2.15
2.15,2.18,2.23,2.13
2.22,2.13,2.27,2.12
2.13,2.04,2.15,2.02
2.01,1.90,2.04,1.90
1.92,2.03,2.17,1.60
2.04,2.02,2.09,1.98
2.04,1.98,2.12,1.97
1.98,1.93,2.06,1.88
1.91,1.90,1.92,1.86
1.90,1.85,1.91,1.84
1.83,1.81,1.92,1.80
1.80,1.72,1.85,1.67
1.73,1.68,1.79,1.68
1.69,1.98,1.98,1.65
1.96,2.04,2.09,1.95
2.07,2.17,2.20,2.00
2.20,2.15,2.30,2.14
2.14,2.20,2.21,2.14
2.22,2.06,2.22,2.01
2.07,2.04,2.07,1.98
2.07,2.24,2.24,2.03
2.22,2.22,2.28,2.20
2.20,2.28,2.34,2.19
2.27,2.27,2.29,2.23
2.27,2.31,2.33,2.25
2.29,2.29,2.32,2.27
2.25,2.21,2.28,2.18
2.22,2.04,2.22,2.02
2.02,2.20,2.20,2.01
2.20,2.16,2.20,2.11
2.19,2.01,2.19,2.00
2.01,1.84,2.01,1.82
1.82,1.74,1.90,1.72
1.73,1.87,1.90,1.70
1.85,1.89,1.96,1.85
1.88,1.84,1.91,1.79
1.85,1.90,1.96,1.85
1.86,1.84,1.90,1.81
1.83,1.84,1.88,1.80
1.78,1.67,1.80,1.66
1.62,1.51,1.69,1.51
1.56,1.62,1.62,1.50
1.57,1.51,1.64,1.47
1.55,1.60,1.62,1.50
1.58,1.58,1.61,1.52
1.60,1.60,1.61,1.53
1.60,1.54,1.60,1.52
1.54,1.65,1.68,1.52
1.67,1.66,1.72,1.61
1.66,1.58,1.67,1.56
1.59,1.63,1.65,1.59
1.63,1.68,1.68,1.58
1.65,1.60,1.66,1.58
1.61,1.58,1.65,1.57
1.59,1.62,1.65,1.57
1.62,1.59,1.62,1.57
1.59,1.55,1.59,1.53
1.54,1.61,1.61,1.54
1.64,1.51,1.64,1.51
1.51,1.55,1.57,1.48
1.53,1.49,1.56,1.48
1.50,1.45,1.54,1.43
1.44,1.32,1.45,1.30
1.31,1.31,1.34,1.25
1.30,1.23,1.32,1.23
1.18,1.27,1.32,1.13
1.28,1.25,1.35,1.24
1.26,1.26,1.38,1.26
1.28,1.31,1.36,1.28
1.32,1.34,1.38,1.31
1.35,1.32,1.39,1.30
1.35,1.44,1.46,1.33
1.44,1.50,1.60,1.43
1.48,1.47,1.50,1.39
1.46,1.49,1.50,1.42
1.49,1.47,1.50,1.44
1.46,1.44,1.50,1.40
1.45,1.50,1.50,1.38
1.47,1.44,1.49,1.42
1.42,1.40,1.46,1.38
1.38,1.33,1.43,1.33
1.36,1.37,1.42,1.34
1.38,1.35,1.38,1.30
1.35,1.28,1.35,1.28
1.28,1.25,1.31,1.21
1.24,1.22,1.26,1.21
1.23,1.18,1.27,1.18
