BLIN,Bridgeline Digital,NASDAQ
5.25,5.36,5.36,5.25
5.35,5.70,5.70,5.00
5.70,5.60,5.70,5.60
5.05,5.15,5.60,5.05
5.15,5.00,5.15,5.00
5.00,5.00,5.00,5.00
5.15,5.50,5.50,5.15
5.50,5.30,5.95,5.25
5.05,5.25,5.25,5.05
5.30,5.25,5.30,5.25
nan,5.25,nan,nan
5.15,5.18,5.18,5.15
5.50,5.00,5.55,4.95
5.00,5.00,5.00,5.00
5.05,5.05,5.25,3.85
nan,5.05,nan,nan
5.10,5.15,5.25,5.00
5.15,5.15,5.15,5.15
5.00,5.25,5.25,5.00
5.25,5.25,5.25,5.25
5.25,4.75,5.25,4.75
4.75,5.24,5.25,4.75
5.15,5.20,5.25,5.05
5.25,5.30,5.30,5.25
5.25,6.00,6.00,5.25
5.90,6.00,6.00,5.70
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.10,6.30,5.70
N/A,N/A,N/A,N/A
6.00,5.95,6.00,5.10
N/A,N/A,N/A,N/A
5.85,5.95,5.95,5.85
N/A,N/A,N/A,N/A
5.95,5.95,5.95,5.95
5.65,5.55,5.70,4.75
5.55,5.52,5.60,5.50
5.50,5.25,5.50,4.90
5.25,5.50,5.50,5.25
5.50,5.00,5.50,5.00
5.00,4.95,5.10,4.95
5.00,5.20,5.75,5.00
5.20,5.60,5.65,5.20
5.35,5.30,5.35,5.30
5.30,5.25,5.30,5.25
5.25,5.30,5.50,5.15
5.15,5.50,5.55,5.10
5.10,6.05,6.30,5.10
6.05,7.50,7.55,6.05
7.75,7.00,8.35,6.30
6.55,7.25,7.50,6.55
7.15,7.40,7.65,6.95
7.50,7.65,7.75,7.25
7.50,7.50,7.50,7.40
7.50,7.40,7.50,7.20
7.50,7.20,8.00,6.45
7.00,7.30,7.50,7.00
7.50,7.00,7.50,6.85
7.50,7.25,7.50,7.25
7.50,7.45,7.50,7.05
7.50,7.00,7.50,6.80
6.85,6.35,7.25,6.35
6.55,5.65,6.55,5.50
5.65,5.85,6.35,5.60
6.20,6.25,6.35,5.84
6.35,6.00,6.35,5.90
5.90,6.00,6.25,5.90
6.25,5.90,6.25,5.45
6.15,6.20,6.20,6.15
6.20,6.20,6.20,6.20
6.25,6.25,6.25,6.25
6.25,6.75,6.80,6.25
7.20,6.70,7.50,6.55
6.75,7.05,7.35,6.75
7.45,7.45,7.45,7.45
7.30,7.18,7.50,6.55
7.50,7.50,8.00,7.05
7.65,7.90,8.10,7.65
7.80,7.81,8.00,7.75
7.85,8.10,8.10,7.50
8.05,8.00,8.05,7.65
7.50,8.00,8.00,7.50
7.90,8.00,8.05,7.00
7.00,7.25,7.90,7.00
7.25,7.80,7.80,7.25
7.80,7.90,8.15,7.80
8.00,7.50,8.15,7.50
7.50,7.38,7.65,7.10
7.80,7.25,7.80,7.25
7.30,7.25,7.50,7.20
7.50,7.30,8.00,7.00
7.60,7.70,7.70,7.25
7.25,7.25,7.75,6.50
7.50,7.20,7.50,6.75
7.20,7.05,7.40,7.00
7.20,7.25,7.80,7.20
7.25,7.35,7.35,7.25
7.35,7.55,7.55,7.05
7.20,7.00,7.20,7.00
7.20,7.05,7.24,7.05
7.00,6.85,7.05,6.75
6.80,7.00,7.00,6.80
7.00,6.95,7.00,6.60
6.60,6.70,6.70,6.50
6.70,6.70,6.70,6.60
6.70,6.60,6.70,6.50
6.50,6.60,6.60,6.50
6.60,6.60,6.60,6.50
6.60,6.75,6.85,6.60
6.75,7.15,7.20,6.75
6.75,6.45,7.00,6.40
6.70,7.00,7.45,6.70
7.00,7.25,7.25,7.00
7.05,7.10,7.35,7.00
7.00,7.08,7.08,6.70
N/A,N/A,N/A,N/A
7.10,7.00,7.20,7.00
6.75,6.75,7.00,6.75
7.00,7.00,7.25,7.00
7.00,7.25,7.25,7.00
N/A,N/A,N/A,N/A
6.75,7.10,7.25,6.75
7.15,7.25,7.75,6.90
7.25,7.00,7.30,7.00
7.30,6.75,7.30,6.55
6.75,6.50,7.00,6.50
6.74,6.45,6.74,6.45
6.45,6.10,6.60,5.95
6.05,5.90,6.55,5.90
5.95,6.05,6.25,5.65
6.25,6.04,6.25,6.04
6.25,6.30,6.40,5.86
6.40,6.20,6.50,6.00
6.20,5.97,6.20,5.90
6.00,6.00,6.15,5.90
6.00,6.00,6.00,6.00
5.85,5.60,5.85,5.50
5.75,5.75,6.00,5.75
6.00,6.00,6.00,5.95
6.00,5.95,6.00,5.75
5.80,5.85,6.00,5.75
5.85,5.85,6.00,5.85
5.75,6.15,6.20,5.50
5.85,5.80,6.05,5.80
5.75,5.75,5.75,5.70
5.75,5.65,5.90,5.55
5.80,5.50,5.80,5.50
5.50,5.75,5.85,5.50
5.75,5.75,5.75,5.75
5.75,5.50,5.75,5.25
5.50,5.15,5.55,5.10
5.25,5.50,5.75,5.25
5.30,5.30,5.35,5.30
N/A,N/A,N/A,N/A
5.50,5.50,5.50,5.35
5.50,5.50,5.70,5.45
5.50,5.60,5.70,5.50
5.65,5.65,5.65,5.60
5.50,5.65,5.65,5.50
5.65,5.65,5.65,5.65
5.50,5.54,5.65,5.50
5.50,5.35,5.50,5.30
5.30,5.35,5.55,5.30
N/A,N/A,N/A,N/A
5.35,5.35,5.35,5.35
5.35,5.65,5.65,5.35
5.36,5.65,5.65,5.36
N/A,N/A,N/A,N/A
5.40,5.40,5.40,5.39
5.65,5.50,5.65,5.50
5.50,5.50,5.50,5.50
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.45,5.30,5.65,5.30
5.50,5.50,5.70,5.50
5.65,5.65,5.65,5.65
5.49,5.49,5.49,5.49
N/A,N/A,N/A,N/A
5.45,6.10,6.10,5.45
5.65,5.75,6.00,5.45
6.10,5.82,6.10,5.82
N/A,N/A,N/A,N/A
5.75,5.75,5.75,5.75
5.75,5.79,5.79,5.60
N/A,N/A,N/A,N/A
5.90,5.95,5.95,5.90
5.80,5.50,5.80,5.30
5.30,5.50,5.50,5.25
5.40,5.35,5.40,5.35
5.35,5.25,5.35,5.15
5.35,5.60,5.75,5.35
5.75,5.35,5.75,5.35
5.30,5.35,5.40,5.30
5.35,5.35,5.35,5.35
5.35,5.40,5.45,5.35
5.60,5.30,5.60,5.30
5.30,5.20,5.34,5.20
5.20,5.15,5.20,5.15
5.25,5.25,5.25,5.25
N/A,N/A,N/A,N/A
5.15,5.10,5.18,5.10
5.15,5.20,5.25,5.10
5.20,5.25,5.45,5.10
5.25,5.05,5.60,5.00
4.96,5.00,5.25,4.96
5.00,4.96,5.20,4.96
5.00,4.75,5.00,4.50
4.75,4.95,5.25,4.75
4.90,4.75,4.90,4.60
4.75,4.75,4.76,4.75
4.50,4.50,4.60,4.40
4.25,4.15,4.50,4.12
4.55,4.50,4.55,4.50
4.50,4.35,4.50,4.35
N/A,N/A,N/A,N/A
4.50,4.10,4.75,4.10
4.36,4.36,4.36,4.36
4.60,4.95,4.95,4.56
4.75,4.75,5.00,4.36
5.00,4.75,5.00,4.75
4.80,4.75,5.00,4.42
4.51,4.50,4.55,4.36
4.60,4.35,4.65,4.35
4.40,4.85,4.99,4.40
4.85,4.50,5.00,4.50
4.50,4.50,4.75,4.50
4.55,5.00,5.05,4.55
4.50,4.75,4.75,4.50
4.60,4.60,4.60,4.60
4.55,4.62,4.62,4.55
4.60,4.89,4.90,4.55
5.00,5.80,6.00,5.00
5.70,5.40,5.70,5.35
N/A,N/A,N/A,N/A
5.55,5.55,5.55,5.55
5.85,5.80,5.85,5.55
5.55,5.55,5.58,5.20
5.70,5.35,5.70,5.20
5.10,5.10,5.10,5.05
5.25,5.25,5.25,5.05
5.25,5.25,5.25,5.25
N/A,N/A,N/A,N/A
5.25,5.25,5.25,5.25
5.10,5.15,5.80,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,4.75
4.50,5.15,5.15,4.45
5.00,4.50,5.00,4.50
4.50,4.65,4.95,4.30
5.10,4.70,5.85,4.50
4.60,4.35,4.60,4.25
4.35,4.13,4.35,4.10
4.10,4.10,4.16,4.10
4.25,4.25,4.25,4.25
4.05,4.00,4.07,4.00
4.20,4.01,4.38,4.01
4.75,4.55,4.95,4.50
N/A,N/A,N/A,N/A
4.50,4.50,4.50,4.50
4.25,4.25,4.25,4.25
4.05,4.05,4.06,4.00
4.16,4.15,4.16,4.15
nan,4.00,nan,nan
4.05,4.05,4.05,4.05
4.00,4.00,4.00,4.00
4.15,4.15,4.25,4.15
4.00,4.40,4.40,4.00
4.25,3.75,4.25,3.75
4.85,4.00,4.85,4.00
4.25,3.76,4.25,3.76
3.76,3.90,3.90,3.75
3.90,3.90,3.95,3.90
3.90,3.80,3.90,3.45
3.40,3.50,3.77,3.40
3.50,2.95,3.50,2.85
2.75,3.00,3.25,2.75
2.76,3.60,3.60,2.75
3.60,3.60,3.60,3.60
3.50,3.45,3.50,3.45
3.30,3.75,3.75,3.30
3.30,3.55,3.80,3.28
3.75,3.25,4.25,3.25
3.11,2.66,3.11,2.66
2.75,3.10,3.10,2.56
3.04,3.14,3.14,3.00
3.37,3.30,3.38,3.30
3.38,3.37,3.38,3.25
N/A,N/A,N/A,N/A
3.34,3.05,3.34,3.05
3.05,3.05,3.19,3.05
3.05,3.25,3.25,3.05
N/A,N/A,N/A,N/A
3.35,3.35,3.35,3.30
3.06,3.25,3.25,3.05
3.05,3.25,3.25,3.05
3.05,3.25,3.25,2.95
3.25,2.75,3.25,2.66
2.60,2.50,2.60,2.45
2.50,2.40,2.55,2.35
2.40,2.81,3.25,2.40
3.09,3.00,3.09,2.99
3.00,3.35,3.35,2.75
3.25,3.60,3.60,3.25
3.55,3.49,3.55,3.49
3.28,3.49,3.50,3.28
3.25,3.49,3.49,3.25
3.25,3.25,3.25,3.25
3.25,3.50,3.50,3.25
3.40,3.74,3.74,3.40
3.75,3.90,3.90,3.70
3.85,3.75,3.90,3.75
3.59,3.40,3.59,3.40
3.55,3.55,3.55,3.50
3.70,3.50,3.70,3.40
3.50,3.50,3.50,3.50
3.60,3.50,3.60,3.50
N/A,N/A,N/A,N/A
3.30,3.27,3.30,3.25
3.25,3.00,3.26,3.00
3.25,3.00,3.25,3.00
3.00,3.30,3.30,2.80
3.50,3.75,4.00,3.50
3.60,3.25,3.60,3.02
3.26,2.93,3.38,2.93
2.95,3.40,3.40,2.81
3.05,3.00,3.07,2.90
3.20,2.95,3.20,2.95
2.95,3.25,3.75,2.90
3.74,3.74,3.74,3.74
3.65,3.65,3.65,3.65
3.25,3.25,3.25,3.02
3.02,3.11,3.45,3.02
3.00,2.75,3.10,2.61
2.65,3.00,3.00,2.55
2.90,2.90,2.90,2.60
2.75,2.75,2.85,2.75
2.75,2.75,2.95,2.75
2.75,2.85,2.85,2.75
2.90,2.95,2.95,2.85
3.00,2.90,3.15,2.90
2.90,3.40,3.40,2.90
3.35,2.90,3.35,2.90
2.60,2.65,3.35,2.60
2.71,2.80,2.81,2.71
2.80,3.25,3.35,2.80
3.25,3.00,3.25,3.00
3.05,2.85,3.05,2.65
3.35,3.00,3.35,3.00
2.90,3.00,3.18,2.90
N/A,N/A,N/A,N/A
2.85,3.00,3.00,2.80
2.80,2.76,2.84,2.75
2.80,2.90,2.90,2.80
2.76,2.75,2.84,2.75
2.75,2.75,2.75,2.75
2.80,2.80,2.80,2.80
2.80,3.00,3.20,2.80
2.95,2.95,2.95,2.95
3.00,3.29,3.30,3.00
3.25,3.10,3.44,3.10
3.44,3.00,3.44,3.00
N/A,N/A,N/A,N/A
3.30,3.30,3.30,3.30
3.40,3.44,3.44,3.40
3.50,3.15,3.50,3.15
3.20,3.10,3.20,3.10
N/A,N/A,N/A,N/A
3.13,3.20,3.20,3.13
3.16,3.50,3.50,3.16
3.50,3.50,3.50,3.50
3.65,3.35,3.65,3.26
3.25,3.45,3.50,3.25
3.45,3.40,3.50,3.40
3.35,3.50,3.60,3.25
3.60,3.70,4.00,3.50
4.00,3.99,4.00,3.70
3.80,3.95,3.95,3.70
3.95,4.00,4.00,3.85
3.70,3.95,4.00,3.70
3.90,3.65,3.90,3.65
3.70,4.00,4.45,3.70
4.20,4.75,4.75,4.20
4.75,4.40,4.75,4.40
4.65,4.30,4.65,4.30
4.60,4.67,4.70,4.30
4.70,4.75,5.00,4.70
5.15,5.15,5.25,4.95
4.50,5.10,5.55,4.50
5.30,5.10,5.35,5.10
5.15,4.85,5.15,4.75
4.95,4.75,5.20,4.70
4.90,5.00,5.25,4.90
5.00,4.85,5.20,4.85
4.90,4.75,4.95,4.70
4.70,4.85,4.85,4.61
4.75,4.75,4.85,4.61
4.65,4.83,4.83,4.60
4.70,4.35,4.70,4.35
4.30,4.30,4.50,4.30
4.45,4.50,4.60,4.40
4.50,4.50,4.50,4.50
4.50,5.10,5.60,4.50
5.35,5.00,5.35,4.75
5.15,5.35,5.90,5.10
5.45,5.30,5.65,5.15
5.90,5.35,5.90,5.30
5.40,5.75,5.75,5.30
5.65,5.65,5.75,5.50
5.80,5.70,5.85,5.65
5.65,5.65,5.80,5.65
5.95,5.90,5.95,5.59
6.00,6.48,6.75,5.98
6.45,6.50,6.60,6.35
6.35,6.40,6.75,6.20
6.75,6.70,6.75,6.65
6.70,6.45,6.75,6.25
6.60,6.15,6.60,5.90
6.15,6.65,6.70,6.10
6.70,6.50,6.85,6.40
6.50,6.50,6.75,6.50
6.50,6.30,6.65,6.30
6.45,6.75,6.75,6.45
6.55,6.00,6.70,5.95
5.90,6.45,6.45,5.85
6.45,6.12,6.45,6.10
6.00,6.05,6.20,5.90
6.00,6.00,6.00,6.00
6.00,5.90,6.00,5.50
5.60,6.20,6.50,5.60
6.25,6.25,6.45,6.25
6.35,6.45,6.50,6.15
6.45,6.25,6.45,6.25
6.40,6.75,6.95,6.40
6.85,6.95,6.95,6.75
7.00,7.00,7.00,6.95
7.00,7.45,7.50,7.00
7.45,7.15,7.45,6.50
7.45,7.50,7.50,7.20
7.50,7.31,7.50,7.20
7.40,7.40,7.40,7.20
7.50,7.45,7.50,7.25
6.85,6.85,7.45,6.85
7.30,7.30,7.35,7.00
7.45,7.50,7.50,7.40
7.50,7.35,7.50,7.00
7.45,7.40,7.45,7.35
7.40,7.30,7.40,7.10
7.40,7.35,7.40,6.85
7.05,6.90,7.35,6.85
6.70,6.90,6.90,6.70
6.80,7.35,7.35,6.80
7.35,7.55,7.55,7.35
7.70,12.05,16.20,7.70
12.65,10.20,12.90,9.65
10.05,9.00,10.05,8.85
8.90,8.80,9.65,8.35
8.80,9.45,10.70,8.80
9.50,8.50,9.95,8.20
8.60,8.35,8.65,8.00
8.35,7.85,8.38,7.85
7.95,8.50,8.50,7.50
8.50,8.05,8.90,7.90
8.05,8.45,8.50,7.65
8.40,8.30,8.50,8.25
8.30,8.45,8.45,8.20
8.30,8.15,8.35,8.00
8.25,7.52,8.25,7.45
7.75,7.25,7.75,7.05
7.30,7.25,7.50,7.10
7.30,6.80,7.45,6.60
7.05,7.55,7.84,7.05
7.60,8.00,8.10,7.60
8.15,7.60,8.15,7.60
7.85,7.65,7.85,7.50
7.55,7.25,7.75,7.10
7.50,7.10,7.50,7.10
7.15,7.10,7.20,7.10
7.10,7.25,7.56,6.95
7.15,7.50,7.50,7.05
7.60,7.20,7.60,7.20
7.10,6.70,7.10,6.70
6.75,6.95,6.95,6.75
7.00,6.90,7.01,6.90
6.95,6.75,6.95,6.45
6.95,6.80,6.95,6.40
6.50,6.40,6.75,6.30
6.35,6.21,6.50,6.20
6.27,6.35,6.35,6.16
6.40,6.20,6.50,6.15
6.00,6.20,6.25,5.25
6.25,5.80,6.25,5.75
5.60,5.85,6.35,5.60
5.50,5.50,5.50,5.45
5.50,6.05,6.15,5.30
6.00,6.12,6.25,6.00
6.25,6.45,6.45,5.80
6.45,6.35,6.45,6.10
6.05,6.25,6.25,6.05
6.40,6.25,6.40,6.20
6.20,6.35,6.35,6.20
6.10,6.15,6.20,6.00
6.40,6.21,6.55,6.21
6.15,6.40,6.50,6.10
6.15,6.15,6.20,6.10
6.15,6.20,6.40,6.15
6.35,6.10,6.35,6.05
6.20,6.05,6.20,6.05
6.05,5.95,6.05,5.90
6.00,5.95,6.01,5.95
6.10,6.00,6.10,5.95
5.95,5.75,5.95,5.55
5.75,5.55,5.90,5.55
5.50,6.20,6.20,5.50
6.00,6.10,6.25,5.80
6.30,5.55,6.35,5.55
5.60,5.65,5.75,5.60
5.75,5.75,5.90,5.75
5.85,5.90,5.95,5.85
5.80,5.84,5.86,5.80
6.00,6.00,6.00,6.00
5.80,5.80,5.80,5.75
5.81,5.85,5.90,5.81
5.80,6.00,6.00,5.80
6.00,5.95,6.05,5.95
6.03,5.90,6.05,5.80
6.00,6.05,6.05,6.00
6.10,5.85,6.30,5.85
5.85,5.75,5.85,5.75
5.90,6.20,6.20,5.85
6.15,5.95,6.20,5.95
5.85,5.85,6.20,5.85
6.05,5.95,6.20,5.90
6.18,6.00,6.20,5.80
nan,6.00,nan,nan
6.20,6.05,6.25,5.95
6.00,6.00,6.19,5.80
6.00,6.05,6.20,6.00
6.20,6.60,6.65,6.05
6.60,6.55,6.70,6.30
6.45,6.45,6.70,6.30
6.30,6.60,6.60,6.05
6.70,7.60,8.20,6.35
7.65,8.00,8.00,7.25
7.45,7.35,7.60,7.30
7.60,7.50,7.90,7.50
7.50,7.70,7.95,7.50
7.90,7.60,7.90,7.15
7.50,8.20,8.25,7.50
8.25,7.75,8.25,7.60
7.50,7.55,7.90,7.45
7.55,7.70,8.20,7.35
7.70,7.80,8.20,7.70
8.10,7.90,8.10,7.70
7.75,7.80,7.81,7.75
7.95,7.60,7.95,7.55
7.50,7.75,7.80,7.50
7.89,7.90,8.05,7.89
8.15,8.05,8.45,7.50
8.15,9.75,10.70,8.15
9.90,9.05,9.90,8.55
9.00,8.55,9.25,8.50
8.45,8.50,9.54,8.25
9.05,8.75,9.20,8.55
8.95,8.90,9.60,8.60
9.70,9.70,11.25,9.60
9.30,10.20,10.70,9.30
10.20,10.00,10.20,9.75
10.65,10.75,10.95,10.15
10.95,11.44,11.85,10.85
11.55,11.80,12.50,11.50
12.10,12.00,12.45,11.85
12.10,11.65,12.15,11.25
11.90,10.40,11.90,10.05
10.44,10.50,11.05,10.05
10.57,10.70,11.05,10.57
10.70,10.85,11.95,10.05
11.25,11.00,11.50,10.70
11.90,11.25,11.90,11.00
10.95,9.00,10.95,8.75
9.70,9.00,9.70,8.90
9.00,8.40,9.45,8.00
8.10,7.20,8.12,6.90
7.55,7.25,7.55,6.90
7.45,7.35,7.45,7.00
7.25,7.18,7.25,6.90
7.35,7.30,7.40,7.20
7.25,7.25,7.30,7.20
7.25,7.40,7.55,7.20
7.50,7.20,7.50,7.20
7.20,7.15,7.29,7.00
6.95,7.30,7.45,6.95
7.25,7.15,7.25,7.00
7.15,7.17,7.24,7.08
7.10,7.35,8.05,6.95
7.35,7.30,7.45,7.23
7.40,7.25,7.45,7.15
7.30,7.60,7.85,7.25
7.60,8.20,8.35,7.50
8.20,7.90,8.20,7.80
7.95,7.80,8.00,7.55
7.50,7.70,7.70,7.50
7.70,7.55,7.90,7.40
7.45,7.25,7.52,7.10
7.26,7.56,7.70,7.26
7.55,7.65,7.75,7.55
7.75,7.65,7.75,7.55
7.30,7.65,7.65,7.30
7.50,7.55,7.60,7.15
7.50,7.60,7.60,7.45
7.40,7.45,7.50,7.35
7.40,7.55,7.55,7.40
7.54,7.50,7.55,7.50
7.55,7.60,7.85,7.55
7.75,8.25,8.25,7.70
8.25,8.25,8.35,8.25
8.05,8.85,9.40,8.05
8.85,8.85,9.00,8.15
8.85,9.00,9.00,8.75
9.05,8.40,9.20,8.25
8.65,8.30,8.70,8.25
8.10,8.10,8.32,8.10
8.25,7.85,8.35,7.70
8.05,7.90,8.30,7.90
7.90,8.00,8.00,7.90
8.05,7.70,8.05,7.70
7.70,8.00,8.00,7.70
8.00,7.95,8.00,7.75
7.30,7.70,7.75,7.30
7.35,7.08,7.50,6.75
6.97,7.40,7.50,6.70
7.50,7.25,7.50,7.05
7.25,7.10,7.25,6.90
7.20,6.85,7.45,6.85
6.80,6.80,6.85,6.80
7.00,7.10,7.10,6.85
7.05,7.10,7.15,7.05
7.20,6.80,7.20,6.80
6.80,7.05,7.09,6.80
7.00,6.80,7.25,6.80
7.00,6.90,7.00,6.90
6.90,6.80,6.90,6.80
6.90,6.90,7.00,6.90
7.00,6.95,7.00,6.95
7.00,6.95,7.00,6.95
6.90,7.00,7.15,6.90
7.05,7.05,7.15,7.00
7.15,7.00,7.15,7.00
7.00,7.00,7.14,7.00
6.90,6.85,6.95,6.80
6.80,6.90,6.90,6.80
6.90,6.25,6.90,6.20
6.50,6.50,6.75,6.25
6.30,6.30,6.57,6.30
6.40,6.30,6.65,6.30
6.34,6.60,6.60,6.30
6.30,6.35,6.40,6.30
6.25,6.10,6.30,6.10
6.35,6.40,6.40,6.35
6.45,6.40,6.45,6.40
6.35,6.01,6.35,5.75
6.00,6.35,6.35,6.00
6.05,6.00,6.15,5.95
6.02,6.00,6.02,6.00
6.15,5.90,6.16,5.90
6.00,6.25,6.25,6.00
6.35,5.90,6.50,5.90
5.90,5.90,5.95,5.90
6.10,5.95,6.42,5.90
5.90,5.90,5.90,5.90
5.90,5.90,6.00,5.75
5.85,5.80,5.85,5.80
5.75,5.75,5.75,5.75
5.65,5.65,5.75,5.60
5.90,5.84,5.90,5.75
5.78,6.40,6.40,5.78
5.85,6.25,6.45,5.85
6.45,6.50,6.75,6.20
6.25,6.35,6.35,6.24
6.25,6.20,6.25,6.20
6.05,6.05,6.10,6.00
6.05,6.00,6.13,6.00
5.95,5.95,6.10,5.95
5.95,6.00,6.00,5.95
5.96,6.00,6.00,5.80
5.95,6.35,6.45,5.95
6.05,5.85,6.05,5.75
5.85,5.91,5.95,5.80
5.80,5.85,6.00,5.80
5.86,5.90,6.00,5.86
5.75,5.60,5.86,5.00
5.52,5.40,5.55,4.95
5.25,5.40,5.40,5.20
5.40,5.95,5.95,5.30
5.75,5.75,5.80,5.75
5.95,5.60,5.95,5.60
5.70,5.70,5.90,5.62
5.50,5.95,5.95,5.50
5.50,5.40,5.55,5.40
5.35,5.45,5.55,5.35
5.35,5.35,5.40,5.35
5.35,5.35,5.35,5.25
5.25,5.10,5.35,5.05
5.25,5.00,5.25,5.00
5.05,5.05,5.25,5.00
5.15,5.05,5.33,5.05
5.05,5.13,5.25,5.05
5.15,5.10,5.15,5.10
5.05,4.95,5.05,4.95
5.00,5.05,5.25,5.00
5.25,6.40,6.45,5.15
6.40,5.90,7.00,5.75
5.75,5.85,6.00,5.75
5.85,5.55,5.85,5.55
5.45,5.45,5.65,5.45
5.29,5.95,5.95,5.29
5.65,5.35,5.65,5.25
5.25,5.50,5.50,5.25
