CRTN,Cartesian,NASDAQ
2.56,2.55,2.56,2.54
2.55,2.53,2.55,2.52
2.54,2.52,2.54,2.51
2.55,2.54,2.55,2.51
2.52,2.52,2.55,2.38
2.38,2.48,2.48,2.37
N/A,N/A,N/A,N/A
2.42,2.47,2.47,2.42
N/A,N/A,N/A,N/A
2.47,2.48,2.54,2.44
2.49,2.47,2.49,2.47
N/A,N/A,N/A,N/A
2.49,2.54,2.55,2.45
2.50,2.50,2.55,2.50
2.50,2.51,2.51,2.45
2.50,2.50,2.54,2.41
2.50,2.43,2.50,2.43
N/A,N/A,N/A,N/A
2.43,2.40,2.43,2.40
2.40,2.28,2.40,2.26
2.26,2.32,2.32,2.20
2.31,2.35,2.35,2.31
2.35,2.41,2.41,2.35
2.35,2.45,2.50,2.35
2.46,2.35,2.46,2.35
2.35,2.45,2.47,2.35
N/A,N/A,N/A,N/A
2.38,2.39,2.39,2.38
2.40,2.42,2.42,2.40
N/A,N/A,N/A,N/A
2.40,2.42,2.42,2.40
2.40,2.40,2.41,2.40
2.39,2.42,2.42,2.33
2.36,2.40,2.41,2.36
2.38,2.41,2.41,2.38
2.31,2.40,2.41,2.31
2.38,2.41,2.41,2.38
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
2.40,2.40,2.40,2.40
2.34,2.39,2.39,2.34
2.32,2.31,2.36,2.31
2.35,2.36,2.38,2.22
2.25,2.38,2.38,2.21
2.25,2.28,2.35,2.25
2.26,2.24,2.26,2.21
2.21,2.21,2.21,2.14
2.21,2.25,2.30,2.18
2.24,2.28,2.39,2.17
2.29,2.27,2.29,2.27
2.27,2.33,2.36,2.27
2.29,2.32,2.37,2.29
2.37,2.37,2.37,2.25
N/A,N/A,N/A,N/A
2.27,2.37,2.40,2.27
2.38,2.31,2.38,2.31
2.31,2.32,2.34,2.30
2.33,2.40,2.40,2.33
2.39,2.38,2.40,2.36
2.40,2.40,2.40,2.40
2.39,2.39,2.40,2.39
2.40,2.40,2.40,2.35
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.39,2.39,2.39,2.25
2.35,2.40,2.40,2.35
2.40,2.45,2.45,2.30
2.45,2.40,2.45,2.40
2.32,2.44,2.45,2.30
2.43,2.45,2.45,2.36
2.44,2.42,2.44,2.30
2.41,2.36,2.42,2.36
2.40,2.40,2.44,2.40
2.39,2.35,2.40,2.33
2.27,2.38,2.38,2.27
2.31,2.40,2.47,2.25
2.40,2.30,2.40,2.30
2.32,2.33,2.39,2.32
2.37,2.40,2.40,2.36
2.39,2.40,2.41,2.36
2.39,2.40,2.40,2.38
2.39,2.38,2.40,2.38
2.40,2.40,2.40,2.37
2.39,2.38,2.40,2.38
2.38,2.23,2.38,2.23
2.37,2.25,2.37,2.24
2.28,2.28,2.28,2.22
2.26,2.25,2.26,2.25
N/A,N/A,N/A,N/A
2.31,2.37,2.38,2.25
2.35,2.39,2.39,2.31
2.39,2.40,2.88,2.38
2.33,2.36,2.36,2.30
2.34,2.40,2.40,2.34
nan,2.39,nan,nan
2.40,2.62,2.62,2.40
2.59,2.63,2.73,2.45
2.60,2.52,2.60,2.52
2.52,2.46,2.65,2.44
2.40,2.64,2.64,2.40
2.64,2.64,2.64,2.63
2.53,2.46,2.54,2.43
2.40,2.34,2.48,2.34
2.41,2.34,2.41,2.34
2.49,2.49,2.51,2.38
2.50,2.50,2.50,2.50
2.46,2.50,2.50,2.44
2.47,2.57,2.64,2.43
2.47,2.45,2.57,2.45
2.40,2.28,2.54,2.24
2.31,2.46,2.46,2.31
2.51,2.49,2.51,2.39
2.47,2.49,2.53,2.38
2.43,2.44,2.44,2.43
2.41,2.40,2.41,2.40
2.38,2.42,2.44,2.30
2.40,2.45,2.54,2.35
2.32,2.51,2.51,2.35
2.51,2.45,2.52,2.35
2.32,2.50,2.50,2.30
2.64,2.56,2.64,2.40
2.39,2.45,2.55,2.35
2.39,2.45,2.45,2.39
2.57,2.32,2.58,2.32
2.43,2.18,2.47,2.16
2.28,2.39,2.39,2.20
2.42,2.42,2.44,2.39
N/A,N/A,N/A,N/A
2.40,2.40,2.40,2.21
2.29,2.29,2.29,2.29
N/A,N/A,N/A,N/A
2.35,2.30,2.35,2.22
2.27,2.35,2.35,2.16
2.26,2.20,2.30,1.96
2.25,2.12,2.25,2.12
2.03,2.15,2.25,2.03
2.17,2.18,2.18,2.17
2.18,2.18,2.18,2.17
2.18,2.27,2.39,2.16
2.40,2.25,2.40,2.20
2.21,2.25,2.25,2.21
2.20,2.25,2.35,2.20
2.19,2.24,2.25,2.19
2.25,2.22,2.25,2.15
N/A,N/A,N/A,N/A
2.24,2.20,2.25,2.20
2.22,2.24,2.30,2.22
N/A,N/A,N/A,N/A
2.25,2.25,2.25,2.24
2.20,2.25,2.25,2.18
2.21,2.28,2.30,2.21
2.32,2.28,2.32,2.28
2.32,2.31,2.34,2.31
2.17,2.19,2.20,2.05
2.25,2.16,2.25,2.02
2.10,2.08,2.10,2.06
2.06,2.04,2.08,2.02
2.05,2.00,2.05,2.00
2.00,2.00,2.00,2.00
2.01,2.02,2.04,2.01
1.95,1.95,1.95,1.95
N/A,N/A,N/A,N/A
1.99,2.05,2.06,1.99
2.03,2.06,2.06,2.03
2.10,2.10,2.10,2.05
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.99,2.06,2.07,1.91
2.10,2.02,2.10,2.02
2.05,2.02,2.05,2.00
1.98,1.96,2.02,1.93
1.87,1.93,2.01,1.87
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.91,1.92,1.95,1.91
1.80,2.12,2.15,1.75
N/A,N/A,N/A,N/A
2.00,2.00,2.00,1.91
2.00,2.02,2.05,2.00
2.02,2.02,2.02,2.01
2.04,2.10,2.10,2.04
2.02,2.00,2.15,2.00
1.99,1.96,2.00,1.96
N/A,N/A,N/A,N/A
1.97,2.05,2.15,1.97
1.93,1.97,2.05,1.92
2.04,2.04,2.04,2.04
1.93,1.96,2.05,1.77
1.98,1.95,2.05,1.91
1.86,1.86,1.86,1.70
1.73,1.76,1.88,1.73
1.87,1.99,1.99,1.86
2.06,2.00,2.06,1.93
2.00,2.00,2.00,1.91
2.00,2.00,2.00,2.00
2.00,2.00,2.00,1.96
N/A,N/A,N/A,N/A
2.09,2.00,2.09,2.00
2.09,2.09,2.09,2.09
2.03,2.00,2.05,1.96
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.90,1.85,1.90,1.85
N/A,N/A,N/A,N/A
1.83,1.83,1.83,1.79
N/A,N/A,N/A,N/A
1.80,1.90,1.90,1.78
1.77,1.69,1.84,1.69
N/A,N/A,N/A,N/A
1.73,1.72,1.75,1.52
1.64,1.69,1.70,1.48
1.68,1.68,1.68,1.68
1.63,1.52,1.63,1.48
nan,1.53,nan,nan
N/A,N/A,N/A,N/A
1.65,1.47,1.69,1.47
1.50,1.68,1.68,1.48
1.56,1.47,1.58,1.47
1.58,1.48,1.59,1.46
1.47,1.48,1.48,1.47
1.50,1.48,1.50,1.42
1.48,1.45,1.54,1.42
1.51,1.52,1.52,1.46
1.60,1.65,1.65,1.50
1.66,1.56,1.66,1.56
1.60,1.67,1.67,1.60
1.68,1.55,1.68,1.55
1.57,1.54,1.57,1.49
1.70,1.93,1.93,1.70
1.93,1.93,1.95,1.73
1.93,1.93,1.94,1.92
1.72,1.88,1.88,1.70
1.72,1.88,1.88,1.72
1.89,1.97,1.97,1.88
1.97,1.95,1.97,1.95
1.91,1.97,1.97,1.91
2.00,2.00,2.00,2.00
1.99,1.99,1.99,1.99
N/A,N/A,N/A,N/A
2.05,2.02,2.05,2.01
2.05,2.06,2.07,2.05
2.03,2.05,2.06,2.03
2.03,2.05,2.05,2.01
2.06,2.45,2.45,2.06
2.47,2.75,3.07,2.40
2.77,2.61,2.77,2.49
2.61,2.39,2.65,2.30
2.26,2.31,2.31,2.10
2.31,2.37,2.39,2.16
2.39,2.60,2.65,2.38
2.60,2.55,2.60,2.54
2.53,2.59,2.60,2.53
2.37,2.55,2.55,2.37
2.60,2.49,2.60,2.40
2.40,2.48,2.50,2.31
2.46,2.50,2.50,2.36
nan,2.48,nan,nan
2.31,2.46,2.49,2.31
2.41,2.48,2.50,2.35
2.50,2.48,2.50,2.34
2.35,2.45,2.50,2.32
2.40,2.49,2.50,2.40
2.44,2.50,2.53,2.35
2.46,2.48,2.54,2.40
2.44,2.53,2.54,2.44
2.48,2.49,2.56,2.45
2.45,2.45,2.50,2.40
2.50,2.49,2.50,2.41
2.42,2.40,2.48,2.38
2.41,2.48,2.50,2.35
nan,2.47,nan,nan
2.49,2.50,2.50,2.37
2.43,2.49,2.50,2.43
2.49,2.49,2.49,2.49
2.49,2.49,2.49,2.38
2.44,2.47,2.49,2.38
2.48,2.47,2.49,2.39
2.44,2.50,2.54,2.39
2.49,2.48,2.55,2.46
2.49,2.50,2.54,2.45
2.50,2.50,2.56,2.42
2.47,2.50,2.50,2.47
2.49,2.50,2.50,2.46
2.46,2.50,2.50,2.42
2.44,2.49,2.50,2.08
2.49,2.54,2.54,2.42
2.49,2.50,2.50,2.45
2.46,2.50,2.54,2.45
2.43,2.50,2.50,2.43
2.42,2.50,2.50,2.42
2.37,2.40,2.40,2.35
2.24,2.35,2.40,2.24
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.40,2.51,2.51,2.40
2.50,2.62,2.65,2.48
2.61,2.52,2.63,2.50
2.50,2.64,2.64,2.38
2.55,2.64,2.64,2.44
2.55,2.63,2.88,2.41
2.57,2.63,2.63,2.55
2.55,2.54,2.60,2.50
2.54,2.53,2.65,2.48
2.53,2.53,2.53,2.47
2.53,2.53,2.53,2.48
2.50,2.47,2.53,2.43
2.47,2.47,2.47,2.47
2.47,2.50,2.50,2.41
2.49,2.50,2.50,2.42
2.36,2.50,2.50,2.36
2.42,2.50,2.50,2.41
nan,2.50,nan,nan
2.43,2.49,2.50,2.41
2.50,2.48,2.50,2.35
2.46,2.50,2.50,2.46
2.40,2.50,2.50,2.40
nan,2.42,nan,nan
nan,2.42,nan,nan
nan,2.42,nan,nan
nan,2.42,nan,nan
2.50,2.50,2.50,2.50
2.48,2.49,2.49,2.48
2.50,2.50,2.50,2.50
2.45,2.35,2.50,2.35
2.50,2.37,2.50,2.37
2.41,2.45,2.49,2.39
2.45,2.45,2.45,2.33
2.33,2.45,2.45,2.33
2.50,2.47,2.50,2.45
2.50,2.45,2.50,2.29
2.37,2.44,2.50,2.31
2.30,2.43,2.48,2.24
2.40,2.45,2.45,2.40
2.45,2.45,2.48,2.28
2.49,2.44,2.49,2.37
2.45,2.44,2.45,2.33
2.33,2.45,2.45,2.33
2.30,2.41,2.44,2.23
2.41,2.35,2.45,2.35
2.43,2.30,2.44,2.16
2.37,2.37,2.37,2.06
2.34,2.37,2.37,2.34
2.18,2.23,2.35,1.99
2.19,2.21,2.21,2.19
2.18,2.19,2.20,2.06
2.19,2.19,2.19,2.19
2.08,2.19,2.19,2.08
2.17,2.13,2.17,1.96
nan,1.97,nan,nan
2.09,2.13,2.13,2.09
nan,2.10,nan,nan
2.13,2.13,2.13,1.95
2.03,2.13,2.13,2.02
2.12,2.13,2.13,2.12
nan,2.12,nan,nan
2.12,2.12,2.12,2.12
2.09,2.10,2.10,2.02
2.13,2.20,2.42,2.09
2.24,2.33,2.33,2.24
2.28,2.09,2.30,2.09
2.42,2.45,2.45,2.36
2.45,2.45,2.45,2.45
nan,2.45,nan,nan
2.44,2.43,2.44,2.30
2.41,2.45,2.45,2.35
2.41,2.44,2.44,2.41
2.31,2.42,2.45,2.31
2.37,2.45,2.45,2.37
2.45,2.45,2.45,2.45
2.31,2.39,2.45,2.25
2.44,2.43,2.44,2.31
2.33,2.32,2.45,2.32
2.41,2.41,2.41,2.41
nan,2.41,nan,nan
2.40,2.32,2.40,2.32
2.40,2.32,2.40,2.15
2.18,2.38,2.38,2.18
nan,2.38,nan,nan
nan,2.38,nan,nan
2.35,2.34,2.35,2.34
nan,2.35,nan,nan
2.15,2.33,2.35,2.15
nan,2.18,nan,nan
nan,2.18,nan,nan
2.18,2.20,2.34,1.92
2.27,2.21,2.27,2.21
2.20,2.23,2.23,2.05
2.19,2.27,2.27,2.19
2.23,2.30,2.32,2.23
2.28,2.30,2.30,2.28
2.34,2.34,2.34,2.34
2.39,2.15,2.39,2.15
2.34,2.29,2.34,2.17
2.25,2.25,2.25,2.25
2.09,2.24,2.25,2.02
2.13,2.13,2.19,2.05
2.12,2.17,2.17,2.12
2.13,2.14,2.14,2.08
2.11,2.10,2.16,2.08
2.14,2.25,2.25,1.91
2.19,2.24,2.24,2.02
2.03,2.25,2.25,2.03
2.21,2.23,2.23,2.21
2.18,2.25,2.26,2.18
2.34,2.25,2.34,2.09
2.20,2.33,2.33,2.20
nan,2.33,nan,nan
2.25,2.25,2.34,2.21
2.30,2.30,2.30,2.30
2.29,2.37,2.40,2.22
2.29,2.22,2.40,2.21
2.38,2.38,2.40,2.15
2.29,2.35,2.37,2.28
2.37,2.36,2.38,2.30
2.34,2.37,2.40,2.34
2.35,2.39,2.40,2.35
2.25,2.34,2.35,2.25
2.38,2.31,2.38,2.31
2.38,2.34,2.38,2.16
2.30,2.30,2.30,2.30
2.23,2.19,2.30,2.18
2.29,2.22,2.30,2.12
2.27,2.30,2.30,2.16
nan,2.27,nan,nan
2.20,2.33,2.33,2.15
2.35,2.30,2.35,2.19
2.35,2.34,2.35,2.32
2.35,2.35,2.35,2.32
2.22,2.29,2.30,2.18
2.35,2.19,2.35,2.19
2.29,2.35,2.35,2.29
2.31,2.33,2.35,2.30
2.33,2.33,2.33,2.33
2.26,2.28,2.31,2.21
nan,2.28,nan,nan
2.25,2.30,2.30,2.25
2.28,2.32,2.32,2.28
nan,2.32,nan,nan
2.33,2.36,2.36,2.33
2.33,2.33,2.33,2.17
2.28,2.33,2.33,2.28
2.19,2.29,2.29,2.19
2.31,2.25,2.33,2.19
2.33,2.30,2.33,2.30
2.30,2.30,2.30,2.30
nan,2.30,nan,nan
nan,2.30,nan,nan
N/A,N/A,N/A,N/A
2.21,2.33,2.33,2.20
2.31,2.31,2.31,2.31
2.19,2.33,2.33,2.19
N/A,N/A,N/A,N/A
2.31,2.30,2.33,2.23
N/A,N/A,N/A,N/A
2.30,2.30,2.30,2.30
N/A,N/A,N/A,N/A
2.20,2.30,2.30,2.20
N/A,N/A,N/A,N/A
2.26,2.28,2.33,2.25
2.25,2.25,2.25,2.25
N/A,N/A,N/A,N/A
2.25,2.25,2.25,2.25
2.25,2.30,2.30,2.25
2.22,2.26,2.33,2.17
2.24,2.33,2.33,2.19
2.29,2.33,2.33,2.20
N/A,N/A,N/A,N/A
2.23,2.30,2.30,2.23
2.33,2.33,2.33,2.24
2.31,2.31,2.31,2.31
2.22,2.33,2.33,2.22
2.28,2.29,2.33,2.21
2.30,2.31,2.31,2.22
N/A,N/A,N/A,N/A
2.33,2.35,2.35,2.31
2.35,2.44,2.44,2.35
2.49,2.56,2.56,2.49
2.57,2.58,2.58,2.41
2.58,2.59,2.60,2.45
2.60,2.80,2.80,2.60
N/A,N/A,N/A,N/A
2.79,2.75,2.80,2.75
2.74,2.76,2.79,2.74
2.75,2.80,2.80,2.75
2.75,2.80,2.80,2.75
N/A,N/A,N/A,N/A
2.66,2.79,2.79,2.61
2.64,2.80,2.80,2.63
2.76,2.80,2.80,2.60
2.77,2.80,2.80,2.63
N/A,N/A,N/A,N/A
2.67,2.80,2.80,2.66
N/A,N/A,N/A,N/A
2.77,2.85,2.85,2.65
2.82,2.86,2.86,2.80
2.88,2.76,2.94,2.76
2.80,2.82,2.95,2.79
2.96,3.04,3.04,2.93
3.05,3.24,3.29,3.04
3.02,3.20,3.20,2.99
3.22,3.22,3.22,3.20
3.17,3.35,3.35,2.98
3.26,3.25,3.33,3.25
3.34,3.34,3.34,3.33
N/A,N/A,N/A,N/A
3.30,3.30,3.30,3.21
N/A,N/A,N/A,N/A
3.35,3.34,3.35,3.32
3.34,3.30,3.34,3.20
3.27,3.29,3.34,2.99
3.30,3.30,3.30,3.23
3.50,3.45,3.50,3.30
3.54,3.50,3.54,3.49
3.50,3.50,3.50,3.35
3.26,3.46,3.46,3.22
3.42,3.40,3.47,3.34
3.35,3.42,3.43,3.32
3.46,3.45,3.46,3.26
3.43,3.42,3.43,3.28
3.28,3.40,3.43,3.28
3.26,3.30,3.40,3.20
3.25,3.30,3.30,3.19
3.25,3.29,3.29,3.25
3.24,3.25,3.25,3.24
3.22,3.21,3.22,3.20
3.20,3.21,3.21,3.20
3.20,3.22,3.22,3.20
3.19,3.22,3.22,3.16
3.20,3.22,3.22,3.15
3.22,3.22,3.22,3.21
3.19,3.22,3.22,3.18
3.15,3.22,3.22,3.15
3.15,3.19,3.20,3.15
3.15,3.15,3.17,2.97
3.10,3.11,3.16,3.10
3.11,3.13,3.13,3.11
3.10,3.13,3.14,3.10
3.09,3.19,3.19,3.05
3.15,3.14,3.15,3.08
N/A,N/A,N/A,N/A
3.15,3.15,3.15,3.05
N/A,N/A,N/A,N/A
3.19,3.19,3.19,3.19
3.06,3.18,3.18,3.06
N/A,N/A,N/A,N/A
3.05,2.98,3.15,2.95
3.08,3.08,3.08,3.08
3.04,3.03,3.04,3.00
N/A,N/A,N/A,N/A
2.91,2.98,3.05,2.91
3.00,3.03,3.03,3.00
3.03,2.98,3.03,2.98
3.00,3.00,3.00,2.98
3.00,3.00,3.00,2.98
3.00,2.97,3.00,2.97
N/A,N/A,N/A,N/A
3.00,2.96,3.00,2.95
3.00,2.95,3.00,2.95
2.95,2.94,2.95,2.94
2.93,2.93,2.93,2.93
2.91,2.91,2.94,2.90
2.95,2.95,2.95,2.91
2.81,2.81,2.95,2.80
2.85,2.85,2.85,2.85
2.85,2.85,2.85,2.85
2.77,2.71,2.84,2.70
2.72,2.83,2.83,2.66
2.85,2.85,2.85,2.85
2.54,2.95,2.95,2.54
2.94,2.95,2.95,2.72
2.80,3.00,3.05,2.80
3.00,2.86,3.00,2.65
2.93,2.84,2.94,2.84
2.89,2.81,2.89,2.76
2.82,2.86,2.86,2.80
2.85,2.85,2.86,2.75
2.86,2.85,2.98,2.70
2.95,2.89,3.00,2.89
2.93,2.84,2.93,2.80
2.85,2.80,2.86,2.80
2.81,2.80,2.85,2.80
2.81,2.72,2.86,2.62
2.78,2.84,2.89,2.68
2.80,3.00,3.00,2.80
2.91,2.99,2.99,2.88
2.93,2.99,3.00,2.91
2.99,2.94,3.05,2.92
2.93,3.00,3.02,2.91
3.02,3.02,3.02,3.00
2.97,3.00,3.02,2.81
2.91,2.89,2.95,2.87
2.89,2.88,2.92,2.74
2.93,3.00,3.00,2.93
3.01,3.01,3.01,3.01
3.03,3.05,3.05,2.99
3.03,3.03,3.03,3.03
3.05,3.04,3.05,2.97
3.05,3.05,3.05,3.05
3.01,3.02,3.03,3.00
