JKK,iShares Morningstar Small-Cap Growth ETF,NASDAQ
75.39,75.49,75.49,75.32
75.82,75.43,75.91,75.05
75.09,75.77,76.09,75.09
76.19,75.38,76.67,75.07
76.49,76.42,76.49,76.23
76.69,76.98,77.02,76.21
78.40,78.52,78.64,78.37
78.77,78.92,79.07,78.62
78.88,78.98,79.20,78.78
79.34,78.02,79.34,78.02
78.26,78.73,78.77,77.73
78.01,78.60,78.85,77.69
78.07,77.44,78.38,77.00
77.54,77.13,77.91,77.04
76.67,75.55,76.67,75.24
76.00,76.13,76.31,75.92
77.49,77.50,77.96,77.42
77.38,77.98,78.06,77.38
77.68,78.89,78.89,77.68
77.86,78.05,78.31,77.47
79.19,79.85,79.90,79.19
79.30,79.74,79.88,79.30
79.30,78.78,79.30,78.24
78.44,78.96,79.44,78.44
80.55,80.83,80.98,80.52
80.99,81.76,81.80,80.99
81.76,82.50,82.55,81.63
82.50,82.83,83.01,82.46
84.07,83.19,84.07,83.19
83.41,83.28,83.60,83.13
83.97,83.49,83.97,83.19
83.68,84.45,84.56,83.52
85.01,84.03,85.05,84.03
84.23,83.99,84.33,83.96
84.04,83.51,84.60,83.38
83.55,84.30,84.30,83.39
84.23,84.83,85.01,84.13
85.32,85.00,85.42,84.58
85.46,85.75,85.83,85.32
86.07,85.49,86.07,85.42
85.26,85.16,85.48,85.13
85.18,85.28,85.37,84.77
85.23,85.11,85.82,84.82
85.10,85.34,85.34,85.05
85.30,85.22,85.50,85.22
85.37,84.51,85.37,84.51
85.58,86.01,86.27,85.15
86.15,84.74,86.15,83.97
85.12,85.93,85.94,84.59
86.25,85.90,86.25,85.66
85.99,85.58,86.20,84.68
85.19,85.89,86.01,84.48
86.22,86.05,86.50,86.05
86.69,86.65,86.96,86.51
86.76,86.68,87.09,86.58
86.76,87.25,87.29,86.68
87.11,87.46,87.48,86.66
87.63,85.79,87.63,85.79
85.30,84.53,85.30,84.03
84.84,84.16,84.92,84.16
83.94,84.25,84.62,83.75
84.21,83.97,84.21,83.48
84.40,85.70,85.72,84.26
85.76,86.00,86.17,85.46
85.75,84.25,85.75,84.13
84.78,84.89,85.23,84.00
85.49,86.49,86.61,85.49
86.47,86.65,86.89,86.47
86.57,86.91,86.91,85.72
86.99,87.79,87.84,86.96
88.02,88.49,89.07,88.02
89.00,88.62,89.00,88.41
89.04,88.51,89.04,88.33
88.00,89.34,89.46,88.00
89.35,90.33,90.33,89.15
90.53,90.89,90.95,90.38
90.59,90.30,90.81,90.22
90.75,91.05,91.22,90.74
90.77,91.55,91.73,90.71
91.98,91.61,92.14,91.40
91.69,89.30,91.69,89.20
89.19,87.89,89.19,87.15
87.63,88.40,88.48,87.17
89.13,89.96,89.96,88.79
91.14,89.63,91.14,89.40
90.47,88.32,90.47,88.10
88.34,89.06,89.25,88.16
89.77,90.96,91.10,89.77
91.23,90.32,91.23,90.08
91.14,89.45,91.14,88.63
89.33,90.31,90.70,88.59
90.04,89.57,90.10,89.37
88.42,87.52,88.42,87.13
86.72,88.05,88.46,86.72
87.13,87.63,88.06,86.86
85.42,87.04,87.19,83.85
86.53,86.45,87.56,85.82
87.23,86.20,87.23,86.20
87.01,86.53,87.06,86.40
87.91,88.46,88.65,87.91
88.64,88.31,88.73,88.09
87.98,88.68,88.68,87.54
89.00,89.36,89.51,88.73
89.62,89.92,90.76,89.62
90.32,90.16,90.54,89.95
89.96,90.91,90.94,89.69
91.52,92.08,92.08,91.04
91.98,92.34,92.36,91.94
92.91,92.10,93.01,92.10
92.91,92.74,93.02,92.52
92.96,93.41,93.82,92.75
93.68,93.16,94.05,92.72
93.40,92.82,93.40,92.50
93.23,91.80,93.23,91.50
92.11,91.27,92.45,91.21
90.87,90.42,91.00,90.16
91.14,90.80,91.14,90.20
90.37,90.87,90.87,90.12
90.55,91.60,91.66,90.55
90.52,90.24,90.52,89.69
90.63,90.65,90.65,90.03
92.10,92.46,92.56,91.94
93.11,93.16,93.17,92.83
93.13,93.12,93.41,92.72
93.77,93.56,93.99,93.56
93.48,94.25,94.31,93.17
94.18,94.91,94.91,94.18
95.00,95.44,95.57,94.77
96.04,94.81,96.04,94.64
94.32,93.29,94.32,92.50
92.12,92.30,92.79,91.50
91.63,91.76,92.87,91.18
92.48,92.44,93.47,92.12
92.37,93.56,93.56,92.37
94.23,94.75,94.81,94.12
94.55,93.61,94.55,92.85
92.86,94.17,94.21,92.59
94.52,93.20,94.52,93.00
92.61,91.66,93.37,91.63
91.03,91.28,91.59,90.70
92.12,92.90,93.04,92.10
93.53,93.12,93.60,92.45
92.92,92.58,92.92,92.44
90.96,90.62,91.04,90.52
90.93,90.32,90.93,90.17
90.23,91.60,91.60,90.23
91.10,92.57,92.59,91.10
92.80,92.95,93.41,92.80
93.98,93.72,94.07,93.19
93.90,91.78,93.90,91.78
91.65,91.59,91.86,90.92
90.21,90.01,90.85,89.90
89.91,88.64,90.11,88.48
89.13,89.15,89.29,88.89
88.39,87.45,88.52,87.37
87.64,88.15,88.40,87.64
87.57,87.24,87.59,86.45
86.98,86.51,87.38,85.95
87.17,88.14,88.51,87.17
87.28,86.79,88.06,86.50
85.91,86.43,87.09,85.91
87.48,86.45,87.48,86.36
86.45,86.91,87.36,86.25
87.78,89.12,89.12,87.68
88.65,88.88,89.77,88.63
87.54,89.22,89.22,87.54
88.65,88.36,88.84,88.36
88.66,89.40,89.45,88.00
90.95,90.98,91.00,90.95
91.48,91.53,91.86,91.17
91.93,92.50,92.63,91.93
92.43,93.82,93.92,92.43
94.08,94.40,94.40,93.88
94.18,94.72,94.90,94.03
95.61,95.90,96.16,95.48
94.68,95.25,95.32,94.41
94.00,92.92,94.65,92.92
92.61,92.70,92.85,92.32
93.24,93.56,94.03,93.24
93.35,91.76,93.65,91.35
92.03,91.57,92.16,91.48
91.82,90.85,91.82,90.44
91.75,93.41,93.42,91.75
93.29,93.10,93.29,92.50
93.29,93.65,94.21,93.29
93.39,94.38,94.50,93.39
92.96,93.73,93.89,92.81
93.21,92.51,93.28,92.47
91.99,89.52,91.99,89.52
89.46,88.94,90.29,88.94
87.65,88.75,89.26,86.79
89.78,88.01,90.02,87.37
87.34,85.04,88.11,85.04
85.13,86.03,86.03,83.26
84.64,80.86,84.81,80.86
81.71,79.24,81.71,77.30
76.56,72.52,77.96,72.52
74.25,77.18,77.34,71.52
74.75,74.42,76.83,72.52
75.41,78.98,78.98,74.31
78.95,78.91,79.17,77.75
80.15,80.92,80.93,79.20
79.88,79.04,80.31,78.79
79.69,78.28,79.92,77.79
76.06,72.97,76.06,72.91
72.06,72.16,74.57,72.06
72.94,72.41,73.36,71.91
72.55,76.13,76.13,72.26
76.16,76.97,76.98,75.58
77.55,75.44,77.81,75.44
74.77,77.44,77.46,74.30
78.68,80.95,80.95,78.68
80.50,81.68,82.02,80.27
81.90,81.38,82.93,80.56
82.46,79.87,82.46,79.74
78.00,77.29,78.83,76.72
75.13,76.70,76.70,74.71
77.98,79.65,79.65,77.98
80.03,78.76,80.03,78.49
77.61,76.08,77.84,75.39
76.23,75.82,76.23,75.03
77.20,78.33,78.33,76.99
79.32,80.65,80.65,78.05
80.75,80.90,80.90,79.60
81.26,80.65,81.47,80.65
79.54,80.35,81.03,79.54
80.61,78.97,81.31,78.97
78.90,78.32,79.38,78.32
73.53,73.80,75.11,72.87
73.88,74.74,74.74,73.87
75.35,75.66,75.66,74.06
77.50,77.75,79.48,77.40
77.89,75.20,78.16,75.10
77.02,73.75,77.03,73.75
74.16,73.29,75.01,73.29
72.62,69.58,73.81,69.57
68.60,73.35,73.35,68.60
73.52,75.20,75.50,72.98
75.20,76.63,76.64,75.20
76.75,75.72,77.21,75.60
76.99,78.27,78.27,76.75
77.55,78.64,78.88,77.55
79.29,79.57,80.39,79.22
79.33,79.88,79.93,78.69
80.83,80.87,80.89,80.14
80.77,78.82,80.77,78.61
78.84,80.28,80.35,77.70
80.50,78.87,80.55,78.87
78.38,78.91,78.91,77.20
80.00,79.87,80.50,79.87
80.64,83.31,83.31,80.64
81.60,81.44,82.28,81.31
82.40,82.18,82.55,80.87
85.11,86.03,86.89,84.37
85.90,86.70,86.72,85.90
85.26,84.08,85.31,84.08
81.01,81.38,82.65,80.71
82.77,83.05,83.23,82.11
83.14,85.09,85.09,83.14
84.21,84.99,85.25,84.21
84.88,84.77,85.23,83.63
84.48,85.86,85.89,83.82
83.49,82.28,83.80,82.17
83.41,82.66,83.41,82.13
83.99,84.89,85.07,83.99
84.32,83.92,84.39,83.77
83.82,85.21,85.27,83.82
84.06,83.48,85.70,83.48
83.31,81.87,83.59,81.75
81.82,81.45,82.02,81.43
79.92,79.65,79.95,79.00
79.43,79.25,79.44,79.21
78.25,76.86,78.40,76.86
76.96,76.14,76.96,76.14
78.95,79.41,79.78,78.74
79.85,79.52,79.88,79.05
82.69,83.74,83.74,82.57
83.44,83.38,84.18,83.23
84.37,83.53,84.38,83.41
85.24,85.04,85.70,84.98
85.24,85.15,85.30,84.59
83.90,84.84,85.01,83.36
84.02,82.43,84.32,82.43
82.59,85.18,85.18,82.59
83.94,83.44,83.94,82.68
84.40,81.81,84.50,81.81
81.01,80.01,81.01,80.01
81.28,80.40,81.28,80.17
81.00,81.34,81.95,80.91
81.92,80.02,82.06,79.96
82.25,83.32,83.33,82.25
82.91,82.84,83.10,81.75
83.11,83.25,83.76,83.11
83.70,83.51,83.70,83.19
83.40,84.38,84.56,83.40
84.23,82.70,84.23,82.70
83.24,83.67,83.67,83.24
83.54,83.29,83.77,83.29
84.92,83.87,85.13,83.81
83.20,83.35,83.43,82.99
82.72,84.01,84.10,82.42
83.41,83.81,84.26,83.41
84.18,84.20,84.37,83.63
85.12,85.07,85.45,84.91
84.76,85.48,85.48,84.76
85.97,86.03,86.09,85.37
85.33,85.46,85.72,84.98
86.34,85.73,86.56,85.73
85.88,87.30,87.30,85.76
87.82,88.06,88.35,87.73
88.13,88.10,88.22,87.70
88.48,87.67,88.48,87.34
87.85,88.03,88.18,87.85
88.34,88.94,89.15,88.10
89.40,88.57,89.40,88.45
88.30,89.52,89.61,88.30
88.82,88.64,89.07,88.49
89.37,88.69,89.37,88.19
89.25,90.44,90.52,89.01
90.74,90.94,91.39,90.62
92.44,92.80,93.06,92.38
92.57,92.40,92.82,92.37
92.53,92.61,92.61,92.33
91.84,92.42,92.52,91.84
92.30,92.33,92.45,91.87
91.30,91.00,91.30,88.67
91.98,92.21,92.30,91.61
91.84,91.89,91.89,91.50
92.08,91.30,92.08,91.06
91.42,92.81,92.85,91.36
93.39,92.60,93.39,92.46
92.78,91.84,92.86,91.81
91.60,91.44,91.93,91.35
91.60,92.90,92.90,91.44
93.04,93.02,93.31,92.67
92.06,93.23,93.54,91.99
93.18,92.81,93.48,92.37
92.99,91.51,93.25,91.51
91.95,92.34,92.93,91.91
92.31,90.84,92.35,90.84
90.53,90.45,90.68,89.98
89.33,88.63,89.33,88.35
89.11,89.44,89.54,88.82
90.06,90.61,90.72,89.69
90.85,91.91,92.43,90.85
92.09,91.59,92.36,91.41
92.45,93.35,93.35,92.01
93.35,92.50,93.49,92.12
92.52,93.27,93.36,92.34
93.39,93.18,93.39,93.06
93.02,93.93,94.43,93.02
93.07,92.95,93.21,92.49
93.30,93.18,93.54,92.75
92.19,92.43,92.62,91.90
92.47,93.26,93.26,91.87
94.20,94.83,95.04,94.14
94.94,94.38,95.09,94.38
94.75,93.61,94.89,93.02
93.03,93.54,93.67,92.40
93.88,93.73,93.89,93.12
93.13,94.13,94.30,92.84
94.33,93.92,94.35,93.57
92.87,92.30,92.87,91.86
91.95,92.30,92.49,91.92
90.56,90.81,90.97,90.44
90.53,88.58,90.70,88.46
89.42,89.73,90.09,89.41
90.15,91.29,91.52,90.15
91.06,90.41,91.06,90.19
90.79,89.91,90.94,89.36
90.67,91.51,92.12,90.67
91.27,90.88,91.27,90.49
91.43,90.87,92.37,90.37
91.35,91.07,91.81,90.97
88.96,89.92,89.94,88.80
90.09,89.98,90.36,89.56
91.55,91.68,91.89,91.30
91.78,92.73,92.94,91.78
92.73,93.33,93.60,92.15
93.32,92.41,93.32,92.37
92.43,93.95,93.95,92.34
92.02,93.02,93.07,91.77
92.94,91.69,92.94,91.59
91.13,90.18,91.16,90.00
89.65,90.03,90.14,86.01
88.85,88.80,89.00,87.96
88.31,89.10,89.17,88.13
89.50,89.14,89.50,88.51
88.28,89.32,89.58,88.28
88.30,88.12,88.69,88.12
88.07,87.85,88.80,87.85
88.25,87.55,88.88,87.52
87.68,85.27,87.68,85.27
85.31,84.24,85.47,84.18
84.56,86.54,86.54,84.56
86.64,86.36,87.29,85.87
85.39,87.01,87.01,85.30
86.92,86.85,86.92,86.00
86.88,86.84,86.98,86.68
87.47,88.06,88.06,87.47
87.13,86.30,87.13,86.29
86.34,85.67,86.34,85.38
83.92,83.09,84.25,83.08
82.86,83.04,83.37,82.18
82.64,84.23,84.23,82.64
85.17,86.35,86.35,85.17
87.61,85.79,87.61,85.79
85.44,86.43,86.55,85.11
87.26,84.83,87.26,84.83
85.06,85.98,85.98,84.49
85.67,84.82,86.21,84.57
84.62,85.67,86.04,84.54
85.81,86.94,87.00,85.79
86.28,87.77,87.90,86.14
89.03,88.94,89.34,88.93
88.61,88.56,89.26,88.14
88.45,86.24,88.45,86.18
86.69,87.21,87.35,86.36
85.90,86.04,86.06,85.60
86.47,86.37,86.73,85.69
86.78,87.24,87.42,86.76
86.71,87.38,87.38,86.33
89.33,90.19,90.19,89.05
90.40,90.70,90.70,89.87
91.38,92.31,92.31,91.31
92.34,92.41,92.70,91.80
90.86,90.65,91.03,90.45
90.59,90.29,90.68,90.08
90.92,89.30,90.92,89.30
89.21,88.71,89.21,88.71
87.35,88.49,88.65,87.35
89.01,89.76,89.76,89.01
89.39,89.30,89.50,88.93
89.93,89.53,89.95,88.44
89.49,90.47,90.67,89.49
90.79,90.39,90.96,90.10
89.51,89.00,89.51,89.00
87.41,87.90,87.90,86.87
87.63,86.56,87.63,86.56
87.20,86.78,87.43,86.78
88.21,88.09,88.27,87.45
89.06,90.16,90.30,89.00
90.22,89.46,90.38,89.46
89.33,88.88,90.20,88.88
88.69,87.44,88.69,87.44
86.85,86.81,86.85,86.38
88.72,88.88,89.20,88.72
88.99,89.93,90.04,88.95
90.44,90.97,91.42,90.44
90.68,90.50,90.75,90.38
90.80,91.02,91.02,90.75
90.60,90.97,90.97,90.43
90.65,90.62,90.80,89.85
91.07,90.54,91.07,90.52
90.70,91.14,91.14,90.70
90.74,92.11,92.11,90.74
92.09,92.62,92.67,92.01
91.96,91.99,91.99,91.64
92.59,91.96,92.92,91.79
91.75,92.08,92.08,91.59
91.88,91.69,92.06,91.43
91.45,91.98,92.19,91.28
92.32,91.97,92.58,91.97
92.05,92.73,92.75,92.05
92.88,92.99,93.21,92.85
91.95,92.23,92.23,91.86
92.17,92.56,92.57,92.16
92.10,93.87,93.99,92.06
93.89,93.65,93.96,93.42
94.60,95.48,95.70,94.42
95.51,95.70,95.81,95.51
95.69,95.31,95.69,95.31
95.27,95.26,95.70,95.14
95.43,95.83,95.83,95.22
95.92,96.72,97.11,92.04
97.06,97.69,98.28,97.06
97.49,97.30,97.51,96.93
97.24,96.93,97.26,96.71
96.85,96.96,97.17,96.85
96.41,96.33,96.42,96.01
97.10,96.66,97.10,96.66
96.19,95.78,96.44,95.62
96.19,94.21,96.27,94.21
94.34,93.30,94.34,93.30
93.85,94.73,94.73,93.80
94.72,94.93,94.93,94.57
94.82,94.41,94.93,94.41
94.39,94.57,94.57,94.21
94.37,94.65,95.14,94.37
95.23,95.24,95.24,94.32
95.91,95.05,96.33,95.00
94.38,94.49,94.49,94.38
93.90,93.16,93.90,93.16
93.23,92.76,93.44,92.76
93.60,93.29,93.76,93.22
93.30,92.81,93.64,92.65
92.96,93.26,93.26,92.90
93.85,94.04,94.16,93.78
94.59,94.74,95.13,94.40
94.38,93.97,94.38,93.94
94.74,92.33,94.74,92.11
92.03,91.78,92.36,91.78
91.32,91.87,91.87,90.79
91.27,91.13,91.41,91.13
92.24,91.35,92.24,90.87
91.67,90.24,91.67,90.00
90.51,91.14,91.14,90.51
91.44,92.36,92.43,91.44
92.74,91.10,92.74,91.10
90.49,90.97,91.22,90.49
91.82,92.02,92.23,91.66
90.98,90.59,91.13,89.97
90.20,89.43,90.27,89.14
88.81,89.50,90.09,88.81
89.71,89.32,89.74,89.19
89.00,88.70,89.36,88.70
88.89,87.16,89.26,87.16
87.04,86.65,87.04,85.44
86.65,87.55,87.78,86.15
88.55,89.17,89.17,88.55
89.06,88.95,89.30,88.89
89.63,89.63,89.63,89.63
90.48,90.75,90.75,90.38
90.44,90.92,90.92,90.43
90.93,90.90,91.37,90.90
90.25,91.14,91.14,89.66
91.89,91.99,92.22,91.88
91.65,91.78,91.87,91.65
91.91,91.60,92.02,91.60
91.17,91.84,91.84,91.14
92.08,91.55,92.08,91.20
91.73,91.82,91.86,91.59
91.88,92.01,92.01,91.57
92.10,92.23,92.23,92.06
93.13,93.35,93.35,93.08
93.41,92.83,93.46,92.83
92.98,92.42,93.01,92.06
92.43,91.99,92.43,91.86
92.61,92.95,92.96,92.61
94.50,94.49,94.79,94.47
94.06,93.90,94.33,93.90
93.85,94.17,94.28,93.85
92.89,93.64,93.64,92.89
93.55,93.37,93.55,93.08
93.50,92.90,93.51,92.70
92.61,92.42,92.81,91.18
92.26,92.38,92.44,92.24
91.76,93.85,93.85,91.76
96.20,96.49,96.50,95.90
96.63,95.96,96.75,95.96
96.42,96.63,96.83,92.00
96.72,96.81,96.85,96.34
96.81,96.81,96.81,96.81
96.86,97.10,97.10,96.86
97.19,97.42,97.42,96.86
97.09,97.30,97.30,97.09
97.33,97.27,97.33,97.22
96.92,98.02,98.02,96.87
97.83,97.72,97.88,97.43
98.36,98.49,98.65,98.36
98.29,98.62,98.62,98.23
98.83,99.22,99.30,98.66
99.22,98.85,99.39,98.85
98.83,99.10,100.04,98.83
99.78,100.30,100.38,99.78
99.96,100.10,100.38,99.96
99.84,99.76,100.03,99.69
99.93,98.86,99.93,98.86
99.00,99.40,99.47,98.98
100.13,100.72,100.94,100.11
100.14,99.60,100.29,99.58
99.97,100.54,100.54,99.97
100.06,100.38,100.90,100.06
100.30,100.69,100.69,100.04
101.14,101.46,101.46,101.14
101.03,100.93,101.03,100.87
101.39,101.38,101.61,101.06
101.51,101.20,101.51,101.04
101.79,102.27,102.27,101.79
102.10,102.15,102.27,102.10
102.24,102.83,102.85,102.17
103.13,101.51,103.13,101.51
100.82,99.51,100.82,98.92
100.70,100.77,100.79,100.54
101.56,99.54,101.56,99.54
99.55,99.26,99.55,98.93
99.24,100.93,100.98,99.24
100.71,100.99,101.00,100.71
99.90,101.22,101.24,99.49
101.04,101.04,101.04,101.04
102.19,102.45,102.52,102.19
102.64,103.00,103.00,102.64
103.10,103.08,103.22,102.96
104.15,104.27,104.29,102.04
104.20,104.31,104.42,104.20
104.28,104.14,104.28,103.82
104.00,104.49,104.62,104.00
105.18,105.18,105.18,105.04
105.18,105.24,105.24,104.90
103.95,104.43,104.69,103.95
104.68,103.49,104.68,102.89
104.20,104.52,104.56,104.20
103.99,103.95,104.37,103.95
104.18,104.14,104.18,104.11
103.94,103.65,104.08,103.32
103.99,104.09,104.09,103.77
104.03,104.53,104.53,103.95
104.70,104.57,104.70,104.33
104.56,103.00,104.56,103.00
103.63,102.91,103.74,102.91
102.00,101.03,102.00,101.03
100.68,101.05,101.05,100.68
99.91,100.56,100.56,99.71
100.87,101.35,101.46,100.73
101.72,101.92,102.23,101.66
102.92,103.45,103.45,102.92
103.95,103.55,104.17,103.55
103.26,103.32,103.32,103.26
101.66,99.92,101.66,99.88
100.63,100.94,101.13,100.24
99.50,99.29,99.61,99.29
99.87,98.79,99.87,98.71
99.23,99.43,99.46,98.73
99.78,100.02,100.16,99.05
100.71,101.18,101.41,100.57
101.13,101.76,101.97,100.94
102.82,102.69,103.35,102.69
102.44,102.42,102.80,102.33
103.05,103.14,103.32,103.05
103.03,103.45,103.51,102.59
102.75,102.63,102.75,102.50
103.14,103.25,103.25,103.14
104.87,104.91,105.33,104.79
104.97,105.21,105.34,104.97
105.50,105.00,105.66,105.00
105.58,106.23,106.23,105.58
106.13,106.27,106.30,106.13
106.57,106.63,106.66,106.57
107.23,107.39,107.39,107.08
107.68,108.55,108.86,107.68
108.47,108.84,109.18,108.47
108.79,108.61,109.26,108.44
109.36,109.36,109.36,109.36
109.47,109.76,109.82,109.47
109.71,110.18,110.18,109.58
110.00,107.43,110.88,107.43
106.66,108.11,108.11,106.66
107.69,107.88,107.99,106.93
109.33,109.28,109.93,109.02
108.90,108.62,108.99,108.25
109.28,109.58,109.59,109.27
109.37,109.36,109.38,109.27
108.59,108.24,108.86,107.19
108.47,107.43,108.69,106.92
107.04,106.00,107.04,105.90
106.64,106.64,106.64,106.64
108.53,108.43,108.58,107.95
108.85,109.02,109.02,108.75
108.13,108.43,108.45,105.73
107.12,107.28,107.28,107.12
106.78,107.74,107.74,106.78
108.62,108.33,108.62,108.28
109.37,109.00,109.55,109.00
110.03,110.39,110.70,110.03
110.51,109.33,110.51,109.33
