HYG,iShares iBoxx $ High Yield Corporate Bond ETF,NASDAQ
87.20,87.15,87.32,86.79
87.22,87.03,87.44,86.80
87.20,87.02,87.43,86.91
87.03,87.18,87.43,87.03
87.20,87.15,87.38,87.10
86.91,87.46,87.46,86.89
87.52,87.60,87.61,87.34
87.73,87.86,87.86,87.48
87.68,87.73,87.74,87.35
87.73,87.75,87.86,87.66
88.13,88.10,88.13,87.83
88.23,88.33,88.37,88.02
88.58,88.79,88.82,88.45
88.78,88.77,88.78,88.52
88.47,88.69,88.74,88.47
88.74,88.84,88.90,88.65
89.05,89.00,89.05,88.90
89.10,89.14,89.22,89.05
89.23,88.99,89.23,88.87
89.10,88.63,89.10,88.62
88.50,88.40,88.52,88.25
88.53,88.75,88.89,88.53
88.93,88.90,89.08,88.84
89.16,89.03,89.16,88.80
89.20,89.24,89.41,89.11
89.48,89.69,89.74,89.23
89.21,89.22,89.33,88.99
89.28,88.91,89.28,88.89
89.25,89.23,89.32,89.06
89.22,89.15,89.33,89.05
89.35,89.33,89.50,89.13
89.46,89.63,89.68,89.36
89.66,89.82,89.89,89.63
89.77,89.74,89.95,89.67
89.93,90.04,90.25,89.82
90.12,89.61,90.13,89.55
89.79,89.84,90.00,89.74
89.95,89.72,90.10,89.72
89.79,89.71,89.95,89.68
89.82,89.99,90.02,89.64
90.09,89.85,90.12,89.85
90.07,90.26,90.28,90.01
90.47,90.61,90.77,90.45
90.59,90.75,90.77,90.55
90.70,90.65,90.80,90.53
90.89,90.70,90.90,90.55
90.81,90.74,90.90,90.66
90.30,89.97,90.40,89.95
90.20,90.41,90.42,90.07
90.45,90.71,90.80,90.34
91.07,91.89,91.97,91.06
91.78,91.79,91.89,91.52
91.70,91.52,91.79,91.45
91.69,91.26,91.69,91.10
91.25,90.51,91.25,90.48
90.44,90.15,90.53,89.81
90.14,89.82,90.25,89.82
90.17,89.65,90.20,89.59
89.58,88.66,89.70,88.49
89.25,89.11,89.37,89.00
89.82,90.24,90.24,89.58
90.00,90.21,90.21,89.84
89.76,89.58,89.95,89.54
89.38,88.35,89.38,88.32
88.57,88.88,89.02,88.57
88.77,88.56,88.87,88.51
88.51,88.79,89.02,88.48
88.59,88.99,89.12,88.42
88.98,89.22,89.25,88.79
89.26,89.27,89.32,89.00
89.20,89.42,89.45,89.16
89.42,89.37,89.42,89.23
89.82,89.83,89.91,89.67
89.73,89.54,90.00,89.41
89.67,89.35,89.67,89.34
89.50,89.39,89.61,89.31
89.40,88.94,89.57,88.82
89.40,89.38,89.40,88.88
89.40,89.03,89.40,88.91
88.90,89.36,89.36,88.78
89.35,89.49,89.53,89.23
89.63,89.65,89.65,89.50
89.81,89.84,89.89,89.66
89.85,90.09,90.14,89.77
90.15,90.18,90.25,90.12
90.32,90.25,90.36,90.12
89.87,89.73,89.90,89.54
89.84,90.03,90.06,89.72
90.14,90.13,90.14,89.96
90.13,90.29,90.31,90.05
90.29,90.36,90.71,90.27
90.56,90.77,90.78,90.48
90.64,91.00,91.01,90.63
91.04,91.11,91.12,90.69
91.12,90.76,91.12,90.70
90.61,90.69,90.73,90.57
90.91,91.04,91.09,90.85
91.05,91.23,91.33,91.05
91.24,91.21,91.45,91.17
91.35,91.36,91.40,91.24
91.50,91.35,91.50,91.25
91.27,91.07,91.39,91.06
91.07,90.89,91.13,90.76
90.98,91.26,91.34,90.98
91.29,91.39,91.45,91.29
91.43,91.53,91.53,91.33
91.64,91.72,91.72,91.53
91.77,91.84,91.85,91.69
91.88,91.29,91.89,91.27
91.53,91.78,91.78,91.36
91.31,91.37,91.45,91.21
91.49,91.47,91.51,91.37
91.48,91.47,91.56,91.27
91.70,91.87,91.89,91.52
92.01,92.04,92.05,91.79
92.12,92.14,92.16,92.00
92.14,91.62,92.14,91.62
91.60,91.72,91.91,91.50
91.87,91.95,91.95,91.63
91.86,92.02,92.02,91.86
92.06,91.84,92.06,91.77
92.01,91.87,92.09,91.87
92.00,92.08,92.10,91.96
92.18,92.36,92.37,92.11
92.19,91.60,92.24,91.59
91.63,91.69,91.83,91.59
91.85,91.76,91.91,91.71
91.81,92.04,92.08,91.78
92.14,92.50,92.53,91.98
91.97,91.78,91.98,91.68
91.75,91.86,91.88,91.70
91.91,92.19,92.22,91.91
92.19,92.00,92.21,91.93
92.13,92.02,92.14,91.92
92.00,91.94,92.06,91.91
91.96,91.68,92.01,91.65
91.74,91.20,91.80,91.17
91.11,91.18,91.35,91.06
91.09,90.81,91.26,90.76
89.90,90.34,90.49,89.50
90.36,89.78,90.62,89.72
90.22,90.75,90.76,90.22
91.14,91.18,91.47,91.02
91.49,91.74,91.78,91.41
91.62,91.79,91.83,91.53
91.69,91.68,91.82,91.53
91.76,91.76,91.85,91.65
91.84,91.79,91.86,91.76
91.90,91.82,91.90,91.69
91.70,91.87,91.91,91.68
91.95,92.01,92.06,91.75
92.03,91.96,92.03,91.87
91.39,91.28,91.53,91.28
91.44,91.84,91.86,91.35
91.64,91.74,91.91,91.64
91.91,91.94,91.98,91.84
91.93,92.03,92.07,91.92
92.09,92.03,92.12,91.91
92.08,91.94,92.17,91.93
91.98,91.65,91.98,91.62
91.87,92.09,92.09,91.83
92.00,91.72,92.02,91.64
91.85,91.84,91.90,91.76
91.70,91.52,91.70,91.42
91.64,91.84,91.86,91.61
92.00,92.19,92.23,91.91
92.32,92.41,92.43,92.11
92.45,92.31,92.45,92.30
92.45,92.52,92.52,92.33
92.49,92.58,92.58,92.48
92.58,92.63,92.66,92.55
92.76,92.85,92.85,92.68
92.31,92.23,92.42,92.21
92.42,92.25,92.43,92.10
92.38,92.22,92.38,92.12
92.22,91.84,92.22,91.79
92.11,92.31,92.45,92.11
92.39,92.43,92.51,92.29
92.33,92.63,92.63,92.33
92.69,92.49,92.73,92.37
92.47,92.58,92.58,92.26
92.60,92.20,92.60,92.20
92.26,92.38,92.47,92.26
92.37,92.54,92.59,92.11
92.48,92.65,92.66,92.43
92.67,92.61,92.67,92.51
92.61,92.54,92.61,92.41
92.26,92.10,92.35,92.08
92.31,91.95,92.37,91.93
92.03,91.95,92.05,91.90
91.97,91.87,92.00,91.87
91.95,92.15,92.26,91.90
92.40,92.40,92.46,92.26
91.76,91.30,91.89,91.15
91.36,91.24,91.40,91.20
90.96,90.88,91.08,90.82
90.94,90.66,91.01,90.57
90.90,90.59,90.93,90.54
90.56,90.16,90.58,90.14
90.21,90.22,90.44,90.12
90.27,89.63,90.35,89.44
89.75,89.29,89.99,89.29
89.97,89.85,90.02,89.80
89.58,89.47,89.85,89.37
89.41,87.88,89.70,87.63
88.89,88.85,89.18,88.30
88.95,89.47,89.57,88.94
89.62,90.07,90.08,89.56
89.90,89.42,90.04,89.41
89.25,89.90,90.00,88.83
90.05,89.47,90.05,89.33
89.51,89.45,89.60,89.36
89.70,89.81,89.81,89.62
90.10,90.70,90.75,89.95
90.70,91.31,91.60,90.70
91.39,91.21,91.45,90.84
91.06,91.33,91.34,90.91
90.99,91.37,91.38,90.92
91.58,91.73,91.73,91.31
91.16,91.48,91.52,91.14
91.01,90.58,91.13,90.55
90.52,90.33,90.66,90.32
90.60,91.03,91.07,90.54
90.87,90.98,91.50,90.81
91.17,90.95,91.17,90.89
90.75,90.79,91.00,90.51
90.78,91.20,91.23,90.71
91.41,91.28,91.41,91.20
91.45,91.72,91.77,91.35
91.60,91.84,91.86,91.54
91.55,91.35,91.74,91.34
91.44,91.54,91.64,91.33
91.52,90.82,91.58,90.82
90.92,90.96,91.18,90.83
90.48,91.05,91.08,90.41
90.79,90.70,91.01,90.25
90.49,89.58,90.50,89.57
89.61,89.53,89.96,88.81
89.00,86.95,89.35,86.91
87.44,86.86,88.13,84.61
83.87,83.16,85.86,82.33
84.25,85.70,85.70,83.05
85.15,84.25,85.29,83.89
83.66,85.78,85.91,83.66
85.98,85.38,86.21,85.03
85.97,86.77,86.89,85.68
86.53,86.22,86.78,86.12
86.63,87.17,87.18,86.60
86.18,86.11,86.23,85.11
85.27,85.36,86.58,85.09
86.00,85.46,86.36,85.35
85.28,86.10,86.24,84.70
85.50,85.71,86.06,85.19
86.22,85.02,86.46,85.00
85.05,85.88,86.05,84.30
86.47,86.75,86.85,86.18
86.61,86.91,86.96,86.49
87.79,88.03,88.38,87.57
87.49,87.41,87.61,87.23
86.57,87.00,87.56,86.57
85.76,85.97,86.30,85.52
86.59,86.39,86.76,86.11
86.56,86.66,86.85,86.39
86.55,85.88,86.80,85.63
85.31,85.14,85.46,84.81
85.34,85.79,86.00,85.14
86.07,86.36,86.56,85.66
86.56,86.94,86.96,86.37
87.15,86.89,87.15,86.60
86.74,86.76,86.93,86.38
86.92,86.90,87.08,86.57
86.90,86.15,87.08,86.14
85.17,84.98,85.52,84.78
84.73,85.21,85.62,84.70
85.39,85.53,86.38,85.01
86.04,85.63,86.04,85.50
85.58,84.67,85.60,84.51
85.00,84.51,85.28,84.36
83.98,82.83,83.98,82.73
81.92,81.30,82.46,81.30
80.61,81.05,81.18,77.90
81.43,82.04,82.11,80.73
82.29,83.31,83.32,81.90
83.78,83.38,83.80,82.67
84.38,85.17,85.18,83.87
85.03,84.23,85.03,84.18
84.77,86.19,86.28,84.42
85.84,85.83,86.02,85.11
86.31,86.43,86.46,86.00
86.02,85.93,86.07,85.73
85.92,86.39,86.58,85.43
86.55,86.11,87.22,86.06
86.40,86.87,86.88,86.20
87.45,87.92,87.94,87.25
88.00,90.30,90.48,87.85
89.41,88.70,89.83,88.66
89.50,89.08,89.50,88.45
90.74,90.39,91.42,90.00
90.16,90.12,90.20,89.84
89.66,89.28,89.67,89.20
87.53,87.17,88.12,86.75
87.63,88.00,88.18,87.46
88.69,88.87,88.99,88.12
88.38,88.78,88.86,88.07
88.73,88.48,88.79,88.02
88.75,88.68,88.82,88.33
87.71,86.80,87.97,86.80
87.57,86.89,87.71,86.87
87.40,88.04,88.11,87.33
87.88,87.45,87.88,87.00
87.31,87.22,87.40,86.90
86.97,86.37,87.12,86.35
86.51,85.95,86.77,85.53
86.28,85.89,86.31,85.79
85.79,84.92,85.92,84.82
84.90,84.27,85.14,84.19
84.01,82.75,84.20,82.63
82.99,82.75,83.69,82.53
84.53,84.60,84.92,84.02
84.92,85.15,85.15,84.62
86.30,86.60,86.68,86.07
86.00,86.43,86.52,85.84
86.69,86.92,87.00,86.43
87.44,87.41,87.64,87.12
87.37,87.80,87.86,87.13
87.58,87.52,87.68,87.19
87.39,86.95,87.52,86.94
87.10,87.70,87.75,87.00
87.38,87.23,87.38,87.05
87.51,86.90,87.71,86.87
86.93,86.75,86.98,86.47
87.34,87.06,87.35,86.93
87.25,87.47,87.51,87.00
87.54,87.36,87.95,87.35
87.94,88.45,88.52,87.86
88.21,88.70,88.70,88.10
88.63,89.04,89.16,88.46
88.99,89.45,89.51,88.87
89.03,89.27,89.30,88.80
89.41,88.85,89.49,88.76
89.10,89.38,89.44,88.86
89.37,89.43,89.65,89.26
89.82,89.72,89.99,89.45
89.70,89.57,89.71,89.11
89.54,89.18,89.58,88.99
89.39,88.90,89.39,88.75
88.91,89.02,89.23,88.91
89.40,89.33,89.48,89.20
89.27,89.24,89.33,89.04
89.24,89.12,89.44,89.04
89.07,89.02,89.13,88.55
89.38,89.20,89.38,89.06
89.21,89.45,89.46,88.95
89.72,89.58,89.85,89.46
89.61,89.58,89.74,89.54
89.77,89.89,90.02,89.66
89.89,90.12,90.17,89.72
90.30,90.91,91.00,89.92
91.30,91.13,91.48,90.92
91.01,90.80,91.18,90.80
90.46,90.51,90.73,90.35
90.75,90.74,90.87,90.53
90.28,90.40,90.72,90.28
90.59,90.46,90.62,90.41
91.22,90.72,91.24,90.58
90.64,90.74,90.76,90.50
90.79,90.92,90.99,90.67
91.04,91.00,91.09,90.81
91.06,91.04,91.09,90.67
90.58,90.25,90.62,90.25
90.50,90.51,90.72,90.33
90.46,90.51,90.65,90.39
90.53,90.22,90.77,90.20
90.22,90.60,90.62,89.99
90.84,90.57,90.86,90.45
90.68,90.91,91.09,90.65
91.03,91.20,91.25,90.97
91.26,91.53,91.74,91.20
91.55,91.81,91.85,91.48
91.59,91.83,91.95,91.59
91.90,92.01,92.12,91.85
92.10,92.13,92.26,91.77
91.65,91.75,91.84,91.50
91.73,91.37,91.73,91.34
91.45,90.86,91.48,90.85
90.54,89.65,90.74,89.65
89.93,89.90,90.01,89.64
90.25,90.60,90.62,90.04
90.69,90.70,90.94,90.63
90.62,90.70,90.72,90.50
90.98,91.36,91.36,90.76
91.31,91.13,91.35,90.67
91.20,90.82,91.20,90.74
90.91,90.49,91.00,90.30
90.49,90.83,90.86,90.33
90.76,90.76,90.92,90.61
90.93,90.47,90.93,90.45
90.45,90.69,90.78,90.43
90.66,90.50,90.75,90.40
90.62,91.05,91.06,90.57
91.01,91.21,91.31,90.94
91.25,90.91,91.25,90.77
90.82,90.90,90.95,90.60
90.97,90.72,91.07,90.59
90.36,90.33,90.47,90.20
90.31,90.25,90.52,90.24
89.97,89.92,90.10,89.79
89.87,89.70,89.90,89.59
89.53,89.24,89.57,89.14
89.27,88.80,89.43,88.72
89.24,89.34,89.39,89.07
89.42,90.14,90.21,89.34
90.11,89.85,90.20,89.79
90.04,89.99,90.17,89.71
90.26,90.38,90.49,90.15
90.24,90.35,90.46,90.19
90.32,90.18,90.49,90.08
90.46,90.32,90.46,90.11
90.02,90.13,90.16,89.85
90.23,90.34,90.34,90.10
90.57,91.00,91.00,90.46
91.00,91.06,91.14,90.96
91.14,91.02,91.15,90.90
91.03,91.20,91.22,90.80
90.85,90.76,91.17,90.73
90.66,91.11,91.18,90.60
91.20,91.05,91.25,90.95
90.94,90.87,91.08,90.80
90.84,91.02,91.24,90.61
90.89,91.00,91.07,90.72
90.77,90.68,90.86,90.44
90.98,90.58,91.03,90.52
90.54,90.81,91.15,90.48
90.50,90.14,90.57,90.00
90.10,89.70,90.18,89.70
89.81,88.82,90.05,88.79
88.82,87.59,88.83,87.37
88.01,87.59,88.29,87.48
87.69,88.50,88.56,87.68
88.76,88.49,89.11,88.38
88.29,88.40,88.68,87.95
88.25,88.42,88.65,88.25
88.57,88.14,88.64,88.09
88.53,89.11,89.25,88.45
88.73,88.71,88.81,88.53
88.80,87.77,88.80,87.75
86.58,86.47,87.16,86.36
86.54,86.54,86.85,86.43
86.54,87.09,87.38,86.45
87.49,88.02,88.04,87.31
88.50,88.35,88.74,88.04
88.33,88.69,88.90,88.19
88.90,88.11,88.99,88.10
88.41,88.73,88.82,88.26
88.60,88.47,88.92,88.26
88.49,89.13,89.24,88.43
89.00,89.29,89.38,89.00
89.09,89.32,89.34,89.00
89.69,89.95,90.11,89.34
90.18,90.30,90.34,89.82
90.40,89.56,90.70,89.42
89.87,90.17,90.28,89.85
89.81,90.03,90.05,89.67
90.11,89.90,90.12,89.66
90.06,90.44,90.46,90.06
90.19,90.43,90.49,90.08
90.98,91.29,91.29,90.78
90.80,90.87,90.87,90.40
90.95,91.20,91.26,90.83
91.00,91.21,91.41,90.72
90.74,91.09,91.13,90.70
90.99,91.12,91.24,90.89
91.20,90.72,91.34,90.60
90.86,91.01,91.08,90.64
90.93,90.81,90.96,90.46
90.91,91.09,91.13,90.76
90.69,90.74,91.03,90.66
91.00,91.17,91.19,90.69
91.13,91.55,91.55,91.09
91.51,91.78,91.89,91.48
91.51,91.35,91.61,91.23
90.84,91.20,91.29,90.58
91.12,90.64,91.16,90.57
90.89,90.45,90.93,90.44
90.89,91.38,91.42,90.83
91.37,91.92,91.94,91.37
91.90,91.92,91.95,91.65
91.95,91.70,91.99,91.54
91.41,91.69,91.69,91.15
91.46,91.32,91.59,91.15
91.60,91.70,91.90,91.57
91.65,91.64,91.99,91.64
91.82,91.46,91.90,91.36
91.58,91.52,91.71,91.48
91.62,91.53,91.66,91.38
91.42,91.45,91.58,91.31
91.41,91.50,91.50,91.25
91.50,91.64,91.79,91.47
91.73,91.20,91.73,91.20
91.34,91.54,91.58,91.08
91.49,91.54,91.65,91.39
91.56,91.65,91.70,91.41
91.73,91.85,91.86,91.70
91.76,91.76,91.87,91.68
91.77,91.74,91.85,91.61
91.77,92.15,92.16,91.69
92.12,92.08,92.22,91.92
92.07,92.00,92.15,91.95
92.13,92.13,92.17,92.00
92.08,92.09,92.18,92.00
92.25,92.33,92.40,92.09
91.87,91.82,91.87,91.56
91.91,91.83,91.92,91.76
91.86,92.37,92.38,91.86
92.50,92.53,92.60,92.37
92.48,92.38,92.71,92.32
92.43,93.01,93.01,92.43
93.13,93.29,93.31,93.08
93.33,93.89,93.91,93.26
93.90,93.88,94.04,93.71
93.78,93.80,93.98,93.70
93.83,93.84,93.92,93.62
93.94,93.72,93.94,93.72
93.63,93.28,93.64,93.27
93.47,93.15,93.47,93.03
93.02,93.03,93.12,92.94
93.05,92.20,93.10,92.13
92.18,91.74,92.20,91.48
92.18,92.74,92.74,92.00
92.66,92.30,92.67,92.29
92.27,91.66,92.27,91.60
91.84,91.89,91.97,91.64
91.97,92.12,92.35,91.91
92.23,92.51,92.57,92.18
92.78,92.46,92.79,92.28
92.26,92.33,92.40,92.19
92.51,92.07,92.51,92.05
92.15,91.85,92.21,91.80
92.20,92.35,92.37,92.12
92.44,92.51,92.76,92.31
92.76,92.93,92.97,92.58
93.06,93.27,93.33,92.94
93.40,93.48,93.56,93.30
93.35,93.43,93.53,93.30
93.37,92.96,93.42,92.88
93.00,92.98,93.19,92.92
92.70,92.63,92.81,92.50
92.84,92.55,92.87,92.50
92.92,92.70,92.96,92.60
92.73,92.48,92.79,92.28
92.48,92.59,92.67,92.44
92.18,92.54,92.63,92.06
92.66,92.41,92.75,92.39
92.40,92.26,92.59,92.11
92.43,92.40,92.52,92.27
92.25,91.85,92.27,91.80
91.96,91.55,92.16,91.50
91.28,91.39,91.68,91.25
91.49,91.42,91.57,91.32
91.28,91.21,91.38,91.07
91.46,90.71,91.50,90.64
90.55,90.67,90.92,90.09
90.76,90.93,91.00,90.53
91.23,92.08,92.12,91.21
92.08,92.09,92.18,91.84
92.00,92.06,92.23,91.97
92.25,92.37,92.44,92.11
92.31,92.39,92.39,92.01
92.26,92.48,92.57,92.26
92.41,92.50,92.74,92.24
92.73,92.91,92.95,92.60
92.90,93.05,93.15,92.87
92.86,93.03,93.03,92.66
92.99,93.03,93.17,92.85
93.27,93.18,93.29,92.85
93.15,93.35,93.39,93.15
93.45,93.21,93.50,93.16
93.50,93.29,93.50,93.17
93.53,93.38,93.71,93.35
93.55,93.66,93.80,93.44
93.60,93.33,93.80,93.30
93.36,93.26,93.50,93.26
93.32,93.62,93.70,93.32
93.77,93.67,93.81,93.58
93.74,93.57,93.74,93.57
93.60,93.90,93.91,93.59
93.44,93.63,93.68,93.44
93.43,93.29,93.55,93.19
93.00,93.01,93.14,92.79
93.05,93.20,93.20,92.89
93.01,92.95,93.24,92.86
92.97,93.35,93.40,92.93
94.07,94.23,94.23,93.80
94.08,93.94,94.29,93.88
93.98,94.00,94.08,93.83
94.02,94.08,94.09,93.83
94.10,94.01,94.12,93.93
94.24,94.19,94.24,94.01
94.33,94.35,94.38,94.20
94.30,94.52,94.52,94.21
94.45,94.39,94.47,94.22
94.22,94.41,94.42,94.17
94.28,94.25,94.40,94.17
94.42,94.59,94.61,94.31
94.54,94.72,94.72,94.48
94.65,94.78,94.87,94.54
94.71,94.67,94.79,94.65
94.77,94.88,94.93,94.69
94.97,94.85,94.97,94.78
94.77,94.80,94.84,94.69
94.71,94.64,94.75,94.54
94.45,93.96,94.51,93.89
93.93,93.67,94.11,93.62
93.54,93.48,93.76,93.46
93.29,93.09,93.40,93.01
93.24,93.30,93.40,93.20
93.16,93.16,93.29,93.06
93.11,92.98,93.13,92.81
92.92,93.00,93.10,92.91
92.89,92.99,93.08,92.86
92.92,93.31,93.36,92.91
93.42,93.45,93.48,93.17
93.25,93.41,93.55,93.25
93.46,93.42,93.66,93.26
93.50,93.51,93.59,93.41
93.58,93.42,93.72,93.40
93.42,93.52,93.59,93.30
93.63,93.75,93.75,93.51
93.78,93.46,93.93,93.45
93.64,93.92,93.92,93.47
93.85,94.08,94.15,93.75
94.07,94.04,94.13,93.94
93.49,93.72,93.99,93.48
93.65,93.73,93.80,93.61
93.79,93.92,94.02,93.79
94.03,93.86,94.06,93.84
93.95,94.00,94.00,93.90
94.17,94.11,94.19,93.92
94.08,94.05,94.15,94.00
93.99,94.01,94.10,93.96
94.10,94.03,94.17,93.95
94.17,94.39,94.39,94.07
94.25,94.38,94.40,94.20
94.00,94.40,94.46,94.00
94.45,94.24,94.53,94.21
94.33,94.55,94.60,94.32
94.37,94.38,94.56,94.22
94.38,94.31,94.46,94.25
94.30,94.17,94.44,94.15
94.39,94.34,94.40,94.25
94.19,94.18,94.29,94.17
94.24,94.35,94.38,94.16
93.83,94.03,94.09,93.65
93.95,93.96,94.18,93.92
93.99,93.96,94.05,93.78
93.92,93.93,94.15,93.87
93.77,94.02,94.02,93.68
94.07,94.12,94.15,93.95
94.20,94.42,94.42,94.12
94.35,94.72,94.76,94.35
94.75,94.72,94.79,94.64
94.64,94.75,94.81,94.55
94.75,94.15,94.75,94.13
94.41,94.80,94.81,94.32
94.61,94.65,94.67,94.40
94.61,94.50,94.67,94.46
94.60,94.45,94.66,94.43
94.69,94.67,94.89,94.53
94.77,95.04,95.05,94.77
95.09,95.21,95.26,95.01
95.22,95.47,95.52,95.14
95.46,95.37,95.48,95.33
95.39,95.55,95.59,95.38
95.63,95.85,95.85,95.55
95.34,95.20,95.56,95.18
95.50,95.81,95.83,95.37
95.97,95.96,96.13,95.86
95.92,96.02,96.06,95.88
96.12,95.95,96.15,95.92
96.02,96.29,96.30,96.02
96.20,96.01,96.29,96.00
96.05,95.51,96.05,95.46
95.41,95.12,95.50,95.11
95.20,95.22,95.46,95.11
95.22,95.23,95.34,95.09
95.29,95.46,95.64,95.18
95.60,95.46,95.63,95.34
95.46,95.56,95.64,95.36
95.56,95.74,95.78,95.54
95.72,95.15,95.88,95.10
95.00,94.89,95.02,94.69
94.75,94.71,94.79,94.67
95.03,94.36,95.03,94.31
94.04,93.98,94.26,93.55
94.00,94.17,94.36,93.69
93.97,92.92,94.11,92.90
92.38,92.36,92.52,91.80
92.50,92.36,93.05,92.19
92.19,91.56,92.24,91.44
91.40,92.28,92.59,91.32
92.44,92.34,92.97,92.20
92.34,92.15,92.59,92.08
91.58,91.58,92.24,91.29
91.93,91.65,92.12,91.63
91.65,92.70,92.82,91.65
92.78,92.81,92.94,92.55
92.93,92.80,93.45,92.80
92.76,93.03,93.11,92.76
