ACN,Accenture plc Class A Ordinary Shares (Ireland),NASDAQ
40.00,40.10,40.33,39.99
39.96,40.02,40.09,39.57
39.70,39.00,39.73,38.90
39.12,39.17,39.46,38.99
38.50,38.90,39.00,37.98
39.27,38.61,39.27,38.39
39.04,39.76,39.89,39.04
39.59,40.38,40.42,39.38
40.26,40.48,40.62,40.12
40.39,40.33,40.57,40.17
40.19,39.86,40.33,39.73
40.27,39.25,40.27,39.16
39.00,39.64,39.79,39.00
40.17,40.33,40.33,39.79
40.33,40.00,40.53,39.93
39.97,40.34,40.43,39.92
40.17,39.97,40.22,39.92
39.75,40.27,40.37,39.65
40.06,40.57,40.75,39.99
39.85,40.47,40.74,39.70
39.86,39.99,40.19,39.72
39.31,39.46,39.58,39.18
39.25,38.85,39.51,38.83
38.88,38.91,39.23,38.48
39.25,39.66,39.96,39.14
39.71,39.66,39.76,39.39
39.42,38.90,39.62,38.65
38.71,38.42,38.76,38.19
38.69,38.00,38.73,37.51
37.53,37.19,37.94,37.19
36.92,37.28,37.39,36.83
37.50,37.14,37.70,37.10
37.37,37.20,37.49,36.97
36.96,36.90,37.34,36.80
36.61,36.60,36.86,36.45
36.97,37.40,37.83,36.97
37.38,37.99,38.02,37.22
38.47,38.58,38.60,38.07
38.61,38.35,38.82,38.28
38.37,38.13,38.67,38.09
38.52,38.21,38.52,38.12
38.33,38.82,38.93,38.33
39.00,39.09,39.16,38.89
38.87,39.21,39.32,38.87
39.19,39.64,39.72,38.88
39.57,39.87,39.93,39.55
39.85,40.56,40.57,39.75
40.47,41.55,41.58,40.47
41.42,41.54,41.58,41.08
41.58,42.26,42.26,41.00
41.82,42.43,42.49,41.71
42.50,41.90,42.71,41.72
41.83,41.68,42.19,41.68
41.84,41.92,41.98,41.50
41.98,42.30,42.50,41.93
42.38,42.49,42.80,41.91
43.83,44.38,45.20,43.83
44.27,44.39,44.58,44.10
44.05,45.15,45.40,44.03
45.02,45.20,45.40,44.99
45.22,45.84,45.90,45.15
45.66,45.78,45.82,45.21
45.48,45.56,45.74,45.35
45.40,45.73,45.85,45.25
45.46,45.25,45.50,44.86
45.11,45.43,45.59,45.06
45.36,45.29,45.51,45.17
45.13,45.43,45.57,45.03
44.95,45.45,45.56,44.66
45.36,45.56,45.75,45.24
45.57,45.75,45.97,45.35
45.73,45.64,45.80,45.46
45.74,45.53,45.89,45.50
45.26,45.05,45.43,44.97
44.74,44.87,45.02,44.52
45.04,44.91,45.25,44.76
44.94,44.71,44.96,44.57
44.58,44.97,44.99,44.55
44.98,44.99,45.28,44.91
44.98,45.34,45.37,44.95
45.46,45.67,45.70,45.16
45.46,45.67,45.71,45.37
45.37,44.98,45.40,44.72
45.07,45.30,45.45,44.89
44.95,45.50,45.54,44.67
44.43,44.24,44.84,44.07
43.95,43.36,44.12,43.27
43.43,44.24,44.46,43.43
44.20,43.95,44.20,43.57
43.94,44.10,44.45,43.76
44.44,44.33,44.69,44.33
44.31,44.21,44.37,43.94
44.07,43.94,44.10,43.65
43.54,43.71,43.85,42.22
44.00,44.19,44.35,43.88
43.94,43.84,44.12,43.66
43.70,43.90,43.99,43.55
43.66,43.32,43.73,43.06
43.77,44.00,44.06,43.24
43.91,44.31,44.47,43.88
44.13,44.22,44.29,44.06
44.36,44.33,44.47,44.08
44.58,44.99,45.57,44.57
45.20,45.01,45.42,44.87
45.07,44.61,45.09,44.43
44.70,45.66,45.73,44.67
45.76,45.90,46.41,45.50
46.10,46.58,46.99,46.08
46.37,46.10,46.60,46.05
46.48,46.67,46.82,46.00
50.32,50.32,51.43,49.89
50.00,48.69,50.09,48.14
48.42,48.73,49.03,48.35
48.06,48.64,48.98,48.00
48.48,48.34,48.66,48.26
47.67,48.25,48.46,47.51
48.25,47.98,48.26,47.68
48.04,48.62,48.82,48.02
48.63,48.42,49.13,48.42
48.50,48.49,48.51,48.09
48.66,48.59,49.37,48.55
48.75,48.27,48.87,48.11
48.14,48.28,48.53,47.68
48.18,48.46,48.57,47.88
48.37,48.54,48.70,48.04
48.22,48.11,48.70,48.09
48.17,48.77,48.78,48.09
48.98,49.89,49.93,48.95
49.45,49.87,49.88,49.23
49.57,50.00,50.00,49.55
49.61,50.35,50.43,49.46
50.22,50.20,50.35,49.80
49.84,51.14,51.15,49.81
51.21,51.04,51.49,50.96
50.63,51.47,51.50,50.63
51.36,51.72,51.78,50.86
51.63,52.35,52.72,51.63
52.32,52.36,52.50,51.69
52.15,51.52,52.47,51.38
51.25,51.47,51.82,50.86
51.83,52.37,52.48,51.68
52.35,52.56,52.80,52.22
52.47,52.78,52.82,51.94
52.68,52.55,52.78,52.43
52.45,52.67,52.78,52.42
52.83,52.64,52.89,52.45
52.31,52.70,52.75,52.22
52.50,52.99,53.28,52.46
52.78,52.40,52.87,52.23
52.09,52.41,52.60,52.00
52.32,51.99,52.44,51.96
52.25,53.41,53.50,52.06
53.47,54.04,54.55,53.35
54.01,53.61,54.10,53.52
53.14,52.37,53.24,52.28
52.16,51.26,52.34,51.25
51.27,51.75,51.91,51.20
51.95,52.18,52.38,51.76
52.17,51.48,52.35,51.35
51.84,51.16,52.19,51.09
51.01,51.15,51.41,51.00
51.74,53.03,53.03,51.60
52.83,52.65,53.04,52.48
52.61,52.39,53.10,52.13
52.40,52.26,52.96,51.96
52.25,52.04,52.41,51.66
51.62,51.39,51.92,51.37
51.25,51.58,51.74,51.02
51.18,51.45,51.56,50.90
50.42,50.02,50.75,49.62
49.96,48.98,50.28,48.72
49.63,49.02,49.74,48.90
50.16,50.25,50.71,49.95
50.82,50.35,50.82,50.18
50.28,50.35,50.68,50.25
50.30,50.67,50.75,49.94
50.51,51.96,52.05,50.51
56.47,54.29,56.78,53.65
54.20,53.58,54.35,53.57
53.33,54.27,54.32,53.32
54.48,54.79,54.97,54.03
54.81,54.97,55.15,54.62
54.81,54.87,55.15,54.54
54.81,55.07,55.33,54.57
54.92,54.93,55.34,54.87
54.90,54.68,55.22,54.58
54.62,54.84,55.00,54.17
54.96,55.10,55.35,54.80
54.74,56.00,56.00,54.71
55.60,55.84,56.19,55.36
55.54,56.55,56.92,55.50
56.11,55.56,56.71,55.07
55.46,54.67,55.53,54.50
54.08,54.49,54.61,54.05
54.53,55.40,55.72,54.35
55.72,56.05,56.48,55.27
56.22,56.81,56.90,55.63
56.67,56.54,56.99,56.14
56.55,56.70,56.93,56.22
56.55,56.87,57.08,56.55
56.63,56.99,57.24,56.60
57.06,57.13,57.86,56.90
57.12,58.06,58.20,57.12
57.34,55.95,57.50,55.48
55.80,55.91,56.48,55.67
55.62,54.93,55.65,54.54
54.96,55.15,55.45,54.72
55.10,55.74,55.90,54.92
55.99,56.96,57.21,55.99
56.81,56.28,56.98,55.81
55.97,56.60,56.75,55.74
56.46,55.74,57.00,55.67
56.37,56.15,57.00,56.08
56.00,56.74,56.76,55.94
56.96,56.92,56.98,56.43
56.85,56.94,57.05,56.63
56.89,57.42,57.66,56.80
56.82,56.34,56.93,56.32
56.66,56.39,56.78,55.83
56.30,56.59,56.82,56.12
56.34,57.03,57.15,56.23
57.25,56.91,57.75,56.91
57.53,57.39,57.56,56.96
57.46,56.98,57.69,56.92
57.10,56.81,57.36,56.36
56.16,55.82,56.16,55.79
55.57,55.78,55.94,55.38
56.00,56.27,57.00,55.96
55.97,55.74,56.35,55.43
55.95,56.35,56.50,55.69
56.01,55.54,56.21,55.38
55.70,55.93,56.29,55.70
56.40,57.12,57.45,56.20
56.66,55.41,56.71,55.38
55.40,53.98,55.40,53.57
54.27,53.95,54.46,53.74
53.66,53.96,54.03,53.50
54.30,54.79,55.33,54.26
54.82,55.25,55.71,54.70
54.94,55.69,55.71,54.40
56.78,57.02,57.21,56.12
56.48,57.79,57.82,55.88
60.81,59.65,60.98,59.51
59.07,59.91,60.08,59.07
59.99,60.42,60.49,59.89
60.19,60.87,60.91,60.14
60.59,61.75,62.09,60.56
61.34,62.10,62.16,61.20
62.69,63.44,63.66,62.60
62.86,63.43,63.57,62.52
62.13,61.49,62.28,61.35
61.33,61.05,61.55,61.03
61.18,60.67,61.40,60.45
60.69,60.83,61.50,60.40
60.82,60.70,60.97,60.20
60.15,59.98,60.69,59.27
60.29,61.60,61.60,60.16
61.47,61.39,61.71,61.21
61.50,61.74,62.04,61.39
61.60,61.28,61.76,60.96
60.12,61.18,61.66,60.01
61.08,61.34,61.72,60.63
60.83,59.75,61.00,59.69
59.62,59.69,60.37,59.40
59.17,59.14,59.75,58.75
59.63,58.96,60.03,58.31
58.53,58.01,59.73,57.99
58.15,59.60,59.66,58.05
58.64,56.98,59.04,56.98
57.44,57.21,57.97,55.50
55.20,53.16,55.68,52.00
53.05,54.89,55.00,51.82
53.76,51.79,53.83,51.61
52.14,54.00,54.88,51.84
54.38,54.61,55.14,53.65
54.92,55.42,55.42,54.14
54.98,54.82,55.77,54.17
55.23,54.52,55.36,54.24
50.33,48.86,52.38,48.37
48.51,47.44,49.41,47.40
48.43,48.50,49.37,48.29
48.79,50.47,50.47,48.53
50.24,50.98,51.09,49.90
51.24,50.75,51.49,50.49
50.57,51.60,51.92,49.50
52.25,52.96,53.00,52.16
52.92,54.03,54.35,52.70
54.24,53.59,54.50,53.24
53.61,52.90,54.06,52.81
52.12,51.47,52.64,51.44
49.51,50.72,50.84,49.31
51.59,52.20,52.23,51.51
52.07,52.17,53.23,51.84
51.56,49.82,51.62,49.62
49.08,50.02,50.02,48.55
50.27,50.86,51.00,49.73
51.02,51.27,51.84,50.15
51.98,53.02,53.40,51.10
53.52,55.02,55.26,53.48
54.10,54.60,54.97,53.20
54.61,54.42,55.50,54.04
54.69,53.39,55.74,53.34
51.59,50.36,52.09,49.49
50.28,50.41,50.93,49.43
50.89,51.92,52.01,50.18
53.37,53.65,54.83,53.16
55.12,53.83,56.30,53.65
54.68,54.44,55.01,53.37
53.07,52.68,53.99,52.68
52.57,51.62,53.87,51.61
50.49,54.26,54.43,50.34
53.93,54.85,54.90,51.15
54.62,55.30,55.35,53.68
55.49,55.92,56.98,55.29
55.86,57.39,57.40,55.73
56.25,57.02,57.63,56.19
57.20,57.42,58.29,57.01
56.86,57.18,57.49,56.18
57.93,58.80,58.83,57.93
57.83,57.74,58.28,57.43
57.23,57.47,58.00,56.53
56.92,57.34,58.25,56.92
57.10,57.09,57.53,56.48
57.83,58.08,58.40,57.30
58.18,58.37,58.65,57.89
58.10,58.17,58.62,56.92
58.82,58.21,58.90,57.15
59.54,60.41,61.38,58.65
60.59,61.76,61.90,60.22
60.38,60.26,61.26,60.19
57.11,57.46,58.37,56.66
58.33,58.48,58.78,57.89
59.32,59.22,59.62,58.49
58.63,58.24,58.64,57.75
58.08,58.00,58.37,57.48
58.25,58.89,58.97,57.75
57.59,56.71,57.79,56.63
57.55,57.00,57.64,56.25
57.83,58.97,59.02,57.75
58.40,57.52,58.61,57.43
57.25,57.93,58.29,57.06
57.57,56.93,58.43,56.88
56.70,55.70,57.13,55.36
55.89,55.10,55.96,54.84
54.49,55.06,55.39,53.84
55.08,54.83,55.71,54.77
54.24,53.63,54.41,53.36
53.59,53.70,54.14,53.19
54.79,55.29,55.70,54.44
55.63,55.57,55.91,55.12
57.13,57.93,58.00,56.75
57.71,57.97,58.80,57.32
58.73,58.38,59.22,58.25
59.11,59.32,60.20,58.71
59.87,59.17,59.94,58.72
58.79,58.54,58.87,57.82
58.10,56.67,58.27,56.54
57.15,58.71,58.92,56.81
58.41,58.22,58.45,57.70
58.55,57.93,59.05,57.57
57.63,56.03,57.90,55.90
56.32,56.13,57.04,55.99
54.51,54.15,55.48,52.93
54.15,53.50,54.46,53.22
54.07,54.24,54.61,53.96
53.69,52.05,53.80,51.08
52.31,52.58,52.68,51.85
52.59,52.89,52.93,52.05
52.64,52.93,53.14,52.61
52.89,52.86,53.08,52.74
53.09,53.84,53.91,52.73
53.51,53.23,53.80,53.22
53.92,52.95,54.09,52.92
52.74,52.93,53.13,52.51
52.95,51.92,52.97,51.81
51.91,51.83,52.15,51.47
51.75,51.74,51.90,51.50
52.14,52.63,53.29,52.02
52.05,53.67,53.86,51.67
53.19,53.94,54.06,53.00
53.67,53.25,54.02,52.40
53.60,53.49,53.95,53.40
53.69,54.95,55.31,53.46
55.25,54.80,55.47,54.57
54.93,55.81,56.61,54.76
55.91,56.48,56.52,55.74
56.27,56.63,56.78,55.67
56.60,57.19,57.29,56.01
57.23,56.92,57.41,56.54
56.85,56.42,57.24,56.39
56.13,57.06,57.09,55.86
57.30,57.34,57.80,57.00
57.99,58.42,58.52,57.61
58.55,57.77,58.59,57.76
58.24,58.31,58.60,58.21
57.67,57.66,58.25,57.60
57.44,57.96,58.02,57.08
57.90,57.07,57.90,56.45
57.18,57.41,57.59,57.11
56.99,56.96,57.06,56.50
57.23,57.41,57.75,56.99
56.99,57.46,57.74,56.98
58.08,57.88,58.73,57.57
58.10,58.45,58.52,57.67
58.76,58.43,58.99,58.15
58.73,58.14,58.84,57.95
57.94,58.53,58.64,57.71
58.57,59.41,59.55,58.46
59.03,59.65,60.00,59.03
59.13,59.66,59.91,59.13
59.83,59.76,59.83,59.11
59.76,59.54,59.83,59.43
59.81,59.68,59.91,59.45
59.54,59.60,59.70,59.13
59.58,60.88,61.00,59.58
60.28,59.46,60.58,59.37
59.63,59.61,59.90,59.07
60.12,60.27,60.50,59.82
60.72,60.86,61.12,60.31
60.91,61.15,61.23,60.45
61.38,62.41,62.44,61.20
62.36,62.61,62.75,62.26
62.55,63.63,63.67,62.25
63.79,63.62,63.98,63.13
63.34,63.41,63.67,63.11
63.09,63.08,63.24,62.66
63.39,63.75,64.27,63.39
63.17,63.52,63.61,62.70
64.01,64.88,64.90,63.20
64.98,65.89,65.89,64.77
65.13,65.46,65.50,64.68
65.13,64.50,65.34,64.27
63.91,64.50,64.61,63.91
64.49,64.50,64.96,64.24
64.63,65.49,65.66,64.40
65.23,64.95,65.49,64.60
64.56,64.44,64.77,63.85
64.09,64.79,65.11,63.98
64.04,63.74,64.10,63.45
63.52,63.15,63.78,63.00
63.04,63.62,63.99,62.78
63.57,64.13,64.22,63.48
63.61,62.55,63.61,62.41
62.73,61.88,62.86,61.77
62.39,64.18,64.30,62.39
63.70,63.56,63.95,63.04
63.59,63.05,63.71,62.61
63.19,63.40,63.90,63.04
62.79,63.03,63.16,62.26
63.16,62.82,63.69,62.70
63.52,64.06,64.15,63.23
63.96,64.34,64.66,63.91
64.69,65.02,65.20,64.43
64.81,64.95,65.15,64.61
64.85,65.00,65.64,64.80
64.55,65.13,65.40,64.46
65.09,64.21,65.18,64.06
63.71,62.61,63.94,62.61
61.52,60.22,61.85,60.08
60.41,59.34,60.41,58.56
58.61,59.22,59.72,58.33
59.75,58.70,59.78,58.40
58.42,58.61,59.25,58.08
58.21,58.81,59.17,57.90
58.51,58.93,60.07,58.36
59.32,59.12,60.12,59.04
59.10,58.39,59.24,58.39
58.73,57.65,58.92,57.54
57.89,59.07,59.18,57.65
59.27,58.93,59.65,58.55
58.51,58.91,59.13,58.01
58.99,57.99,59.37,57.68
57.93,57.44,58.26,57.42
57.87,58.41,58.76,57.78
58.04,57.72,58.27,57.58
57.90,57.10,57.94,56.21
56.35,55.28,56.50,54.94
55.23,56.12,56.23,55.23
55.73,56.74,56.96,55.68
57.38,58.42,58.42,57.14
59.25,58.86,59.25,58.68
58.56,58.53,58.88,58.02
58.98,57.23,59.00,57.18
57.24,57.35,57.85,57.13
57.51,56.93,57.70,56.75
57.13,57.84,58.12,57.00
58.16,59.08,59.15,57.83
58.70,58.88,59.13,58.49
59.36,59.83,60.32,59.35
60.00,59.59,60.10,59.07
59.58,56.66,59.83,56.55
57.12,57.56,57.81,56.89
56.80,56.45,56.90,56.18
56.51,56.45,57.05,56.11
56.77,55.87,56.77,55.42
55.38,56.63,56.75,55.34
58.45,60.09,60.09,58.01
59.79,60.49,60.72,59.50
60.42,61.09,61.12,60.38
60.53,60.27,60.89,60.09
59.54,58.44,59.54,58.23
58.24,57.81,58.40,57.69
58.14,56.98,58.65,56.72
56.92,57.13,57.73,56.64
56.67,57.27,57.51,56.23
57.25,58.06,58.25,57.25
57.57,58.05,58.19,57.57
58.34,58.30,58.76,57.60
58.04,58.94,59.04,58.04
59.23,59.35,59.78,58.76
58.75,59.00,59.40,58.59
57.87,57.75,58.08,57.55
57.76,57.27,58.18,56.80
57.61,57.67,57.96,57.15
58.57,59.21,59.54,58.57
59.50,60.43,60.79,59.47
60.22,60.38,60.74,60.00
60.16,60.30,60.56,59.98
60.44,60.20,60.80,60.14
59.65,59.03,60.00,58.69
59.99,60.35,60.65,59.88
60.96,60.63,61.93,60.57
60.79,60.95,61.36,60.78
60.63,61.80,61.86,60.39
61.56,61.55,61.79,61.19
61.21,61.63,61.67,60.78
61.27,61.50,61.55,60.94
61.55,61.26,61.63,61.05
61.03,60.82,61.46,60.68
61.08,61.15,61.37,60.56
61.63,61.08,61.98,61.02
61.12,60.79,61.28,60.68
61.02,60.98,61.36,60.74
60.71,61.55,61.96,60.55
61.40,60.83,61.49,60.64
60.56,61.53,61.64,60.41
61.55,61.25,61.79,61.11
60.73,60.85,61.15,60.53
60.99,61.02,61.26,60.53
60.80,61.15,61.37,60.50
61.64,61.60,61.95,61.15
61.26,61.06,61.60,60.69
61.06,61.35,61.79,61.03
61.72,63.87,63.88,61.68
64.20,64.44,64.55,63.72
64.23,64.02,64.41,63.84
64.13,64.88,65.16,63.96
65.00,65.17,65.23,64.49
65.04,65.80,66.00,64.53
65.88,65.89,66.75,65.63
65.77,65.60,66.24,65.50
65.75,65.29,66.00,65.27
65.27,65.44,65.55,64.89
65.23,65.19,65.39,64.87
65.58,65.25,65.88,65.20
65.16,65.78,66.10,64.45
65.83,64.91,66.00,64.77
64.92,64.35,64.96,64.14
64.85,65.38,65.71,64.38
67.81,70.03,70.65,67.71
69.99,69.95,70.97,69.64
69.27,70.25,70.36,69.15
70.17,70.48,70.77,69.89
70.43,71.39,71.56,70.08
71.58,70.74,71.79,70.48
70.31,71.04,71.09,70.12
70.81,70.40,70.90,70.23
69.55,69.55,69.98,69.25
69.74,69.42,70.08,69.23
69.24,69.42,69.89,69.00
69.57,70.17,70.24,69.47
70.53,70.75,70.76,69.99
70.28,69.75,70.57,69.64
69.46,68.90,69.70,68.53
68.56,67.75,69.12,67.69
67.46,67.83,67.92,67.22
67.02,66.96,67.30,66.45
67.23,66.32,67.56,66.22
66.87,66.66,67.35,66.58
66.72,67.11,67.39,66.46
67.61,67.41,68.50,66.98
67.42,68.83,68.99,67.34
69.14,67.91,69.25,67.86
67.95,67.88,68.08,66.75
68.16,68.71,68.80,68.07
68.05,66.63,68.06,66.60
66.57,65.95,66.95,65.95
66.19,65.81,66.39,65.54
65.85,66.64,66.68,65.70
65.81,66.28,67.08,65.61
66.42,65.05,66.51,64.88
65.03,64.59,65.62,64.30
64.62,66.19,66.48,64.46
66.71,67.06,67.15,66.46
66.97,66.63,67.07,66.07
66.95,67.56,67.89,66.64
67.89,68.18,68.18,67.28
67.69,67.67,68.00,67.07
67.59,67.35,67.59,66.96
67.02,68.02,68.02,66.28
68.50,68.35,68.51,67.86
68.16,67.92,68.48,67.86
68.14,67.83,68.67,67.75
68.00,68.61,68.73,67.93
68.78,69.60,69.86,68.55
69.72,69.80,69.83,69.31
69.88,69.48,69.88,69.14
69.32,69.51,69.85,68.61
69.91,70.83,70.84,69.80
70.99,70.51,71.00,70.21
70.31,69.56,70.50,69.33
69.28,70.21,70.50,69.28
70.31,71.33,71.33,70.31
71.30,71.12,71.30,70.49
71.49,70.40,71.50,70.40
67.19,69.02,69.19,66.00
68.54,67.42,68.91,67.23
66.62,66.94,67.39,66.35
66.75,66.29,67.21,66.04
65.93,66.22,66.53,65.20
65.72,65.66,66.25,65.61
65.51,66.50,66.58,65.32
67.59,69.06,69.06,67.55
68.76,68.81,69.36,68.59
68.92,69.19,69.61,68.32
68.58,68.89,68.94,68.35
68.76,69.29,69.46,68.66
69.30,69.78,69.80,69.25
69.85,69.17,69.85,68.72
69.69,69.88,70.27,69.53
69.79,69.86,70.25,69.36
69.73,70.25,70.35,69.69
69.71,69.89,70.29,69.71
70.20,69.89,70.23,69.78
69.67,70.11,70.12,69.41
69.79,70.46,70.46,69.79
70.55,71.25,71.46,70.44
71.29,71.34,71.98,70.68
71.50,72.21,72.24,71.01
72.87,72.10,72.87,71.76
72.09,71.70,72.10,71.48
71.74,72.34,72.68,71.65
72.06,71.89,72.80,71.89
72.49,73.80,73.91,72.49
72.56,72.82,73.64,72.44
73.36,73.36,73.69,72.90
72.91,72.42,72.98,72.00
72.21,72.95,73.00,71.58
73.01,73.31,73.71,72.82
73.09,73.07,73.27,72.10
72.89,73.37,73.50,72.58
73.32,73.56,73.71,73.20
73.21,73.13,73.50,72.66
73.08,74.16,74.16,73.00
74.28,75.40,75.46,73.83
75.40,75.00,75.97,75.00
74.69,73.85,74.75,73.45
74.15,74.80,74.80,73.95
75.17,73.91,75.52,73.91
74.32,73.83,74.68,73.55
74.00,74.41,74.63,73.39
74.52,74.36,75.14,74.27
74.13,74.82,74.95,73.62
74.53,75.24,75.28,74.25
75.56,76.92,77.00,75.50
77.03,77.41,77.60,76.92
77.29,77.57,77.84,76.87
77.98,78.35,78.46,77.39
78.38,78.30,78.43,77.63
78.26,78.02,78.40,77.63
78.00,77.93,78.12,77.46
78.08,78.26,78.37,77.86
77.88,76.60,78.17,76.52
75.87,76.81,77.27,75.86
77.16,76.18,77.22,75.81
76.34,76.49,76.80,76.13
75.83,74.30,76.00,74.06
74.30,73.88,74.74,73.33
74.20,73.41,74.32,73.22
74.00,74.54,74.73,73.84
74.18,74.88,75.04,74.10
73.79,75.97,76.14,72.42
76.07,75.85,76.45,75.55
76.10,76.67,76.98,75.91
76.84,76.60,77.00,76.13
76.86,76.61,76.92,76.31
75.76,76.25,76.36,75.52
76.25,76.55,76.62,75.90
76.76,76.21,76.95,75.93
75.56,77.01,77.12,75.50
76.97,77.78,77.94,76.81
77.00,77.23,77.37,76.17
76.93,75.24,77.06,75.23
76.00,77.49,77.56,75.60
76.79,76.70,77.23,76.42
76.99,75.57,77.15,75.48
75.02,74.74,75.39,74.20
75.00,74.94,75.13,74.19
75.29,76.30,77.20,75.01
76.43,77.81,77.91,76.43
78.00,79.33,79.66,77.88
78.61,78.66,79.38,78.46
78.66,81.13,81.45,78.63
80.92,81.44,81.44,80.03
81.44,79.77,82.18,79.71
80.15,79.49,80.77,79.34
80.08,79.50,80.29,79.24
79.40,78.82,79.85,78.74
78.87,79.05,79.35,78.74
79.13,80.00,80.00,79.00
79.74,80.09,80.77,79.69
80.34,80.48,81.48,80.15
80.06,79.92,80.69,79.85
79.91,80.55,80.63,79.86
80.50,80.76,80.94,79.82
80.56,80.61,81.52,79.29
80.70,82.24,82.24,80.50
82.94,82.53,83.82,82.33
82.65,82.90,83.33,82.12
82.97,82.52,84.22,82.20
81.76,82.52,82.75,81.10
82.04,82.22,82.39,80.78
83.27,83.09,83.44,82.76
82.52,82.95,83.37,82.35
83.02,82.84,83.40,82.78
82.25,82.11,83.50,82.00
82.48,82.10,82.61,81.60
82.00,81.25,82.29,80.94
81.25,79.58,81.25,79.37
79.74,79.55,80.05,78.77
80.84,80.90,80.95,80.06
81.28,81.55,81.59,80.60
80.64,80.41,81.60,80.36
80.84,79.71,81.00,79.65
79.89,81.08,81.38,79.44
80.91,80.55,81.65,80.32
81.28,82.45,82.95,81.11
82.64,82.93,83.30,82.14
