DIA,SPDR Dow Jones Industrial Average ETF,NASDAQ
121.87,122.01,122.46,121.45
120.95,119.73,121.05,119.62
119.27,120.42,120.84,119.22
119.77,119.85,120.11,118.92
117.10,118.43,119.13,116.92
117.99,116.16,118.21,115.51
117.45,117.69,117.98,116.91
118.83,118.27,119.01,118.00
119.55,120.07,120.52,119.55
120.15,119.92,120.24,119.77
119.68,120.63,120.91,119.44
121.25,121.46,121.65,120.72
121.70,121.96,122.33,121.60
122.11,121.76,122.46,121.70
121.74,122.51,122.60,121.49
123.00,123.21,123.58,122.94
123.18,123.02,123.56,122.95
123.59,123.46,123.95,123.14
123.64,123.76,123.84,123.45
123.52,123.65,124.14,123.26
124.21,124.17,124.36,123.80
124.04,123.91,124.25,123.11
124.29,123.65,124.35,123.05
123.79,123.64,124.28,123.36
122.92,122.46,123.10,122.17
123.17,122.55,123.21,122.08
121.97,122.72,122.89,121.46
122.88,123.19,123.42,122.45
121.83,121.74,121.88,120.65
121.96,122.39,122.49,121.73
123.93,124.34,124.53,123.76
124.63,124.79,124.81,124.19
124.66,124.55,124.71,124.21
124.79,125.70,125.88,124.65
125.88,126.69,126.87,125.67
126.56,127.42,127.54,126.54
127.56,128.04,128.12,127.54
128.60,127.84,128.63,127.62
127.76,127.82,128.18,127.27
127.67,126.97,127.76,126.51
126.58,125.64,126.84,125.00
126.73,126.27,127.44,125.83
126.24,126.71,127.07,126.04
126.96,127.45,127.67,126.81
127.20,126.31,127.25,125.74
125.96,126.99,127.16,125.37
126.98,125.96,127.12,125.41
125.57,125.47,126.42,125.29
124.93,124.81,125.26,123.85
124.89,125.71,125.85,124.56
126.11,126.18,126.48,125.46
125.51,124.85,125.66,124.57
123.22,123.52,123.88,123.03
123.81,123.30,123.96,123.21
122.84,123.65,124.13,122.80
123.41,123.80,124.17,122.92
124.18,124.23,124.65,123.98
125.33,125.50,125.55,124.60
125.13,122.70,125.18,122.62
122.76,122.30,122.87,121.72
120.88,121.32,122.00,120.84
121.10,120.73,121.34,120.51
121.28,120.49,121.60,120.47
120.41,120.30,120.83,120.08
120.59,121.12,121.68,120.43
120.65,119.37,120.74,119.21
119.73,119.46,120.04,119.09
120.25,120.70,121.14,120.21
119.65,118.88,120.06,118.55
118.84,119.53,119.85,118.69
120.23,119.74,120.47,119.43
119.35,120.54,120.74,119.34
120.98,121.59,121.91,120.74
121.15,120.81,121.81,120.79
119.62,120.32,120.34,118.49
120.23,119.20,120.31,118.99
119.27,120.20,120.73,119.08
120.63,121.61,121.65,120.49
122.00,122.45,122.61,121.49
122.90,123.83,124.02,122.76
124.09,125.58,125.72,123.80
125.54,125.49,125.81,125.16
125.38,126.09,126.26,125.23
126.83,127.10,127.37,126.60
126.03,126.39,126.42,125.50
125.17,124.95,125.46,124.54
124.86,124.33,125.54,124.31
124.96,124.80,125.94,124.49
124.89,124.21,125.67,123.97
124.71,124.56,124.77,123.78
123.90,123.62,124.02,122.72
124.40,125.63,125.82,124.32
125.77,125.46,125.83,125.26
126.03,127.03,127.30,125.73
126.88,126.60,127.02,126.22
125.34,125.76,126.34,125.13
125.36,124.83,125.53,124.67
124.37,122.84,124.39,122.69
122.82,122.28,123.66,122.07
121.08,121.13,122.23,120.64
122.74,121.11,122.96,119.77
120.32,118.46,121.00,118.42
118.60,118.80,118.89,116.83
117.32,113.71,117.57,113.56
115.13,114.25,115.56,111.26
111.27,108.07,113.03,108.02
109.66,112.37,112.38,105.94
110.22,107.17,110.67,106.87
108.20,111.25,112.82,107.83
112.49,112.80,113.49,111.58
113.78,114.81,114.88,113.44
113.94,114.08,114.91,112.97
114.70,114.26,115.46,113.38
111.60,110.07,111.70,109.01
108.29,107.91,110.63,107.77
110.18,108.30,110.30,108.01
108.85,111.37,111.47,108.43
111.25,112.95,113.07,110.91
113.39,111.26,113.78,110.81
110.72,112.70,113.07,109.09
113.97,115.14,115.20,113.92
114.83,115.35,116.16,114.13
116.16,115.95,116.97,115.12
116.09,114.87,117.03,114.72
112.74,112.28,113.28,111.95
109.40,111.21,111.46,109.18
112.74,113.94,114.02,112.40
113.38,112.87,114.68,112.73
111.64,109.82,111.70,109.22
108.37,110.51,110.55,108.15
110.68,110.92,111.37,109.82
111.49,112.40,113.83,109.87
113.43,114.26,114.33,112.83
114.61,114.86,115.13,113.81
113.10,113.72,114.22,112.29
114.26,113.88,115.26,113.48
113.93,110.95,114.23,110.88
107.95,107.07,108.40,105.72
106.44,107.45,107.87,106.13
108.41,110.24,110.33,107.48
112.41,111.71,113.45,111.09
