FSM,Fortuna Silver Mines Inc Ordinary Shares (Canada),NASDAQ
5.36,5.21,5.39,5.19
5.22,5.02,5.22,4.95
5.05,5.14,5.24,5.05
5.14,5.08,5.17,5.05
5.01,5.06,5.14,5.00
5.08,4.68,5.09,4.65
4.66,4.82,4.88,4.59
4.96,5.11,5.17,4.90
5.10,4.96,5.15,4.92
4.92,4.80,4.95,4.73
4.92,5.06,5.06,4.90
5.08,5.02,5.13,4.98
4.95,4.88,5.02,4.88
4.85,4.80,4.90,4.71
4.84,4.95,5.00,4.83
4.83,4.95,4.96,4.82
4.99,4.79,4.99,4.78
4.97,5.06,5.06,4.81
5.09,5.11,5.21,5.05
5.26,5.51,5.57,5.17
5.57,5.51,5.62,5.46
5.41,5.24,5.44,5.21
5.27,5.13,5.35,5.10
5.14,5.28,5.30,5.03
5.32,5.35,5.39,5.11
5.39,5.41,5.50,5.21
5.49,5.50,5.75,5.37
5.42,5.44,5.54,5.37
5.38,5.24,5.46,5.24
5.27,4.85,5.31,4.84
4.81,4.51,4.83,4.50
4.48,4.69,4.73,4.48
4.82,4.93,4.93,4.76
4.94,4.83,4.96,4.79
4.84,4.88,4.91,4.75
4.88,4.95,5.00,4.76
5.07,4.97,5.08,4.91
4.93,4.73,4.94,4.69
4.63,4.74,4.76,4.51
4.74,4.68,4.80,4.67
4.66,4.63,4.71,4.52
4.63,4.61,4.65,4.53
4.55,4.66,4.72,4.50
4.68,4.53,4.68,4.52
4.47,4.43,4.56,4.39
4.41,4.45,4.49,4.38
4.50,4.59,4.61,4.48
4.60,4.49,4.60,4.48
4.56,4.72,4.76,4.52
4.59,4.51,4.67,4.41
4.53,4.56,4.60,4.43
4.51,4.32,4.51,4.32
4.27,4.11,4.36,4.04
4.03,4.13,4.24,4.03
4.06,4.04,4.14,4.01
4.00,3.91,4.07,3.87
3.86,3.98,4.05,3.86
3.96,4.00,4.05,3.96
4.12,3.95,4.12,3.93
4.01,4.00,4.05,3.88
3.99,4.17,4.20,3.97
4.36,4.36,4.48,4.30
4.34,4.17,4.42,4.14
4.11,4.17,4.25,4.06
4.26,4.11,4.26,4.08
4.13,4.14,4.21,4.06
4.09,4.12,4.13,4.06
4.14,4.23,4.30,4.12
4.25,4.23,4.25,4.08
4.28,4.44,4.46,4.27
4.45,4.65,4.71,4.45
4.63,4.60,4.65,4.47
4.57,4.62,4.69,4.47
4.65,4.56,4.69,4.48
4.54,4.54,4.61,4.46
4.50,4.45,4.52,4.41
4.34,4.16,4.37,4.10
4.15,3.96,4.15,3.93
3.97,3.97,4.00,3.91
4.02,4.19,4.21,4.02
4.30,4.34,4.43,4.25
4.32,4.16,4.33,4.11
4.25,4.21,4.38,4.20
4.18,4.20,4.30,4.13
4.32,4.69,4.70,4.31
4.70,4.55,4.80,4.51
4.54,4.58,4.72,4.52
4.58,4.56,4.64,4.52
4.47,4.61,4.66,4.32
4.64,4.62,4.68,4.60
4.62,4.52,4.67,4.50
4.56,4.39,4.56,4.35
4.34,4.24,4.37,4.21
4.28,4.21,4.28,4.02
4.11,3.84,4.15,3.83
3.88,3.93,3.96,3.87
3.95,3.98,4.00,3.86
4.01,4.03,4.13,3.95
4.05,4.08,4.14,3.94
4.08,3.98,4.10,3.98
4.00,3.82,4.03,3.82
3.88,3.86,3.91,3.81
3.85,3.82,3.91,3.76
3.92,3.89,4.06,3.89
4.03,4.20,4.25,3.85
4.23,4.19,4.30,4.12
4.16,4.21,4.32,4.00
4.28,4.23,4.31,4.20
4.31,4.27,4.40,4.27
4.29,4.34,4.36,4.24
4.31,4.30,4.36,4.26
4.35,4.33,4.38,4.30
4.32,4.34,4.45,4.32
4.38,4.34,4.45,4.31
4.35,4.33,4.38,4.28
4.38,4.33,4.48,4.29
4.30,4.36,4.44,4.29
4.38,4.24,4.40,4.20
4.20,4.32,4.33,4.19
4.27,4.36,4.38,4.27
4.36,4.30,4.37,4.25
4.30,4.13,4.31,4.08
4.08,3.98,4.08,3.92
4.00,3.79,4.02,3.62
3.77,3.91,3.93,3.64
3.96,3.95,4.01,3.82
3.98,3.87,4.00,3.84
3.93,4.05,4.12,3.93
4.01,3.88,4.01,3.80
3.92,3.86,3.98,3.83
3.74,3.57,3.78,3.52
3.32,3.05,3.34,3.04
3.26,3.07,3.36,3.03
3.05,2.61,3.06,2.61
2.77,2.85,2.87,2.61
2.92,2.96,3.00,2.78
3.00,2.86,3.01,2.80
2.83,2.74,2.85,2.66
2.80,3.00,3.00,2.78
3.15,3.11,3.26,3.06
3.16,3.02,3.20,2.98
3.09,3.17,3.18,3.05
3.14,3.16,3.17,3.03
3.00,3.03,3.08,2.88
3.04,3.04,3.08,2.96
3.05,3.06,3.16,3.04
3.07,2.99,3.11,2.96
2.94,2.82,2.95,2.80
2.85,2.86,2.94,2.84
2.86,2.81,2.96,2.80
2.82,2.80,2.83,2.72
2.76,2.84,2.86,2.76
2.78,2.75,2.82,2.74
2.72,2.72,2.76,2.62
2.67,2.71,2.76,2.60
2.66,2.62,2.70,2.60
2.60,2.75,2.79,2.56
2.65,2.75,2.75,2.62
2.81,2.79,2.95,2.77
2.88,2.92,2.94,2.81
2.92,2.93,2.97,2.89
2.91,2.99,3.05,2.91
3.01,3.26,3.28,2.99
3.31,3.59,3.66,3.31
3.49,3.17,3.50,3.16
3.25,3.50,3.50,3.25
3.48,3.51,3.54,3.38
3.56,3.55,3.59,3.46
3.58,3.70,3.71,3.50
3.59,3.54,3.60,3.50
3.53,3.59,3.64,3.46
3.48,3.52,3.60,3.46
3.55,3.62,3.72,3.55
3.61,3.63,3.68,3.56
3.67,3.59,3.69,3.57
3.58,3.52,3.62,3.49
3.48,3.47,3.54,3.37
