VRTS,Virtus Investment Partners,NASDAQ
21.03,21.39,21.98,21.03
21.87,22.97,23.10,21.50
23.88,22.79,24.01,22.57
22.59,22.82,23.50,22.59
23.57,23.26,23.64,23.05
23.18,23.37,23.94,23.18
22.04,21.80,22.43,21.65
22.07,21.75,22.30,21.75
21.76,21.38,21.76,21.29
21.59,21.54,21.83,21.29
21.83,22.07,22.10,21.70
21.86,22.59,22.59,21.86
22.70,22.21,23.03,22.04
22.22,22.64,22.69,21.91
22.52,22.48,22.86,22.36
22.74,22.93,22.94,22.33
22.96,22.36,22.97,22.35
22.68,22.00,22.95,22.00
22.14,21.41,22.14,21.36
21.46,21.01,21.49,20.90
20.84,20.30,21.10,20.30
20.69,19.55,20.69,19.54
19.72,19.32,19.72,19.32
19.12,18.76,19.24,18.64
18.72,18.72,19.10,18.56
18.68,18.28,18.68,18.25
18.43,18.16,18.54,18.12
18.41,18.11,18.57,17.90
18.16,18.81,18.82,17.89
18.92,18.87,18.99,18.75
18.90,19.55,19.55,18.84
19.55,20.58,20.82,19.52
20.80,22.47,23.12,20.71
22.46,21.58,22.69,21.08
21.60,21.97,22.30,21.02
21.72,21.10,22.06,21.10
21.94,21.48,21.94,21.00
21.60,21.49,21.97,21.11
21.64,21.65,21.91,21.30
21.89,22.80,22.84,21.66
22.30,23.77,23.78,22.06
23.98,24.61,24.86,23.21
24.70,24.13,24.75,24.03
24.09,24.42,24.42,23.79
23.82,24.52,24.78,23.06
24.39,25.80,25.92,24.39
25.75,26.49,26.81,25.24
24.40,26.28,26.98,23.67
26.33,27.50,27.60,26.07
26.74,27.30,27.50,26.74
27.02,26.58,27.12,26.46
26.59,27.27,27.32,26.57
27.03,27.15,27.47,26.92
26.05,25.98,26.32,25.54
25.46,25.75,25.92,24.35
25.51,24.67,25.51,24.67
24.62,25.51,25.52,24.62
25.84,27.32,27.48,25.84
26.95,27.38,27.47,26.23
27.24,26.38,27.24,26.38
26.23,25.99,26.34,25.89
26.60,25.69,26.60,25.69
25.75,26.34,26.95,25.66
26.10,26.67,26.69,26.05
26.68,26.72,26.88,26.61
27.11,27.01,27.11,26.12
26.79,26.65,27.16,26.65
26.17,26.53,26.63,26.17
27.02,27.60,27.60,26.71
27.73,27.83,27.93,27.42
27.61,28.35,28.40,27.52
28.10,27.57,28.17,27.57
28.25,28.42,28.46,28.03
28.70,28.51,28.98,28.44
28.87,28.22,28.87,28.13
28.63,29.00,29.00,28.43
28.99,28.70,29.00,28.34
28.59,28.77,29.00,28.36
28.75,28.72,28.94,28.69
29.00,28.70,29.06,28.70
28.95,29.12,29.15,28.85
29.00,29.27,29.82,29.00
29.42,28.80,29.74,28.53
28.59,28.85,29.00,28.53
28.95,29.95,29.98,28.92
30.00,29.70,30.02,29.70
29.75,30.59,30.68,29.69
30.52,30.72,30.85,30.11
31.65,30.26,31.65,30.12
30.74,30.85,31.58,30.69
30.88,31.57,31.68,30.82
31.60,32.39,32.50,31.58
29.84,32.74,33.00,29.84
33.11,33.77,34.22,32.69
33.70,33.68,34.50,33.61
33.73,33.87,34.01,33.71
33.76,33.94,34.15,33.76
33.97,34.00,34.10,33.90
33.98,33.93,34.00,33.76
34.16,35.48,35.49,34.16
35.50,35.79,35.85,35.11
35.22,35.06,35.45,33.71
35.35,35.54,36.10,35.20
35.54,35.76,35.96,35.54
35.76,35.63,35.95,35.54
35.67,36.05,36.25,35.65
35.72,36.46,36.60,35.69
36.36,36.23,36.99,36.08
36.49,36.50,37.49,36.34
36.49,36.75,37.05,36.30
37.06,36.41,37.07,36.19
36.60,38.22,38.22,36.60
38.12,38.91,39.99,38.12
39.69,39.82,39.90,39.25
39.96,39.45,39.96,39.00
38.37,39.60,39.67,38.22
39.43,39.03,39.70,39.03
39.16,38.99,39.30,38.03
38.66,39.00,39.30,38.66
38.58,38.95,39.25,38.48
39.27,40.23,40.95,39.08
39.92,39.29,40.12,38.95
39.32,39.58,39.94,38.98
40.28,39.48,40.28,39.20
39.47,41.22,41.22,38.90
41.15,41.43,41.52,40.45
40.98,41.38,41.96,40.77
41.38,43.14,43.24,41.38
42.96,43.82,44.47,42.85
43.69,44.80,44.83,43.00
44.99,44.80,45.00,44.03
45.47,46.52,46.56,45.14
46.61,47.29,47.50,46.44
47.17,48.43,48.63,46.20
48.42,49.11,49.43,48.42
49.43,49.24,49.91,48.66
49.39,48.36,49.87,48.19
49.25,50.12,50.12,48.96
50.01,49.90,50.09,49.57
50.05,49.20,50.05,49.16
48.92,47.73,49.12,46.89
47.71,47.71,48.49,46.93
47.58,47.90,48.11,47.09
47.73,47.06,48.36,46.19
47.33,48.19,48.29,45.95
48.20,48.79,49.00,48.10
48.58,48.24,48.77,47.26
48.05,47.99,48.46,47.68
47.95,48.84,48.84,47.93
49.05,48.65,49.05,48.47
48.90,48.12,48.94,48.11
47.97,46.06,48.15,46.01
45.88,45.37,46.32,45.37
45.25,46.69,47.84,44.99
46.94,46.73,47.48,46.29
46.35,46.95,46.95,46.35
46.71,46.82,46.97,46.53
46.71,46.95,46.99,46.60
46.67,47.00,47.09,46.53
47.09,47.72,48.08,46.77
48.94,48.60,48.96,48.13
48.33,47.66,48.49,47.31
47.67,47.87,48.15,46.82
47.64,47.71,47.99,47.64
47.59,46.45,47.71,46.45
46.28,44.15,47.36,43.26
44.63,45.25,46.82,44.63
45.44,45.42,46.51,44.41
45.39,45.91,46.09,44.60
46.33,47.30,47.30,46.30
47.42,47.35,47.55,46.67
47.50,47.24,47.79,46.94
47.32,48.27,48.99,46.96
48.50,49.87,50.26,48.24
49.54,53.34,54.49,49.54
53.32,53.72,54.37,53.32
53.74,53.92,54.38,53.74
53.84,55.70,55.81,53.84
56.20,56.49,56.49,55.50
56.08,56.38,57.00,55.92
56.17,56.58,56.93,55.81
56.58,57.68,57.68,55.99
57.42,57.39,58.62,56.60
56.90,56.88,57.28,56.40
56.46,57.90,57.97,56.20
57.88,57.82,58.00,57.39
57.84,57.31,58.00,56.57
56.56,55.63,56.72,55.53
56.01,54.89,56.06,54.47
54.48,56.34,57.20,54.48
56.21,58.08,58.39,55.83
58.67,58.28,58.86,56.95
58.46,56.05,58.46,56.00
56.05,57.13,57.55,55.79
57.71,58.86,59.35,57.71
58.68,58.00,58.68,57.18
58.46,56.49,58.46,56.41
56.88,57.63,58.04,55.30
57.27,57.83,57.84,57.15
56.62,53.24,56.92,53.22
53.31,54.10,55.59,52.53
53.72,51.15,53.72,50.57
49.69,50.57,51.15,49.19
50.28,49.94,51.74,49.47
49.97,52.01,52.73,49.97
52.44,52.30,53.65,52.28
53.28,55.18,55.19,53.03
55.05,57.28,58.49,55.05
57.33,58.35,58.49,55.67
58.99,60.12,60.23,57.15
60.49,59.74,60.62,58.75
61.54,60.00,62.30,59.91
59.76,60.00,60.82,59.59
60.43,58.98,60.43,58.61
58.61,58.92,59.27,58.54
59.51,60.60,60.80,59.08
61.01,60.99,61.51,60.48
60.68,60.36,61.50,60.22
60.79,57.41,60.79,57.39
57.57,57.67,59.37,57.46
58.20,56.14,58.20,55.88
56.32,55.49,56.93,55.23
55.01,53.63,55.16,53.45
52.48,52.60,54.28,52.21
52.24,55.70,56.50,51.41
55.65,56.01,56.60,55.22
54.97,53.93,55.32,53.35
54.10,53.05,54.95,53.00
54.28,53.87,54.42,53.15
54.36,54.11,54.82,53.44
53.87,52.70,54.25,52.23
51.91,54.46,55.15,51.85
54.56,54.30,54.65,53.98
54.06,53.65,54.39,53.48
53.79,52.81,54.12,51.95
52.57,51.23,52.61,49.79
51.54,52.75,54.94,51.18
52.76,53.96,54.51,52.68
53.96,55.80,56.00,53.96
56.50,57.20,57.98,56.46
57.20,59.52,59.63,56.89
59.72,60.68,61.40,59.49
59.51,58.19,61.60,58.09
57.87,58.47,58.84,57.67
58.61,57.39,58.61,56.68
57.05,55.38,57.29,55.38
55.12,55.04,56.22,54.91
55.19,55.98,56.00,54.95
56.37,55.97,56.37,52.73
55.52,55.41,55.99,55.00
54.35,54.30,55.46,53.22
54.71,52.81,54.89,52.77
53.00,53.24,53.61,52.37
52.37,53.83,54.01,51.77
54.20,54.34,54.50,54.00
55.16,55.36,55.89,54.16
55.50,54.31,55.52,54.14
54.52,54.45,54.52,53.90
55.24,57.20,58.19,55.24
57.61,57.01,57.61,57.00
57.18,57.27,57.88,57.02
57.05,56.97,57.68,56.85
56.96,57.00,57.20,56.70
56.99,56.42,57.17,56.39
56.94,56.78,57.64,56.61
56.78,58.69,59.00,56.77
58.23,56.79,58.56,56.31
56.92,57.65,59.02,56.45
58.29,57.19,58.43,56.45
56.85,56.97,57.64,56.50
57.48,58.47,58.64,57.01
57.95,57.91,59.09,57.81
57.13,57.61,57.92,56.81
57.74,58.06,58.67,57.25
58.32,59.03,59.35,57.76
59.51,59.99,59.99,58.91
59.99,60.76,60.80,59.60
61.00,60.70,61.21,60.57
61.24,63.87,64.89,61.00
64.51,65.70,66.05,63.99
65.91,66.55,66.63,65.70
67.00,68.95,69.00,66.83
67.75,70.49,70.72,67.75
70.78,69.64,71.00,69.44
69.60,70.32,71.13,69.60
71.18,70.70,71.93,70.18
71.12,69.75,71.50,69.69
69.98,71.26,71.26,69.58
70.80,72.13,72.59,70.80
72.73,75.75,75.78,72.56
75.44,75.71,76.88,74.42
75.05,78.02,78.17,75.05
77.70,78.28,78.49,77.70
77.92,79.13,80.60,77.92
79.78,79.37,79.85,79.03
78.76,78.05,79.60,76.91
77.89,78.90,79.15,77.32
77.99,78.56,80.32,74.62
79.66,79.32,80.95,78.04
79.08,77.62,80.24,77.61
78.10,79.06,79.50,75.13
78.66,71.83,79.30,70.82
72.43,67.42,74.23,63.20
65.06,57.10,65.20,57.10
60.36,63.18,63.96,57.01
60.68,59.92,63.50,59.54
60.39,62.81,63.38,60.00
63.30,61.85,64.72,61.25
62.99,64.30,64.30,62.17
63.44,61.41,64.26,61.25
62.03,60.37,62.03,60.30
58.23,55.41,58.61,55.06
54.71,54.74,56.46,53.42
56.71,56.95,58.05,52.58
57.09,60.44,60.92,56.78
60.73,62.33,63.43,58.58
62.97,59.62,62.97,59.00
58.82,62.59,63.10,58.82
63.42,64.98,65.00,62.89
62.60,61.26,62.64,60.00
61.32,61.31,61.80,60.00
61.15,60.32,61.75,59.34
59.00,58.06,61.57,57.86
56.30,57.44,58.05,55.98
58.93,58.64,59.55,57.52
58.28,56.25,58.70,56.03
55.66,54.54,56.68,53.50
53.28,54.88,57.52,53.28
54.10,56.92,57.09,54.10
57.54,57.39,57.99,55.26
57.77,57.01,57.77,55.75
57.31,57.07,58.51,56.03
55.85,57.17,57.48,55.09
57.29,55.97,57.75,55.71
55.67,55.05,57.60,55.00
53.12,50.64,54.43,50.10
50.82,52.86,52.99,50.82
54.27,54.03,54.66,52.35
54.24,56.82,58.38,54.24
55.03,54.37,57.59,54.20
56.31,55.59,56.31,53.12
55.66,53.62,56.72,53.46
53.32,51.69,55.14,51.54
50.98,52.67,53.74,50.36
53.31,54.60,55.01,51.86
54.55,56.82,56.93,54.20
56.89,55.32,56.89,54.51
57.07,58.00,58.00,55.88
57.60,56.95,58.67,56.41
57.65,59.53,59.84,56.85
58.70,60.07,60.49,58.03
61.17,58.67,61.17,57.84
57.88,56.11,58.07,55.87
56.36,57.12,57.59,55.43
56.70,54.97,57.22,54.93
55.38,55.21,56.66,54.33
56.57,56.76,57.52,54.96
57.06,59.74,59.74,56.79
58.14,57.09,59.02,56.69
57.20,57.21,57.52,55.48
59.57,63.81,64.34,57.66
64.66,64.84,66.19,64.01
64.06,62.40,64.77,62.40
58.07,57.75,59.30,56.94
57.80,59.53,59.79,57.07
59.98,62.86,63.94,59.26
62.02,62.93,63.27,62.02
62.96,63.18,63.50,61.63
64.01,65.27,65.58,63.01
63.30,62.08,65.68,62.08
63.68,64.70,66.72,63.19
65.03,69.09,69.50,65.03
68.63,69.53,70.81,67.91
69.27,71.45,71.50,69.27
70.40,68.83,71.75,68.52
69.51,68.65,71.03,67.95
68.84,71.88,72.00,68.84
69.93,71.63,71.64,69.44
71.16,72.46,72.46,70.69
71.29,72.07,72.40,69.20
71.79,69.92,71.79,68.74
71.90,73.22,74.50,71.08
73.51,74.18,74.40,72.55
76.25,75.89,79.48,74.54
75.74,73.90,75.74,72.81
75.11,74.61,75.11,73.76
74.79,74.12,75.52,73.14
74.23,73.40,74.46,73.24
72.83,75.14,75.47,71.86
75.94,71.91,76.05,71.62
72.48,77.19,77.32,72.48
75.73,75.85,76.30,74.87
76.41,73.65,76.81,73.33
72.74,73.34,74.03,72.74
74.58,73.74,74.58,72.99
74.00,72.00,74.06,72.00
72.74,73.45,74.17,72.74
74.99,75.34,76.22,74.86
74.74,75.66,75.91,74.74
75.98,76.50,76.59,75.12
76.56,76.62,76.62,75.94
76.20,78.49,78.56,76.10
78.70,76.13,78.70,76.13
76.10,76.04,77.79,75.37
76.05,76.01,78.28,75.58
77.31,77.50,77.50,75.62
76.85,77.57,78.00,76.40
76.98,77.87,77.87,76.08
77.56,77.02,77.56,76.45
77.26,77.26,77.77,76.35
79.75,82.88,83.50,79.63
82.04,82.49,83.00,82.04
82.99,82.00,82.99,81.88
80.87,80.28,81.93,80.01
79.49,78.84,81.00,78.84
79.05,79.58,79.58,78.93
80.00,79.60,80.00,78.65
79.48,79.90,80.49,79.42
80.13,79.92,80.13,79.39
78.93,79.90,80.21,78.93
79.92,79.82,80.14,79.34
80.69,79.84,80.69,79.42
79.70,79.97,80.53,79.58
79.45,79.65,79.99,79.31
80.01,79.37,80.29,79.20
80.16,80.71,81.42,80.08
81.71,82.30,83.19,80.79
82.51,82.90,83.50,82.34
82.65,82.03,83.44,81.59
82.00,81.97,82.55,81.56
82.00,82.75,83.21,82.00
83.05,81.26,83.05,80.30
80.23,80.73,81.05,79.91
81.37,80.94,81.40,80.62
80.78,80.57,80.89,80.14
80.86,78.83,80.86,78.66
78.19,79.60,79.60,77.71
79.99,79.95,80.31,79.10
79.00,79.50,79.88,79.00
78.97,79.85,80.32,78.97
79.74,80.50,80.77,79.35
80.81,79.00,80.81,78.76
78.75,81.58,81.98,78.75
81.99,81.42,82.45,81.00
81.47,79.54,81.93,79.01
80.19,79.76,81.97,79.52
79.87,76.11,80.70,76.01
75.52,77.81,78.86,75.52
76.65,74.48,76.65,74.14
74.77,77.27,77.58,74.63
78.08,78.42,78.44,76.22
78.85,80.19,80.22,78.59
80.29,80.85,81.12,80.27
81.45,82.19,82.38,81.00
82.30,81.39,82.38,81.05
81.66,82.03,82.42,80.45
82.21,80.99,82.21,80.36
81.47,81.86,82.00,81.15
81.13,79.34,81.13,79.00
79.89,80.35,80.74,78.62
79.25,79.45,79.93,78.38
79.54,80.00,80.14,79.01
80.90,81.40,81.84,80.37
81.37,81.96,82.00,80.53
81.63,82.95,82.95,81.20
82.26,86.46,87.00,82.26
87.00,85.78,87.00,85.06
84.94,87.41,87.46,84.94
86.79,83.81,86.88,82.29
83.45,81.53,83.63,81.31
81.56,81.23,82.08,80.81
79.70,81.64,83.19,79.68
81.18,77.94,81.18,77.69
79.01,79.33,79.41,77.88
79.10,82.77,83.40,79.10
82.13,80.60,82.13,78.74
80.81,81.52,82.84,80.05
82.42,82.75,83.33,81.86
82.67,84.34,84.46,81.37
84.80,80.29,84.81,79.52
82.07,79.83,82.07,79.13
78.40,78.33,79.38,77.37
78.07,79.95,79.98,78.07
80.34,83.01,83.72,80.30
83.09,85.00,85.00,82.71
84.80,86.36,86.36,84.45
85.88,84.40,86.76,83.70
84.04,82.02,85.60,82.02
80.99,81.50,84.03,80.75
80.56,78.10,81.36,78.00
78.11,75.33,78.11,75.33
75.01,76.13,77.24,75.00
75.50,78.10,78.41,75.50
76.70,77.05,78.00,76.70
77.85,77.86,78.35,77.06
77.00,78.41,78.94,77.00
77.13,77.43,78.89,77.10
77.46,77.08,78.13,77.01
77.35,76.62,77.91,76.04
77.05,75.60,77.05,75.60
75.57,75.11,75.92,75.00
75.75,76.62,76.99,75.32
76.29,73.76,77.00,73.33
73.17,72.01,74.66,71.21
71.75,72.33,72.50,71.00
72.12,71.57,72.12,71.25
71.45,71.53,71.91,71.04
71.00,70.37,72.43,70.32
70.52,70.88,71.68,69.81
69.00,69.68,70.43,69.00
69.82,69.40,69.86,69.00
69.18,69.76,70.39,69.18
70.00,73.12,73.40,69.90
73.63,72.40,74.11,72.05
72.06,73.12,73.79,71.68
74.24,71.28,74.58,71.08
72.21,71.47,72.21,70.60
71.63,69.31,71.64,69.20
70.00,70.36,71.32,69.00
70.01,71.54,72.50,70.00
70.95,70.00,71.70,69.61
70.51,73.30,73.49,69.72
73.45,74.53,74.70,71.41
74.63,70.98,74.63,70.61
71.59,73.35,73.89,70.43
71.58,74.13,75.00,71.58
74.51,76.68,76.96,73.19
76.94,77.45,78.19,76.61
76.85,77.46,77.48,75.15
78.50,81.00,81.33,78.00
81.00,81.97,81.97,79.64
82.00,84.24,84.25,81.43
83.28,84.64,84.94,82.00
83.35,81.43,83.36,80.91
80.46,81.90,82.49,79.90
82.74,82.45,83.41,81.45
82.94,82.52,83.11,82.10
82.13,80.50,82.13,80.06
80.90,81.85,82.15,80.85
80.30,81.65,82.85,80.30
82.64,82.95,83.29,79.68
83.44,85.57,86.39,82.84
86.15,83.76,86.28,83.76
82.62,78.18,82.62,77.80
77.01,77.07,77.84,75.00
76.10,76.94,77.80,76.10
77.70,78.18,79.80,75.95
79.59,79.21,81.74,79.05
79.48,82.83,83.54,79.48
83.43,81.65,84.00,81.35
81.73,83.72,83.99,81.65
84.64,81.99,84.99,81.99
82.84,83.56,84.15,81.56
85.28,84.40,85.28,83.70
84.22,83.15,84.25,82.09
83.26,84.68,85.00,82.84
84.37,85.15,85.50,83.01
84.22,85.43,86.42,84.22
85.58,85.51,86.49,84.33
85.43,85.80,86.04,85.31
86.01,84.32,86.22,84.00
84.51,85.68,86.49,84.30
85.82,86.21,86.49,82.82
86.32,86.90,86.90,86.21
86.50,87.35,87.50,85.82
87.55,88.52,89.60,87.55
89.68,88.87,90.34,87.93
89.09,87.38,89.09,87.34
87.71,87.90,88.72,87.25
88.12,88.26,88.46,87.25
88.06,88.09,88.50,87.67
88.20,88.16,88.97,87.68
87.15,86.74,88.90,85.31
87.23,85.64,87.35,85.52
85.50,88.06,88.56,84.96
87.83,83.00,87.83,82.91
84.06,85.55,85.94,84.06
85.69,87.92,88.66,85.55
88.25,88.17,89.25,87.00
87.93,88.44,89.72,87.16
88.87,87.97,89.73,87.12
87.95,90.50,90.52,87.02
90.45,92.13,93.74,90.44
92.20,89.68,92.61,89.30
89.92,89.42,89.92,85.13
89.50,85.80,89.70,85.68
85.65,88.13,88.47,84.70
89.50,88.68,89.87,86.25
88.05,89.40,90.46,86.83
89.69,87.68,91.37,87.68
88.17,86.92,88.45,86.66
87.78,86.91,87.95,86.24
86.31,86.00,87.01,85.56
86.60,86.95,87.72,86.38
87.11,86.76,87.50,86.02
87.27,87.10,87.51,86.12
87.47,87.20,87.69,86.74
87.67,86.94,88.39,86.94
86.75,87.07,87.80,86.75
87.29,87.68,88.49,86.72
88.19,88.00,88.20,87.01
88.08,88.70,88.80,87.82
88.84,88.71,89.25,88.06
89.05,90.09,90.09,88.48
90.46,92.21,92.52,90.46
92.14,93.12,93.12,92.00
92.73,93.09,93.65,92.70
92.23,92.90,93.61,92.01
93.12,93.71,93.87,92.79
92.93,93.10,93.29,92.22
92.54,93.11,93.74,92.12
94.90,94.81,95.23,94.30
95.00,95.50,95.98,94.55
95.63,95.83,96.50,94.99
96.16,101.75,102.00,96.16
102.40,104.00,104.13,102.40
102.66,104.18,104.25,102.66
104.47,105.05,105.30,104.10
104.10,103.13,104.15,102.88
103.05,101.80,104.30,101.80
101.38,101.84,101.97,99.95
100.97,102.89,102.96,100.97
102.51,103.88,104.40,102.51
103.85,102.86,103.99,102.53
102.80,100.54,102.98,100.21
100.26,101.16,101.73,99.88
102.63,104.26,104.41,102.02
103.56,107.89,108.26,103.56
108.87,109.40,110.00,108.20
110.00,110.10,110.27,109.75
110.10,112.53,112.68,110.06
112.92,111.75,113.12,111.51
111.48,111.65,112.48,110.35
112.61,113.70,114.22,112.61
114.38,114.86,114.99,113.00
115.07,115.64,115.64,114.75
115.51,113.75,115.63,112.92
114.07,114.50,114.75,114.07
114.50,115.19,115.57,113.50
115.64,116.21,116.50,115.45
116.50,116.01,116.98,116.00
116.54,115.50,116.99,115.33
116.00,115.72,116.98,115.52
116.20,115.15,116.47,114.48
115.14,114.56,115.48,114.00
114.99,118.74,119.00,114.99
118.64,120.20,120.20,118.58
119.93,117.39,120.24,117.19
117.32,119.38,120.35,117.32
119.45,120.25,120.26,118.00
120.15,121.14,121.93,119.33
121.68,120.60,121.68,120.29
121.10,119.44,121.10,118.60
118.74,119.50,120.50,118.74
119.55,120.94,121.88,119.55
121.98,125.68,125.98,121.22
125.86,125.09,126.23,124.38
125.76,126.95,127.40,124.59
126.56,126.79,127.35,125.71
127.00,128.79,129.24,126.45
129.50,131.72,131.73,129.45
132.08,134.38,134.41,130.13
134.54,134.79,134.79,132.59
135.00,137.86,138.13,133.50
136.75,136.00,137.21,135.58
135.50,135.80,136.76,135.50
136.73,136.26,136.75,135.50
136.45,137.72,137.72,136.45
138.02,140.82,140.98,137.87
141.13,143.22,143.73,140.85
143.70,142.59,146.69,142.38
143.00,140.80,143.77,140.58
141.00,142.14,142.27,139.62
142.31,144.89,145.33,142.03
144.50,145.25,145.83,141.66
145.43,149.01,149.43,145.02
149.93,152.49,152.74,148.94
151.07,156.25,156.93,151.07
157.32,156.36,157.32,155.25
155.39,156.48,157.43,154.72
157.18,156.34,157.18,155.38
156.70,162.06,162.12,156.70
162.06,162.92,164.13,161.38
163.75,163.05,163.75,162.52
163.05,164.50,165.31,163.00
163.76,166.26,166.96,163.76
167.18,167.11,167.99,166.09
166.64,169.96,170.83,166.64
170.84,160.99,170.84,160.98
159.89,159.85,160.99,158.00
159.95,163.87,164.35,157.93
165.10,162.11,166.13,160.44
162.39,165.49,167.42,162.39
166.02,170.83,171.76,166.02
170.20,168.01,170.75,167.62
167.00,168.37,169.25,165.71
167.21,171.09,173.21,166.52
174.37,175.49,175.89,173.36
175.49,176.00,176.65,174.34
176.00,181.43,181.44,176.00
182.69,184.62,184.63,181.00
183.65,185.80,186.37,183.65
184.11,185.39,185.80,183.30
185.73,185.98,186.69,184.15
186.89,189.19,189.93,185.53
189.09,186.16,191.34,185.90
183.61,187.02,187.85,183.02
186.13,180.50,186.54,177.37
180.00,184.49,184.61,180.00
183.83,182.15,184.50,180.45
183.00,184.30,185.95,180.99
185.62,185.20,186.34,182.65
186.73,187.64,187.64,184.42
186.91,187.50,188.67,185.25
187.88,186.28,189.00,185.73
186.93,185.80,187.80,183.53
186.40,186.22,187.93,184.82
185.88,177.63,185.88,177.44
178.70,181.63,181.63,176.89
178.46,178.84,179.61,177.54
178.84,182.05,182.05,177.93
181.75,183.34,183.88,180.00
184.59,191.78,192.75,184.20
192.14,193.37,194.70,192.14
191.74,193.50,194.37,191.74
191.92,186.60,192.82,185.60
188.67,190.75,192.86,185.34
189.31,183.44,189.31,182.37
182.55,177.50,185.39,175.96
177.42,181.91,183.00,177.02
181.15,184.35,184.42,178.69
185.75,188.64,188.64,184.70
188.47,185.40,188.47,184.08
186.47,187.17,190.12,186.45
187.16,185.14,187.98,184.32
186.02,189.26,190.92,182.96
190.25,191.00,192.78,189.00
193.13,189.51,196.38,182.36
190.80,193.50,194.10,188.25
195.06,203.88,205.12,194.85
203.89,204.50,205.95,203.21
205.25,209.74,210.58,202.45
209.76,213.50,214.70,208.75
214.44,216.92,219.46,212.63
217.00,221.33,221.80,216.18
221.34,224.55,224.98,220.96
224.20,233.06,233.11,224.20
232.10,238.66,239.00,231.50
239.00,239.81,242.11,238.82
241.57,247.12,247.34,241.57
247.08,244.98,248.89,242.96
244.10,241.30,246.30,239.51
241.26,226.78,242.76,225.63
223.10,221.08,224.70,217.58
220.42,224.06,224.48,220.00
227.18,237.54,237.84,227.18
235.00,234.03,237.97,234.03
233.94,236.80,238.10,232.49
234.67,231.86,235.98,231.75
233.71,233.40,233.99,228.18
234.02,228.88,235.11,227.01
227.56,220.35,228.00,217.17
220.20,229.65,229.75,220.20
231.80,237.64,239.91,231.80
239.08,238.31,240.72,237.18
236.17,231.91,238.77,231.10
233.56,220.44,236.89,219.58
219.88,222.10,223.64,216.69
220.72,216.28,221.00,216.00
218.26,216.97,219.45,214.87
218.23,217.70,219.85,216.64
216.02,213.32,217.34,213.02
210.96,198.20,211.50,195.22
