COKE,Coca-Cola Bottling Co. Consolidated - Common Stock,NASDAQ
50.34,50.79,51.23,50.13
51.43,51.02,51.43,50.50
51.30,51.48,51.70,51.00
51.70,51.87,51.99,51.35
51.84,51.63,51.84,51.36
51.20,51.52,51.79,50.50
51.20,50.55,51.67,50.50
51.12,50.40,51.12,50.40
50.65,51.49,51.49,50.53
51.30,51.23,51.49,50.58
50.92,51.00,51.28,50.52
50.80,50.68,51.24,50.66
51.17,51.47,51.47,50.75
51.45,51.90,52.07,50.78
52.34,52.79,52.92,51.89
52.64,53.10,53.46,52.34
53.27,52.93,53.40,52.54
52.88,52.94,53.37,52.60
52.87,52.67,53.27,52.67
53.34,54.33,54.49,52.75
54.10,54.29,54.58,54.04
54.60,53.47,54.60,53.47
53.48,53.86,53.92,53.14
53.70,53.58,54.05,53.26
53.18,53.12,53.29,52.56
53.10,53.49,53.93,52.88
53.64,53.35,53.88,52.78
53.96,53.70,53.96,53.26
53.61,53.98,54.46,53.46
53.98,53.60,54.49,53.45
54.00,54.49,54.93,53.58
54.55,53.50,54.55,53.00
53.51,53.46,53.81,53.06
53.93,53.75,53.93,53.51
53.68,54.46,54.46,53.22
54.45,53.49,54.45,53.40
53.79,53.91,54.22,53.30
53.79,53.32,53.79,53.32
53.74,53.44,53.95,53.30
54.09,55.27,55.32,53.78
55.07,54.95,55.50,54.66
55.50,55.34,55.65,54.82
55.71,55.70,55.72,55.01
55.77,56.26,56.26,55.09
56.48,55.42,56.48,54.10
55.82,56.71,56.71,55.82
56.44,55.95,56.68,54.75
55.67,56.04,56.19,54.40
56.53,57.65,58.00,56.22
57.21,58.24,58.50,57.00
58.19,57.85,58.19,57.51
58.38,58.28,58.65,57.68
58.30,58.00,58.30,56.80
57.61,58.62,58.66,57.61
58.37,58.02,58.37,57.92
58.35,58.00,58.35,57.94
57.57,58.05,58.22,57.37
57.60,58.89,59.00,57.60
58.99,58.50,58.99,57.92
59.39,58.47,59.39,58.01
57.81,58.17,58.56,57.56
57.69,59.13,59.25,57.69
58.78,58.52,60.46,58.15
59.27,58.92,59.47,58.76
59.00,58.96,59.12,58.58
59.16,58.45,59.16,58.35
58.70,58.78,58.86,58.40
58.71,58.35,58.86,58.35
58.78,58.01,58.78,57.86
57.85,56.89,58.49,56.89
57.00,58.07,58.25,56.81
57.97,57.84,58.18,57.41
57.76,57.68,58.00,57.50
57.75,57.66,57.94,57.43
57.59,57.15,57.59,56.51
57.06,56.86,57.66,56.18
56.79,57.31,57.50,56.50
57.16,56.95,57.20,56.86
57.00,56.57,57.32,56.50
56.63,56.12,56.63,56.12
56.11,55.58,56.30,54.91
55.74,56.95,57.13,55.05
57.26,56.44,57.29,56.42
56.63,56.70,57.07,56.36
56.75,56.06,56.75,55.50
56.03,56.00,56.25,55.63
56.08,55.78,56.16,55.55
55.90,55.83,55.90,55.19
56.22,56.07,56.22,55.81
56.30,56.02,56.30,55.98
56.08,56.04,56.26,55.69
56.47,56.12,56.47,55.81
56.15,54.51,56.15,54.27
55.00,54.73,55.69,54.55
55.01,54.36,56.33,54.34
54.56,55.77,55.87,54.56
55.66,54.72,55.68,54.31
54.89,55.61,55.67,54.45
55.67,55.00,55.76,54.90
55.22,53.41,55.50,53.21
53.90,54.02,54.83,53.61
54.46,55.33,55.69,54.46
55.55,54.97,55.84,54.81
54.99,53.83,55.09,53.77
53.83,53.16,53.94,52.80
53.42,53.97,54.28,53.10
54.00,54.01,54.09,53.35
54.50,53.95,54.87,53.40
53.54,54.81,55.00,53.54
54.58,55.22,55.22,54.14
55.33,54.70,55.47,54.63
54.76,54.74,54.96,54.54
54.98,54.68,54.98,54.33
54.60,55.17,55.35,54.29
55.37,55.13,55.50,54.76
54.97,55.02,55.45,54.75
54.89,55.04,55.36,54.89
55.25,55.29,55.45,55.00
55.28,55.68,55.68,55.07
56.16,57.70,57.70,55.93
57.92,57.31,58.00,55.52
57.03,57.56,57.83,57.00
57.99,58.36,58.36,57.64
58.38,59.09,59.09,58.31
59.25,58.66,59.30,58.33
58.83,59.46,59.46,58.73
59.10,59.39,59.92,59.06
59.98,59.26,59.98,59.02
59.01,59.05,59.96,59.01
58.97,59.25,59.85,58.50
58.75,59.10,59.33,58.75
59.23,59.30,59.63,58.94
59.95,60.02,60.72,59.45
60.36,61.04,61.49,59.87
61.19,62.65,62.68,61.07
63.00,63.91,63.99,61.95
63.63,65.26,65.38,63.48
65.30,65.75,65.90,65.28
65.73,65.52,66.82,65.27
65.82,65.16,65.98,64.51
64.97,65.47,65.47,64.64
65.57,65.76,65.79,64.76
65.71,66.84,67.00,65.31
66.88,66.79,67.38,66.20
67.04,68.61,68.74,66.50
68.60,71.93,72.39,67.13
73.03,73.65,74.58,70.00
74.44,74.15,75.76,72.38
74.73,75.70,76.23,73.94
76.22,75.23,76.22,74.75
75.11,75.53,76.32,75.11
75.69,72.17,76.04,71.83
72.15,71.50,73.74,70.51
71.35,72.20,72.63,70.15
71.53,71.39,71.63,70.53
71.46,72.31,72.56,71.25
72.95,71.62,73.15,71.41
71.89,70.73,71.89,69.21
70.95,71.62,71.62,68.63
71.70,71.36,72.55,71.13
71.59,70.76,72.14,70.65
69.77,70.53,70.60,69.00
70.53,70.45,71.76,70.24
70.60,69.68,70.60,69.50
69.84,68.53,70.00,68.40
68.26,67.48,68.81,67.44
67.54,66.74,67.61,65.81
67.57,66.33,67.85,65.92
66.48,68.84,68.86,66.48
69.00,69.86,70.34,68.87
70.21,68.82,70.21,67.73
68.57,69.15,69.50,68.57
69.25,68.73,69.50,68.41
68.72,68.25,69.49,68.25
68.22,68.61,69.00,68.15
68.48,68.73,69.22,68.42
69.04,68.84,69.62,68.63
68.50,68.88,69.57,68.50
68.25,68.70,69.39,67.07
69.00,68.44,69.00,68.25
68.48,68.70,68.78,67.89
68.72,68.60,68.84,67.60
68.60,68.99,68.99,68.50
68.99,67.49,69.00,67.30
67.61,65.03,68.03,64.97
65.48,68.80,69.09,65.48
68.34,67.69,68.80,67.43
67.69,67.88,68.27,67.14
68.10,68.55,68.98,67.86
68.13,67.48,69.43,67.46
67.58,67.69,68.39,67.49
67.65,67.24,68.08,66.10
67.66,66.38,67.79,66.33
67.01,68.05,68.05,66.75
67.56,66.61,67.93,66.30
66.57,68.77,68.94,66.17
69.02,68.46,69.95,68.37
68.75,68.88,69.47,68.52
69.44,69.86,69.95,68.92
69.70,69.65,69.95,68.51
68.90,68.29,69.23,67.09
68.44,67.84,68.44,67.34
67.57,67.40,67.74,67.00
67.62,67.55,67.70,67.09
67.50,67.58,67.99,66.95
67.96,67.66,68.00,67.38
67.61,67.33,69.44,67.00
67.24,67.67,67.67,66.92
67.58,69.03,69.92,67.26
69.67,69.56,69.90,69.00
69.07,68.48,69.28,67.66
68.03,67.77,68.74,67.26
68.01,67.27,68.90,67.26
67.35,67.40,67.96,66.74
67.45,65.78,67.48,65.76
66.00,65.50,66.05,65.03
65.19,64.13,65.25,63.96
64.33,64.35,64.47,63.43
64.30,63.79,65.00,63.77
63.78,65.06,65.09,63.78
65.15,64.82,65.68,64.17
64.07,64.05,64.52,63.50
64.41,63.58,64.41,63.37
63.66,63.05,63.85,63.01
63.01,64.39,64.43,62.86
63.91,64.52,64.87,63.52
65.76,64.96,65.76,64.77
64.87,63.72,64.66,63.36
63.73,66.36,66.62,63.33
66.25,63.70,66.25,63.69
64.00,64.55,65.50,63.71
63.46,60.15,64.32,60.14
61.67,64.36,64.36,60.23
64.32,61.48,64.49,61.11
62.99,61.52,62.99,60.44
62.20,60.82,62.33,58.79
61.40,60.84,61.76,59.63
60.36,59.88,60.65,59.88
60.01,60.53,60.83,60.00
60.00,59.34,60.27,59.03
59.15,58.14,60.41,58.11
59.54,58.17,59.54,58.03
58.53,59.16,59.25,58.03
59.22,59.16,59.73,58.39
59.31,58.25,59.66,58.25
58.10,59.23,59.34,58.10
58.85,57.09,59.14,57.00
57.15,56.45,57.40,56.00
57.18,56.00,57.65,55.65
55.98,56.43,56.93,55.57
55.91,55.01,55.98,54.49
54.00,54.54,54.76,53.50
55.29,55.28,55.30,54.63
55.20,55.27,56.50,55.00
54.92,55.35,55.78,54.50
54.97,55.46,55.76,54.63
55.48,54.88,55.79,54.25
55.36,55.63,56.00,54.78
56.15,56.12,56.15,55.61
56.37,55.48,57.10,55.48
55.05,55.04,55.87,54.24
55.23,54.77,55.79,54.77
54.92,54.22,55.91,54.01
54.00,55.88,56.21,53.86
55.70,55.60,56.71,55.00
55.69,56.34,56.55,54.16
56.94,55.57,56.94,55.28
55.99,55.20,55.99,55.00
55.95,55.80,56.09,54.14
55.29,55.46,56.64,55.10
55.17,52.08,56.36,52.00
52.08,52.46,53.46,50.26
52.72,52.48,52.96,50.99
52.68,53.28,53.41,51.65
53.72,52.17,53.76,51.78
53.00,53.87,53.89,52.19
53.37,54.29,54.39,53.32
54.74,56.58,56.91,54.49
56.50,55.90,56.50,55.02
56.58,57.35,57.74,56.05
57.35,55.19,57.35,54.37
55.67,57.09,57.35,55.49
57.28,56.05,57.35,55.88
56.50,55.64,56.88,55.64
56.88,56.87,57.10,56.05
57.00,57.80,57.81,56.27
57.37,55.52,57.37,55.52
56.10,56.29,57.14,55.55
57.79,58.45,58.79,57.09
58.13,56.62,58.48,56.40
56.46,56.12,57.18,55.94
55.17,55.09,56.00,54.62
55.11,56.40,56.82,55.11
56.41,57.60,57.99,55.55
57.39,57.27,57.57,56.31
57.26,56.20,57.35,55.97
56.50,57.50,57.80,56.25
56.27,55.00,56.52,54.98
56.01,54.26,56.01,53.75
55.32,54.50,55.32,54.00
54.76,54.28,54.76,53.94
54.19,55.09,55.18,54.14
54.48,54.37,55.22,54.33
54.61,54.81,55.15,54.41
54.92,55.58,56.20,54.91
55.15,54.51,55.15,54.31
54.68,53.74,54.74,53.24
53.43,51.78,53.99,51.53
51.97,51.58,52.78,51.53
53.24,53.99,54.10,52.61
53.84,54.01,54.31,53.09
55.32,56.00,56.00,54.28
55.46,53.72,55.50,53.57
54.15,54.79,54.99,53.93
55.02,53.52,55.07,53.15
54.33,55.57,55.66,54.22
55.14,54.66,55.39,54.19
54.30,53.23,54.37,53.00
53.64,55.04,55.39,53.48
54.96,54.48,54.96,54.02
54.59,53.72,55.42,53.72
53.44,54.00,54.76,53.44
54.45,54.16,54.45,53.30
54.26,54.11,54.59,53.28
54.37,54.03,55.76,54.00
54.60,55.15,55.35,54.24
55.14,55.74,55.90,54.53
55.67,56.65,56.65,55.63
56.74,56.85,56.99,56.50
56.92,56.74,56.92,56.63
56.75,55.76,56.75,55.76
56.01,56.84,56.84,56.01
58.17,58.55,59.81,57.28
59.19,58.60,59.19,58.10
58.40,57.67,58.72,57.64
57.74,57.78,58.37,57.42
57.76,56.73,58.19,56.73
57.52,57.14,57.52,56.80
57.94,57.65,58.20,57.45
57.64,57.30,57.64,56.66
57.22,58.16,58.16,56.95
57.96,58.00,58.25,57.37
58.51,58.32,58.51,57.63
57.77,58.46,58.77,57.58
58.69,58.52,58.78,58.24
56.74,59.00,59.00,56.51
59.00,59.29,59.70,58.79
59.32,60.23,60.29,59.15
60.52,60.10,60.52,59.62
60.52,60.32,60.70,60.12
60.48,61.38,61.99,60.48
61.44,60.12,61.52,60.04
60.66,61.00,61.48,60.16
61.17,61.77,61.97,60.95
61.90,61.90,61.90,61.02
62.29,63.48,63.98,61.92
63.93,63.09,63.93,62.55
63.50,63.24,63.99,62.00
63.65,64.26,64.62,63.45
64.31,64.26,64.70,63.83
64.21,63.19,64.66,63.00
63.82,64.03,64.09,63.24
64.19,64.06,64.39,63.28
64.06,63.03,64.06,62.90
63.00,64.29,64.75,62.00
64.65,64.79,64.97,64.09
64.49,64.24,64.49,63.38
64.19,64.20,64.51,63.82
64.48,64.74,64.74,64.20
64.74,64.72,64.87,64.43
64.58,64.89,64.95,64.00
64.95,64.71,64.95,64.36
64.66,64.44,64.99,64.44
64.89,64.50,65.25,64.50
64.59,64.26,65.27,64.00
64.51,64.34,64.89,64.12
64.16,63.68,64.51,63.58
63.75,64.24,64.37,63.58
64.77,64.00,64.86,63.64
64.00,63.76,64.00,63.56
63.63,63.68,64.55,63.13
64.00,64.78,64.85,63.38
65.00,63.25,65.00,63.17
63.27,62.92,63.27,62.00
62.77,63.04,63.17,62.02
62.86,62.45,63.27,62.33
62.40,62.38,62.84,62.35
62.73,61.61,62.73,61.50
61.26,61.60,62.42,61.18
61.76,62.00,62.68,61.76
62.77,62.64,63.47,62.02
62.68,62.68,63.10,62.47
62.94,62.41,62.94,61.83
61.98,62.90,62.99,61.98
63.37,62.74,63.37,62.67
62.98,63.30,63.30,62.80
63.00,62.71,63.29,62.46
62.42,62.51,62.96,62.09
62.48,62.87,62.87,62.23
62.60,62.46,62.87,62.25
62.67,61.06,62.87,61.06
61.86,62.54,62.54,61.55
62.68,63.28,63.30,62.66
63.27,62.31,63.27,62.22
62.80,62.57,63.25,62.06
63.00,63.17,63.48,62.62
63.25,62.40,63.29,62.12
62.62,61.75,62.85,61.55
62.40,62.42,62.84,62.08
62.18,61.15,62.18,61.10
61.58,61.76,61.94,61.47
62.89,62.28,63.39,62.05
62.62,63.56,63.63,62.62
64.00,64.49,64.50,63.49
64.89,64.15,64.89,64.00
64.71,62.91,64.74,62.71
62.71,62.51,63.08,62.13
62.23,62.16,62.74,61.75
62.22,62.48,62.95,61.78
62.58,63.31,63.32,62.37
62.87,63.94,64.48,62.40
63.45,62.50,63.80,62.45
63.14,62.66,63.14,62.34
62.36,62.25,63.39,62.10
62.12,61.81,62.60,61.61
62.16,61.86,62.74,61.85
62.38,62.35,62.87,62.08
62.56,62.00,62.71,62.00
61.75,60.47,61.78,60.14
60.14,60.96,60.96,60.10
60.87,60.66,61.39,60.29
60.91,60.80,60.95,60.25
61.43,60.97,61.43,60.26
61.02,60.75,61.26,60.52
61.32,61.31,61.79,60.54
60.96,61.05,61.40,60.71
61.34,61.27,61.70,60.41
60.50,60.49,61.04,60.05
60.50,61.25,61.49,60.50
61.28,61.07,61.99,60.77
61.38,62.33,62.33,60.97
62.59,61.63,62.59,61.29
61.20,61.77,62.28,61.00
62.15,61.03,62.47,61.02
61.05,61.48,61.56,61.00
61.39,60.74,61.48,60.58
60.74,61.97,61.98,60.63
61.80,62.14,62.50,61.57
62.12,61.63,62.15,61.08
61.44,63.22,63.29,61.36
63.50,63.67,63.92,62.81
63.63,62.43,63.63,62.12
62.60,63.39,63.46,62.15
63.17,63.67,63.93,62.85
63.97,63.60,64.00,63.05
63.63,63.77,63.77,63.37
63.40,63.98,64.00,63.04
64.49,64.28,64.83,63.53
64.51,64.99,65.00,63.38
65.00,65.04,65.04,64.70
65.04,64.99,65.11,64.33
64.50,64.76,64.99,64.39
64.94,65.06,65.42,64.51
65.09,64.27,65.47,64.20
64.50,66.06,66.76,64.28
65.28,65.81,66.49,65.01
65.85,66.47,66.90,65.36
66.53,65.75,66.60,65.54
66.17,66.68,66.92,65.45
67.55,66.92,67.58,66.55
67.40,66.99,67.66,66.60
66.97,65.84,67.58,65.45
66.08,66.68,67.19,65.51
67.14,65.71,67.44,65.42
66.12,66.06,66.89,65.68
66.55,66.00,66.81,65.19
66.13,67.04,67.09,66.13
67.19,67.15,67.64,65.49
66.98,67.17,67.93,66.98
67.92,65.98,67.92,65.98
65.88,65.31,66.27,65.02
66.19,67.55,67.75,65.56
68.20,67.86,68.36,67.60
68.25,68.53,68.75,67.58
67.86,67.16,68.32,66.75
67.02,66.49,67.02,66.21
66.00,66.28,67.17,66.00
66.49,65.93,66.49,65.00
65.93,66.02,66.40,65.00
66.13,66.07,66.19,65.09
66.00,66.76,66.79,65.65
66.56,67.44,67.49,66.56
67.56,67.60,67.68,66.90
67.56,66.06,67.75,66.05
66.28,66.26,66.60,66.02
66.01,66.26,66.49,65.65
66.35,66.88,66.89,66.06
66.86,67.85,67.85,66.08
67.91,68.41,68.41,67.00
68.30,68.33,68.99,68.01
68.63,67.89,68.85,67.54
68.28,68.64,69.00,68.18
68.31,68.10,68.58,67.98
68.37,68.74,68.97,68.35
69.00,68.73,69.15,68.10
68.85,68.54,68.96,68.27
68.47,68.12,68.95,68.00
68.12,68.10,68.75,67.92
68.48,67.33,68.48,67.00
67.21,68.16,69.00,67.21
68.48,68.32,68.62,68.08
68.78,67.96,68.91,67.54
67.74,67.41,67.75,67.25
66.61,66.80,67.35,66.02
66.49,66.67,67.18,66.18
67.43,67.00,67.70,66.97
67.25,66.77,67.52,66.68
67.33,66.27,67.80,66.13
66.70,67.80,68.10,66.70
67.62,68.58,68.77,67.09
68.14,68.10,68.57,67.24
68.36,69.01,69.17,68.10
69.00,69.00,69.19,68.82
69.20,68.65,69.20,68.07
68.64,69.08,69.08,68.41
69.29,69.45,69.97,69.08
69.65,69.45,69.94,69.02
69.44,68.07,69.44,68.00
68.35,68.66,68.86,68.14
68.83,69.27,69.83,68.65
69.54,69.01,69.72,68.84
69.27,69.94,69.94,69.15
70.00,70.00,70.24,69.65
70.30,69.94,70.90,69.76
69.75,70.27,70.93,68.45
69.82,68.56,70.77,68.00
68.49,68.72,69.96,68.49
68.44,68.01,68.44,67.51
68.02,68.72,69.31,68.02
69.27,68.75,69.51,68.56
68.40,68.35,68.95,67.80
68.57,68.74,68.81,68.23
68.98,69.64,70.00,68.71
70.00,68.72,70.00,68.33
69.00,68.38,69.91,68.20
68.74,69.09,69.65,68.39
68.71,66.54,68.79,66.54
66.82,64.22,67.54,64.00
64.00,63.63,64.85,62.10
64.04,64.08,64.78,63.95
64.19,64.23,64.40,63.41
64.15,63.40,64.39,63.30
63.09,62.37,63.20,61.07
61.81,62.93,63.83,61.76
64.45,64.98,65.59,63.61
65.00,65.20,66.26,64.26
65.58,65.50,65.58,64.85
65.71,66.60,66.98,65.71
66.34,67.69,67.91,66.34
67.81,66.92,68.75,66.50
66.90,67.25,67.91,66.57
67.58,67.86,68.47,67.00
67.80,68.64,69.00,67.35
69.00,67.80,69.00,67.25
68.00,68.63,68.78,67.58
68.75,68.39,68.86,68.38
68.18,68.30,68.99,67.39
68.55,66.95,68.55,66.65
66.77,66.99,67.00,66.47
67.18,67.47,67.50,66.70
68.44,66.87,68.47,66.64
66.44,67.23,67.81,66.13
67.66,67.12,67.66,66.76
66.95,67.68,67.95,66.75
67.57,67.75,67.94,67.46
67.58,67.26,67.74,66.69
67.13,68.49,68.49,67.13
67.98,68.35,68.47,66.14
68.20,68.03,68.20,66.91
68.40,65.70,68.40,65.50
65.94,66.46,66.76,65.00
66.28,65.58,66.28,65.02
65.32,66.50,66.50,65.10
68.50,69.33,69.50,67.68
69.64,68.62,69.64,67.78
68.99,68.70,69.31,68.29
68.52,67.52,68.98,67.19
67.67,66.50,67.67,66.50
66.67,66.82,67.24,66.50
66.99,66.68,67.25,66.00
66.83,66.46,67.00,66.31
66.52,66.09,66.52,66.01
65.84,66.15,67.00,65.55
66.00,65.98,66.43,65.70
65.88,66.47,66.50,65.75
66.19,65.96,66.30,65.95
65.95,65.60,66.29,65.28
65.83,64.97,65.83,64.68
65.29,64.50,66.03,64.00
64.90,64.26,64.90,64.06
64.67,65.45,65.57,64.27
65.27,65.41,65.66,65.15
65.08,64.51,65.13,64.50
64.51,64.73,65.08,64.50
64.73,64.99,65.17,64.73
64.65,63.91,64.98,63.80
64.19,64.29,64.81,64.02
64.39,63.99,64.39,63.96
64.00,63.21,64.08,63.00
63.48,63.41,63.78,63.23
63.48,63.04,63.58,63.03
63.05,63.16,63.39,63.00
63.20,63.65,63.78,63.20
63.50,63.64,63.99,63.07
64.14,64.13,65.70,63.50
63.57,62.85,64.76,62.58
62.84,62.89,63.59,62.04
63.04,63.04,63.64,62.86
63.49,64.17,64.18,63.05
64.44,63.97,64.70,63.92
64.30,64.29,64.70,64.02
64.39,64.71,64.94,64.26
64.71,65.43,65.61,64.56
65.00,65.33,65.67,64.60
65.51,65.97,66.25,65.50
66.24,64.52,66.35,64.11
64.91,64.18,64.91,63.78
65.00,62.44,65.00,62.00
62.62,62.60,62.99,62.40
63.97,62.50,63.97,62.09
62.34,62.38,62.73,62.19
62.61,62.94,63.25,62.61
63.00,62.76,63.00,62.41
62.75,62.80,63.10,62.61
62.51,62.72,63.06,62.51
62.68,62.02,62.92,61.98
62.48,62.56,62.56,62.05
62.30,60.80,62.58,60.70
61.31,60.74,61.56,60.60
60.78,60.59,61.46,60.40
60.60,60.50,60.75,60.00
60.00,60.09,60.29,59.87
60.25,60.32,60.51,60.01
60.50,60.98,61.00,60.01
61.10,61.29,61.70,60.58
61.67,60.61,61.67,60.61
61.14,61.68,61.69,61.14
61.30,61.48,61.98,61.26
61.50,60.54,61.84,60.06
60.83,60.14,61.00,60.01
60.26,60.51,60.74,60.05
60.62,60.38,60.62,60.11
60.29,60.35,60.49,60.10
59.80,58.01,59.98,58.00
59.21,60.56,60.73,59.17
60.55,60.56,60.99,59.54
60.80,60.55,60.98,60.50
60.40,60.94,61.35,60.40
61.00,60.76,61.00,60.26
61.04,61.03,61.87,60.85
61.02,60.78,61.83,60.78
60.75,61.17,61.63,60.74
61.11,60.94,61.47,60.51
61.24,61.42,61.82,61.06
61.28,61.50,61.87,61.11
61.24,59.75,61.24,59.75
60.33,60.41,60.74,60.11
61.10,61.23,61.24,60.58
61.47,61.11,61.50,60.71
61.30,61.74,61.74,61.02
61.80,61.65,61.80,61.27
61.68,61.06,61.68,61.00
61.41,61.05,61.50,61.00
61.14,61.38,61.55,61.10
61.52,61.20,61.52,61.00
61.21,61.14,61.45,61.01
61.14,61.11,61.50,61.10
61.40,61.38,61.50,61.08
61.38,61.08,61.59,61.00
61.23,61.16,61.50,61.11
61.42,61.02,61.50,61.00
61.00,60.75,61.18,60.40
60.56,61.04,61.17,60.53
60.76,61.25,61.34,60.76
60.82,60.42,61.13,60.39
60.45,60.08,60.84,60.00
60.00,59.79,60.39,59.56
59.79,61.08,61.13,59.54
61.25,61.07,61.48,60.63
61.21,60.91,61.37,60.67
61.03,61.27,61.30,60.68
61.33,61.18,61.33,60.69
61.21,61.49,61.49,60.80
61.25,61.61,61.88,61.25
61.95,61.77,62.19,61.60
61.85,62.19,62.19,61.64
62.19,61.01,62.19,61.00
61.15,61.61,61.61,61.12
61.59,61.20,61.59,61.01
