GOLD,Randgold Resources Limited - American Depositary Shares each represented by one Ordinary Share,NASDAQ
78.07,78.92,79.44,78.07
79.40,79.57,79.79,78.68
80.91,81.18,81.70,80.77
82.54,81.96,82.78,81.14
81.83,80.63,82.25,80.49
81.26,80.82,81.99,79.71
80.10,81.00,81.88,79.97
81.52,79.72,81.68,79.35
80.86,80.31,81.05,79.99
79.31,77.04,79.59,76.43
77.83,80.08,80.34,77.60
78.79,78.01,78.98,77.60
77.99,76.53,78.18,76.12
77.60,77.76,78.20,77.28
76.81,75.99,78.08,75.51
74.73,74.39,74.84,73.10
74.78,75.13,76.03,74.42
74.88,75.05,75.70,74.88
76.27,78.15,78.22,76.21
77.85,79.64,80.26,77.83
77.68,80.03,80.24,77.52
80.43,78.66,80.50,78.49
79.07,79.61,80.48,78.50
80.99,81.28,81.67,80.31
82.25,83.34,84.00,81.88
83.57,84.05,84.48,83.47
83.33,82.69,83.96,82.05
83.42,83.09,83.44,82.86
82.78,82.96,83.23,82.31
84.40,84.11,84.98,83.91
83.84,83.76,84.79,83.37
83.77,83.39,84.77,82.95
82.86,83.87,84.93,82.66
85.08,87.01,88.00,84.87
88.78,87.26,89.66,86.91
88.25,88.00,88.44,87.39
89.17,89.16,89.60,88.45
89.95,88.33,90.02,87.76
87.88,89.23,89.48,87.58
89.68,90.30,90.60,89.18
90.77,90.63,91.20,90.37
91.77,90.77,92.39,89.98
91.46,91.92,92.33,91.15
93.08,91.06,93.57,90.92
91.22,91.24,91.50,90.05
91.62,90.81,91.87,90.31
90.59,89.97,91.49,89.43
90.16,90.98,91.83,90.00
92.08,90.73,92.20,90.37
96.13,93.60,98.45,92.30
93.83,94.48,95.50,91.61
95.67,98.43,103.61,95.61
101.30,100.79,101.46,98.44
99.76,103.89,106.27,99.19
101.75,100.80,102.63,98.09
100.87,100.75,101.11,99.46
101.40,102.96,103.71,100.19
103.19,105.22,106.25,102.78
106.11,106.01,107.44,105.23
106.54,104.20,106.81,103.41
106.92,109.99,110.07,106.76
112.34,113.74,114.50,111.23
111.90,106.86,111.97,104.55
107.09,104.83,107.54,103.21
101.45,104.27,105.04,100.82
104.78,106.36,106.36,101.36
105.31,103.72,105.31,102.40
104.42,105.17,106.14,103.46
106.07,105.55,106.87,104.27
104.62,103.59,105.22,102.23
105.83,108.00,108.48,105.70
109.17,109.18,113.31,108.45
107.53,108.88,109.89,106.31
112.10,112.46,113.53,111.44
111.83,111.71,113.62,110.63
110.19,108.56,110.67,105.75
110.01,111.23,111.92,109.06
110.74,108.60,110.74,108.59
108.00,106.96,108.00,105.31
108.68,108.84,110.47,108.00
110.80,110.12,111.66,109.17
111.21,113.45,115.00,110.16
113.18,110.21,114.63,110.00
105.99,102.94,106.19,101.50
99.41,96.42,100.00,92.50
96.12,97.84,98.45,94.42
101.71,99.09,102.39,98.80
99.33,95.21,100.25,95.09
97.70,95.17,98.22,93.88
94.87,96.72,98.88,94.80
100.06,98.85,101.20,98.68
96.64,92.61,96.98,89.90
93.54,97.10,97.63,92.30
97.58,98.95,99.92,97.12
100.73,97.71,101.59,96.62
101.57,101.37,102.64,100.40
100.09,102.00,102.50,99.06
103.73,103.21,104.53,102.34
101.98,100.86,102.55,99.05
102.72,103.28,103.75,101.44
102.00,100.66,102.09,100.00
99.41,101.73,102.00,97.60
101.74,98.90,101.74,98.30
99.27,99.02,99.83,97.29
100.12,100.04,101.18,99.16
101.29,104.31,104.66,101.29
103.26,109.60,110.85,102.21
109.99,111.04,111.73,107.54
112.18,110.72,112.46,108.01
111.95,112.14,114.58,111.34
111.03,109.57,111.36,108.82
106.56,110.28,111.46,105.91
114.50,113.72,117.24,112.64
115.62,118.74,119.10,115.14
118.14,118.66,118.67,115.76
118.78,119.41,120.00,118.07
119.51,118.57,120.73,118.43
117.75,116.46,120.69,116.31
117.53,115.07,118.31,114.20
116.67,119.29,119.57,116.47
118.08,117.10,118.39,116.20
116.70,119.44,119.72,116.64
117.01,117.97,119.68,117.01
116.62,114.19,116.66,112.49
115.02,111.01,115.03,110.25
107.80,107.04,107.80,104.84
106.62,109.04,110.22,106.62
107.97,105.93,108.14,105.10
104.79,103.88,106.39,103.82
99.87,97.46,100.58,95.75
100.34,104.51,105.72,100.08
106.69,106.91,106.96,104.47
106.72,106.83,107.86,105.32
108.00,104.26,108.08,103.55
104.61,104.38,106.56,103.60
104.06,106.38,107.70,103.60
108.43,108.80,109.64,107.46
108.35,106.65,108.68,105.96
107.21,108.51,108.62,106.73
106.12,105.47,106.16,103.55
105.61,102.53,106.94,101.81
100.70,99.57,100.91,97.15
100.71,98.21,100.95,98.05
100.27,101.80,102.19,99.69
101.12,100.62,102.35,99.56
103.98,105.12,106.67,103.98
105.15,104.64,105.46,103.55
103.82,103.74,104.22,102.33
103.93,104.39,104.72,103.73
103.52,102.38,104.05,101.79
102.63,100.51,102.88,99.56
99.98,101.22,101.50,99.14
101.77,102.10,103.72,101.49
105.69,108.29,108.33,105.69
107.96,108.14,109.47,107.51
107.41,108.27,109.00,106.79
108.29,107.12,108.82,106.19
107.42,107.62,107.79,106.06
110.87,110.97,112.78,110.26
109.29,108.89,109.67,108.01
110.46,110.86,111.33,109.69
109.32,108.83,109.55,107.08
110.50,109.64,110.96,109.01
110.12,111.54,112.49,110.12
112.55,109.85,112.81,108.17
109.99,109.13,110.20,108.19
109.37,110.11,111.00,108.94
108.58,107.30,109.16,106.93
106.80,110.82,111.52,105.21
111.76,111.94,114.24,111.06
113.09,114.24,115.00,113.00
113.29,113.42,113.99,112.81
115.17,114.41,115.44,112.09
115.81,114.84,116.06,114.63
118.00,116.97,118.32,116.00
116.55,116.17,117.18,114.65
119.44,118.01,119.73,117.53
115.65,114.60,116.42,114.39
115.28,114.56,116.13,114.00
115.17,114.45,115.95,114.19
113.31,112.57,113.72,111.73
113.69,112.92,113.86,112.03
112.73,112.27,113.09,110.78
113.06,111.36,113.18,110.85
109.22,111.38,112.14,108.63
112.31,111.05,112.70,110.63
112.13,113.06,113.39,111.56
112.01,114.74,115.58,111.89
117.45,116.88,117.78,115.68
116.48,115.73,116.88,115.29
115.16,114.86,116.11,114.70
115.87,117.41,117.99,115.79
117.94,114.73,118.27,113.16
115.69,115.98,117.28,115.39
114.72,114.02,114.97,113.52
113.05,111.17,113.42,110.87
108.76,108.48,108.92,107.04
108.60,109.30,109.82,108.00
112.13,111.66,112.62,110.97
111.04,112.41,113.11,110.39
112.05,111.38,112.43,111.15
111.87,110.62,112.66,109.60
108.98,106.67,109.32,105.11
106.22,104.01,106.40,103.50
103.19,101.49,104.15,101.26
102.53,101.97,104.39,101.93
101.03,102.35,102.89,100.00
103.63,103.40,105.25,103.31
91.99,90.60,95.93,90.30
87.21,91.32,91.88,85.60
94.15,91.62,94.77,91.40
90.84,89.26,91.23,88.56
88.93,86.96,89.24,86.61
86.95,87.84,88.08,86.70
87.61,87.98,88.40,85.33
85.00,86.33,87.50,84.59
86.18,83.61,86.30,82.56
83.17,81.31,83.57,80.14
82.13,81.44,82.66,81.14
86.80,88.90,90.62,86.57
88.37,87.74,88.38,85.37
86.27,85.29,86.69,85.00
86.53,90.11,90.50,86.46
89.16,89.04,89.41,87.86
88.20,86.79,89.10,86.37
86.85,87.09,88.30,86.06
87.75,87.20,88.20,86.50
87.74,87.27,88.76,86.77
87.88,87.13,88.60,87.00
85.62,84.53,85.62,84.04
84.98,84.86,85.29,84.24
85.81,88.21,88.58,85.17
89.45,91.01,91.30,89.31
91.41,91.40,92.53,90.79
89.37,89.15,89.73,87.88
87.26,87.35,88.83,86.88
87.53,86.32,87.53,86.07
84.89,81.89,84.91,81.13
82.53,81.62,83.54,81.22
81.66,80.92,82.33,79.86
79.61,77.61,79.71,76.95
76.54,77.70,79.28,75.82
78.60,77.67,79.10,77.00
75.97,76.72,78.31,75.81
75.66,74.68,76.38,74.15
74.31,73.13,75.55,72.91
73.36,74.03,75.04,73.20
74.82,76.55,77.99,73.87
77.43,76.45,77.80,75.79
76.18,79.63,79.93,76.04
78.85,77.65,79.49,76.94
76.35,79.70,79.96,74.62
80.15,80.75,81.72,78.94
80.07,80.96,81.02,78.88
82.11,80.80,82.54,79.51
79.72,80.41,81.53,78.65
80.56,79.35,80.75,78.16
80.58,87.26,87.45,80.58
87.17,88.13,88.16,86.02
87.69,88.63,89.30,86.87
89.67,91.52,93.44,89.39
91.59,87.11,92.01,87.04
85.95,87.59,89.19,84.93
87.34,87.18,88.82,86.41
88.57,89.78,90.16,88.16
90.14,90.54,91.85,89.78
90.91,91.99,92.15,90.16
93.21,92.70,94.00,92.00
92.60,94.41,95.10,92.05
95.05,94.43,95.45,93.69
94.05,94.27,96.70,92.94
93.00,88.91,93.00,88.90
89.42,89.44,89.99,88.35
88.22,90.14,90.67,87.69
89.89,89.89,90.61,88.20
89.95,89.27,90.09,88.47
88.40,87.15,88.55,86.09
90.67,90.01,90.83,89.54
89.89,90.83,91.12,89.31
92.53,93.70,94.10,92.33
93.33,92.59,93.89,92.38
92.28,91.21,93.02,90.61
90.72,90.86,91.53,89.92
91.89,89.89,92.22,89.51
89.04,89.89,91.45,89.04
87.80,89.67,90.77,87.07
90.57,90.41,92.21,90.19
91.00,90.31,91.12,89.88
90.05,89.03,90.47,87.94
88.40,88.04,89.78,87.94
89.10,87.82,89.22,87.00
87.54,86.19,87.61,85.93
84.13,83.96,84.32,82.52
84.99,83.73,85.09,82.91
85.87,87.69,88.99,85.78
88.42,89.24,89.47,87.91
90.28,91.35,91.99,89.58
90.50,91.90,92.07,90.45
92.18,89.48,92.49,89.24
89.73,88.84,89.82,86.85
88.06,89.30,91.74,87.81
90.54,90.63,91.48,90.02
91.48,93.03,93.77,91.36
94.46,95.30,95.50,94.34
95.08,94.72,97.19,94.45
97.72,98.28,98.77,96.55
98.06,99.41,99.97,97.80
99.00,97.89,99.59,97.35
96.86,96.80,97.63,96.42
96.25,96.69,96.85,95.87
97.61,98.04,98.33,96.91
97.60,97.50,98.05,97.22
96.72,97.37,97.85,96.41
98.65,97.53,99.96,96.79
97.04,98.82,99.19,96.20
100.90,100.53,102.25,99.84
100.47,100.71,101.36,99.79
100.64,99.82,101.44,99.37
99.28,98.98,100.00,98.61
99.05,97.93,99.44,97.62
97.84,97.96,98.84,97.01
99.82,102.97,103.61,97.79
102.10,101.66,102.52,100.68
103.35,102.39,103.59,101.55
106.92,108.70,108.88,106.33
113.74,111.47,114.11,110.85
111.82,110.42,112.48,110.02
110.77,110.23,111.98,109.57
111.70,110.59,112.13,108.74
110.39,114.35,114.82,109.08
118.81,120.34,121.99,118.63
121.44,121.41,122.09,120.14
118.93,120.78,121.00,118.70
120.94,121.53,122.00,120.47
119.97,120.08,121.07,119.27
121.06,123.86,124.80,120.93
120.23,120.75,121.62,120.07
120.74,118.18,121.53,118.07
118.10,119.32,120.08,117.24
120.56,123.13,123.39,119.95
122.71,123.00,123.79,121.73
123.43,126.88,127.18,123.02
126.16,124.17,126.56,123.86
124.73,122.50,124.86,121.22
125.49,125.38,126.33,124.29
125.80,124.71,127.27,124.43
124.55,124.38,125.10,123.50
125.27,122.05,125.95,121.95
121.61,121.68,122.66,120.37
123.47,122.28,124.21,122.19
122.87,121.22,123.18,121.06
122.34,122.02,123.02,120.59
124.00,123.83,124.40,123.07
125.29,124.98,125.60,124.58
122.56,119.91,122.99,119.86
120.80,120.55,120.96,118.00
120.63,122.62,122.86,120.45
118.89,117.61,119.18,117.37
119.48,117.09,119.84,116.74
119.86,119.39,120.25,118.70
119.30,117.98,120.22,117.24
117.98,119.59,119.75,117.58
119.73,119.52,120.05,119.06
118.08,116.66,118.16,116.18
117.12,117.27,117.90,116.09
118.04,121.46,122.29,117.74
113.88,114.39,114.42,109.87
113.01,115.00,115.89,111.81
112.73,112.34,113.08,111.60
110.99,109.29,111.01,108.71
107.87,108.18,110.15,107.55
107.11,100.94,107.24,100.68
102.79,101.93,103.39,100.96
101.39,101.77,102.35,100.06
104.26,106.73,107.57,103.68
105.55,105.42,106.34,104.70
104.36,104.61,105.43,103.84
105.21,107.39,107.82,104.95
105.08,105.91,106.11,103.64
105.16,103.93,105.85,103.91
103.25,105.75,105.85,103.10
106.62,106.59,107.26,105.78
107.30,107.36,108.16,106.16
107.62,105.43,107.86,105.23
104.60,104.36,106.00,103.84
105.12,102.75,105.13,102.57
102.55,102.26,103.42,101.92
102.98,102.33,103.31,101.81
103.52,102.64,104.14,102.16
102.07,101.40,103.15,101.11
103.03,103.13,103.85,101.82
100.68,99.84,101.32,99.10
100.83,99.65,101.49,99.46
100.22,100.08,101.23,99.88
100.80,99.68,100.93,98.77
100.44,98.64,100.44,98.39
97.89,98.49,98.71,96.49
97.98,99.46,99.91,97.78
99.07,99.09,99.33,98.02
99.35,98.26,99.68,97.73
97.30,97.73,98.95,97.12
97.17,96.32,97.72,96.26
96.58,99.21,99.81,96.58
101.14,100.73,102.02,100.58
100.34,97.80,101.15,97.45
96.15,95.83,96.48,95.07
94.35,94.10,94.92,93.92
94.10,93.17,94.20,92.22
93.58,94.09,94.24,93.32
95.21,96.57,96.89,95.21
94.85,95.18,95.41,93.91
94.74,93.93,94.84,93.78
93.85,94.15,95.12,93.53
94.31,93.52,94.65,93.25
93.29,92.87,93.39,92.42
93.26,92.27,93.28,91.91
92.58,97.33,97.34,92.28
97.52,96.26,97.64,96.19
96.90,96.11,97.53,95.80
96.04,94.77,96.36,94.20
94.86,93.94,95.66,93.63
95.01,95.50,95.89,94.89
96.10,94.89,96.35,94.74
95.40,94.16,95.41,93.95
95.85,95.65,96.19,94.78
99.43,98.39,100.78,98.18
97.81,96.64,98.00,96.10
96.65,96.95,97.26,96.31
95.28,95.16,96.45,94.94
95.11,94.21,95.54,94.05
92.56,91.65,92.56,90.84
90.22,90.86,90.95,89.65
90.44,90.69,91.74,90.26
89.85,89.47,90.50,89.34
86.46,85.89,87.16,85.84
85.87,85.80,86.35,85.13
84.44,82.20,84.70,82.04
81.51,82.15,83.68,81.31
82.68,81.87,82.85,81.31
82.43,82.64,82.97,81.54
83.43,85.55,86.58,82.88
85.13,84.40,85.86,84.23
83.44,82.87,83.72,82.55
81.88,81.42,82.50,81.30
81.43,80.58,81.72,80.26
82.06,81.48,82.84,81.37
81.19,84.42,84.44,80.86
83.66,82.30,84.62,82.18
80.54,80.94,81.90,79.51
81.18,81.19,81.55,80.56
82.68,82.67,83.89,82.40
83.19,81.80,83.34,81.63
82.64,83.14,83.32,82.29
83.76,82.37,84.05,82.00
83.74,82.98,84.14,82.57
83.22,83.05,83.79,82.49
83.32,83.06,83.48,82.82
83.44,85.54,86.10,83.43
85.66,85.72,86.40,85.15
85.04,84.28,85.13,83.97
84.80,84.57,84.96,83.78
84.41,86.33,86.40,84.31
86.45,85.98,86.66,85.60
85.64,85.05,85.69,83.81
84.51,82.94,84.68,82.80
82.65,79.61,83.08,78.92
78.72,80.32,80.58,78.05
81.26,81.09,82.22,80.56
81.12,80.51,81.58,80.14
81.21,83.01,83.85,80.94
82.32,81.39,82.84,81.10
80.27,79.11,81.14,79.03
78.35,75.27,78.44,75.12
70.35,69.04,71.15,68.50
72.66,70.33,72.66,69.59
70.15,66.89,71.07,66.51
68.89,70.27,71.23,68.42
72.09,71.56,72.21,69.73
74.03,75.00,75.03,73.45
73.55,74.16,74.44,73.09
75.89,80.19,80.68,75.75
81.19,81.29,82.87,80.20
81.81,79.95,81.98,78.89
81.14,81.43,82.23,80.71
78.94,81.78,81.94,78.00
80.90,79.39,81.32,78.43
78.99,78.90,80.04,78.50
79.60,78.64,80.50,78.55
79.13,78.79,79.46,78.50
77.50,78.14,78.39,76.83
78.76,80.52,80.53,78.24
79.23,80.25,81.53,79.06
78.06,78.62,78.72,76.52
78.14,76.61,78.33,76.45
76.03,74.67,76.78,74.37
73.10,72.00,73.78,72.00
71.69,74.12,75.41,71.60
73.01,71.47,73.02,71.44
71.46,74.43,74.73,70.92
73.49,74.29,75.58,73.17
75.77,74.59,77.86,73.73
75.69,76.19,76.75,75.55
75.58,73.98,76.35,73.28
74.62,72.97,75.20,72.27
74.22,75.82,76.00,74.00
77.97,79.31,79.60,77.54
80.44,78.38,80.49,77.91
78.50,80.27,80.50,77.80
79.63,78.37,79.79,77.42
77.38,77.79,78.74,77.01
77.53,79.08,79.41,76.84
78.07,77.30,78.84,77.05
77.97,77.58,78.52,77.15
75.57,75.44,77.39,75.32
75.44,75.39,76.04,74.95
75.26,75.49,75.65,74.38
76.12,75.34,76.90,75.20
75.25,74.79,75.73,73.98
