DDM,ProShares Ultra Dow30,NASDAQ
42.76,43.73,43.91,42.60
43.87,44.55,44.61,43.68
45.01,44.72,45.05,44.33
44.53,44.37,44.79,44.06
44.89,44.05,45.10,43.42
43.34,44.08,44.43,43.10
45.26,45.82,46.00,45.07
45.57,45.48,45.86,45.21
45.72,45.96,46.13,45.48
45.50,45.89,45.92,45.35
45.09,45.73,45.76,44.55
46.02,46.10,46.32,45.69
45.46,45.68,46.15,44.86
44.45,43.52,44.47,43.35
42.46,42.94,43.31,42.40
42.78,42.82,43.26,42.67
42.44,42.78,43.07,42.07
43.41,43.70,44.33,43.16
43.65,43.86,44.33,43.13
43.46,42.64,43.66,42.19
42.41,42.19,42.44,41.62
42.50,41.84,42.92,41.81
40.98,40.73,41.35,40.32
40.35,40.89,41.19,39.89
41.15,40.34,41.25,40.13
40.83,41.68,41.73,39.91
41.39,40.55,41.64,40.52
40.27,40.54,41.05,39.99
41.48,42.62,42.71,41.45
42.76,43.04,43.05,42.50
43.82,44.09,44.16,43.38
43.77,43.24,43.86,43.14
43.40,43.61,43.95,43.37
44.42,43.84,44.47,43.60
44.00,44.26,44.31,43.76
45.02,45.01,45.19,44.51
44.86,44.83,45.36,44.61
44.60,45.25,45.35,44.43
45.06,45.46,45.50,44.78
45.75,45.47,45.89,45.18
45.80,46.75,46.95,45.64
46.70,46.76,47.37,46.36
46.70,46.56,47.13,46.28
45.90,45.92,46.75,45.70
46.86,47.56,47.63,46.80
47.57,47.22,47.70,47.15
47.35,47.57,47.83,46.45
47.33,47.35,47.69,47.06
47.84,46.97,48.37,46.59
47.52,47.32,47.67,46.90
47.15,46.64,47.53,46.29
47.40,48.25,48.49,47.26
48.30,48.57,48.63,48.14
48.89,48.42,48.89,47.91
48.53,48.90,49.14,48.24
49.04,48.96,49.14,48.67
48.69,49.04,49.34,48.08
49.53,49.73,50.24,49.37
49.71,49.75,49.86,49.06
50.12,49.42,50.16,48.95
49.48,49.90,50.26,49.34
49.10,48.65,49.45,48.10
48.87,49.78,50.23,48.82
50.26,50.20,50.79,49.47
50.22,50.04,50.31,49.86
50.51,50.38,51.09,50.31
49.87,50.38,50.52,49.65
49.78,49.97,50.12,49.05
50.41,49.82,50.48,49.35
49.72,49.95,50.05,49.54
50.31,49.98,51.06,49.41
50.61,50.52,50.85,50.47
50.69,50.87,50.94,49.78
51.82,52.82,52.89,51.72
52.81,52.89,52.99,52.46
52.56,52.56,52.73,52.20
52.77,52.09,52.79,51.69
52.05,52.13,52.29,51.26
51.38,51.52,51.72,51.05
51.00,50.69,51.46,50.23
50.93,50.78,51.48,50.71
50.19,49.19,50.31,48.81
49.31,49.13,49.44,48.98
49.93,50.63,50.84,49.93
50.52,50.83,50.90,50.11
50.44,50.66,50.72,49.53
49.73,49.37,49.77,48.95
49.96,50.71,50.79,49.94
49.86,49.60,50.24,49.60
49.23,49.58,49.78,48.47
48.74,49.18,49.70,48.61
50.45,51.39,51.58,50.45
51.48,52.35,52.49,51.45
51.94,52.52,52.62,51.94
52.41,52.40,52.65,52.25
53.18,52.34,53.25,52.30
52.34,52.49,52.66,52.09
52.92,52.52,52.96,52.15
52.69,52.83,52.91,52.38
53.24,53.08,53.55,52.98
53.18,53.54,53.87,53.14
53.41,53.40,53.92,53.21
53.50,53.76,53.91,53.00
53.72,53.71,53.74,53.27
53.86,53.51,53.92,53.20
53.81,54.06,54.19,53.75
54.07,54.30,54.36,53.99
54.20,54.38,54.43,54.06
54.02,54.21,54.28,53.83
54.42,54.41,54.53,54.02
54.57,54.51,54.84,54.50
54.41,54.32,54.57,54.17
54.20,54.52,54.59,53.95
55.22,55.21,55.66,55.19
55.95,55.42,55.95,54.94
55.23,55.78,55.97,55.12
55.91,55.58,55.97,55.32
55.69,55.37,55.87,54.65
54.98,55.02,55.15,54.42
55.43,55.33,55.65,55.00
55.90,56.18,56.39,55.80
56.12,55.94,56.12,55.61
55.68,56.42,56.50,55.60
56.51,56.94,57.13,56.49
57.07,56.86,57.19,56.60
56.53,56.84,57.05,56.08
57.52,57.33,57.62,57.09
57.21,58.33,58.37,57.16
58.14,58.29,58.39,57.54
58.37,58.40,58.73,58.15
58.43,58.40,58.71,58.26
58.47,56.84,58.65,56.60
57.05,57.43,57.45,56.73
57.99,58.80,58.98,57.87
58.65,58.89,59.07,58.64
58.80,59.12,59.31,58.32
59.11,59.41,59.43,58.77
59.62,60.10,60.38,59.60
60.17,60.85,60.93,60.07
60.83,60.98,61.13,60.47
60.47,60.82,60.97,60.15
60.51,61.37,61.47,60.44
61.22,61.31,61.42,61.01
61.05,60.87,61.07,60.60
61.20,61.59,61.74,61.05
61.37,61.88,62.04,61.27
61.96,62.61,62.63,61.84
61.87,60.85,62.26,60.45
60.66,59.80,60.74,59.32
59.75,59.38,59.99,58.56
59.90,60.12,60.29,59.71
60.48,61.15,61.15,60.41
61.44,59.35,61.44,59.33
59.22,59.41,59.90,58.97
60.34,61.30,61.57,60.34
61.35,60.38,61.44,59.52
60.64,59.66,61.15,59.14
59.76,60.89,61.28,59.49
60.75,60.91,61.36,60.36
59.83,58.66,59.83,58.53
58.14,59.26,59.70,58.13
58.62,58.72,58.99,57.83
55.99,57.37,57.99,55.85
56.90,55.05,57.09,54.50
56.34,56.54,56.83,55.84
57.91,57.39,58.06,57.09
58.60,59.06,59.53,58.59
59.14,58.97,59.27,58.81
58.65,59.51,59.84,58.41
60.20,60.39,60.57,59.66
60.62,60.85,61.25,60.51
61.02,60.63,61.37,60.62
60.66,61.42,61.52,60.36
61.92,62.12,62.49,61.87
62.12,61.93,62.48,61.86
62.55,62.38,62.86,62.06
62.58,62.63,62.76,62.35
62.42,62.59,63.06,62.14
63.15,63.04,63.27,62.71
62.93,62.81,63.17,62.01
63.23,62.57,63.25,61.92
62.69,62.54,63.18,62.25
61.77,61.34,61.99,61.05
62.04,61.38,62.05,60.94
60.83,61.58,61.76,60.33
61.86,62.16,62.39,61.44
60.76,60.70,60.85,59.63
60.95,61.32,61.44,60.69
62.89,63.30,63.49,62.73
63.65,63.76,63.77,63.18
63.66,63.50,63.67,63.17
63.73,64.71,64.86,63.63
64.87,65.74,65.90,64.67
65.56,66.47,66.59,65.55
66.64,67.21,67.21,66.60
67.67,66.88,67.73,66.66
66.82,66.86,67.25,66.29
66.73,65.93,66.79,65.49
65.56,64.61,65.84,63.92
65.68,65.27,66.43,64.77
65.18,65.65,66.05,65.00
65.95,66.43,66.67,65.80
66.24,65.26,66.25,64.68
64.87,65.92,66.15,64.27
65.95,64.91,66.09,64.31
64.47,64.38,65.33,64.19
63.82,63.71,64.11,62.70
63.80,64.64,64.75,63.45
65.07,65.10,65.39,64.36
64.86,64.13,64.98,63.86
62.50,62.81,63.14,62.30
63.04,62.57,63.22,62.47
62.08,62.91,63.38,62.07
62.68,63.09,63.43,62.17
63.43,63.47,63.90,63.24
64.58,64.79,64.81,63.86
64.41,61.92,64.42,61.81
61.94,61.49,62.06,60.90
60.07,60.53,61.18,60.02
60.30,59.91,60.50,59.68
60.45,59.66,60.76,59.64
59.54,59.50,59.99,59.25
59.78,60.25,60.83,59.59
59.81,58.54,59.90,58.38
58.88,58.61,59.17,58.26
59.38,59.78,60.26,59.35
58.78,58.02,59.19,57.71
57.99,58.70,58.97,57.83
59.54,59.13,59.77,58.75
58.72,59.84,60.05,58.67
60.29,60.90,61.20,60.06
60.38,60.09,61.08,60.05
58.89,59.57,59.60,57.76
59.52,58.45,59.56,58.26
58.51,59.40,59.96,58.35
59.87,60.87,60.87,59.74
61.23,61.65,61.84,60.73
62.12,63.07,63.28,62.01
63.25,64.82,64.98,63.03
64.80,64.73,65.05,64.40
64.62,65.36,65.53,64.48
66.15,66.34,66.69,65.90
65.30,65.69,65.69,64.73
64.42,64.10,64.69,63.73
64.08,63.51,64.77,63.50
64.14,64.00,65.16,63.67
64.10,63.36,64.89,63.15
64.04,63.86,64.07,63.05
63.18,62.86,63.31,61.97
63.64,64.93,65.13,63.62
65.11,64.83,65.15,64.56
65.39,66.39,66.67,65.05
66.24,65.93,66.37,65.54
64.61,65.02,65.65,64.39
64.63,64.09,64.79,63.93
63.62,62.06,63.63,61.89
62.01,61.43,62.86,61.25
60.24,60.46,61.42,59.82
61.91,60.24,62.12,58.97
59.51,57.61,60.17,57.61
57.79,57.98,58.05,56.08
56.51,52.97,56.77,52.87
54.33,53.50,54.69,50.73
50.66,47.74,52.35,47.71
49.12,51.50,51.50,45.87
49.60,46.69,49.93,46.46
47.63,50.26,51.65,47.30
51.39,51.64,52.31,50.57
52.60,53.54,53.58,52.28
52.75,52.84,53.63,51.80
53.42,53.03,54.14,52.19
50.51,49.30,50.63,48.11
47.89,47.53,49.99,47.44
49.57,47.87,49.64,47.64
48.36,50.57,50.68,48.01
50.46,52.02,52.14,50.18
52.40,50.46,52.80,50.07
49.95,51.77,52.10,48.51
52.91,54.01,54.07,52.90
53.75,54.25,54.97,53.00
54.97,54.77,55.74,54.00
54.90,53.71,55.77,53.61
51.75,51.31,52.25,51.04
48.69,50.36,50.58,48.50
51.78,52.80,52.87,51.42
52.30,51.78,53.49,51.69
50.68,49.01,50.74,48.49
47.71,49.62,49.65,47.52
49.78,50.00,50.40,49.00
50.53,51.33,52.61,49.06
52.29,53.06,53.08,51.71
53.53,53.73,53.97,52.79
52.13,52.71,53.17,51.36
53.17,52.86,54.13,52.50
52.82,49.98,53.08,49.98
47.34,46.51,47.74,45.35
46.03,46.84,47.24,45.72
47.67,49.28,49.37,46.90
51.23,50.57,52.16,50.06
50.93,48.98,51.72,48.82
50.70,50.29,51.26,48.54
48.88,48.17,50.08,48.02
47.47,45.83,48.63,45.75
44.72,46.94,47.25,43.65
47.07,48.32,48.42,46.57
48.35,49.96,50.00,47.61
50.61,49.82,50.90,49.27
51.30,52.76,52.76,51.27
52.14,52.54,52.84,52.08
53.21,53.48,54.48,52.92
53.00,53.10,53.43,52.18
54.20,54.68,54.70,53.60
54.24,52.37,54.25,52.16
52.05,53.92,54.69,51.40
53.87,53.37,54.55,53.00
53.44,53.67,54.08,52.32
54.88,56.15,56.24,54.88
56.49,57.17,57.46,56.37
56.56,55.22,56.68,54.98
56.75,56.74,56.94,55.09
59.27,60.03,60.71,58.65
59.75,60.26,60.39,59.53
58.89,57.50,59.07,57.48
55.20,54.66,55.89,54.34
56.03,56.30,56.66,55.40
57.40,58.26,58.48,56.34
57.53,57.70,57.76,56.39
57.66,58.47,58.54,56.70
59.07,59.58,59.77,58.00
57.39,55.80,57.73,55.34
56.98,56.93,57.54,55.97
58.23,59.39,59.62,58.22
59.26,58.66,59.48,58.14
58.32,58.77,59.49,57.89
57.87,57.04,59.04,56.90
57.08,55.85,57.47,54.86
56.19,56.01,56.58,55.63
54.48,53.61,54.67,52.74
53.37,53.19,53.90,52.61
52.27,51.02,52.39,51.00
50.90,50.86,51.99,50.86
53.17,53.41,53.76,52.72
53.65,53.84,54.46,53.45
56.61,58.17,58.36,56.57
58.00,58.13,58.51,57.67
59.20,58.07,59.35,58.01
59.75,58.89,59.75,58.20
58.93,59.30,60.02,58.66
59.03,59.92,60.49,58.54
59.46,57.89,59.74,57.60
58.37,59.66,59.99,58.35
58.85,58.16,58.85,57.32
58.82,57.50,59.37,57.00
57.01,56.30,57.42,55.93
57.59,56.71,57.65,56.55
57.44,56.55,57.67,56.23
56.96,55.72,57.26,55.41
57.37,58.85,59.05,57.32
59.02,58.89,59.05,57.90
59.30,59.64,59.70,59.10
59.83,60.70,60.75,59.61
60.61,60.76,61.08,60.47
60.80,59.35,60.80,59.21
59.63,60.56,60.72,59.54
60.38,59.89,60.68,59.89
61.97,61.64,62.53,61.64
61.40,61.99,62.08,61.15
61.46,61.99,62.13,60.62
62.09,61.51,62.09,61.19
61.74,61.68,61.91,61.16
62.90,62.38,63.00,62.27
62.04,62.32,62.44,61.80
62.49,62.52,62.66,61.66
61.65,62.09,62.09,60.91
63.05,62.59,63.55,62.44
62.55,63.61,63.71,62.40
63.93,64.17,64.18,63.53
64.19,65.12,65.12,64.08
65.07,64.97,65.54,64.53
64.30,64.62,64.70,64.00
64.20,65.40,65.70,63.65
66.08,65.24,66.35,64.83
64.62,64.58,64.93,64.18
63.53,64.42,64.45,63.13
65.02,64.22,65.08,63.51
65.22,65.04,65.74,64.92
65.19,64.98,65.32,64.60
66.24,66.54,66.62,66.00
66.02,66.31,66.35,65.83
66.14,66.70,66.96,65.71
66.79,66.94,66.98,66.18
67.16,66.95,67.32,66.48
65.92,66.09,66.09,65.43
66.85,66.76,66.94,66.24
66.52,66.80,66.85,65.91
67.20,66.02,67.21,65.68
66.11,67.26,67.36,66.08
67.84,67.74,67.92,67.36
68.12,67.88,68.30,67.46
67.76,67.61,68.01,67.34
67.46,68.11,68.22,67.02
68.30,68.14,68.44,67.76
67.44,68.14,68.58,67.04
68.14,68.42,68.58,67.85
68.55,67.84,68.92,67.59
68.10,68.09,68.68,67.73
68.05,68.05,68.30,67.57
67.89,67.91,68.09,67.10
66.39,65.79,66.54,65.57
66.03,66.66,66.86,65.85
67.28,67.40,67.72,66.98
67.71,67.62,68.05,67.39
67.65,67.92,68.13,67.55
68.57,70.31,70.34,68.33
70.36,70.49,70.76,70.18
70.63,71.02,71.11,70.23
71.43,70.91,71.53,70.89
70.75,70.92,71.28,70.62
70.18,70.20,70.53,69.70
70.26,69.66,70.32,69.48
68.88,68.79,69.19,68.48
68.87,69.23,69.35,68.32
70.09,70.85,70.87,70.04
70.93,70.40,71.10,70.35
70.45,69.61,70.56,69.02
68.89,69.78,69.90,68.65
70.37,70.54,70.67,69.85
70.24,71.03,71.43,69.91
70.83,70.38,71.13,69.70
69.21,69.09,69.37,68.50
68.66,68.99,69.31,68.49
67.41,67.66,68.12,67.34
67.35,65.33,67.56,65.33
66.60,66.31,66.73,66.16
66.55,68.23,68.23,66.47
67.80,66.82,67.81,66.71
67.70,67.52,68.16,67.12
68.29,69.49,69.67,68.29
68.78,68.62,69.32,68.54
68.74,67.93,69.17,67.22
68.61,68.59,69.16,68.51
67.24,67.57,67.63,66.67
67.83,68.34,68.84,67.82
69.08,69.27,69.46,68.71
69.16,70.53,70.74,69.11
70.85,70.70,71.15,70.34
70.54,70.53,70.73,70.16
70.62,71.27,71.92,70.05
70.78,71.12,71.23,70.33
71.15,70.49,71.35,70.18
69.83,68.65,69.95,68.52
68.04,68.37,68.81,67.99
67.65,67.60,67.85,66.35
66.42,66.78,67.61,65.78
67.33,66.89,67.70,66.68
66.20,66.59,67.65,66.13
65.59,65.34,66.10,64.98
65.21,64.68,65.99,64.45
65.16,64.54,65.77,64.49
64.58,62.87,64.61,62.87
63.30,62.04,63.36,61.81
62.43,63.53,63.53,62.16
63.63,63.58,64.22,62.89
62.66,63.40,63.54,61.53
63.68,63.84,63.89,62.69
63.61,62.93,63.85,62.68
63.96,64.33,64.65,63.61
63.21,62.69,63.29,62.41
62.68,62.48,63.40,61.67
60.84,59.62,61.08,59.57
59.74,59.47,59.92,58.85
59.32,59.74,59.95,59.18
60.59,62.57,62.58,60.58
63.79,63.08,64.05,62.86
62.71,64.05,64.05,62.45
64.97,62.54,65.13,62.43
63.01,64.17,64.24,62.60
63.97,63.45,64.54,63.04
63.73,65.05,65.55,63.53
65.61,66.18,66.33,65.49
65.63,65.97,66.39,65.46
66.60,66.94,67.59,66.38
67.00,66.77,67.36,65.99
67.02,64.16,67.20,64.08
64.89,65.01,65.24,64.54
63.77,63.48,63.80,63.00
63.77,63.83,64.20,62.96
64.14,64.75,64.94,64.04
63.66,64.49,64.58,62.95
66.52,67.32,67.35,66.20
67.45,67.16,67.57,66.45
67.14,68.00,68.04,67.04
67.44,67.56,68.22,67.08
66.50,66.27,66.54,65.57
66.13,65.91,66.23,65.40
66.69,65.03,66.86,64.58
65.15,64.55,65.15,63.83
63.84,64.22,64.81,63.40
64.57,66.29,66.38,64.51
65.89,65.78,66.20,65.38
66.26,66.51,66.83,64.94
66.20,67.73,67.88,66.11
68.02,68.10,68.47,67.53
67.21,66.89,67.55,66.71
64.74,65.78,66.03,64.33
65.67,64.66,65.81,63.72
65.47,65.36,65.86,64.80
67.06,67.43,67.91,66.84
67.92,69.43,69.88,67.90
69.27,69.39,69.98,69.06
69.23,68.69,69.49,68.69
69.40,68.27,69.45,68.08
67.45,67.40,68.19,66.31
68.96,69.70,70.04,68.92
69.90,69.85,70.61,69.85
70.31,70.37,70.91,70.31
69.88,70.56,70.85,69.84
70.49,70.55,70.87,70.10
70.12,70.98,70.98,69.74
70.75,70.62,70.91,69.97
71.07,70.62,71.17,70.30
70.49,70.68,71.01,70.43
70.81,71.69,71.81,70.53
71.65,71.84,71.94,71.59
71.61,71.78,71.87,71.38
72.02,71.11,72.48,70.90
70.90,70.83,71.14,70.24
70.60,69.63,70.60,69.43
69.48,70.70,70.89,69.27
70.72,70.36,70.90,70.22
69.98,70.12,70.60,69.86
70.14,70.20,70.56,69.89
69.61,69.12,69.61,68.84
69.86,70.05,70.67,69.24
69.97,69.39,70.03,68.79
69.57,69.56,70.05,69.26
70.43,72.17,72.20,70.42
72.25,72.32,72.48,71.92
72.14,71.78,72.54,71.74
71.94,72.45,72.86,71.94
72.89,72.68,73.05,72.47
72.61,74.94,75.29,72.60
75.26,75.50,76.18,75.00
75.19,75.14,75.53,74.83
74.74,75.21,75.41,74.70
75.48,75.37,75.90,75.15
74.77,75.62,75.62,74.54
76.18,75.35,76.21,75.28
74.72,75.14,75.62,74.70
75.34,74.09,75.69,73.96
74.04,73.51,74.19,73.37
74.12,74.30,74.64,73.49
73.53,73.71,74.17,72.95
74.24,74.43,75.49,74.20
74.83,74.16,75.11,73.57
74.44,74.39,74.83,73.73
74.91,75.31,75.49,74.68
75.94,75.79,76.30,75.25
75.17,75.41,75.66,75.07
75.15,74.19,75.50,74.19
74.02,72.77,74.04,72.59
73.48,72.59,73.66,72.59
72.76,72.63,73.36,72.23
72.85,73.60,73.77,72.54
74.25,75.00,75.06,74.20
74.64,75.10,75.17,74.50
74.99,75.08,75.52,74.65
74.63,72.73,74.63,72.43
72.55,72.76,73.04,71.61
71.10,70.18,71.11,69.96
70.46,69.97,70.71,69.77
70.67,70.23,70.81,69.50
70.08,70.17,70.69,69.46
70.82,69.97,71.03,69.63
70.44,71.50,71.95,70.41
72.11,70.04,72.14,69.90
69.78,70.26,70.54,69.48
70.73,71.56,72.15,70.63
70.40,68.45,70.40,67.85
68.42,67.17,68.93,67.17
66.48,67.18,67.98,66.41
67.38,67.17,67.72,66.86
66.58,66.50,68.11,66.47
66.97,64.87,67.10,64.50
64.61,64.53,65.11,64.05
64.59,64.93,65.12,63.76
66.05,67.10,67.10,65.90
66.72,67.13,67.29,66.14
67.13,67.60,67.66,66.97
68.15,69.44,69.45,68.15
68.61,69.00,69.01,68.28
68.69,68.13,69.16,67.97
67.63,69.20,69.26,66.86
69.78,69.71,70.11,69.01
69.83,69.64,70.00,69.31
70.27,69.08,70.39,68.99
69.10,68.85,69.64,68.80
69.18,69.76,70.38,68.63
69.88,70.33,70.33,69.62
70.90,71.22,71.25,70.42
71.22,71.42,71.66,71.20
71.92,72.19,72.87,71.87
72.74,72.19,73.12,72.02
72.22,71.43,72.43,71.16
71.34,71.06,71.61,70.87
71.30,72.15,72.23,71.28
72.40,73.32,73.52,72.08
73.48,72.34,73.48,72.30
72.28,72.98,73.03,71.95
71.00,71.74,72.08,70.80
71.30,71.10,71.40,70.96
71.23,70.73,71.38,70.31
70.75,70.47,70.96,69.06
69.57,68.80,70.27,68.72
68.31,70.23,70.68,68.25
73.05,73.90,73.90,72.88
73.69,73.63,74.12,73.34
73.76,74.17,74.29,73.52
73.71,73.60,73.77,73.14
73.33,73.03,73.48,72.70
73.38,73.75,74.03,73.38
74.31,74.61,74.68,73.65
74.60,74.87,74.90,74.29
74.82,75.05,75.15,74.50
74.36,75.24,75.44,74.31
74.75,75.00,75.18,74.65
75.53,76.06,76.46,75.40
76.22,76.52,76.60,75.77
76.58,77.21,77.24,76.35
77.73,78.04,78.25,77.73
78.25,78.66,79.20,78.21
79.10,79.34,79.40,78.72
79.61,79.36,79.66,79.03
79.17,80.05,80.23,78.73
80.06,79.51,80.21,79.42
79.37,79.12,79.91,79.03
80.16,80.63,80.81,79.87
79.58,79.21,79.75,79.03
80.07,80.20,80.72,80.01
79.69,80.47,80.55,79.65
80.43,80.04,80.48,78.96
80.20,80.58,80.93,80.20
80.48,80.35,80.52,80.00
80.44,80.93,81.14,80.34
81.16,80.73,81.30,80.32
80.11,80.68,80.83,80.06
80.73,80.70,80.95,79.83
80.76,81.32,81.44,80.67
81.30,80.05,81.58,80.03
79.72,79.57,79.95,79.02
80.45,81.01,81.02,79.98
81.63,78.50,81.90,78.50
79.35,79.82,80.01,78.91
79.74,81.89,82.21,79.71
81.71,81.49,82.72,81.48
81.11,82.00,82.23,80.26
81.66,82.46,82.48,81.31
83.25,83.96,84.32,83.23
84.61,84.49,84.74,84.12
84.70,84.89,85.17,84.60
85.85,85.64,85.90,84.96
85.55,86.27,86.32,85.45
86.23,86.39,86.72,85.95
86.44,86.44,86.71,86.00
86.87,87.48,87.48,86.82
87.22,87.16,87.29,86.69
86.00,86.44,87.27,85.82
86.80,86.51,87.19,85.61
87.22,87.09,87.54,86.89
86.23,86.06,86.85,85.60
86.53,87.19,87.19,86.47
87.45,86.36,87.69,85.69
86.91,87.58,87.66,86.91
86.52,87.27,87.41,86.19
87.31,87.84,87.94,87.12
87.66,87.72,88.17,87.27
88.30,88.81,89.12,88.24
88.86,87.49,89.07,87.25
87.70,88.21,88.46,87.40
86.37,87.66,87.89,86.15
87.65,88.37,88.37,86.98
88.58,89.07,89.63,88.21
89.70,90.61,90.95,89.64
90.65,91.39,91.73,90.49
90.92,91.49,91.49,90.51
90.75,88.09,90.81,88.09
89.66,90.04,90.10,88.89
89.05,88.33,89.10,87.65
88.50,87.44,88.53,86.93
86.99,87.49,87.62,86.59
87.83,87.78,88.03,86.45
88.76,89.59,89.62,87.56
89.77,89.15,90.03,89.01
89.37,89.44,90.25,89.00
89.15,89.59,89.93,89.15
90.02,90.78,91.12,89.68
90.79,90.98,91.11,89.78
90.47,89.38,90.73,89.24
89.89,90.89,90.97,89.61
92.50,92.61,93.17,92.41
92.64,92.64,92.89,92.34
93.14,93.66,93.73,92.68
93.61,94.51,94.56,93.54
94.53,94.35,95.09,93.86
94.59,94.68,94.75,93.72
94.31,94.45,94.63,93.99
94.47,95.98,96.07,94.46
95.70,96.90,97.25,95.70
96.60,96.36,97.26,96.22
96.92,97.89,97.98,96.71
97.69,97.71,98.37,97.45
98.01,98.28,98.92,97.56
98.59,97.40,100.33,96.80
95.94,97.44,97.90,95.81
96.52,97.40,97.41,96.05
99.15,98.76,100.14,98.25
97.67,97.44,97.93,96.38
97.40,97.73,98.63,97.11
97.04,95.17,98.51,94.98
95.68,96.61,96.74,95.19
96.62,95.90,97.36,94.83
95.20,92.95,95.56,92.88
92.91,94.07,94.07,91.64
95.17,96.60,96.77,94.66
97.30,96.49,97.34,96.22
94.99,95.13,96.75,94.62
96.50,93.57,96.60,93.31
93.38,95.85,96.10,93.15
95.76,94.52,96.20,94.19
95.64,95.80,96.91,94.98
96.16,97.64,97.88,96.12
97.49,94.98,97.68,94.97
93.48,90.51,93.48,90.25
