IJT,iShares S&P SmallCap 600 Growth ETF,NASDAQ
71.46,71.92,72.20,71.44
71.66,72.09,72.09,71.38
72.31,73.37,73.48,72.09
73.40,73.84,74.03,73.14
73.70,72.20,73.86,72.08
72.53,72.72,73.09,72.00
73.28,74.00,74.26,73.11
73.89,73.85,74.32,73.77
73.65,74.02,74.11,73.02
73.98,74.19,74.30,73.72
74.31,74.90,75.28,74.27
74.84,75.28,75.28,74.54
75.03,74.95,75.33,74.62
74.50,75.43,75.53,74.41
75.09,76.17,76.19,75.04
76.28,76.75,76.78,76.16
76.63,76.05,76.71,75.93
76.20,76.77,76.84,76.20
76.79,77.39,77.58,76.68
77.40,77.35,77.67,77.07
76.86,75.50,77.01,75.45
75.51,73.94,75.51,73.52
73.99,74.42,74.56,73.51
74.76,76.04,76.06,74.66
76.55,76.05,76.63,75.53
76.23,74.71,76.38,74.47
74.42,74.91,75.28,74.31
75.56,76.67,76.85,75.56
76.73,76.69,76.76,75.89
76.87,75.61,76.99,74.99
75.66,76.68,77.00,75.10
76.61,76.57,76.98,76.22
75.75,74.91,75.75,74.50
74.37,74.99,75.37,74.05
74.11,74.63,75.08,73.93
73.23,74.07,74.59,72.41
73.60,73.18,74.47,72.97
74.25,73.47,74.32,73.47
74.20,74.29,74.29,73.81
75.26,75.88,75.88,75.14
76.08,75.58,76.17,75.43
75.25,75.88,76.07,74.71
76.29,76.46,76.73,75.76
76.67,77.06,77.80,76.51
77.38,76.88,77.50,76.83
76.86,77.53,77.63,76.45
77.98,78.61,78.68,77.86
78.64,79.02,79.02,78.49
79.48,79.28,79.81,79.06
79.59,79.52,79.76,79.28
79.52,80.01,80.52,79.52
80.62,79.97,80.65,79.71
80.07,79.61,80.32,79.32
79.85,78.68,79.98,78.34
78.65,78.33,78.98,77.98
77.82,77.35,78.19,77.35
77.83,77.48,77.93,77.00
76.86,78.03,78.06,76.86
78.06,78.87,78.87,77.68
77.65,77.74,77.78,77.15
77.93,77.81,78.21,77.29
79.17,79.42,79.42,78.79
79.95,80.02,80.05,79.49
79.88,79.92,80.10,79.41
80.16,80.86,81.23,79.99
81.03,81.82,81.86,80.82
81.63,81.99,82.11,81.60
82.23,82.17,82.58,81.98
82.56,81.64,82.56,81.49
81.41,80.47,81.56,79.94
80.53,79.64,80.68,79.24
78.94,79.42,80.56,78.77
80.31,79.86,80.85,79.55
79.77,80.65,80.84,79.61
81.18,82.04,82.06,81.12
81.74,80.88,81.93,80.41
80.38,81.66,81.88,80.08
81.64,80.75,81.88,80.56
80.28,79.68,81.01,79.68
79.03,79.43,79.61,78.86
79.59,80.63,80.76,79.55
80.99,80.73,81.17,80.05
80.46,80.26,80.83,79.74
78.76,78.90,79.46,78.66
79.09,78.46,79.27,78.34
78.15,79.48,79.71,78.15
79.19,80.52,80.55,79.15
80.88,81.05,81.29,80.72
81.97,82.29,82.29,81.18
82.17,79.85,82.17,79.72
79.96,79.64,80.27,79.26
78.54,78.36,79.28,78.31
78.16,77.14,78.51,77.14
77.61,77.50,78.13,77.37
77.21,76.54,77.43,76.42
76.70,77.08,77.49,76.49
76.69,75.77,76.69,75.44
75.96,75.53,76.35,75.29
76.21,77.13,77.44,76.19
76.31,76.07,77.18,75.86
76.08,76.16,76.74,75.17
76.92,75.92,76.92,75.73
75.64,76.66,76.94,75.64
77.26,78.24,78.35,77.09
77.93,77.68,78.65,77.65
76.63,77.87,77.96,75.98
78.07,77.41,78.21,77.08
77.29,78.01,78.16,76.95
78.37,79.36,79.36,78.04
79.72,79.65,79.90,79.01
79.91,80.40,80.57,79.85
80.35,81.67,81.77,80.15
81.60,82.17,82.28,81.52
82.08,82.26,82.43,81.73
83.25,83.42,83.75,82.85
82.48,82.93,82.99,82.10
81.72,81.25,82.41,81.03
80.82,80.81,81.63,80.63
81.30,81.51,82.25,81.18
81.59,80.14,82.02,80.00
80.51,80.57,80.62,79.99
80.37,79.60,80.47,79.00
80.28,81.51,81.62,80.20
81.61,81.14,81.77,80.63
81.46,81.69,82.07,81.11
81.56,81.78,82.06,81.21
80.73,80.96,81.59,80.50
80.64,80.21,80.94,80.06
79.63,77.78,79.63,77.62
77.55,77.54,78.76,77.41
76.57,77.59,77.97,75.89
78.61,76.93,78.95,76.20
76.40,74.70,77.36,74.59
74.46,75.22,75.28,72.81
74.08,71.06,74.25,71.06
71.70,69.97,71.97,68.22
67.55,64.17,69.31,64.16
65.89,68.08,68.26,62.69
66.19,65.20,67.84,65.14
65.79,68.54,69.53,65.36
69.17,69.21,69.73,68.00
69.83,71.05,71.10,69.68
69.99,69.67,70.49,68.91
70.02,69.38,70.52,68.71
67.16,65.53,67.16,65.02
64.07,64.45,66.47,63.78
66.22,64.44,66.22,63.86
64.66,67.76,67.85,64.21
67.73,68.47,69.08,67.01
69.17,66.74,69.44,66.56
66.39,68.34,68.47,65.39
69.47,71.30,71.36,69.42
70.97,71.74,72.27,70.21
72.11,71.64,72.92,70.93
71.83,70.41,72.62,70.00
68.80,67.98,69.61,67.73
65.66,68.01,68.04,65.66
69.23,70.43,70.50,68.88
69.85,69.26,70.96,68.95
68.38,67.18,68.81,66.49
66.21,67.54,67.59,65.70
67.94,68.70,68.92,67.44
69.32,69.81,70.79,68.03
70.53,70.68,70.72,69.29
70.68,70.69,71.30,70.21
69.25,69.79,70.53,68.79
69.94,68.57,70.59,68.55
68.40,66.36,69.12,66.32
64.24,64.61,65.76,63.54
64.31,65.49,65.67,64.24
66.03,66.59,66.68,64.61
68.01,68.02,69.45,67.53
68.03,65.64,68.40,65.55
66.83,66.41,67.30,64.52
65.16,64.46,66.39,64.45
63.89,61.24,65.01,61.23
60.49,65.14,65.25,60.26
65.29,65.96,66.42,64.40
65.70,67.64,67.74,65.70
67.75,66.14,68.06,65.88
67.20,68.80,68.80,67.20
68.36,69.16,69.32,68.01
69.60,69.91,70.53,69.53
69.38,70.04,70.42,69.06
70.91,71.30,71.46,70.21
70.70,69.26,70.77,68.95
69.23,70.45,70.81,67.76
70.19,69.10,70.63,68.81
69.57,69.30,69.57,67.63
70.14,70.81,70.82,69.81
71.32,73.40,73.57,71.18
72.59,71.41,72.80,71.19
72.49,72.50,72.83,70.56
75.10,75.96,76.41,74.30
75.49,75.68,76.39,75.35
74.57,73.86,75.09,73.86
71.24,71.64,72.88,70.51
72.74,73.23,73.30,72.05
74.31,74.86,74.97,72.27
74.02,74.53,74.69,73.48
74.62,74.46,74.72,73.05
75.10,75.41,75.52,73.63
73.40,72.27,73.99,72.15
73.29,72.59,73.40,71.72
73.52,74.51,74.73,73.38
74.23,73.62,74.42,73.22
73.22,74.56,74.87,72.90
73.70,73.24,74.98,73.10
73.10,72.29,73.59,71.94
72.59,72.21,72.66,71.84
70.76,70.73,71.13,70.19
70.71,70.40,71.21,70.03
69.84,68.41,69.84,68.38
68.01,67.49,68.80,67.49
69.90,70.61,70.75,69.79
70.68,70.48,70.94,70.00
73.09,74.30,74.30,73.00
74.05,73.87,74.71,73.64
74.85,73.99,75.21,73.93
75.26,75.01,75.62,74.55
75.01,74.83,75.37,74.34
74.31,74.82,75.14,73.37
74.01,72.82,74.49,72.75
72.90,75.11,75.46,72.90
74.07,74.09,74.13,73.25
74.76,72.77,75.09,72.51
72.03,71.71,72.46,71.41
72.75,72.51,72.75,71.95
72.99,73.12,74.02,72.64
73.96,72.19,74.15,72.07
73.71,74.79,74.89,73.71
74.55,74.81,74.97,73.47
75.13,74.95,75.39,74.71
75.11,75.21,75.36,74.78
74.99,75.79,76.09,74.90
75.76,74.30,75.96,74.26
74.60,75.14,75.31,74.45
75.13,74.47,75.37,74.47
76.26,75.11,76.50,75.01
74.78,74.55,75.08,74.24
74.00,75.02,75.27,73.46
75.10,74.92,75.43,74.46
75.30,75.16,75.30,74.50
76.13,76.10,76.32,75.82
75.82,76.31,76.38,75.76
76.50,76.49,76.57,75.81
75.80,75.96,76.12,75.45
76.79,76.20,76.93,76.11
76.22,77.35,77.35,76.04
77.77,77.82,77.99,77.32
77.63,77.75,77.94,77.54
77.75,77.53,78.19,77.00
77.09,78.05,78.16,76.89
78.01,78.44,78.71,77.68
78.92,78.32,78.93,78.06
78.09,78.83,78.91,78.09
78.24,78.14,78.50,77.82
78.67,78.42,78.75,77.91
78.86,79.87,80.08,78.72
80.16,80.29,80.70,80.06
81.53,82.03,82.28,81.38
81.66,81.58,81.84,81.34
81.66,81.62,81.99,81.20
81.82,81.70,82.08,80.99
81.84,81.30,81.87,80.85
80.48,80.30,80.55,80.10
81.06,81.15,81.30,80.61
80.86,80.95,80.97,80.38
81.31,80.36,81.31,80.08
80.33,81.77,81.80,80.33
82.14,81.74,82.15,81.65
81.88,81.21,82.04,80.89
81.04,80.97,81.46,80.75
80.96,81.92,82.01,80.63
81.97,81.70,82.05,81.58
80.99,81.66,82.11,80.45
81.67,81.52,82.27,81.11
81.79,80.43,82.08,80.41
80.67,81.01,81.72,80.67
80.91,79.81,81.12,79.41
79.50,79.95,80.03,79.13
79.10,78.59,79.32,78.38
78.77,79.14,79.23,78.56
79.58,80.15,80.27,79.10
80.17,81.11,81.54,80.09
81.31,81.15,81.48,80.80
81.72,82.64,82.64,81.45
82.60,81.96,82.75,81.64
81.88,82.53,82.58,81.63
82.61,82.18,82.63,82.10
82.06,82.83,83.38,81.97
82.35,82.18,82.45,81.79
82.35,82.21,82.68,81.95
81.53,81.66,81.83,81.22
81.73,82.42,82.51,81.16
83.07,83.93,84.00,82.99
84.06,83.40,84.11,83.39
83.33,82.96,83.53,82.32
82.50,82.71,82.87,81.87
83.20,82.59,83.20,82.31
82.33,83.49,83.53,82.08
83.32,83.11,83.67,82.78
82.30,81.88,82.32,81.42
81.54,81.73,81.94,81.47
80.29,80.49,80.78,80.07
80.14,78.68,80.22,78.53
79.26,79.64,79.66,79.16
79.74,80.72,80.95,79.65
80.42,79.92,80.52,79.83
80.32,80.01,80.48,79.35
80.69,81.18,81.81,80.43
80.74,80.74,80.97,80.28
80.80,80.22,81.43,79.75
80.66,80.43,81.19,80.25
79.38,79.31,79.63,78.50
79.35,79.65,80.06,79.20
80.62,80.95,81.23,80.56
80.89,81.88,82.06,80.89
82.01,82.67,82.82,81.41
82.66,81.89,82.66,81.88
82.12,82.19,83.46,81.92
81.68,82.71,82.77,81.42
82.59,81.61,82.61,81.28
81.28,80.27,81.31,80.17
79.85,80.32,80.61,79.80
79.71,80.26,80.33,79.09
79.26,79.91,80.36,79.22
80.43,80.14,80.64,79.73
79.40,80.15,80.61,79.40
79.40,79.14,79.81,78.89
79.06,79.23,79.99,79.02
79.47,78.78,79.75,78.70
78.86,77.07,78.88,77.07
77.15,76.45,77.54,76.24
76.71,77.81,77.89,76.00
77.89,77.58,78.29,77.11
76.80,77.86,77.95,76.31
77.80,77.89,78.14,77.02
77.93,78.00,78.21,77.66
78.69,78.92,79.21,78.10
78.19,77.63,78.23,77.54
77.58,77.51,77.86,76.65
76.00,75.36,76.33,75.27
75.49,75.46,75.81,74.72
75.05,76.27,76.33,74.90
76.84,77.97,78.04,76.72
79.17,77.55,79.24,77.50
77.32,78.27,78.37,76.98
79.19,76.63,79.19,76.51
76.84,77.47,77.56,76.30
77.40,76.52,77.66,76.20
76.55,77.18,77.45,76.36
77.38,78.12,78.20,77.11
77.64,78.36,78.67,77.42
78.54,79.37,79.80,78.51
79.35,79.10,79.72,78.81
78.93,77.18,79.09,77.06
77.53,78.11,78.30,77.30
76.85,77.11,77.42,76.82
77.16,77.37,77.63,76.80
77.53,78.27,78.33,77.53
77.76,78.18,78.25,77.11
79.94,80.73,80.73,79.46
81.19,80.95,81.30,79.81
81.09,81.91,81.91,80.94
81.88,81.92,82.21,81.46
81.10,80.81,81.26,80.45
80.67,80.71,80.96,80.33
81.20,79.71,81.32,79.51
79.76,79.39,79.97,78.94
78.65,79.37,79.69,78.23
79.73,80.37,80.56,79.72
80.21,80.04,80.50,79.76
80.52,80.15,80.67,79.39
80.09,80.85,81.18,80.09
81.20,80.97,81.33,80.64
80.41,80.01,80.86,79.87
78.57,78.99,79.28,78.26
79.18,78.07,79.20,77.67
78.50,78.37,78.83,78.01
79.50,79.02,79.59,78.52
79.33,80.53,80.90,78.89
80.57,79.91,80.84,79.76
79.77,79.57,80.51,79.57
79.81,78.31,79.99,78.31
77.69,78.32,78.44,77.68
79.40,79.96,80.36,79.26
80.12,80.59,80.96,80.03
80.97,81.17,81.81,80.97
80.91,81.17,81.45,80.89
81.11,81.45,81.54,81.11
81.06,81.30,81.38,80.88
81.28,81.03,81.47,80.22
81.61,80.72,81.61,80.48
80.59,81.45,81.45,80.53
81.40,82.22,82.42,81.02
82.31,82.89,82.97,82.14
82.66,82.37,82.66,82.03
82.83,82.32,83.42,82.14
82.17,82.13,82.43,81.89
82.04,81.88,82.09,81.53
81.60,82.08,82.36,81.50
82.45,82.20,82.56,81.88
82.20,82.65,82.73,82.07
82.75,82.96,83.24,82.59
82.53,82.31,82.66,82.14
82.92,82.56,82.92,82.00
82.57,83.59,83.84,82.10
83.64,83.49,83.78,83.26
83.89,84.89,85.26,83.82
85.15,85.22,85.42,85.04
85.18,84.94,85.44,84.86
85.00,85.11,85.52,84.97
85.44,85.22,85.47,84.77
85.32,86.09,86.63,84.93
86.51,86.84,87.42,86.37
86.53,86.37,86.63,86.09
86.34,86.34,86.37,86.00
86.46,85.53,86.46,85.53
85.07,85.12,85.24,84.64
86.01,85.39,86.02,85.39
85.07,84.83,85.30,84.60
85.11,83.60,85.13,83.53
83.69,83.01,83.70,82.79
83.32,84.00,84.16,82.99
83.69,83.61,84.02,83.34
83.95,83.77,84.45,83.40
84.09,83.73,84.10,83.40
83.83,83.52,84.04,83.18
83.81,83.81,83.87,82.93
84.25,83.52,84.66,83.40
83.14,83.13,83.40,82.99
83.08,82.02,83.15,82.00
82.16,82.00,82.26,81.78
82.57,82.14,82.84,82.01
82.10,81.65,82.40,81.46
81.86,82.16,82.20,81.43
82.51,82.83,82.93,82.45
83.16,83.50,83.68,83.02
83.33,83.10,83.53,82.96
82.49,81.70,82.49,81.33
81.53,81.55,81.76,81.22
80.94,81.39,81.51,80.49
81.68,80.93,81.68,80.77
81.62,81.27,81.86,80.85
81.20,81.05,81.57,80.43
81.05,81.75,81.75,81.00
81.86,82.61,82.77,81.73
82.99,81.43,82.99,81.43
81.40,81.95,82.04,81.18
82.24,82.66,82.89,82.19
81.74,81.08,81.75,80.65
80.84,79.91,81.09,79.91
79.54,79.85,80.47,79.51
80.18,79.83,80.20,79.63
79.35,79.38,80.00,79.25
79.57,78.07,79.61,77.92
77.85,77.47,78.05,76.87
77.44,78.07,78.22,76.87
78.88,79.51,79.58,78.79
79.46,79.75,79.75,79.15
79.97,80.02,80.06,79.61
80.29,80.59,80.79,80.27
80.49,81.12,81.12,80.47
81.03,81.09,81.53,81.00
80.75,81.61,81.62,80.21
82.20,82.44,82.57,81.88
82.57,82.14,82.58,81.85
82.68,82.08,82.68,81.83
82.08,82.14,82.29,81.49
82.34,81.93,82.36,81.39
81.90,82.10,82.24,81.61
82.33,82.07,82.41,81.74
82.13,82.18,82.43,81.95
82.75,83.02,83.14,82.60
83.25,82.47,83.32,82.41
82.61,82.02,82.81,81.78
81.77,81.87,82.16,81.62
82.14,82.83,82.83,82.00
83.07,84.14,84.17,82.88
83.70,83.57,84.00,83.38
83.55,83.88,84.02,83.35
82.70,83.74,83.74,82.70
83.58,83.50,83.75,83.32
83.73,82.86,83.73,82.75
82.85,82.81,83.07,81.72
82.31,82.35,83.02,82.31
82.39,84.04,84.17,82.17
86.44,86.35,86.45,85.81
86.48,86.36,86.89,86.10
86.65,86.79,87.00,86.41
86.45,86.57,86.76,86.31
86.62,86.52,86.69,86.00
86.66,87.06,87.18,86.66
87.44,87.21,87.45,86.66
87.22,87.13,87.37,86.80
86.95,87.08,87.38,86.86
86.59,87.48,87.60,86.52
87.32,87.34,87.50,87.09
87.71,88.38,88.50,87.71
88.44,88.79,88.79,88.21
88.90,89.36,89.38,88.59
89.38,89.05,89.41,88.98
89.16,89.75,90.10,89.09
90.19,90.43,90.45,89.69
90.62,90.10,90.62,89.79
90.09,90.04,90.09,89.60
90.01,88.93,90.01,88.61
89.00,89.17,89.40,88.61
89.71,90.23,90.50,89.64
89.74,89.13,89.97,89.00
89.64,89.98,90.21,89.47
89.65,90.38,90.41,89.43
90.39,90.20,90.40,89.56
90.33,90.75,90.87,90.28
90.77,90.60,90.77,90.22
90.65,90.98,91.21,90.63
91.16,91.28,91.35,90.83
91.16,91.62,91.77,91.16
91.58,91.40,91.78,91.24
91.59,92.18,92.20,91.53
92.30,90.48,92.34,90.39
90.24,89.38,90.31,88.88
89.98,90.38,90.39,89.89
90.73,88.46,90.75,88.45
88.90,88.89,89.22,88.27
88.89,89.87,90.40,88.79
89.84,90.24,90.64,89.78
89.68,90.61,90.77,88.98
90.50,90.68,90.76,89.96
91.17,91.69,91.89,91.14
92.04,91.99,92.19,91.74
92.03,92.38,92.42,91.90
93.03,93.23,93.24,92.37
93.03,93.13,93.14,92.75
92.98,92.83,93.10,92.58
92.90,93.21,93.32,92.58
93.43,94.10,94.12,93.28
94.09,93.90,94.22,93.75
93.17,93.33,93.70,92.75
93.46,93.11,93.81,92.28
93.57,93.84,93.95,93.50
93.23,93.19,93.71,92.78
93.43,93.47,93.72,93.36
93.77,93.31,94.24,92.74
93.79,93.74,93.87,93.24
93.22,93.75,93.75,92.67
93.86,93.89,94.15,93.53
93.80,92.70,93.97,92.27
93.09,92.20,93.44,92.05
92.46,90.74,92.46,90.49
90.82,91.46,91.51,90.56
90.18,91.29,91.31,90.06
91.66,92.01,92.01,90.97
92.23,91.49,92.23,91.43
91.77,93.10,93.24,91.72
93.13,93.04,93.67,92.90
92.66,92.70,93.01,92.10
92.21,89.51,92.22,89.16
90.33,91.13,91.24,89.95
90.55,89.64,90.55,88.90
89.81,88.83,89.88,88.54
89.13,90.01,90.22,88.51
90.16,90.19,90.40,88.55
90.85,91.62,91.62,90.54
91.65,91.94,92.09,91.30
92.23,92.82,93.38,92.23
92.73,92.40,92.78,92.08
92.77,92.95,93.18,92.57
93.08,93.36,93.44,92.63
93.22,91.49,93.22,91.41
91.93,92.95,93.11,91.89
94.17,94.54,95.04,93.88
94.65,94.98,95.09,94.51
95.23,95.89,95.89,94.83
95.82,96.24,96.24,95.38
96.03,95.97,96.37,95.71
96.20,97.12,97.16,96.11
97.00,96.84,97.25,96.65
97.17,98.18,98.18,97.09
98.00,98.31,98.59,97.73
98.05,97.92,98.52,97.68
98.43,99.09,99.12,98.25
98.96,99.29,99.66,98.87
99.32,99.36,99.66,99.04
99.56,97.78,100.20,97.25
96.61,97.61,97.76,96.41
97.10,97.49,97.73,96.49
98.81,99.06,99.73,98.38
98.49,97.88,98.49,97.24
98.14,98.44,98.74,97.88
97.93,97.53,98.50,97.53
97.79,98.03,98.39,96.78
98.24,97.17,98.56,96.43
97.09,95.88,97.13,95.72
95.73,96.73,96.73,95.24
97.41,97.67,97.92,96.81
98.03,98.15,98.23,97.37
97.54,97.39,98.11,96.70
97.98,96.60,97.99,96.43
96.57,98.26,98.42,96.20
98.09,97.42,98.25,97.12
98.20,98.14,98.39,97.56
98.36,99.31,99.52,98.31
99.34,98.27,99.42,98.26
