JJSF,J & J Snack Foods Corp. - Common Stock,NASDAQ
48.26,48.60,48.85,47.84
48.87,47.73,48.87,47.15
47.46,46.95,47.72,46.70
47.08,46.78,47.33,46.46
47.09,47.57,47.66,46.36
47.02,47.02,47.47,46.67
46.92,47.95,48.05,46.70
48.20,47.98,48.57,47.58
47.76,48.24,48.25,47.47
48.47,49.14,49.41,48.28
48.83,48.64,49.38,48.64
48.23,48.88,48.96,48.05
48.91,48.52,49.10,48.33
48.67,48.88,49.25,48.57
49.13,49.23,49.28,48.58
49.23,49.36,49.56,48.22
49.57,49.85,49.98,49.18
49.98,50.77,51.02,49.73
50.79,50.83,51.02,50.42
50.94,51.33,51.43,50.51
51.84,51.84,52.40,51.30
51.29,51.64,51.77,50.85
51.25,50.93,51.25,50.17
50.54,51.13,51.57,50.54
51.04,51.28,51.45,50.00
51.22,50.68,51.30,50.38
50.72,50.95,51.14,50.28
50.87,50.12,50.87,50.00
50.38,50.75,50.93,50.00
50.72,50.60,50.72,49.62
50.91,51.82,51.89,50.62
51.92,51.14,51.92,50.60
50.56,50.74,51.30,50.15
52.27,53.10,55.58,50.13
53.09,52.28,54.02,52.01
52.52,51.52,53.90,51.30
51.26,51.69,51.85,50.52
52.34,51.71,53.15,50.78
51.39,50.12,51.88,50.09
50.41,50.37,50.83,49.38
50.37,47.97,50.82,47.97
48.38,47.79,49.05,46.43
46.84,44.16,48.85,43.28
45.15,46.56,47.13,43.25
44.53,44.87,45.63,44.53
45.37,47.27,47.90,45.21
47.37,47.95,48.14,46.44
48.03,48.97,49.09,47.40
48.60,48.11,48.80,47.28
48.26,48.70,49.06,48.00
47.39,48.00,48.87,47.37
47.17,48.13,48.48,47.17
49.28,48.12,49.28,47.72
48.19,49.72,49.93,46.70
49.53,50.27,50.61,48.99
50.51,48.57,50.90,48.52
48.31,49.17,49.31,47.56
49.56,50.68,50.71,49.38
50.38,51.17,51.45,49.94
51.44,50.61,51.48,49.46
50.47,49.58,50.77,48.89
48.35,47.82,49.22,47.46
46.62,47.59,47.70,46.01
48.17,49.04,49.08,47.81
48.61,48.89,49.39,48.40
48.46,47.57,48.46,46.92
46.81,47.79,47.95,46.80
47.87,48.19,48.28,47.31
48.71,48.84,49.30,47.44
49.30,49.34,49.34,48.31
49.31,49.24,50.00,48.99
48.42,48.42,48.95,47.41
48.62,47.67,49.00,47.65
47.78,46.69,48.26,46.53
45.26,46.92,47.47,45.26
47.07,47.59,48.35,46.77
47.74,47.58,47.84,46.56
48.48,50.44,51.06,48.15
50.44,47.90,50.48,47.83
48.98,48.66,49.57,47.97
47.87,48.05,49.71,47.87
47.65,45.51,48.94,45.47
45.20,47.78,48.05,45.12
47.81,48.00,48.35,46.91
48.00,48.19,48.28,47.30
48.27,48.78,49.63,48.00
49.65,48.72,49.65,47.46
48.23,48.53,48.97,48.08
49.03,48.88,49.29,48.67
48.68,49.09,49.23,48.34
49.47,49.87,50.00,49.19
49.67,48.48,49.67,47.97
48.57,49.92,50.17,48.11
49.86,48.51,50.22,48.27
48.54,48.95,49.05,47.94
49.65,49.49,49.65,48.69
49.49,50.01,50.02,49.23
49.74,48.12,49.74,47.90
48.75,49.69,49.79,47.88
50.69,53.35,53.36,50.13
53.24,52.77,53.93,52.55
52.05,51.55,52.47,51.46
49.92,49.05,50.95,48.84
49.86,50.05,52.84,49.27
49.75,51.73,51.84,49.39
50.88,50.35,50.88,49.57
50.38,50.44,50.49,49.01
50.64,50.95,51.05,49.63
49.77,48.56,50.46,48.53
49.32,48.99,49.93,48.49
49.28,50.25,50.42,49.04
50.20,49.27,50.60,49.03
48.89,50.87,51.00,48.74
50.24,50.22,51.59,50.02
50.04,50.06,51.09,49.68
50.07,50.23,50.65,49.96
49.64,48.78,50.14,48.75
48.79,48.23,49.05,48.17
48.00,46.84,48.22,46.42
46.81,46.50,47.14,46.46
47.85,48.48,48.48,47.09
48.58,48.61,48.88,48.41
50.41,51.88,51.97,48.53
51.61,51.23,52.92,51.19
51.92,51.62,51.92,51.04
52.39,52.36,52.43,51.58
52.30,54.25,54.53,52.30
53.72,53.78,54.03,52.82
53.19,52.03,53.19,51.93
52.23,54.04,54.20,52.10
53.50,53.20,53.50,52.50
53.47,51.98,53.51,51.44
51.49,51.29,52.04,51.25
51.97,52.50,52.67,50.78
52.50,52.50,53.17,51.69
52.50,51.52,53.00,51.17
52.57,53.11,53.27,52.03
53.00,53.65,54.00,52.76
53.79,53.18,54.25,53.00
53.29,53.29,53.38,51.45
52.89,53.42,53.98,52.89
53.21,52.44,53.28,52.33
52.53,53.81,53.83,52.53
53.68,53.28,53.78,53.11
54.14,52.94,54.17,52.76
52.49,52.48,53.17,52.41
52.10,52.61,52.71,51.79
52.75,52.66,52.93,52.02
52.69,52.21,52.69,51.88
52.84,52.61,52.84,51.99
52.23,52.36,52.49,51.70
52.33,52.44,52.47,51.78
51.77,51.55,52.44,51.47
51.81,51.65,51.97,50.63
51.69,51.70,51.84,50.97
51.75,52.37,52.47,49.51
52.13,52.66,52.75,51.74
52.55,52.19,52.55,51.76
48.15,50.06,50.22,46.73
49.91,49.96,50.28,48.65
50.05,49.98,50.21,49.77
49.80,50.45,50.85,49.80
49.90,50.50,50.73,49.83
50.89,51.03,51.16,50.02
51.15,51.68,51.89,50.87
51.63,52.24,52.62,51.31
52.91,52.87,53.71,52.51
52.36,52.37,52.77,52.03
52.46,51.44,52.71,51.29
51.43,51.95,52.34,51.31
51.84,51.93,52.18,51.60
51.26,50.89,51.97,50.89
51.60,51.72,52.05,51.21
51.22,50.99,51.85,50.78
51.10,50.16,51.37,50.06
50.19,51.15,51.58,50.19
51.43,51.08,51.53,50.74
51.05,50.87,51.28,50.75
50.74,50.40,50.94,50.37
50.45,51.88,51.92,50.19
51.74,51.33,51.74,50.87
50.72,50.46,50.90,50.10
50.30,50.26,50.91,50.10
50.24,50.17,50.75,50.13
50.50,50.09,50.78,50.06
50.00,49.41,50.12,49.05
49.40,49.79,49.80,49.28
49.15,49.21,49.77,48.93
49.26,49.66,49.71,48.94
49.83,50.12,50.22,49.12
50.00,50.33,50.92,49.72
50.17,50.95,51.14,50.17
51.24,51.41,51.44,50.70
51.21,50.64,51.45,50.45
50.81,50.88,50.95,50.00
50.96,50.63,51.10,50.50
50.95,51.00,51.66,50.58
50.56,50.71,51.00,50.44
50.84,50.88,51.79,50.80
50.37,50.56,50.66,50.08
51.15,51.38,51.43,50.64
51.70,52.24,52.49,51.67
52.19,52.33,52.79,51.82
52.22,52.26,52.45,52.09
52.07,52.34,52.45,52.07
52.76,52.46,52.76,52.00
52.13,52.73,52.74,52.13
52.61,52.28,52.76,51.85
51.58,51.53,51.90,51.48
51.46,51.75,51.80,51.11
50.75,50.13,51.15,49.89
49.94,49.66,50.08,49.16
50.13,50.13,50.13,49.41
50.09,50.47,50.71,49.96
50.34,50.21,50.58,49.91
50.29,50.52,51.15,49.88
50.92,51.32,51.99,50.92
50.99,51.14,51.42,50.25
51.03,50.36,51.46,49.97
51.60,50.46,51.60,50.25
49.57,48.95,50.23,48.57
53.63,55.68,57.64,51.33
56.03,55.46,56.82,55.00
55.09,56.21,56.64,55.09
56.18,56.33,56.88,55.81
56.11,56.06,56.63,55.31
56.06,55.36,56.58,55.15
55.15,55.36,55.40,54.45
55.30,54.40,55.30,53.98
54.17,53.51,54.59,53.33
53.49,54.07,54.24,53.37
53.87,55.12,55.16,53.66
54.33,54.66,54.90,53.94
54.99,55.93,55.94,54.39
55.90,56.00,56.00,55.14
55.28,54.79,55.51,54.59
54.62,54.50,55.16,54.19
54.36,54.71,55.21,54.24
54.61,54.27,55.12,54.04
54.09,53.67,54.44,53.43
54.04,54.62,54.76,53.77
54.37,54.66,55.02,54.34
54.07,54.84,54.98,54.07
55.07,55.15,55.23,54.62
55.06,54.90,55.39,54.68
55.52,55.78,55.95,54.75
55.40,55.17,55.77,55.01
55.22,55.07,55.56,54.63
54.00,53.90,54.99,53.62
54.11,54.13,54.44,53.49
53.86,54.22,54.54,52.40
54.78,55.67,55.72,54.14
56.15,55.58,56.15,55.19
55.38,56.06,56.76,55.36
56.65,55.71,56.65,55.67
56.06,56.11,56.58,55.49
56.09,55.95,56.12,55.75
56.07,56.24,56.43,55.62
56.77,56.96,57.20,56.61
56.59,57.06,57.32,56.59
56.91,57.48,57.95,56.87
57.61,57.89,58.09,57.39
58.02,57.69,58.02,56.91
57.76,57.89,58.15,57.43
57.28,57.48,57.88,57.19
57.50,57.31,57.68,56.65
57.60,57.86,58.14,57.19
57.61,57.16,57.61,56.56
57.95,59.10,59.48,57.47
59.10,59.57,59.80,58.60
59.25,59.47,59.68,59.04
59.10,58.90,59.48,58.77
58.75,59.05,59.12,58.46
58.78,58.83,59.05,58.34
58.89,58.10,59.10,58.06
58.37,57.88,58.37,57.65
57.48,56.92,57.48,56.55
57.07,57.48,57.68,56.75
57.57,56.72,57.57,56.60
57.18,56.77,57.18,56.32
56.83,56.18,56.94,55.63
56.30,54.43,56.30,53.84
53.98,54.00,54.33,53.75
53.50,52.99,53.88,52.90
53.00,53.39,53.58,51.91
54.29,55.67,56.38,53.98
56.26,56.85,57.01,55.58
56.95,57.48,58.40,56.82
57.33,58.90,59.44,57.33
58.62,57.79,59.31,57.65
58.18,56.79,58.83,56.55
56.73,56.84,57.46,56.33
57.49,57.93,59.05,57.49
57.82,57.77,58.54,57.54
58.25,57.69,58.25,57.36
57.65,57.60,57.86,57.22
57.67,57.80,58.00,57.02
57.78,57.42,57.78,57.19
57.15,56.92,57.18,56.33
57.29,56.84,57.29,56.53
56.89,57.24,57.68,56.87
56.98,57.36,57.47,56.36
57.25,57.82,57.99,56.72
57.53,57.76,58.04,57.32
58.12,57.98,58.32,57.65
57.66,57.77,57.95,57.36
57.60,57.06,57.60,56.54
56.86,57.52,57.73,56.44
57.53,57.68,57.76,56.76
57.56,58.01,58.36,57.56
57.75,57.99,58.16,57.75
57.56,57.38,57.72,57.13
57.86,57.10,57.86,56.85
57.30,57.09,57.41,56.16
56.86,57.71,57.96,56.86
57.99,57.51,58.50,57.36
57.86,57.55,58.05,57.37
57.29,57.48,57.84,57.29
57.31,57.10,57.52,56.72
56.96,57.11,57.69,56.44
57.03,57.99,58.27,56.53
58.31,57.74,58.31,57.01
57.56,57.46,58.10,57.22
57.36,58.08,58.11,57.36
58.02,57.91,58.31,57.76
57.50,58.44,58.62,57.50
58.15,57.24,58.23,57.14
57.12,58.04,58.09,57.12
58.19,57.43,58.19,57.22
57.64,57.10,57.72,56.87
57.25,57.48,57.93,57.07
57.14,57.33,58.07,57.05
57.74,58.02,58.15,57.06
58.25,57.92,58.25,57.63
58.17,57.47,58.18,56.77
57.74,57.95,58.05,57.25
58.11,57.32,58.22,57.28
57.29,57.41,58.03,57.26
57.01,56.95,57.35,56.81
56.88,57.60,57.67,56.87
58.14,57.15,58.23,57.07
57.06,56.86,57.33,56.50
56.92,57.48,57.53,56.73
57.63,57.59,57.72,57.09
57.53,58.05,58.13,57.29
57.95,57.64,58.43,57.41
57.48,56.86,57.49,56.53
56.91,57.03,57.24,56.81
56.80,56.89,57.06,56.67
56.98,56.37,57.15,56.04
56.61,57.19,57.38,56.51
57.19,56.93,57.19,56.18
57.01,57.27,57.40,56.51
57.37,58.00,58.37,56.79
58.18,56.76,58.65,56.75
56.93,56.37,57.29,56.23
56.44,57.22,57.46,56.09
56.62,57.03,57.41,56.32
57.03,56.06,57.18,55.96
56.49,58.25,58.60,56.43
58.28,58.99,59.10,58.28
58.69,59.53,60.31,58.69
59.65,58.48,60.25,58.35
58.32,57.72,58.75,57.28
57.58,58.05,58.22,57.43
58.68,60.46,60.55,58.19
60.18,60.80,60.90,59.81
60.84,61.13,61.30,60.37
61.30,61.30,61.30,60.79
61.06,61.60,61.97,60.00
61.48,62.58,62.95,61.48
62.33,62.08,63.01,62.00
63.04,62.76,63.16,62.17
63.01,62.90,63.01,61.71
64.07,63.58,65.60,63.45
63.70,63.89,64.08,62.79
64.20,63.77,64.20,63.42
63.50,63.52,63.93,62.88
63.41,62.99,63.44,62.28
62.96,62.84,63.16,62.40
63.05,63.08,63.51,62.42
63.32,62.76,63.44,62.29
62.98,62.52,63.07,62.40
62.53,61.90,62.92,61.69
62.15,63.67,63.69,62.15
63.57,63.53,63.76,63.01
63.40,63.19,63.53,62.85
63.17,63.54,63.94,62.97
63.26,63.50,63.85,62.67
63.32,63.11,63.70,62.34
63.04,62.38,63.07,61.81
62.55,62.07,62.69,61.65
61.96,61.68,62.42,61.00
61.91,63.88,64.02,61.52
64.76,64.32,64.84,63.61
64.21,64.68,64.78,63.36
64.96,64.77,65.77,64.52
64.31,63.40,64.76,63.39
63.65,63.43,64.18,63.00
63.38,64.97,65.27,63.38
64.96,64.26,65.07,63.56
64.38,64.65,64.94,63.99
64.34,64.99,64.99,64.15
64.50,65.30,65.56,64.50
65.23,65.41,65.67,64.61
65.75,65.70,65.80,65.40
65.87,66.11,66.29,65.27
65.97,66.50,66.60,65.54
66.40,65.51,66.52,65.41
65.44,65.62,65.88,63.28
65.77,66.06,66.28,64.79
65.99,66.42,66.72,65.28
67.00,68.34,69.97,67.00
67.97,67.40,68.22,67.03
67.49,68.15,68.86,67.30
68.17,68.38,68.73,68.15
68.10,68.36,68.73,67.28
68.48,68.96,69.04,68.48
68.56,69.20,69.35,68.30
69.18,69.33,69.61,69.01
69.21,68.94,69.49,68.74
68.80,68.80,68.80,68.45
68.65,68.67,68.95,68.43
68.73,68.75,68.85,68.51
68.79,68.87,69.51,68.71
69.18,69.03,69.18,68.67
68.96,69.39,69.64,68.83
69.32,68.85,70.00,68.83
68.96,68.87,69.22,68.33
69.04,68.97,69.52,68.52
69.09,68.92,69.78,68.78
68.68,68.77,69.57,68.46
68.68,69.09,69.67,68.68
69.23,69.22,69.63,68.76
69.51,69.98,70.43,69.00
69.64,68.88,69.65,68.50
69.01,71.06,71.64,69.01
71.44,70.35,71.63,69.93
70.08,70.01,70.85,69.46
70.61,71.49,71.71,70.01
71.20,71.13,71.81,70.26
70.95,71.27,71.40,70.14
71.21,72.05,72.34,71.18
71.99,72.01,72.56,71.64
72.17,72.20,72.43,71.46
71.59,72.18,72.36,71.12
72.45,72.79,73.18,72.15
72.97,73.87,74.20,72.88
73.24,73.58,74.16,72.95
73.57,74.60,75.00,73.45
75.00,75.04,75.48,74.75
75.30,75.83,75.84,74.73
75.27,76.17,76.54,74.63
76.32,76.89,77.33,75.68
77.04,75.12,77.04,74.86
75.26,75.86,76.42,75.16
75.95,74.30,75.95,74.14
74.34,74.40,74.88,73.98
73.30,73.94,74.23,73.30
74.00,73.45,74.00,73.24
73.47,73.22,73.75,72.88
73.22,74.80,75.17,73.02
74.77,75.33,75.79,74.59
75.30,76.09,76.24,74.75
75.97,74.33,75.97,73.91
74.68,76.32,76.55,74.44
75.62,74.06,76.33,73.65
74.37,74.11,75.14,73.78
74.10,75.46,76.27,74.10
75.55,75.42,75.99,74.77
75.89,75.93,76.33,75.52
75.95,75.42,76.23,74.87
75.67,74.79,75.68,74.34
74.73,73.25,74.92,73.15
74.16,74.43,74.70,72.80
74.23,75.02,75.43,74.07
74.68,73.08,74.91,72.98
73.15,75.29,75.40,73.15
75.88,76.45,76.74,75.46
76.23,75.93,76.23,75.06
75.93,76.37,76.38,75.07
76.14,76.87,76.88,75.67
76.75,75.73,76.78,75.54
75.87,75.91,76.42,75.70
75.85,76.04,76.65,75.00
76.30,76.88,77.00,76.22
76.83,78.90,79.04,76.66
78.57,80.20,80.85,78.21
80.26,80.05,80.26,79.13
79.86,78.16,79.86,77.67
78.10,77.72,78.43,77.26
77.65,77.00,79.13,76.43
76.56,77.10,77.66,75.62
77.09,77.61,78.02,75.88
77.62,78.40,79.26,77.62
78.08,76.96,78.08,76.35
77.30,76.65,77.33,76.38
76.06,75.90,76.92,75.68
75.90,76.67,77.37,75.08
76.80,76.10,77.29,75.62
76.22,74.86,76.26,74.62
75.02,74.89,75.97,73.78
75.04,76.32,76.53,74.91
76.37,76.68,76.91,75.86
75.77,75.75,76.53,75.22
76.40,75.81,76.40,75.40
75.62,76.27,76.56,75.11
76.39,75.56,76.64,74.91
75.87,75.99,76.23,75.62
75.90,75.99,76.38,75.61
76.09,75.27,76.35,75.27
