IHI,iShares U.S. Medical Devices ETF,NASDAQ
54.72,55.01,55.11,54.46
54.35,54.39,54.45,54.12
54.76,55.22,55.22,54.73
55.00,54.83,55.12,54.77
54.45,54.63,54.73,53.96
54.13,54.18,54.42,53.88
54.80,55.40,55.46,54.80
55.32,55.77,55.83,55.32
55.48,56.23,56.25,55.48
56.11,56.01,56.13,55.96
56.51,55.94,56.51,55.94
56.01,56.09,56.18,55.80
56.49,56.48,56.50,56.28
56.86,57.66,57.69,56.86
57.92,57.61,57.92,57.55
57.70,58.25,58.44,57.70
58.34,58.27,58.65,58.15
58.28,58.92,58.92,58.10
58.89,59.61,59.67,58.86
59.85,59.73,60.04,59.54
59.85,59.49,59.85,59.44
59.74,59.56,59.74,59.35
59.46,59.38,59.56,59.30
59.26,59.43,59.56,59.04
59.52,59.42,59.52,59.20
59.56,59.38,59.58,59.33
59.58,59.40,59.58,59.32
59.22,58.91,59.28,58.86
59.45,59.73,59.88,59.13
59.87,59.27,59.87,59.13
59.12,59.29,59.33,58.95
59.32,58.88,59.32,58.73
58.91,58.63,58.92,58.33
58.43,58.98,59.03,58.36
59.31,59.76,59.86,59.31
60.03,60.09,60.27,59.84
60.09,60.20,60.21,60.04
60.09,60.35,60.40,60.08
60.19,60.61,60.63,60.19
60.72,60.10,60.79,59.96
59.99,59.99,60.01,59.66
60.48,60.47,61.01,60.45
60.45,60.40,60.67,60.37
60.19,60.68,60.68,60.19
61.11,60.87,61.11,60.60
60.99,61.14,61.44,60.99
61.14,60.12,61.16,59.97
60.23,60.28,60.46,59.92
60.48,61.03,61.15,60.48
60.65,60.64,60.75,60.61
60.57,61.11,61.15,60.48
61.12,61.36,61.40,61.02
61.73,62.20,62.28,61.73
62.47,62.35,62.47,62.08
62.54,62.30,62.54,62.14
62.47,62.60,62.65,62.40
62.34,63.30,63.31,62.34
63.21,63.44,63.50,63.21
63.22,63.38,63.50,62.73
63.49,63.87,64.05,63.47
63.93,64.24,64.31,63.65
64.33,64.98,65.01,64.33
64.16,63.72,64.30,63.56
63.58,62.73,63.72,62.55
62.61,62.74,63.14,62.26
62.94,63.59,63.74,62.85
64.06,63.73,64.13,63.49
64.12,63.35,64.19,63.35
63.26,63.49,63.58,63.05
63.97,65.09,65.16,63.97
64.72,64.87,65.08,64.45
65.03,64.38,65.03,64.00
64.35,65.17,65.30,64.19
65.10,64.87,65.29,64.83
64.57,63.47,64.57,63.40
63.12,63.52,63.66,62.83
62.90,62.89,63.26,62.42
61.61,62.10,62.36,61.20
61.85,61.15,61.97,60.86
61.94,61.56,61.94,61.49
62.19,62.06,62.43,61.83
62.75,63.05,63.41,62.75
63.40,63.04,63.46,62.99
62.57,62.71,62.81,62.23
62.52,63.20,63.22,62.52
63.44,63.45,63.76,63.15
63.53,63.53,63.69,63.47
63.56,64.02,64.02,63.32
64.41,64.30,64.41,64.15
64.12,64.25,64.47,64.12
64.70,64.92,65.35,64.64
65.21,65.08,65.21,64.82
64.98,64.86,65.14,64.78
65.27,65.47,65.66,65.22
65.67,65.63,65.85,65.36
65.92,65.26,65.92,65.07
65.42,65.86,66.08,65.42
65.47,65.52,65.68,65.39
65.84,65.59,65.85,65.41
65.22,66.01,66.01,65.13
65.94,66.63,66.82,65.94
65.85,65.64,65.92,65.38
65.74,66.13,66.13,65.61
66.70,66.58,66.74,66.28
66.92,66.99,67.05,66.84
66.93,66.68,66.93,66.26
67.00,67.54,67.74,67.00
67.78,68.30,68.31,67.56
68.20,68.72,68.73,68.20
68.64,68.64,68.88,68.62
68.95,69.01,69.31,68.89
69.01,68.66,69.01,68.50
68.73,68.01,68.73,67.93
67.79,67.65,68.40,67.57
68.32,68.30,68.75,68.09
68.66,68.66,68.77,68.14
68.97,69.09,69.28,68.50
69.25,68.52,69.25,68.27
68.25,68.94,69.05,68.00
69.12,68.49,69.12,68.31
68.50,68.33,68.73,68.19
67.95,68.19,68.20,67.73
68.22,69.02,69.06,68.22
69.47,69.34,69.67,68.95
69.35,68.71,69.35,68.37
68.32,67.56,68.32,67.29
67.47,67.48,67.64,67.18
67.47,67.67,67.85,67.32
67.67,68.18,68.27,67.50
68.36,68.31,68.38,68.17
68.55,68.74,68.78,68.21
68.46,67.57,68.71,67.51
67.54,67.19,67.59,66.90
66.42,66.44,66.80,66.25
66.35,65.61,66.35,65.56
65.92,65.90,66.34,65.62
65.80,65.60,65.81,65.49
65.68,66.20,66.47,65.59
65.75,65.29,65.84,65.18
65.44,65.31,65.63,65.12
65.83,65.89,66.17,65.81
65.62,64.93,66.07,64.88
64.87,64.97,65.33,64.49
65.68,65.07,65.68,65.00
64.81,65.64,65.69,64.81
65.99,66.54,66.62,65.99
66.34,66.08,66.60,66.07
65.43,65.78,65.83,64.59
65.94,65.03,65.94,64.80
65.12,65.61,65.76,64.84
65.79,66.64,66.77,65.75
66.83,66.47,66.93,66.42
66.63,66.98,67.14,66.63
67.08,68.25,68.29,67.02
68.58,68.08,68.58,67.86
67.97,68.65,68.67,67.97
69.00,68.74,69.00,68.51
67.99,68.33,68.34,67.89
67.52,66.82,67.82,66.75
66.71,67.02,67.61,66.49
67.38,67.42,68.14,67.28
67.34,67.01,67.84,66.96
67.32,67.02,67.32,66.75
66.86,66.46,66.86,65.92
66.42,67.52,67.65,66.42
67.72,67.53,67.72,67.46
67.81,68.67,68.77,67.79
68.67,68.47,68.67,68.11
67.77,67.44,67.77,67.35
67.33,66.34,67.33,66.25
65.96,65.04,66.03,64.97
65.00,64.54,65.46,64.41
64.01,64.76,65.22,63.83
65.44,63.22,65.44,62.91
62.71,61.53,63.23,61.53
61.55,61.77,61.99,60.52
60.90,58.91,61.10,58.91
59.63,59.09,59.93,57.76
57.23,54.75,58.32,54.75
55.78,57.59,57.63,54.41
56.82,54.77,56.82,54.74
55.16,57.12,57.80,54.86
57.62,58.34,58.50,57.14
58.75,59.15,59.25,58.34
58.71,58.88,59.16,58.38
59.40,58.78,59.83,58.37
57.43,55.81,57.43,55.44
55.42,55.41,56.77,55.21
56.37,55.18,56.56,55.18
55.40,57.95,57.99,55.28
57.72,58.83,58.88,57.72
59.32,57.88,59.32,57.64
57.59,58.91,59.11,56.77
59.90,60.86,60.89,59.90
60.62,60.89,61.19,60.07
61.32,61.32,61.94,60.81
61.42,60.58,62.06,60.51
59.42,58.88,59.95,58.76
57.04,58.68,58.73,57.04
59.48,60.71,60.71,59.48
60.43,59.50,60.51,59.41
58.83,57.27,58.83,57.00
56.47,57.29,57.30,56.12
57.52,58.18,58.35,57.20
58.62,59.28,59.86,58.04
59.91,59.99,60.01,59.01
60.29,60.18,60.55,59.83
59.24,59.35,59.62,58.78
59.67,59.40,60.56,59.34
59.49,57.53,59.49,57.53
55.59,55.76,56.23,55.16
55.58,56.40,56.60,55.56
57.00,57.55,57.55,55.92
59.02,58.98,60.02,58.50
58.93,57.43,59.24,57.41
58.35,57.66,58.70,56.66
56.99,56.44,57.56,56.44
56.06,54.05,56.73,54.00
53.35,55.75,55.75,53.14
55.50,56.89,57.03,55.50
56.98,57.63,57.72,56.47
57.84,56.57,57.84,56.46
57.53,58.05,58.20,57.45
57.95,58.22,58.48,57.95
58.67,58.36,59.10,58.36
57.76,58.26,58.40,57.72
59.06,58.73,59.06,58.39
58.20,57.07,58.20,57.07
57.35,57.72,58.12,56.66
57.97,58.32,59.18,57.97
58.09,57.98,58.15,57.15
58.60,59.11,59.22,58.60
59.50,60.63,60.75,59.50
60.02,58.77,60.07,58.77
59.37,58.30,59.37,57.63
60.09,60.26,60.65,59.25
60.35,60.64,60.90,60.35
59.78,59.24,59.80,59.24
57.39,57.04,58.00,56.98
57.14,57.39,57.69,57.00
57.96,58.59,58.67,57.72
58.15,58.25,58.50,57.72
58.09,58.66,58.66,57.50
58.92,59.58,59.63,58.38
58.25,57.25,58.41,57.17
57.55,57.79,58.14,57.45
58.22,58.91,59.10,58.22
58.42,58.32,58.85,58.17
58.49,59.10,59.22,58.10
58.38,57.92,59.01,57.92
57.85,56.74,57.85,56.47
56.36,56.02,56.57,55.97
55.36,54.99,55.36,54.69
55.03,55.26,55.64,54.97
54.63,54.30,54.89,54.25
54.11,54.03,54.74,54.03
55.21,55.86,56.02,55.21
55.94,55.75,56.19,55.74
57.20,58.42,58.42,57.20
58.50,58.69,59.16,58.48
59.28,57.25,59.55,56.89
58.46,58.32,58.89,58.10
58.43,58.19,58.45,57.86
57.88,58.09,58.19,57.25
57.75,56.18,57.75,56.09
55.95,57.23,57.41,55.95
56.73,56.41,56.73,56.05
56.61,55.80,56.98,55.62
55.60,55.01,55.60,54.99
55.61,55.91,56.05,55.61
55.99,56.01,56.30,55.69
56.24,55.48,56.48,55.37
56.81,57.24,57.32,56.81
57.09,57.59,57.67,56.83
57.75,58.35,58.43,57.75
58.54,58.68,58.73,58.35
58.50,58.82,59.03,58.50
58.71,58.00,58.76,57.97
58.03,58.81,58.85,58.03
58.65,58.76,59.12,58.65
59.71,59.74,60.11,59.68
59.44,59.06,59.45,58.94
58.94,59.29,59.38,58.69
59.29,59.43,59.55,59.00
59.46,59.25,59.46,58.85
59.68,59.69,59.77,59.50
59.41,60.22,60.27,59.41
60.29,60.24,60.29,59.54
59.70,60.08,60.09,59.53
60.44,60.41,60.79,60.35
60.33,60.99,60.99,60.12
61.07,61.80,62.03,61.07
61.64,61.38,61.64,61.12
61.24,61.36,61.73,61.10
61.36,61.73,62.01,61.36
61.88,63.52,63.60,61.88
63.73,63.31,64.07,63.03
63.39,63.98,64.14,63.39
63.49,63.72,63.74,63.26
63.94,63.78,64.37,63.70
63.93,64.81,64.94,63.93
64.74,65.02,65.17,64.59
65.57,65.96,66.16,65.57
65.69,66.14,66.17,65.69
65.95,65.97,66.06,65.53
65.91,65.78,65.93,65.43
65.99,65.44,65.99,65.23
64.98,65.12,65.16,64.59
65.44,65.85,65.99,65.44
65.68,65.96,65.96,65.57
66.13,65.69,66.30,65.57
65.77,66.48,66.48,65.59
66.51,66.09,66.55,65.97
66.14,65.33,66.16,65.09
65.25,65.15,65.40,64.52
64.92,65.29,65.45,64.76
65.44,66.27,66.27,65.39
65.83,66.23,66.37,65.35
66.31,66.38,66.64,66.11
66.51,65.37,66.51,65.37
65.59,65.44,65.63,65.18
65.37,65.14,65.57,65.05
65.07,64.75,65.13,64.57
64.09,63.52,64.12,63.44
63.87,64.12,64.15,63.82
64.54,65.01,65.12,64.24
65.08,65.57,65.92,65.03
65.80,65.39,66.01,65.36
65.88,66.85,66.86,65.88
66.81,66.92,67.15,66.72
66.98,67.69,67.75,66.72
67.85,67.86,67.96,67.62
67.80,67.93,68.14,67.58
67.53,67.68,67.84,67.33
67.80,67.67,67.83,67.43
66.88,67.28,67.37,66.77
67.42,67.35,67.42,67.09
67.75,68.67,68.67,67.75
68.75,68.44,69.01,68.42
68.44,67.94,68.65,67.60
67.65,67.71,67.77,67.11
67.98,67.84,68.10,67.74
67.72,68.21,68.46,67.72
68.47,68.20,68.47,67.90
67.68,67.03,67.68,66.70
66.82,66.94,66.94,66.70
66.06,65.71,66.06,65.66
65.58,64.59,65.77,64.56
65.15,65.14,65.37,64.96
65.21,66.34,66.43,65.21
66.12,65.12,66.22,65.09
65.47,64.73,65.47,64.57
65.17,65.66,65.82,65.17
65.74,66.05,66.33,65.74
66.22,65.86,66.38,65.49
66.14,65.88,66.27,65.74
65.17,65.11,65.18,64.45
64.86,65.06,65.08,64.56
65.32,66.36,66.36,65.32
66.06,66.41,66.49,65.91
66.90,67.21,67.25,66.54
67.15,67.11,67.32,67.03
67.28,67.82,68.22,66.93
67.47,67.75,67.84,67.29
67.73,67.36,67.87,67.33
67.06,66.48,67.06,66.40
66.23,66.70,66.89,66.23
66.09,66.18,66.26,65.34
65.43,65.66,66.10,65.08
66.30,66.07,66.57,65.98
65.71,65.93,66.37,65.66
65.23,65.32,65.74,65.00
65.52,65.01,65.56,64.84
65.12,64.64,65.30,64.62
64.69,63.44,64.72,63.44
63.63,62.61,63.63,62.46
62.75,63.90,63.92,62.75
64.17,63.44,64.37,63.13
63.06,63.32,63.38,62.32
63.45,63.89,63.92,63.27
63.84,63.71,64.01,63.62
64.18,64.15,64.46,63.83
63.48,63.07,63.48,62.83
63.01,62.68,63.01,62.08
61.66,61.06,61.77,61.04
61.12,61.01,61.24,60.56
60.78,61.82,61.91,60.68
62.38,62.92,62.92,62.35
63.78,62.99,63.78,62.93
62.83,63.55,63.63,62.63
63.81,62.76,64.01,62.76
62.96,63.29,63.31,62.54
63.15,62.80,63.64,62.65
62.96,63.40,63.59,62.96
63.41,64.29,64.32,63.32
64.06,64.73,64.83,63.99
65.00,65.56,65.88,64.95
65.43,65.35,65.54,64.84
65.43,63.81,65.65,63.77
64.07,64.74,64.92,64.06
64.02,63.64,64.11,63.50
63.71,63.59,63.82,63.34
63.89,64.59,64.69,63.89
64.20,64.07,64.36,63.27
65.23,65.88,65.93,65.23
66.07,66.39,66.39,65.73
66.45,66.68,66.78,66.31
66.01,66.23,66.59,66.01
65.65,65.26,65.65,65.09
65.11,65.40,65.46,65.00
65.49,64.40,65.56,64.26
64.46,64.49,64.60,64.11
64.10,64.08,64.34,63.64
64.33,64.70,64.79,64.30
64.60,64.49,64.71,64.34
64.63,65.32,65.36,64.36
64.99,65.48,65.81,64.73
65.50,65.36,65.53,64.84
64.77,63.50,64.77,63.33
62.38,62.11,62.38,61.82
61.68,61.14,61.74,61.00
61.55,62.04,62.15,61.55
62.61,61.72,62.61,61.47
62.00,63.25,63.36,61.84
63.11,62.76,63.14,62.50
62.91,62.51,63.04,62.51
62.81,62.40,62.89,62.37
61.83,61.69,62.06,61.35
62.60,63.55,63.67,62.60
63.78,63.72,64.00,63.69
63.95,64.68,64.89,63.95
64.41,64.61,64.67,64.36
64.59,64.67,64.94,64.53
64.53,64.94,64.97,64.53
64.78,64.89,64.97,64.47
65.27,64.71,65.27,64.71
64.74,65.41,65.43,64.74
65.16,65.31,65.55,64.94
65.40,65.65,65.65,65.25
65.45,65.77,65.80,65.44
65.95,65.57,66.38,65.49
65.32,65.01,65.32,64.89
64.94,64.71,64.94,64.51
64.63,65.04,65.25,64.62
65.30,64.98,65.31,64.90
64.83,65.17,65.25,64.83
65.34,65.61,65.75,65.30
65.26,65.24,65.42,64.92
65.67,65.46,65.73,65.12
65.41,66.13,66.32,65.29
65.85,65.76,65.90,65.69
66.20,66.97,67.06,66.20
67.23,67.32,67.36,67.19
67.12,67.11,67.36,67.06
67.18,67.03,67.35,66.91
67.35,67.30,67.50,67.14
67.17,68.18,68.43,67.17
68.39,68.93,69.08,68.39
68.82,68.94,69.04,68.80
68.87,69.23,69.33,68.75
69.25,69.30,69.54,69.25
69.14,69.26,69.27,68.75
69.63,69.67,69.75,69.63
69.43,69.78,70.00,69.39
70.00,69.10,70.09,69.03
69.14,68.65,69.19,68.64
68.97,69.14,69.32,68.77
68.59,68.75,68.87,68.50
69.04,68.87,69.10,68.73
69.13,69.13,69.36,68.84
69.40,69.48,69.56,69.13
69.73,69.66,69.73,69.12
70.01,69.65,70.24,69.47
69.29,69.16,69.29,69.11
68.45,67.29,68.68,67.26
67.19,66.93,67.36,66.75
67.37,67.17,67.80,67.17
67.16,66.79,67.58,66.69
66.84,67.09,67.09,66.64
67.44,68.07,68.08,67.44
67.72,67.71,67.88,67.35
67.47,67.02,67.47,66.50
66.67,65.77,66.67,65.74
65.71,66.24,66.29,65.00
65.60,65.47,65.65,65.18
65.63,65.66,65.91,65.58
66.19,66.01,66.52,65.71
66.27,66.05,66.57,65.78
66.12,66.34,66.43,65.84
66.34,67.07,67.19,66.34
67.35,66.66,67.48,66.66
66.65,67.15,67.25,66.59
67.25,67.48,67.87,67.25
66.76,66.08,66.76,65.60
66.52,65.30,66.52,65.30
65.16,65.67,66.18,65.16
65.93,65.81,65.96,65.49
65.73,65.57,66.28,65.57
65.78,64.74,65.83,64.74
64.70,64.84,64.94,64.29
64.88,65.35,65.45,64.78
66.06,66.41,66.67,65.95
66.48,66.75,66.86,66.38
66.70,66.59,66.70,66.34
66.77,67.12,67.32,66.77
67.26,67.30,67.31,66.98
67.39,66.98,67.55,66.97
66.55,67.36,67.36,66.27
67.62,67.68,68.05,67.51
67.86,67.65,67.86,67.37
67.71,67.31,67.71,67.15
66.98,67.41,67.52,66.98
67.52,67.21,67.68,67.10
67.55,67.39,67.55,67.05
66.83,67.47,67.55,66.83
67.41,68.01,68.08,67.35
68.31,68.69,68.94,68.31
68.88,68.72,69.31,68.59
68.64,68.29,68.84,68.24
68.21,67.89,68.40,67.88
68.06,68.62,68.62,68.06
68.82,69.26,69.37,68.66
68.98,68.29,68.98,68.20
68.13,68.53,68.62,68.01
67.96,67.93,68.08,67.42
67.75,67.69,67.75,67.56
67.90,67.03,67.90,67.01
67.06,67.39,67.42,66.40
66.90,66.63,67.20,66.58
66.50,67.60,67.73,66.27
68.90,69.07,69.10,68.42
69.11,68.87,69.15,68.69
68.98,69.12,69.28,68.92
69.27,69.58,69.67,69.23
69.53,69.65,69.89,69.34
70.03,70.72,70.73,70.03
70.94,70.97,71.15,70.66
71.00,70.89,71.00,70.83
70.79,71.00,71.07,70.69
70.71,71.04,71.08,70.71
70.90,71.05,71.17,70.71
71.54,72.08,72.32,71.54
73.00,72.34,73.00,72.05
72.31,72.97,72.97,72.12
73.34,73.22,73.39,72.98
73.18,73.82,73.84,73.18
74.06,74.73,74.73,73.98
74.75,74.59,74.92,74.38
74.70,74.71,74.97,74.36
74.68,74.12,74.88,74.03
73.93,74.21,74.23,73.56
74.73,75.07,75.16,74.57
74.74,73.98,74.74,73.91
74.24,74.81,74.91,74.24
74.58,75.04,75.07,74.50
75.06,74.81,75.06,74.30
74.91,75.43,75.48,74.90
75.37,75.38,75.38,74.90
75.70,75.31,75.70,75.24
75.34,75.32,75.60,75.11
75.20,75.39,75.51,75.12
75.00,75.05,75.15,74.78
74.80,75.31,75.34,74.51
75.18,73.93,75.18,73.93
73.75,73.39,73.79,73.06
73.69,73.87,73.89,73.48
74.32,72.92,74.45,72.82
73.11,73.27,73.42,72.77
73.53,74.03,74.31,73.53
74.02,74.02,74.87,73.99
74.11,74.85,74.85,73.61
74.50,74.81,74.89,74.02
74.95,75.60,75.60,74.95
75.92,75.44,75.97,75.39
75.57,75.29,75.72,75.11
75.55,75.85,75.87,75.29
75.95,76.04,76.09,75.70
75.86,76.21,76.29,75.82
76.12,76.28,76.31,75.85
76.30,76.09,76.30,75.98
76.03,75.24,76.03,75.24
75.00,74.84,75.09,74.47
75.08,74.84,75.14,74.25
75.36,75.52,75.60,75.26
75.41,75.06,75.59,74.98
75.35,75.45,75.47,75.23
75.54,74.98,75.70,74.56
75.17,75.78,75.87,75.13
75.55,75.95,75.99,75.24
75.91,76.53,76.61,75.78
76.42,75.91,76.47,75.66
76.41,76.74,76.86,76.35
76.80,76.18,76.84,75.92
76.14,76.56,76.57,76.02
75.75,75.92,75.92,75.37
75.93,76.03,76.05,75.60
76.30,76.28,76.56,76.04
76.51,77.24,77.34,76.51
77.20,77.43,77.82,76.83
77.21,76.97,77.26,76.83
77.05,75.15,77.05,75.13
75.52,75.78,75.84,74.97
75.38,75.13,75.38,74.71
75.31,74.10,75.31,73.86
74.11,74.78,74.80,73.99
74.97,74.52,74.97,74.17
74.77,75.44,75.54,74.71
75.47,75.19,75.59,75.10
75.30,75.57,75.89,75.14
75.43,74.76,75.43,74.62
75.17,75.50,75.59,75.14
75.52,75.66,75.70,75.05
75.42,74.90,75.57,74.90
75.22,75.79,75.89,75.10
76.32,76.25,76.66,76.17
76.33,76.43,76.68,76.33
76.52,76.90,76.96,76.49
76.77,77.82,77.82,76.77
77.69,78.32,78.56,77.69
78.29,78.90,78.93,78.29
78.91,79.07,79.40,78.66
79.01,79.60,79.65,79.01
79.63,79.79,79.92,79.41
79.37,79.37,79.61,79.21
79.35,79.67,79.71,79.24
79.67,79.71,80.00,79.63
80.11,80.46,80.84,80.11
80.37,79.08,81.06,78.71
78.35,79.17,79.21,78.35
79.11,79.42,79.60,78.69
79.92,80.30,80.82,79.92
79.91,79.51,79.91,79.03
79.77,80.19,80.41,79.77
79.84,79.13,80.32,79.13
79.30,79.65,79.65,78.68
79.48,79.00,79.79,78.78
78.74,78.29,79.08,78.20
78.01,78.85,78.85,77.65
79.07,79.43,79.52,79.04
79.60,79.69,79.71,79.09
78.63,79.08,79.70,78.54
79.68,78.65,79.74,78.61
78.60,79.90,79.97,78.10
79.89,79.61,80.02,79.47
80.23,80.25,80.56,79.88
80.14,80.48,80.71,80.11
80.60,79.15,80.67,79.08
