ALOG,Analogic Corporation - Common Stock,NASDAQ
46.01,44.56,46.39,42.75
44.63,43.30,44.63,42.97
44.81,44.48,44.91,42.73
44.00,44.92,45.01,43.36
45.00,46.76,46.86,44.34
46.49,46.73,47.29,46.43
46.42,46.48,46.75,45.70
46.83,47.25,47.66,45.24
47.79,45.58,47.79,45.35
45.47,44.45,46.13,44.38
43.56,42.45,43.74,42.40
41.89,41.93,42.25,41.25
41.95,41.41,42.14,41.34
41.75,43.21,43.45,41.36
43.74,42.85,44.46,42.78
43.66,43.88,44.20,43.16
43.71,43.22,44.04,43.15
42.81,42.01,44.30,41.98
42.20,43.52,43.58,41.54
43.78,43.98,44.13,43.25
42.90,42.02,43.86,40.70
42.26,42.20,42.87,41.38
42.22,43.86,43.97,41.92
44.35,43.90,44.56,43.09
44.57,45.35,45.68,43.43
45.07,46.82,47.58,45.07
47.29,47.51,47.99,46.99
47.55,46.91,47.81,46.83
46.46,46.69,47.13,46.05
46.99,47.20,47.25,46.33
47.41,47.31,47.60,46.93
48.00,47.48,48.34,46.89
47.70,46.01,47.86,45.92
46.00,46.10,46.41,45.71
45.79,46.00,46.13,45.70
45.99,46.65,46.66,45.71
47.18,46.80,47.18,46.42
46.01,46.22,46.64,45.98
46.36,45.51,46.58,45.42
45.74,45.07,45.78,43.87
45.39,45.06,45.78,43.80
45.44,43.85,45.79,43.70
44.12,44.94,45.12,43.52
45.35,45.45,45.58,44.90
45.51,45.90,45.96,45.45
45.83,45.08,45.85,45.06
45.75,46.36,46.54,44.68
46.07,46.48,46.50,45.98
46.53,46.54,46.73,45.95
46.21,45.47,46.49,45.06
45.46,45.09,45.49,44.32
44.52,44.54,44.76,43.91
44.93,43.93,44.93,43.64
44.55,45.20,45.61,44.55
44.94,46.20,46.57,43.86
46.46,46.53,47.02,45.98
47.00,46.49,47.33,46.00
46.26,44.90,46.72,44.86
45.37,45.22,45.98,44.44
44.54,45.47,45.85,44.24
46.18,46.24,46.68,45.84
46.02,44.97,46.23,44.74
45.06,45.07,45.84,44.79
44.70,44.46,45.10,44.46
43.86,43.73,44.62,43.07
44.12,44.13,44.34,43.73
43.60,43.31,44.27,42.70
42.58,41.77,43.04,41.48
41.48,41.40,41.95,41.22
41.16,40.83,41.49,40.46
40.48,41.28,41.76,40.06
41.78,42.02,42.42,41.68
42.02,42.33,42.89,41.80
42.15,40.93,42.43,40.83
40.62,40.46,41.28,40.00
40.68,40.46,41.75,40.30
39.98,39.82,40.34,39.21
39.52,41.17,41.61,39.27
41.23,41.24,41.64,40.83
41.68,42.01,42.19,40.94
41.82,41.43,42.80,41.31
41.47,41.35,41.91,41.10
42.06,41.97,42.66,41.69
42.25,42.20,42.65,41.46
42.76,42.65,42.96,42.12
42.61,41.71,42.61,41.20
41.76,41.80,42.32,41.69
42.35,41.65,42.35,41.43
41.65,40.95,41.98,40.86
41.42,42.26,42.40,40.97
42.26,42.37,42.92,41.83
42.30,42.33,42.91,41.79
42.19,41.96,42.61,41.42
41.99,42.20,42.70,41.57
42.32,42.51,43.03,41.87
42.38,42.93,43.31,42.24
46.42,44.31,46.75,43.98
44.11,44.05,44.90,43.80
44.42,44.85,44.96,44.15
44.86,44.66,45.01,44.24
44.88,44.44,44.88,43.81
44.24,44.80,44.98,43.80
44.98,44.88,45.11,44.00
45.27,44.93,45.27,44.69
44.94,44.33,45.30,43.91
44.86,45.67,45.83,44.44
45.62,45.05,45.92,44.60
45.24,44.90,45.35,44.76
44.97,46.00,46.59,44.64
45.85,45.61,46.30,45.55
45.47,44.97,45.67,44.78
45.08,45.92,46.24,44.82
45.92,45.70,46.28,45.39
46.35,44.98,46.72,44.96
45.16,45.68,45.82,45.16
45.06,45.10,45.70,44.60
45.44,45.71,45.87,45.40
45.88,46.07,46.29,45.26
46.18,45.73,46.21,45.50
45.93,45.82,46.38,45.66
45.53,45.51,45.92,45.29
45.21,45.37,46.09,45.01
45.80,45.57,45.88,45.17
45.40,45.63,46.02,45.24
46.00,45.66,46.77,45.52
46.22,46.11,46.54,45.31
46.06,46.07,46.23,45.63
46.57,47.14,47.25,45.40
47.25,46.83,47.52,46.64
46.55,46.79,46.97,46.42
46.93,46.71,47.17,46.38
46.79,47.23,47.28,46.51
46.69,46.80,47.11,46.47
46.36,46.60,46.97,46.36
46.83,47.08,47.66,46.39
46.72,46.01,47.19,45.36
45.98,45.81,46.37,45.60
46.26,46.89,47.51,46.26
46.97,47.33,47.53,46.44
47.00,47.10,47.41,46.21
46.58,46.85,46.98,46.25
47.12,47.48,47.56,47.12
47.08,47.04,47.42,46.92
46.75,47.25,47.36,45.75
46.86,46.47,47.42,46.11
47.30,46.94,47.66,45.96
47.12,46.96,47.22,46.80
46.90,47.07,47.20,46.68
46.93,47.09,47.23,46.77
47.41,47.38,47.79,47.11
47.57,47.64,47.99,47.48
47.64,47.71,47.98,47.57
47.92,48.00,48.52,46.99
48.07,47.45,48.28,47.30
47.48,47.46,47.91,47.10
47.55,47.49,47.95,47.35
43.23,48.07,48.96,43.23
48.16,48.09,48.31,47.79
46.00,47.95,48.78,46.00
48.23,48.25,48.96,47.84
48.54,49.04,49.29,48.02
49.44,49.61,49.75,49.35
49.31,49.92,50.23,49.31
50.79,50.10,50.79,49.64
50.27,50.55,50.98,50.26
50.45,50.20,50.59,49.99
50.00,49.51,50.28,49.49
49.86,50.61,51.22,49.43
50.66,50.40,50.99,49.83
50.34,50.94,51.09,49.91
50.89,50.85,51.32,50.60
51.04,50.84,51.22,50.27
49.84,50.97,51.44,49.84
51.07,51.45,51.56,51.00
51.79,51.75,51.83,51.48
52.29,52.19,52.29,52.00
52.36,52.19,52.36,51.87
51.90,52.13,52.31,51.67
52.13,51.09,52.40,50.81
50.65,51.07,51.32,50.65
51.35,51.34,51.79,51.03
51.50,51.97,52.12,51.27
51.69,51.87,51.96,51.28
51.92,52.91,53.33,51.92
53.04,52.34,53.04,52.03
52.24,51.20,52.39,51.00
51.36,51.07,51.71,50.74
51.29,51.38,51.54,50.74
51.19,51.44,51.95,51.18
50.79,51.50,51.97,50.79
51.62,51.60,51.80,51.03
51.58,52.22,52.48,51.57
52.10,52.25,52.29,51.83
51.98,52.10,52.26,51.53
51.73,52.20,52.42,51.73
51.87,52.78,52.95,51.63
52.74,53.50,53.70,52.74
53.33,52.88,53.41,52.70
53.13,53.59,54.40,52.24
53.60,53.78,53.90,53.06
54.15,54.16,54.58,53.58
53.52,53.75,54.54,53.10
53.77,52.51,54.25,52.46
52.72,53.07,53.09,52.15
53.00,54.39,54.39,53.00
54.38,54.20,54.69,53.81
54.26,52.90,54.26,52.56
52.74,53.09,53.58,52.57
53.39,54.49,54.55,53.24
54.36,54.43,54.92,53.88
54.52,53.66,54.52,52.94
53.88,54.55,54.88,53.68
54.53,55.06,55.69,54.16
54.27,54.50,54.70,53.98
58.89,56.24,58.96,55.37
55.57,55.02,56.47,54.64
53.25,54.52,54.94,52.60
54.28,54.01,54.84,53.78
54.85,53.95,54.93,53.95
54.25,54.86,54.92,54.25
55.24,55.48,55.91,54.19
55.48,55.10,55.75,54.86
54.89,55.03,55.33,54.41
55.09,55.58,55.90,54.53
55.94,55.73,56.51,55.16
56.02,55.37,56.16,55.11
55.24,55.87,56.69,54.71
56.07,56.25,56.48,55.71
56.24,56.55,57.05,56.24
57.00,56.84,57.01,56.50
57.19,56.99,57.40,56.69
57.07,57.28,57.45,56.59
57.39,57.75,58.17,57.39
57.89,57.82,58.27,57.47
58.25,56.90,58.74,56.61
56.58,56.84,57.24,56.52
56.30,56.21,56.74,56.21
56.48,56.46,56.85,55.70
55.94,57.03,57.04,55.94
56.79,57.72,58.12,56.79
57.12,56.67,57.32,56.17
56.91,56.49,57.11,56.25
57.00,57.29,57.42,56.63
57.74,57.74,57.92,57.29
57.54,57.25,57.91,56.87
57.13,57.10,57.51,56.75
57.12,57.54,57.71,56.82
57.66,57.60,57.80,57.33
57.78,57.67,58.06,57.07
57.80,57.34,58.04,57.21
57.30,56.67,57.30,56.24
56.64,55.53,56.64,55.00
55.17,55.69,56.22,54.93
56.46,55.35,56.50,55.21
55.18,55.33,55.45,55.17
55.63,55.77,55.88,55.37
55.51,55.21,56.06,54.68
54.86,55.27,55.29,54.38
55.38,54.70,55.64,54.46
54.38,53.95,54.83,53.72
53.72,53.14,54.01,52.95
53.35,53.50,53.75,52.97
53.74,53.60,54.11,53.14
53.31,53.26,53.75,52.96
52.71,52.17,52.90,52.06
52.47,51.96,52.50,51.74
51.80,52.11,52.54,51.80
51.85,52.75,52.94,51.68
52.72,52.83,52.98,52.72
53.24,53.45,53.45,52.89
53.36,52.20,53.50,51.77
52.19,52.12,52.63,51.75
51.58,51.38,51.86,51.04
51.30,50.68,51.78,50.57
51.12,50.33,51.43,50.11
52.03,51.83,52.44,51.50
51.83,51.66,51.95,51.05
51.26,50.78,51.59,50.29
50.80,50.67,51.15,50.46
51.07,50.73,51.22,50.61
50.25,49.91,50.91,49.62
50.05,50.16,50.45,49.47
50.48,50.62,50.89,50.10
50.32,50.84,51.09,50.12
51.11,51.26,51.51,50.82
51.05,51.10,51.96,51.02
50.87,51.66,52.14,50.59
51.79,51.96,52.24,51.28
51.80,52.57,52.89,51.80
52.57,52.50,53.22,52.28
52.65,52.41,52.82,52.14
52.46,52.59,52.76,52.43
52.79,53.31,53.42,52.43
53.09,52.94,53.35,52.29
52.64,52.94,53.18,52.21
53.32,53.99,54.25,52.82
53.31,54.11,54.35,53.31
53.64,54.12,54.29,53.64
54.04,54.38,55.02,53.23
54.49,54.44,55.42,54.11
54.45,53.99,55.00,53.86
54.06,54.51,54.70,53.40
54.42,54.03,54.48,53.80
54.46,55.66,55.84,53.92
55.57,55.24,55.88,55.14
55.81,56.16,56.40,55.14
56.15,56.23,56.89,55.50
55.71,55.50,56.72,55.44
55.41,55.00,55.81,54.84
53.81,53.72,55.62,53.09
53.99,53.54,54.82,53.42
53.15,53.79,54.38,52.77
54.19,52.98,54.33,51.93
52.52,51.05,51.50,49.61
50.96,50.66,51.50,49.61
50.15,48.17,50.52,47.87
48.50,47.91,48.71,46.86
46.85,44.44,47.54,44.43
45.14,46.73,47.46,43.73
45.61,44.15,46.18,44.03
45.23,45.92,46.46,43.90
46.17,46.31,46.51,45.34
47.49,47.46,47.49,46.38
46.94,46.57,47.38,46.01
46.67,47.06,47.21,46.66
45.80,45.48,46.13,44.60
44.62,44.58,46.00,42.90
45.69,44.62,46.14,44.19
44.74,47.12,47.19,44.48
46.97,48.01,48.16,46.49
48.21,47.02,48.71,46.40
46.62,48.04,48.38,46.62
48.52,49.51,49.54,48.52
49.15,49.49,49.88,48.36
49.99,49.52,50.22,49.12
49.43,48.32,50.41,48.08
47.28,45.82,47.41,45.25
44.48,45.70,46.14,44.48
46.53,47.23,47.41,46.50
45.50,45.80,47.18,45.50
45.31,44.44,45.99,43.79
43.78,44.50,44.59,43.78
45.07,45.04,45.29,44.01
45.56,45.60,46.43,44.50
46.19,45.98,46.22,45.13
46.25,45.74,46.59,45.07
45.01,44.98,45.79,44.34
45.23,44.73,45.98,44.50
49.72,46.69,49.75,46.52
45.12,45.59,46.69,45.12
45.71,46.24,46.46,45.45
46.52,46.42,46.68,45.61
47.13,48.35,48.80,47.07
48.13,46.48,48.78,46.26
47.55,46.67,47.55,45.69
45.88,45.41,46.68,45.31
44.54,43.79,45.73,43.76
43.50,45.79,45.80,43.50
45.69,46.98,47.14,45.69
46.96,48.06,48.13,46.25
48.35,47.53,48.50,47.13
48.41,49.19,49.67,47.86
48.79,49.30,49.51,48.09
49.75,49.97,50.09,49.17
49.86,50.48,50.92,49.47
51.03,51.48,51.72,50.62
51.04,50.90,51.50,50.58
51.00,52.05,52.56,50.47
52.09,51.72,52.59,51.42
51.63,51.55,51.91,50.86
52.43,51.96,52.43,51.23
52.20,53.38,53.58,51.92
53.03,52.54,53.08,52.39
53.11,52.76,53.11,51.63
54.34,55.86,56.49,52.86
55.69,55.60,56.32,55.17
55.10,54.08,55.36,54.07
52.67,51.92,53.32,51.63
52.60,52.73,53.15,52.18
53.48,53.45,53.49,52.59
52.97,53.09,53.10,52.61
52.80,52.77,52.85,51.91
53.23,54.24,54.34,52.74
52.99,52.31,53.61,52.18
53.16,52.09,53.16,51.85
52.38,53.48,53.56,51.98
53.30,53.58,54.21,53.27
53.40,54.22,54.38,52.98
53.66,53.44,54.60,53.31
53.49,53.59,54.39,53.28
53.61,53.58,54.56,53.31
52.80,52.59,53.22,52.47
52.69,52.36,52.91,52.35
52.29,51.14,52.61,51.06
50.99,49.94,51.38,49.83
51.61,52.77,53.49,51.61
52.88,52.67,53.03,52.12
54.46,56.01,56.11,54.46
55.67,56.22,56.54,55.35
56.97,55.93,57.19,55.61
56.80,56.67,57.57,56.23
56.96,56.26,57.82,55.84
56.03,56.04,56.33,54.89
55.95,54.91,55.95,54.80
56.18,55.71,56.70,55.34
54.94,54.30,54.94,53.96
54.56,53.20,55.35,52.72
52.78,53.24,53.88,52.55
53.69,54.49,54.58,53.69
55.02,55.12,55.57,54.61
55.50,54.40,56.27,54.30
55.34,55.80,55.88,55.07
55.51,56.20,56.20,55.09
56.32,56.31,56.82,56.04
56.63,56.34,56.87,56.20
56.34,57.61,57.95,55.93
57.73,56.77,57.99,56.60
56.77,57.76,58.00,56.77
57.71,57.32,58.49,57.22
57.95,57.94,58.40,57.57
57.54,58.23,58.48,57.54
57.79,58.10,58.40,57.50
57.90,58.73,59.10,57.66
58.13,59.07,59.40,58.13
59.30,58.43,59.59,58.04
58.02,58.75,58.91,58.01
59.30,58.79,59.30,58.55
58.11,58.93,59.10,58.11
59.30,59.04,59.31,58.93
59.09,59.49,59.54,58.89
59.56,59.45,59.61,59.29
59.40,58.50,59.46,58.00
58.00,57.81,58.29,57.51
57.48,57.47,57.55,57.18
57.43,57.94,58.07,57.00
58.06,57.34,58.33,56.79
57.01,56.90,57.32,56.68
56.50,56.28,56.50,56.14
56.60,56.73,56.75,55.87
56.96,57.30,57.53,56.85
57.21,57.26,57.44,56.80
57.76,59.32,59.74,57.76
59.06,58.41,59.46,58.00
58.20,58.49,58.87,58.16
58.07,58.58,59.09,58.00
58.69,57.95,58.87,57.90
57.21,56.75,57.42,56.41
57.21,57.29,57.42,56.74
57.97,56.65,57.97,56.20
56.82,56.37,57.07,55.83
56.59,58.70,58.70,56.59
58.92,58.10,58.92,58.02
58.38,56.96,58.38,56.61
56.91,57.07,57.36,56.66
56.83,58.14,58.14,56.83
58.14,58.05,58.24,57.68
57.53,58.06,58.24,56.87
57.86,58.27,58.35,57.62
58.27,56.95,58.75,56.85
57.07,56.63,57.15,56.63
56.62,55.53,56.90,55.04
55.69,55.04,55.73,54.90
53.68,54.59,55.19,53.68
59.50,59.43,61.29,58.65
60.09,62.81,63.26,59.63
62.59,64.37,64.66,62.59
64.38,64.79,65.47,64.38
65.36,65.88,65.90,64.85
65.77,64.87,65.77,64.70
64.95,64.99,65.30,64.46
64.91,64.57,65.11,64.31
64.47,65.08,66.00,63.93
64.49,65.31,65.38,64.30
65.30,65.45,65.66,64.85
64.98,65.16,65.23,63.96
64.86,66.01,66.01,64.42
66.47,68.34,68.46,66.13
68.13,68.22,68.70,68.13
68.14,67.95,68.70,67.73
67.50,68.08,68.26,66.97
68.18,67.54,68.78,67.54
67.18,69.00,69.13,67.18
69.16,68.88,69.72,68.53
68.21,67.58,68.25,67.17
67.36,67.46,67.99,66.61
66.26,66.07,66.48,65.78
65.68,64.00,66.00,63.94
64.50,64.29,64.60,63.86
64.20,64.94,65.40,63.99
64.63,64.11,64.63,63.83
64.21,64.02,64.59,63.40
64.33,64.98,65.22,64.33
64.51,65.26,65.66,64.46
65.51,64.51,65.53,64.13
65.60,65.20,65.89,64.75
64.53,64.26,65.02,63.85
64.11,65.14,65.37,63.96
66.15,67.31,67.84,66.15
67.11,68.11,68.33,67.11
68.33,68.98,69.17,68.08
68.66,68.21,68.98,67.97
68.12,66.88,68.56,66.87
66.30,66.26,66.47,65.70
66.27,65.73,66.61,65.59
65.63,65.01,65.70,64.48
64.84,65.79,65.89,64.84
65.31,66.56,66.73,64.90
65.88,66.44,66.93,65.72
67.03,68.05,68.28,66.71
67.47,67.22,68.46,67.03
66.50,66.62,67.22,66.50
66.79,66.82,67.46,66.33
67.31,66.65,67.76,66.56
66.53,65.09,67.02,64.93
65.01,64.90,65.56,64.28
65.23,65.59,66.04,64.28
65.73,65.04,65.88,64.59
64.30,65.56,65.61,64.29
65.46,66.06,66.06,65.10
65.89,65.24,66.00,65.10
66.04,67.70,67.83,66.04
66.92,66.68,67.60,65.91
66.90,65.94,67.02,65.29
64.66,64.24,65.31,64.24
64.71,63.79,64.76,63.50
63.31,64.14,64.47,62.10
65.72,65.00,66.15,64.30
61.16,60.98,62.85,60.62
60.75,61.02,61.22,59.33
61.72,59.77,61.97,59.74
60.19,60.75,61.03,59.61
60.70,60.03,61.62,59.80
60.22,60.63,60.85,60.15
60.54,62.27,62.97,60.52
61.81,61.73,62.65,61.56
61.75,62.60,63.52,61.75
62.63,63.03,63.76,62.58
62.81,60.38,63.47,60.35
61.03,62.25,62.63,60.91
61.16,61.40,61.83,60.82
61.36,61.84,62.15,61.06
61.73,61.51,62.62,60.84
60.86,59.58,61.19,59.22
61.01,62.00,62.46,61.01
61.82,63.21,63.22,61.08
62.86,64.34,64.42,62.86
63.98,63.99,64.32,63.74
63.24,62.42,63.35,61.90
62.13,62.76,63.01,61.80
62.89,62.45,63.40,62.39
62.51,62.41,62.60,62.02
61.88,61.69,62.21,60.74
62.08,64.64,64.93,61.67
64.22,64.85,65.00,64.06
65.44,64.66,65.74,64.52
64.67,64.74,65.01,64.53
65.00,64.34,65.00,63.53
63.55,63.88,64.02,63.55
62.83,63.17,63.32,62.49
63.19,61.06,63.19,60.86
61.68,61.40,61.82,61.09
62.42,62.95,63.50,61.76
63.44,63.81,64.13,62.50
64.18,64.86,65.13,64.14
64.52,64.02,65.27,63.96
64.61,62.75,64.98,62.75
62.49,63.06,63.76,62.49
63.85,64.22,64.78,63.55
64.47,65.18,65.51,64.38
65.81,64.94,65.84,64.72
64.85,65.00,65.29,64.61
65.01,65.09,66.00,64.66
65.13,64.94,65.21,64.72
64.94,64.61,65.07,63.53
65.21,64.14,65.26,63.95
63.95,65.72,65.81,63.95
65.81,67.28,67.69,65.48
67.12,68.79,68.87,67.12
68.78,68.45,68.97,67.85
68.46,68.34,68.82,68.19
68.31,68.60,68.90,68.24
68.40,68.47,68.78,67.71
68.07,69.30,69.66,68.07
69.43,69.09,70.42,68.76
68.93,69.75,69.90,68.62
69.75,69.86,69.97,69.48
69.37,69.24,69.65,69.10
69.97,69.51,69.97,69.10
69.68,69.70,69.70,69.10
69.43,69.58,69.96,69.20
70.19,69.95,70.58,69.59
70.43,70.34,70.47,70.08
70.28,70.04,70.97,69.63
69.86,70.55,70.74,69.69
71.00,68.75,71.24,68.56
69.27,69.19,69.95,68.16
77.41,80.44,80.84,76.01
79.71,79.89,81.88,79.50
79.59,79.00,79.98,78.40
78.97,78.70,79.23,78.44
78.00,79.06,79.16,78.00
79.85,80.01,80.52,79.57
79.48,80.64,81.21,79.46
80.35,80.64,81.90,80.35
78.89,78.78,80.16,78.09
79.05,78.34,79.67,77.75
77.20,78.04,78.70,76.64
78.46,81.17,81.39,78.06
81.23,82.12,82.34,81.17
82.02,83.45,83.89,82.02
83.56,84.02,84.55,83.56
84.64,84.10,84.71,83.63
83.53,81.95,84.25,81.83
81.82,79.57,81.84,79.37
79.94,81.73,82.10,79.68
82.12,81.16,82.56,81.02
80.99,80.25,81.71,79.76
80.28,79.64,80.69,79.46
80.35,80.74,80.98,80.35
80.76,81.31,81.91,80.09
81.47,78.02,81.47,77.33
77.55,74.76,77.56,74.54
74.41,74.78,75.27,73.98
73.74,74.16,74.25,73.08
74.31,73.16,74.59,72.99
73.69,75.75,75.75,73.69
75.59,74.61,76.14,74.34
74.89,73.66,74.89,73.08
73.94,73.88,74.04,73.25
74.38,73.16,74.71,72.87
73.16,73.12,73.52,72.95
73.51,74.03,74.50,72.41
73.33,72.56,73.83,72.31
72.25,72.21,73.24,72.17
71.61,71.74,72.56,71.37
72.24,71.51,72.65,70.95
71.31,71.40,71.91,70.95
71.51,70.68,71.67,70.40
70.91,70.37,70.97,69.50
70.13,71.01,71.43,70.00
72.02,72.70,73.08,72.02
72.71,73.36,74.12,72.71
73.66,73.68,74.00,73.14
74.11,73.16,74.11,73.04
73.05,73.21,73.45,72.86
73.05,73.07,74.56,73.05
72.92,73.20,73.46,71.94
73.35,73.62,73.72,72.93
73.89,73.67,74.03,72.96
73.80,73.21,75.24,71.75
73.14,73.50,73.90,72.26
73.63,72.80,73.68,72.74
72.93,72.76,73.58,72.10
70.00,68.06,71.00,67.61
68.09,68.16,68.44,66.05
68.65,70.11,70.98,68.14
70.09,70.00,70.66,66.37
69.77,70.15,70.41,69.59
69.66,70.14,70.36,69.66
70.19,72.12,72.14,69.76
72.13,72.75,73.12,72.07
72.75,73.02,73.45,72.34
72.91,73.35,73.46,72.55
73.10,73.76,73.81,72.30
73.72,73.20,73.72,72.84
73.37,73.62,73.87,73.08
73.51,73.76,74.00,72.72
73.46,73.69,73.90,73.21
73.55,74.30,74.37,72.85
75.89,74.94,78.40,74.56
74.80,73.69,75.53,73.35
73.90,74.51,74.89,73.54
73.85,74.15,74.72,73.85
74.16,74.60,75.37,74.16
74.61,75.14,75.30,74.28
75.08,75.89,75.92,74.96
76.03,76.07,76.77,75.81
75.73,75.82,76.48,75.64
75.39,76.05,76.22,75.16
75.79,76.45,76.99,75.79
76.53,76.30,76.76,75.83
76.17,75.30,76.17,75.18
75.14,75.79,75.79,75.01
75.89,78.21,78.35,75.89
78.11,78.18,78.57,77.38
78.28,78.48,78.70,77.42
77.92,79.21,79.34,77.92
79.26,79.82,79.85,78.62
79.58,77.09,79.79,76.79
77.16,76.19,77.16,75.38
76.69,76.98,77.86,76.35
76.56,75.51,76.64,75.18
75.71,76.07,76.57,74.96
75.64,75.93,76.25,75.12
75.69,75.38,76.09,74.48
75.36,76.26,76.50,75.03
76.00,75.18,76.17,74.78
75.07,75.05,75.60,74.68
75.07,75.18,75.46,74.62
74.89,74.90,75.83,74.56
75.33,74.49,75.55,74.38
74.48,76.47,76.60,74.23
76.28,74.77,76.48,74.67
74.65,73.39,74.65,72.23
73.80,73.95,74.61,73.53
74.25,72.51,74.34,72.40
72.77,73.44,73.93,71.64
72.80,74.18,74.82,72.80
74.34,74.19,74.76,74.00
73.64,74.54,74.74,73.18
74.15,74.29,74.85,73.76
74.72,74.16,75.22,73.84
74.31,73.71,74.98,73.12
73.60,74.00,74.29,73.45
74.53,74.25,74.68,73.85
73.77,73.63,74.19,73.31
77.37,79.68,80.58,76.80
79.88,79.70,81.26,79.59
79.71,79.70,80.16,79.29
79.86,78.81,79.93,78.31
78.24,77.40,78.78,77.12
77.68,77.66,78.07,77.30
77.75,78.18,78.29,76.76
77.90,78.17,78.79,77.80
78.67,78.92,79.20,78.28
79.40,79.43,79.84,77.93
79.83,79.51,79.90,78.36
78.85,78.73,79.30,78.21
78.85,79.02,79.41,78.38
78.85,78.89,79.42,78.62
79.34,78.95,80.05,78.44
79.18,78.90,79.35,78.54
78.88,79.02,79.26,78.53
78.14,78.89,79.05,78.05
79.25,78.73,79.82,77.87
79.05,78.23,79.55,77.85
78.35,79.09,79.46,78.35
79.14,79.19,79.50,78.73
78.73,78.87,79.05,78.04
78.36,77.99,79.19,77.21
78.53,78.96,79.13,77.65
78.27,77.99,78.45,77.41
78.29,78.52,79.14,77.87
78.53,79.93,80.14,78.36
79.76,80.01,80.14,78.93
80.47,81.34,81.37,80.24
81.14,81.17,81.33,80.35
81.14,80.49,81.55,80.36
80.60,79.17,80.60,78.55
79.52,79.22,79.65,78.99
79.20,79.48,79.76,79.03
79.06,76.61,79.62,76.52
76.73,77.13,77.78,76.17
77.97,78.16,79.33,77.47
78.32,78.29,78.35,77.54
78.37,79.56,79.82,78.37
79.34,80.13,80.38,79.13
79.89,79.64,80.27,79.59
79.95,80.31,80.50,79.42
81.39,79.85,81.39,79.66
80.05,80.80,81.11,79.67
80.38,81.31,81.40,80.00
80.96,81.36,82.00,80.83
81.85,82.35,82.35,80.89
82.04,82.39,82.87,81.91
82.56,81.32,82.79,81.05
81.27,80.38,82.45,80.23
80.10,80.25,80.51,78.93
80.05,79.97,80.41,79.39
80.72,80.91,81.23,79.41
80.23,80.18,80.73,79.55
80.20,80.64,80.70,79.83
80.10,79.49,80.74,79.12
79.40,80.01,80.49,79.34
79.89,80.31,80.55,79.26
77.25,76.12,77.30,72.19
76.28,76.99,77.82,75.19
77.30,77.36,77.45,76.54
77.39,76.69,77.39,76.48
75.77,75.32,76.08,75.15
75.49,74.84,75.67,74.53
75.20,75.43,75.81,74.83
75.42,74.98,75.42,74.55
75.40,74.69,75.75,74.30
74.53,75.82,75.91,74.53
75.92,74.92,75.92,74.72
