MIDD,The Middleby Corporation - Common Stock,NASDAQ
98.03,99.95,101.14,98.01
100.68,102.70,102.83,99.79
102.82,103.98,104.82,102.27
102.63,102.79,102.80,99.67
102.21,103.24,103.24,101.27
102.85,102.62,103.04,101.67
103.13,103.98,104.47,102.49
102.82,101.89,103.09,101.19
101.85,102.27,103.30,99.94
100.02,97.58,103.43,97.34
98.00,96.40,98.11,95.34
95.75,96.35,96.77,94.44
96.55,99.19,99.27,96.55
100.67,98.32,100.67,97.96
98.11,99.78,100.28,96.63
100.75,96.39,101.52,96.17
96.70,97.77,98.75,95.46
97.36,96.04,98.39,95.58
95.87,95.22,96.79,93.54
95.20,96.25,96.54,93.88
95.52,95.27,95.91,94.52
95.47,99.29,99.75,95.25
98.96,99.59,100.73,98.10
99.50,97.63,99.96,97.23
98.28,97.00,98.28,96.73
95.45,94.47,95.45,93.78
94.48,96.64,97.99,93.92
96.68,95.26,96.68,95.00
94.17,95.24,95.41,93.48
97.66,99.61,99.85,97.66
99.62,100.30,100.30,99.08
99.95,101.10,101.10,99.79
100.73,101.12,102.34,100.67
99.77,99.17,100.90,97.89
98.67,97.96,98.67,96.89
98.34,95.20,99.16,94.03
95.52,96.55,96.79,95.13
95.39,97.64,97.92,95.23
97.91,99.60,99.92,97.91
99.48,98.75,99.77,98.00
99.25,101.15,102.05,98.64
100.78,101.69,103.60,100.69
101.79,101.55,102.05,100.18
100.26,100.58,100.81,99.42
98.31,97.66,99.90,97.66
97.89,95.06,98.82,94.50
95.92,95.02,96.83,94.36
96.43,98.23,98.88,95.06
98.41,99.69,99.99,97.19
99.63,98.14,99.63,97.68
97.60,97.92,99.19,97.55
98.64,96.86,99.26,96.86
96.43,98.83,99.00,95.82
100.28,100.80,101.10,99.73
100.58,99.98,102.06,99.36
100.72,100.48,102.12,100.01
100.12,100.21,101.37,99.33
105.00,113.77,119.74,104.45
112.38,113.81,115.42,109.07
114.13,116.64,117.98,113.98
117.54,114.91,118.48,114.09
114.75,116.88,116.98,114.75
116.53,116.57,117.12,114.62
116.32,117.68,118.72,116.05
116.92,116.13,117.56,114.60
116.18,114.87,117.03,114.17
114.78,113.43,114.78,113.00
112.92,112.10,113.78,111.61
111.61,112.42,113.10,110.35
112.92,112.69,113.73,112.19
112.78,113.03,113.66,112.10
113.16,113.28,114.12,112.79
112.68,113.15,113.48,112.39
113.62,115.15,115.49,112.51
115.51,118.50,118.88,113.94
117.98,118.85,121.51,117.53
119.90,119.69,122.57,119.13
120.83,117.43,121.76,116.75
117.85,117.26,117.85,116.72
117.34,117.35,117.85,116.28
117.97,117.92,118.26,116.81
117.92,116.22,118.26,115.50
116.62,116.66,116.76,115.00
116.15,116.75,116.97,115.25
117.00,118.50,119.04,116.61
119.19,117.01,119.19,116.58
116.17,117.01,117.31,115.66
118.98,116.74,118.98,116.07
116.08,117.20,118.92,113.95
117.75,116.48,120.46,116.36
116.79,115.29,116.79,114.82
115.96,116.70,117.66,115.27
115.90,115.64,116.66,114.66
116.10,117.22,118.42,115.83
117.80,118.15,118.58,116.36
118.40,116.58,119.07,115.61
117.07,118.87,119.03,116.64
119.26,118.82,121.96,118.21
118.21,118.23,118.95,117.33
118.16,117.29,119.08,117.07
117.68,119.00,119.75,117.22
119.85,118.45,120.49,118.03
118.29,118.66,119.60,117.96
118.49,119.35,119.66,117.88
119.79,120.99,121.34,118.84
120.89,122.86,122.97,119.65
122.89,123.75,123.95,122.68
122.69,122.80,123.87,120.81
122.85,122.80,123.75,121.40
121.77,122.67,123.09,120.91
123.70,122.66,124.23,121.98
123.75,123.41,124.02,122.59
123.57,123.64,124.00,123.00
123.88,124.95,125.57,122.97
124.84,126.56,127.06,124.00
126.92,123.40,127.89,123.37
123.54,119.73,125.99,119.10
120.08,120.40,123.70,120.08
119.35,124.65,126.50,118.01
124.83,122.59,125.24,122.43
121.78,124.50,125.35,121.19
124.56,125.00,126.63,122.65
124.52,126.27,127.64,123.41
126.65,124.51,126.94,123.81
124.73,126.82,128.73,122.89
126.42,125.49,128.96,124.61
126.45,126.98,128.87,125.01
126.43,127.52,127.72,125.32
127.02,126.70,127.92,126.01
127.34,127.00,127.34,126.26
127.07,126.49,127.40,125.48
126.50,127.73,128.83,126.14
127.00,126.52,128.56,125.07
127.67,128.35,128.35,125.16
127.48,127.39,128.43,126.24
128.00,126.73,128.38,126.15
127.00,128.22,128.92,125.80
128.73,129.85,129.99,127.84
129.58,128.64,129.58,127.32
129.46,126.50,129.46,125.77
126.10,126.69,126.85,124.55
127.89,129.43,129.98,126.40
129.31,127.24,129.47,126.81
127.22,127.16,129.48,125.19
127.06,128.41,129.44,126.48
128.65,129.35,129.43,127.72
130.27,132.39,133.14,129.24
132.23,132.05,134.51,130.93
131.85,128.43,132.72,126.93
127.60,127.70,128.74,125.39
127.44,126.90,127.44,126.57
126.89,126.92,128.20,124.94
126.72,126.29,127.14,125.04
125.93,125.47,127.20,125.32
125.25,128.21,129.26,125.25
131.65,131.39,133.79,130.50
131.39,130.15,132.27,129.95
130.88,130.45,131.57,129.93
129.88,131.66,132.80,129.88
131.93,131.79,132.99,130.86
132.00,131.84,132.70,131.64
132.70,131.49,132.70,130.75
131.75,131.89,132.56,130.71
131.88,131.44,132.30,130.76
130.91,131.92,132.03,130.48
131.58,130.61,131.58,130.25
131.03,131.29,132.22,130.45
130.91,132.01,132.19,130.75
132.00,134.46,134.73,131.67
135.00,138.21,141.00,135.00
138.54,140.42,141.16,138.21
140.93,142.00,143.18,139.96
142.11,141.58,144.70,139.51
141.12,144.29,144.61,140.48
143.67,140.61,144.71,140.21
140.62,141.36,143.34,139.65
142.14,144.49,146.46,142.14
144.09,142.61,144.09,141.72
143.52,147.52,148.40,142.56
146.76,148.15,149.37,146.27
147.83,147.56,148.86,146.83
147.76,149.04,149.51,147.48
148.81,149.25,149.84,148.19
149.48,148.60,151.49,147.72
148.46,149.19,149.83,148.46
148.50,146.55,151.45,145.60
147.34,148.08,151.24,146.94
147.86,149.71,150.61,147.86
149.33,147.16,152.10,146.95
147.65,146.14,148.05,145.60
147.01,148.44,148.53,145.92
148.96,144.13,150.52,143.41
144.41,144.88,147.79,144.41
146.51,148.10,154.74,146.50
148.96,149.31,150.49,148.60
147.70,150.19,150.96,146.77
149.85,150.10,150.20,148.32
151.09,149.78,152.36,148.72
150.24,149.71,151.09,149.41
149.81,148.82,150.20,148.00
150.18,150.00,150.93,149.41
149.32,150.50,150.55,149.32
150.00,149.97,150.61,149.45
150.00,149.61,150.89,149.38
149.43,149.87,150.95,148.87
149.31,149.99,150.86,148.67
148.47,148.81,149.99,148.00
149.15,148.50,149.92,148.00
148.99,151.79,151.79,148.02
151.22,151.92,152.50,150.81
152.50,152.59,153.34,152.00
152.71,148.97,153.28,148.56
149.59,150.26,150.91,147.81
148.99,150.58,151.21,147.85
151.76,152.15,153.50,151.31
152.64,150.20,152.72,148.39
151.91,149.99,153.16,149.75
150.50,148.15,150.79,147.74
148.49,148.45,148.71,147.41
147.20,147.26,148.59,145.13
147.20,146.45,147.84,144.60
147.00,145.24,147.34,144.69
145.57,147.52,147.78,144.05
147.85,147.48,149.06,145.74
147.30,147.34,147.86,146.35
147.21,142.14,148.00,141.88
142.96,145.61,146.77,142.01
144.85,143.02,146.24,140.51
143.62,144.53,145.89,142.39
144.63,146.21,146.66,143.66
146.83,146.73,147.26,143.88
147.73,150.20,150.30,146.99
150.57,152.98,153.27,149.79
153.10,151.24,155.00,150.40
151.20,149.18,151.22,147.22
150.01,150.39,152.57,149.14
149.48,149.58,149.74,147.08
148.77,143.93,148.77,143.87
144.22,144.13,146.06,143.21
145.86,144.78,148.25,144.22
145.00,142.99,145.11,142.71
143.31,145.34,146.99,143.21
145.50,146.67,146.89,143.47
153.01,151.78,156.90,150.31
152.57,164.28,166.66,152.06
163.62,159.49,164.72,159.07
159.94,162.65,162.66,159.00
163.05,165.17,167.28,161.61
164.78,162.36,164.99,161.57
162.53,164.52,164.61,162.34
164.75,166.19,167.05,164.59
166.70,168.77,170.27,166.20
168.77,163.55,171.53,162.03
162.14,164.25,164.44,161.00
163.85,164.97,165.26,161.56
167.39,168.44,169.97,165.42
167.39,165.37,167.79,165.19
165.86,164.98,166.53,164.21
164.14,163.49,165.68,162.98
163.93,166.57,166.66,162.30
166.49,166.45,167.31,163.88
165.84,164.66,166.89,164.15
163.19,165.99,166.01,162.47
166.95,167.50,168.61,165.32
167.99,168.68,169.98,166.73
166.94,166.17,168.17,165.84
166.59,166.01,168.01,164.29
165.57,167.32,167.94,164.20
167.22,164.95,167.22,164.91
166.44,168.38,169.17,164.83
169.18,170.79,171.63,167.52
171.29,168.03,171.41,168.02
