AFL,AFLAC Incorporated Common Stock,NASDAQ
42.48,42.57,43.18,42.34
43.07,41.61,43.55,41.60
41.17,39.82,41.38,39.66
40.09,39.07,40.39,38.90
39.63,39.73,40.16,39.07
39.91,40.11,40.77,39.73
39.75,39.84,39.97,38.84
40.12,39.68,40.13,39.18
39.66,39.22,39.88,39.04
39.65,40.25,40.28,39.55
39.81,39.66,39.88,39.22
39.75,40.08,40.39,39.07
39.18,38.65,39.42,38.57
38.75,38.45,39.02,38.14
38.18,38.89,39.12,38.18
39.37,40.53,40.53,39.18
40.95,40.90,41.76,40.71
40.75,40.64,40.79,40.16
41.21,40.00,41.32,39.97
40.06,40.64,40.71,40.03
40.47,40.28,41.05,40.10
40.40,41.63,41.70,40.19
41.86,41.98,42.12,41.64
41.81,41.37,41.81,41.12
41.69,42.23,42.42,41.63
42.35,42.39,42.75,41.92
42.54,41.07,42.81,40.89
41.37,41.11,41.50,40.85
40.61,39.67,40.61,39.34
39.85,40.22,40.48,39.63
40.31,40.74,40.83,40.07
40.19,41.00,41.03,40.07
42.17,42.59,42.62,42.01
42.88,42.83,43.40,42.28
42.83,43.37,43.51,42.62
42.99,42.95,43.25,42.60
42.39,42.63,42.76,42.10
42.50,42.56,42.63,42.18
42.85,42.29,43.29,42.09
42.44,42.96,43.07,42.38
42.67,42.44,42.90,42.16
42.76,43.60,43.75,42.59
43.43,43.20,43.46,42.90
43.54,43.61,43.70,42.87
43.77,43.90,44.19,43.55
44.02,44.04,44.27,43.77
44.03,43.28,44.20,42.93
42.88,42.41,42.88,41.80
42.40,42.02,42.65,41.47
42.30,41.29,42.44,40.97
42.10,41.48,42.39,41.13
41.85,43.49,43.72,41.62
43.32,43.84,44.00,43.15
44.14,43.78,44.14,43.52
44.13,43.80,46.92,43.57
43.49,43.14,43.55,42.39
44.09,44.58,44.96,43.81
44.71,44.94,45.24,44.58
45.20,45.55,45.94,45.05
45.20,45.78,45.91,45.20
45.20,45.70,45.91,45.03
45.55,45.86,45.95,45.30
45.63,45.56,45.76,45.23
45.89,45.23,46.04,45.09
45.22,45.64,45.90,45.13
45.70,45.90,46.07,45.38
45.97,46.12,46.16,45.53
45.95,46.10,46.28,45.74
46.36,46.51,46.90,46.10
46.40,46.09,46.50,45.78
45.99,45.71,46.04,45.47
45.56,46.18,46.30,45.52
46.35,46.15,46.53,46.02
46.01,46.19,46.46,45.91
46.29,46.33,46.47,46.07
46.05,46.02,46.25,45.76
46.35,46.18,46.57,46.00
46.37,46.50,46.62,45.93
46.43,45.88,46.62,45.80
46.34,47.41,47.45,46.26
47.62,48.29,48.53,47.57
48.42,48.00,48.60,47.99
48.01,48.62,48.75,48.01
48.47,48.54,48.92,48.26
48.54,49.34,49.52,47.91
49.55,49.66,50.24,49.41
49.48,49.27,49.71,49.02
48.92,48.69,49.02,48.45
48.68,48.60,48.93,48.41
48.43,48.65,48.75,48.03
48.91,48.18,48.91,48.17
48.04,48.31,48.64,48.00
48.48,47.56,48.81,47.55
47.46,46.65,47.47,46.35
47.05,47.72,47.79,46.96
47.57,47.88,48.08,47.20
48.18,47.60,48.48,47.45
47.86,47.56,48.10,47.25
47.80,47.53,47.88,47.25
47.85,48.43,48.50,47.70
48.80,48.61,49.15,48.32
48.26,48.67,48.79,48.20
48.56,48.06,48.82,48.00
48.02,47.61,48.17,47.43
48.01,48.29,48.57,47.99
48.25,48.14,48.38,47.53
48.35,48.78,48.84,47.91
49.00,49.41,49.70,48.93
49.72,50.28,50.36,49.43
50.07,50.11,50.46,49.73
49.91,49.69,50.20,49.36
49.55,50.19,50.19,49.51
49.42,49.66,49.77,49.22
49.60,49.44,50.30,48.57
49.89,50.03,50.18,49.41
49.89,49.58,50.05,49.24
49.70,49.78,50.14,49.45
49.96,50.94,51.07,49.81
51.18,50.63,51.25,50.28
50.48,51.19,51.31,50.12
51.17,52.19,52.46,51.04
51.45,50.48,51.45,50.18
50.59,49.72,51.03,49.71
49.43,49.62,49.91,49.08
49.78,49.84,49.92,49.45
49.45,50.03,50.62,49.35
50.17,49.64,50.73,49.52
49.69,50.14,50.71,49.50
50.16,50.41,50.47,49.60
50.93,51.44,51.45,50.72
51.23,50.96,51.50,50.50
51.23,51.23,51.24,50.45
51.50,51.89,51.90,51.38
51.55,51.85,52.00,51.51
51.82,51.51,51.99,51.38
51.36,51.99,52.04,51.09
52.09,52.67,52.75,52.00
52.67,52.99,53.14,52.46
53.18,52.75,53.27,52.69
52.70,52.57,52.88,52.26
52.75,53.58,53.75,52.60
53.51,53.80,53.82,52.82
54.14,53.58,54.38,53.28
53.39,53.57,53.85,53.32
53.84,54.09,54.20,53.58
54.42,54.19,54.93,54.06
54.17,53.42,54.50,53.33
53.41,53.23,53.64,53.12
53.51,54.09,54.10,53.31
54.09,54.63,54.70,53.95
54.75,54.38,54.81,54.24
54.52,54.70,54.71,53.95
54.37,53.81,54.42,53.61
53.80,53.78,53.97,53.66
53.80,53.50,54.02,53.30
53.57,53.01,53.59,52.45
52.61,52.25,52.81,52.19
52.28,53.12,53.13,51.86
54.39,54.07,54.44,53.72
53.62,52.70,53.62,52.11
52.88,52.04,53.14,52.01
51.82,51.84,51.87,51.08
51.67,52.44,52.44,51.53
52.10,52.50,52.70,52.10
52.98,53.37,53.41,52.67
53.36,52.93,53.36,52.48
53.00,52.95,53.25,52.35
52.30,53.03,53.11,51.99
52.74,51.61,52.81,51.51
51.60,51.44,51.98,51.05
51.55,51.47,51.78,51.28
51.50,52.64,52.79,51.47
52.47,53.13,53.32,52.42
53.19,53.61,53.95,53.02
53.72,53.48,53.76,52.96
53.77,52.99,53.77,52.75
52.87,53.35,53.44,52.61
53.25,52.46,53.33,52.36
52.41,53.06,53.21,52.19
53.55,53.06,53.56,52.96
52.85,52.85,52.97,52.45
52.94,53.49,54.07,52.80
51.53,51.18,52.13,49.50
51.18,50.18,51.24,49.92
50.38,50.35,50.50,50.08
50.36,50.26,50.39,50.11
50.11,49.50,50.22,49.42
49.43,48.65,49.54,48.49
48.43,48.83,48.93,48.17
48.94,49.34,49.41,48.75
49.26,49.53,49.62,48.83
50.03,49.82,50.25,49.79
49.83,49.58,49.83,49.10
49.93,50.07,50.07,49.59
50.27,48.88,50.28,48.84
49.20,48.81,49.46,48.51
48.86,49.93,50.08,48.78
49.86,49.95,50.42,49.64
50.09,50.19,50.67,49.57
50.00,50.21,50.27,49.77
50.60,51.01,51.25,50.52
51.25,51.10,51.53,51.01
51.30,51.57,51.62,50.69
51.75,50.14,51.94,50.09
50.10,51.05,51.05,49.99
50.89,50.75,51.00,50.58
50.80,50.64,50.90,50.43
50.89,50.66,51.03,50.50
50.66,51.08,51.09,50.52
50.47,50.22,50.64,50.11
50.42,49.81,50.45,49.58
50.17,50.72,50.89,50.01
50.51,51.06,51.35,50.25
51.24,51.85,51.85,51.10
51.99,51.52,51.99,51.18
51.83,52.49,52.49,51.62
52.08,51.91,52.12,51.65
51.91,52.02,52.09,51.61
52.06,52.15,52.26,51.72
52.45,52.90,53.61,52.37
53.00,52.70,53.00,52.46
52.50,51.50,52.56,51.20
50.80,49.49,50.80,49.17
49.68,49.60,49.68,48.54
49.58,49.75,50.11,49.36
49.87,50.21,50.38,49.72
50.29,49.81,50.38,49.66
49.50,50.11,50.13,49.44
49.92,48.97,50.10,48.95
49.35,50.21,50.27,49.22
49.75,49.16,49.75,48.91
49.19,48.90,49.33,48.56
49.15,49.39,49.50,48.99
49.48,49.72,49.84,48.95
49.92,50.67,50.82,49.78
50.76,51.56,51.59,50.74
51.23,52.57,53.00,51.22
52.89,53.20,53.31,52.69
53.34,54.04,54.40,53.20
54.00,54.44,54.71,53.96
54.29,54.38,54.97,54.28
54.64,54.94,55.10,54.38
55.48,55.36,55.90,55.31
55.36,55.61,55.93,55.34
55.58,55.38,55.78,55.00
55.28,55.91,56.04,55.20
55.94,54.85,56.03,54.75
54.73,53.95,54.80,53.57
53.95,53.84,54.00,53.51
53.95,54.56,54.63,53.90
54.47,54.81,54.92,54.37
54.50,54.32,54.88,54.09
54.43,55.24,55.30,54.34
54.77,55.58,55.89,54.77
55.55,55.84,56.34,55.12
56.02,55.33,56.77,55.11
54.67,55.06,55.24,54.48
54.84,54.95,54.98,54.02
55.64,55.11,56.11,55.09
54.65,55.69,55.98,54.53
55.84,56.52,56.96,55.75
56.45,55.69,56.90,55.69
55.84,56.40,56.45,55.10
56.50,55.81,56.72,55.42
55.62,55.19,55.77,54.95
55.17,56.57,56.75,54.77
56.87,57.03,57.24,56.35
57.20,56.80,57.47,56.69
56.31,56.41,56.81,56.13
56.81,56.08,56.96,56.01
56.10,57.46,57.63,56.06
57.70,57.51,58.46,57.16
57.87,57.58,58.05,57.34
57.73,57.77,57.96,57.49
57.90,57.34,58.75,57.22
