BCR,C.R. Bard,NASDAQ
95.36,94.87,95.73,94.56
95.56,95.26,96.29,94.92
95.81,95.74,96.49,95.56
95.94,95.85,96.30,95.28
95.55,96.25,96.38,94.95
96.50,97.06,97.10,95.93
97.48,97.45,98.00,97.16
97.55,96.90,97.73,96.49
97.29,97.39,97.53,96.78
97.65,98.54,98.65,97.50
98.54,99.36,99.40,98.33
99.40,100.88,100.88,98.50
100.91,100.47,101.25,100.40
100.11,100.14,100.58,99.96
100.43,100.88,101.05,100.38
99.67,100.69,101.15,99.00
100.82,99.88,101.11,99.72
100.13,100.36,100.79,99.88
100.22,100.50,100.78,100.17
100.68,100.56,101.04,100.37
100.31,101.24,101.51,100.10
101.48,102.05,102.39,101.48
101.20,101.63,101.89,101.03
101.61,102.17,102.22,101.44
103.02,103.07,103.45,102.71
103.10,104.43,104.90,103.03
103.85,102.95,103.85,102.00
103.33,103.20,103.37,102.28
103.23,104.25,104.37,103.02
103.88,105.96,106.23,103.54
106.23,106.75,107.00,105.97
107.00,107.58,108.36,106.96
107.60,107.93,108.00,107.02
107.52,106.27,107.90,106.15
106.01,106.42,107.15,105.64
107.27,106.64,107.46,106.32
106.57,107.36,107.50,106.46
107.50,109.35,109.50,107.46
109.38,108.82,109.90,108.28
108.65,109.54,109.93,108.00
109.36,109.56,109.99,108.75
109.12,109.34,110.00,108.99
109.16,110.64,110.86,108.75
110.43,112.91,113.11,110.43
113.10,112.12,113.13,111.21
111.98,111.62,112.28,110.08
110.62,110.32,110.70,109.88
110.44,110.43,110.62,109.92
110.04,110.58,110.60,109.46
109.84,110.65,110.82,109.23
110.65,110.89,110.97,110.44
111.53,111.78,111.85,110.68
111.19,110.43,111.60,110.34
110.31,110.08,110.33,109.17
109.03,108.29,109.24,108.18
108.11,107.93,108.54,107.77
108.26,108.32,108.82,107.63
108.24,108.49,108.91,107.93
109.26,110.49,111.00,108.64
110.10,108.98,110.15,108.72
108.98,108.92,109.49,108.74
109.95,110.53,110.74,109.72
109.71,108.75,110.45,108.30
108.89,108.67,109.16,108.17
109.40,108.67,109.84,108.53
108.64,109.14,109.41,108.42
109.47,109.74,109.99,109.38
109.81,109.16,110.13,109.10
108.30,108.80,108.88,106.34
108.90,107.52,108.98,107.24
107.30,108.26,108.55,107.18
108.68,110.18,110.37,108.44
110.40,109.16,110.93,109.07
109.25,109.86,110.12,109.25
109.67,111.69,111.82,109.58
111.40,111.82,112.00,111.40
111.83,113.24,113.27,111.70
113.75,113.32,113.84,113.03
112.26,112.82,112.90,111.96
112.11,111.29,112.18,111.07
111.22,112.27,113.06,111.19
112.66,112.38,113.59,112.18
112.72,112.50,113.35,112.30
112.82,111.80,112.82,111.34
111.86,111.44,111.99,110.72
111.67,112.98,113.21,111.67
113.21,112.23,113.21,111.67
111.76,112.71,113.77,111.30
103.92,99.58,105.09,99.20
100.31,100.44,101.07,99.30
100.35,100.38,101.37,100.28
100.08,99.06,100.60,98.99
99.43,97.86,100.29,97.71
97.15,98.68,99.19,96.81
99.80,96.45,100.73,95.33
96.45,93.98,98.18,93.93
94.16,94.37,94.84,92.54
93.32,91.25,94.11,91.22
91.63,90.42,92.00,89.12
88.64,86.01,89.39,85.05
86.14,90.48,90.56,85.05
88.97,87.11,89.36,86.76
87.70,90.94,91.74,87.14
91.53,91.72,92.09,90.56
92.34,92.37,92.81,91.30
91.63,90.80,91.81,90.16
91.33,90.63,92.12,89.56
88.95,87.63,89.39,86.87
87.05,87.47,89.26,86.68
88.90,86.99,89.13,86.65
87.01,89.84,89.89,86.39
89.47,90.23,90.39,88.20
90.49,89.46,90.93,88.88
89.33,91.46,91.52,87.70
92.11,93.39,93.59,92.06
92.77,94.16,94.76,92.06
94.77,95.26,95.79,94.35
95.28,94.79,96.71,94.50
93.54,91.85,93.59,91.54
91.02,91.76,92.14,89.29
93.15,94.21,94.36,92.68
93.73,93.57,95.28,93.07
92.32,89.62,92.43,89.50
89.13,89.39,89.48,87.53
89.48,89.89,90.56,88.84
89.99,90.28,91.35,88.62
91.15,91.27,91.66,89.58
91.22,91.64,92.32,91.07
90.11,90.28,90.82,88.98
90.91,91.67,93.26,90.63
91.61,88.60,91.75,88.60
86.42,86.61,87.14,85.55
85.96,85.81,86.97,84.80
86.46,87.49,87.55,85.92
88.54,89.30,90.86,87.88
89.33,88.32,89.82,87.76
89.51,88.89,90.15,87.57
88.08,87.54,89.66,87.45
87.06,84.66,87.73,84.44
83.79,85.69,85.96,83.17
85.53,85.61,85.96,84.54
85.81,85.08,85.81,84.15
85.41,83.93,85.41,83.79
85.13,86.43,86.63,85.13
86.16,85.73,86.32,85.10
86.04,86.71,87.83,85.71
86.19,86.97,87.59,85.49
87.83,86.57,87.87,86.26
86.16,84.29,86.25,84.08
84.37,85.72,86.42,83.45
85.91,86.78,87.57,85.76
86.24,85.49,86.61,84.57
86.33,87.27,87.68,86.22
86.88,88.70,89.32,86.68
89.03,87.70,89.61,87.47
81.04,83.40,85.46,80.80
86.48,85.54,87.19,84.34
86.26,87.81,88.06,86.01
86.48,85.95,86.92,85.79
83.81,83.94,85.42,83.53
84.45,85.57,85.64,84.37
86.70,87.44,87.56,85.78
87.12,87.30,88.08,86.28
87.31,88.11,88.16,86.43
88.23,89.33,89.39,87.36
87.81,87.02,88.22,86.71
87.95,87.50,88.22,87.16
88.40,88.89,89.29,88.40
88.67,87.94,88.72,87.54
87.95,87.95,88.52,87.63
87.09,86.90,87.96,86.55
86.45,86.07,86.71,85.57
86.66,85.25,86.70,85.14
84.53,84.23,84.77,83.58
83.90,83.90,84.38,83.03
83.44,82.39,83.61,82.39
81.91,83.37,83.37,81.86
85.07,84.69,85.45,84.13
84.99,83.77,85.26,83.47
85.96,87.19,87.20,85.86
87.21,87.25,88.31,86.88
87.75,85.71,88.12,85.44
86.68,86.51,87.50,86.00
86.77,85.89,86.93,85.61
85.62,86.12,86.59,84.91
85.70,84.12,85.86,84.02
84.12,85.70,85.96,84.12
85.24,84.58,85.37,84.13
85.04,84.44,85.26,83.98
84.09,84.61,85.10,84.05
85.67,86.71,87.15,85.18
87.01,86.16,87.35,85.82
86.25,85.28,87.09,85.26
86.46,87.78,87.88,86.45
82.45,84.04,84.04,82.22
84.30,84.23,84.90,83.65
84.43,85.12,85.13,83.99
85.15,85.60,85.85,84.81
85.74,84.49,85.74,84.43
84.60,85.78,85.96,84.60
85.74,85.50,86.32,85.41
86.82,86.37,87.80,86.27
86.39,86.08,86.63,84.42
86.02,85.94,86.27,85.67
85.94,85.68,86.19,84.97
85.80,85.45,86.13,84.62
85.85,85.75,86.38,85.64
85.65,85.83,86.01,85.32
85.91,86.05,86.26,84.56
85.60,85.45,86.02,85.26
86.14,85.87,86.92,85.49
85.94,86.28,86.52,85.46
86.43,89.36,89.99,86.16
89.36,90.01,90.17,89.05
89.90,90.03,90.30,89.46
89.95,91.85,92.65,89.75
91.87,93.51,93.83,91.74
93.76,93.24,94.12,92.58
93.12,93.32,93.84,92.95
92.67,92.13,92.69,91.69
93.46,92.52,93.58,92.50
93.51,93.79,95.39,93.51
93.78,92.70,94.10,92.69
93.58,93.48,93.82,93.00
93.16,93.23,93.75,93.03
92.78,93.04,93.31,92.62
93.05,92.75,93.69,92.53
92.74,92.31,92.77,92.00
91.72,95.67,95.70,91.41
95.96,95.37,97.21,94.70
95.43,95.62,95.79,95.04
95.62,95.26,95.72,94.80
95.11,95.44,95.48,94.71
95.85,95.53,97.27,95.26
95.44,94.05,95.78,93.35
93.98,94.05,94.60,93.56
93.85,93.75,94.36,93.56
93.77,94.07,94.42,93.76
93.57,94.04,94.32,93.16
93.99,94.15,94.87,93.57
94.37,93.62,94.37,93.59
93.37,93.47,94.18,92.62
93.40,93.30,93.91,93.13
93.17,93.11,93.30,92.52
92.27,92.00,92.87,91.91
92.05,92.30,92.52,91.92
92.73,94.00,94.21,92.61
94.05,94.07,94.74,93.86
94.15,94.30,94.60,94.08
94.96,95.72,95.84,94.50
95.39,95.07,95.70,94.73
95.02,96.21,96.22,94.58
96.48,97.28,97.30,95.98
96.79,96.44,96.97,96.11
95.90,95.68,96.15,95.42
95.89,95.92,96.13,95.29
95.97,96.28,96.92,95.89
96.61,96.56,96.96,96.39
97.00,99.05,99.06,96.99
98.96,98.79,99.38,98.35
98.84,99.00,99.05,98.40
98.51,98.94,99.16,98.07
99.20,98.72,99.64,98.70
98.93,99.15,99.47,98.48
98.91,98.58,99.29,98.30
97.93,97.61,98.64,97.58
97.28,98.01,98.09,97.18
96.78,96.73,96.99,96.49
96.47,95.31,96.55,95.31
95.96,95.89,96.63,95.39
96.12,96.57,97.04,95.27
96.35,96.03,97.00,95.99
96.38,95.87,96.38,95.38
97.00,98.02,98.75,96.40
97.35,98.00,98.54,97.35
98.03,98.30,98.35,97.03
98.45,98.07,98.81,97.79
97.62,97.83,97.86,96.67
97.37,97.98,98.22,97.26
98.51,97.47,98.51,96.57
97.23,98.77,99.02,96.07
99.05,98.71,99.63,98.14
98.66,98.96,99.48,98.15
98.86,99.62,100.08,98.14
99.00,99.88,99.98,98.71
99.74,99.72,100.13,99.22
99.43,99.38,99.69,98.98
99.16,99.86,100.08,98.90
99.41,100.71,100.91,98.97
99.74,100.42,101.01,99.30
101.20,101.70,102.70,100.74
101.25,101.18,101.85,100.76
100.34,100.61,100.91,99.75
100.45,100.67,101.82,100.40
100.92,99.10,100.97,99.07
99.25,98.04,99.66,98.00
98.56,96.78,98.56,96.48
96.90,99.10,99.10,96.80
99.13,98.69,99.40,98.26
98.39,99.10,99.24,97.42
99.05,99.99,100.43,98.39
99.69,99.90,100.33,99.56
100.26,100.31,100.89,99.83
99.86,98.12,100.13,98.12
97.62,97.19,98.08,97.02
96.31,95.60,96.50,95.48
95.27,95.46,95.61,94.91
95.01,96.41,96.54,94.90
96.57,97.68,97.68,96.15
98.59,98.55,98.93,98.27
98.24,99.61,99.68,98.18
100.00,98.43,100.40,98.41
98.71,98.48,98.71,97.61
98.48,99.44,99.97,98.31
100.08,98.95,101.13,97.28
99.44,102.42,102.82,99.02
101.98,103.20,103.48,101.97
103.59,104.57,105.23,103.54
104.55,104.75,105.04,103.98
102.87,103.82,105.79,102.87
103.85,104.43,104.86,103.28
104.38,103.60,104.38,103.09
103.72,103.66,103.95,103.05
102.35,103.87,104.68,102.35
103.77,104.82,105.05,103.17
106.00,107.44,107.91,105.40
107.04,107.83,107.94,106.95
107.47,107.85,107.85,106.76
107.51,107.68,108.31,107.31
107.23,106.68,107.59,105.98
106.69,107.04,107.15,106.61
107.04,105.68,107.43,105.45
105.71,106.45,106.78,105.57
106.00,105.61,106.04,104.69
105.97,107.71,108.05,105.97
107.73,106.57,108.07,106.27
106.78,107.22,107.48,105.61
106.77,106.68,107.13,106.29
106.22,107.50,107.99,106.00
106.98,105.71,106.98,105.24
104.87,103.97,104.99,103.31
103.92,102.67,104.12,102.30
102.51,103.30,104.18,102.24
97.00,98.46,100.00,97.00
98.77,99.59,99.95,97.47
99.44,98.24,99.96,97.87
97.92,97.26,98.24,97.19
97.76,97.45,98.07,96.64
95.19,96.35,96.70,93.69
97.29,97.46,98.38,96.87
97.40,97.85,98.22,97.00
98.19,97.90,98.77,97.64
97.95,97.94,98.25,97.41
98.07,97.72,98.33,97.29
97.80,98.57,98.61,97.42
98.41,98.41,98.67,98.07
98.84,98.04,99.24,97.84
98.03,98.68,98.76,97.54
98.78,98.35,98.99,98.28
97.96,98.40,98.62,97.93
98.42,98.01,98.42,97.80
98.17,98.41,98.85,97.76
98.42,97.41,98.42,97.26
97.42,97.30,97.77,97.03
97.07,97.95,98.28,97.02
97.93,97.70,98.30,97.61
97.41,97.69,97.93,97.31
97.69,97.97,98.64,97.49
97.62,97.78,98.17,97.17
98.15,98.11,98.49,97.52
98.21,98.07,98.78,97.55
98.31,99.44,99.64,98.10
99.82,100.76,101.09,99.62
101.20,100.80,101.40,100.11
100.51,99.47,100.72,99.39
99.49,99.72,100.34,99.25
99.83,100.95,101.37,99.75
100.89,101.92,102.30,100.37
101.56,102.23,102.63,101.24
101.72,103.13,103.75,101.69
102.86,103.66,104.02,102.86
103.79,103.75,104.21,103.22
103.59,104.42,104.46,103.08
104.80,104.74,105.00,104.21
105.00,105.48,105.89,104.55
105.70,104.98,105.99,104.81
105.26,104.27,105.31,104.23
104.57,104.61,105.05,103.96
104.08,104.65,105.00,103.56
105.00,104.98,105.54,104.68
105.00,105.41,105.45,104.59
105.44,105.51,105.73,104.79
105.99,105.99,106.49,105.48
106.40,105.60,106.41,105.41
105.31,105.37,105.53,105.07
105.11,102.30,105.11,102.23
102.25,102.21,102.48,101.80
102.66,101.98,103.26,101.98
102.21,100.98,102.92,100.79
101.32,101.22,101.38,100.65
102.08,102.23,102.26,101.57
101.90,102.62,102.72,101.63
101.91,101.00,102.46,100.99
100.70,99.72,100.92,99.36
96.80,98.59,99.57,96.80
98.46,98.70,100.46,97.63
97.19,96.25,98.38,95.74
96.48,96.93,97.76,96.04
97.06,96.44,97.36,96.16
96.87,96.19,97.18,96.03
96.26,97.26,97.63,95.51
97.46,96.07,97.70,95.77
95.41,96.90,97.22,95.41
97.00,97.71,98.26,96.95
97.29,96.05,97.44,95.41
95.20,94.82,95.98,94.59
94.75,94.73,95.81,94.21
95.04,94.70,95.13,94.08
94.02,94.70,95.59,93.79
94.76,95.39,95.47,94.38
95.40,95.04,95.65,94.66
95.14,95.78,96.00,94.95
96.53,97.28,97.28,95.97
97.18,97.24,97.50,96.29
97.52,97.54,97.86,96.98
97.79,98.54,98.59,97.20
98.28,98.21,98.56,97.42
98.24,97.80,98.77,97.73
97.27,97.62,97.93,96.52
98.09,98.74,99.19,97.91
98.78,99.01,99.15,98.29
99.21,98.16,99.89,98.00
98.34,98.21,98.59,97.67
98.17,97.45,98.19,97.28
97.49,97.39,97.54,96.91
97.60,97.46,97.76,96.81
97.26,97.81,98.13,96.96
98.15,98.13,98.86,97.12
98.10,96.98,98.50,96.87
97.09,96.49,97.44,96.37
96.10,96.22,96.86,95.93
96.45,96.79,96.83,96.01
96.36,97.63,97.81,95.47
97.90,97.93,98.61,96.86
97.85,98.56,98.65,97.35
98.38,98.18,100.59,97.29
97.66,96.57,98.86,96.33
96.57,96.77,97.00,96.46
96.84,97.14,97.47,96.27
96.77,95.99,96.92,95.99
95.76,97.74,97.76,95.38
99.39,101.83,101.85,99.39
100.30,101.45,101.56,99.97
101.55,100.93,101.69,100.83
100.57,101.85,102.17,100.57
101.70,103.14,103.15,101.41
103.43,102.95,104.06,102.71
103.03,102.78,103.59,102.11
102.65,103.13,103.67,102.02
103.39,102.68,104.63,102.54
102.06,102.00,102.28,101.57
101.93,101.68,102.01,101.40
101.80,101.62,102.36,101.60
101.55,101.59,101.86,100.36
101.52,101.59,101.75,101.15
105.54,101.98,105.54,101.33
101.98,103.51,103.55,101.71
103.84,103.44,104.61,102.16
103.64,103.34,103.73,102.41
103.25,102.72,103.33,102.37
102.74,102.23,102.99,101.81
101.95,102.07,102.53,100.90
99.85,99.35,100.77,97.79
99.21,98.59,99.50,98.08
98.49,99.89,99.98,98.49
99.66,101.56,101.94,99.47
101.40,101.08,102.05,101.00
101.20,101.19,101.46,100.94
101.20,100.93,101.40,100.81
101.09,101.32,101.49,100.76
101.07,101.45,101.84,101.07
101.35,101.00,101.43,100.67
100.96,100.79,101.54,100.33
100.54,100.30,100.88,99.80
100.06,99.60,100.39,99.47
99.40,99.01,100.01,98.43
98.32,98.27,98.60,97.36
98.68,98.02,99.19,98.01
98.40,97.87,98.51,97.26
97.50,98.83,99.44,97.14
98.97,98.85,99.53,98.67
98.66,98.80,99.39,97.93
98.66,98.87,98.87,97.70
99.13,99.81,100.24,98.97
99.99,99.32,100.37,99.19
99.50,99.56,99.88,99.35
100.00,100.67,102.47,100.00
100.72,100.91,101.03,100.27
100.93,101.20,101.38,100.75
101.26,101.22,101.37,100.66
101.28,102.00,102.02,101.00
101.99,101.88,102.21,101.36
101.13,101.38,101.61,100.87
101.65,100.98,101.88,100.58
101.25,100.80,101.44,100.60
100.51,100.06,101.02,100.01
100.51,100.62,100.71,100.29
100.91,100.30,100.91,99.77
100.65,100.79,100.96,100.45
100.30,100.01,100.65,99.55
100.03,100.78,101.09,99.65
100.60,100.16,100.93,99.84
100.94,100.59,101.11,100.30
100.83,100.72,101.19,100.18
100.91,101.27,101.81,100.78
100.72,100.11,100.92,99.95
99.95,100.33,100.46,99.50
100.70,101.83,102.37,100.62
101.98,102.84,103.11,101.98
102.85,103.00,103.18,102.79
102.95,103.05,103.32,102.59
102.92,101.68,103.16,101.68
101.76,102.08,102.20,100.82
101.37,100.75,101.72,99.88
101.02,99.64,101.40,99.00
98.36,99.53,99.79,97.61
99.61,98.25,99.69,98.23
98.73,99.15,99.87,98.73
99.66,99.08,100.00,97.90
99.08,99.09,99.66,98.04
99.00,98.55,99.09,98.27
98.69,98.97,99.07,98.21
98.92,99.36,99.74,98.60
99.16,99.50,99.87,99.11
99.79,100.91,101.14,99.53
101.10,101.57,101.88,101.10
101.55,101.17,101.80,101.04
99.44,101.98,102.00,99.44
101.85,103.05,103.13,101.75
102.79,103.52,103.71,102.71
103.81,104.61,104.68,103.11
104.24,105.00,105.54,104.06
105.02,106.75,107.18,105.02
106.72,106.98,106.99,106.29
106.91,106.65,107.27,106.37
106.75,107.41,107.47,106.66
107.18,106.97,107.65,106.85
107.29,106.71,107.83,106.50
106.61,105.28,107.95,105.05
104.68,105.15,105.28,104.22
104.82,105.14,105.51,104.39
105.75,105.98,106.98,105.62
105.26,104.13,105.39,103.23
104.15,104.46,104.96,104.07
104.04,103.09,104.88,103.09
103.22,103.87,103.87,102.55
104.05,104.15,104.57,103.10
103.81,104.00,104.38,103.37
104.12,105.06,105.06,103.09
105.25,105.40,105.88,104.81
105.16,105.71,105.94,104.66
104.76,104.71,105.98,103.82
105.24,105.11,105.54,103.82
105.30,109.31,109.37,105.18
109.26,111.04,112.28,108.76
111.78,110.63,111.95,109.77
111.05,111.80,112.09,110.78
111.77,110.58,112.36,110.41
110.16,109.00,110.44,108.81
