PPLT,ETFS Physical Platinum Shares,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
140.07,139.04,140.32,139.00
141.24,141.36,142.00,140.92
141.14,141.41,141.88,140.13
140.03,140.64,140.99,139.96
141.53,141.00,141.76,140.80
141.49,141.58,142.07,141.42
138.54,136.86,138.83,136.38
133.86,135.45,136.33,133.00
136.91,137.82,139.01,136.60
139.34,141.53,141.53,139.10
140.26,140.54,141.26,140.00
139.28,139.83,140.04,138.96
139.93,138.56,139.98,138.13
138.82,141.16,141.40,138.35
144.28,144.62,145.31,143.92
146.69,147.57,148.06,146.23
148.10,147.98,148.50,147.02
146.12,147.20,147.28,145.12
150.25,150.32,151.05,150.11
149.00,150.54,150.90,148.68
151.21,150.31,151.39,149.52
149.97,151.69,151.70,149.64
152.56,154.48,154.64,152.54
152.51,152.88,153.54,152.16
153.38,156.41,156.48,152.50
160.06,159.02,160.06,158.56
158.94,160.15,160.30,158.94
158.90,159.10,159.54,158.63
160.54,156.86,160.68,156.10
159.10,159.74,160.56,158.54
160.09,160.78,161.27,159.98
160.70,160.01,161.08,159.40
159.18,160.60,160.76,159.02
160.28,163.05,163.18,159.95
162.94,164.50,164.58,162.90
164.82,163.45,164.94,163.30
162.30,163.80,163.88,161.86
163.80,162.93,163.96,162.02
161.58,160.99,161.68,160.13
162.30,161.34,162.30,160.90
159.30,160.37,160.70,158.92
161.84,161.12,161.84,160.54
165.65,166.54,166.95,165.46
169.00,170.30,170.97,168.96
170.38,170.32,170.65,169.49
168.98,169.06,170.10,168.66
168.38,168.49,169.30,168.08
169.30,169.74,170.35,169.07
171.08,165.62,171.46,165.32
166.90,167.92,168.22,166.42
167.92,167.42,168.12,166.58
164.84,163.66,164.88,163.27
159.22,159.34,160.22,158.84
160.45,160.94,161.22,160.10
161.09,163.56,164.08,160.76
163.45,166.30,166.37,163.19
166.71,167.18,168.31,166.00
166.84,166.52,168.02,166.06
165.67,164.83,166.20,164.00
165.35,165.90,166.78,165.00
165.18,164.98,165.84,164.98
165.46,165.78,166.24,164.90
163.46,163.15,164.04,162.76
162.65,161.68,162.65,161.48
158.30,159.74,160.08,158.14
159.52,160.44,161.44,159.26
161.94,162.63,162.63,161.64
164.00,163.15,164.28,162.98
162.26,161.35,162.30,161.09
161.72,160.57,161.93,160.10
161.83,161.72,162.10,160.37
162.06,162.97,163.42,162.00
164.05,162.04,164.05,161.64
159.00,157.75,159.08,157.36
157.42,158.18,158.40,157.06
159.38,159.04,159.68,158.76
157.98,157.50,158.12,156.36
157.12,156.09,157.38,155.92
156.14,158.07,158.38,156.14
157.88,156.14,157.88,156.08
155.26,155.34,155.62,154.52
155.44,156.14,156.44,154.60
156.01,155.34,156.71,155.28
156.20,155.68,156.81,155.14
155.56,155.82,156.30,155.56
153.58,153.73,153.90,153.11
153.54,152.36,153.54,152.26
153.20,153.26,153.60,152.04
153.35,154.62,155.12,153.26
155.22,155.06,155.44,154.90
154.66,154.55,155.16,154.32
154.58,154.98,155.50,154.35
154.02,154.10,154.26,153.65
153.14,151.03,153.14,150.76
150.86,150.64,151.78,149.94
150.74,150.70,150.81,150.15
149.54,149.06,149.54,148.00
147.62,147.68,148.24,146.92
147.52,146.59,147.86,146.56
144.41,144.43,145.76,144.12
142.94,141.84,143.02,141.71
142.44,141.25,142.92,141.06
140.90,140.96,142.26,140.38
142.59,143.10,143.82,142.05
143.95,143.42,144.58,143.10
143.88,144.98,144.99,143.78
144.01,142.59,144.40,142.16
140.85,140.50,140.85,138.66
141.10,139.88,141.30,139.25
140.12,141.07,141.24,140.00
142.06,140.70,142.65,140.26
138.50,138.22,138.68,136.74
138.78,139.54,139.80,137.86
139.71,142.17,142.60,139.64
141.76,141.16,142.00,140.38
141.84,141.84,142.38,141.59
144.33,144.27,144.93,143.90
144.72,142.12,144.72,141.72
140.19,141.33,141.68,139.80
143.08,142.49,143.10,142.12
142.20,143.53,143.60,141.86
144.28,144.29,144.91,143.85
146.39,147.42,147.42,145.22
147.39,146.39,147.42,146.10
146.60,146.31,146.60,146.08
146.62,145.92,147.21,145.91
144.32,143.44,146.18,143.13
143.58,141.68,143.92,141.15
141.45,141.42,141.76,140.55
141.36,141.88,142.14,140.82
141.38,140.59,141.56,140.41
139.54,138.88,139.89,138.80
138.01,136.79,138.01,136.18
140.33,142.66,142.80,139.69
141.97,143.34,143.40,141.74
145.38,146.46,146.46,145.10
144.70,145.14,145.62,144.36
143.31,142.09,143.82,141.87
142.03,142.20,142.66,141.94
142.90,140.20,142.90,140.00
140.35,140.42,141.12,139.89
137.98,139.54,139.85,137.98
140.32,140.70,141.27,140.29
139.16,139.68,140.16,139.16
139.04,139.36,139.95,138.70
139.00,138.87,139.18,138.14
139.35,139.78,140.14,139.24
138.80,139.38,139.47,138.67
137.54,137.93,138.00,137.22
137.51,136.50,138.41,135.80
137.94,137.78,138.29,137.28
139.08,138.41,139.42,138.06
139.09,139.02,139.50,138.40
138.56,139.50,139.78,138.15
140.65,139.46,140.74,139.40
137.20,137.74,138.27,136.91
136.92,136.37,137.44,136.20
137.11,138.07,139.66,137.00
137.65,138.21,138.32,137.46
138.83,138.91,139.20,138.50
138.54,138.84,138.87,138.00
138.87,139.20,139.30,138.56
137.90,137.98,138.40,137.55
137.64,136.56,137.77,136.51
137.89,137.44,138.00,137.40
137.42,137.31,137.86,137.10
138.00,142.14,142.18,137.66
143.81,145.28,145.28,143.18
144.46,146.98,147.50,144.35
148.10,148.30,148.70,147.09
150.17,151.36,151.68,149.35
152.34,151.60,153.70,151.40
152.81,152.42,153.01,151.24
151.74,151.78,152.92,151.60
149.93,149.30,150.13,149.20
149.76,149.20,149.93,148.85
150.04,148.51,150.14,147.94
149.50,151.52,151.52,148.44
153.28,154.34,154.50,152.47
153.84,154.58,155.11,153.26
155.98,155.95,156.60,155.61
156.50,156.81,157.96,156.50
157.99,156.56,158.34,156.47
157.98,157.89,158.54,157.79
162.14,162.34,162.38,160.60
163.22,165.66,166.16,160.45
167.45,167.99,168.90,167.39
166.03,163.70,167.13,163.46
164.16,159.82,165.00,159.18
160.63,161.18,161.44,160.10
159.04,159.91,160.16,158.11
161.63,160.83,161.97,160.48
158.66,159.64,160.12,158.50
160.56,160.12,161.66,160.00
159.63,160.68,160.96,158.60
162.58,162.33,162.84,161.52
162.88,163.38,163.87,162.60
164.71,165.29,165.42,164.54
165.50,165.07,165.76,164.83
165.97,166.16,166.24,165.56
167.59,169.22,169.30,167.48
168.72,167.59,169.27,167.22
165.69,166.54,166.76,165.66
166.85,166.02,167.25,165.63
164.22,164.50,165.50,164.04
165.32,165.20,166.18,165.01
164.22,162.51,164.54,162.51
160.96,161.15,161.32,159.45
161.41,161.76,162.00,161.28
162.70,163.78,164.01,162.58
162.20,161.20,162.56,161.20
160.73,159.19,160.73,158.29
157.88,158.08,158.44,157.58
155.46,154.49,155.46,154.26
155.10,153.02,155.20,152.49
154.68,154.18,155.26,153.84
154.33,152.08,154.33,151.30
154.22,154.45,154.90,154.08
154.97,154.33,155.12,154.12
153.10,151.90,153.10,151.80
152.16,151.81,152.16,151.14
151.78,152.76,153.66,151.14
152.90,151.51,152.93,150.68
151.46,152.06,152.15,150.64
153.72,153.17,154.42,152.66
154.03,153.89,154.11,153.34
155.21,155.70,156.16,155.21
155.90,156.02,156.71,155.65
155.08,154.33,155.08,153.53
152.84,153.06,153.59,152.33
155.15,155.25,155.62,154.75
155.11,154.69,155.70,154.46
154.85,155.26,155.50,154.55
156.20,159.63,159.64,156.20
158.58,158.68,158.78,157.96
158.48,158.49,159.14,158.33
155.90,157.84,158.60,155.66
159.16,158.30,159.62,158.29
158.50,157.44,158.92,156.86
157.06,157.99,158.34,156.81
155.99,155.99,156.40,155.28
