HRT,Arrhythmia Research Technology Inc. Common Stock,NASDAQ
3.12,3.28,3.28,3.12
3.30,3.30,3.51,3.12
3.30,3.20,3.32,3.12
3.26,3.33,3.35,3.25
3.33,3.33,3.33,3.05
3.15,3.24,3.25,3.08
3.27,3.20,3.46,3.20
3.25,3.26,3.31,3.25
3.05,3.33,3.37,3.05
3.33,3.33,3.33,3.33
3.23,3.23,3.23,3.05
2.85,3.35,3.35,2.80
3.40,3.81,3.87,3.32
3.88,3.51,3.88,3.51
3.41,3.16,3.52,3.12
3.37,3.25,3.41,3.21
3.49,3.35,3.71,3.25
3.38,3.45,3.48,3.35
3.45,3.40,3.45,3.40
3.41,3.35,3.41,3.35
3.87,3.49,3.87,3.43
3.60,3.73,3.73,3.60
4.39,3.47,4.39,3.27
3.28,3.27,3.28,3.27
3.27,3.39,3.40,3.22
3.48,3.70,3.70,3.48
3.61,3.53,3.71,3.53
3.53,3.53,3.53,3.53
3.77,3.70,3.77,3.69
3.70,3.70,3.70,3.66
3.66,3.41,3.66,3.41
3.58,3.78,3.86,3.58
3.95,3.82,3.95,3.75
3.73,3.77,3.85,3.69
3.70,3.89,3.89,3.70
3.98,3.98,3.98,3.98
3.99,4.15,4.18,3.99
4.04,3.80,4.04,3.37
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.72,3.72,3.72,3.72
3.75,3.75,3.79,3.75
3.75,3.79,3.85,3.71
3.62,3.45,3.76,3.45
3.45,3.63,3.66,3.45
3.81,3.78,3.81,3.70
3.73,3.73,3.73,3.73
3.77,3.81,3.89,3.57
3.88,4.00,4.02,3.88
4.03,3.92,4.03,3.84
3.86,3.86,3.86,3.86
3.75,3.79,3.86,3.60
3.70,3.63,3.71,3.56
3.61,3.65,3.65,3.61
3.85,3.63,3.85,3.55
3.59,3.60,3.60,3.59
3.60,3.60,3.60,3.60
3.65,3.55,3.66,3.55
3.32,3.53,3.58,3.32
3.54,3.63,3.63,3.53
3.63,3.57,3.63,3.54
3.60,3.63,3.63,3.53
3.63,3.63,3.78,3.63
3.63,3.63,3.63,3.63
3.59,3.69,3.70,3.59
3.73,3.60,3.73,3.60
3.61,3.70,3.78,3.59
3.69,3.66,3.83,3.66
3.72,3.72,3.72,3.72
3.60,3.60,3.60,3.60
3.70,3.81,4.34,3.70
3.81,3.91,3.95,3.81
3.91,3.74,3.91,3.72
3.74,3.74,3.74,3.74
3.85,3.90,3.90,3.85
3.85,3.85,3.85,3.85
3.41,3.70,3.75,3.40
3.67,3.61,3.67,3.56
3.57,3.55,3.63,3.55
3.54,3.65,3.65,3.54
3.51,3.43,3.72,3.25
3.46,3.31,3.46,3.28
3.30,3.49,3.49,3.30
3.49,3.49,3.49,3.49
3.55,3.55,3.55,3.55
3.48,3.57,3.57,3.48
3.42,3.43,3.43,3.40
3.25,3.16,3.30,3.13
3.29,3.07,3.29,3.07
3.10,3.05,3.20,3.05
3.15,3.10,3.16,3.05
3.02,3.02,3.02,3.01
3.02,3.06,3.07,3.02
3.11,3.02,3.11,3.02
3.01,3.00,3.06,2.90
3.21,3.05,3.21,3.05
3.05,2.95,3.05,2.95
2.95,2.96,2.96,2.88
2.90,2.89,2.90,2.89
2.89,2.89,2.89,2.89
2.89,2.89,2.89,2.89
2.88,2.88,2.88,2.82
2.73,2.72,2.75,2.72
2.69,2.70,2.70,2.68
2.72,2.70,2.72,2.70
2.67,2.88,2.89,2.67
3.02,2.92,3.05,2.92
3.15,3.16,3.16,3.14
3.08,3.33,3.33,3.05
3.34,3.08,3.34,3.08
3.09,3.02,3.21,3.02
2.99,2.95,2.99,2.95
2.96,2.90,2.96,2.85
2.87,2.79,2.87,2.75
2.75,2.85,2.85,2.60
2.82,2.88,2.93,2.79
3.04,2.86,3.04,2.86
3.01,2.93,3.01,2.93
3.18,2.94,3.25,2.94
3.17,3.04,3.20,3.01
3.05,2.82,3.05,2.74
2.81,2.81,2.93,2.80
3.00,2.90,3.00,2.80
2.80,2.92,2.92,2.80
2.99,2.86,3.12,2.86
2.92,2.84,2.92,2.82
3.00,3.00,3.00,3.00
2.98,2.83,2.98,2.83
2.80,2.70,2.81,2.70
2.70,2.70,2.70,2.70
2.85,2.84,2.85,2.84
2.84,2.83,2.84,2.83
2.99,2.96,2.99,2.96
2.96,2.96,2.96,2.96
2.96,2.96,2.96,2.96
2.96,2.96,2.96,2.96
2.99,2.95,2.99,2.95
2.99,2.99,2.99,2.99
2.82,3.00,3.00,2.82
3.00,3.00,3.00,3.00
2.99,3.06,3.06,2.99
3.01,3.01,3.01,2.86
2.98,2.97,2.98,2.90
2.97,2.97,2.97,2.97
3.09,3.00,3.10,3.00
2.95,2.95,2.95,2.95
2.95,2.95,2.95,2.95
2.90,2.85,2.90,2.85
2.85,2.85,2.85,2.85
2.86,2.89,2.89,2.85
2.91,3.00,3.00,2.91
2.90,2.90,2.90,2.90
2.95,2.92,2.95,2.90
2.90,2.90,2.90,2.90
2.90,2.90,2.90,2.90
2.90,2.90,2.90,2.90
2.84,2.84,2.84,2.84
2.82,2.84,2.90,2.82
2.86,2.89,2.89,2.84
2.89,2.82,3.00,2.82
2.83,3.00,3.00,2.82
2.99,3.00,3.14,2.99
3.09,2.87,3.09,2.85
2.86,2.93,2.93,2.86
2.82,2.84,2.84,2.82
2.90,2.93,2.93,2.90
2.85,2.70,2.85,2.68
2.70,2.70,2.75,2.70
2.71,2.71,2.71,2.70
2.70,2.70,2.70,2.70
2.70,2.45,2.70,2.45
2.31,2.25,2.44,2.23
2.13,2.30,2.54,2.13
2.40,2.25,2.47,2.25
2.36,2.53,2.53,2.36
2.49,2.47,2.50,2.46
2.42,2.20,2.42,2.18
2.25,2.18,2.25,2.18
2.18,2.45,2.70,2.18
2.47,2.39,2.64,2.39
2.27,2.27,2.29,2.25
2.23,2.15,2.25,2.15
2.20,2.19,2.53,2.15
2.19,2.15,2.20,2.15
2.15,2.15,2.15,2.15
2.17,2.15,2.17,2.15
2.15,2.15,2.15,2.15
2.20,2.46,2.46,2.20
2.46,2.45,2.46,2.40
2.48,2.50,2.65,2.42
2.56,2.52,2.59,2.52
2.38,2.35,2.38,2.34
2.32,2.25,2.40,2.12
2.25,2.25,2.25,2.25
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.17,2.13,2.17,2.13
2.12,2.17,2.18,2.12
2.22,2.25,2.25,2.22
2.20,2.40,2.40,2.20
2.25,2.37,2.40,2.15
2.33,2.42,2.42,2.31
2.42,2.42,2.42,2.42
2.44,2.42,2.44,2.42
2.35,2.40,2.40,2.31
2.40,2.40,2.40,2.40
2.39,2.40,2.40,2.39
2.40,2.50,2.50,2.40
2.50,2.58,2.60,2.50
2.58,2.58,2.58,2.58
2.40,2.32,2.40,2.32
2.32,2.11,2.32,2.03
2.11,2.50,2.50,2.05
2.23,2.25,2.41,2.23
2.23,2.25,2.25,2.23
2.38,2.34,2.43,2.34
2.47,2.47,2.47,2.33
2.37,2.36,2.38,2.36
2.45,2.40,2.45,2.40
2.41,2.51,2.51,2.41
2.51,2.51,2.51,2.51
2.57,2.40,2.57,2.25
2.40,2.40,2.40,2.40
2.35,2.40,2.47,2.35
2.40,2.43,2.44,2.40
2.40,2.32,2.45,2.32
2.54,2.34,2.54,2.20
2.30,2.20,2.30,2.20
2.20,2.15,2.20,2.13
2.18,2.27,2.30,2.13
2.40,2.40,2.40,2.40
2.20,2.18,2.20,2.18
2.13,1.93,2.15,1.93
2.02,1.95,2.15,1.89
1.94,2.40,2.50,1.92
2.35,2.28,2.45,2.08
2.53,2.40,2.53,2.39
2.60,2.50,2.60,2.40
2.43,2.39,2.43,2.39
2.39,2.39,2.39,2.39
2.25,2.40,2.55,2.25
2.57,2.53,2.60,2.45
2.56,2.55,2.56,2.55
2.35,2.35,2.46,2.32
2.45,2.45,2.45,2.45
2.45,2.45,2.45,2.45
2.20,2.30,2.30,2.12
2.25,2.29,2.29,2.12
2.75,2.65,2.75,2.53
2.66,2.65,2.70,2.56
2.65,2.53,2.66,2.53
2.37,2.59,2.59,2.37
2.49,2.54,2.70,2.39
2.58,2.40,2.58,2.35
2.23,2.34,2.37,2.23
2.33,2.26,2.35,2.25
2.25,2.25,2.38,2.15
2.30,2.30,2.38,2.25
2.38,2.37,2.53,2.27
2.49,2.48,2.52,2.39
2.50,2.48,2.50,2.29
2.45,2.34,2.45,2.20
2.42,2.42,2.42,2.42
2.46,2.47,2.54,2.30
2.52,2.60,2.65,2.48
2.60,2.65,2.71,2.58
2.59,2.68,2.68,2.55
2.68,2.62,2.69,2.40
2.47,2.64,2.64,2.43
2.65,2.63,2.65,2.63
2.45,2.64,2.64,2.43
2.61,2.61,2.61,2.61
2.50,2.49,2.50,2.31
2.58,2.58,2.65,2.44
2.49,2.59,2.60,2.49
2.50,2.58,2.59,2.48
2.47,2.46,2.69,2.44
2.48,2.70,2.75,2.48
2.63,2.59,2.70,2.59
2.64,2.67,2.69,2.55
2.70,2.67,2.70,2.57
2.60,2.63,2.66,2.60
2.53,2.60,2.64,2.52
2.52,2.66,2.66,2.52
2.70,2.65,2.71,2.65
2.65,2.72,2.72,2.60
2.67,2.64,2.67,2.64
2.64,2.73,2.73,2.64
2.69,2.68,2.70,2.64
2.70,2.72,2.72,2.58
2.67,2.75,2.75,2.64
2.74,2.74,2.74,2.59
2.48,2.60,2.66,2.43
2.48,2.56,2.56,2.36
2.44,2.53,2.53,2.43
2.36,2.53,2.53,2.35
2.59,2.58,2.59,2.47
2.58,2.52,2.60,2.37
2.37,2.42,2.49,2.25
2.35,2.41,2.41,2.35
2.35,2.39,2.39,2.35
2.37,2.55,2.58,2.37
2.58,2.60,2.60,2.56
2.58,2.55,2.60,2.52
2.60,2.63,2.70,2.57
2.70,2.54,2.70,2.54
2.62,2.62,2.62,2.62
2.62,2.62,2.62,2.57
2.61,2.74,2.75,2.60
2.70,2.66,2.70,2.59
2.62,2.60,2.62,2.49
2.70,2.65,2.70,2.38
2.37,2.69,2.69,2.32
2.69,2.69,2.69,2.69
2.65,2.65,2.65,2.41
2.63,2.56,2.63,2.43
2.38,2.59,2.59,2.32
2.58,2.58,2.58,2.58
2.60,2.50,2.60,2.47
2.50,2.52,2.55,2.46
2.52,2.52,2.52,2.52
2.52,2.52,2.52,2.52
2.66,2.64,2.70,2.55
2.70,2.65,2.70,2.39
2.46,2.61,2.69,2.46
2.63,2.69,2.70,2.58
2.60,2.65,2.69,2.51
2.60,2.63,2.69,2.47
2.63,2.64,2.64,2.63
2.49,2.64,2.64,2.49
2.48,2.62,2.64,2.39
2.41,2.60,2.60,2.41
2.60,2.60,2.60,2.60
2.58,2.57,2.58,2.57
2.38,2.60,2.62,2.33
2.41,2.49,2.60,2.40
2.38,2.48,2.50,2.28
2.28,2.31,2.53,2.28
2.42,2.54,2.55,2.42
2.37,2.53,2.60,2.35
2.31,2.49,2.49,2.31
2.49,2.49,2.49,2.49
2.49,2.49,2.49,2.49
2.45,2.51,2.58,2.32
2.36,2.50,2.50,2.33
2.34,2.40,2.49,2.13
2.43,2.40,2.43,2.14
2.15,2.40,2.42,2.15
2.40,2.49,2.49,2.40
2.43,2.28,2.49,2.28
2.55,2.50,2.55,2.31
2.50,2.49,2.50,2.25
2.47,2.50,2.55,2.45
2.55,2.52,2.55,2.51
2.55,2.54,2.55,2.41
2.57,2.59,2.60,2.57
2.59,2.59,2.59,2.59
2.60,2.63,2.64,2.60
2.64,2.63,2.64,2.56
2.43,2.62,2.63,2.43
2.70,2.69,2.70,2.63
2.50,2.69,2.69,2.50
2.70,2.70,2.70,2.49
2.70,2.69,2.70,2.67
2.69,2.66,2.69,2.42
2.72,2.75,2.75,2.72
2.54,2.53,2.74,2.53
2.65,2.68,2.68,2.64
2.65,2.70,2.70,2.65
2.68,2.67,2.69,2.67
2.68,2.70,2.70,2.47
2.66,2.70,2.70,2.66
2.58,2.69,2.70,2.45
2.43,2.69,2.69,2.43
