IDU,iShares U.S. Utilities ETF,NASDAQ
73.74,73.89,74.02,73.68
73.76,74.22,74.25,73.39
74.30,74.77,74.81,73.77
74.77,74.58,74.99,74.54
74.40,73.29,74.75,73.28
73.39,73.90,74.14,73.36
74.39,74.18,74.65,74.05
74.42,74.33,75.14,74.28
74.72,75.39,75.55,74.46
74.90,74.09,74.90,73.77
73.35,73.41,74.33,73.21
73.20,71.35,76.24,65.92
70.84,70.78,71.90,69.84
71.78,73.18,73.43,71.78
73.06,73.33,76.28,72.04
73.49,74.14,74.24,73.16
73.98,73.81,74.66,73.64
73.40,73.09,73.79,72.77
73.39,73.25,73.52,72.08
73.74,72.48,73.85,72.34
72.00,71.71,72.41,71.17
70.69,69.29,70.69,69.29
68.29,69.55,69.56,67.88
69.54,68.96,70.06,68.96
67.27,68.56,68.56,66.75
69.11,68.62,69.47,68.42
69.83,69.97,69.98,69.18
69.86,70.01,70.68,69.83
69.23,68.47,69.92,68.46
68.48,69.80,69.80,68.40
70.29,70.62,70.66,70.00
70.03,68.49,70.03,68.23
68.54,68.65,69.67,68.54
68.78,69.64,69.65,68.44
70.23,69.23,70.23,69.00
70.18,71.01,71.04,70.15
70.20,71.07,71.07,70.20
71.58,71.32,71.93,71.32
72.04,72.83,72.83,71.84
72.23,73.25,73.54,72.23
73.39,73.78,73.84,72.82
73.82,73.91,74.05,73.57
74.55,73.35,75.00,73.06
73.38,71.66,73.40,71.58
71.55,70.90,71.58,70.63
70.03,69.83,70.80,69.83
70.09,70.27,70.37,69.46
70.58,70.71,71.00,69.89
70.12,69.22,70.12,68.97
69.23,68.74,69.86,68.55
68.60,68.51,68.85,67.94
68.65,68.52,68.90,68.37
68.91,69.21,69.61,68.69
69.20,71.35,71.40,69.20
72.05,72.01,72.06,71.40
71.90,72.46,72.54,71.71
72.22,72.66,72.71,72.22
73.23,73.03,73.31,72.61
72.79,72.92,73.00,72.23
73.25,73.40,73.50,72.42
73.00,71.98,73.09,71.94
72.06,73.07,73.25,72.06
72.40,73.76,73.76,72.19
74.20,72.72,74.26,72.38
73.71,74.04,74.23,73.43
74.00,74.10,74.22,73.50
74.43,74.75,74.77,74.19
75.22,75.79,75.87,74.85
75.75,75.23,75.88,75.10
75.72,74.11,75.72,73.89
73.60,73.74,73.98,73.27
75.04,75.12,75.13,74.44
74.61,74.87,75.46,74.61
75.04,75.06,75.15,74.47
74.85,75.21,75.21,74.50
74.94,75.27,75.28,74.24
75.55,75.62,76.00,75.42
75.03,75.82,76.21,74.77
75.00,74.30,75.10,74.26
73.81,74.09,74.30,73.25
74.22,74.46,74.90,74.22
74.00,74.43,74.55,73.65
74.70,75.23,75.60,74.70
75.15,74.83,75.37,74.28
74.66,73.68,74.66,73.40
73.53,73.79,73.89,73.09
74.47,74.14,74.82,74.08
73.52,74.26,74.69,73.48
73.93,74.23,74.39,73.45
74.82,73.99,74.82,73.75
74.53,75.29,75.36,73.73
75.28,74.25,75.28,74.23
74.01,74.49,74.78,73.55
75.38,76.21,76.24,74.94
76.26,76.10,76.28,75.65
76.56,76.56,76.57,75.98
76.52,76.07,76.68,76.05
76.02,75.80,76.47,75.69
76.54,76.41,76.62,76.20
76.46,76.09,76.46,75.88
76.76,76.56,76.76,76.35
76.48,76.40,76.67,76.04
76.32,76.01,76.32,75.72
75.94,75.60,75.94,75.43
76.13,75.52,76.13,75.30
76.06,76.53,76.59,75.53
76.65,76.12,76.69,76.07
76.00,76.56,76.88,76.00
75.80,75.08,75.87,74.99
75.84,76.28,76.40,75.76
76.17,76.41,76.70,76.16
76.35,76.64,76.75,75.89
76.69,76.38,76.69,75.90
76.69,76.22,76.96,76.06
76.59,76.79,76.87,76.33
76.80,76.45,77.15,76.12
76.93,77.33,77.41,76.91
77.17,77.02,77.35,76.77
77.31,77.12,77.42,76.87
77.20,77.42,77.52,76.95
77.75,77.45,77.75,77.31
77.25,77.15,77.31,76.87
77.57,77.48,77.68,77.25
77.67,77.30,77.67,77.01
77.91,77.58,77.91,77.21
77.56,78.25,78.25,77.55
77.56,77.65,78.25,77.40
77.94,78.27,78.66,77.94
78.57,77.90,78.68,77.53
77.86,77.52,78.08,77.20
77.73,77.33,77.99,77.25
77.14,77.22,77.39,76.90
76.73,76.94,76.98,76.19
77.37,77.21,77.43,76.93
77.15,77.43,77.51,76.84
77.53,76.74,77.82,76.48
77.51,77.70,77.76,77.38
77.84,77.45,77.90,76.86
78.04,78.42,78.43,77.98
78.44,78.46,78.47,78.09
78.20,77.98,78.34,77.63
78.28,77.70,78.42,77.50
77.74,77.39,77.74,76.94
77.18,77.42,77.43,77.11
77.03,76.78,77.15,76.50
77.17,77.09,77.52,77.06
76.89,76.10,76.89,75.74
76.17,76.08,76.32,75.94
76.83,76.53,76.83,76.32
76.52,76.32,76.54,75.82
75.94,76.57,76.63,75.74
75.80,75.82,75.94,75.46
76.01,76.25,76.27,75.99
75.80,75.89,76.34,75.67
75.33,75.62,75.72,74.89
75.11,75.48,75.79,75.11
76.50,76.35,76.54,76.03
76.35,76.68,76.69,76.14
76.42,76.88,76.93,76.26
76.85,76.61,76.92,76.58
76.92,76.20,77.13,76.11
76.52,75.96,76.52,75.79
76.18,76.17,76.28,75.91
76.42,76.54,76.60,76.37
76.68,76.89,77.03,76.68
77.11,77.06,77.36,76.90
77.00,76.46,77.17,76.44
76.47,77.10,77.11,76.26
77.17,77.33,77.37,76.77
77.50,77.63,77.78,77.32
77.59,77.68,77.81,77.55
77.14,77.26,77.41,76.83
77.15,77.28,77.48,77.15
77.04,77.30,77.51,76.97
77.38,77.46,77.50,77.05
77.75,77.37,77.75,77.20
77.26,77.21,77.54,77.14
77.31,77.10,77.47,77.09
77.38,77.53,77.70,77.25
77.61,77.89,77.98,77.16
77.67,77.52,77.73,77.38
77.55,77.52,77.55,77.02
77.44,77.83,77.85,77.17
77.48,77.51,77.57,76.98
77.76,77.67,77.76,77.44
77.90,78.02,78.40,77.86
77.95,77.93,78.12,77.68
77.75,78.33,78.34,77.75
78.15,78.58,78.59,78.15
78.60,78.39,78.79,78.24
78.17,78.72,79.01,78.17
79.24,78.75,79.24,78.61
78.67,79.21,79.43,78.67
79.24,79.09,79.24,78.81
79.13,78.99,79.28,78.73
78.84,79.18,79.32,78.76
79.27,78.13,79.29,78.11
78.34,78.29,78.55,78.29
78.75,79.16,79.24,78.51
79.13,78.84,79.13,78.77
78.64,79.11,79.18,78.51
79.02,78.69,79.06,78.27
78.56,79.16,79.17,78.56
79.05,79.15,79.21,78.95
78.91,79.08,79.13,78.72
78.86,79.17,79.20,78.85
78.85,79.13,79.36,78.84
78.87,78.70,79.08,78.39
78.74,78.97,79.01,78.41
79.06,78.82,79.15,78.46
78.66,79.06,79.16,78.66
78.95,79.10,79.16,78.95
78.40,78.78,79.03,78.40
78.55,78.47,78.95,78.45
78.32,78.19,78.57,78.00
78.51,78.78,78.78,78.22
78.83,79.58,79.82,78.83
79.60,78.99,79.98,78.93
78.88,79.13,79.27,78.80
79.67,79.97,80.11,79.67
79.89,79.55,80.01,79.03
79.52,79.74,80.35,79.52
79.85,80.58,80.73,79.85
80.63,81.37,81.40,80.56
81.08,80.14,81.08,80.11
80.01,80.36,80.56,79.87
79.80,79.48,79.80,78.97
77.73,78.05,78.44,77.71
77.85,76.90,77.97,76.38
77.60,77.14,77.60,76.61
78.10,77.40,78.10,77.19
78.44,78.48,78.72,78.07
78.53,78.56,78.88,78.36
78.45,78.51,78.66,78.06
79.00,78.86,79.00,78.35
78.43,78.21,78.57,78.08
78.14,77.86,78.66,77.86
77.88,78.56,78.62,77.76
78.86,79.49,79.73,78.83
79.38,79.36,79.58,79.20
79.83,79.94,80.05,79.70
80.20,79.90,80.20,79.77
79.74,79.68,80.05,79.68
80.06,80.23,80.28,79.89
80.26,79.85,80.26,79.65
80.29,79.66,80.29,79.35
79.73,78.64,79.73,78.52
78.35,78.26,78.73,77.99
78.83,78.51,78.95,78.47
78.15,78.86,78.96,78.00
78.96,79.67,79.88,78.96
79.32,78.93,79.32,78.57
79.11,78.91,79.11,78.75
79.80,79.92,80.08,79.51
80.27,80.12,80.27,79.89
79.94,80.16,80.31,79.94
80.58,80.87,80.97,80.58
81.18,81.55,81.69,80.98
81.42,82.19,82.28,81.42
82.13,82.46,82.46,81.93
82.48,82.39,82.81,82.27
82.38,82.72,83.20,82.38
82.45,82.47,82.69,82.11
82.06,81.87,82.42,81.50
82.61,82.40,83.03,82.10
82.45,82.70,82.75,82.06
83.05,83.83,84.04,83.05
83.86,83.42,83.87,82.99
83.20,84.14,84.15,83.20
84.32,83.70,84.36,83.23
83.77,83.64,84.27,83.53
83.35,84.05,84.09,83.35
84.19,84.00,84.20,83.50
84.31,84.20,84.40,83.78
84.13,84.17,84.54,83.71
83.72,83.14,83.80,83.05
83.04,82.96,83.34,82.94
82.77,82.91,83.20,82.23
82.71,82.92,83.07,82.29
83.18,83.03,83.39,82.94
83.60,83.63,83.66,83.14
83.57,82.76,83.68,82.73
82.73,82.40,82.73,81.94
81.53,81.85,82.23,81.30
81.73,81.37,81.73,81.29
81.67,81.54,82.10,81.50
81.36,81.77,81.94,81.36
81.65,81.77,82.04,81.59
81.67,81.35,81.70,81.34
81.46,81.55,81.78,81.22
82.24,81.91,82.24,81.56
81.88,80.91,81.94,80.69
80.90,81.49,81.76,80.90
82.16,82.08,82.45,81.88
81.99,82.52,82.55,81.65
82.79,82.70,83.00,82.40
82.58,82.19,82.62,82.18
81.35,81.55,81.57,80.83
80.92,80.88,81.54,80.88
80.94,81.47,81.61,80.94
81.72,81.98,82.11,81.54
82.35,82.40,82.47,81.99
82.61,82.68,82.73,82.18
82.55,83.71,83.84,82.55
83.73,83.30,83.73,83.22
83.00,83.49,83.70,82.97
84.01,83.81,84.17,83.56
83.07,83.57,83.60,83.05
82.81,82.59,82.86,82.40
82.48,82.91,83.34,82.25
83.22,82.77,83.42,82.75
82.89,82.35,83.15,82.23
82.53,82.53,82.75,82.09
82.29,81.66,82.29,81.48
82.01,82.39,82.49,81.56
82.37,82.79,83.10,82.28
83.27,84.01,84.15,83.13
84.13,83.56,84.13,83.50
82.89,83.71,84.05,82.89
83.80,83.35,83.80,83.29
83.08,83.00,83.37,82.89
82.84,82.54,83.02,82.46
81.57,81.74,82.36,81.46
82.49,82.00,82.49,81.45
81.56,80.65,81.86,80.65
80.76,80.61,80.76,79.49
79.89,77.86,80.19,77.86
78.76,78.24,78.76,76.69
76.69,73.76,77.40,73.52
74.48,76.44,76.44,72.21
75.30,74.82,76.92,74.82
75.35,78.19,79.00,75.26
79.15,77.76,79.15,77.54
78.45,80.51,80.51,78.45
79.58,80.21,80.46,79.39
80.68,80.74,81.47,80.51
79.36,79.44,79.69,78.46
78.75,78.77,79.69,78.50
80.14,78.60,80.14,78.28
79.04,80.19,80.21,78.39
80.12,81.97,82.05,80.12
82.28,80.75,82.28,80.42
80.35,80.75,81.11,79.20
81.86,82.49,82.50,81.63
82.33,82.50,82.74,82.05
83.00,82.98,83.27,82.70
83.29,82.62,83.46,82.48
81.59,81.49,82.03,81.41
79.78,81.04,81.08,79.34
81.81,81.97,82.06,81.43
81.58,81.96,82.66,81.46
81.19,80.23,81.19,79.74
79.50,80.81,80.81,79.50
80.78,81.32,81.40,80.32
81.59,82.07,82.69,81.03
82.78,83.12,83.19,82.35
83.33,83.76,84.14,83.32
82.89,83.42,83.64,82.62
83.87,84.37,85.50,83.61
84.40,82.73,84.62,82.73
81.20,81.21,81.49,80.39
80.39,81.18,81.49,80.21
82.00,81.98,82.00,80.99
83.29,82.38,83.29,82.03
82.74,81.39,82.74,81.22
82.63,82.57,82.76,81.70
82.40,81.75,82.72,81.73
81.81,79.58,82.29,79.58
79.17,79.54,79.54,77.51
79.97,79.62,79.97,78.54
80.17,81.07,81.09,79.66
81.71,81.15,81.86,80.79
81.88,82.87,82.87,81.88
82.86,82.19,82.86,81.86
82.58,82.06,82.58,81.97
81.70,82.21,82.24,81.13
82.78,82.90,82.96,82.41
82.83,82.66,83.10,82.54
82.69,83.36,83.78,82.06
83.35,83.35,84.49,83.21
83.88,83.81,84.20,83.10
84.40,85.16,85.16,84.40
85.25,84.98,85.25,84.74
84.84,83.79,84.93,83.74
84.72,84.45,84.83,83.81
86.25,86.44,86.85,85.76
85.89,85.97,86.12,85.50
85.34,85.30,86.12,85.30
83.81,83.42,84.59,83.24
84.39,84.86,85.52,84.39
85.53,86.13,86.33,85.04
85.72,85.60,85.84,84.74
85.92,86.11,86.11,85.06
86.30,86.75,86.75,85.59
85.56,84.66,85.81,84.59
85.44,85.27,85.72,84.83
86.11,86.54,86.54,86.11
86.31,85.54,86.31,85.42
85.65,85.80,85.99,85.17
85.19,84.79,85.72,84.70
84.60,84.36,85.15,83.76
84.82,84.87,85.06,84.61
84.10,83.72,84.24,83.10
83.83,82.82,83.83,82.56
82.11,81.60,82.18,81.25
81.32,81.86,82.18,81.25
83.48,82.91,83.55,82.53
83.30,83.92,84.14,83.28
85.63,86.07,86.21,85.33
86.08,86.08,86.51,85.86
86.54,85.27,86.54,85.22
86.26,85.97,86.45,85.52
85.91,86.10,86.47,85.76
85.89,85.91,86.18,85.37
85.73,84.50,85.90,84.42
85.09,85.83,85.87,84.91
85.45,84.94,85.45,84.32
85.39,85.27,86.06,84.97
85.21,84.60,85.32,84.57
85.33,85.70,85.86,85.19
86.16,85.56,86.21,85.30
85.56,84.88,86.04,84.63
85.78,86.63,86.74,85.70
86.93,87.93,87.98,86.91
87.64,87.31,87.64,87.10
87.81,88.01,88.21,87.81
87.98,88.72,88.80,87.94
88.95,88.16,88.95,88.13
88.54,88.91,88.93,88.04
89.18,88.32,89.18,88.32
89.09,86.93,89.09,86.69
86.81,86.53,87.10,86.41
86.41,86.59,86.78,85.86
86.63,86.03,86.63,85.98
86.28,86.20,86.28,85.75
86.76,86.30,86.84,86.22
86.09,85.97,86.34,85.84
86.33,85.83,86.33,85.61
85.40,85.70,85.75,85.11
86.23,85.83,86.60,85.58
85.84,85.77,85.84,85.25
85.77,85.02,85.77,84.92
84.88,85.18,85.20,84.73
85.01,85.43,85.99,85.01
85.14,84.80,85.14,84.68
84.51,86.12,86.22,84.01
86.55,86.34,86.72,85.97
85.97,85.47,86.18,85.25
85.00,85.00,85.42,84.50
85.16,85.38,85.44,84.94
85.53,85.69,85.88,85.47
85.76,85.45,85.90,85.42
85.98,85.73,86.00,85.38
85.36,85.45,85.69,85.27
85.06,86.08,86.27,85.06
86.21,86.13,86.22,85.65
86.18,85.94,86.18,85.73
85.57,85.73,85.78,85.47
86.16,85.71,86.20,85.66
85.70,85.80,85.85,85.29
85.84,85.43,85.90,85.15
85.37,86.32,86.60,85.37
86.50,86.23,86.64,86.21
86.37,86.00,86.50,85.91
85.90,86.18,86.42,85.87
86.17,86.19,86.36,85.91
86.36,86.51,86.77,86.15
86.16,86.31,86.56,86.00
86.46,85.87,86.46,85.63
85.85,85.90,86.27,85.46
86.00,86.09,86.37,85.79
85.98,86.06,86.17,85.74
85.85,86.22,86.33,85.48
85.63,85.83,86.06,85.41
85.75,85.83,85.92,85.24
86.11,86.29,86.43,86.00
86.42,86.75,86.79,86.08
86.77,87.61,87.66,86.77
87.84,87.82,87.85,87.28
87.78,86.60,87.91,86.56
86.73,86.61,86.73,86.13
86.57,86.39,86.57,86.17
86.36,85.99,86.68,85.98
85.83,86.09,86.21,85.70
86.10,85.91,86.26,85.81
85.50,85.92,85.98,85.43
85.89,86.05,86.19,85.82
85.73,85.83,86.14,85.36
85.86,86.13,86.30,85.86
86.16,85.49,86.16,85.18
85.20,85.86,85.86,84.61
86.10,86.16,86.20,85.79
86.16,86.54,86.88,85.87
86.51,86.58,86.62,85.98
86.08,86.44,86.55,86.03
86.12,85.77,86.12,85.52
84.96,85.24,85.42,84.96
84.98,84.04,84.98,83.87
84.58,84.19,84.58,84.04
84.22,84.48,84.55,83.89
84.41,84.22,84.93,84.17
84.44,84.88,85.15,84.29
85.27,85.50,85.58,84.59
85.22,85.27,85.70,85.12
85.34,85.00,85.40,84.76
85.31,85.88,85.98,85.08
85.27,85.32,85.36,85.08
85.47,85.99,86.08,85.47
86.24,86.49,86.60,86.17
86.35,87.00,87.15,86.35
87.11,87.43,87.46,86.99
87.38,87.54,87.62,87.04
87.53,87.99,88.31,87.35
87.73,87.44,87.80,87.34
87.84,87.04,87.88,86.94
86.87,87.05,87.47,86.87
86.86,86.82,86.95,86.59
86.49,87.12,87.18,86.48
86.63,87.03,87.37,86.49
87.50,87.97,88.16,87.50
87.63,87.96,88.40,87.63
87.43,87.61,87.86,87.27
87.58,87.17,87.64,86.87
87.26,87.15,87.46,86.97
87.14,86.52,87.15,86.48
86.78,86.34,87.08,86.30
86.41,86.64,86.64,86.04
86.78,87.13,87.30,86.78
86.55,86.55,87.15,86.19
86.79,87.04,87.31,86.54
87.06,87.26,87.54,87.06
87.59,87.55,87.61,87.23
87.14,86.92,87.81,86.92
87.19,87.46,87.82,86.79
86.78,87.05,87.55,86.77
87.14,87.26,87.28,86.95
87.03,87.66,87.95,87.02
88.14,88.73,88.74,87.85
89.42,89.32,89.54,89.23
89.39,89.62,89.66,88.90
89.89,89.34,90.30,89.32
89.43,89.54,89.54,88.68
89.15,89.38,89.78,88.88
89.54,90.02,90.23,89.54
90.35,90.54,90.57,90.09
90.36,90.67,90.83,90.36
90.36,89.95,90.50,89.86
89.82,89.03,89.91,88.81
89.18,88.06,89.52,88.05
88.44,88.35,88.48,88.11
87.85,88.06,88.19,87.63
88.15,88.32,88.49,87.91
88.59,89.27,89.43,88.59
89.19,89.59,89.60,88.60
90.15,90.05,90.62,89.70
90.29,90.76,90.76,90.27
90.86,90.67,90.94,90.42
90.44,90.23,90.51,90.19
89.51,90.02,90.07,89.51
89.76,89.59,89.84,89.34
89.89,89.91,90.09,89.71
90.01,90.34,90.40,89.88
89.99,90.50,90.66,89.98
90.49,91.40,91.40,90.49
91.41,91.25,91.41,91.13
91.42,91.48,91.66,90.97
91.46,91.81,91.84,91.18
91.99,92.00,92.07,91.27
91.37,92.09,92.32,91.37
91.84,91.54,91.98,91.31
92.10,90.76,92.10,90.25
91.11,90.58,91.11,90.25
91.26,92.03,92.07,91.26
92.76,93.06,93.23,92.31
92.89,93.39,93.58,92.71
93.24,92.66,93.57,92.66
93.47,91.88,93.97,91.88
91.70,91.34,91.70,90.56
92.46,92.35,92.46,91.90
92.77,92.28,92.81,92.15
92.59,91.48,92.59,91.48
91.00,91.37,91.52,90.95
91.28,91.50,91.59,91.26
91.48,91.84,91.89,91.21
91.80,91.54,91.80,91.34
91.76,91.53,91.85,91.37
91.79,91.25,91.79,91.25
91.33,90.97,91.33,90.96
91.22,90.89,91.22,90.71
90.64,90.91,90.99,90.52
90.94,90.39,91.18,90.39
90.21,90.23,90.45,90.02
90.02,89.28,90.04,89.17
89.10,89.62,89.79,89.04
89.65,89.90,90.02,89.64
89.81,89.69,89.88,89.61
89.57,89.55,89.78,89.47
89.55,89.20,89.55,89.05
89.45,89.00,89.45,88.81
88.82,89.45,89.59,88.79
89.51,89.08,89.56,89.08
89.30,90.19,90.20,89.30
90.21,89.82,90.26,89.76
89.88,89.83,90.09,89.83
89.84,89.52,89.85,89.52
89.68,89.10,89.68,88.98
89.20,90.29,90.29,89.06
90.20,89.64,90.30,89.49
89.51,89.18,89.84,89.03
89.17,88.88,89.17,88.74
88.92,89.03,89.30,88.84
88.84,89.24,89.38,88.84
89.58,89.45,89.58,89.21
89.20,90.29,90.39,89.20
90.01,89.30,90.01,89.30
88.93,89.45,89.97,88.93
89.61,89.12,89.61,88.88
88.93,89.50,89.55,88.78
89.61,89.11,89.92,89.03
89.27,89.41,89.62,89.09
89.51,89.91,90.12,89.51
90.10,90.48,90.75,90.10
90.45,90.32,90.83,90.28
90.45,90.44,90.51,89.98
90.18,90.29,90.60,90.07
90.29,89.99,90.43,89.95
90.16,90.11,90.62,90.04
90.24,89.55,90.24,89.42
89.55,90.11,90.11,89.35
90.51,90.43,90.57,90.12
90.72,91.55,91.67,90.65
91.51,91.85,91.88,91.48
91.86,91.24,91.86,91.00
91.09,90.76,91.09,90.44
90.25,90.05,90.25,89.64
90.09,89.45,90.13,89.39
89.78,89.76,89.92,89.24
89.91,89.85,90.05,89.56
89.99,90.49,90.70,89.87
90.62,89.79,90.69,89.73
89.96,89.13,90.17,89.00
88.88,87.89,88.88,87.81
87.99,88.03,88.34,87.68
87.57,86.16,87.57,85.64
86.24,85.93,86.82,85.54
85.66,85.32,86.00,85.32
85.46,84.61,85.46,84.49
84.25,84.93,85.47,83.50
85.03,84.21,85.03,84.13
84.26,83.71,84.69,83.28
83.66,84.65,84.69,83.49
85.25,84.68,85.25,84.28
84.66,84.53,84.73,83.98
84.58,84.40,84.58,83.64
84.56,84.14,84.56,83.84
83.97,85.15,85.55,83.96
85.14,85.42,85.74,85.14
85.21,85.80,85.80,84.76
86.06,86.32,86.32,85.61
86.36,87.01,87.07,86.32
87.16,86.56,87.16,86.27
86.56,86.21,86.76,86.10
86.26,87.43,87.75,86.17
87.41,87.27,87.74,87.07
87.46,87.28,87.63,87.01
87.26,87.39,87.48,87.12
87.47,87.55,87.85,87.29
87.65,87.48,88.09,87.35
87.45,87.07,87.45,86.74
86.99,86.78,87.13,86.68
87.25,88.11,88.17,86.90
88.24,88.71,88.83,88.01
88.13,87.43,88.13,87.39
87.44,87.67,87.75,87.22
86.84,87.41,87.56,86.84
87.08,86.85,87.30,86.55
87.09,86.18,87.16,86.10
86.11,85.95,86.31,85.15
85.42,85.21,86.22,85.21
84.87,86.36,86.52,84.62
87.56,87.96,88.08,87.41
88.03,88.07,88.36,87.69
88.27,88.52,88.58,88.06
88.44,87.53,88.44,87.49
87.44,87.32,87.57,87.02
87.46,87.22,87.46,86.93
87.34,87.55,87.62,87.24
87.55,87.66,87.78,87.43
87.76,87.53,87.85,87.52
87.43,87.85,87.88,87.30
87.74,87.39,87.80,87.36
87.57,87.81,88.04,87.51
87.79,88.43,88.43,87.73
88.29,89.28,89.30,88.29
89.14,89.01,89.14,88.71
89.17,89.40,89.53,89.09
89.51,89.67,89.68,89.02
89.66,89.65,89.81,89.21
89.58,90.45,90.47,89.58
90.77,90.41,90.77,90.25
90.37,90.75,90.80,90.26
90.87,91.09,91.20,90.87
90.71,90.44,90.84,90.37
90.71,90.70,91.06,90.62
90.45,91.03,91.04,90.19
91.05,91.27,91.60,90.85
91.21,91.29,91.29,90.98
91.32,91.53,91.55,91.21
91.57,91.93,91.93,91.43
91.99,91.88,92.21,91.69
91.61,91.24,91.77,91.01
91.24,91.41,91.48,91.24
91.49,92.28,92.30,91.49
92.28,92.00,92.75,91.98
91.77,91.52,91.98,91.44
91.70,92.47,92.47,91.70
92.86,91.43,93.26,91.43
91.81,91.80,92.25,91.44
91.91,92.69,92.85,91.88
92.73,92.85,93.26,92.50
92.45,93.07,93.13,92.21
92.89,94.00,94.09,92.89
94.17,94.55,94.71,94.17
94.68,94.49,94.74,94.22
94.49,94.14,94.63,94.09
94.23,94.44,94.55,93.80
94.23,94.72,94.74,94.23
94.75,94.38,94.75,94.07
94.39,94.69,94.72,94.14
94.76,94.81,94.95,94.53
94.74,95.39,95.49,94.67
94.90,94.87,95.32,94.76
95.07,95.08,95.41,94.64
95.36,95.81,95.97,95.31
95.69,95.40,95.82,95.36
95.57,95.64,95.84,95.43
95.13,94.67,95.44,94.27
94.71,95.57,95.57,94.71
95.25,95.92,95.99,95.25
95.93,97.10,97.18,95.93
97.29,96.87,97.29,96.53
96.92,97.16,97.50,96.89
97.28,96.77,97.40,96.56
96.81,97.64,97.64,96.81
96.93,97.96,98.01,96.93
97.97,98.81,98.81,97.59
98.90,98.51,98.92,98.44
98.70,99.26,99.55,98.70
99.40,99.66,99.75,99.36
99.33,99.85,99.91,99.33
99.34,98.26,99.93,98.26
98.58,99.49,99.55,98.00
99.04,98.85,99.22,98.22
98.97,99.23,99.37,98.77
99.30,100.70,100.70,99.30
100.77,100.60,100.93,99.97
100.75,100.83,100.83,100.05
100.76,101.20,101.49,100.41
101.40,101.25,101.67,101.00
101.32,101.25,101.66,101.19
101.51,102.08,102.33,101.27
102.16,102.53,102.54,101.94
102.69,101.36,102.69,101.27
101.36,101.22,101.53,100.78
101.88,101.22,102.02,101.10
101.36,99.97,101.36,99.94
100.05,100.85,100.85,100.05
100.50,100.10,100.94,99.83
100.00,98.56,100.27,98.40
98.56,98.95,98.96,98.05
98.77,98.46,98.77,98.10
98.48,99.19,99.52,98.48
99.07,100.14,100.75,99.05
100.06,99.35,100.06,99.21
99.77,100.32,100.32,99.47
100.15,99.91,100.34,99.76
99.97,100.13,100.40,99.49
100.03,98.52,100.83,98.13
97.70,97.79,98.05,96.38
97.41,96.70,97.41,96.50
96.75,95.79,96.94,95.41
95.33,94.31,95.33,93.49
94.88,94.85,96.14,94.78
94.55,94.28,95.91,94.28
94.22,94.41,95.02,93.29
94.47,93.90,94.58,93.45
93.67,93.17,93.67,92.95
93.01,94.24,94.27,92.99
94.61,94.94,95.25,94.10
95.27,94.86,95.27,94.37
94.21,94.25,94.99,93.96
94.78,93.68,95.27,93.55
93.61,95.21,95.25,93.42
95.10,95.34,95.75,95.03
95.83,95.65,96.33,95.24
95.75,96.33,96.45,95.42
96.20,94.27,96.39,94.26
