ALJJ,ALJ Regional Holdings,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.39,0.40,0.40,0.39
0.40,0.40,0.42,0.40
0.39,0.40,0.42,0.39
0.40,0.40,0.40,0.40
0.40,0.39,0.40,0.36
0.40,0.40,0.40,0.40
N/A,N/A,N/A,N/A
0.38,0.42,0.42,0.38
0.40,0.40,0.40,0.40
0.39,0.39,0.39,0.39
0.42,0.40,0.42,0.36
N/A,N/A,N/A,N/A
0.40,0.40,0.40,0.40
0.39,0.40,0.40,0.37
0.39,0.40,0.40,0.37
0.38,0.42,0.42,0.38
N/A,N/A,N/A,N/A
0.39,0.40,0.40,0.37
N/A,N/A,N/A,N/A
0.36,0.36,0.36,0.36
0.40,0.36,0.40,0.36
0.39,0.39,0.39,0.39
N/A,N/A,N/A,N/A
0.38,0.40,0.40,0.38
N/A,N/A,N/A,N/A
0.39,0.40,0.40,0.39
0.39,0.40,0.40,0.39
0.39,0.40,0.40,0.39
0.40,0.40,0.40,0.40
0.40,0.39,0.40,0.37
0.40,0.40,0.40,0.40
N/A,N/A,N/A,N/A
0.37,0.40,0.40,0.37
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.40,0.39,0.40,0.39
0.40,0.41,0.41,0.39
0.40,0.40,0.40,0.38
0.41,0.41,0.41,0.41
0.39,0.41,0.41,0.39
0.41,0.40,0.41,0.40
0.41,0.40,0.41,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
N/A,N/A,N/A,N/A
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.39,0.40,0.38
0.40,0.38,0.40,0.38
0.40,0.40,0.40,0.40
N/A,N/A,N/A,N/A
0.38,0.42,0.42,0.38
0.75,0.76,0.80,0.69
0.76,0.77,0.77,0.75
0.77,0.77,0.77,0.77
0.77,0.77,0.78,0.76
0.77,0.77,0.77,0.76
0.77,0.77,0.77,0.76
0.77,0.76,0.78,0.76
0.76,0.76,0.77,0.75
0.76,0.76,0.77,0.76
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.75
0.76,0.76,0.76,0.73
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.76,0.78,0.78,0.76
0.77,0.77,0.78,0.77
0.77,0.77,0.78,0.76
0.76,0.70,0.76,0.60
0.68,0.68,0.68,0.64
0.66,0.71,0.71,0.66
0.70,0.66,0.70,0.64
0.68,0.66,0.71,0.66
0.70,0.69,0.70,0.69
0.69,0.70,0.70,0.69
0.70,0.69,0.70,0.69
0.70,0.70,0.70,0.70
0.70,0.70,0.71,0.70
0.70,0.70,0.70,0.70
0.71,0.72,0.72,0.70
0.72,0.74,0.75,0.72
0.74,0.74,0.74,0.74
0.74,0.76,0.76,0.74
0.76,0.75,0.76,0.75
0.76,0.76,0.76,0.76
0.75,0.76,0.76,0.75
0.75,0.73,0.75,0.72
0.72,0.72,0.72,0.72
0.73,0.74,0.74,0.73
0.73,0.73,0.75,0.73
0.77,0.80,0.83,0.76
0.81,0.80,0.81,0.78
0.79,0.78,0.80,0.76
0.80,0.78,0.80,0.78
0.78,0.77,0.78,0.75
0.77,0.78,0.78,0.75
0.80,0.80,0.80,0.80
0.77,0.79,0.79,0.76
0.79,0.79,0.80,0.79
0.70,0.79,0.80,0.70
0.79,0.80,0.80,0.79
0.79,0.79,0.80,0.79
0.80,0.79,0.80,0.79
N/A,N/A,N/A,N/A
0.80,0.80,0.80,0.80
0.77,0.77,0.77,0.77
0.77,0.73,0.78,0.73
0.75,0.77,0.77,0.75
0.76,0.75,0.77,0.74
0.75,0.75,0.75,0.73
0.73,0.80,0.80,0.73
0.79,0.78,0.79,0.78
0.78,0.78,0.78,0.78
0.78,0.79,0.79,0.78
0.79,0.78,0.79,0.78
0.78,0.78,0.78,0.77
0.78,0.77,0.78,0.77
0.77,0.77,0.77,0.77
0.78,0.78,0.78,0.78
0.78,0.79,0.81,0.78
0.78,0.78,0.78,0.77
0.77,0.78,0.78,0.77
0.78,0.79,0.79,0.78
0.78,0.77,0.78,0.77
0.78,0.78,0.78,0.78
0.77,0.77,0.77,0.77
0.77,0.78,0.78,0.77
0.77,0.80,0.80,0.77
0.81,0.82,0.82,0.81
0.80,0.85,0.86,0.80
0.84,0.87,0.87,0.84
0.86,0.85,0.86,0.83
0.83,0.83,0.83,0.83
0.82,0.82,0.82,0.82
0.80,0.85,0.85,0.80
0.82,0.83,0.83,0.82
0.83,0.83,0.84,0.81
0.82,0.85,0.85,0.82
0.85,0.83,0.85,0.83
0.83,0.84,0.85,0.83
0.84,0.83,0.84,0.83
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.82,0.82,0.84,0.82
0.83,0.83,0.83,0.83
0.84,0.84,0.84,0.84
0.84,0.83,0.84,0.83
N/A,N/A,N/A,N/A
0.85,0.83,0.88,0.83
0.82,0.83,0.83,0.80
N/A,N/A,N/A,N/A
0.81,0.84,0.84,0.81
0.82,0.82,0.82,0.82
0.82,0.81,0.82,0.81
0.81,0.81,0.81,0.81
0.84,0.84,0.84,0.84
0.81,0.84,0.84,0.78
0.81,0.85,0.85,0.81
0.84,0.84,0.84,0.84
N/A,N/A,N/A,N/A
0.83,0.81,0.84,0.81
0.83,0.82,0.83,0.82
N/A,N/A,N/A,N/A
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.79,0.80,0.80,0.78
0.80,0.81,0.81,0.80
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.80,0.82,0.82,0.78
N/A,N/A,N/A,N/A
0.82,0.84,0.84,0.82
0.83,0.80,0.83,0.80
0.80,0.80,0.84,0.80
0.80,0.80,0.80,0.80
0.82,0.81,0.82,0.80
N/A,N/A,N/A,N/A
0.82,0.82,0.82,0.82
N/A,N/A,N/A,N/A
0.84,0.84,0.84,0.84
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.84,0.84,0.85,0.82
0.84,0.82,0.84,0.82
0.83,0.84,0.84,0.82
N/A,N/A,N/A,N/A
0.82,0.84,0.84,0.82
0.82,0.84,0.84,0.82
0.82,0.82,0.82,0.82
0.83,0.84,0.84,0.83
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.82,0.82,0.83,0.82
0.82,0.82,0.82,0.82
