SLMBP,SLM Corporation - Floating Rate Non-Cumulative Preferred Stock,NASDAQ
48.50,48.50,48.50,48.50
48.75,48.55,49.00,48.55
48.50,49.00,49.00,48.50
48.76,48.75,48.76,48.74
49.00,49.00,49.00,49.00
49.00,49.00,49.00,49.00
48.76,48.76,48.76,48.76
49.45,49.45,49.45,49.45
48.50,48.50,48.50,48.50
49.45,49.45,49.45,49.45
49.45,49.45,49.45,49.45
50.30,50.30,50.30,50.30
51.25,51.50,51.50,51.25
52.00,52.70,52.70,52.00
52.70,52.70,52.70,52.70
52.70,52.70,52.70,52.70
52.30,51.50,52.30,51.25
53.55,53.55,53.55,53.55
53.38,53.00,53.38,53.00
53.00,54.00,54.00,52.97
54.00,54.00,54.00,54.00
53.10,53.10,53.10,53.10
53.10,53.10,53.10,53.10
53.10,53.10,53.10,53.10
53.10,53.10,53.10,53.10
53.25,54.00,54.19,53.25
54.01,54.01,54.01,54.01
53.25,53.25,53.25,53.25
54.01,54.01,54.01,54.01
53.06,53.01,53.06,53.01
53.03,53.00,53.03,53.00
53.02,53.02,53.02,53.02
53.02,53.02,53.02,53.02
53.25,53.25,53.25,53.25
53.00,53.00,53.00,53.00
53.00,53.25,53.25,53.00
53.51,53.50,53.51,53.50
53.50,53.50,53.50,53.50
53.50,53.50,53.50,53.50
54.50,54.00,54.50,54.00
54.00,54.25,54.25,53.50
54.49,54.29,54.49,54.29
55.00,55.25,55.25,55.00
55.25,55.25,55.25,55.25
55.50,56.23,56.25,55.50
56.01,56.49,56.50,56.00
56.30,56.00,56.30,56.00
55.25,55.25,55.25,55.25
55.35,55.35,55.35,55.35
56.19,56.19,56.19,56.19
56.01,57.04,57.04,56.01
57.01,57.00,57.39,56.50
57.57,56.61,57.57,56.60
57.24,57.23,57.24,57.21
55.51,56.63,56.63,55.51
56.71,56.50,56.71,56.50
57.00,57.41,57.63,57.00
57.30,57.25,57.30,57.00
57.48,57.83,57.83,57.30
57.83,57.83,57.83,57.83
57.50,57.45,57.50,57.25
57.25,57.40,57.90,57.25
57.90,57.60,57.95,57.45
57.56,57.45,57.56,57.45
56.78,57.00,57.01,56.78
57.00,57.20,57.20,57.00
57.90,57.80,57.90,57.70
58.50,57.86,58.50,57.86
57.86,57.86,57.86,57.86
57.30,57.56,57.56,57.30
59.03,58.04,59.04,58.04
57.92,57.92,57.92,57.92
57.92,57.92,57.92,57.92
60.00,58.00,60.00,58.00
58.21,57.95,58.21,57.95
58.49,58.50,58.50,58.49
58.50,58.50,58.50,58.50
58.50,58.45,58.50,57.95
58.45,58.45,58.45,58.45
58.45,58.70,59.00,58.01
58.60,58.50,58.60,58.50
58.50,58.50,58.50,58.50
58.10,58.00,58.10,58.00
58.00,58.00,58.00,58.00
59.30,58.11,59.30,58.11
57.70,58.00,58.00,57.67
57.61,57.60,57.61,57.60
57.70,57.50,57.72,57.50
57.50,57.50,57.50,57.50
57.50,57.50,57.50,57.50
57.50,57.50,57.50,57.50
57.50,57.50,57.50,57.50
56.72,56.72,56.72,56.72
56.72,57.24,57.24,56.72
56.12,56.00,56.12,56.00
56.00,56.00,56.00,56.00
57.12,57.12,57.12,57.12
57.12,57.12,57.12,57.12
57.12,57.12,57.12,57.12
56.75,57.10,57.10,56.75
57.10,57.10,57.10,57.10
57.11,56.13,57.11,56.13
56.13,56.13,56.13,56.13
56.13,56.13,56.13,56.13
56.13,56.13,56.13,56.13
57.08,55.94,57.10,55.94
56.00,56.00,56.00,56.00
56.80,55.75,56.80,55.75
56.49,56.50,56.50,56.45
56.50,56.50,56.50,56.50
56.54,55.83,56.54,54.55
55.77,55.82,55.82,55.77
55.82,55.82,55.82,55.82
56.60,56.60,56.60,56.60
55.61,56.69,56.73,55.61
56.53,56.25,56.70,56.25
56.25,56.25,56.25,56.25
55.55,55.55,55.55,55.50
55.55,55.55,55.55,55.55
55.52,55.52,55.52,55.52
55.52,55.52,55.52,55.52
55.30,54.63,55.30,54.63
54.64,54.64,54.64,54.64
54.63,54.63,54.63,54.63
53.20,53.20,53.20,53.20
51.42,44.34,51.42,40.20
46.00,46.60,46.95,45.98
45.10,46.00,46.01,45.10
45.32,46.00,46.00,44.00
46.50,46.49,46.50,45.57
46.57,45.63,46.99,45.63
46.95,47.00,47.00,46.95
46.89,46.90,46.90,46.89
45.00,46.00,46.50,45.00
45.95,45.08,46.02,45.08
46.99,45.70,46.99,45.25
45.49,45.50,45.50,44.76
46.00,45.50,46.00,45.50
46.50,46.50,46.50,46.50
45.00,46.00,46.25,45.00
46.00,46.00,46.00,46.00
44.53,44.51,44.53,44.51
45.91,43.80,45.91,43.25
44.00,43.56,44.50,43.25
43.77,43.80,43.80,43.77
44.19,44.02,44.19,39.65
44.02,44.02,44.02,44.02
44.37,44.00,44.37,43.48
44.00,44.00,44.00,44.00
43.35,43.00,43.35,42.99
43.03,42.98,43.03,42.15
43.96,43.96,43.96,43.96
43.96,43.96,43.96,43.96
43.96,43.96,43.96,43.96
43.00,43.00,43.00,43.00
43.17,43.10,43.17,43.10
42.25,42.50,42.51,42.25
42.50,42.50,42.50,42.50
42.99,42.00,42.99,42.00
42.00,42.00,42.00,42.00
42.80,43.00,43.00,42.40
43.00,43.00,43.00,43.00
43.25,42.80,43.25,42.77
43.95,44.00,44.00,43.95
42.53,42.50,42.53,42.50
42.04,41.99,42.04,41.99
43.75,42.45,43.75,41.99
42.45,42.45,42.45,42.45
42.45,42.45,42.45,42.45
40.50,40.50,40.50,40.50
43.00,43.95,43.95,43.00
43.95,43.95,43.95,43.95
43.95,43.95,43.95,43.95
43.95,43.95,43.95,43.95
43.95,43.95,43.95,43.95
43.95,43.95,43.95,43.95
43.95,43.95,43.95,43.95
43.95,43.95,43.95,43.95
43.80,43.20,43.80,43.10
43.20,42.95,43.20,42.95
42.95,42.95,42.95,42.95
42.10,42.00,42.10,41.01
43.05,43.05,43.05,43.05
43.05,43.05,43.05,43.05
43.05,43.05,43.05,43.05
43.05,43.05,43.05,43.05
42.50,42.49,42.50,42.48
41.50,42.50,42.50,41.50
41.50,42.33,42.33,41.50
42.25,42.14,42.25,41.50
42.14,42.14,42.14,42.14
42.29,42.29,42.29,42.29
42.30,42.30,42.30,42.30
42.29,42.29,42.29,42.29
42.29,42.29,42.29,42.29
41.75,42.22,42.27,41.75
41.30,41.30,41.34,41.30
42.00,42.00,42.00,42.00
