VAW,Vanguard Materials ETF - DNQ,NASDAQ
61.92,60.76,61.92,60.40
60.84,60.04,61.56,59.91
59.99,59.63,60.56,58.44
59.96,59.32,60.07,58.97
60.15,59.18,60.70,58.67
59.16,61.57,61.58,59.16
61.84,62.55,62.63,61.61
62.61,64.02,64.09,62.61
63.68,63.17,63.97,62.91
64.58,64.70,65.01,64.13
64.35,64.60,64.95,63.93
64.50,64.59,64.69,63.59
64.09,62.59,64.15,62.49
62.76,62.73,62.96,61.95
62.05,64.58,64.62,62.03
65.24,64.23,65.50,63.83
64.98,65.90,66.27,64.98
65.80,67.36,67.36,65.80
67.64,67.77,67.78,67.22
68.55,67.25,68.55,66.86
66.81,66.74,67.34,66.50
67.25,66.86,67.86,66.14
66.00,67.21,67.46,66.00
68.14,68.91,69.09,68.14
68.57,67.82,68.57,67.65
68.01,68.46,68.58,67.83
68.11,68.61,68.74,68.10
68.20,68.40,68.98,67.71
68.71,68.76,68.95,68.39
68.07,68.00,68.48,67.35
66.51,65.76,66.63,65.62
64.78,66.05,66.32,64.44
65.85,65.70,66.09,65.58
65.40,66.00,66.40,65.35
66.95,67.68,68.19,66.94
67.61,67.91,68.27,67.09
67.70,66.38,67.91,66.08
65.88,66.15,66.20,65.53
66.42,65.43,66.84,65.43
64.18,64.01,64.80,63.90
63.40,64.23,64.47,62.87
64.68,64.23,65.26,64.10
64.84,66.07,66.08,63.93
65.80,65.05,66.16,65.05
64.79,65.38,65.74,64.68
66.21,67.43,67.51,66.21
67.56,68.25,68.25,67.37
68.93,69.06,69.12,68.65
68.99,68.44,68.99,68.39
68.55,68.86,69.36,68.55
69.59,68.72,69.64,68.50
68.79,69.09,69.34,68.79
69.76,70.27,70.44,69.76
70.12,70.23,70.67,69.77
70.00,70.18,70.22,69.52
70.02,70.50,70.55,69.99
70.89,70.49,70.89,70.05
70.69,71.03,71.15,70.06
71.14,70.66,71.14,70.09
70.63,70.78,71.33,70.56
70.25,70.07,70.95,69.82
70.95,71.80,71.87,70.95
71.99,71.49,71.99,71.43
71.55,71.70,71.81,70.24
71.54,71.15,71.66,71.03
71.75,70.90,71.95,70.36
71.63,71.69,71.86,71.28
71.38,70.69,71.61,70.36
71.38,72.63,72.85,71.38
72.79,73.13,73.41,72.79
73.59,72.60,73.59,71.89
72.74,74.00,74.22,72.74
74.43,74.01,74.43,73.79
73.84,74.15,74.35,73.00
74.62,75.43,75.74,74.62
75.66,74.77,75.66,74.34
75.69,75.01,75.69,74.08
75.00,75.20,75.32,74.50
74.20,73.55,74.54,73.20
73.89,75.06,75.51,73.89
75.49,74.96,75.68,74.18
75.17,74.55,75.17,74.25
75.32,75.90,76.43,75.32
75.42,75.73,75.90,74.64
75.30,75.18,75.30,74.23
75.85,74.98,75.88,74.58
74.82,75.65,75.80,74.77
76.22,75.63,76.57,75.17
76.60,76.39,76.75,76.12
76.65,76.22,76.65,75.20
77.54,78.69,78.69,77.40
79.01,78.94,79.46,78.64
78.84,79.30,79.39,78.55
79.83,77.97,79.95,77.50
78.02,78.48,78.51,77.07
77.95,79.09,79.15,77.95
78.37,77.27,78.43,76.69
77.60,76.71,77.75,76.70
76.12,75.08,76.12,74.48
75.01,75.10,75.75,74.78
76.18,76.61,77.12,76.16
76.61,77.12,77.16,76.07
76.84,77.49,77.56,76.45
76.62,76.25,76.62,75.75
77.00,77.62,77.62,76.97
76.58,76.86,77.11,76.58
76.42,76.98,77.17,75.32
76.21,76.93,77.52,76.20
78.04,79.01,79.01,78.04
79.16,80.07,80.23,79.16
79.88,80.83,80.98,79.84
80.82,80.95,81.09,80.65
82.06,80.91,82.14,80.85
81.13,80.25,81.25,79.88
80.95,80.54,80.95,80.06
80.92,81.28,81.38,80.44
82.22,81.56,82.25,81.52
81.85,81.71,82.09,81.38
81.56,81.19,81.97,81.06
81.50,81.91,81.91,80.65
82.20,82.49,82.56,81.80
82.97,82.72,83.01,82.30
83.21,83.63,83.75,83.01
82.27,81.80,82.27,81.55
81.85,81.96,82.15,81.61
81.36,81.91,81.97,81.30
82.09,82.09,82.32,81.84
82.39,82.57,82.72,82.25
82.63,82.60,82.93,82.48
82.60,82.60,82.82,82.36
83.54,83.25,84.09,83.04
83.59,82.64,83.59,81.51
82.29,82.78,82.86,81.90
82.99,82.44,83.17,82.20
82.67,82.26,82.86,81.55
82.00,82.39,82.51,81.01
82.88,83.07,83.15,82.55
83.69,83.98,84.07,83.48
84.16,83.35,84.22,83.19
83.40,83.49,83.55,82.75
83.56,84.09,84.13,83.56
84.19,81.96,84.19,81.84
81.38,80.73,81.38,80.15
81.13,80.52,81.58,80.44
80.69,81.50,81.86,80.69
81.27,81.65,81.65,80.71
82.00,83.43,83.58,82.00
83.57,82.89,83.57,82.32
83.05,81.62,83.31,81.53
81.68,82.76,82.96,81.68
83.50,85.02,85.11,83.49
85.01,84.76,85.29,84.49
84.92,85.01,85.22,83.80
85.25,85.06,85.27,84.32
85.50,85.52,86.11,85.37
86.12,85.91,86.12,85.31
85.74,85.04,85.74,84.66
84.13,85.37,85.82,84.13
85.15,85.89,86.13,84.94
86.08,86.81,86.94,86.08
86.65,85.98,86.88,85.88
86.38,87.10,87.20,86.38
87.09,87.86,87.93,86.77
88.07,87.04,88.07,86.71
86.19,84.13,86.50,84.01
84.13,83.40,84.34,81.88
83.16,83.02,83.99,81.95
83.53,84.52,84.52,83.53
85.00,85.19,85.37,84.41
85.70,83.47,85.77,83.35
83.39,83.70,84.28,83.11
84.75,85.41,85.52,84.74
85.45,84.96,85.70,84.25
85.00,83.43,85.54,82.94
83.35,84.22,84.56,82.56
84.08,83.02,84.08,82.74
81.98,81.04,82.13,80.77
80.33,82.09,82.38,80.16
81.57,82.25,82.78,81.31
79.99,82.05,82.68,79.22
82.26,80.51,82.27,79.86
82.04,81.70,82.50,81.49
83.26,82.30,83.26,82.10
83.80,83.84,83.91,83.19
83.68,83.61,84.00,83.21
83.60,84.65,84.86,83.11
85.39,85.11,85.39,84.35
85.35,85.64,86.35,85.24
86.06,85.22,86.23,85.22
85.30,86.10,86.14,84.74
86.87,87.10,87.26,86.01
87.10,87.36,87.71,87.09
87.98,87.83,88.18,87.43
88.32,88.41,88.66,88.12
88.40,89.41,89.83,88.14
89.99,88.77,90.18,88.49
88.82,88.66,89.49,88.25
89.22,88.01,89.35,87.58
88.24,86.76,88.36,86.34
86.00,85.50,86.21,85.22
86.06,85.29,86.27,84.58
84.90,85.50,85.69,84.68
85.87,86.04,86.19,85.22
85.54,84.86,85.54,84.03
85.16,86.24,86.24,85.16
87.99,87.32,87.99,87.21
87.89,88.31,88.33,87.65
88.47,87.96,88.60,87.40
88.40,88.89,89.22,88.09
89.24,89.06,89.24,87.44
89.01,89.15,89.77,88.77
89.21,89.61,89.74,88.99
89.79,88.92,90.16,88.71
88.70,87.79,88.84,87.16
87.59,86.24,87.63,85.65
85.53,85.44,86.68,84.94
86.43,86.07,87.26,85.64
86.45,87.35,87.55,86.20
87.76,88.05,88.29,87.24
87.94,85.88,87.94,85.55
85.53,85.88,86.35,84.75
85.89,84.75,86.26,84.50
84.37,84.32,86.00,84.10
84.00,83.57,84.33,82.95
83.77,85.26,85.40,83.66
85.66,85.25,86.11,84.91
85.07,84.46,85.25,83.91
83.01,83.51,83.72,82.70
83.89,83.80,84.75,83.39
83.58,84.95,85.36,83.49
84.75,85.23,85.44,84.39
85.54,86.17,86.60,85.54
87.11,87.13,87.44,85.93
86.78,84.55,87.00,84.44
84.60,84.53,85.50,83.75
83.10,83.30,83.92,83.02
83.10,82.25,83.69,82.08
82.76,82.63,83.47,82.46
82.36,81.77,82.46,81.50
82.00,83.06,83.45,82.00
82.56,81.95,82.86,81.71
82.17,81.36,82.47,80.81
82.19,82.78,83.28,82.12
82.10,81.03,82.58,80.85
80.86,80.03,81.21,78.95
80.83,79.98,80.99,79.78
79.85,80.73,80.93,79.85
81.38,82.97,83.12,81.38
82.65,82.72,83.68,82.60
81.60,82.79,82.79,80.56
82.90,82.17,83.23,81.95
82.16,82.39,82.67,81.47
82.85,83.78,83.80,82.56
84.39,85.00,85.39,84.01
85.29,86.07,86.25,84.98
86.11,86.96,87.03,85.47
86.86,87.10,87.39,86.65
86.88,87.30,87.66,86.46
88.15,88.54,88.96,88.15
87.40,88.00,88.04,87.01
86.72,85.96,86.89,85.55
85.58,85.66,86.47,85.57
86.19,86.43,87.34,86.19
86.60,85.39,87.07,85.21
85.89,86.19,86.21,85.40
85.90,85.27,86.21,84.92
85.96,86.56,86.63,85.96
86.98,86.81,86.98,86.33
87.25,87.91,88.00,86.82
87.91,87.75,88.16,87.44
86.86,87.45,87.95,86.71
87.45,86.69,87.45,86.47
86.24,84.79,86.63,84.60
84.74,84.51,85.79,84.47
83.33,83.95,84.49,82.75
85.61,83.66,85.61,82.95
83.10,80.94,83.81,80.94
81.00,81.18,81.51,78.99
80.14,75.36,80.14,75.32
76.50,74.99,77.00,72.75
72.15,69.26,73.51,68.78
70.29,73.55,73.55,69.16
72.24,71.13,73.85,70.95
71.72,74.70,75.67,71.59
75.81,75.39,76.02,74.79
75.93,76.77,76.79,75.59
75.92,75.51,76.51,74.91
76.11,75.51,76.82,75.19
73.10,71.13,73.65,70.62
70.14,69.98,72.26,69.98
71.77,69.97,71.77,69.81
70.44,72.24,72.27,70.00
71.98,73.36,73.40,71.84
73.77,72.52,74.00,72.33
72.03,74.25,74.27,70.96
75.33,76.85,76.85,75.06
76.38,77.48,77.91,76.29
78.16,77.56,78.74,76.93
77.44,76.42,78.22,76.29
74.63,74.53,75.34,74.17
72.03,74.22,74.26,72.03
75.33,76.37,76.37,75.05
75.88,75.42,76.68,75.16
74.62,73.24,74.63,72.78
72.21,72.56,73.50,71.14
72.79,73.85,74.12,72.33
74.29,74.92,75.76,73.11
75.76,75.97,76.09,74.84
76.43,76.21,76.71,75.56
74.75,75.01,75.34,73.97
75.05,73.92,75.77,73.90
73.83,70.63,73.83,70.63
68.66,66.84,68.66,65.71
66.31,66.49,67.46,65.96
67.03,68.48,68.48,65.68
70.27,69.91,71.48,69.62
70.11,66.80,70.11,66.71
68.31,66.80,68.39,65.64
65.76,64.47,66.18,64.44
63.79,62.42,65.40,62.42
61.28,64.79,64.81,60.58
65.33,67.28,67.51,64.60
67.76,69.13,69.16,67.17
69.44,67.89,69.45,67.14
69.24,70.77,70.77,69.24
69.99,70.98,71.52,69.92
71.67,71.95,72.90,71.44
71.31,71.59,71.76,70.35
72.61,73.35,73.45,72.16
72.83,70.85,72.91,70.77
70.73,72.75,73.14,69.66
72.53,70.57,72.53,70.41
70.54,71.19,71.41,69.69
72.26,73.13,73.13,72.16
73.43,75.16,75.25,73.43
74.89,73.17,74.97,73.09
74.24,74.64,75.08,72.61
77.23,78.80,79.63,76.86
77.94,79.38,79.65,77.94
79.07,76.04,79.07,76.04
72.75,73.90,75.24,72.22
75.29,75.70,76.21,74.62
76.79,77.44,77.57,75.21
76.54,77.37,77.53,76.00
77.30,77.81,77.96,76.23
78.39,78.69,78.81,77.22
76.37,75.07,76.92,74.76
76.28,75.80,76.33,74.61
77.00,77.53,77.85,76.67
76.84,76.75,77.59,76.26
76.39,76.98,77.38,75.84
75.86,75.32,76.84,75.25
75.06,73.09,75.33,72.75
73.96,73.44,74.23,72.99
71.83,72.18,72.46,71.26
71.94,71.66,72.62,71.35
70.77,69.67,70.83,69.52
69.29,69.19,70.16,69.11
71.62,71.80,72.26,71.22
72.16,72.02,72.62,71.66
74.67,76.45,76.45,74.67
76.32,75.90,77.11,75.64
76.98,75.56,77.13,75.41
76.54,76.24,77.16,75.79
76.07,76.78,77.39,75.82
76.34,76.72,76.99,75.81
76.16,74.24,76.16,74.14
74.19,75.47,75.82,73.67
74.37,73.74,74.37,73.14
74.09,72.44,75.01,71.97
71.81,71.50,72.29,71.11
72.52,72.03,72.62,71.45
72.64,72.80,73.50,72.10
72.97,71.22,73.12,71.05
72.42,74.10,74.20,72.42
72.62,72.73,72.98,71.72
73.00,73.40,73.63,72.78
73.43,74.00,74.00,73.43
73.95,73.95,74.30,73.71
73.98,72.23,74.14,72.19
72.17,73.14,73.22,72.14
72.77,73.13,73.47,72.77
74.55,75.16,75.50,74.55
75.01,75.72,75.82,74.80
75.41,75.86,76.13,74.72
75.82,75.80,76.15,75.46
76.13,75.99,76.26,75.62
77.27,77.50,77.77,77.09
77.13,78.15,78.28,77.11
78.45,79.30,79.37,78.06
78.77,78.75,78.87,78.01
79.89,79.20,80.00,78.93
79.15,80.21,80.29,78.88
80.65,80.32,80.65,79.80
79.95,80.12,80.40,79.88
80.20,80.15,80.68,79.90
79.49,80.36,80.39,79.20
80.07,81.56,81.71,79.56
81.81,81.33,82.72,81.00
81.18,81.98,82.13,81.18
81.05,81.78,82.12,80.66
82.29,81.85,82.62,81.10
82.39,82.92,83.45,82.39
83.13,82.69,83.50,82.57
83.64,83.91,84.09,83.39
83.60,83.61,83.65,83.13
83.55,83.37,83.85,82.75
83.60,83.43,84.00,82.96
83.71,83.50,83.73,82.95
82.50,82.02,82.50,81.69
82.62,82.43,82.71,82.23
82.18,81.40,82.18,80.76
81.86,81.24,81.90,81.06
81.23,82.71,82.81,81.00
83.19,82.77,83.19,82.54
83.22,83.03,83.73,82.72
82.93,82.71,83.21,82.36
82.52,83.00,83.15,82.17
83.12,82.96,83.41,82.82
82.37,83.00,83.22,81.93
83.19,83.17,83.57,82.88
83.35,81.76,83.55,81.53
82.10,82.56,82.96,82.10
82.50,82.20,83.02,81.87
82.08,80.94,82.08,80.44
79.92,79.05,79.92,78.70
79.26,79.43,79.68,78.87
80.06,80.88,81.01,79.99
80.91,81.15,81.75,80.77
81.15,80.61,81.45,80.48
81.04,82.16,82.17,81.00
82.02,81.69,82.15,81.42
81.94,82.33,82.33,81.56
82.40,82.50,82.87,82.36
82.40,82.92,83.53,82.28
82.39,82.40,82.54,81.68
82.47,82.40,82.74,82.09
81.70,80.98,81.70,80.53
81.14,81.94,82.02,80.47
82.76,82.95,83.00,82.31
83.15,82.82,83.61,82.78
82.70,81.75,82.72,81.14
81.20,81.87,81.94,80.74
82.32,82.21,82.52,81.67
82.08,83.27,83.63,82.00
83.28,82.70,83.28,82.09
81.64,81.60,81.82,81.04
81.32,81.05,82.27,80.80
79.90,79.85,80.17,79.60
79.71,78.09,79.78,77.90
79.00,78.94,79.42,78.73
79.10,81.11,81.30,79.10
80.84,80.39,81.05,80.22
80.88,80.54,81.02,79.93
81.11,81.68,82.15,80.98
81.37,81.29,81.67,81.10
81.56,81.02,81.79,80.58
81.52,81.15,81.68,81.15
80.05,80.00,80.05,79.14
80.02,79.97,80.39,79.59
81.35,81.85,81.88,81.05
81.15,81.84,82.07,81.04
82.20,82.28,82.47,81.76
81.99,81.50,81.99,81.15
81.56,81.85,82.60,81.34
81.39,81.42,81.57,80.89
81.57,80.55,81.57,80.39
80.10,79.18,80.11,78.96
78.74,79.06,79.46,78.58
78.45,78.70,78.78,77.28
77.55,78.18,78.98,77.33
78.90,78.06,79.08,77.89
77.46,77.90,78.52,77.46
76.96,76.67,77.34,76.47
76.65,75.62,76.92,75.45
75.91,74.62,76.56,74.57
74.73,72.78,74.89,72.77
72.99,72.23,73.50,72.04
72.48,74.52,74.68,72.48
74.69,74.03,75.23,73.58
73.47,74.84,74.99,72.50
75.13,75.26,75.42,74.37
75.29,75.00,75.50,74.78
76.11,76.39,76.73,75.61
75.96,74.96,75.96,74.88
74.88,74.47,74.95,73.57
72.49,72.91,73.67,72.49
72.97,72.86,73.07,71.63
72.55,73.60,73.67,72.55
74.34,75.29,75.29,74.34
76.45,75.45,77.03,75.44
75.26,75.96,76.09,74.67
76.76,74.47,76.82,74.45
74.81,75.84,75.84,74.43
75.59,74.72,75.89,74.48
74.89,75.19,75.41,74.46
75.55,76.18,76.23,75.31
75.48,76.51,76.72,75.48
77.04,78.15,78.50,77.04
77.93,77.88,78.60,77.39
77.72,75.16,77.72,75.12
75.48,75.69,75.82,74.78
74.64,74.63,74.77,74.13
74.70,74.82,75.12,74.24
75.12,75.50,75.66,75.04
75.00,75.62,75.62,74.44
77.47,77.75,77.76,77.00
77.83,77.72,77.83,76.77
77.96,78.84,79.07,77.93
78.60,78.90,79.24,78.25
77.98,77.90,77.99,77.46
77.89,77.33,77.89,77.09
78.04,76.21,78.04,75.79
76.21,75.97,76.33,75.47
75.16,75.52,75.98,74.40
75.89,76.91,77.11,75.89
76.68,76.62,76.87,76.06
77.00,77.51,77.61,76.56
77.17,77.88,78.12,77.17
78.21,78.73,78.88,77.94
78.34,78.07,78.34,77.92
76.72,76.83,76.98,76.10
76.75,75.64,76.90,75.15
76.09,75.64,76.17,75.24
76.55,76.14,76.71,75.58
76.50,77.75,77.94,76.40
77.63,77.74,78.09,77.37
77.50,77.29,77.74,77.13
77.52,76.96,77.96,76.95
76.47,76.22,76.99,75.66
77.74,77.74,78.16,77.38
78.18,78.67,79.04,78.12
78.93,79.41,79.79,78.93
79.19,79.60,79.89,79.10
79.50,79.95,80.27,79.40
79.43,80.07,80.10,79.43
79.83,79.56,80.02,79.16
79.88,79.22,80.06,79.01
79.02,79.62,79.65,79.00
79.58,80.78,80.91,79.58
80.90,80.87,80.98,80.56
80.50,80.73,80.78,80.13
80.90,80.72,81.69,80.49
80.58,81.27,81.27,80.04
81.27,80.14,81.27,80.07
79.77,80.01,80.18,79.59
80.25,79.55,80.25,79.48
79.33,79.39,79.72,79.26
79.45,79.66,79.78,79.05
79.36,78.91,79.36,78.87
79.55,79.85,79.99,79.12
79.76,79.03,79.76,78.57
78.87,79.25,79.38,78.87
79.79,81.18,81.28,79.79
81.75,82.74,82.79,81.75
82.42,82.67,83.39,82.42
82.77,82.91,83.43,82.60
82.98,82.88,83.32,82.32
82.84,84.93,85.31,82.64
85.48,85.99,86.55,85.48
85.77,84.67,85.77,84.45
84.42,84.35,84.58,83.94
84.48,84.93,85.15,84.48
84.20,84.69,84.78,83.71
85.41,84.41,85.64,84.36
83.75,84.09,84.42,83.75
84.25,82.69,84.42,82.69
82.51,82.33,82.74,81.70
82.96,83.39,83.49,82.45
82.96,82.90,83.07,82.56
83.36,83.05,83.90,82.84
83.34,82.70,83.36,82.25
82.75,82.37,82.82,82.11
83.02,83.43,83.63,82.85
83.81,83.73,84.54,83.51
83.30,83.48,83.79,83.13
83.42,82.70,83.81,82.70
82.60,81.93,82.60,81.79
82.54,82.31,83.03,82.28
82.51,81.79,82.57,81.57
81.89,82.49,82.53,81.50
82.99,84.24,84.34,82.99
84.55,85.04,85.18,84.36
84.94,85.15,85.46,84.47
84.80,83.57,84.80,83.16
83.25,83.75,83.83,82.91
82.19,81.69,82.19,81.00
82.00,81.56,82.32,81.39
82.19,81.54,82.31,80.95
81.63,81.65,81.85,81.04
81.83,81.69,82.18,81.33
81.78,83.47,83.47,81.78
83.66,81.80,83.66,81.79
81.86,82.37,82.42,81.50
82.54,83.11,83.50,82.37
82.11,81.88,82.22,80.99
81.53,80.70,81.81,80.49
80.27,80.55,81.48,80.27
81.04,80.42,81.04,80.26
80.08,80.21,80.91,79.76
80.20,78.72,80.21,78.62
78.47,78.21,78.84,77.74
78.24,78.53,78.71,77.48
80.16,80.80,80.83,79.75
80.76,80.82,81.22,80.30
80.90,80.94,81.10,80.80
81.40,82.13,82.13,81.36
81.79,82.12,82.12,81.42
81.99,81.92,82.44,81.76
81.24,82.18,82.21,80.72
82.99,82.81,83.00,82.42
82.78,82.86,83.14,82.63
83.22,81.50,83.34,81.41
81.33,81.73,82.25,81.06
80.91,81.01,81.59,80.50
80.92,81.23,81.27,80.74
81.62,81.85,81.85,81.32
81.71,82.44,82.54,81.71
82.79,83.02,83.25,82.65
83.40,82.83,83.57,82.69
82.71,82.39,83.14,82.12
82.48,83.02,83.28,82.42
83.26,83.83,83.84,83.18
83.85,84.86,84.92,83.85
84.91,84.55,85.00,84.09
82.94,83.67,83.67,82.67
82.00,83.15,83.27,82.00
83.14,83.42,83.54,82.69
83.42,83.78,84.07,83.42
83.98,83.51,83.98,82.54
82.94,82.56,83.27,82.43
82.37,84.21,84.25,82.34
86.20,86.44,86.63,85.50
86.58,85.86,86.75,85.64
86.02,86.93,87.00,86.01
86.62,86.76,86.82,86.31
87.15,86.81,87.15,86.26
87.05,87.34,87.36,87.02
88.08,87.62,88.10,86.95
87.60,87.50,87.60,87.05
87.60,87.53,87.79,87.33
87.25,87.59,87.73,87.03
87.41,87.01,87.41,86.81
87.43,87.84,88.00,87.43
87.90,88.20,88.21,87.59
88.37,88.91,89.05,88.21
88.96,88.69,89.10,88.41
88.56,88.81,89.29,88.42
89.06,89.05,89.30,88.50
89.18,88.27,89.18,88.00
88.26,88.69,88.74,88.10
88.80,87.99,89.00,87.84
87.02,87.53,87.98,87.02
87.90,88.54,88.58,87.63
88.08,87.63,88.08,87.57
88.42,88.10,88.42,87.96
87.82,88.35,88.49,87.50
88.40,87.94,88.40,87.25
87.96,88.43,88.48,87.96
88.42,88.32,88.42,88.07
88.32,88.48,88.50,87.99
88.50,88.73,88.90,88.50
88.58,88.63,88.73,88.26
88.76,88.53,88.89,88.25
88.70,88.34,88.96,88.23
88.13,85.61,88.13,85.51
85.19,84.88,85.40,84.28
85.37,86.04,86.06,85.29
86.43,84.05,86.44,84.05
84.57,84.84,84.89,84.01
84.80,86.31,86.53,84.80
86.29,86.33,86.86,86.16
85.71,86.22,86.54,85.25
86.15,86.46,86.46,85.63
86.98,86.98,87.62,86.88
87.47,87.83,88.04,87.45
88.00,88.11,88.30,88.00
88.58,88.94,89.03,88.44
89.04,89.31,89.42,88.56
89.31,89.45,89.88,89.20
89.49,89.24,89.49,88.96
89.38,89.84,89.86,89.29
89.80,89.87,90.04,89.62
89.19,89.29,89.60,88.21
89.49,88.99,89.49,88.15
89.16,89.68,89.80,89.16
89.30,88.40,89.30,88.35
88.70,88.32,88.72,88.13
88.67,87.78,88.67,87.36
88.09,88.29,88.33,87.85
87.80,88.30,88.30,87.41
88.20,88.73,88.79,88.08
88.83,87.59,88.84,87.41
87.90,86.76,87.91,86.60
86.89,85.84,86.99,85.32
85.80,86.43,86.74,85.80
85.50,86.22,86.23,85.27
86.34,86.49,86.52,85.84
86.74,87.31,87.71,86.73
87.38,88.00,88.03,87.30
87.75,88.27,88.77,87.75
87.93,87.21,88.15,86.77
86.37,83.66,86.37,83.60
84.65,85.36,85.36,84.65
84.61,83.96,84.61,83.51
84.21,83.69,84.40,83.20
84.25,84.76,84.76,83.98
85.00,85.48,85.77,84.18
85.66,86.32,86.33,85.47
86.44,87.71,87.82,86.44
88.33,88.39,89.07,88.08
88.32,87.20,88.32,86.87
87.62,88.24,88.35,87.13
88.04,88.58,88.58,87.50
88.15,86.85,88.15,86.80
87.02,87.64,87.84,86.59
88.80,89.24,89.72,88.75
89.35,89.55,89.65,89.06
89.90,90.31,90.44,89.45
90.38,91.14,91.14,90.10
91.15,90.81,91.36,90.62
90.67,90.91,91.00,90.23
90.85,90.18,90.85,89.98
90.26,91.29,91.30,90.26
90.92,91.77,92.02,90.92
91.57,91.25,92.04,91.20
91.73,92.39,92.42,91.64
92.40,92.53,92.86,92.00
92.65,92.47,92.93,92.27
92.68,91.28,93.36,90.92
90.20,91.16,91.34,89.87
90.67,90.85,90.97,90.30
91.97,91.90,92.24,91.56
91.55,91.60,91.67,90.63
91.60,91.90,92.18,91.46
91.66,90.58,92.00,90.58
90.81,91.01,91.03,89.88
90.85,90.68,91.42,90.15
90.52,88.81,90.52,88.81
88.89,89.43,89.43,88.50
89.83,90.05,90.25,89.33
90.38,90.53,90.66,90.03
89.62,89.32,90.06,89.01
90.00,88.80,90.04,88.69
88.62,90.47,90.50,88.50
90.31,89.92,90.85,89.66
89.84,90.48,90.78,89.84
90.63,90.97,91.18,90.56
91.03,90.17,91.18,90.17
