BRK.B,Berkshire Hathaway Inc. New Common Stock,NASDAQ
82.39,81.92,83.30,81.52
81.66,82.32,82.33,81.42
82.39,81.58,82.50,81.26
81.19,79.66,81.39,79.50
80.60,80.21,81.51,80.13
80.12,80.73,81.44,80.12
80.96,81.23,81.35,80.60
80.95,80.10,81.14,79.94
80.00,80.70,81.10,79.75
80.65,79.65,81.10,79.54
79.54,79.48,80.25,79.11
79.21,78.93,79.44,78.57
79.13,79.62,79.69,78.90
79.75,79.28,79.97,78.91
79.21,78.72,79.60,78.64
78.15,77.89,78.33,77.62
78.00,77.67,78.23,77.60
77.51,78.16,78.54,77.23
78.12,78.31,78.72,77.50
78.39,78.04,78.55,77.65
78.43,79.07,79.07,78.29
78.76,77.08,78.89,77.01
77.20,77.16,77.94,77.01
76.49,76.25,76.97,76.11
75.83,75.34,76.15,75.22
75.70,74.86,75.92,74.83
74.72,74.33,75.07,74.28
74.40,75.01,75.42,74.34
74.87,74.06,74.87,73.72
74.08,74.29,74.51,73.71
74.80,75.11,75.80,74.65
74.76,73.83,74.77,73.23
73.71,75.01,75.14,73.71
75.65,75.51,75.88,75.16
75.48,76.10,76.48,75.44
76.41,76.49,76.81,76.15
76.41,75.97,76.49,75.95
75.25,75.61,75.74,74.48
75.56,75.62,75.78,74.65
75.70,75.63,76.38,75.35
76.03,76.42,76.42,75.83
76.55,77.03,77.06,76.27
77.33,77.39,77.50,76.56
77.24,78.09,78.19,76.70
77.87,77.31,77.98,76.98
77.27,76.52,77.27,76.18
77.13,77.77,77.96,76.86
76.92,76.90,76.98,76.37
76.00,75.27,76.34,75.01
75.07,75.78,76.75,75.00
76.11,76.32,76.97,76.10
76.50,76.10,76.69,75.88
76.41,75.36,76.41,74.95
75.12,75.11,75.36,74.73
75.29,76.29,76.29,75.17
76.44,76.14,76.50,75.82
76.40,77.34,77.60,76.34
77.26,77.05,77.46,76.61
75.91,75.91,76.32,75.69
75.79,75.51,76.00,75.43
75.01,74.69,75.35,74.66
74.72,74.85,75.47,74.52
74.27,74.17,74.99,74.13
75.70,74.93,75.70,74.22
74.41,73.37,74.74,73.37
73.49,74.01,74.13,72.85
73.39,70.99,73.46,70.82
71.75,71.25,72.83,70.05
70.00,66.65,71.23,66.51
68.50,72.93,73.03,67.08
71.46,67.60,71.47,67.41
68.37,71.74,73.10,68.19
72.53,71.52,73.24,71.06
72.26,72.54,72.63,71.52
72.05,71.78,72.25,70.76
72.62,72.38,73.27,71.82
70.34,69.56,70.57,68.35
68.77,68.33,70.54,68.17
69.29,67.80,69.87,67.70
67.71,69.59,69.66,67.60
69.29,70.75,70.83,69.02
71.28,68.99,71.88,68.60
68.67,69.84,70.74,67.94
70.99,72.60,72.83,70.77
72.16,72.26,73.04,71.81
72.84,73.00,73.59,72.05
73.21,71.37,73.21,71.35
69.90,69.37,70.73,69.21
67.56,68.37,68.80,67.56
69.62,70.70,70.86,69.05
70.13,69.41,70.56,69.40
68.79,67.77,69.10,67.55
67.13,69.24,69.25,67.01
69.06,68.85,69.53,68.12
69.31,69.41,69.95,67.92
69.99,70.83,70.89,69.45
71.21,71.55,71.87,70.55
70.05,69.66,70.21,69.30
70.01,69.72,70.77,69.68
69.81,67.22,70.00,67.11
66.67,66.00,67.00,65.35
65.92,66.37,66.66,65.61
68.90,72.09,72.49,68.90
73.08,72.07,74.29,71.60
72.24,70.78,72.50,70.55
72.31,72.71,72.74,70.98
71.45,71.04,72.42,71.02
71.06,70.06,72.24,70.00
69.29,73.17,73.55,69.07
73.15,73.23,73.45,71.53
73.01,73.63,73.76,72.12
73.62,71.70,73.74,71.64
73.13,74.11,74.41,72.78
73.68,73.41,74.27,72.89
74.01,74.71,75.33,73.33
74.34,74.05,74.62,73.39
74.81,74.75,74.89,73.75
73.95,72.89,74.32,72.55
72.97,75.07,75.50,72.86
74.76,74.11,75.75,73.88
74.39,75.87,76.00,74.23
76.30,77.45,77.50,75.92
77.40,77.24,77.72,76.54
76.79,75.74,76.87,75.31
76.77,78.02,78.47,75.89
79.68,79.90,80.58,79.01
79.74,79.96,80.01,79.04
78.53,77.86,79.72,77.80
76.12,75.52,76.85,75.34
76.62,77.49,77.79,76.14
78.16,78.82,79.00,76.77
78.15,77.24,78.19,76.86
77.48,77.10,77.49,76.03
77.50,78.16,78.40,76.62
76.85,75.40,77.07,75.23
76.47,75.99,76.51,75.29
76.89,76.97,77.13,76.28
76.51,75.86,76.89,75.51
75.46,75.93,76.58,75.23
75.50,74.67,76.00,74.51
74.72,74.30,75.67,73.90
74.90,75.37,75.62,74.57
74.10,74.32,74.97,73.90
74.15,74.36,75.29,74.10
73.78,72.75,73.91,72.72
72.77,72.89,73.53,72.60
74.40,75.48,75.72,74.15
75.87,75.13,75.87,75.01
76.66,78.76,79.01,76.20
78.21,77.81,78.40,77.38
78.53,77.44,78.90,77.32
78.25,78.11,78.84,77.23
78.08,78.15,78.79,77.25
77.82,78.72,78.90,76.96
77.82,76.94,77.99,76.66
77.51,77.61,78.00,77.19
76.94,76.27,77.01,75.67
