AIII,ACRE Realty Investors,NASDAQ
1.74,1.64,1.74,1.53
1.69,1.75,1.75,1.65
1.72,1.60,2.00,1.60
1.66,1.80,1.85,1.66
1.80,1.66,1.80,1.60
1.72,1.80,1.94,1.72
1.85,1.81,1.89,1.80
1.87,1.81,1.87,1.75
1.87,2.09,2.27,1.87
2.20,2.00,2.61,2.00
2.08,2.03,2.14,2.02
2.02,2.00,2.05,2.00
1.80,1.65,1.95,1.25
1.72,1.50,1.72,1.43
1.50,1.55,1.55,1.50
1.65,1.97,2.00,1.65
1.93,1.70,1.93,1.66
1.70,1.69,1.70,1.69
1.69,1.95,1.97,1.69
1.79,1.72,1.79,1.61
1.66,1.85,1.95,1.66
nan,1.85,nan,nan
1.76,1.83,1.83,1.75
1.65,1.55,1.80,1.55
1.49,1.58,1.58,1.49
1.50,1.58,1.58,1.50
1.51,1.56,1.56,1.51
1.59,1.68,1.78,1.56
1.83,1.63,1.83,1.63
1.73,1.95,1.95,1.73
1.95,1.87,1.95,1.87
1.77,1.64,1.77,1.51
1.85,1.57,1.85,1.57
1.70,1.71,1.71,1.62
1.75,1.57,1.80,1.50
1.34,1.34,1.34,1.34
1.26,1.26,1.26,1.26
1.63,1.73,1.73,1.55
1.55,1.71,1.71,1.55
1.80,1.83,1.95,1.53
1.76,2.00,2.00,1.76
1.90,2.00,2.00,1.90
1.99,1.97,2.05,1.96
1.99,2.01,2.01,1.96
2.02,1.83,2.02,1.76
1.75,1.86,1.99,1.53
1.76,1.60,1.76,1.53
1.65,1.56,1.66,1.55
1.70,1.60,1.70,1.55
1.70,1.65,1.70,1.56
1.57,1.57,1.57,1.57
1.58,1.56,1.70,1.53
1.55,1.51,1.56,1.47
1.51,1.51,1.51,1.51
1.52,1.65,1.75,1.52
1.51,1.64,1.64,1.51
1.79,1.80,1.84,1.63
1.80,1.67,1.82,1.67
1.62,1.68,1.68,1.53
1.70,1.70,1.70,1.70
1.80,1.70,1.80,1.70
nan,1.70,nan,nan
1.70,1.60,1.70,1.60
1.75,1.66,1.75,1.66
1.65,1.51,1.65,1.51
1.52,1.51,1.52,1.51
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.54,1.50,1.61,1.50
1.50,1.58,1.58,1.50
1.64,1.56,1.64,1.56
1.60,1.60,1.60,1.60
nan,1.60,nan,nan
1.51,1.50,1.51,1.50
1.55,1.60,1.60,1.55
1.51,1.54,1.54,1.51
1.63,1.63,1.63,1.63
nan,1.63,nan,nan
1.50,1.55,1.55,1.50
1.33,1.33,1.33,1.33
nan,1.55,nan,nan
1.44,1.51,1.55,1.44
1.48,1.51,1.51,1.48
nan,1.51,nan,nan
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.48,1.48,1.48,1.48
1.03,1.03,1.03,1.03
1.48,1.48,1.48,1.48
1.48,1.48,1.48,1.48
1.35,1.35,1.35,1.35
1.48,1.48,1.48,1.48
1.51,1.52,1.52,1.51
1.48,1.48,1.48,1.48
1.54,1.48,1.59,1.47
1.52,1.57,1.60,1.52
1.66,1.48,1.66,1.48
0.81,0.81,0.81,0.81
1.48,1.48,1.48,1.48
1.48,1.40,1.48,1.40
1.43,1.49,1.49,1.41
0.91,0.91,0.91,0.91
1.45,1.58,1.65,1.45
1.59,1.43,1.59,1.43
1.45,1.53,1.53,1.45
1.52,1.45,1.52,1.45
1.46,1.45,1.46,1.45
1.45,1.45,1.45,1.45
1.45,1.46,1.46,1.45
1.52,1.52,1.52,1.52
1.44,1.54,1.54,1.44
1.52,1.51,1.52,1.51
1.52,1.52,1.53,1.52
1.53,1.53,1.53,1.53
1.52,1.49,1.54,1.49
1.25,1.48,1.48,1.25
1.49,1.52,1.52,1.49
0.86,0.86,0.86,0.86
1.46,1.50,1.50,1.46
1.47,1.48,1.48,1.47
1.45,1.46,1.46,1.45
1.46,1.45,1.46,1.45
1.46,1.45,1.49,1.45
1.45,1.45,1.50,1.45
1.45,1.45,1.45,1.45
1.15,1.15,1.15,1.15
1.50,1.51,1.51,1.50
1.45,1.45,1.45,1.45
1.51,1.46,1.51,1.46
1.44,1.43,1.44,1.43
1.49,1.50,1.50,1.49
1.50,1.50,1.50,1.50
1.50,1.46,1.50,1.46
1.12,1.12,1.12,1.12
1.45,1.45,1.45,1.45
1.42,1.50,1.50,1.42
1.22,1.22,1.22,1.22
1.23,1.23,1.23,1.23
1.49,1.44,1.49,1.44
1.45,1.45,1.45,1.45
1.46,1.46,1.46,1.46
1.44,1.43,1.44,1.43
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.39,1.43,1.43,1.39
1.43,1.43,1.43,1.43
1.46,1.46,1.46,1.46
1.45,1.45,1.45,1.45
1.30,1.30,1.30,1.30
1.43,1.43,1.43,1.43
1.30,1.30,1.30,1.30
1.17,1.17,1.17,1.17
1.46,1.46,1.46,1.46
1.31,1.31,1.31,1.31
1.30,1.30,1.30,1.30
1.43,1.43,1.43,1.43
1.43,1.43,1.44,1.43
1.43,1.43,1.46,1.43
1.43,1.46,1.46,1.43
1.43,1.43,1.43,1.43
1.45,1.45,1.45,1.45
1.43,1.43,1.43,1.43
1.17,1.17,1.17,1.17
1.43,1.43,1.46,1.43
1.43,1.43,1.43,1.43
1.17,1.17,1.17,1.17
1.43,1.44,1.44,1.43
1.43,1.43,1.43,1.43
1.17,1.17,1.17,1.17
1.43,1.43,1.43,1.43
1.17,1.17,1.17,1.17
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.43
1.43,1.46,1.46,1.43
1.43,1.44,1.44,1.43
1.43,1.43,1.43,1.43
1.46,1.46,1.46,1.46
1.20,1.20,1.20,1.20
1.43,1.43,1.43,1.43
1.43,1.60,1.60,1.43
1.58,1.55,1.60,1.55
1.60,1.60,1.60,1.60
1.31,1.31,1.31,1.31
1.60,1.60,1.60,1.44
1.31,1.31,1.31,1.31
1.60,1.56,1.65,1.46
1.53,1.52,1.53,1.48
0.51,0.51,0.51,0.51
1.46,1.57,1.60,1.46
1.61,1.62,1.62,1.56
1.56,1.56,1.56,1.56
1.33,1.33,1.33,1.33
1.33,1.33,1.33,1.33
1.57,1.57,1.57,1.57
1.56,1.62,1.62,1.56
1.33,1.33,1.33,1.33
1.56,1.70,1.70,1.56
1.39,1.39,1.39,1.39
1.60,1.60,1.60,1.60
1.31,1.31,1.31,1.31
1.65,1.60,1.65,1.60
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.65,1.71,1.71,1.65
1.70,1.90,2.01,1.70
1.81,1.97,1.97,1.81
1.91,1.90,1.92,1.90
1.90,1.94,1.94,1.90
0.85,0.85,0.85,0.85
1.59,1.59,1.59,1.59
1.59,1.59,1.59,1.59
1.90,1.90,1.93,1.90
1.56,1.56,1.56,1.56
1.90,1.96,2.00,1.90
1.96,1.96,1.96,1.96
2.05,2.00,2.05,2.00
2.00,1.97,2.00,1.97
2.05,2.14,2.14,2.05
2.07,2.07,2.20,2.05
2.05,2.00,2.05,2.00
2.04,2.05,2.05,2.04
2.05,2.05,2.05,2.05
2.01,2.01,2.01,2.01
1.65,1.65,1.65,1.65
2.05,2.01,2.05,2.01
2.01,2.01,2.01,2.01
2.02,2.02,2.02,2.02
1.66,1.66,1.66,1.66
2.10,2.01,2.10,2.01
1.65,1.65,1.65,1.65
1.65,1.65,1.65,1.65
1.92,1.92,1.92,1.92
1.99,1.92,1.99,1.92
1.57,1.57,1.57,1.57
2.00,2.05,2.05,2.00
2.07,2.07,2.08,2.07
2.05,1.94,2.05,1.92
1.92,1.92,1.92,1.92
1.92,1.93,1.93,1.92
1.58,1.58,1.58,1.58
1.92,1.92,1.92,1.92
1.92,1.92,1.92,1.92
1.92,1.90,1.92,1.90
1.56,1.56,1.56,1.56
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.56,1.56,1.56,1.56
1.56,1.56,1.56,1.56
1.56,1.56,1.56,1.56
1.56,1.56,1.56,1.56
1.86,1.80,1.87,1.66
1.48,1.48,1.48,1.48
1.81,1.87,1.87,1.81
1.91,1.91,1.91,1.91
1.57,1.57,1.57,1.57
2.00,2.00,2.40,1.91
1.98,1.87,1.98,1.87
1.87,1.88,1.88,1.87
1.87,1.87,1.87,1.87
1.87,1.87,1.87,1.87
1.87,2.05,2.05,1.87
N/A,N/A,N/A,N/A
2.03,2.00,2.03,2.00
1.95,1.95,1.95,1.95
1.95,1.95,1.95,1.95
2.05,2.05,2.05,2.05
2.03,2.03,2.03,2.03
2.04,1.96,2.04,1.96
1.95,1.95,1.95,1.95
1.96,1.96,1.96,1.96
2.00,2.00,2.00,2.00
1.95,2.05,2.05,1.95
1.68,1.68,1.68,1.68
2.05,2.05,2.05,2.05
1.68,1.68,1.68,1.68
1.68,1.68,1.68,1.68
1.95,1.95,1.95,1.95
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
N/A,N/A,N/A,N/A
2.01,1.95,2.01,1.95
1.95,1.95,1.95,1.95
1.95,2.00,2.00,1.95
1.64,1.64,1.64,1.64
1.64,1.64,1.64,1.64
1.92,1.92,1.92,1.92
1.57,1.57,1.57,1.57
1.91,1.91,1.95,1.91
1.90,1.91,1.91,1.90
1.91,1.91,1.93,1.86
1.91,1.91,1.91,1.91
1.92,1.95,1.95,1.92
1.95,1.95,1.95,1.95
1.91,1.91,1.91,1.91
1.90,1.89,1.90,1.85
1.87,1.87,1.87,1.87
1.90,1.85,1.90,1.85
1.52,1.52,1.52,1.52
1.52,1.52,1.52,1.52
1.52,1.52,1.52,1.52
1.52,1.52,1.52,1.52
N/A,N/A,N/A,N/A
1.90,2.10,2.24,1.90
2.30,2.23,2.30,2.15
2.15,2.07,2.19,2.07
1.70,1.70,1.70,1.70
2.05,2.16,2.27,2.05
2.10,2.11,2.16,2.10
1.73,1.73,1.73,1.73
2.05,2.06,2.06,2.05
2.05,2.10,2.10,2.05
2.02,2.07,2.07,2.02
2.10,2.05,2.10,2.05
2.03,2.03,2.03,2.00
2.07,2.07,2.07,2.07
2.10,2.26,2.26,2.10
2.26,2.26,2.26,2.26
2.41,2.26,2.44,2.26
2.27,2.25,2.27,2.25
2.24,2.22,2.24,2.15
2.23,2.10,2.23,2.10
2.10,2.10,2.17,2.06
2.10,2.06,2.10,2.06
2.06,2.06,2.06,2.06
2.05,2.05,2.05,2.05
2.05,2.04,2.05,1.95
1.95,1.94,1.95,1.79
1.82,1.80,1.82,1.80
1.82,1.80,1.82,1.80
1.48,1.48,1.48,1.48
1.48,1.48,1.48,1.48
1.48,1.48,1.48,1.48
1.75,1.76,1.76,1.75
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.76,1.70,1.76,1.70
1.70,1.70,1.70,1.70
1.82,1.90,1.90,1.82
1.56,1.56,1.56,1.56
1.56,1.56,1.56,1.56
1.56,1.56,1.56,1.56
1.56,1.56,1.56,1.56
1.56,1.56,1.56,1.56
1.56,1.56,1.56,1.56
1.90,1.98,2.10,1.90
2.00,2.00,2.00,2.00
1.64,1.64,1.64,1.64
1.93,1.93,1.93,1.93
1.86,1.90,1.90,1.86
1.56,1.56,1.56,1.56
1.56,1.56,1.56,1.56
1.90,1.90,1.90,1.90
1.56,1.56,1.56,1.56
2.03,2.03,2.03,2.03
1.66,1.66,1.66,1.66
1.66,1.66,1.66,1.66
1.83,1.83,1.83,1.83
1.66,1.66,1.66,1.66
2.05,2.03,2.10,2.03
1.96,1.92,1.96,1.87
1.85,1.85,1.85,1.85
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.74,1.61,1.74,1.52
1.57,1.57,1.60,1.54
1.29,1.29,1.29,1.29
1.67,1.67,1.67,1.67
1.68,1.67,1.68,1.67
1.57,1.57,1.57,1.57
1.19,1.19,1.19,1.19
1.19,1.19,1.19,1.19
1.57,1.58,1.58,1.57
1.19,1.19,1.19,1.19
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.22,1.22,1.22,1.22
1.63,1.63,1.63,1.60
1.30,1.30,1.30,1.30
1.22,1.22,1.22,1.22
1.34,1.34,1.34,1.34
1.34,1.34,1.34,1.34
1.61,1.65,1.65,1.61
1.72,1.72,1.72,1.72
1.38,1.38,1.38,1.38
1.68,1.68,1.68,1.68
1.63,1.63,1.63,1.63
1.65,1.65,1.65,1.65
1.63,1.51,1.63,1.51
1.24,1.24,1.24,1.24
1.11,1.11,1.11,1.11
1.51,1.51,1.51,1.51
1.51,1.51,1.51,1.51
1.11,1.11,1.11,1.11
1.24,1.24,1.24,1.24
1.54,1.54,1.54,1.54
1.24,1.24,1.24,1.24
1.45,1.45,1.45,1.45
1.19,1.19,1.19,1.19
1.48,1.64,1.80,1.48
1.19,1.19,1.19,1.19
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.60,1.52,1.60,1.45
1.45,1.49,1.49,1.31
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.38,1.35,1.38,1.35
1.11,1.11,1.11,1.11
1.29,1.27,1.33,1.27
1.28,1.27,1.29,1.27
1.27,1.36,1.44,1.27
1.35,1.28,1.35,1.28
1.28,1.28,1.28,1.28
1.28,1.28,1.28,1.25
1.29,1.29,1.29,1.29
0.97,0.97,0.97,0.97
1.28,1.28,1.28,1.28
1.28,1.28,1.28,1.28
1.27,1.28,1.28,1.27
1.28,1.28,1.28,1.28
1.40,1.53,1.53,1.40
1.16,1.16,1.16,1.16
1.49,1.49,1.49,1.49
1.50,1.53,1.53,1.48
1.54,1.59,1.61,1.54
1.53,1.70,1.70,1.53
1.77,1.77,1.77,1.77
1.71,1.71,1.71,1.71
1.52,1.52,1.52,1.52
1.69,1.71,1.71,1.69
1.71,1.62,1.71,1.62
1.33,1.33,1.33,1.33
1.71,1.71,1.71,1.71
1.71,1.71,1.71,1.71
1.71,1.71,1.71,1.71
1.71,1.65,1.71,1.65
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.54,1.55,1.60,1.36
1.33,1.33,1.33,1.33
1.59,1.59,1.59,1.59
1.57,1.64,1.65,1.57
1.60,1.60,1.60,1.60
1.38,1.38,1.38,1.38
1.56,1.45,1.58,1.32
1.44,1.44,1.44,1.44
1.06,1.06,1.06,1.06
1.44,1.62,1.62,1.40
1.50,1.60,1.60,1.40
1.31,1.31,1.31,1.31
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.43,1.51,1.51,1.40
nan,1.43,nan,nan
1.10,1.10,1.10,1.10
1.38,1.45,1.45,1.38
1.33,1.38,1.49,1.33
1.38,1.38,1.38,1.38
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.41,1.42,1.42,1.41
1.05,1.05,1.05,1.05
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.32,1.32,1.32,1.32
1.08,1.08,1.08,1.08
1.30,1.37,1.37,1.30
1.08,1.08,1.08,1.08
1.12,1.12,1.12,1.12
1.12,1.12,1.12,1.12
1.12,1.12,1.12,1.12
1.37,1.47,1.47,1.37
1.49,1.49,1.49,1.49
1.46,1.45,1.46,1.45
1.44,1.49,1.53,1.44
1.49,1.49,1.49,1.49
1.51,1.44,1.51,1.44
1.51,1.50,1.51,1.32
1.23,1.23,1.23,1.23
1.23,1.23,1.23,1.23
1.40,1.54,1.54,1.40
1.41,1.36,1.41,1.35
1.35,1.35,1.35,1.35
1.11,1.11,1.11,1.11
1.11,1.11,1.11,1.11
1.45,1.48,1.48,1.45
1.21,1.21,1.21,1.21
1.35,1.36,1.36,1.32
1.08,1.08,1.08,1.08
1.32,1.32,1.32,1.32
1.43,1.43,1.43,1.43
1.33,1.38,1.38,1.33
1.32,1.39,1.39,1.32
1.37,1.37,1.37,1.34
1.37,1.33,1.37,1.33
1.39,1.33,1.39,1.33
1.32,1.43,1.45,1.32
1.40,1.53,1.53,1.40
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.53,1.41,1.53,1.41
1.41,1.27,1.41,1.25
1.30,1.30,1.30,1.30
1.35,1.34,1.35,1.25
1.16,1.16,1.16,1.16
1.37,1.37,1.37,1.37
1.33,1.33,1.33,1.33
1.25,1.25,1.25,1.25
1.16,1.16,1.16,1.16
1.25,1.25,1.25,1.25
1.34,1.38,1.38,1.25
1.37,1.38,1.43,1.35
1.31,1.37,1.37,1.27
1.36,1.37,1.40,1.25
1.44,1.39,1.44,1.32
1.42,1.41,1.42,1.41
1.30,1.37,1.37,1.27
1.12,1.12,1.12,1.12
1.10,1.10,1.10,1.10
1.30,1.34,1.34,1.30
1.10,1.10,1.10,1.10
1.34,1.37,1.44,1.34
1.12,1.12,1.12,1.12
1.11,1.11,1.11,1.11
1.27,1.27,1.34,1.25
1.37,1.37,1.37,1.37
1.44,1.40,1.44,1.40
1.10,1.10,1.10,1.10
1.25,1.25,1.25,1.25
1.31,1.36,1.36,1.30
1.11,1.11,1.11,1.11
1.26,1.32,1.32,1.25
1.25,1.31,1.31,1.25
1.31,1.32,1.32,1.31
1.32,1.38,1.38,1.32
1.40,1.39,1.40,1.39
1.30,1.38,1.38,1.30
1.32,1.32,1.32,1.32
1.42,1.38,1.45,1.38
1.49,1.42,1.49,1.42
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.42
1.33,1.45,1.45,1.32
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.39,1.39,1.39,1.39
1.38,1.38,1.38,1.38
1.42,1.43,1.43,1.42
1.43,1.43,1.43,1.43
nan,1.43,nan,nan
1.43,1.43,1.43,1.43
nan,1.43,nan,nan
nan,1.43,nan,nan
1.43,1.43,1.43,1.43
1.50,1.43,1.50,1.43
1.50,1.36,1.66,1.30
1.07,1.07,1.07,1.07
1.38,1.38,1.38,1.38
1.34,1.32,1.34,1.32
1.45,1.41,1.46,1.41
1.40,1.46,1.46,1.40
1.35,1.46,1.46,1.35
1.46,1.46,1.46,1.46
nan,1.46,nan,nan
nan,1.46,nan,nan
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.42,1.41,1.42,1.30
1.48,1.48,1.48,1.48
1.37,1.37,1.37,1.37
1.35,1.44,1.44,1.34
nan,1.37,nan,nan
1.45,1.45,1.45,1.45
1.47,1.47,1.50,1.47
1.38,1.34,1.38,1.34
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.32,1.32,1.32,1.32
1.47,1.54,1.62,1.47
1.57,1.55,1.57,1.55
1.27,1.27,1.27,1.27
1.51,1.37,1.51,1.37
1.37,1.37,1.37,1.37
1.46,1.52,1.54,1.38
1.45,1.38,1.45,1.38
1.39,1.39,1.40,1.38
1.38,1.45,1.45,1.38
1.38,1.38,1.38,1.38
1.47,1.47,1.54,1.47
1.48,1.62,1.62,1.40
1.33,1.33,1.33,1.33
1.60,1.60,1.60,1.60
1.31,1.31,1.31,1.31
1.58,1.50,1.60,1.50
1.50,1.43,1.50,1.43
1.42,1.42,1.42,1.42
1.43,1.42,1.49,1.32
1.32,1.46,1.46,1.32
1.17,1.17,1.17,1.17
1.45,1.45,1.45,1.45
1.45,1.47,1.47,1.45
1.46,1.36,1.46,1.36
1.34,1.33,1.34,1.33
1.40,1.35,1.40,1.35
1.39,1.34,1.39,1.34
1.34,1.34,1.38,1.33
1.30,1.37,1.37,1.30
1.33,1.33,1.33,1.33
1.07,1.07,1.07,1.07
1.38,1.38,1.38,1.38
1.33,1.33,1.33,1.33
1.33,1.31,1.33,1.31
1.07,1.07,1.07,1.07
1.07,1.07,1.07,1.07
1.07,1.07,1.07,1.07
1.29,1.26,1.29,1.26
1.26,1.28,1.28,1.26
1.05,1.05,1.05,1.05
1.28,1.28,1.28,1.28
1.24,1.22,1.24,1.22
1.22,1.22,1.22,1.22
1.00,1.00,1.00,1.00
1.30,1.29,1.31,1.29
1.22,1.22,1.22,1.11
1.30,1.27,1.31,1.27
1.33,1.37,1.38,1.33
1.34,1.37,1.37,1.15
1.25,1.33,1.38,1.25
1.23,1.23,1.23,1.23
1.37,1.37,1.37,1.37
1.35,1.25,1.35,1.23
nan,1.23,nan,nan
1.27,1.34,1.34,1.27
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.21,1.25,1.25,1.21
1.16,1.16,1.16,1.16
1.30,1.30,1.30,1.30
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.22,1.23,1.23,1.22
1.16,1.16,1.16,1.16
1.21,1.21,1.21,1.21
1.10,1.10,1.10,1.10
1.23,1.30,1.30,1.23
1.28,1.25,1.28,1.23
1.27,1.23,1.27,1.23
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.23,1.23,1.23,1.23
1.26,1.25,1.26,1.25
1.23,1.23,1.23,1.23
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.23,1.23,1.23,1.23
N/A,N/A,N/A,N/A
1.23,1.20,1.25,1.20
1.21,1.16,1.21,1.16
1.15,1.22,1.23,1.15
1.18,1.15,1.18,1.15
1.15,1.15,1.15,1.15
1.15,1.24,1.24,1.11
1.15,1.17,1.18,1.15
1.12,1.17,1.17,1.12
1.18,1.15,1.18,1.15
N/A,N/A,N/A,N/A
1.12,1.12,1.12,1.12
N/A,N/A,N/A,N/A
1.12,1.12,1.12,1.12
1.11,1.12,1.11,1.11
1.13,1.13,1.13,1.13
1.22,1.25,1.25,1.22
1.21,1.21,1.21,1.21
1.22,1.22,1.25,1.21
1.22,1.24,1.26,1.22
1.25,1.24,1.25,1.25
1.25,1.24,1.25,1.25
1.24,1.27,1.27,1.24
1.20,1.24,1.24,1.18
1.33,1.33,1.33,1.33
1.29,1.29,1.29,1.29
1.25,1.30,1.30,1.24
1.30,1.30,1.33,1.25
1.32,1.32,1.32,1.32
1.33,1.33,1.33,1.33
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.33,1.33,1.33,1.32
1.28,1.34,1.40,1.28
1.36,1.36,1.36,1.36
nan,1.36,nan,nan
1.27,1.28,1.28,1.27
nan,1.28,nan,nan
nan,1.28,nan,nan
nan,1.28,nan,nan
nan,1.28,nan,nan
1.27,1.27,1.27,1.27
1.29,1.29,1.29,1.28
1.27,1.27,1.27,1.27
nan,1.27,nan,nan
nan,1.27,nan,nan
nan,1.27,nan,nan
1.26,1.26,1.26,1.26
1.27,1.27,1.33,1.26
nan,1.27,nan,nan
nan,1.27,nan,nan
nan,1.27,nan,nan
1.34,1.34,1.34,1.34
nan,1.34,nan,nan
1.35,1.35,1.35,1.35
1.34,1.35,1.35,1.34
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
nan,1.35,nan,nan
nan,1.35,nan,nan
nan,1.35,nan,nan
nan,1.35,nan,nan
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.34,1.34,1.34,1.34
nan,1.34,nan,nan
1.34,1.34,1.34,1.34
1.34,1.34,1.34,1.34
nan,1.34,nan,nan
nan,1.34,nan,nan
nan,1.34,nan,nan
nan,1.34,nan,nan
nan,1.34,nan,nan
1.33,1.33,1.33,1.26
1.28,1.28,1.28,1.28
1.26,1.31,1.32,1.20
1.33,1.33,1.33,1.33
nan,1.33,nan,nan
1.33,1.34,1.34,1.33
1.29,1.29,1.29,1.29
nan,1.29,nan,nan
nan,1.29,nan,nan
nan,1.29,nan,nan
1.24,1.29,1.29,1.24
1.24,1.24,1.24,1.24
1.24,1.24,1.24,1.24
nan,1.24,nan,nan
1.24,1.27,1.27,1.24
1.24,1.26,1.26,1.24
1.26,1.26,1.26,1.26
1.26,1.26,1.26,1.26
nan,1.26,nan,nan
1.23,1.23,1.23,1.23
1.23,1.23,1.23,1.23
nan,1.23,nan,nan
1.23,1.23,1.23,1.23
1.22,1.25,1.25,1.22
1.25,1.23,1.25,1.23
N/A,N/A,N/A,N/A
1.22,1.22,1.22,1.22
1.17,1.20,1.20,1.10
1.17,1.17,1.17,1.17
1.25,1.35,1.35,1.25
1.20,1.36,1.36,1.16
1.32,1.37,1.37,1.19
1.35,1.35,1.35,1.35
nan,1.35,nan,nan
nan,1.35,nan,nan
1.25,1.31,1.31,1.13
1.21,1.20,1.40,1.07
nan,1.20,nan,nan
1.19,1.25,1.25,1.19
nan,1.25,nan,nan
1.24,1.18,1.24,1.18
1.18,1.23,1.23,1.18
1.23,1.23,1.23,1.23
nan,1.23,nan,nan
1.23,1.15,1.23,1.15
1.23,1.23,1.23,1.23
nan,1.23,nan,nan
nan,1.23,nan,nan
nan,1.23,nan,nan
nan,1.23,nan,nan
1.24,1.22,1.24,1.19
1.18,1.19,1.19,1.18
nan,1.19,nan,nan
1.18,1.11,1.18,1.06
nan,1.11,nan,nan
nan,1.11,nan,nan
1.11,1.12,1.12,1.10
nan,1.12,nan,nan
1.06,1.06,1.06,1.06
1.07,1.07,1.07,1.07
1.13,1.26,1.34,1.13
nan,1.26,nan,nan
nan,1.26,nan,nan
1.25,1.25,1.25,1.25
nan,1.25,nan,nan
