MOG.B,Moog Inc. Class B Common Stock,NASDAQ
34.08,32.85,34.08,32.85
33.64,33.00,33.64,33.00
32.43,32.54,32.54,32.43
32.99,32.99,32.99,32.99
32.60,33.25,33.25,32.40
33.40,33.95,33.95,33.40
33.16,32.40,33.16,32.40
32.60,32.40,33.38,32.25
32.40,32.24,32.40,31.40
32.25,32.20,32.25,31.60
31.88,32.26,32.26,31.88
31.81,32.93,32.93,31.81
33.56,33.75,34.00,33.56
31.57,31.57,31.57,31.57
33.47,33.55,33.55,32.82
34.30,35.29,35.29,34.30
34.99,34.50,35.00,34.50
32.35,32.35,32.35,32.35
34.06,32.68,34.06,32.50
30.48,30.48,30.48,30.48
32.35,32.89,33.27,32.00
33.45,33.00,33.45,33.00
33.79,35.50,35.50,33.79
35.99,35.61,35.99,35.49
35.88,36.10,36.10,35.88
37.16,36.90,37.50,36.87
36.73,35.98,36.73,35.98
35.50,34.82,35.50,34.80
35.05,35.70,35.70,35.05
36.49,36.50,37.10,36.49
36.46,36.05,36.56,36.05
36.05,36.04,36.05,36.04
33.76,33.76,33.76,33.76
35.25,34.35,35.25,34.35
34.64,34.60,34.65,34.55
34.21,34.50,34.50,34.00
33.32,32.13,33.32,32.13
31.91,31.83,31.91,31.30
30.07,30.07,30.07,30.07
31.66,31.66,31.66,31.66
32.48,32.90,33.00,32.48
32.75,33.39,33.39,32.75
32.30,32.30,32.30,32.30
31.83,31.83,31.83,31.83
31.98,31.30,31.98,31.30
30.51,30.85,30.85,30.16
30.60,30.74,30.74,30.60
31.39,31.20,31.39,31.20
31.50,32.10,32.10,31.50
28.44,28.44,28.44,28.44
31.31,31.00,31.31,30.65
31.41,33.00,33.00,31.41
30.36,30.36,30.36,30.36
33.79,33.79,33.79,33.79
34.42,34.25,34.42,34.25
34.50,34.86,34.86,34.50
34.07,34.23,34.23,34.07
35.02,35.02,35.02,35.02
35.70,36.00,36.00,35.40
35.36,35.25,35.36,35.25
35.00,35.00,35.00,35.00
34.21,34.24,34.24,34.20
34.58,34.47,34.58,34.47
35.37,35.84,36.05,35.37
36.00,36.38,36.50,36.00
35.59,34.92,35.59,34.92
33.35,33.35,33.35,33.35
35.45,36.65,36.65,35.45
35.00,35.00,35.00,35.00
35.86,35.86,35.86,35.86
36.04,36.50,36.50,36.03
36.75,36.00,36.75,36.00
35.73,35.73,35.73,35.73
34.94,34.41,34.94,34.26
35.20,36.26,36.26,35.20
35.75,36.42,36.63,35.75
36.25,36.00,36.25,36.00
32.85,32.85,32.85,32.85
35.60,36.30,36.30,35.56
35.51,35.78,35.83,35.51
36.38,37.00,37.00,36.38
36.73,36.73,36.73,36.73
37.52,37.52,37.52,37.52
37.15,37.20,37.30,37.15
33.06,33.06,33.06,33.06
37.32,37.52,37.52,37.32
33.84,33.84,33.84,33.84
37.03,37.03,37.03,36.58
37.75,37.75,37.75,37.75
34.10,34.10,34.10,34.10
37.35,37.10,37.35,36.76
37.25,37.25,37.25,37.25
37.49,37.49,37.49,37.49
37.80,37.62,37.80,37.62
38.28,38.35,38.35,37.99
38.50,38.65,38.76,38.02
39.00,39.00,39.00,39.00
38.91,38.83,38.91,38.75
38.44,38.68,38.87,38.44
38.77,38.42,38.82,38.42
38.43,38.70,38.70,37.99
38.00,38.29,38.29,38.00
37.50,37.50,37.50,37.50
37.00,36.90,37.00,36.90
36.50,36.76,36.76,36.50
36.70,36.51,36.70,36.47
35.22,35.22,35.22,35.22
36.71,36.60,36.71,36.60
36.05,35.83,36.22,35.60
33.14,33.14,33.14,33.14
36.03,37.00,37.00,36.03
34.47,34.47,34.47,34.47
36.00,36.61,36.61,36.00
36.74,36.70,36.75,36.70
37.45,38.00,38.68,37.45
37.92,39.25,39.50,37.92
39.50,39.50,39.50,39.50
36.26,36.26,36.26,36.26
39.50,39.47,40.08,39.47
39.43,39.61,39.65,39.43
36.05,36.05,36.05,36.05
39.42,39.42,39.42,39.42
39.26,39.25,39.34,39.20
39.25,39.60,39.63,39.25
39.31,39.03,39.38,39.03
38.82,39.79,39.79,38.82
40.09,38.77,40.09,38.77
35.36,35.36,35.36,35.36
39.03,39.23,39.28,38.87
39.04,39.04,39.04,39.04
39.54,39.61,39.72,39.54
39.30,40.10,40.27,39.30
39.58,39.69,39.69,39.26
39.56,39.56,39.56,39.56
36.17,36.17,36.17,36.17
39.80,39.80,39.80,39.80
40.42,40.60,40.66,40.42
40.88,41.20,41.25,40.88
41.38,41.70,41.70,41.38
42.39,43.05,43.08,42.39
42.26,42.70,42.70,42.09
42.99,43.00,43.00,42.36
43.16,43.10,43.16,43.10
43.02,42.75,43.02,42.75
42.94,42.94,42.94,42.94
38.68,38.68,38.68,38.68
39.95,39.95,39.95,39.95
42.62,42.61,42.62,42.61
41.31,41.31,41.31,41.31
39.63,39.63,39.63,39.63
42.58,42.58,42.58,42.58
42.95,43.21,43.65,42.95
44.04,44.04,44.04,44.04
44.00,43.83,44.00,43.83
43.40,42.72,43.40,42.72
43.08,42.91,43.22,42.91
43.70,43.70,43.70,43.70
44.50,44.45,44.89,44.45
44.25,43.61,44.25,43.30
43.84,44.00,44.00,43.84
44.49,44.49,44.49,44.49
44.43,44.62,44.62,44.00
44.40,44.40,44.40,44.40
41.80,41.80,41.80,41.80
44.90,44.90,44.90,44.90
43.60,43.60,43.60,43.60
42.27,42.27,42.27,42.27
44.89,45.40,45.40,44.89
44.75,45.40,45.40,44.75
45.39,46.00,46.00,45.39
45.11,44.78,45.11,44.72
44.81,44.14,44.81,44.14
44.62,44.62,44.62,44.62
45.31,45.50,45.50,45.31
43.20,43.20,43.20,43.20
45.00,44.40,45.00,44.32
44.00,44.13,44.13,44.00
44.33,45.01,45.31,44.33
45.27,44.22,45.27,43.92
44.56,43.50,44.56,43.20
44.39,45.03,45.31,44.39
40.98,40.98,40.98,40.98
43.90,43.26,43.90,43.26
43.50,43.61,43.61,43.50
42.72,42.77,42.77,42.18
41.77,42.45,42.45,41.65
42.15,41.56,42.15,41.56
41.99,41.99,41.99,41.99
42.55,42.55,42.55,42.55
43.00,44.72,44.72,43.00
44.88,45.00,45.00,44.73
44.21,44.79,44.79,44.09
44.49,44.53,44.53,44.23
44.28,45.04,45.29,44.28
44.75,44.74,44.75,44.74
44.20,44.75,44.75,44.20
40.72,40.72,40.72,40.72
45.50,45.50,45.50,45.50
46.00,45.60,46.25,45.60
41.50,41.50,41.50,41.50
45.70,45.85,45.85,45.70
46.14,46.14,46.14,46.14
41.99,41.99,41.99,41.99
45.50,44.85,45.50,44.85
40.81,40.81,40.81,40.81
44.00,44.00,44.00,44.00
43.50,43.50,43.50,43.50
43.10,43.10,43.11,43.10
43.28,43.23,43.28,43.23
42.34,42.34,42.34,42.34
42.00,41.82,42.00,41.82
42.89,42.89,42.89,42.89
39.03,39.03,39.03,39.03
42.63,42.63,42.63,42.63
42.93,42.93,42.93,42.93
43.24,43.64,43.64,43.24
39.71,39.71,39.71,39.71
44.00,44.21,44.21,44.00
43.50,43.56,43.56,43.42
42.67,42.06,42.68,42.06
41.95,41.52,41.95,41.52
40.91,41.16,41.95,40.91
41.74,42.08,42.08,41.74
38.24,38.24,38.24,38.24
38.29,38.29,38.29,38.29
41.43,41.43,41.43,41.43
42.00,42.00,42.00,42.00
41.11,41.00,41.11,41.00
37.31,37.31,37.31,37.31
40.11,39.90,40.11,39.90
40.18,40.25,40.25,40.18
36.63,36.63,36.63,36.63
40.67,40.67,40.67,40.67
39.29,40.29,40.29,39.29
40.15,40.01,40.15,40.01
40.49,40.49,40.49,40.49
40.85,40.85,40.86,40.85
40.93,40.92,41.05,40.58
41.34,41.19,41.34,41.00
37.48,37.48,37.48,37.48
41.00,41.25,41.25,41.00
40.70,40.40,40.99,40.38
36.76,36.76,36.76,36.76
36.76,36.76,36.76,36.76
36.76,36.76,36.76,36.76
36.76,36.76,36.76,36.76
40.02,40.02,40.02,40.02
36.76,36.76,36.76,36.76
36.76,36.76,36.76,36.76
36.76,36.76,36.76,36.76
40.27,40.27,40.27,40.27
40.45,40.45,40.45,40.45
36.81,36.81,36.81,36.81
41.30,41.62,41.76,41.30
41.60,41.60,41.60,41.60
40.71,41.34,41.40,40.62
37.62,37.62,37.62,37.62
42.23,42.20,42.23,42.20
38.40,38.40,38.40,38.40
43.09,43.16,43.25,43.09
43.38,43.38,43.38,43.38
43.50,44.15,44.15,43.50
44.25,44.58,44.58,44.16
44.41,44.41,44.41,44.41
45.00,44.97,45.00,44.97
44.78,44.78,44.78,44.78
44.16,44.16,44.16,44.16
44.08,43.40,44.08,43.40
43.52,43.54,44.00,43.52
42.37,42.37,42.37,42.37
42.65,42.49,42.66,42.20
41.60,41.63,41.63,41.60
42.52,43.02,43.02,42.52
42.73,42.73,42.73,42.73
43.18,44.48,44.48,43.18
44.40,44.10,44.40,43.97
42.87,42.87,42.87,42.87
43.09,42.40,43.09,42.40
41.51,41.32,41.51,41.32
41.39,40.94,41.47,40.94
40.50,41.00,41.30,40.31
41.89,42.05,42.05,41.39
42.94,42.86,43.00,42.86
42.00,42.14,42.14,41.37
41.85,41.10,41.85,41.10
40.00,39.90,40.65,39.40
38.99,36.50,39.11,36.50
36.60,38.64,38.64,36.00
37.75,35.38,37.75,35.38
35.71,37.72,37.72,35.71
37.71,37.36,37.71,37.36
38.50,38.50,38.50,38.50
38.80,38.80,38.83,38.80
38.43,38.42,38.43,38.42
37.53,36.00,37.53,36.00
35.51,36.10,36.70,35.51
36.99,36.30,36.99,36.30
36.35,37.00,37.00,36.25
36.70,37.30,37.30,36.70
37.25,36.83,37.25,36.83
36.25,37.60,37.62,36.25
38.49,39.10,39.10,38.49
40.00,40.00,40.00,40.00
39.75,39.75,39.75,39.75
39.11,39.08,39.11,39.08
38.22,36.50,38.22,36.50
35.51,35.29,35.51,35.20
36.05,36.25,36.38,36.00
35.36,35.36,35.36,35.36
34.79,33.91,34.79,33.91
32.93,33.43,33.43,32.93
33.83,33.96,33.96,33.83
34.65,34.65,34.65,34.65
34.98,34.98,34.98,34.98
35.39,35.40,35.40,35.39
35.00,35.00,35.00,34.31
34.91,34.30,34.92,34.30
33.25,32.00,33.40,32.00
22.81,22.81,22.81,22.81
29.01,29.01,29.01,29.01
32.00,32.56,32.65,31.95
33.47,33.50,34.36,33.47
32.50,32.50,32.50,32.50
33.00,33.00,33.00,33.00
33.10,33.10,33.10,33.10
32.29,31.17,32.30,31.00
31.20,32.74,32.76,31.20
33.48,33.48,33.48,33.48
34.51,34.51,34.51,34.51
33.81,33.81,34.17,33.81
34.85,34.81,34.85,34.81
35.35,35.35,35.35,35.35
36.18,36.43,36.43,35.93
36.40,36.40,36.40,36.40
26.59,26.59,26.59,26.59
36.79,36.79,36.79,36.79
37.00,37.00,37.00,37.00
35.93,35.79,35.93,35.79
35.00,35.70,35.70,35.00
37.05,37.05,37.05,37.05
38.40,38.20,38.40,37.97
37.71,37.32,37.85,37.20
37.51,37.16,37.51,36.89
38.84,40.00,40.84,38.80
40.03,39.90,40.03,39.90
39.29,39.14,39.29,39.14
37.78,36.48,37.78,36.25
36.14,36.13,36.14,36.13
36.63,37.34,37.34,36.39
37.40,38.73,38.82,37.40
38.04,38.81,38.81,38.04
39.48,40.20,40.20,38.79
39.24,38.99,39.27,38.99
28.46,28.46,28.46,28.46
39.80,39.60,39.80,39.60
39.90,39.90,39.90,39.90
39.62,39.62,39.68,39.62
40.00,40.00,40.00,40.00
39.31,39.00,39.31,39.00
39.54,39.54,39.54,39.54
38.80,39.18,39.18,38.80
38.78,38.77,38.78,38.77
38.08,37.13,38.08,37.13
36.63,36.63,36.63,36.63
38.14,38.10,38.90,38.06
38.51,38.95,38.95,38.51
40.73,41.58,41.58,40.73
40.76,41.50,41.50,40.35
41.10,41.10,41.10,41.10
41.44,42.24,42.24,41.44
42.24,42.50,42.50,42.24
42.06,41.49,42.06,41.49
40.99,41.49,41.49,40.99
41.50,42.00,42.00,41.50
41.31,41.50,41.50,41.00
42.22,41.50,42.22,41.50
40.66,40.66,40.66,40.66
41.75,41.75,41.75,41.75
42.25,41.75,42.25,41.75
42.11,41.58,42.11,41.14
42.38,43.34,43.63,42.38
43.11,43.47,43.47,43.04
43.82,43.82,43.82,43.82
44.12,44.18,44.18,43.96
44.15,44.15,44.15,44.15
44.62,43.73,44.62,43.66
44.57,44.57,44.57,44.57
41.56,41.56,41.56,41.56
45.00,44.50,45.00,44.50
43.81,43.60,43.81,43.60
42.91,43.10,43.10,42.91
42.55,42.55,42.55,42.55
42.34,42.34,42.34,42.34
43.03,42.96,43.05,42.96
42.57,42.57,42.57,42.57
42.82,42.82,42.82,42.82
42.49,42.49,42.49,42.49
42.57,42.57,42.57,42.57
30.91,30.91,30.91,30.91
43.30,43.80,43.80,43.30
43.49,43.45,43.49,43.45
31.72,31.72,31.72,31.72
31.72,31.72,31.72,31.72
31.72,31.72,31.72,31.72
31.72,31.72,31.72,31.72
43.44,43.41,43.44,43.41
42.73,42.00,42.73,42.00
42.69,42.69,42.69,42.69
43.05,43.50,43.50,43.05
44.00,44.00,44.00,44.00
44.76,44.76,44.76,44.76
44.42,44.42,44.42,44.42
44.56,44.56,44.56,44.56
40.46,40.46,40.46,40.46
44.55,44.01,44.55,44.00
43.27,43.27,43.27,43.27
43.50,43.70,43.75,43.50
39.90,39.90,39.90,39.90
42.97,42.97,42.97,42.97
43.60,43.60,43.60,43.60
44.15,44.15,44.15,44.15
44.26,44.00,44.26,44.00
44.10,44.07,44.10,44.05
44.51,44.51,44.51,44.51
44.68,44.68,44.68,44.68
43.99,44.19,44.42,43.99
44.50,44.50,44.50,44.50
44.00,44.00,44.42,44.00
44.50,44.50,44.50,44.50
44.00,42.28,44.00,41.61
41.77,41.97,41.97,41.77
40.60,40.60,40.60,40.60
40.73,40.73,40.73,40.73
41.10,40.87,41.10,40.87
41.40,41.90,42.00,41.40
30.59,30.59,30.59,30.59
41.72,41.72,41.72,41.72
42.40,42.40,42.40,42.40
41.84,41.62,42.06,41.62
41.75,41.75,41.75,41.75
42.44,42.44,42.44,42.44
41.82,41.82,41.82,41.82
42.20,42.20,42.20,42.20
41.51,41.70,41.70,41.50
42.37,42.50,42.50,42.37
43.19,43.86,43.97,43.19
43.86,44.20,44.20,43.86
44.50,44.00,44.50,44.00
43.45,43.00,43.45,43.00
43.50,43.00,43.50,43.00
43.05,43.43,43.43,43.05
42.70,42.50,42.70,42.50
31.02,31.02,31.02,31.02
41.27,41.27,41.27,41.27
40.22,40.22,40.22,40.22
39.57,39.57,39.57,39.57
40.23,39.97,40.23,39.97
40.66,41.35,41.35,40.66
40.66,40.50,40.66,40.50
41.19,41.19,41.19,41.19
41.50,42.00,42.00,41.50
30.66,30.66,30.66,30.66
41.31,40.71,41.31,40.48
41.10,41.92,41.92,41.10
41.19,40.47,41.19,40.36
29.54,29.54,29.54,29.54
41.19,40.75,41.19,40.75
29.75,29.75,29.75,29.75
40.95,42.50,42.50,39.35
29.75,29.75,29.75,29.75
42.50,42.58,42.58,42.50
41.81,42.05,42.05,41.81
30.70,30.70,30.70,30.70
41.36,41.00,41.36,41.00
40.51,40.51,40.51,40.51
40.50,40.38,40.60,40.06
39.88,39.82,39.88,39.82
39.80,39.84,39.84,39.80
39.55,39.55,39.55,39.55
39.34,39.27,39.34,39.04
39.29,39.29,39.29,39.29
39.07,39.07,39.07,39.07
38.77,38.76,38.77,38.76
28.29,28.29,28.29,28.29
39.00,38.91,39.25,38.75
38.50,38.50,38.50,38.50
38.00,38.49,38.49,38.00
38.40,38.40,38.40,38.40
38.35,38.35,38.35,38.35
38.50,38.99,39.00,38.50
38.49,38.28,38.49,38.28
38.00,38.00,38.00,38.00
37.36,36.84,37.36,36.84
36.90,36.60,37.15,36.60
36.89,36.95,36.95,36.89
37.45,37.45,37.45,37.45
38.00,38.00,38.00,38.00
37.92,37.92,37.92,37.92
37.67,37.67,37.67,37.67
37.17,37.16,37.17,37.16
36.79,36.79,36.79,36.79
37.67,38.05,38.05,37.67
37.95,37.95,37.95,37.95
38.10,38.10,38.10,38.10
38.55,39.72,39.72,38.55
39.27,39.27,39.27,39.27
38.77,38.50,38.77,38.50
38.70,38.70,38.70,38.70
38.20,38.20,38.20,38.20
37.89,38.13,38.13,37.89
38.63,38.75,38.75,38.63
38.25,38.71,38.71,38.25
39.21,41.30,41.30,39.21
40.80,40.32,40.80,40.32
40.82,41.30,41.30,40.82
41.09,41.11,41.11,41.09
40.61,40.09,40.61,40.09
39.69,39.69,39.69,39.69
39.59,39.59,39.59,39.59
39.59,39.59,39.59,39.59
39.00,39.00,39.00,39.00
39.90,39.90,39.90,39.90
39.40,39.00,39.40,39.00
39.00,38.50,39.00,38.50
37.50,38.10,38.10,37.50
38.13,38.13,38.13,38.13
37.60,37.60,37.60,37.60
36.76,36.16,36.76,36.16
35.50,34.77,35.50,34.67
34.97,35.18,35.26,34.97
35.80,35.91,35.91,35.80
35.30,36.00,36.50,35.30
36.14,37.00,37.00,36.14
36.50,36.50,36.50,36.50
37.00,37.00,37.00,37.00
36.50,36.50,36.50,36.50
37.02,37.74,38.00,37.02
38.24,38.24,38.24,38.24
38.31,38.31,38.31,38.31
38.21,38.32,38.32,38.21
38.48,38.48,38.48,38.48
38.31,38.31,38.31,38.31
37.81,37.81,37.81,37.81
38.01,37.56,38.01,37.56
37.91,37.91,38.26,37.91
38.26,38.26,38.26,38.26
38.61,38.61,38.61,38.61
38.86,38.86,38.86,38.86
39.14,38.58,39.14,38.58
38.25,38.12,38.25,37.95
37.86,37.10,37.86,37.10
36.90,36.90,36.90,36.90
37.10,37.10,37.10,37.10
36.79,36.79,36.79,36.79
36.85,36.80,37.00,36.78
36.50,36.50,36.50,36.50
36.83,36.60,36.87,36.54
36.20,36.95,36.95,36.20
37.27,37.27,37.27,37.27
37.80,38.13,38.79,37.80
38.49,38.85,39.05,38.49
38.61,39.10,39.29,38.61
38.91,38.91,38.91,38.91
38.92,38.88,38.92,38.82
39.19,39.50,39.50,39.19
39.88,39.95,40.09,39.88
39.66,39.66,39.66,39.66
39.57,39.57,39.57,39.57
39.65,39.65,39.65,39.65
39.49,39.49,39.49,39.49
40.05,39.35,40.05,39.35
39.00,39.32,39.32,39.00
39.51,38.80,39.51,38.80
38.68,38.43,38.80,38.43
38.12,38.46,38.86,38.12
38.21,38.21,38.21,38.21
38.64,38.56,38.65,38.56
38.22,38.22,38.22,38.22
38.22,37.80,38.22,37.80
37.90,37.90,37.90,37.90
37.89,38.60,38.72,37.89
38.25,38.02,38.25,36.92
37.58,37.58,37.58,37.58
37.24,37.24,37.24,37.24
37.66,37.66,37.66,37.66
37.32,37.51,37.51,36.93
37.62,37.62,37.62,37.62
37.56,38.16,38.16,37.56
38.25,38.25,38.25,38.25
38.60,38.69,38.70,38.60
38.57,37.61,38.57,37.20
37.20,37.20,37.20,37.20
36.71,37.10,37.10,36.71
37.00,36.50,37.00,36.50
37.03,37.06,37.46,37.03
36.82,36.82,36.82,36.82
36.00,37.10,37.10,36.00
38.09,37.00,38.09,37.00
37.09,37.42,37.42,37.09
37.00,37.00,37.00,37.00
37.07,37.07,37.07,37.07
37.14,36.71,37.14,36.71
35.85,35.64,35.85,35.64
35.66,35.66,35.66,35.66
35.36,35.36,35.36,35.36
35.25,35.24,35.25,35.24
35.13,34.45,35.16,34.45
34.02,34.02,34.02,34.02
34.09,34.09,34.09,34.09
34.35,34.70,34.70,34.29
34.30,34.52,34.67,33.75
35.00,34.95,35.26,34.95
35.28,35.28,35.28,35.28
35.47,35.92,35.92,35.47
35.92,36.17,36.69,35.92
36.15,36.26,36.26,36.15
36.50,36.95,36.95,36.50
37.20,36.95,37.20,36.95
36.50,36.61,36.61,36.16
36.71,36.71,36.71,36.71
36.71,37.00,37.00,36.71
37.50,36.10,37.50,36.10
36.60,36.62,36.64,36.60
36.82,36.86,36.86,36.80
36.93,37.79,37.79,36.93
38.00,37.71,38.00,37.67
37.72,37.69,37.72,37.69
37.89,37.91,37.91,37.89
38.14,38.14,38.14,38.14
38.34,38.89,38.89,38.34
38.80,38.80,38.80,38.80
39.00,39.38,39.45,39.00
39.46,40.48,40.48,39.46
40.46,40.25,40.46,40.00
40.71,40.40,40.71,39.79
39.96,39.96,39.96,39.96
40.76,40.75,41.00,40.68
40.22,40.78,40.78,40.20
41.25,41.87,42.25,41.00
41.72,41.87,41.72,41.72
42.20,42.50,42.50,42.20
42.93,42.93,42.93,42.93
42.75,42.75,42.75,42.75
43.35,43.54,43.68,43.35
43.70,43.54,43.70,43.70
44.00,44.22,44.22,44.00
43.75,44.22,43.75,43.75
44.39,44.56,44.56,44.39
44.00,43.69,44.00,43.69
44.14,44.14,44.14,44.14
44.59,44.59,44.59,44.59
44.75,44.75,44.75,44.75
45.00,44.99,45.06,44.98
45.42,45.42,45.42,45.42
45.35,45.35,45.35,45.35
44.90,44.50,44.90,44.50
44.78,44.78,44.78,44.78
44.33,43.57,44.33,43.57
44.00,43.93,44.00,43.93
44.38,44.38,44.38,44.38
43.93,43.73,43.93,43.72
44.18,44.18,44.18,44.18
44.03,44.03,44.03,44.03
nan,44.03,nan,nan
44.63,44.63,44.63,44.63
44.17,44.00,44.17,44.00
44.25,44.25,44.25,44.25
44.39,44.35,44.39,44.35
44.25,44.20,44.36,44.20
44.65,44.65,44.65,44.65
45.11,45.11,45.11,45.11
45.54,45.64,45.64,45.54
45.09,45.09,45.09,44.76
45.25,45.25,45.25,45.25
45.00,45.00,45.00,45.00
nan,45.00,nan,nan
45.53,45.25,45.53,45.25
45.23,45.23,45.23,45.23
44.85,45.25,45.25,44.19
44.83,44.37,44.85,44.06
44.90,44.90,45.21,44.90
44.76,44.97,44.97,44.66
45.27,45.02,45.27,44.42
45.55,45.85,45.85,45.55
45.69,45.66,45.69,45.66
nan,45.66,nan,nan
46.46,46.59,46.79,46.46
46.75,47.10,47.10,46.75
46.88,47.50,47.50,46.83
47.25,45.75,47.25,45.75
46.24,45.92,46.24,45.88
46.25,46.23,46.25,46.15
45.98,45.79,45.98,45.79
nan,45.79,nan,nan
45.58,45.58,45.58,45.58
45.72,45.72,45.72,45.72
nan,45.72,nan,nan
nan,45.72,nan,nan
45.13,44.83,45.13,44.76
44.63,44.53,45.78,44.53
43.94,43.94,43.94,43.94
44.00,44.00,44.00,44.00
43.40,43.64,43.79,43.40
44.23,44.62,44.62,44.23
nan,44.62,nan,nan
45.22,46.28,46.48,45.22
nan,46.28,nan,nan
46.97,46.42,47.11,46.31
45.92,45.28,46.04,45.26
45.71,45.71,45.71,45.71
45.12,44.54,45.12,44.54
44.40,43.73,44.40,43.73
nan,43.73,nan,nan
43.67,44.25,44.25,43.67
44.40,45.04,45.04,44.40
45.48,45.48,45.48,45.48
44.98,45.85,45.85,44.98
46.35,45.37,46.35,44.83
nan,45.37,nan,nan
45.85,45.85,45.85,45.85
45.37,44.89,45.37,44.89
nan,44.89,nan,nan
45.49,46.21,46.42,45.49
45.84,45.84,45.84,45.84
46.47,46.47,46.47,46.47
46.99,47.70,47.70,46.99
nan,47.70,nan,nan
48.00,48.35,48.35,48.00
nan,48.35,nan,nan
49.00,49.76,50.00,49.00
50.41,50.67,50.67,50.41
50.44,50.44,50.44,50.44
nan,50.44,nan,nan
50.80,50.80,50.80,50.80
50.80,50.80,50.80,50.80
51.45,50.80,51.45,50.80
50.15,49.51,50.15,49.51
49.99,49.99,49.99,49.99
50.47,51.43,51.43,50.47
51.34,50.53,51.34,50.53
nan,50.53,nan,nan
50.75,50.75,50.75,50.75
50.50,51.87,51.87,50.40
51.80,50.42,51.80,50.14
nan,50.42,nan,nan
50.42,50.42,50.42,50.42
50.91,50.59,50.91,50.59
50.65,50.86,51.03,50.52
50.52,50.52,50.52,50.52
nan,50.52,nan,nan
51.07,51.07,51.07,51.07
51.00,50.23,51.00,50.23
50.93,50.67,50.93,50.67
50.29,51.24,51.24,50.29
50.69,50.69,50.69,50.69
50.08,49.53,50.08,49.53
49.54,50.26,50.26,49.48
49.69,50.24,50.24,49.69
