VGT,Vanguard Information Tech ETF - DNQ,NASDAQ
59.40,59.23,59.80,58.91
59.64,59.79,59.94,59.59
59.87,60.14,60.21,59.45
60.87,61.10,61.15,60.71
61.18,61.16,61.20,60.91
61.09,61.27,61.39,61.00
61.52,60.95,61.62,60.75
61.02,61.16,61.19,60.51
59.95,60.19,60.26,59.45
59.87,59.34,60.22,58.98
59.65,59.10,59.65,59.10
58.66,58.09,58.80,57.85
58.09,58.10,58.46,57.83
58.75,59.14,59.39,58.73
59.17,59.34,59.43,59.00
59.12,59.73,59.73,58.97
59.23,58.91,59.28,58.57
59.35,59.96,60.03,59.35
59.62,59.75,59.90,59.36
59.40,59.36,59.49,58.69
58.83,58.60,58.89,58.45
59.42,59.92,60.09,59.42
60.09,60.70,60.75,60.00
60.46,60.94,61.00,60.42
60.87,61.03,61.15,60.80
61.74,61.05,61.80,61.03
61.25,61.54,61.54,61.05
61.89,61.57,61.89,61.39
61.76,61.96,61.98,61.56
62.25,61.72,62.25,61.72
61.87,61.65,61.99,61.50
61.58,61.36,61.91,61.18
61.48,61.56,61.78,61.24
61.79,61.78,61.95,61.65
61.96,61.71,61.96,61.44
62.00,62.08,62.15,61.84
61.69,61.72,61.80,61.61
61.65,61.63,61.74,61.49
61.36,61.78,61.85,61.17
61.76,61.71,61.93,61.58
61.92,61.79,61.96,61.75
61.86,61.73,61.86,61.65
61.70,61.52,61.71,61.30
62.07,62.22,62.61,62.03
62.61,62.30,62.61,61.85
62.21,62.74,62.77,62.10
62.99,63.28,63.32,62.77
63.36,63.13,63.37,62.50
62.99,63.33,63.42,62.70
63.64,63.44,63.64,63.23
63.80,64.02,64.02,63.59
64.02,63.96,64.13,63.77
64.03,64.57,64.58,63.84
64.25,64.86,64.88,64.01
65.00,64.19,65.00,64.00
63.90,63.60,63.90,63.00
64.08,63.23,64.08,63.21
63.28,64.14,64.14,63.18
63.99,64.23,64.27,63.72
64.43,64.70,64.87,64.23
64.82,65.00,65.25,64.68
65.11,63.52,65.15,63.29
63.66,63.94,63.99,63.31
64.31,65.17,65.32,64.31
65.14,65.38,65.59,65.01
65.30,65.46,65.58,64.72
65.61,65.99,66.00,65.41
66.22,66.37,66.70,66.14
66.56,66.64,66.65,66.20
66.55,66.46,66.71,66.25
65.82,66.23,66.36,65.67
66.14,66.53,66.61,66.00
66.64,66.74,66.93,66.56
66.67,66.41,66.67,66.23
66.71,66.92,67.00,66.52
66.70,67.05,67.17,66.59
67.22,67.01,67.22,66.79
66.10,65.17,66.35,65.06
64.97,64.23,64.97,63.66
64.29,64.52,64.72,63.79
64.97,65.46,65.51,64.93
65.77,65.50,65.93,65.12
65.82,64.32,65.82,64.19
64.21,64.67,65.16,64.21
65.37,65.82,65.97,65.33
65.88,65.44,65.95,65.05
65.75,64.45,65.83,63.93
64.55,64.92,65.20,64.11
64.74,64.40,64.77,64.14
63.59,63.06,63.62,62.95
62.70,63.45,63.64,62.68
63.15,63.13,63.54,62.78
61.37,62.25,62.55,60.99
61.93,60.68,62.20,60.35
61.49,61.19,61.87,61.15
62.06,61.33,62.06,61.24
62.23,62.55,62.84,62.06
62.66,62.38,62.66,62.26
62.21,62.75,62.88,61.89
63.12,63.75,63.81,62.87
64.19,63.95,64.35,63.87
64.06,63.63,64.25,63.59
63.49,64.04,64.04,63.25
64.40,64.27,64.40,64.07
64.28,64.23,64.35,64.05
64.61,64.04,64.61,63.87
64.23,63.76,64.23,63.53
63.70,63.80,64.25,63.70
64.14,64.25,64.40,63.84
64.25,64.19,64.53,63.80
64.49,63.83,64.49,63.56
63.85,63.65,63.96,63.39
63.35,63.03,63.36,62.75
63.45,63.51,63.78,63.15
63.15,63.35,63.38,62.76
63.21,63.19,63.37,62.86
62.53,62.61,62.64,61.83
62.72,62.86,62.86,62.39
63.98,64.41,64.47,63.83
64.93,64.97,65.00,64.65
65.07,65.15,65.21,64.88
65.31,65.63,65.86,65.15
65.80,65.95,66.03,65.39
65.83,65.96,66.04,65.69
66.07,66.19,66.19,65.81
66.37,65.77,66.38,65.66
65.76,65.43,65.76,64.97
65.39,65.24,65.56,64.70
64.92,64.96,65.70,64.75
65.70,65.24,66.00,65.03
65.30,65.52,65.70,65.11
65.75,66.10,66.17,65.57
66.09,65.55,66.27,65.19
65.25,65.96,66.11,64.95
65.85,65.19,65.94,65.16
64.88,64.14,65.21,63.98
63.74,63.95,63.96,63.21
63.95,64.57,64.71,63.92
64.72,64.67,64.82,64.28
64.67,64.27,64.75,64.22
63.49,63.22,63.49,63.00
63.35,62.89,63.44,62.83
62.70,63.25,63.52,62.69
63.14,63.69,63.82,63.14
63.80,64.04,64.10,63.78
64.71,64.99,64.99,64.32
64.80,63.55,65.06,63.53
63.75,63.60,63.94,63.37
62.83,62.66,63.29,62.57
62.53,62.13,62.78,62.12
62.30,61.99,62.51,61.99
61.80,61.40,61.83,61.23
61.48,61.50,61.77,61.28
61.23,60.61,61.33,60.56
60.64,60.49,60.89,60.33
61.06,61.35,61.56,61.06
60.88,60.26,61.11,60.12
60.21,59.90,60.43,59.41
60.39,59.74,60.57,59.60
59.51,59.96,60.13,59.48
60.24,61.21,61.32,60.08
61.00,60.79,61.34,60.79
60.17,61.41,61.41,60.00
61.19,60.40,61.19,60.28
60.35,61.18,61.43,60.21
61.40,62.02,62.02,61.36
62.17,62.45,62.50,61.80
62.70,63.35,63.42,62.70
63.48,64.38,64.46,63.22
64.40,64.52,64.56,64.18
64.41,64.78,64.89,64.17
65.22,65.69,65.88,65.22
65.04,65.37,65.37,64.67
64.71,64.12,65.01,63.94
63.99,63.42,63.99,63.37
63.75,63.57,64.34,63.41
63.72,62.95,64.18,62.73
63.67,63.74,63.76,63.22
63.38,63.36,63.68,62.84
64.03,65.08,65.13,64.03
65.54,64.78,65.54,64.64
64.76,65.03,65.30,64.25
65.08,65.81,65.93,65.08
65.16,65.63,65.99,65.05
65.63,65.83,66.09,65.50
65.17,63.83,65.22,63.70
63.78,63.82,64.60,63.51
63.21,63.26,64.00,62.78
64.14,63.06,64.28,62.35
62.67,61.66,63.21,61.61
61.69,62.50,62.57,60.83
61.71,59.57,61.75,59.56
60.22,59.03,60.34,57.30
57.04,55.44,58.06,55.44
56.03,57.96,58.01,54.56
56.94,55.73,57.56,55.63
56.39,58.18,58.86,56.39
58.75,58.65,59.04,57.99
59.07,59.75,59.76,58.89
59.15,59.04,59.64,58.36
59.21,58.53,59.54,58.00
56.85,55.32,56.85,54.83
54.62,53.88,55.65,53.81
54.99,54.19,55.09,53.96
54.50,56.45,56.45,54.38
56.32,56.84,57.00,55.83
56.87,55.98,57.15,55.78
55.73,57.23,57.47,55.17
57.91,59.01,59.05,57.91
58.85,59.19,59.51,58.34
59.61,59.20,60.00,58.78
59.28,58.47,59.76,58.43
57.34,56.98,57.64,56.67
55.49,56.68,56.78,55.30
57.59,58.31,58.33,57.52
58.11,57.98,59.03,57.85
57.59,56.66,57.87,56.29
56.00,57.38,57.38,56.00
57.65,58.19,58.33,57.30
58.51,59.21,59.85,57.98
59.87,60.20,60.33,59.31
60.44,60.65,60.82,60.22
59.89,60.59,60.88,59.38
60.95,60.23,61.40,60.19
60.47,59.41,60.99,59.37
57.72,57.37,58.21,56.56
56.96,58.08,58.27,56.96
58.42,58.83,58.90,57.18
59.92,59.61,60.59,59.28
59.82,58.55,60.13,58.50
59.51,58.38,59.63,57.36
57.65,56.76,58.00,56.76
56.31,55.22,57.12,55.22
54.83,56.73,56.73,54.36
56.58,58.06,58.25,56.12
58.07,59.13,59.13,57.69
59.27,58.71,59.50,58.45
59.64,60.69,60.69,59.64
60.59,61.05,61.27,60.54
61.77,61.56,62.14,61.50
61.34,62.16,62.27,61.25
63.20,63.45,63.45,62.75
63.23,62.22,63.23,61.91
61.94,62.94,63.20,61.40
62.56,61.46,62.58,61.38
61.46,61.22,61.50,60.36
61.93,62.08,62.39,61.56
62.34,63.47,63.62,62.21
63.30,62.30,63.30,62.25
63.03,62.64,63.10,61.41
64.09,64.73,65.14,63.82
64.37,64.95,65.06,64.26
64.39,63.73,64.51,63.73
62.05,61.89,62.54,61.59
62.67,62.59,62.94,62.11
63.24,64.22,64.32,62.55
63.74,63.99,64.17,63.29
63.92,64.24,64.30,63.14
64.64,65.03,65.15,64.11
63.75,62.62,63.75,62.45
63.27,62.67,63.40,62.07
63.35,64.02,64.22,63.30
63.91,63.57,64.29,63.40
63.61,64.47,64.76,63.44
64.05,63.47,64.68,63.47
63.33,62.06,63.34,61.65
62.18,61.65,62.21,61.50
60.79,60.47,60.87,59.84
60.37,60.24,60.58,59.72
59.86,58.73,59.87,58.73
58.51,58.39,59.22,58.36
59.85,60.39,60.48,59.85
60.53,60.03,60.78,59.86
61.62,62.46,62.53,61.46
62.31,62.78,63.00,62.30
63.51,62.80,63.60,62.73
63.78,63.61,64.14,63.31
63.73,63.59,63.88,63.27
63.46,63.62,63.87,62.77
63.33,62.46,63.56,62.43
62.73,63.69,63.80,62.65
63.08,62.76,63.08,62.20
63.21,62.00,63.40,61.70
61.68,60.93,61.75,60.60
61.57,60.73,61.57,60.67
60.96,60.91,61.74,60.77
61.06,60.17,61.23,60.00
61.00,62.03,62.12,60.99
61.16,60.33,61.16,59.59
60.50,61.10,61.14,60.50
61.35,61.66,61.71,61.06
61.67,61.80,62.05,61.48
61.77,61.02,61.90,60.92
61.24,61.61,61.66,61.14
61.39,61.37,61.70,61.37
62.53,62.23,62.84,62.11
62.16,62.29,62.41,61.70
62.31,62.75,62.86,62.00
62.82,62.79,62.93,62.44
63.00,62.79,63.00,62.52
63.45,63.11,63.53,63.00
63.03,63.29,63.43,62.87
63.42,63.61,63.67,62.99
63.25,63.12,63.26,62.70
63.54,63.43,63.86,63.26
63.70,64.60,64.62,63.59
65.09,65.18,65.33,64.91
65.06,65.35,65.41,65.00
65.47,65.54,65.87,65.04
65.26,65.70,65.84,65.22
66.32,66.17,66.36,65.60
66.50,65.89,66.66,65.59
65.71,66.03,66.13,65.52
65.64,66.10,66.21,65.36
66.55,66.23,66.57,65.79
66.87,67.01,67.30,66.58
67.17,67.26,67.55,67.08
67.96,68.29,68.42,67.74
68.13,68.26,68.28,67.87
68.16,68.39,68.56,67.88
68.51,68.88,68.89,68.30
69.16,69.51,69.59,68.92
69.17,68.91,69.17,68.69
69.54,69.39,69.56,68.92
69.18,69.47,69.47,68.89
69.75,69.13,70.35,69.03
69.17,70.29,70.33,69.10
70.53,70.20,70.53,69.94
70.36,70.37,70.71,69.91
70.33,69.99,70.45,69.94
70.02,70.43,70.48,69.58
70.65,70.74,70.89,70.54
70.43,70.84,71.08,69.95
70.99,71.30,71.36,70.80
71.55,70.85,71.71,70.62
71.05,71.34,71.52,70.99
71.36,71.08,71.48,70.86
71.15,70.35,71.15,70.05
69.59,69.44,69.66,69.12
69.71,70.06,70.19,69.71
70.66,70.89,71.06,70.33
70.89,71.26,71.41,70.89
71.26,71.32,71.40,70.95
71.70,72.76,72.76,71.67
72.82,73.07,73.35,72.56
73.31,73.33,73.53,73.02
73.57,73.34,73.59,73.15
73.49,73.86,74.06,73.21
73.46,73.73,73.82,73.14
73.80,73.72,74.11,73.65
73.28,73.48,73.65,73.20
73.60,73.58,73.67,73.07
74.10,74.81,74.81,74.00
74.84,74.77,75.12,74.75
74.92,74.53,75.13,74.12
74.30,74.39,74.50,73.80
74.77,74.18,74.77,73.86
74.16,74.94,75.02,73.89
74.95,74.80,75.22,74.39
74.08,73.71,74.13,73.22
73.48,73.93,73.98,73.35
72.91,73.39,73.70,72.80
73.35,72.28,73.69,72.11
72.80,72.67,73.06,72.53
72.90,73.70,73.81,72.81
73.52,72.58,73.52,72.56
73.01,71.86,73.06,71.58
72.17,73.43,73.60,72.12
73.05,72.89,73.25,72.64
72.51,72.05,73.36,71.61
72.40,71.59,72.60,71.55
70.92,70.96,71.17,70.25
70.92,70.51,71.09,70.20
72.14,72.65,72.70,72.14
72.60,73.20,73.44,72.60
73.34,73.34,73.55,72.89
73.21,72.70,73.25,72.59
72.70,72.89,73.70,72.50
72.52,73.00,73.03,72.27
73.18,72.09,73.18,71.92
71.60,70.57,71.60,70.55
70.10,70.30,70.65,70.00
69.98,69.99,70.14,68.90
69.26,69.96,70.27,68.88
70.19,69.41,70.19,69.21
69.04,69.36,70.05,69.00
68.79,68.69,69.24,68.61
68.94,68.48,69.44,68.39
68.81,67.90,68.90,67.80
67.96,66.66,68.05,66.66
66.99,65.75,67.08,65.00
65.89,67.64,67.69,65.72
67.82,67.50,68.08,67.06
66.84,67.62,67.75,66.26
67.82,67.03,67.82,66.54
66.94,66.89,67.18,66.73
67.51,67.82,68.15,67.27
67.25,67.23,67.42,66.85
67.27,66.75,67.27,66.28
65.65,64.90,65.89,64.88
64.95,65.14,65.40,64.32
64.91,65.71,65.79,64.91
66.21,67.36,67.40,66.21
68.11,67.08,68.11,67.00
66.99,67.73,67.76,66.68
68.32,66.53,68.32,66.44
66.72,67.19,67.24,66.26
67.00,66.73,67.42,66.48
66.63,66.84,67.00,66.20
66.98,67.80,67.82,66.98
67.49,68.34,68.52,67.31
68.70,69.05,69.32,68.55
69.15,69.15,69.44,68.59
69.17,67.34,69.17,67.23
67.59,68.19,68.23,67.51
67.55,66.66,67.56,66.50
66.81,66.88,67.09,66.41
67.08,67.29,67.50,67.02
66.82,66.57,66.83,65.80
67.94,68.73,68.73,67.69
68.83,68.99,69.09,68.44
69.09,69.65,69.65,68.98
69.52,69.81,70.11,69.27
69.25,68.47,69.25,68.00
68.40,68.17,68.50,67.82
68.42,67.31,68.70,67.07
67.35,66.89,67.49,66.39
66.42,66.22,66.50,65.63
66.45,67.16,67.26,66.45
67.10,66.96,67.32,66.78
67.31,67.06,67.39,66.25
66.98,68.37,68.53,66.98
69.00,69.28,69.50,68.91
69.13,68.37,69.13,68.31
67.10,67.59,67.77,66.50
67.52,66.93,67.68,66.49
66.48,66.64,67.10,66.25
67.65,67.50,67.93,67.14
67.91,69.05,69.18,67.61
69.21,69.01,69.57,68.77
69.00,69.09,69.51,69.00
69.41,68.73,69.41,68.50
68.22,68.42,69.07,67.92
69.49,69.85,70.08,69.18
70.10,70.41,70.75,70.08
70.62,71.12,71.44,70.62
70.97,71.19,71.41,70.86
71.31,71.46,71.61,71.21
71.20,71.67,71.68,71.16
71.64,71.77,71.82,71.21
72.07,71.55,72.07,71.41
71.56,71.76,71.93,71.55
72.07,72.83,72.97,72.07
73.03,73.29,73.31,72.89
73.29,73.42,73.46,72.94
73.72,73.07,73.94,72.77
72.92,73.15,73.29,72.48
72.88,72.51,72.94,72.30
72.27,72.80,72.96,72.08
73.17,72.90,73.27,72.79
72.82,72.88,73.11,72.56
73.01,73.01,73.18,72.64
72.77,72.09,72.77,72.00
72.63,72.63,72.83,71.85
72.66,72.67,72.87,71.88
72.62,72.59,72.90,72.37
73.07,74.30,74.32,73.07
74.20,74.28,74.38,73.86
74.13,73.37,74.24,73.36
73.50,73.51,73.88,73.33
73.80,73.81,73.95,73.37
73.88,74.87,75.16,73.81
75.16,75.60,75.85,75.16
75.70,75.51,75.70,75.22
75.22,75.51,75.54,75.22
75.72,75.44,75.72,75.28
75.07,75.19,75.21,74.80
75.68,75.31,75.73,75.22
74.70,74.61,74.76,74.28
74.85,73.40,74.85,73.36
73.31,72.79,73.31,72.27
72.97,73.93,74.05,72.83
73.69,73.40,74.15,73.27
73.67,73.14,74.11,72.95
73.43,73.34,73.61,72.75
73.56,73.59,73.79,73.16
73.63,73.76,73.89,73.22
74.10,73.27,74.19,73.14
72.87,72.48,73.00,72.35
72.35,71.56,72.35,71.27
71.43,71.19,71.58,71.06
71.77,71.01,71.80,71.00
71.01,71.10,71.42,70.88
71.33,71.53,71.63,70.90
71.70,72.73,72.77,71.70
72.15,72.21,72.48,71.83
71.99,71.15,72.10,70.96
70.96,69.55,70.96,69.47
69.56,70.10,70.20,69.41
69.50,69.41,70.00,69.19
69.75,69.01,69.93,68.86
69.52,68.90,69.60,68.59
68.85,69.05,69.30,68.29
69.04,68.63,69.24,68.50
69.01,69.94,70.04,68.84
70.19,68.95,70.19,68.90
69.03,69.45,69.57,68.91
69.78,69.89,70.33,69.68
69.10,68.05,69.24,67.81
68.34,67.09,68.53,67.09
67.01,67.42,68.05,67.00
67.66,67.20,67.67,66.94
66.62,66.79,67.36,66.44
67.07,66.08,67.27,65.97
66.11,65.71,66.32,65.51
65.77,65.98,66.13,64.81
66.70,67.76,67.80,66.64
67.71,67.43,67.77,66.87
67.52,67.76,67.87,67.42
68.02,68.82,68.82,68.02
68.64,69.28,69.29,68.56
69.35,69.02,69.47,68.89
68.58,69.51,69.54,68.20
69.85,69.84,70.12,69.58
69.96,69.72,70.00,69.51
70.24,69.55,70.29,69.51
69.50,69.49,69.63,69.07
69.39,68.78,69.39,68.32
68.63,69.24,69.45,68.30
69.56,68.92,69.68,68.66
68.78,69.19,69.50,68.78
69.70,70.19,70.51,69.61
70.53,69.89,70.53,69.72
69.72,69.38,70.17,69.11
68.92,68.78,69.11,68.51
68.71,69.67,69.67,68.71
70.06,70.84,70.91,69.81
70.95,70.61,71.17,70.59
69.85,69.81,69.95,69.36
68.98,69.22,69.27,68.65
69.09,68.96,69.16,68.86
69.00,68.57,69.26,68.36
68.52,68.47,68.64,67.58
68.16,67.73,68.44,67.71
67.67,69.11,69.30,67.59
70.69,71.24,71.25,70.57
71.33,70.82,71.47,70.59
70.84,70.51,70.84,70.27
70.18,70.40,70.59,70.02
70.36,70.22,70.59,69.83
70.33,70.46,70.57,70.26
70.92,70.78,70.99,70.12
70.79,71.04,71.09,70.73
70.53,70.63,70.80,70.29
70.20,70.28,70.29,69.90
70.34,70.63,70.90,70.23
70.97,71.01,71.23,70.91
70.72,70.77,70.79,70.42
70.83,70.93,70.93,70.37
71.42,71.70,71.95,71.42
70.57,70.58,71.19,70.41
70.83,70.75,71.17,70.62
70.86,70.99,71.27,70.77
70.80,70.74,70.89,70.32
70.80,70.63,71.04,70.44
70.71,70.64,71.26,70.54
71.11,71.43,71.54,70.85
71.06,70.34,71.29,70.27
70.72,71.28,71.47,70.52
70.99,71.26,71.51,70.91
71.32,71.28,71.63,70.51
71.54,71.99,72.10,71.54
71.97,72.06,72.14,71.78
71.93,71.79,72.14,71.73
71.91,71.77,72.00,71.52
71.44,71.92,72.03,71.41
72.01,71.86,72.18,71.66
71.99,72.28,72.32,71.90
72.31,71.17,72.31,71.15
70.96,70.42,70.96,70.11
70.93,71.24,71.29,70.67
71.64,70.19,71.87,70.16
70.44,70.57,70.68,69.97
70.52,71.18,71.55,70.41
71.14,71.01,71.56,71.01
70.78,71.13,71.24,70.24
70.86,71.27,71.29,70.72
71.66,72.33,72.44,71.66
72.59,72.31,72.59,72.20
72.35,72.62,72.69,72.28
72.90,72.71,72.92,72.42
72.54,72.92,72.96,72.38
72.70,72.59,72.83,72.24
72.65,72.60,72.83,72.28
72.95,73.13,73.20,72.94
73.08,72.87,73.19,72.67
72.19,72.76,73.06,72.02
72.96,72.53,73.11,71.95
72.92,73.03,73.13,72.71
72.35,72.11,72.45,71.97
72.37,72.46,72.61,72.21
72.75,72.31,72.95,72.03
72.51,72.77,72.78,72.48
72.29,72.67,72.74,72.09
72.63,72.90,72.93,72.41
72.85,72.13,72.91,71.93
72.37,72.23,72.66,72.06
72.38,71.68,72.47,71.51
71.64,71.60,71.70,71.24
70.61,70.95,71.04,70.28
70.94,71.19,71.19,70.64
71.42,71.73,71.93,71.08
72.02,73.10,73.20,71.81
72.76,72.80,72.90,72.45
72.47,72.36,72.59,71.82
72.08,70.97,72.14,70.90
71.43,72.01,72.04,71.26
71.35,70.40,71.35,70.05
70.58,69.37,70.69,69.14
69.25,69.28,69.64,68.74
69.52,69.87,70.10,69.12
70.21,70.84,71.10,70.21
70.71,71.20,71.48,70.46
71.39,71.46,71.90,71.26
71.33,71.45,71.63,71.14
71.71,72.47,72.68,71.68
72.60,73.29,73.31,72.38
73.24,72.63,73.33,72.52
72.86,73.70,73.77,72.77
74.28,74.49,74.70,74.21
74.75,74.90,74.98,74.61
75.01,74.81,75.12,74.45
74.84,75.38,75.38,74.58
75.18,75.10,75.65,75.01
75.26,75.44,75.55,75.09
75.36,75.28,75.52,75.17
75.34,75.61,75.85,75.34
75.50,75.76,75.80,75.30
75.97,76.16,76.69,75.97
76.48,77.01,77.04,76.36
76.94,77.06,77.34,76.82
77.00,76.94,77.18,76.63
77.00,76.02,77.45,75.68
75.17,75.98,76.24,75.14
75.63,75.83,75.87,75.26
76.70,76.40,76.97,76.19
76.11,76.31,76.54,75.78
76.44,77.04,77.36,76.44
76.85,76.40,77.44,76.40
76.54,76.78,76.78,75.86
76.90,76.24,77.16,76.00
76.06,75.48,76.28,75.36
75.87,75.67,75.87,74.72
75.78,76.42,76.44,75.50
76.73,76.53,76.83,76.39
75.74,75.67,76.38,75.50
76.25,75.05,76.25,74.89
74.93,75.90,76.03,74.77
75.84,75.39,76.06,75.25
75.90,76.19,76.63,75.89
76.34,76.82,76.95,76.34
76.87,76.07,76.96,76.06
