LH,Laboratory Corporation of America Holdings Common Stock,NASDAQ
73.77,74.00,74.15,73.16
74.14,74.56,74.73,73.98
75.00,75.05,75.24,74.69
74.94,74.60,75.41,74.38
74.78,74.31,74.78,73.86
74.90,75.79,75.92,74.84
75.80,76.65,76.93,75.45
75.55,73.05,75.99,72.94
73.19,74.82,75.02,73.06
74.52,75.45,75.53,74.52
75.26,74.52,75.43,74.47
74.85,74.96,75.29,74.24
75.01,76.51,76.62,74.83
76.48,76.38,76.93,76.00
76.29,76.25,76.68,75.99
75.76,75.90,76.79,75.75
76.59,76.83,76.96,75.98
76.98,76.30,76.98,75.86
76.29,78.13,78.25,76.09
77.97,78.15,78.94,77.81
78.53,78.43,78.90,77.92
78.53,78.03,79.47,77.65
78.08,77.92,78.49,77.58
78.30,79.35,79.39,78.30
79.40,79.14,79.56,78.99
79.24,78.60,79.48,78.47
78.80,79.39,79.48,78.47
79.30,79.89,79.99,79.12
79.60,79.53,79.79,79.17
79.67,80.40,80.74,79.60
80.42,78.98,80.56,78.32
79.39,79.12,79.89,78.82
79.39,79.96,80.07,79.21
79.24,78.99,79.46,78.61
79.29,78.32,79.56,77.88
77.91,78.08,78.28,75.75
78.05,79.16,79.40,78.05
79.36,78.81,79.55,78.66
78.60,79.23,79.35,78.48
78.85,79.56,79.70,78.46
80.00,80.27,80.40,79.42
80.28,81.32,81.50,80.11
81.76,81.92,81.99,81.51
82.12,82.66,83.00,82.01
82.46,81.89,82.84,81.16
82.41,82.81,82.98,81.77
82.67,82.99,83.38,82.56
82.67,83.00,83.50,82.64
82.85,82.89,84.00,82.25
82.82,82.93,82.95,81.96
82.46,83.49,83.88,82.44
83.15,82.17,83.15,81.90
82.23,82.75,83.10,82.21
82.05,80.85,82.37,80.76
80.90,81.36,81.89,80.89
81.93,82.05,82.90,81.66
82.14,83.01,83.31,82.10
82.70,82.11,82.78,81.50
81.25,81.14,81.66,80.95
81.22,81.34,81.95,81.12
81.00,80.87,81.35,80.80
80.45,81.17,81.53,80.17
80.61,82.03,82.99,80.08
83.73,85.48,85.91,83.56
84.91,83.91,85.44,83.56
83.44,83.73,83.96,83.01
83.35,83.08,83.73,82.97
83.19,82.72,83.68,82.46
82.66,83.39,83.57,82.53
83.37,83.71,83.89,82.93
83.71,84.62,84.76,83.71
84.72,83.89,84.89,83.67
84.09,85.53,85.87,84.09
85.52,86.64,86.90,85.23
86.70,88.52,88.70,86.18
88.62,88.92,88.99,87.91
89.45,88.21,89.48,88.00
88.60,88.53,88.84,88.04
88.58,88.82,89.10,88.43
88.57,88.22,88.82,87.95
88.20,88.17,88.31,87.54
88.46,88.14,88.49,87.81
88.25,88.07,88.46,87.66
88.08,88.62,88.93,87.72
88.05,87.92,88.81,87.83
88.35,89.59,90.52,88.35
88.59,90.12,90.20,88.59
89.73,90.40,90.74,89.34
90.56,89.76,91.29,89.12
89.94,89.67,89.94,89.15
88.63,89.12,89.71,88.63
89.52,90.78,91.00,89.23
91.03,91.16,91.25,90.64
91.48,91.81,91.94,90.95
91.42,91.15,91.71,90.99
90.38,90.65,90.75,89.00
90.77,89.91,90.77,89.55
89.18,90.08,90.59,89.16
90.76,89.76,90.76,89.01
89.82,89.68,90.30,89.43
89.81,90.96,91.23,89.49
91.27,92.55,92.82,91.05
92.40,92.28,92.98,92.22
92.44,90.57,92.65,90.02
90.65,89.91,90.93,89.60
90.23,88.83,90.23,88.39
88.71,89.31,89.40,88.25
89.11,89.94,90.17,88.55
89.99,90.40,90.75,89.63
90.71,90.31,90.80,90.20
90.27,90.69,91.28,90.06
90.21,90.74,90.99,89.66
86.66,87.73,89.69,86.66
87.32,87.79,88.24,86.68
87.83,87.73,87.92,87.00
87.36,87.67,88.07,86.84
87.90,88.32,88.38,87.85
87.98,87.89,88.09,87.20
88.08,89.01,89.42,88.00
88.36,87.64,88.72,87.46
87.60,88.66,88.99,87.44
88.42,88.35,89.46,87.96
88.82,89.68,89.69,88.51
89.70,90.13,90.69,89.53
90.11,88.99,90.20,88.99
89.17,89.38,89.68,88.26
89.80,91.27,91.29,89.38
91.05,92.38,92.50,90.96
92.38,91.13,92.50,90.50
91.28,92.17,92.48,91.07
91.87,91.87,92.40,91.69
91.45,89.96,91.64,89.27
89.91,90.06,90.53,89.47
89.78,89.65,90.23,88.90
88.24,88.41,89.07,88.00
88.16,87.14,88.34,86.21
87.98,87.31,88.09,87.16
88.30,87.00,88.30,86.51
87.40,86.74,87.72,86.19
86.75,87.38,87.79,86.70
87.18,87.10,87.57,86.51
87.40,88.38,88.49,87.22
88.58,88.85,89.05,88.38
89.07,89.59,90.09,89.06
89.60,90.75,91.08,89.57
91.11,91.57,91.60,90.86
91.42,92.13,92.15,90.92
92.63,92.86,93.17,92.09
92.85,93.56,93.76,92.75
93.37,93.65,94.20,93.14
94.10,93.97,94.61,93.78
93.99,93.91,94.55,93.43
93.97,92.82,94.19,92.36
92.69,93.40,93.84,92.69
93.14,93.68,94.24,93.14
93.83,94.30,94.61,93.15
93.87,95.06,95.06,93.50
95.51,95.79,96.57,95.25
95.02,94.66,95.08,93.91
94.85,96.27,96.33,94.77
96.96,96.79,97.26,96.13
96.97,96.58,98.52,95.92
96.25,95.38,96.25,94.91
95.09,95.14,95.68,94.88
95.12,95.76,96.03,95.12
95.58,95.78,95.99,94.93
95.92,96.47,96.54,95.65
96.75,98.25,98.51,96.56
98.09,96.25,98.15,96.12
96.22,95.87,96.78,95.61
95.42,96.37,96.98,95.12
97.00,97.59,98.08,96.96
97.37,98.48,98.61,96.27
98.62,98.90,99.07,98.34
98.89,98.49,99.08,98.33
98.48,100.00,100.00,97.97
99.89,99.73,100.00,98.83
99.20,99.40,99.74,98.95
99.19,100.00,100.94,99.13
100.00,100.03,100.31,99.43
100.04,100.72,100.82,99.79
100.57,100.60,100.89,100.30
99.97,99.01,99.97,98.06
99.10,98.58,99.17,98.21
98.04,98.91,99.02,98.01
98.66,98.93,98.93,97.64
99.00,99.98,100.00,98.46
100.36,100.83,100.91,99.43
100.32,99.01,100.37,99.01
99.42,98.35,99.59,98.32
97.52,97.11,97.76,96.99
96.81,96.20,97.07,96.15
96.39,96.11,96.82,96.07
95.85,96.03,96.19,95.34
96.08,96.36,96.64,95.78
95.90,95.54,96.21,95.38
95.87,95.38,96.34,95.35
96.02,96.33,96.50,95.55
95.67,95.78,96.64,95.48
95.82,96.42,96.49,95.56
97.00,96.50,97.97,96.38
96.20,97.12,97.84,96.10
97.62,97.14,97.63,97.00
96.93,96.53,97.30,96.46
95.93,95.36,95.93,93.81
95.46,94.51,95.46,93.97
94.24,95.27,95.40,94.22
95.48,95.80,96.01,95.04
95.80,95.14,95.90,94.78
95.54,96.79,96.87,95.52
96.69,98.42,98.50,96.39
98.53,98.14,98.69,97.93
98.22,99.09,99.43,97.84
99.71,99.06,99.76,98.49
98.28,98.27,98.52,97.62
97.44,97.08,97.95,96.89
96.99,96.62,97.81,96.59
96.83,95.00,97.16,94.65
95.00,95.19,95.94,94.75
95.37,95.73,95.87,94.75
95.09,94.98,95.93,94.56
95.18,96.98,96.99,94.46
96.83,96.59,97.72,96.04
96.52,94.47,96.52,92.80
94.30,93.10,94.45,92.40
92.74,92.12,92.74,91.50
92.30,91.81,92.34,91.08
91.39,90.16,91.73,90.04
90.18,90.36,91.10,90.18
90.03,90.76,91.52,89.50
91.18,88.74,91.18,86.15
88.20,87.60,89.33,87.43
87.85,88.17,88.41,85.94
87.23,85.46,87.68,85.46
86.27,86.03,87.16,84.53
84.66,81.04,85.36,80.96
81.97,84.05,84.22,80.14
82.79,79.88,83.30,79.63
79.98,82.80,83.72,79.80
82.85,83.04,84.25,82.38
83.40,84.74,84.87,83.15
84.11,84.14,84.71,83.33
84.23,83.31,84.97,83.03
81.64,79.96,82.05,79.23
79.16,79.09,80.74,78.65
80.22,77.30,80.25,77.02
77.57,79.50,79.56,76.91
79.33,80.44,80.49,78.73
80.89,79.25,81.02,78.74
79.04,80.64,81.13,77.65
81.43,82.89,83.10,81.42
82.46,83.17,83.62,81.68
83.71,83.53,84.58,82.88
83.64,82.49,84.15,82.33
81.43,81.23,82.12,81.14
79.99,82.74,83.12,79.38
84.13,86.08,86.54,83.69
85.63,85.69,87.39,84.97
84.83,81.02,84.83,80.59
80.11,82.12,82.12,79.81
82.39,81.92,82.68,80.93
82.36,83.11,84.03,81.18
83.40,82.42,83.77,81.01
82.99,83.42,83.81,82.36
82.07,82.06,82.38,81.27
82.71,82.53,83.98,82.47
82.47,80.11,83.19,80.10
78.62,78.86,79.51,78.00
78.22,79.66,79.77,77.87
80.23,82.34,82.39,80.12
83.59,83.40,84.31,82.66
83.33,80.70,83.41,80.65
81.94,80.60,81.94,79.33
79.99,79.05,81.45,78.60
78.17,76.01,78.72,75.76
75.24,77.78,77.84,74.57
77.85,75.99,77.95,75.16
76.22,78.09,78.16,76.21
78.48,78.33,79.15,77.17
79.09,80.44,80.44,78.90
79.48,79.11,79.57,78.09
79.44,80.39,80.99,78.69
80.35,78.76,80.35,78.00
79.34,80.46,80.49,79.31
80.04,80.28,81.08,79.72
80.51,82.58,82.92,80.11
82.39,81.94,83.65,81.66
81.86,81.23,83.02,78.38
82.35,82.24,82.80,81.61
82.49,83.07,83.48,81.82
83.77,84.07,85.45,83.55
85.06,83.40,85.25,83.07
85.05,85.54,85.75,83.95
85.43,86.87,87.13,85.06
85.98,83.85,86.49,83.85
82.00,81.11,82.88,81.08
82.19,81.78,82.73,81.19
82.69,82.67,83.18,82.03
82.21,81.83,82.83,80.98
82.01,82.96,83.13,81.69
83.10,84.26,84.88,83.01
82.63,80.70,82.73,79.80
81.54,81.97,82.48,80.47
82.98,83.81,84.18,82.62
83.23,84.04,84.43,83.08
83.66,83.84,84.57,83.40
82.69,82.59,84.21,82.10
82.27,80.57,82.44,80.06
81.02,80.99,81.61,80.25
80.02,79.30,80.29,79.01
79.45,80.37,81.63,79.31
80.05,80.55,81.88,79.62
80.28,80.70,81.28,80.28
81.80,82.86,82.89,81.41
83.00,83.49,84.25,82.84
85.50,85.72,86.09,84.59
85.53,86.10,87.18,85.18
86.90,86.23,88.15,85.71
87.30,86.34,87.59,85.78
86.59,85.61,86.87,85.45
85.31,85.14,85.63,84.22
84.93,82.92,85.26,82.79
83.31,83.43,84.38,83.11
83.30,82.34,83.40,82.14
82.67,81.64,83.49,81.39
81.50,81.40,82.29,81.23
80.86,81.53,82.47,80.52
82.27,81.63,82.65,81.35
81.99,81.62,83.17,81.28
82.75,84.24,84.33,82.75
83.93,84.69,85.20,83.93
84.79,86.87,86.99,84.56
86.83,87.32,87.76,86.83
87.14,87.68,88.15,87.08
87.81,85.82,87.94,85.63
86.15,86.46,86.64,85.77
86.51,85.97,86.84,85.86
87.21,86.40,87.63,86.10
86.12,86.52,86.63,85.63
86.20,86.87,86.93,85.58
86.78,87.41,87.75,86.57
87.41,87.10,87.82,86.19
87.72,87.70,88.80,87.29
87.59,87.39,87.67,87.08
87.39,87.57,88.14,87.15
87.20,86.94,87.25,86.18
87.84,88.54,88.66,87.58
88.61,88.47,88.86,87.44
88.20,88.83,88.89,87.61
88.84,88.64,88.98,87.76
88.55,88.91,89.09,88.13
90.28,91.18,91.94,89.64
90.78,91.78,92.04,89.84
91.59,91.06,92.37,90.61
90.91,91.32,92.07,90.62
90.72,90.92,90.92,89.76
91.38,91.39,91.88,90.84
92.19,92.50,93.12,91.71
92.50,92.42,92.63,91.72
93.16,93.09,93.30,92.29
92.69,91.00,92.94,90.79
90.76,91.95,92.06,90.76
91.80,91.99,92.96,91.79
91.84,92.11,92.20,91.20
90.67,90.03,90.76,87.08
90.30,88.85,90.71,88.34
88.51,89.20,89.74,88.51
88.84,87.46,88.84,86.90
87.46,88.07,88.33,87.04
88.45,87.94,88.57,87.53
88.06,87.75,88.42,87.24
87.56,88.05,88.18,87.40
87.87,88.00,88.55,87.71
88.22,89.08,89.24,87.02
88.30,89.90,90.11,88.23
90.15,90.81,91.18,90.03
90.66,89.89,90.74,89.72
89.92,89.06,90.14,88.40
88.88,89.32,89.71,88.62
89.13,89.46,89.70,88.91
88.79,88.81,89.29,88.60
89.02,88.94,89.08,88.49
89.23,88.64,89.38,88.64
88.71,88.74,89.02,88.49
88.97,88.33,89.00,88.25
88.81,88.87,89.00,87.92
88.85,90.25,90.35,88.48
90.25,90.60,90.81,89.45
90.83,90.33,91.39,90.10
90.31,90.13,90.90,89.95
89.93,89.57,90.01,89.41
89.53,91.18,91.35,89.30
90.76,90.08,91.09,90.06
90.00,89.47,90.27,87.91
89.77,91.90,91.93,89.53
92.04,91.61,92.14,91.29
91.47,91.15,91.68,90.85
90.69,91.37,91.50,90.19
91.55,91.54,91.77,91.05
91.65,93.06,93.40,91.54
93.12,94.23,94.33,92.62
93.64,93.19,93.75,93.15
92.73,93.24,93.42,92.40
91.99,89.99,91.99,89.95
89.80,89.16,90.99,89.12
89.69,89.54,90.56,89.44
89.80,89.52,89.93,88.16
89.55,88.52,89.55,88.48
89.00,88.14,89.00,87.84
88.38,91.52,91.68,88.36
91.43,90.68,92.22,90.12
89.92,88.83,89.92,87.89
88.99,87.59,89.01,87.43
87.05,87.01,87.14,86.41
87.12,87.38,87.84,86.92
87.69,87.22,88.16,87.08
87.24,87.55,88.28,87.04
87.62,87.49,87.96,87.36
87.50,87.89,87.93,87.33
87.62,88.60,88.96,87.38
88.51,88.51,89.31,88.34
88.41,87.13,88.54,86.82
86.96,86.71,87.20,86.54
86.63,87.04,87.28,86.51
86.55,87.09,87.18,86.00
86.26,85.88,86.64,85.50
86.80,85.87,87.36,85.71
85.82,86.72,87.33,85.82
86.19,85.33,86.19,85.01
85.45,86.70,87.02,85.25
87.11,86.67,87.47,86.31
86.76,85.45,87.33,85.45
86.17,84.22,86.17,83.98
84.24,85.46,85.50,83.26
85.76,85.11,86.13,84.73
84.72,84.60,85.61,83.89
84.51,84.86,85.40,83.99
84.65,85.73,86.14,84.65
86.20,86.30,86.84,85.82
85.81,85.27,86.06,85.17
84.94,83.28,85.12,83.23
82.46,82.37,82.68,81.56
82.88,83.84,84.14,82.12
83.40,84.56,85.04,83.40
83.96,85.00,85.65,82.62
85.48,85.05,85.75,84.90
84.71,85.69,86.21,84.10
86.16,85.23,86.39,85.16
85.27,85.58,85.82,84.34
85.30,85.81,86.56,85.30
86.29,87.09,87.39,85.56
87.55,87.50,87.71,86.92
87.65,87.89,87.93,87.05
87.67,88.38,88.65,87.67
88.11,89.16,89.31,87.95
89.70,87.68,90.27,87.55
88.14,89.19,89.60,88.14
89.16,88.16,89.16,88.13
88.44,89.12,89.84,88.15
89.22,89.37,90.18,88.86
89.07,92.04,92.50,88.64
92.97,92.61,94.15,92.21
93.60,92.23,94.46,91.86
92.16,92.97,93.25,92.16
92.80,91.88,92.99,91.67
91.23,91.97,92.02,91.23
91.64,92.19,92.50,91.55
92.44,92.92,93.39,92.44
92.82,93.14,93.59,92.55
92.70,93.68,94.02,92.28
93.62,95.25,95.30,93.44
95.10,94.62,95.17,94.46
93.41,92.55,93.66,92.23
92.22,93.64,93.73,92.13
89.36,88.12,89.50,87.07
86.72,85.26,88.05,84.95
84.30,84.34,84.57,83.77
84.35,84.39,85.04,83.66
84.38,84.23,84.79,83.50
85.10,85.00,85.50,84.56
85.19,85.21,85.50,84.75
85.03,84.95,85.49,84.58
84.84,84.09,85.35,84.06
87.26,87.90,89.01,86.66
86.67,86.25,87.45,85.47
87.11,87.45,87.83,86.70
87.66,87.69,88.07,87.36
87.90,87.91,88.18,87.74
87.84,89.00,89.24,87.84
88.71,88.44,89.06,88.18
88.50,88.50,88.80,87.86
88.50,88.47,88.63,88.19
88.65,88.57,88.86,88.42
88.68,88.50,89.00,88.32
88.23,89.10,89.26,88.16
89.23,89.01,89.40,88.70
88.55,89.05,89.49,88.43
89.10,88.51,89.39,88.47
88.68,88.08,88.97,87.81
88.17,87.51,88.27,87.34
87.77,88.84,89.08,87.60
88.80,88.50,89.03,88.45
88.45,88.30,88.55,87.74
88.17,88.32,88.79,87.91
87.99,87.43,88.12,87.43
87.63,87.95,88.37,87.55
87.68,88.26,88.38,86.88
88.50,88.82,89.26,88.13
89.01,89.50,90.58,89.01
90.03,88.79,90.03,88.74
88.97,88.93,89.53,88.51
89.08,88.99,89.14,88.82
89.00,88.94,89.53,88.71
88.87,90.46,90.55,88.74
90.86,90.99,91.50,90.48
90.95,91.30,91.46,90.38
91.32,91.26,91.66,91.03
91.37,91.20,91.62,90.70
90.72,90.70,91.19,90.32
90.82,91.58,91.64,90.71
91.37,91.41,91.69,90.90
91.38,91.19,91.84,91.01
91.19,90.38,91.49,90.35
90.45,91.61,91.79,90.40
90.94,92.47,92.61,90.61
92.76,93.05,93.62,91.79
93.12,92.66,93.89,91.96
92.99,92.59,93.33,92.31
92.64,93.64,93.65,91.63
93.75,93.46,94.13,93.17
93.35,94.02,94.30,93.21
93.70,92.89,94.16,92.77
93.02,92.45,93.56,92.36
92.82,93.29,93.81,92.69
93.63,92.73,93.96,92.63
92.83,93.59,93.77,92.65
93.35,92.97,94.10,90.72
91.12,90.21,92.17,89.50
89.29,88.81,89.90,86.52
87.59,86.63,88.63,85.84
86.22,86.51,86.75,85.90
85.88,85.19,85.88,84.83
85.46,85.22,85.75,85.03
85.81,85.62,86.00,85.02
85.64,84.95,85.84,84.82
85.00,84.73,85.67,84.36
85.01,85.34,85.63,84.60
85.76,85.27,86.07,84.41
85.02,86.31,86.73,84.76
86.75,86.52,87.32,85.74
86.09,84.91,86.96,84.80
84.81,84.26,85.27,84.24
84.05,84.44,84.98,84.05
84.72,84.37,84.95,84.25
85.19,83.87,85.69,83.76
84.12,82.47,84.58,82.31
82.66,83.06,84.29,82.16
82.90,82.40,83.80,82.40
82.54,83.65,83.65,82.26
83.52,82.63,83.52,82.17
82.62,82.91,82.94,82.39
83.05,83.75,83.79,83.00
83.22,82.84,83.86,82.15
82.81,82.89,83.33,82.22
82.81,83.42,83.53,82.66
83.53,84.21,84.68,83.43
84.31,84.59,84.85,83.81
84.59,84.35,85.40,84.26
83.51,84.30,84.71,82.98
84.35,84.42,84.77,83.04
84.45,84.71,84.72,84.36
84.71,85.00,85.12,84.39
85.00,84.73,85.12,84.56
84.83,85.39,85.65,84.70
85.46,87.14,87.99,85.24
87.23,87.38,87.77,87.01
87.35,87.10,87.68,86.96
87.19,87.17,88.12,86.95
87.48,88.11,88.94,87.15
88.07,87.87,88.67,87.84
87.95,87.35,88.24,87.19
86.91,86.72,87.31,86.67
86.49,86.53,86.92,85.92
86.60,86.64,87.10,86.30
86.54,86.72,86.95,86.26
86.44,85.89,86.89,85.85
85.65,86.62,86.62,84.91
87.44,87.58,87.91,86.85
87.50,87.70,87.89,87.37
87.78,87.87,88.33,87.71
87.43,87.67,87.88,87.30
87.62,86.77,87.85,86.24
86.51,87.13,87.83,86.50
87.33,87.41,87.92,87.03
87.43,86.41,87.65,85.80
86.45,86.79,86.96,85.88
86.57,87.00,87.42,86.36
86.44,87.51,87.63,86.33
87.79,88.27,88.45,87.50
88.30,88.53,88.67,88.21
88.54,90.30,90.30,88.42
87.97,87.38,88.48,86.73
87.36,88.00,88.26,87.36
88.13,88.66,88.91,87.94
88.83,90.34,90.71,88.81
90.03,90.16,90.40,88.84
89.79,89.73,90.31,89.54
89.62,89.50,89.95,89.32
90.04,90.47,90.49,89.46
90.00,89.84,90.38,89.77
90.26,89.98,90.43,89.25
89.85,91.00,91.04,89.55
91.00,91.63,91.84,90.89
89.83,90.24,90.84,88.66
90.39,90.06,90.96,89.99
89.82,89.41,90.25,89.33
89.49,89.70,89.97,89.36
89.64,89.19,90.07,89.05
89.04,89.84,89.92,89.04
90.00,90.28,90.84,89.51
89.98,89.58,90.38,89.54
89.54,89.13,89.72,88.83
89.33,88.98,89.77,88.68
89.22,88.40,89.76,88.26
88.69,88.49,88.72,87.73
88.46,89.00,89.32,88.29
89.00,88.60,89.03,88.54
88.33,89.05,89.20,87.79
88.71,89.48,89.67,88.50
89.58,90.20,90.89,89.22
90.51,89.24,90.52,89.13
89.25,89.53,90.06,89.22
89.80,89.45,89.80,88.93
89.30,89.96,90.16,89.20
89.88,89.76,89.94,89.56
89.90,89.22,90.09,89.18
89.13,89.75,90.08,89.02
89.43,89.19,89.94,89.07
88.67,88.38,88.91,88.25
88.58,88.30,88.88,87.84
88.77,88.18,88.77,87.97
88.07,87.83,88.29,87.65
88.02,88.25,88.45,87.84
88.50,88.68,89.26,88.24
89.00,89.14,89.16,88.68
88.94,89.16,89.51,88.31
89.25,90.20,90.33,89.12
89.79,90.63,90.86,89.68
91.09,92.75,93.10,91.01
92.81,92.81,93.07,92.55
93.11,93.70,93.80,92.75
92.97,93.05,93.15,92.17
93.09,92.88,93.09,92.08
93.15,93.22,93.39,92.57
93.23,93.40,93.55,92.57
94.45,95.07,95.92,94.25
94.01,94.36,94.65,92.44
93.88,93.50,94.30,93.48
93.60,94.39,94.50,91.92
92.49,94.01,94.52,92.39
94.12,93.11,94.22,92.43
93.76,93.86,95.70,93.59
93.84,93.76,94.28,93.11
93.73,93.54,94.63,92.92
93.74,93.84,93.99,93.33
94.10,93.80,94.24,93.40
93.71,93.67,94.31,93.42
93.95,93.52,94.50,93.50
93.58,93.36,93.65,92.52
93.18,92.52,93.76,92.36
92.65,92.83,93.11,92.49
93.24,92.81,93.33,91.25
92.83,93.55,93.95,92.74
93.46,93.25,93.61,92.89
92.88,94.13,94.44,92.75
94.34,93.37,94.34,93.07
93.71,94.36,94.36,93.38
94.05,95.01,95.45,93.83
95.00,95.27,95.36,94.72
95.27,96.40,96.66,95.25
96.38,97.68,97.79,95.95
97.87,98.97,99.11,97.69
98.80,99.63,99.72,98.49
99.60,100.63,101.02,99.21
100.53,99.80,101.69,99.70
99.40,100.71,101.08,99.09
99.72,100.37,100.61,99.56
100.48,100.96,101.31,100.48
101.06,100.10,101.27,99.76
100.21,100.12,100.70,99.67
99.90,99.49,100.78,99.45
99.80,99.98,100.03,98.97
99.80,99.81,100.24,99.11
99.67,98.60,99.79,98.29
98.68,98.64,99.04,97.98
98.96,99.87,100.24,98.82
99.85,100.79,100.93,99.72
99.83,100.49,100.96,97.86
100.89,99.85,101.38,99.67
99.88,100.08,100.33,98.79
99.83,100.00,100.98,99.71
100.62,100.44,101.49,100.18
100.48,100.78,100.90,100.19
100.73,100.01,101.07,99.69
