FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,NASDAQ
67.13,66.97,67.48,66.67
67.09,66.60,67.15,66.32
66.99,67.23,67.53,66.75
67.41,67.48,68.22,66.94
68.00,67.43,68.00,66.84
67.57,68.92,68.94,67.21
68.66,73.00,73.66,68.08
72.88,71.96,73.84,71.30
71.68,72.37,72.48,71.67
73.16,72.44,73.81,71.85
71.88,71.18,72.45,71.12
71.40,70.52,71.50,69.94
69.89,66.70,70.47,66.64
66.91,66.10,67.48,64.30
64.25,61.34,65.28,59.93
61.37,63.73,64.03,61.08
62.81,61.62,63.69,61.52
62.16,65.29,65.77,61.69
65.80,65.70,65.90,65.15
66.16,67.33,67.37,65.45
66.77,67.74,67.92,66.14
68.47,68.64,68.64,66.79
66.64,67.81,68.10,66.51
67.18,67.65,69.00,66.82
68.67,67.29,69.16,67.12
67.85,72.41,72.44,67.12
70.10,68.30,70.10,66.58
68.20,64.99,68.20,64.61
64.53,65.50,65.91,63.15
66.61,67.43,67.59,66.11
66.87,67.76,68.64,66.70
68.13,68.92,69.36,67.90
69.15,68.85,70.77,68.58
68.30,67.90,70.14,67.56
65.70,67.04,67.13,65.09
67.39,67.93,67.94,67.14
67.03,66.10,68.06,65.79
65.60,64.38,65.66,63.71
63.11,64.29,64.44,62.64
63.88,65.70,66.08,63.41
65.90,67.04,67.41,65.28
67.83,67.73,68.50,67.45
67.94,69.73,70.06,67.82
67.90,67.89,68.14,65.95
68.08,67.50,68.65,67.46
67.57,67.36,68.51,67.00
64.78,62.63,65.72,61.28
62.50,62.69,63.12,61.62
63.13,64.73,64.98,62.44
65.81,66.34,67.17,65.81
66.45,64.89,67.18,64.73
66.50,67.06,67.78,66.09
65.92,64.82,65.92,64.10
64.32,64.36,65.82,63.84
63.55,65.30,65.48,61.14
65.59,65.88,66.20,64.66
65.88,67.43,67.56,65.60
67.92,66.01,68.45,65.56
67.25,68.31,68.32,66.86
67.94,66.32,68.09,66.09
68.56,68.39,69.07,67.07
68.06,68.11,68.25,67.01
68.84,68.96,69.53,68.74
69.28,67.75,69.28,67.54
67.53,70.49,70.92,67.51
70.34,68.99,71.17,68.78
68.49,66.80,68.95,66.35
67.81,67.68,68.15,67.26
68.20,69.45,69.57,67.69
69.48,68.18,69.80,68.05
70.73,70.14,71.48,67.59
72.21,72.23,73.50,70.82
71.37,69.00,71.98,68.62
68.13,67.05,70.23,67.01
63.60,65.08,65.60,63.26
66.47,65.99,66.93,65.43
66.49,66.97,67.53,66.27
66.88,65.71,67.13,65.45
65.72,67.98,68.11,65.22
68.50,68.92,69.02,67.51
66.63,64.82,69.65,64.76
65.53,65.38,65.95,65.00
66.20,67.36,67.55,66.02
66.67,65.28,67.24,65.19
65.19,66.74,67.03,64.74
65.80,66.02,66.90,65.16
65.98,64.05,66.11,63.77
64.07,65.19,65.57,63.91
62.97,63.81,65.70,62.97
64.03,64.02,64.29,62.51
63.61,62.08,63.61,61.78
61.61,61.73,62.84,61.61
64.34,63.86,65.23,63.30
64.02,65.08,65.72,63.85
67.88,68.21,68.22,66.59
68.13,67.09,68.62,66.93
67.54,66.45,67.88,66.37
67.33,67.65,67.95,66.99
68.11,67.71,68.11,66.92
67.30,68.25,68.48,66.43
67.37,66.47,68.30,66.32
66.81,68.32,68.49,66.75
66.72,66.75,68.31,65.19
67.48,66.02,68.00,65.43
62.32,64.81,65.98,62.32
65.85,65.58,66.42,64.90
66.20,66.58,67.07,66.19
66.28,65.55,68.51,65.45
67.15,67.16,67.65,66.41
66.01,68.03,68.06,64.64
67.92,68.81,68.83,67.68
68.81,69.71,69.80,68.30
69.16,69.77,69.98,68.45
69.63,68.42,69.63,68.17
68.54,69.32,69.50,68.50
69.73,69.71,70.39,69.09
71.96,70.18,72.09,70.12
69.44,70.06,70.52,69.44
69.78,69.66,69.99,69.22
69.45,68.69,70.36,68.11
69.21,69.03,69.21,68.35
69.62,69.86,70.67,69.11
69.84,69.79,69.98,69.28
70.13,69.74,70.73,69.50
69.39,67.74,69.55,67.41
69.22,68.09,69.22,68.09
68.39,70.34,70.73,68.01
70.16,69.49,70.93,69.09
69.15,68.24,69.82,67.50
68.37,67.47,68.51,67.26
67.04,68.36,68.45,66.47
68.06,69.70,69.94,67.90
70.19,70.22,71.01,69.53
70.10,69.66,71.00,69.22
68.86,69.53,69.75,68.65
70.24,70.52,70.80,69.53
71.44,72.59,72.75,70.91
72.25,72.47,72.95,72.22
72.89,73.07,73.70,71.64
72.47,73.09,73.44,72.44
73.15,73.47,73.90,73.04
73.57,73.48,74.15,73.16
73.19,73.83,74.04,73.07
72.26,72.99,73.19,72.11
73.56,73.58,74.11,72.52
73.25,73.47,73.75,72.91
73.05,73.90,73.92,73.05
73.87,74.91,75.03,73.68
75.22,74.18,75.42,73.93
74.26,73.74,74.80,73.40
73.76,73.72,74.11,73.42
73.94,73.94,74.20,72.96
74.27,74.02,74.45,73.63
73.85,74.17,74.39,73.41
74.19,75.18,75.96,74.15
75.48,73.60,75.64,73.48
74.09,75.90,75.97,73.85
75.78,75.59,75.98,74.85
75.21,74.70,75.50,74.36
73.57,72.56,74.27,72.16
73.05,73.04,73.08,72.09
73.71,74.78,74.81,72.36
74.79,74.95,75.11,73.61
74.57,74.97,75.10,74.57
75.13,76.86,76.86,75.10
76.70,75.71,76.80,75.63
75.92,75.42,75.92,74.55
75.59,75.02,75.76,74.78
75.30,74.96,75.99,74.79
74.19,74.43,74.60,73.85
74.89,76.74,76.83,74.68
75.80,76.65,76.82,75.36
76.38,76.77,76.86,76.25
76.78,79.29,79.43,76.78
79.39,78.92,79.39,78.74
78.50,78.19,78.82,77.56
77.61,78.22,78.31,76.58
78.37,82.27,82.50,78.36
82.25,84.58,84.68,82.25
84.26,85.34,85.45,83.85
84.01,83.81,84.50,83.46
83.33,83.96,84.12,82.92
82.81,83.54,83.98,82.61
83.66,80.64,83.75,80.14
81.16,81.19,81.98,80.90
81.67,82.78,82.85,81.34
82.79,82.60,83.48,81.90
83.19,82.33,83.58,81.64
83.19,81.65,83.59,81.52
81.30,80.37,81.59,79.97
80.64,81.24,81.32,80.18
81.62,82.26,82.97,81.59
81.72,81.16,81.72,80.35
81.30,81.29,82.16,80.81
81.71,82.62,83.21,81.70
82.55,83.33,83.45,81.83
83.56,83.64,83.94,82.91
82.52,81.26,83.14,80.99
81.51,82.64,83.68,81.45
82.07,82.50,82.90,81.40
83.02,82.16,83.30,82.09
81.86,81.23,82.11,81.01
81.54,81.46,82.27,81.00
80.84,81.84,81.98,80.76
80.14,82.34,82.86,79.80
83.05,83.38,83.72,82.33
82.96,82.67,83.41,82.30
81.62,81.34,81.68,80.78
81.28,81.28,81.74,80.75
81.48,80.47,82.67,80.25
80.47,79.26,80.86,79.07
79.34,78.67,79.73,77.59
78.65,79.41,79.53,77.64
79.27,79.38,79.91,78.46
78.71,79.15,79.15,76.16
79.51,78.99,79.74,78.02
78.62,79.19,79.31,78.46
80.47,81.29,81.53,80.30
79.66,79.39,80.55,79.28
78.80,78.83,79.23,78.46
77.59,77.19,78.70,76.76
77.54,77.46,77.66,76.95
77.32,77.91,78.19,77.21
78.32,79.25,80.07,78.24
80.43,78.61,80.68,78.48
77.79,78.86,79.04,77.79
79.60,78.55,79.64,78.47
79.20,79.42,79.56,78.24
79.18,80.73,81.26,79.00
80.46,81.67,82.08,80.46
81.76,83.01,83.49,80.78
83.22,82.52,83.38,81.97
83.29,82.65,83.63,81.56
82.43,82.91,83.80,82.04
83.25,82.96,84.21,82.79
83.60,83.85,84.25,82.93
83.59,85.09,85.62,83.35
85.56,88.09,88.71,84.99
88.03,86.15,88.36,85.90
85.60,85.76,86.18,84.89
87.78,89.25,89.25,86.87
89.99,90.61,90.88,89.29
90.54,91.02,91.42,90.10
90.08,90.06,91.57,89.80
89.66,89.90,90.32,89.39
90.15,89.98,91.54,88.98
90.18,89.89,91.08,89.25
87.76,86.53,89.16,86.52
86.52,87.47,87.70,85.52
87.62,87.48,87.70,87.08
87.60,87.13,88.12,86.91
88.40,87.63,88.40,87.28
87.26,87.07,88.30,86.92
86.34,86.96,87.51,86.32
86.59,86.75,87.19,86.03
86.21,85.72,86.57,85.64
85.37,84.83,86.77,84.15
85.13,83.93,85.32,83.55
84.95,85.95,86.21,84.46
85.91,89.52,89.72,85.36
88.50,88.29,89.51,87.00
88.71,85.42,88.71,85.20
86.23,86.99,87.99,86.10
86.98,86.67,87.12,85.85
87.86,87.22,88.05,87.10
86.08,86.30,86.95,86.08
86.43,86.99,87.10,86.43
86.60,86.97,87.17,86.40
86.75,87.42,88.13,86.58
87.32,87.95,88.10,87.24
87.85,86.61,87.92,86.21
86.51,86.27,87.25,86.06
86.17,85.99,86.42,85.67
85.90,86.28,87.42,85.90
86.03,86.12,86.68,85.71
86.46,86.16,86.46,85.71
86.13,84.00,86.92,83.80
83.55,82.86,83.80,82.24
83.04,82.31,83.40,82.05
82.58,83.35,83.40,81.90
83.60,83.10,83.60,82.94
83.41,83.55,83.91,82.84
83.65,83.53,84.01,83.09
83.36,83.96,84.16,83.29
84.01,84.50,85.00,83.83
84.85,85.81,86.22,84.85
85.45,86.03,86.45,85.45
86.13,87.06,87.64,86.13
87.53,86.34,87.58,85.97
85.88,86.32,86.47,85.65
86.59,87.00,87.61,85.77
86.98,87.47,87.71,86.52
87.47,89.78,89.96,87.47
90.26,91.39,93.76,89.36
91.61,91.97,92.98,91.61
91.83,91.50,92.00,91.21
91.91,91.97,92.46,91.82
91.50,92.26,92.75,91.29
92.85,91.64,93.00,91.53
91.18,91.53,91.76,90.50
92.20,91.19,92.20,91.15
89.62,90.32,90.85,89.35
90.72,91.83,92.23,90.38
91.68,91.98,92.08,91.50
92.39,91.94,93.35,91.62
91.67,91.79,92.56,91.62
91.84,91.59,91.95,91.26
91.64,93.68,93.82,91.44
94.53,95.18,95.25,94.00
95.32,94.90,95.64,94.37
94.47,93.37,95.03,93.25
93.36,92.72,93.98,92.56
93.33,92.90,93.51,92.73
92.98,93.12,93.57,92.78
93.13,92.77,93.44,92.30
93.62,95.50,95.81,93.22
95.29,96.72,98.10,95.11
96.72,96.31,97.60,95.73
96.54,95.58,96.80,95.12
95.58,94.66,96.01,93.79
94.26,93.69,94.44,93.27
94.28,92.77,94.56,92.31
95.07,91.95,95.07,91.49
92.42,91.55,92.42,90.79
90.74,90.61,91.01,89.54
90.89,90.62,91.04,90.01
91.37,90.00,91.56,89.75
90.00,89.92,90.97,89.87
90.59,89.91,90.59,89.11
88.43,88.99,89.65,88.42
89.00,88.56,89.88,87.91
88.55,88.57,89.19,87.58
89.02,91.11,91.26,89.02
90.79,92.53,92.71,90.13
92.92,91.55,92.92,91.34
91.79,91.73,92.88,90.38
91.82,92.82,93.02,91.21
94.13,94.08,94.43,93.45
95.04,94.49,95.04,93.60
94.24,95.95,95.95,94.08
96.15,97.26,97.45,96.00
96.74,98.18,99.14,96.74
98.10,97.28,98.52,96.93
96.99,97.27,97.32,95.17
97.65,97.59,98.02,96.98
97.29,98.08,98.93,96.70
99.21,98.81,99.64,97.68
99.31,99.08,99.46,98.01
98.96,98.01,99.41,97.26
98.41,98.80,98.98,97.80
98.68,99.73,99.79,98.68
99.63,101.70,102.34,99.12
102.43,99.56,102.43,99.29
99.44,98.32,99.88,97.70
98.32,97.21,99.50,96.88
97.20,98.69,98.93,97.14
98.76,99.40,99.43,98.52
99.24,101.34,101.41,98.99
101.57,100.04,101.57,99.99
99.67,100.07,100.30,98.02
97.86,99.50,100.43,97.86
99.34,99.47,100.03,98.51
99.73,98.62,99.91,98.56
98.70,98.67,99.46,97.83
99.12,100.52,100.77,98.37
100.47,100.70,100.76,99.64
101.69,101.30,101.95,100.88
101.00,102.00,102.14,101.00
101.82,101.53,101.93,101.00
101.18,101.49,102.13,100.69
101.31,101.77,101.85,101.17
101.43,103.71,103.88,101.43
103.78,105.37,105.68,103.36
105.28,105.91,106.14,104.94
105.91,106.66,107.00,105.91
106.66,106.74,106.84,105.95
106.79,107.09,107.19,106.25
107.50,106.96,107.50,106.26
107.25,106.65,107.90,105.59
106.98,108.89,109.06,106.90
108.89,108.86,109.52,108.12
108.90,108.62,109.10,108.18
108.93,108.98,109.29,107.94
109.10,108.67,109.52,107.78
109.29,110.40,110.70,108.86
110.50,111.23,111.92,110.40
111.10,107.89,111.21,107.45
108.97,110.99,111.06,108.36
110.54,109.15,110.54,108.79
110.29,110.40,111.08,109.58
110.13,110.01,110.57,109.15
110.61,109.47,111.46,108.80
109.80,109.08,110.15,108.70
109.10,109.22,109.80,108.58
109.66,109.27,110.04,108.68
109.49,111.16,111.42,109.04
111.28,110.41,111.50,110.06
110.42,110.49,111.06,110.18
111.36,113.23,114.52,111.05
113.41,113.02,114.43,112.75
112.69,112.28,112.69,111.54
112.48,114.23,114.33,111.79
114.44,114.91,115.45,114.25
115.02,112.97,115.35,111.91
112.87,112.68,114.16,112.33
113.04,111.74,113.23,111.00
112.22,109.48,112.36,109.01
109.59,109.64,110.31,108.03
110.56,110.67,111.27,109.93
111.29,110.31,111.56,110.13
110.50,108.78,110.92,108.02
110.22,109.85,110.51,108.89
109.77,109.43,109.91,109.19
109.00,110.50,110.70,108.89
110.19,111.20,111.69,109.78
111.20,111.25,112.15,110.52
111.98,111.86,112.01,110.67
110.86,110.50,113.40,110.37
110.95,109.38,111.70,108.33
109.72,110.88,111.52,108.20
110.57,108.04,111.10,107.96
108.71,107.52,108.72,106.70
107.09,107.27,108.36,106.62
107.50,112.17,113.61,107.34
111.57,112.63,112.78,110.76
112.78,113.50,114.16,112.59
114.34,114.67,115.49,113.71
115.43,119.24,119.82,115.42
119.06,118.66,120.34,118.17
118.09,118.18,118.94,117.59
117.35,117.54,117.73,115.73
117.63,117.01,118.48,116.91
117.49,121.33,121.98,117.13
121.49,124.74,125.75,121.49
124.65,124.88,125.26,123.09
124.25,124.96,125.55,123.22
124.54,123.38,126.11,122.95
124.66,123.61,125.06,123.05
123.51,122.45,124.46,120.69
122.62,121.80,123.95,121.28
122.00,121.48,122.00,121.13
122.60,122.36,123.06,121.17
122.84,123.03,123.68,122.00
122.44,116.47,123.02,115.17
114.77,114.96,116.40,113.77
114.95,114.50,114.95,113.19
114.99,113.15,115.59,113.01
113.15,113.39,113.69,112.09
113.14,112.50,113.96,112.45
111.47,114.99,115.41,110.56
115.05,117.87,118.53,115.05
117.50,115.45,119.24,115.16
115.95,118.10,118.29,115.23
118.20,115.67,118.65,114.85
115.41,114.84,116.03,114.56
116.15,115.36,116.26,113.45
115.35,115.19,116.57,114.00
115.36,116.67,117.25,115.29
116.46,116.74,118.73,115.94
116.91,116.27,117.54,115.74
116.64,115.46,116.73,115.30
114.69,114.12,114.92,113.86
113.04,110.03,113.04,108.69
109.61,105.88,110.14,104.65
104.82,109.95,110.23,104.76
109.59,107.37,109.59,106.13
108.19,107.34,108.97,106.43
106.71,107.06,107.50,105.95
106.82,107.01,108.04,106.13
106.69,108.59,109.40,105.51
108.73,108.51,109.11,105.64
108.04,106.42,109.50,106.23
106.17,103.52,106.42,103.34
103.70,104.30,104.39,102.59
104.55,103.95,106.42,103.57
104.27,102.90,104.70,102.49
101.32,100.96,102.23,100.55
101.70,101.15,102.23,99.38
101.45,101.29,102.56,100.41
101.97,101.30,102.48,100.51
101.30,101.88,102.29,100.74
101.60,100.24,101.86,99.91
