FRT,Federal Realty Investment Trust Common Stock,NASDAQ
74.29,75.87,76.19,74.29
76.43,75.15,76.46,74.66
74.82,73.62,75.26,73.29
73.21,73.28,74.28,72.71
73.14,73.43,74.23,72.78
73.77,74.56,74.58,72.92
74.58,76.07,76.34,74.26
75.37,77.83,78.01,75.15
77.68,78.55,78.93,77.11
78.59,78.60,79.08,78.18
78.08,76.07,78.79,75.96
76.68,76.17,77.03,75.86
77.08,78.80,78.93,76.72
78.78,77.39,79.79,77.10
77.97,79.52,79.67,77.97
78.09,77.96,79.42,77.43
78.33,76.84,78.49,76.67
76.54,74.25,76.88,69.87
74.30,73.53,75.75,72.09
76.64,78.30,78.35,75.96
77.12,78.24,78.79,76.41
78.44,78.86,78.95,77.97
78.66,77.43,78.85,77.24
76.94,75.49,77.04,74.94
75.85,74.87,76.66,72.81
75.65,72.79,75.92,72.51
72.39,71.89,73.45,70.67
70.05,68.35,71.12,68.24
67.83,70.72,70.85,67.50
70.65,69.67,71.21,69.65
67.95,70.57,70.79,67.44
71.16,70.45,72.29,70.27
71.91,74.23,74.36,71.17
73.87,73.70,74.54,73.15
73.29,72.53,74.16,72.41
73.19,74.27,74.31,71.88
74.63,73.58,74.65,73.38
72.06,70.08,73.31,69.81
70.51,70.32,71.59,69.97
70.32,70.93,71.12,69.10
71.66,71.47,73.31,71.15
72.17,73.70,73.84,72.09
73.07,74.50,74.56,72.70
75.00,75.26,75.78,74.48
75.50,76.47,76.61,75.05
76.20,75.99,76.63,75.56
76.02,76.15,76.67,75.48
76.21,75.31,76.71,75.19
76.10,74.65,76.46,74.37
74.03,72.09,74.77,72.06
72.10,72.76,73.54,71.18
72.38,71.39,73.04,71.30
71.72,73.55,73.58,71.53
73.65,72.90,73.96,72.54
72.05,71.03,72.37,70.68
71.06,70.27,72.15,70.27
70.56,70.54,70.89,68.55
70.88,69.89,71.01,69.19
70.46,68.91,71.24,68.42
68.93,72.27,72.28,68.93
72.63,73.08,73.40,72.01
72.93,73.41,73.60,72.41
73.05,73.43,73.82,72.61
74.21,74.53,74.78,73.86
73.98,73.90,74.51,73.11
74.03,73.87,74.09,72.41
73.39,72.35,73.46,71.92
72.62,73.22,73.35,71.46
72.33,74.59,74.67,71.68
74.98,73.12,74.98,73.01
73.92,75.64,75.96,73.92
75.42,77.14,77.21,74.63
77.23,78.88,78.91,76.68
79.16,78.16,79.59,77.58
78.11,78.68,79.26,77.65
79.16,77.91,79.54,77.29
77.47,78.19,78.63,76.94
79.45,81.35,81.35,78.87
80.71,80.96,81.99,80.71
81.21,81.54,81.76,80.77
81.19,79.28,81.54,79.27
78.77,78.99,79.23,77.93
79.63,80.32,80.47,78.82
79.58,79.73,80.82,79.30
78.28,78.04,79.23,77.65
77.20,77.49,78.24,76.71
77.29,77.56,78.16,77.16
77.24,78.06,78.60,77.02
78.88,79.87,80.21,78.70
79.94,79.48,80.06,79.19
79.05,78.04,79.48,77.69
77.80,77.17,77.80,76.70
77.56,77.43,78.36,77.23
76.35,76.94,77.60,75.98
76.21,78.06,78.30,76.06
78.54,77.87,78.71,77.64
78.51,78.94,79.05,76.68
78.78,78.38,79.70,78.34
78.07,79.29,79.31,77.80
80.23,81.63,81.81,79.72
81.87,81.87,81.99,81.07
82.48,82.67,82.96,81.82
82.42,81.59,82.42,81.53
81.71,81.35,82.37,81.06
82.54,80.02,82.54,79.73
80.30,80.18,80.46,79.74
80.94,81.03,81.55,80.38
80.70,80.91,81.47,80.46
80.90,82.48,82.63,80.47
82.28,82.30,82.56,81.61
82.64,82.17,82.64,81.64
82.31,83.32,83.63,82.29
82.73,81.88,83.03,81.82
81.84,81.24,82.10,81.06
80.61,79.10,80.86,79.00
80.20,81.06,81.14,79.85
80.81,81.02,81.58,79.86
80.88,81.91,82.11,79.86
81.66,81.72,82.37,81.28
82.38,81.66,83.10,81.47
82.51,81.90,82.51,81.00
81.82,82.91,83.12,81.58
83.34,84.25,84.44,82.60
83.99,83.15,84.10,82.89
83.50,82.91,83.92,82.65
82.83,82.65,83.11,82.29
82.65,82.39,83.63,81.69
82.25,82.06,82.56,81.68
82.69,82.29,83.41,82.23
82.29,82.11,82.89,81.45
82.78,82.01,82.78,81.92
82.15,82.67,82.67,82.00
81.64,82.14,83.16,81.61
82.49,83.55,84.23,82.25
83.78,84.31,84.72,83.49
84.55,84.27,84.55,83.53
84.70,84.32,85.00,84.00
84.02,83.27,84.02,83.15
82.77,82.40,83.22,82.10
82.70,81.78,83.13,81.44
81.53,81.98,82.69,81.45
82.29,82.99,83.63,82.13
83.43,82.99,83.68,82.84
82.96,82.45,83.31,82.13
81.94,82.11,82.11,80.46
82.11,82.54,83.17,81.99
81.95,82.03,82.30,81.42
82.34,79.59,82.34,78.89
79.58,80.71,80.95,79.50
80.26,80.12,80.93,79.91
79.67,79.69,80.49,79.46
79.80,79.06,80.25,79.01
78.66,77.24,78.70,76.72
77.39,77.76,77.93,77.02
78.28,78.10,78.80,77.87
77.79,78.06,78.21,77.06
77.71,78.86,78.97,77.68
78.15,77.96,78.35,77.73
78.56,79.34,79.37,78.47
78.87,78.90,79.37,78.60
78.61,78.60,78.83,77.57
77.99,77.39,78.00,77.09
78.00,78.09,78.27,76.59
78.05,78.31,78.44,77.73
78.03,78.16,78.36,77.44
78.10,77.75,78.13,77.17
78.00,77.77,78.67,77.41
77.79,77.22,78.30,76.41
77.45,76.60,77.45,76.37
76.60,77.00,77.12,76.60
77.26,76.50,77.26,76.37
76.55,75.78,77.11,75.52
75.53,74.87,76.62,74.84
75.09,75.15,75.60,74.66
75.47,75.65,76.12,74.93
75.98,76.43,76.49,75.61
76.47,77.14,77.29,76.33
77.03,77.35,78.15,77.03
77.23,76.69,77.75,76.65
76.49,77.49,77.52,76.27
77.50,77.97,77.99,77.00
78.00,78.31,78.45,77.47
77.91,78.27,78.48,77.68
78.14,77.93,78.77,77.92
78.48,80.01,80.06,78.48
79.94,78.39,80.00,78.13
78.15,77.58,78.83,77.31
77.76,77.21,78.11,77.17
77.23,77.36,77.60,76.66
76.89,77.15,77.37,76.56
77.53,76.32,77.55,76.06
76.67,76.14,76.99,75.43
76.23,76.23,76.55,75.82
75.99,76.87,76.90,75.81
76.91,77.47,77.49,76.19
77.09,76.77,77.28,76.47
76.53,77.17,77.52,76.43
77.41,77.52,77.63,76.92
77.70,77.77,77.95,77.23
77.61,79.23,79.29,77.22
79.39,79.41,79.50,78.68
79.51,80.50,80.60,79.31
80.34,79.25,80.61,78.83
79.67,80.43,81.07,79.37
80.84,79.81,80.89,79.23
79.75,80.36,80.81,79.64
80.11,80.24,80.79,79.96
80.35,79.27,80.54,79.16
79.65,80.33,80.50,79.38
80.21,80.31,80.69,80.13
80.04,81.44,81.56,80.00
81.27,81.98,81.98,80.97
81.88,82.19,82.34,81.06
82.34,82.12,82.39,81.56
81.75,82.01,82.29,81.33
82.33,81.93,83.33,81.55
81.61,81.56,82.00,81.19
81.76,81.59,81.93,81.31
81.25,81.51,81.86,81.13
81.36,81.67,81.77,81.36
81.50,81.51,81.86,81.23
82.11,83.03,83.07,81.87
83.11,84.18,84.40,83.09
84.08,82.17,84.33,82.06
81.42,80.83,81.75,80.76
81.49,82.45,82.45,81.46
82.39,81.91,82.54,81.64
82.21,81.71,82.69,81.46
81.72,82.68,82.96,81.72
82.60,82.90,83.44,82.20
82.40,82.24,82.95,81.99
82.10,82.36,82.62,81.80
81.89,81.46,82.31,81.45
79.86,80.50,81.17,79.13
80.53,79.69,81.01,79.47
80.62,80.46,80.64,79.83
81.13,81.25,81.34,80.52
81.60,81.74,82.12,81.58
81.91,80.99,82.04,80.83
81.09,79.84,81.09,79.52
80.15,80.40,80.63,79.47
80.48,80.99,81.75,80.28
81.20,80.58,81.42,80.47
80.48,80.85,81.03,79.74
80.97,81.11,81.17,80.59
81.00,81.56,82.05,80.92
81.91,81.59,82.23,81.25
81.69,81.85,82.30,81.32
81.55,81.53,82.12,81.25
81.80,81.33,81.91,81.17
81.11,80.21,81.36,79.77
80.50,80.72,80.83,79.74
80.65,81.45,81.75,80.52
81.10,81.36,81.70,80.97
81.61,81.10,81.75,80.89
80.67,82.67,82.81,80.66
82.62,83.64,83.65,82.46
82.91,83.15,83.22,82.61
83.28,83.59,83.97,83.21
83.98,84.71,84.79,83.38
84.71,85.32,85.96,83.93
85.23,85.70,86.38,84.85
85.81,85.95,86.40,85.46
85.94,86.21,86.21,85.33
86.11,88.12,88.30,85.73
87.95,87.56,88.20,86.76
87.56,87.67,88.00,86.72
87.84,87.58,88.14,86.41
87.58,87.57,87.81,87.01
87.36,87.41,87.88,86.62
88.43,87.99,88.75,87.01
87.72,87.07,87.96,86.93
87.07,87.21,87.26,86.78
87.01,86.03,87.39,85.79
86.01,85.61,86.43,85.47
85.73,85.27,85.97,84.93
84.88,85.70,86.03,84.88
85.48,85.53,86.04,85.04
85.51,86.22,86.45,85.19
86.26,86.24,86.62,85.79
85.96,84.91,86.12,84.62
84.20,84.70,85.17,84.04
84.78,84.69,85.03,84.15
84.49,85.10,85.55,83.88
84.84,85.26,85.37,84.63
85.56,85.21,85.66,84.91
86.04,87.60,87.98,85.70
87.65,85.33,87.82,85.21
85.45,84.90,85.89,84.80
84.53,84.87,85.45,83.65
84.73,84.18,85.10,84.11
84.40,84.71,85.08,83.84
84.33,84.28,84.88,83.72
84.38,83.48,84.38,83.27
83.08,81.69,83.26,81.55
81.77,82.42,82.96,81.71
83.53,83.34,83.66,82.73
82.63,82.33,82.82,81.76
82.46,84.15,84.43,82.24
84.71,85.05,85.34,84.01
84.94,86.14,86.32,84.80
86.10,86.40,86.57,85.32
86.30,86.12,87.00,86.05
85.46,84.21,85.46,83.62
84.20,83.81,84.65,83.42
83.99,84.13,84.43,83.73
84.21,84.72,84.72,83.61
85.04,85.90,86.05,84.59
85.94,85.18,85.98,85.12
85.38,86.86,86.96,85.31
86.21,87.45,87.54,86.16
87.17,88.41,88.65,87.03
88.87,89.43,89.53,88.46
88.49,89.38,89.38,88.00
88.28,88.23,88.93,88.00
87.93,88.64,89.69,87.93
89.09,88.19,89.10,88.09
88.28,87.15,88.81,87.06
87.58,88.47,88.53,86.83
88.28,88.00,88.37,87.00
88.43,88.92,89.08,88.18
89.18,89.31,89.60,88.64
89.67,89.61,90.00,89.42
89.58,90.29,90.58,89.29
89.41,89.24,89.70,88.97
89.39,88.97,89.76,88.67
88.62,86.42,88.67,86.31
86.68,86.61,87.27,85.71
85.39,87.34,87.43,84.91
87.77,86.17,89.08,85.60
85.73,84.23,86.01,84.16
84.69,83.78,84.69,81.47
82.94,81.61,83.84,81.61
82.46,80.54,82.50,80.06
78.84,75.31,78.84,75.31
76.66,82.93,83.02,75.86
81.02,82.90,86.95,80.00
83.26,86.02,87.54,82.90
86.57,85.13,87.40,84.70
85.73,87.25,87.41,85.60
86.28,86.98,87.42,85.84
87.38,87.14,88.08,86.44
84.69,84.85,86.77,84.22
83.76,83.66,85.49,83.47
84.95,84.04,85.15,82.97
84.17,85.59,85.65,83.28
85.92,87.02,87.77,85.00
87.64,86.40,87.96,85.50
85.70,86.76,86.91,84.33
87.46,89.01,89.07,87.07
88.62,90.35,90.83,87.55
90.74,90.55,91.47,89.75
90.92,88.41,91.01,87.78
86.97,86.51,88.16,86.47
85.12,87.15,87.36,83.92
88.34,89.38,89.46,86.40
89.04,88.84,89.83,88.33
87.80,86.56,88.40,85.94
85.45,86.82,86.85,85.01
87.04,86.91,87.32,85.91
87.40,87.24,87.68,85.59
88.03,87.87,88.13,86.87
87.73,87.42,88.64,86.15
86.57,85.29,86.69,85.20
84.89,84.88,86.02,84.38
84.88,83.71,85.96,83.44
81.77,84.16,84.66,81.72
83.93,84.41,84.49,82.20
85.00,84.12,85.00,83.21
85.43,84.18,85.57,83.75
84.36,81.69,84.77,81.58
82.83,84.21,84.22,82.56
83.43,82.41,84.38,82.35
82.10,80.15,83.13,80.08
79.22,83.23,83.35,78.25
82.97,81.70,82.97,77.67
81.38,83.16,83.27,80.75
83.41,81.64,83.73,81.51
82.91,84.91,84.98,82.84
83.88,82.03,84.68,81.79
82.73,83.26,84.40,82.01
82.84,82.20,82.99,80.96
83.19,83.78,83.97,82.23
83.58,81.57,83.58,81.30
81.78,83.48,83.79,81.27
83.44,83.26,84.19,82.82
83.65,83.47,84.17,81.92
84.65,85.00,85.19,83.71
85.01,87.33,87.38,84.68
86.73,86.10,87.22,85.90
87.04,86.72,87.04,85.54
89.24,89.33,90.04,87.86
89.32,88.97,89.37,88.11
87.76,88.76,90.13,87.65
87.05,85.03,88.58,84.85
86.48,87.74,87.93,85.66
88.39,88.71,89.11,87.01
88.44,89.29,89.61,87.59
89.00,89.59,90.00,88.31
90.10,90.56,90.70,87.85
88.99,86.39,89.28,85.97
87.17,86.24,87.32,85.24
86.70,88.00,88.27,86.39
87.77,86.46,87.85,86.30
86.47,87.51,88.18,86.04
86.92,86.98,88.13,86.38
86.78,85.92,87.41,85.45
86.47,86.54,86.65,85.38
85.30,85.44,86.16,84.87
85.47,85.42,85.85,84.86
84.65,82.86,84.74,82.82
82.87,83.04,84.49,82.40
85.65,85.61,85.83,84.18
85.84,85.36,85.84,84.78
87.83,88.43,88.60,86.77
87.84,87.42,88.37,87.27
88.90,89.40,91.38,88.86
89.28,89.40,89.96,88.87
89.31,88.98,89.63,88.55
88.89,90.09,90.28,88.22
89.15,88.65,89.67,88.36
89.14,90.00,90.74,88.84
89.11,89.13,89.35,87.72
89.85,88.98,90.64,88.39
88.50,89.53,90.71,88.19
90.39,89.50,90.39,88.60
90.05,90.45,91.45,89.81
90.57,90.05,91.21,89.95
91.17,91.62,92.42,91.11
91.76,91.23,91.84,91.03
91.69,92.16,93.13,91.38
92.60,92.30,93.18,92.19
92.13,92.45,92.97,91.87
92.77,91.30,92.77,91.30
91.09,91.21,91.50,90.73
91.25,90.75,91.47,90.74
92.08,90.75,92.87,90.40
90.41,89.23,90.80,89.21
89.22,90.11,90.31,88.79
90.29,89.96,90.64,89.39
89.94,89.58,90.42,89.36
90.52,91.32,91.82,90.42
90.93,91.56,91.81,90.76
91.62,90.58,91.71,90.43
90.25,90.13,90.39,89.49
90.67,90.75,91.01,90.56
91.05,90.91,91.69,90.68
91.05,91.72,92.11,90.83
91.47,92.23,92.44,91.09
92.23,92.75,93.16,92.08
92.28,93.12,93.24,92.14
92.94,94.17,94.35,92.66
94.66,95.14,95.27,94.31
94.74,95.15,95.42,93.90
94.50,94.99,95.16,94.29
95.13,94.46,95.35,93.76
94.84,95.45,95.50,94.79
95.72,95.12,96.02,94.91
96.06,96.31,96.42,95.40
95.97,96.64,96.69,95.42
96.55,96.51,96.94,96.18
96.41,96.76,96.95,95.56
96.69,95.96,96.94,95.25
94.56,95.19,96.32,94.56
96.10,97.84,97.84,95.80
97.46,96.94,97.68,96.39
97.21,96.51,97.35,95.76
96.03,96.66,97.43,95.03
97.13,96.59,97.39,96.29
96.84,95.15,97.37,94.88
95.29,95.77,96.17,95.03
95.49,96.70,96.88,95.40
97.10,97.07,97.20,95.73
96.81,96.69,97.00,95.46
96.81,95.44,97.19,95.16
95.73,95.35,96.20,94.93
95.70,96.08,96.43,95.55
96.01,96.36,96.50,95.49
96.44,96.54,96.72,95.66
95.65,96.08,96.56,95.60
96.36,96.50,96.79,95.39
96.55,95.72,96.99,95.03
95.93,95.87,96.41,95.54
96.04,95.88,96.54,95.65
96.36,97.73,97.73,95.96
97.73,97.15,98.55,97.00
96.75,96.26,97.37,95.85
96.26,96.51,96.83,95.16
96.46,97.50,98.04,96.01
97.03,97.36,97.72,96.82
97.38,97.21,97.94,97.07
96.48,95.80,96.69,95.16
95.96,96.40,97.29,95.61
97.05,97.38,97.64,96.64
97.32,97.29,97.80,96.98
97.13,96.41,97.24,95.46
95.62,96.13,96.49,95.13
96.60,96.79,97.63,96.08
96.88,96.95,97.56,96.25
97.11,97.64,97.69,96.71
97.15,96.81,97.39,96.39
96.39,96.58,97.00,96.25
95.36,96.18,96.66,95.34
96.35,94.95,96.35,94.64
95.66,96.16,96.17,94.86
96.13,96.48,96.49,95.56
96.06,95.78,96.70,95.66
96.25,96.87,97.61,96.25
97.48,97.22,97.97,96.84
97.16,97.00,97.50,96.78
96.99,96.87,97.53,96.39
97.19,98.19,98.61,97.17
97.61,97.22,97.75,96.46
97.46,98.76,98.76,97.40
99.40,99.97,100.04,98.84
99.62,100.20,100.57,99.26
99.95,100.83,101.38,99.76
100.61,100.66,100.91,99.89
100.62,101.62,102.64,100.62
100.83,101.96,102.11,100.50
102.27,101.50,102.42,101.50
101.44,101.17,101.72,100.94
100.35,102.03,102.41,99.06
101.39,101.90,102.50,101.38
101.18,101.33,101.96,100.86
101.95,101.00,102.00,100.45
100.98,101.54,101.91,100.45
100.81,100.47,101.51,100.43
100.70,100.80,101.55,100.29
101.00,99.54,101.00,99.21
99.25,96.47,99.91,96.47
97.05,95.33,97.22,95.18
95.84,97.14,97.36,94.87
97.46,98.26,98.76,97.22
98.01,98.41,98.59,96.95
98.77,99.19,99.39,97.83
99.06,98.59,99.46,98.18
98.87,99.85,100.34,98.76
98.82,97.60,99.16,97.41
97.77,98.28,98.75,96.76
96.61,96.65,97.20,96.00
96.63,96.33,96.99,95.66
96.33,98.19,98.35,95.83
99.17,99.95,100.03,98.53
100.79,99.10,100.79,98.73
99.03,99.97,99.98,98.80
100.15,97.95,100.53,97.88
98.27,98.97,98.97,97.74
98.85,97.97,99.54,97.70
98.43,99.18,99.50,97.98
99.56,99.61,99.99,98.73
99.40,100.86,101.18,99.01
100.76,101.70,102.04,100.50
101.18,101.16,101.72,99.13
101.30,100.35,101.64,99.92
100.50,100.14,100.78,99.48
99.26,100.05,100.46,99.15
100.21,100.38,100.73,99.50
100.29,100.93,101.10,99.85
100.18,102.14,102.24,99.96
103.62,104.09,104.09,102.91
104.33,105.15,105.23,103.94
105.36,106.50,106.64,104.87
106.42,106.08,107.21,105.49
105.47,106.08,106.24,104.88
105.98,106.53,106.66,105.74
107.01,105.89,107.22,105.21
105.85,105.90,106.12,104.93
105.13,106.93,107.32,104.51
107.01,107.47,107.91,106.77
106.78,107.40,107.89,106.39
108.00,108.28,108.48,106.42
107.22,107.56,108.19,107.07
107.52,107.21,108.10,106.61
106.44,106.63,107.38,106.24
105.92,106.55,106.83,105.53
106.55,106.11,106.94,105.63
106.27,106.21,106.69,105.52
107.23,106.77,108.17,106.23
107.24,107.66,108.69,107.24
107.56,108.42,109.01,107.08
108.23,108.66,108.91,108.08
108.63,107.94,109.99,107.74
107.62,107.15,107.62,105.42
107.97,108.22,108.91,107.82
108.56,106.89,108.56,106.83
106.59,105.49,106.78,104.38
105.63,105.16,105.87,104.57
104.99,104.59,105.93,104.25
104.47,104.36,104.92,103.99
104.48,104.36,104.91,104.08
104.75,105.03,105.63,104.62
104.86,105.82,106.01,104.75
105.90,106.81,107.01,105.48
106.80,106.69,107.04,106.48
106.37,106.59,106.80,105.94
106.98,107.08,107.21,106.59
107.11,107.30,107.39,106.50
106.97,107.43,107.50,106.79
107.07,107.43,107.70,106.73
107.63,107.44,107.66,107.05
107.45,107.60,107.68,106.74
107.18,107.56,107.98,107.18
107.02,107.60,107.82,106.87
108.00,107.91,108.10,107.04
108.15,109.49,109.49,107.34
109.44,109.05,109.53,108.20
109.33,109.12,109.77,108.87
109.09,108.93,109.40,108.45
108.92,108.24,109.06,108.00
108.08,108.54,108.88,108.08
108.46,108.43,108.88,108.06
108.41,109.00,109.38,108.41
109.09,108.71,110.00,108.66
108.57,108.36,109.51,108.35
108.41,107.74,108.86,107.52
107.06,106.62,107.57,106.58
105.91,105.07,106.10,104.89
105.32,104.78,105.97,104.78
104.96,104.36,106.22,104.33
104.67,103.57,104.98,103.48
103.79,105.06,105.51,103.50
105.13,105.00,105.80,104.78
104.90,105.30,106.59,104.54
105.30,105.13,105.79,103.51
105.34,106.11,106.14,104.94
105.83,107.37,107.67,105.83
107.59,107.23,107.88,106.69
107.69,107.46,108.00,106.66
106.83,107.50,107.54,106.78
107.29,106.90,107.78,106.80
107.18,107.60,107.63,106.61
107.74,107.41,108.22,107.25
107.61,107.45,107.92,107.07
107.83,108.47,108.48,107.21
108.63,108.99,109.18,108.27
108.63,108.89,109.21,107.80
108.74,110.03,110.20,108.74
109.91,109.07,110.51,109.07
107.43,108.83,109.80,107.43
108.05,107.79,108.26,106.92
108.20,106.87,108.40,106.56
107.28,106.31,107.83,105.10
106.59,105.54,106.59,104.96
106.12,107.83,107.83,104.53
107.64,107.00,108.15,105.82
106.75,105.93,107.58,105.62
106.07,105.71,107.08,104.78
106.11,104.49,106.64,104.16
104.05,105.33,105.98,103.90
105.44,104.20,105.44,104.20
103.73,103.65,104.49,103.20
102.79,103.18,104.02,102.79
102.88,102.84,103.76,101.93
102.75,100.75,102.79,100.57
100.93,99.82,101.90,99.58
100.16,100.74,101.64,99.91
101.47,101.29,102.36,101.18
101.53,102.30,102.74,100.71
102.32,102.66,103.03,101.27
103.24,103.66,103.66,99.00
103.00,104.00,104.88,103.00
103.53,103.51,103.78,101.85
103.32,102.48,103.43,102.25
103.03,102.49,103.54,101.74
102.72,104.04,104.04,102.32
103.92,103.74,104.09,102.96
103.55,103.76,104.12,103.27
103.75,103.52,103.95,103.24
103.74,104.41,104.91,103.21
104.05,104.22,104.63,103.77
104.20,104.11,104.58,103.18
103.92,104.26,104.48,103.89
104.05,104.00,104.38,103.75
103.75,104.05,104.22,103.46
103.72,103.40,104.67,103.14
103.66,103.78,104.77,103.56
103.81,104.72,104.94,103.81
104.50,104.21,104.75,104.15
104.36,105.08,105.32,104.12
103.74,104.52,105.58,103.44
104.03,104.67,105.19,103.63
104.97,104.47,105.16,104.04
104.44,105.01,105.20,104.04
104.32,103.58,104.65,103.49
103.46,104.02,104.15,103.19
105.63,105.32,105.90,104.48
106.15,104.50,106.15,104.22
104.54,105.17,105.29,104.07
104.92,105.71,105.85,104.82
104.67,104.77,105.20,104.11
105.15,105.14,105.81,104.85
105.59,105.41,105.59,104.81
105.48,105.48,105.99,105.18
105.38,106.18,106.24,105.32
106.33,106.26,106.53,105.77
105.44,105.16,106.18,105.06
105.47,104.83,105.94,104.76
105.03,105.09,105.21,104.48
104.85,105.71,105.88,104.85
105.29,105.81,106.09,105.29
105.64,105.54,106.27,105.40
106.00,105.45,106.00,105.01
106.16,105.68,106.16,105.27
105.37,105.94,106.20,105.37
105.73,106.36,106.55,105.25
106.36,105.85,106.43,105.81
106.42,106.27,106.68,105.94
106.23,106.02,106.77,105.81
106.57,106.23,106.57,105.89
105.75,106.85,106.90,105.75
107.20,106.99,107.32,106.50
106.95,107.76,107.83,106.61
107.55,107.82,108.00,107.00
107.62,108.95,109.03,107.62
108.99,109.18,110.25,106.49
108.95,108.53,109.37,108.37
108.43,108.53,108.73,107.66
108.46,109.30,109.64,108.41
109.05,108.49,109.89,108.49
108.55,107.42,108.74,107.33
107.85,107.85,108.02,107.47
108.00,106.15,108.36,106.13
106.49,106.18,107.44,105.56
106.37,107.04,107.55,106.15
107.05,106.21,107.17,106.21
106.35,105.74,106.84,104.90
105.80,106.56,106.71,105.47
106.99,108.01,108.05,106.40
108.01,107.72,108.01,107.03
107.84,107.15,108.45,106.84
107.81,106.37,107.86,106.24
106.23,106.20,106.47,105.73
105.44,104.97,105.60,104.70
104.97,104.93,105.57,104.63
105.00,104.97,105.26,104.86
104.97,105.25,105.28,104.49
104.48,105.00,105.01,104.13
104.93,105.57,105.62,104.55
106.04,105.90,106.04,105.36
105.42,105.65,106.32,105.42
105.98,106.58,106.58,105.91
106.49,106.44,107.06,106.20
106.58,106.78,106.95,106.14
105.79,107.21,107.62,105.79
106.95,108.04,108.09,106.86
108.10,108.67,108.67,107.46
108.55,108.17,109.26,107.81
108.84,108.62,108.84,107.55
108.56,109.73,109.84,108.50
109.19,110.61,110.65,108.56
110.52,111.74,111.78,110.10
112.03,111.83,112.56,110.80
112.15,112.69,112.91,111.82
112.61,112.94,113.65,112.44
112.70,113.72,113.72,112.49
113.12,111.26,113.40,111.05
111.73,111.81,112.82,110.77
111.10,110.81,111.19,109.90
110.99,111.00,111.48,110.15
111.18,113.37,113.55,110.80
113.54,113.42,113.74,112.10
113.85,113.94,114.46,113.47
113.98,113.97,114.77,113.30
114.07,114.57,115.35,112.96
114.46,114.28,114.73,113.88
114.71,115.28,115.41,113.92
115.25,117.01,117.18,114.77
116.22,115.78,117.12,115.49
115.94,116.66,117.34,115.40
118.11,117.37,118.13,116.82
117.25,117.29,118.52,116.87
117.24,116.64,117.83,116.42
116.63,116.71,117.08,115.78
116.94,116.01,116.94,115.83
116.15,116.41,116.55,115.86
116.42,117.12,117.12,116.06
116.90,116.70,118.05,116.57
116.80,117.96,117.98,116.36
118.06,116.54,118.21,116.21
117.01,116.82,117.29,116.24
116.60,116.76,117.05,116.52
117.08,117.42,117.94,116.97
117.41,114.14,118.04,113.75
112.35,111.60,112.81,111.19
111.39,113.34,113.63,110.76
114.06,112.46,114.49,111.45
111.57,110.22,112.06,108.77
110.46,109.12,111.08,109.08
109.07,107.75,110.03,107.70
107.89,108.24,108.94,106.61
108.48,106.95,108.48,106.93
106.93,106.06,107.27,105.76
105.88,107.59,107.62,105.06
107.78,107.40,107.82,105.96
107.48,106.69,107.66,106.45
104.94,105.71,106.58,104.56
105.87,103.48,106.26,103.27
103.18,105.46,105.80,103.18
105.70,105.80,107.22,105.30
106.49,105.30,106.86,104.68
105.24,104.85,105.74,104.35
103.78,100.77,104.59,100.11
