SINA,Sina Corporation - Ordinary Shares,NASDAQ
35.91,35.63,36.62,35.41
36.48,36.75,36.77,35.83
36.43,37.03,37.13,36.22
37.15,36.66,37.42,36.55
36.83,37.61,37.64,36.83
37.22,37.97,38.17,37.22
37.87,38.02,38.29,37.46
38.07,38.18,38.22,37.81
38.66,38.44,39.95,38.25
38.45,38.29,39.04,38.04
38.90,38.27,38.99,38.02
38.08,37.05,38.25,36.80
37.28,37.31,39.97,37.04
37.22,36.84,37.44,36.59
36.40,34.95,36.47,34.62
35.08,35.26,35.86,35.08
35.27,34.97,35.81,34.56
35.03,34.46,35.23,34.26
35.08,34.62,35.65,34.44
34.98,35.90,36.09,34.75
36.28,35.90,36.33,35.44
35.82,36.26,36.35,35.12
36.26,36.40,36.97,36.12
36.75,36.86,37.11,36.63
36.53,36.66,36.72,36.06
38.20,39.72,39.80,37.55
39.14,39.91,40.19,39.12
40.00,40.20,40.21,38.90
39.89,40.34,40.38,39.47
40.37,40.21,40.56,39.95
40.58,40.98,41.07,40.51
40.71,41.80,41.92,40.40
41.80,42.72,42.99,41.73
43.00,42.57,43.00,41.95
42.56,41.30,42.66,41.05
41.42,42.01,42.26,41.08
41.87,42.78,42.84,41.60
43.00,42.96,43.74,42.80
42.93,42.99,43.39,42.75
43.23,42.82,43.68,42.74
44.46,45.66,45.69,43.95
45.10,45.05,45.36,44.64
44.99,45.13,45.92,44.99
44.38,44.47,44.70,43.95
43.55,43.29,43.77,42.81
42.83,43.49,43.61,42.70
43.03,42.89,43.92,42.51
42.42,42.50,42.89,42.23
42.76,42.65,43.20,42.48
42.56,42.61,43.02,42.48
42.51,42.25,42.80,42.03
42.15,42.12,42.50,42.00
42.05,42.23,42.59,41.40
41.70,41.36,41.79,41.14
41.30,41.23,41.34,40.68
41.27,40.99,41.50,40.95
41.21,42.67,43.00,40.50
42.38,41.93,42.82,41.88
41.90,42.82,42.97,41.46
43.62,44.66,44.85,43.44
44.65,44.22,44.98,44.14
44.94,44.42,45.00,44.38
43.99,43.06,44.39,42.98
43.00,43.11,43.61,42.88
43.60,43.32,44.00,43.08
43.35,43.33,43.48,42.91
44.11,44.80,45.79,43.98
44.78,44.65,45.15,44.40
44.82,45.91,47.10,44.71
46.11,50.30,50.34,46.00
51.00,48.01,51.00,47.75
48.29,51.13,51.27,48.14
51.20,51.35,52.73,50.50
50.99,49.49,51.00,48.95
48.99,50.74,51.63,48.91
51.56,51.98,52.34,50.70
51.71,52.41,53.05,51.23
52.30,51.90,52.32,51.00
51.43,51.75,52.30,50.35
51.94,50.58,52.28,49.40
51.26,50.66,51.45,50.13
50.85,50.33,51.80,49.75
50.98,51.02,51.20,50.25
51.00,49.09,51.00,48.59
48.84,49.98,50.07,48.50
49.95,50.86,51.50,49.06
51.79,52.87,53.80,51.00
53.18,52.58,53.18,51.68
53.22,53.14,53.80,53.04
53.22,52.55,53.26,51.91
52.98,54.06,55.23,52.72
53.71,53.98,54.61,53.34
53.50,51.40,53.80,51.27
51.50,51.67,52.80,51.46
52.43,52.31,53.55,51.71
52.93,53.91,54.40,52.81
56.00,56.82,58.32,55.25
56.67,55.85,57.80,55.72
55.36,55.42,55.75,54.00
55.86,54.83,55.86,54.18
54.77,56.30,56.57,54.12
56.60,55.24,58.00,54.64
55.69,56.49,56.58,55.02
56.50,57.00,57.03,55.82
57.85,58.45,58.65,56.91
58.75,59.14,60.36,58.43
59.37,62.60,63.29,58.62
63.00,61.34,63.52,60.80
61.24,61.79,62.11,59.74
59.95,60.49,60.68,59.60
59.39,58.70,60.00,58.00
60.44,58.53,60.50,58.13
57.97,56.99,58.08,56.33
56.35,60.32,61.73,56.25
60.88,61.06,61.90,60.00
60.77,59.64,60.77,59.50
59.46,60.09,60.97,57.97
58.91,59.95,60.50,58.57
61.00,62.13,63.00,60.68
61.80,61.81,62.47,61.54
61.39,65.19,65.55,61.20
64.88,64.02,65.03,63.24
65.78,66.93,68.88,65.44
67.46,67.99,68.00,66.60
67.58,69.06,69.39,67.31
69.52,69.25,70.34,69.00
70.35,69.10,70.47,68.65
69.10,71.50,71.51,69.10
71.86,75.62,75.80,71.74
76.00,73.88,76.36,73.24
73.98,71.16,74.62,70.91
70.99,68.67,71.50,68.20
68.05,70.83,71.02,68.04
71.26,70.07,71.26,69.54
69.18,68.89,69.86,68.04
69.52,67.64,70.29,66.00
68.02,73.70,73.86,68.02
73.63,71.00,73.72,70.75
71.16,70.89,71.33,70.13
70.33,71.31,71.53,70.00
71.58,70.35,71.89,70.03
70.53,70.31,71.18,70.11
70.75,70.08,70.78,69.64
70.07,68.82,70.18,68.80
70.47,71.48,71.92,69.12
72.68,75.59,76.10,72.13
75.62,75.10,76.99,73.90
76.52,77.07,78.64,75.01
75.99,75.93,77.34,75.20
76.00,76.82,76.99,75.14
77.86,82.77,83.60,77.66
84.55,81.55,84.64,81.06
82.57,85.53,87.45,82.43
86.82,88.17,88.67,85.25
87.81,87.08,90.05,86.50
87.49,81.09,87.67,80.55
80.17,79.93,82.91,78.73
81.61,78.76,81.77,78.13
78.75,83.50,83.96,78.33
83.17,81.30,83.17,80.60
81.60,81.31,82.46,80.50
81.20,83.06,83.40,81.00
82.91,80.68,83.73,79.65
82.94,85.25,85.99,81.85
88.25,85.49,89.18,85.25
85.00,87.76,88.19,84.30
88.68,88.33,90.00,87.00
88.50,91.09,91.10,88.01
92.29,90.70,92.84,90.30
90.53,90.77,91.18,88.07
91.48,92.50,93.94,90.64
90.36,94.17,94.30,89.45
93.42,93.16,94.00,91.93
93.68,93.89,95.29,93.61
94.91,93.34,94.98,92.50
90.00,89.75,90.68,88.66
89.71,88.10,89.71,88.02
88.31,85.52,89.64,85.29
80.06,78.12,83.00,77.32
78.59,75.64,79.77,75.18
76.76,78.00,79.95,76.37
80.72,81.48,82.14,79.93
82.79,81.67,84.11,80.61
83.17,82.00,84.79,80.72
77.62,77.15,79.21,74.22
78.08,79.25,80.16,78.01
79.89,84.13,84.39,79.50
84.58,82.81,85.47,81.00
83.20,88.73,88.97,81.89
89.02,90.08,92.45,88.00
88.12,92.24,92.76,86.66
91.58,94.93,95.36,91.58
94.80,95.72,98.98,94.48
91.43,91.35,92.95,87.33
93.20,90.91,95.78,90.14
92.99,87.88,93.90,87.39
89.33,88.14,89.49,85.79
90.00,93.05,93.25,89.79
93.02,94.70,94.77,91.65
94.30,98.60,98.95,93.42
99.56,101.10,101.96,97.22
102.04,103.52,104.44,101.52
105.80,103.49,106.38,103.27
103.96,107.65,108.59,103.35
109.50,108.12,109.53,106.09
107.15,107.04,108.86,105.51
108.00,111.45,112.15,107.70
113.57,116.56,116.66,113.17
116.41,113.56,116.45,112.90
115.69,110.97,116.30,107.59
110.97,117.02,117.25,109.67
119.39,119.35,120.48,115.00
115.01,116.27,118.76,111.41
114.13,111.27,115.98,110.80
114.77,119.95,120.00,114.15
120.15,123.68,124.33,120.00
123.88,124.56,124.56,120.84
123.38,135.13,135.94,121.20
137.50,142.40,147.12,136.01
145.69,142.83,145.73,140.10
133.28,133.06,136.75,130.62
129.50,138.41,139.86,127.35
139.89,134.61,140.38,133.11
134.65,129.06,135.22,125.11
128.60,130.47,132.96,127.56
130.60,134.75,135.84,130.00
137.39,135.00,139.38,134.50
134.64,122.22,134.71,122.00
120.80,118.76,124.26,115.66
118.50,122.26,125.90,118.50
126.52,125.19,126.88,123.45
125.50,124.45,127.80,124.00
126.19,120.09,126.19,120.00
121.00,119.80,122.86,114.85
123.15,113.15,126.50,112.50
111.57,106.88,111.73,104.98
104.22,106.28,112.97,104.21
108.14,112.94,113.13,105.11
114.72,111.40,116.37,111.02
111.46,117.39,118.75,111.46
117.50,115.97,118.60,114.16
112.82,109.00,112.83,108.53
110.97,109.50,111.90,109.12
110.70,112.00,114.28,110.50
112.16,114.09,115.50,109.75
114.43,116.04,118.63,113.85
119.35,118.79,120.47,117.45
118.23,120.00,123.00,117.57
121.02,125.14,126.42,119.57
123.33,111.60,128.17,111.00
113.50,109.39,116.95,107.41
111.49,109.10,111.83,101.65
106.69,96.79,109.44,94.76
96.37,90.92,97.98,88.52
91.21,89.33,94.34,89.01
90.39,86.11,91.17,84.91
89.10,91.61,93.40,88.70
90.16,86.88,92.17,85.92
88.50,83.77,89.65,79.61
86.32,80.57,86.40,79.83
81.19,77.62,82.25,77.33
79.50,92.02,92.90,79.21
92.18,86.05,92.38,85.82
83.69,87.90,89.90,83.13
90.06,89.35,93.40,88.13
92.27,94.80,95.67,91.30
96.34,100.54,101.62,96.00
102.11,100.45,102.16,98.50
101.00,104.10,104.25,98.50
103.45,108.76,109.25,102.72
110.09,114.62,116.19,108.84
112.78,113.30,116.33,111.18
115.92,113.65,115.92,112.29
110.39,113.58,113.84,110.20
110.63,105.35,112.13,103.19
104.12,105.16,108.05,103.28
108.85,114.54,115.00,108.68
115.80,114.56,119.19,112.25
118.80,117.17,119.67,115.30
115.93,121.01,121.70,115.20
124.70,119.59,125.37,119.16
120.83,119.00,121.20,115.40
117.77,111.70,118.00,110.32
112.39,114.22,116.75,112.01
112.36,113.18,116.60,112.16
116.08,115.38,117.53,115.00
114.41,110.67,115.80,110.60
111.50,111.04,113.75,108.11
108.04,108.09,110.20,106.03
109.86,106.67,110.49,105.25
105.90,101.76,109.14,101.60
102.58,99.87,103.15,95.25
96.27,90.79,97.29,90.66
93.12,90.99,93.59,86.00
85.01,83.07,88.83,82.00
87.00,92.74,92.78,86.32
90.55,96.18,101.09,89.53
99.33,103.00,104.24,97.11
105.17,103.23,106.99,100.75
104.76,106.30,106.42,102.75
104.50,97.91,104.50,94.50
97.88,92.90,100.62,92.37
94.40,96.20,99.74,89.26
95.05,90.05,100.54,89.83
93.81,90.93,97.70,90.00
92.58,96.74,96.89,92.01
95.58,92.37,96.71,88.64
94.00,93.23,95.99,92.44
92.44,97.93,98.07,89.25
100.01,98.00,100.98,96.55
96.89,105.34,106.55,96.00
108.87,107.41,108.98,106.00
107.42,104.44,109.43,104.00
101.97,101.21,102.50,99.51
96.57,102.19,102.56,96.50
104.50,109.20,109.29,104.11
107.42,108.74,111.97,107.39
107.50,104.67,110.40,102.22
102.33,106.73,107.40,101.76
107.29,113.98,114.24,107.10
114.55,112.41,114.89,111.11
113.13,110.15,113.72,108.55
110.15,110.33,111.00,107.98
108.13,109.35,110.89,105.51
110.92,92.76,111.21,90.80
96.23,90.02,98.10,90.01
85.84,81.82,87.88,80.52
82.13,86.91,87.65,82.05
88.30,82.34,88.64,76.49
85.87,87.13,89.97,85.72
85.72,81.10,86.38,80.40
84.00,73.23,84.35,68.00
70.00,71.61,77.86,68.00
71.61,67.90,74.00,67.27
67.90,72.67,72.67,64.81
71.66,76.57,76.95,68.51
78.00,78.78,80.00,75.67
78.69,73.81,79.28,71.50
74.68,77.13,78.69,73.00
75.53,81.78,82.48,75.15
81.26,78.48,84.55,77.29
81.01,92.88,93.32,80.96
95.00,93.08,96.00,89.52
90.00,88.42,93.39,87.64
87.41,86.01,87.80,81.03
83.82,83.26,91.48,82.55
82.81,83.34,84.20,81.00
85.17,84.46,85.21,82.22
86.03,92.37,92.95,85.89
91.51,88.73,92.37,87.41
90.25,84.68,92.14,79.60
88.70,87.39,91.00,86.00
88.99,88.40,91.11,86.50
85.76,81.29,86.00,81.03
78.45,77.69,79.50,76.70
80.00,80.00,80.75,78.31
81.51,82.26,82.94,78.50
81.77,83.10,83.95,79.12
83.50,85.02,86.39,82.11
86.87,86.94,87.00,83.10
82.74,77.50,83.00,77.08
78.62,76.08,78.62,75.14
77.30,79.16,79.67,75.62
78.77,78.89,80.50,77.77
78.25,78.35,78.90,76.70
77.72,77.96,80.00,77.40
78.29,74.91,78.45,72.28
75.75,74.12,75.75,73.25
72.38,65.70,72.38,63.31
65.63,65.83,67.41,63.64
65.16,63.51,65.43,62.30
63.05,63.15,64.95,62.62
65.51,59.73,66.61,56.05
59.78,62.67,63.50,58.35
66.12,66.08,67.54,62.84
63.91,66.41,67.19,63.55
69.20,68.52,69.57,67.76
69.00,66.35,69.95,65.30
65.22,62.72,66.75,62.60
61.85,63.92,64.55,60.42
63.01,61.26,63.67,60.80
61.85,61.86,62.85,60.52
61.14,58.43,61.16,57.80
58.51,57.01,58.89,56.02
56.50,54.13,56.77,53.75
54.70,52.80,55.49,52.11
49.20,55.05,55.34,46.86
54.36,52.81,54.80,51.23
54.47,55.74,56.72,52.84
54.76,52.07,54.80,51.06
52.00,53.58,54.69,50.55
53.91,55.79,57.02,53.50
55.06,54.68,56.74,54.06
54.68,53.09,54.98,52.77
52.97,53.16,54.00,51.93
52.70,52.00,53.09,51.80
53.41,55.60,56.84,53.32
55.26,53.56,55.26,53.24
53.05,52.97,54.77,52.12
53.26,48.49,54.37,48.05
49.29,48.20,50.42,47.13
50.46,54.37,54.99,50.24
54.45,57.48,57.75,53.60
60.00,60.12,60.85,58.10
59.16,59.92,60.95,58.41
62.58,61.20,63.53,61.16
60.19,60.66,61.45,58.13
62.08,62.01,63.16,60.10
61.76,64.96,65.20,61.31
65.37,64.48,67.58,63.55
63.47,64.44,64.50,62.10
63.62,64.30,64.47,62.78
64.98,62.39,65.77,61.80
62.00,69.96,71.08,61.07
69.61,69.23,71.40,67.75
69.46,70.27,70.82,68.80
71.26,73.89,74.44,70.86
75.10,75.30,77.80,73.23
76.55,75.00,76.65,73.50
70.66,70.08,72.25,69.60
68.20,65.43,68.78,64.10
66.59,65.69,67.65,64.75
66.59,65.43,67.40,63.30
64.30,65.14,67.32,63.64
66.65,70.21,70.76,66.57
70.70,68.12,70.70,67.35
69.63,66.38,69.99,66.25
67.20,68.69,69.31,65.70
69.17,67.74,69.37,66.23
67.95,64.05,68.50,63.44
64.20,62.52,64.33,61.04
60.56,62.35,63.43,60.34
62.35,61.41,63.73,61.10
61.40,62.95,63.24,60.60
65.51,70.04,71.90,64.71
70.00,68.06,71.47,67.62
68.57,69.76,69.95,67.04
72.48,74.60,76.65,72.26
73.37,71.48,75.40,71.17
69.93,67.80,70.18,66.85
69.66,72.60,73.83,68.50
74.95,74.65,76.13,73.90
75.19,77.40,78.29,74.70
80.26,74.69,80.80,74.30
76.00,75.35,77.00,73.80
77.00,72.24,77.74,71.33
72.95,74.12,75.53,71.00
71.62,74.60,75.70,71.62
74.03,74.10,76.29,73.76
72.86,71.65,73.00,69.25
71.86,70.79,73.42,70.19
69.90,70.15,71.50,68.83
70.97,69.03,71.30,68.65
69.84,65.78,70.31,65.70
66.18,68.64,70.75,64.21
68.32,66.71,69.56,65.56
66.01,65.75,66.66,65.00
66.53,65.00,68.18,64.80
62.39,63.66,65.47,61.85
65.12,63.60,66.18,63.45
63.00,61.41,63.10,60.82
61.88,61.81,63.28,61.64
60.75,61.30,62.79,60.52
62.31,59.99,62.65,59.50
61.30,61.33,62.25,60.59
61.95,65.23,65.79,61.20
64.79,64.00,65.36,63.08
65.00,61.56,65.00,61.20
62.16,60.96,62.65,60.94
61.48,59.13,61.88,57.68
59.60,59.00,60.73,58.35
59.55,58.25,60.35,58.04
57.90,56.64,57.97,55.33
56.14,56.82,57.90,55.66
56.40,56.99,57.46,56.01
56.83,59.02,59.40,56.80
59.45,59.22,60.04,58.37
57.00,58.51,59.60,57.00
58.49,59.80,61.41,58.13
59.58,59.82,60.77,58.94
60.00,57.99,60.34,57.20
58.00,56.90,58.30,56.58
56.77,56.08,57.55,56.00
55.90,55.08,56.12,53.00
54.44,55.41,56.30,54.07
56.31,54.75,56.39,54.13
54.25,53.71,55.00,53.58
53.14,52.25,53.21,51.66
52.62,51.68,53.20,51.41
57.44,57.41,59.96,56.61
57.50,54.35,58.05,54.18
54.43,53.11,54.88,52.08
52.81,54.74,55.30,51.80
54.90,52.92,54.91,52.45
52.53,54.72,54.76,51.60
54.77,53.37,55.40,52.90
53.42,53.31,54.26,52.91
53.79,56.20,56.98,53.79
55.23,54.29,55.47,54.03
54.39,53.27,54.39,52.68
51.60,50.98,52.54,50.50
51.53,51.39,52.35,50.22
51.20,52.60,52.77,51.20
53.43,54.58,55.20,53.25
56.00,55.20,56.84,54.22
54.13,53.74,54.51,53.09
54.79,52.05,54.90,51.79
52.15,52.40,52.78,51.20
51.81,51.71,53.00,51.33
52.00,52.01,53.00,51.01
53.34,52.89,53.38,52.10
52.80,54.98,55.20,52.29
55.07,57.05,57.19,54.99
57.00,56.14,57.10,55.25
55.90,54.17,55.90,53.89
54.39,54.81,55.16,54.08
54.30,52.36,54.37,51.99
52.54,51.11,53.03,50.75
51.76,51.48,52.70,51.07
51.20,50.30,51.44,49.63
51.77,51.81,52.31,51.34
51.51,50.07,51.55,49.51
50.34,50.49,50.98,50.23
50.02,51.21,52.00,50.02
50.62,51.19,51.31,50.30
50.60,50.23,50.87,49.33
50.50,47.86,51.13,47.21
48.70,48.01,49.09,47.32
47.84,49.92,50.69,46.50
50.09,49.42,50.75,48.96
49.04,47.85,49.42,47.65
47.15,44.36,47.18,43.12
44.65,45.27,45.62,44.50
45.93,46.59,47.25,45.30
46.48,45.13,46.69,44.92
43.99,44.56,44.98,43.37
45.80,45.50,46.40,44.73
45.46,45.48,45.79,45.00
46.00,46.20,46.70,45.83
45.90,48.45,48.93,45.62
48.01,48.32,49.64,47.20
47.87,45.41,48.39,44.82
45.54,45.29,45.86,44.50
44.62,44.52,46.18,44.17
45.65,44.55,45.68,44.40
45.60,49.38,49.98,45.40
49.71,50.98,51.92,49.36
50.38,49.62,50.66,48.70
50.00,52.51,53.02,49.82
52.00,52.04,53.15,51.10
52.09,51.77,52.95,50.30
52.51,51.59,52.51,50.80
51.22,50.90,51.62,50.19
55.19,56.19,58.20,54.62
57.56,56.66,57.59,55.60
56.89,55.69,56.89,54.59
55.69,55.35,56.15,54.60
54.63,56.63,57.08,54.08
56.32,56.09,56.75,55.31
55.78,56.21,56.80,55.35
56.56,55.68,56.65,55.50
55.55,56.06,56.44,55.34
56.04,57.52,57.95,55.93
57.09,56.50,57.38,56.13
56.72,56.10,57.10,55.15
56.28,59.93,60.02,56.28
59.32,59.36,59.89,58.40
59.43,61.93,62.64,58.73
62.39,63.61,64.52,62.21
62.86,62.08,62.99,61.73
61.96,63.60,64.25,61.95
63.70,64.38,64.98,63.11
64.00,66.90,67.30,64.00
67.68,67.63,70.00,67.31
67.62,65.79,67.83,65.10
65.99,66.28,67.80,65.50
66.47,67.55,67.79,66.02
66.41,66.71,67.17,65.35
67.10,66.37,67.48,65.92
65.79,67.04,67.40,65.50
67.10,65.57,67.60,65.34
65.00,63.64,65.09,62.78
64.55,65.75,66.30,63.79
65.41,64.68,66.47,64.24
64.85,63.75,65.14,63.24
63.91,62.94,64.33,62.18
63.27,63.10,63.74,62.52
63.13,62.47,63.44,61.85
62.51,61.53,63.31,60.70
61.49,61.13,62.32,60.35
60.84,60.36,61.78,59.40
60.18,61.83,61.98,59.93
62.34,61.53,63.36,60.73
61.68,60.64,62.61,60.45
60.93,59.29,61.10,59.16
59.70,59.20,60.00,57.62
59.54,58.54,59.56,58.38
58.10,58.29,60.08,57.62
58.06,56.14,58.45,55.98
56.15,56.13,57.03,56.00
55.89,56.03,57.10,55.35
57.47,56.37,57.81,56.06
56.91,56.72,57.97,56.40
56.40,56.10,57.37,54.92
55.21,54.63,55.50,53.98
55.00,55.00,55.97,54.71
54.70,53.05,55.10,52.59
54.50,57.30,58.58,54.22
58.15,56.69,58.20,56.15
55.60,54.59,57.25,54.13
54.69,53.87,54.97,53.84
53.50,53.42,54.60,53.07
53.86,54.09,55.00,53.40
53.55,53.90,54.08,52.22
54.73,52.43,54.89,52.15
52.29,53.10,53.85,50.99
48.60,45.07,48.60,44.66
48.94,48.59,50.80,48.26
49.40,47.00,49.46,46.08
47.00,47.30,47.77,46.03
47.59,47.08,47.65,46.21
46.99,47.19,47.90,46.53
47.21,47.31,47.80,46.80
46.92,46.77,47.75,46.32
47.00,46.40,47.25,46.16
46.40,45.52,46.42,45.30
45.68,45.45,45.90,45.02
45.18,42.09,45.26,41.70
42.60,41.49,43.14,41.25
41.60,41.99,42.69,41.60
42.32,41.92,42.74,41.61
42.29,41.36,42.44,41.14
41.78,43.17,43.87,41.73
43.83,44.86,45.64,43.64
44.80,44.53,45.70,44.30
45.16,45.33,46.70,45.02
47.04,48.65,48.75,47.00
49.09,48.64,49.65,47.88
49.20,48.96,51.75,48.88
49.85,48.76,49.88,47.51
47.28,48.09,48.29,47.10
47.82,47.31,48.06,46.07
46.20,48.03,48.43,46.00
48.18,47.30,48.25,46.63
47.01,48.35,49.44,46.76
48.37,50.22,50.80,48.37
52.24,52.27,55.19,51.75
52.34,52.77,53.61,51.54
52.70,52.76,52.94,51.70
51.81,52.57,52.67,51.40
52.20,51.81,53.00,51.41
51.76,51.54,52.43,50.61
52.15,54.22,54.54,51.60
53.73,54.97,56.14,53.70
55.50,55.00,56.05,54.00
54.74,55.51,55.75,53.92
55.51,54.34,56.00,54.00
54.53,53.83,55.28,53.03
54.59,55.63,56.00,54.48
55.50,55.98,56.91,55.00
56.38,57.60,57.70,56.10
57.11,56.66,58.77,56.07
56.93,56.59,57.23,55.62
57.16,56.18,57.48,55.98
56.17,55.76,56.38,54.64
55.73,55.90,56.67,55.30
55.50,54.93,56.09,54.70
55.37,56.52,56.59,54.69
55.93,53.64,56.10,53.49
53.00,53.09,53.83,51.91
53.21,54.44,54.89,53.10
54.56,53.23,54.64,52.75
53.38,53.72,54.17,52.93
53.75,53.20,53.88,53.10
52.82,52.53,53.55,52.33
52.62,53.36,53.87,52.31
53.20,55.66,55.92,53.20
55.79,56.00,57.55,55.73
56.15,53.48,56.40,53.43
57.45,56.35,59.60,56.23
55.26,54.80,56.74,54.29
55.00,55.05,55.48,52.92
55.21,52.26,55.63,52.10
52.62,51.35,52.89,49.65
51.23,51.58,51.97,50.59
51.83,51.64,52.96,51.40
50.84,51.00,51.44,50.20
51.18,49.79,51.20,48.83
50.17,50.47,50.94,48.13
49.44,48.55,49.44,48.06
49.01,48.81,49.50,48.20
49.60,49.69,50.19,49.22
49.06,49.80,50.04,48.07
49.35,48.41,49.78,48.25
48.30,48.47,49.10,47.75
48.73,48.63,49.08,48.16
48.70,48.27,49.08,48.04
47.55,48.13,48.82,47.25
48.05,47.51,48.44,46.72
47.95,49.60,49.99,47.67
49.02,49.11,49.80,48.65
49.11,50.04,50.92,49.11
50.05,49.53,50.44,49.23
49.74,48.43,49.80,48.00
48.15,48.94,49.58,47.82
48.45,48.59,48.93,47.91
48.36,48.18,49.00,47.92
48.23,50.02,50.65,47.39
50.24,50.27,51.57,50.03
50.19,49.08,50.61,48.50
48.69,47.58,48.79,46.54
47.58,47.56,48.30,47.09
47.87,48.77,49.26,47.60
48.75,48.52,50.00,48.50
48.56,48.60,49.32,48.32
48.52,49.83,49.99,48.11
49.12,47.48,49.50,47.10
48.12,47.35,48.50,45.68
47.20,46.94,47.99,46.51
46.95,46.54,47.29,46.06
47.15,46.26,47.15,46.18
46.26,46.30,46.98,45.54
45.88,47.92,48.44,45.82
47.82,48.72,48.91,47.37
49.30,49.86,50.46,48.74
49.20,50.30,51.22,48.41
59.58,55.03,60.81,54.77
55.51,56.32,57.05,55.17
55.99,56.23,56.91,55.53
56.12,56.96,57.32,55.73
57.34,56.23,57.34,56.09
56.29,57.68,58.27,56.29
58.00,56.42,58.00,56.06
56.91,57.86,57.96,56.58
57.59,57.54,58.25,57.00
59.00,59.14,59.74,58.60
58.98,58.69,59.12,58.43
58.55,59.12,59.50,57.81
58.82,59.50,60.35,58.75
59.77,58.81,59.77,58.70
59.50,59.57,61.74,58.70
59.64,61.57,61.75,59.60
61.65,60.72,61.65,60.10
60.67,58.41,60.91,57.98
56.76,57.31,57.80,56.03
57.00,58.15,58.56,56.89
59.00,58.67,59.32,58.47
58.32,58.03,58.46,57.32
58.00,58.21,58.43,57.48
57.80,57.70,58.58,57.32
57.93,57.12,58.24,56.34
56.99,56.37,57.13,55.93
56.09,57.05,57.50,56.02
56.80,58.28,58.47,56.65
58.16,60.03,60.55,58.16
59.79,59.75,60.60,59.00
58.41,57.68,59.23,57.65
58.16,55.85,58.60,55.47
55.51,56.91,57.12,55.16
56.80,56.74,57.38,56.26
57.62,58.94,59.20,56.85
59.10,58.88,59.89,58.86
58.45,56.89,58.70,56.79
