SPG,Simon Property Group,NASDAQ
107.06,106.65,107.76,105.88
107.14,105.95,107.50,105.26
106.34,107.23,107.90,106.14
106.88,106.52,107.78,106.04
105.58,105.39,106.32,105.19
105.46,106.86,107.03,105.00
106.07,105.63,106.73,105.36
102.66,104.88,105.85,102.66
104.61,102.91,104.82,102.18
104.39,103.24,104.59,102.31
104.58,103.88,105.06,103.49
105.19,105.30,106.11,104.75
105.16,104.91,105.46,104.32
104.66,102.88,104.70,102.67
103.37,103.68,104.05,102.36
103.74,104.64,105.03,103.41
104.76,105.14,105.72,104.70
105.22,105.93,106.05,103.84
106.32,106.68,106.81,105.77
106.23,107.16,107.77,106.23
107.51,107.11,108.04,106.63
107.32,106.95,107.88,106.68
106.75,107.15,107.85,106.56
107.41,107.32,107.47,106.63
106.88,106.37,107.13,104.57
107.01,105.65,107.21,105.17
105.65,105.75,106.57,105.14
105.27,104.76,105.82,104.54
105.00,105.05,105.60,104.77
104.68,107.45,107.77,104.42
107.60,108.73,109.16,107.37
108.18,108.05,108.36,107.33
108.07,108.37,108.78,107.52
109.64,109.62,109.64,108.14
110.00,110.47,110.63,109.01
110.48,111.73,112.36,109.78
112.05,112.02,112.60,111.15
112.46,113.46,113.74,111.85
113.41,114.95,115.74,113.41
115.10,114.54,115.84,113.02
115.10,115.66,116.03,114.30
116.00,116.07,117.21,114.42
115.83,115.59,116.40,115.12
114.97,115.24,116.10,114.50
116.46,114.91,116.46,114.35
115.04,115.75,116.21,114.59
116.13,117.40,117.46,115.87
117.03,116.70,117.47,116.59
116.12,116.95,117.01,115.41
116.67,115.27,116.69,115.23
115.28,115.84,116.76,114.95
115.57,115.56,115.72,114.64
115.54,116.65,116.69,114.75
117.13,116.24,117.24,115.56
116.03,114.39,116.33,114.39
113.13,113.00,113.84,112.66
113.22,113.98,114.77,113.09
113.76,114.47,114.99,113.03
114.04,115.69,116.08,113.48
116.06,116.25,116.50,115.28
117.21,118.06,118.10,116.60
117.98,115.21,117.98,114.89
115.19,114.43,116.26,114.42
113.08,115.33,116.11,113.08
115.18,113.90,115.55,113.90
114.35,114.99,116.36,113.94
114.57,114.87,115.78,114.47
115.19,113.59,115.41,113.16
113.05,110.89,113.54,110.73
110.99,111.63,112.39,110.10
112.95,113.39,113.52,112.01
112.49,111.38,112.79,110.31
111.11,112.54,112.92,110.85
113.64,114.00,114.22,112.84
113.46,115.06,115.41,113.30
115.74,114.96,115.87,114.20
114.46,114.22,115.60,114.14
112.73,111.98,112.82,110.29
111.98,112.44,113.01,111.47
112.83,113.76,113.98,112.37
114.10,114.04,114.33,113.10
114.58,115.74,115.95,114.05
115.86,116.23,116.58,114.91
115.98,118.57,118.68,115.89
118.55,119.24,119.49,117.90
118.75,120.23,120.39,118.36
121.08,121.58,121.70,120.38
120.30,121.17,121.36,119.54
119.86,119.16,120.21,118.90
118.60,119.25,120.88,118.60
119.61,118.18,120.10,118.16
118.68,117.52,119.00,117.17
117.89,118.79,118.83,117.08
118.58,117.86,118.65,116.75
118.33,120.23,120.41,118.05
120.99,120.50,120.99,119.79
121.28,121.27,121.94,120.62
121.40,121.85,122.07,120.65
120.30,120.47,121.15,119.82
120.76,122.39,123.48,120.27
121.83,119.21,122.29,119.04
119.48,120.64,121.76,118.34
119.61,120.51,120.66,118.11
121.82,119.74,122.67,118.66
118.89,115.79,119.58,115.78
115.72,115.41,115.97,112.29
114.01,110.90,114.53,110.67
112.31,108.84,112.34,106.88
105.78,99.74,107.35,99.60
101.22,111.08,111.23,99.97
107.98,107.89,113.05,106.82
108.19,114.53,116.58,107.96
115.20,114.26,117.00,113.28
114.73,116.03,116.11,113.98
114.02,117.25,117.81,113.13
118.06,117.58,118.88,116.64
114.19,112.71,115.07,111.37
111.57,110.26,113.81,110.00
112.65,110.47,112.65,109.26
110.60,113.66,113.70,110.00
113.28,115.45,115.95,112.35
116.17,113.34,117.71,112.05
112.79,115.16,115.39,109.98
116.67,117.22,117.34,115.01
116.79,116.33,117.34,114.79
116.97,117.50,117.97,115.63
117.87,117.46,118.94,116.78
114.77,114.59,116.49,114.28
111.55,116.14,116.96,111.14
118.20,119.38,119.48,116.19
118.82,118.71,119.99,117.64
117.16,115.84,118.17,114.25
114.06,116.06,116.16,113.25
116.31,116.35,116.61,114.30
117.04,116.50,117.31,114.42
117.38,119.08,119.12,116.64
119.33,120.70,120.76,117.53
118.65,118.83,120.04,117.97
119.41,119.58,121.18,118.41
119.91,112.50,120.17,112.00
110.05,110.82,112.80,109.28
109.80,112.71,113.43,109.01
113.03,113.50,113.67,111.17
115.33,113.60,116.24,112.85
113.86,111.27,114.59,111.07
113.28,112.58,113.50,110.99
111.19,109.98,113.40,109.94
109.06,106.50,112.20,106.49
105.09,110.79,111.10,103.32
110.34,109.40,110.57,106.14
109.23,112.56,112.72,107.33
113.14,109.50,113.45,109.38
111.80,114.60,114.68,111.50
113.74,112.84,114.49,112.06
113.62,115.23,116.48,112.72
114.28,113.19,114.35,111.83
114.41,115.89,116.21,113.99
115.40,112.94,115.63,112.76
113.34,117.21,117.65,112.97
117.19,115.56,117.75,115.13
115.38,116.74,116.94,113.80
118.28,120.70,120.76,117.27
120.62,122.87,123.26,119.73
122.02,121.11,123.27,120.82
121.77,123.59,124.26,121.43
125.98,129.10,130.10,125.52
127.48,129.43,129.50,126.96
127.63,128.44,129.84,127.30
125.13,125.35,129.35,124.21
127.47,127.68,128.48,124.84
128.38,129.40,129.89,125.84
128.43,128.84,129.18,125.91
128.95,129.79,130.67,127.56
130.26,130.80,131.21,127.36
128.34,125.19,128.50,124.80
127.07,125.84,127.20,124.57
127.63,127.97,128.24,126.04
126.43,124.99,127.06,124.18
124.75,126.28,127.32,124.48
125.30,123.85,126.40,123.73
123.58,122.11,124.11,121.38
122.93,123.21,123.52,121.45
120.47,119.50,121.92,119.08
119.15,119.10,120.16,117.91
117.79,115.78,118.05,115.71
115.63,116.33,118.54,115.21
119.83,118.55,120.11,117.39
118.94,119.18,119.50,118.19
122.91,124.34,124.62,121.29
123.83,123.00,124.17,122.05
124.28,122.80,125.00,122.70
124.21,122.97,124.44,122.14
122.93,122.84,123.35,121.94
122.12,124.30,124.69,121.48
123.26,121.50,123.44,121.10
122.24,124.30,125.06,121.72
123.23,121.75,123.24,120.68
122.55,120.54,123.20,119.68
120.10,120.51,122.00,119.63
121.65,122.25,123.27,121.05
123.45,123.34,124.97,122.62
124.01,123.26,124.95,123.07
124.94,127.28,127.57,124.82
126.90,127.64,127.84,125.84
128.12,129.06,129.49,127.76
129.40,130.26,130.31,128.89
130.34,131.00,131.92,129.55
131.52,129.03,131.52,128.97
129.03,129.83,130.50,128.76
130.22,128.94,130.71,128.94
131.20,129.38,132.29,127.71
128.40,127.14,129.10,126.96
126.86,127.81,129.12,126.53
127.79,126.82,128.23,126.67
126.42,126.72,127.54,126.27
127.82,127.48,128.55,127.32
126.78,128.04,128.28,126.62
128.65,127.01,128.68,125.95
125.79,126.92,126.93,125.53
127.00,128.20,129.00,127.00
128.29,128.48,129.25,127.93
128.77,131.22,131.53,128.31
131.36,131.66,131.90,130.49
131.64,131.63,132.62,130.83
131.08,133.74,133.74,130.82
133.30,135.80,135.86,132.87
136.29,136.53,137.29,135.44
136.23,136.69,137.02,135.36
135.70,135.51,136.01,134.60
135.94,135.86,136.24,134.71
136.81,136.50,137.39,135.58
136.54,137.45,137.72,135.65
138.95,138.73,139.63,136.88
138.45,137.52,138.52,136.60
137.22,137.48,137.89,136.83
137.31,137.64,138.14,136.17
137.56,137.90,138.30,135.69
136.41,136.76,137.46,135.72
137.38,136.88,137.46,136.12
136.46,135.78,136.51,134.93
136.28,136.07,137.03,135.40
136.07,137.93,138.20,135.95
138.19,137.76,138.48,136.85
138.10,135.81,138.30,134.80
135.57,134.90,136.26,134.42
135.00,135.77,135.79,134.34
136.20,136.66,137.34,135.03
135.42,136.82,137.26,134.72
137.05,136.30,137.60,135.80
136.67,135.48,137.75,135.20
135.78,136.40,136.55,135.20
136.60,137.25,137.53,136.38
137.27,138.41,138.46,136.51
137.34,136.74,138.19,136.62
137.72,138.22,138.33,136.09
137.74,138.24,138.31,135.23
137.05,136.45,137.24,136.39
136.93,139.15,139.96,136.44
140.43,140.95,141.64,139.32
141.11,141.12,141.89,140.00
141.53,141.20,141.89,140.61
141.49,141.90,142.13,140.95
141.65,143.58,144.00,141.33
142.71,143.50,144.01,142.42
143.63,144.22,144.89,143.13
143.27,142.77,143.27,141.69
143.19,143.62,144.37,142.30
144.89,144.54,145.10,143.48
144.82,144.62,146.02,144.02
143.99,144.28,145.13,142.32
143.70,144.73,144.91,142.82
145.65,145.68,146.34,144.48
145.84,146.94,147.08,145.35
146.48,146.60,147.14,145.81
145.30,145.66,146.41,144.37
145.40,145.79,146.41,144.72
143.98,144.65,145.57,143.04
144.79,141.73,145.81,141.56
143.04,143.36,143.68,142.17
143.52,145.73,145.73,142.22
145.25,144.74,145.87,144.50
145.50,148.64,148.64,145.05
149.11,149.52,150.07,147.65
148.81,149.02,149.85,148.51
149.24,148.06,149.43,147.29
148.11,150.11,150.78,148.11
148.92,148.62,149.47,147.10
148.93,150.87,150.93,148.65
152.17,152.68,152.70,151.04
152.64,152.19,152.93,151.55
154.21,155.33,155.92,153.54
155.44,155.60,155.74,153.92
155.60,157.58,158.60,155.30
157.08,156.99,157.67,155.58
157.04,155.51,157.48,155.46
155.01,154.19,155.46,153.55
153.38,155.07,155.62,153.15
154.24,155.41,155.58,153.88
154.06,154.72,156.43,153.88
156.07,154.93,156.07,154.31
154.55,156.08,156.40,153.80
155.02,154.46,157.00,154.46
153.98,153.27,154.22,152.27
154.20,150.34,154.27,150.02
150.10,146.30,150.53,146.30
146.69,144.34,147.70,143.93
144.73,147.47,147.70,144.72
147.79,147.78,148.90,147.00
147.08,147.91,148.06,144.97
148.30,149.03,149.25,146.93
148.87,148.12,149.78,147.58
148.59,150.16,150.33,148.40
149.07,146.18,149.07,146.14
146.18,147.52,148.91,144.63
144.63,143.51,146.42,143.20
143.81,143.33,144.21,142.08
142.92,146.16,146.67,142.21
147.73,149.12,149.15,146.02
148.46,148.79,150.67,148.35
148.74,150.61,150.61,148.47
151.63,147.72,151.67,147.49
146.87,149.03,149.03,146.43
148.29,147.32,149.40,146.78
147.68,148.25,149.00,147.16
149.23,149.15,149.49,147.43
148.72,149.31,150.44,148.11
149.87,151.25,151.88,149.39
151.46,152.28,152.79,150.92
152.87,149.51,152.95,149.18
150.63,150.18,150.80,148.88
149.35,149.92,150.54,148.49
149.87,150.47,151.59,149.76
150.64,150.99,151.50,149.86
150.26,151.70,151.94,149.49
154.74,155.66,155.72,153.64
156.66,158.08,158.08,155.68
158.18,158.51,159.34,157.79
158.09,156.84,158.32,156.36
155.53,157.40,157.79,155.40
157.05,158.56,158.81,156.85
158.98,156.74,159.64,156.00
156.82,157.10,157.36,155.59
156.28,156.92,157.86,155.36
156.89,158.56,158.69,156.66
159.71,158.52,159.71,158.26
159.45,159.84,160.47,157.62
159.27,159.26,160.30,158.70
159.21,158.13,159.76,157.08
156.82,156.97,158.38,156.32
155.33,155.94,156.62,154.71
156.25,157.60,160.74,156.03
158.94,156.34,160.27,155.89
158.41,159.00,160.00,158.04
159.66,160.48,162.46,159.65
160.48,161.09,161.69,160.01
161.50,160.49,161.50,159.89
161.49,161.18,162.67,161.03
160.31,161.41,161.55,158.80
163.68,163.03,163.68,161.73
163.51,161.78,163.75,161.63
162.29,159.39,162.30,159.02
158.86,158.48,159.22,157.74
158.48,157.05,158.87,156.63
156.64,157.70,158.05,156.64
157.49,157.17,157.82,156.72
157.20,157.55,158.15,157.20
156.98,157.72,158.27,156.78
157.39,159.71,160.33,156.53
159.60,159.85,160.01,159.40
159.95,159.07,160.08,157.87
159.15,158.51,159.74,158.46
158.50,158.70,159.20,157.13
158.63,156.46,159.12,156.37
156.18,157.12,157.40,156.04
157.38,158.73,159.18,157.14
158.16,158.59,158.82,157.45
158.80,157.81,158.92,157.53
157.36,157.41,157.75,156.79
157.81,158.70,158.79,156.50
158.70,158.75,159.01,157.24
159.02,157.95,159.22,157.01
158.53,158.85,159.69,158.45
159.28,159.05,159.64,158.65
159.61,156.21,159.61,156.02
156.42,157.74,157.85,155.61
157.91,158.59,158.87,157.07
158.27,161.66,161.95,158.19
161.92,162.70,163.75,161.66
162.80,163.53,164.17,162.76
163.09,161.70,163.47,161.26
161.68,160.67,162.05,160.67
156.00,155.89,156.24,155.06
156.38,156.19,156.85,155.55
156.00,155.32,156.44,155.29
155.98,152.39,156.17,152.13
152.08,151.14,153.14,150.85
151.93,151.94,153.70,151.66
151.16,151.81,152.65,151.00
152.21,151.19,152.44,149.53
151.66,152.25,152.57,151.12
152.51,152.92,154.28,152.25
153.58,152.59,154.28,151.78
153.24,152.71,153.74,151.71
152.68,152.87,153.01,151.49
153.19,152.24,154.19,152.21
152.20,153.04,153.38,152.13
153.74,153.05,154.29,153.00
153.07,152.39,153.30,152.19
152.67,153.12,153.49,151.64
154.25,153.98,154.65,153.42
153.26,152.85,153.45,152.01
152.80,154.80,154.96,152.24
154.29,153.54,156.36,153.34
152.26,152.94,154.20,151.22
151.05,151.02,151.85,149.82
151.04,151.17,151.91,150.35
151.90,151.46,153.96,149.78
151.47,150.30,151.75,149.70
151.64,152.21,152.60,150.41
152.16,152.55,153.33,150.85
154.45,155.75,156.43,154.45
154.42,154.73,155.66,153.52
155.00,155.49,155.88,154.39
154.77,155.70,156.05,154.09
155.36,154.16,156.07,154.16
153.03,152.00,153.93,151.76
152.31,152.13,152.84,151.10
151.44,151.81,152.96,151.43
151.57,148.15,151.72,147.55
148.29,146.73,149.52,146.07
146.70,146.92,147.18,145.21
148.36,148.95,149.18,147.58
149.18,150.38,150.39,147.94
150.49,150.21,150.80,149.29
150.78,151.62,151.85,150.47
150.83,152.15,153.00,150.83
151.47,151.02,151.92,149.24
150.74,150.24,151.11,149.69
150.71,151.25,151.75,149.64
151.74,152.13,153.11,151.14
152.57,152.83,154.00,152.32
152.51,152.55,154.00,151.97
152.84,152.27,152.84,151.13
153.28,154.41,154.75,153.26
155.00,155.65,155.78,154.40
155.71,156.04,156.52,155.02
158.97,156.72,159.59,155.71
156.58,156.40,157.23,155.41
154.19,153.99,155.20,153.41
154.28,154.05,154.98,153.56
155.61,155.47,156.42,154.47
155.58,156.83,157.02,155.16
156.82,156.39,157.12,156.01
156.40,158.07,158.35,156.12
156.73,157.80,158.43,156.20
157.83,157.94,160.70,156.92
158.24,156.96,158.54,156.64
156.89,157.93,158.26,156.08
156.82,156.02,158.18,155.98
155.73,158.09,158.11,155.49
160.19,159.80,160.73,158.46
160.16,158.52,160.52,158.02
158.65,158.59,159.21,157.80
158.12,159.72,159.89,158.07
159.80,159.14,159.88,158.36
159.52,159.92,160.09,159.12
160.12,159.90,160.65,158.99
159.90,159.98,160.27,159.42
159.97,159.44,159.97,159.00
158.99,160.19,160.45,158.81
159.55,159.72,160.30,159.13
160.49,159.90,160.49,159.56
159.71,159.89,160.03,158.83
159.87,160.95,161.20,159.63
160.59,161.50,161.80,160.12
161.89,162.16,162.47,161.23
162.47,162.35,162.83,161.52
163.69,162.71,163.69,161.72
162.44,162.79,163.05,162.02
162.36,161.38,162.82,160.75
161.22,160.18,161.32,160.16
161.30,161.97,163.02,160.47
161.20,162.51,163.45,161.20
163.54,161.76,164.32,161.51
160.86,161.70,162.40,160.77
161.90,160.79,162.04,160.79
161.06,162.76,162.81,160.79
162.85,163.50,163.51,162.49
162.43,162.97,163.41,161.21
163.15,162.05,163.33,161.53
161.70,160.57,161.88,160.35
159.84,159.90,160.45,158.72
159.86,160.50,160.60,159.84
160.12,159.52,161.24,159.41
159.05,158.02,159.29,157.36
158.34,159.72,159.86,158.28
160.66,157.37,160.73,157.31
157.82,157.88,159.15,156.70
157.90,159.20,159.53,157.36
159.40,158.86,159.96,158.63
158.58,159.99,160.15,157.93
159.87,161.46,162.31,159.52
162.05,162.61,162.95,161.04
163.42,161.92,163.42,161.46
162.06,160.08,162.40,159.73
160.33,160.00,160.34,158.02
159.99,161.00,161.03,159.33
160.72,159.52,160.92,159.29
159.89,159.30,160.40,158.97
159.24,159.88,160.47,159.11
159.21,159.60,159.81,158.66
158.48,158.73,159.34,157.67
158.70,157.10,158.85,156.08
157.95,158.47,158.47,157.50
158.00,158.06,159.08,157.61
158.46,159.14,159.46,158.06
160.20,159.36,160.46,158.96
160.28,159.33,160.39,158.99
158.47,159.20,159.56,158.32
159.20,158.56,160.00,157.67
158.58,159.32,159.32,158.20
160.21,160.97,161.02,160.00
161.73,162.00,162.00,160.74
162.00,163.60,163.95,161.82
162.39,166.23,166.30,162.39
165.57,169.10,169.10,165.52
169.30,169.11,170.00,167.85
168.77,170.77,171.25,168.68
171.08,174.27,174.43,170.82
173.91,173.66,174.37,172.49
172.35,170.44,174.07,170.40
171.27,174.48,175.12,170.15
173.60,172.80,173.71,171.34
173.07,172.91,173.36,171.75
173.25,176.11,176.11,173.08
176.41,175.50,176.69,174.49
176.28,176.04,176.67,174.95
176.25,176.84,176.94,175.52
176.70,176.01,176.89,175.45
175.48,175.62,177.24,174.50
176.29,175.99,176.62,175.45
176.30,178.07,178.10,175.78
177.85,176.57,178.28,176.51
177.18,178.03,178.97,176.32
179.08,179.44,180.12,178.63
179.29,179.37,180.35,178.88
179.28,178.87,179.28,177.88
178.82,180.34,180.77,177.78
180.75,178.90,180.85,178.64
179.16,179.37,179.60,178.67
179.37,179.96,180.48,179.10
180.57,179.23,180.67,178.70
178.24,179.62,179.64,177.44
178.88,177.56,180.29,177.13
178.35,179.85,179.91,177.73
179.56,178.96,180.02,178.13
179.10,180.23,181.30,179.10
179.23,176.04,182.45,174.78
175.13,173.59,175.35,172.81
171.99,174.47,175.05,171.51
176.40,175.44,177.74,173.58
174.19,171.87,174.31,169.08
172.18,170.00,173.13,169.97
169.23,166.44,170.92,166.39
166.33,166.68,167.58,164.67
166.92,165.66,167.37,165.20
165.04,163.92,165.95,163.39
163.69,166.56,166.73,162.70
167.49,167.26,167.83,164.39
167.30,165.27,167.86,164.88
163.83,162.22,165.15,162.21
163.14,159.67,163.25,159.02
159.80,165.10,165.75,158.86
165.10,166.05,168.29,164.31
167.22,168.50,168.96,165.97
168.36,167.30,168.64,166.82
167.41,162.52,167.88,160.40
160.81,154.58,160.91,153.68
