IJJ,iShares S&P Mid-Cap 400 Value ETF,NASDAQ
73.66,73.17,74.06,72.73
73.75,73.93,74.09,73.51
74.00,74.14,74.29,73.44
75.02,75.63,75.69,74.93
75.74,76.17,76.35,75.57
76.04,76.09,76.18,75.61
76.23,75.10,76.28,74.81
75.10,75.75,75.75,74.76
75.05,75.58,75.77,74.96
75.09,74.47,75.42,74.32
74.75,74.59,75.34,74.59
74.06,73.19,74.15,72.79
73.24,73.45,73.62,73.07
74.19,74.52,74.91,74.19
74.30,74.68,74.78,73.97
74.37,74.99,75.07,74.15
74.19,74.10,74.30,73.80
74.57,75.49,75.56,74.57
75.09,75.06,75.33,74.81
74.49,74.88,75.01,73.92
74.12,74.21,74.61,73.94
75.34,75.79,75.81,75.34
75.82,77.02,77.02,75.82
76.81,77.42,77.53,76.63
77.22,77.43,77.57,77.12
78.07,77.41,78.24,77.39
77.53,77.45,77.92,77.24
77.92,77.76,77.92,77.39
77.97,78.52,78.64,77.91
78.84,78.41,78.84,78.41
78.59,78.47,78.93,78.28
78.31,77.99,79.02,77.97
78.06,78.74,78.76,77.98
78.82,78.82,79.07,78.48
79.01,79.01,79.17,78.72
79.32,79.73,79.77,79.22
79.90,80.19,80.41,79.83
79.86,79.64,79.92,79.56
79.37,79.73,79.79,79.12
79.88,79.69,80.03,79.49
79.98,79.93,80.02,79.79
79.97,79.98,80.20,79.91
79.82,79.46,80.03,79.46
80.05,80.52,80.94,79.95
80.80,79.70,80.80,79.14
79.56,80.24,80.31,79.50
80.45,80.07,80.49,79.95
80.15,79.87,80.62,79.17
79.48,80.24,80.47,78.99
80.54,80.63,80.84,80.32
81.28,81.26,81.39,80.98
81.21,81.13,81.44,80.98
81.12,81.76,81.81,80.94
81.66,82.56,82.56,81.57
82.50,81.32,82.65,81.17
81.14,80.99,81.52,80.56
81.53,80.70,81.53,80.64
80.74,81.45,81.60,80.74
81.04,81.67,81.67,80.92
81.99,82.30,82.68,81.70
82.25,82.54,82.70,82.13
82.57,80.97,82.65,80.94
81.34,81.52,82.08,81.20
82.10,82.83,83.03,82.10
82.59,82.60,83.09,82.58
82.58,82.81,82.94,81.96
82.75,83.05,83.10,82.63
83.32,83.80,84.05,83.29
83.85,84.19,84.19,83.61
83.97,83.87,84.23,83.67
83.49,84.16,84.26,83.49
83.94,84.89,84.91,83.85
84.90,85.16,85.19,84.84
84.89,84.99,85.22,84.86
85.31,85.78,85.89,85.31
85.59,86.28,86.41,85.59
86.49,86.28,86.52,86.03
85.63,84.33,85.86,84.25
84.39,83.26,84.65,82.70
83.22,83.02,83.69,82.30
83.43,84.69,84.69,83.39
85.17,84.92,85.40,84.60
85.20,83.48,85.23,83.34
83.40,83.83,84.34,83.35
84.74,85.60,85.77,84.63
85.70,84.86,85.78,84.38
85.32,83.82,85.39,83.38
84.12,85.03,85.31,83.66
84.93,84.92,85.25,84.39
83.96,83.13,84.02,82.93
82.58,83.58,83.84,82.58
82.99,83.11,83.41,82.45
81.15,82.48,82.97,80.68
82.29,81.62,82.88,81.22
82.88,82.26,82.90,82.00
83.26,82.82,83.26,82.61
83.87,84.50,84.63,83.80
84.62,83.97,84.71,83.88
83.89,83.75,84.02,83.08
84.23,84.45,84.61,83.41
84.46,84.77,85.36,84.17
85.01,84.45,85.17,84.39
84.31,85.05,85.11,83.95
85.51,85.79,85.98,85.32
85.69,86.20,86.35,85.69
86.75,86.98,87.13,86.60
87.22,87.09,87.35,86.85
87.06,87.32,87.74,86.90
87.86,87.51,87.99,87.16
87.73,87.05,87.84,86.89
87.49,86.32,87.62,85.94
86.44,85.54,86.52,85.34
85.09,84.62,85.38,84.48
85.07,84.72,85.23,84.29
84.11,84.76,84.85,83.98
84.85,85.51,85.62,84.72
84.51,84.11,84.51,83.42
84.35,84.45,84.58,83.96
85.72,85.71,85.92,85.45
86.04,86.16,86.20,85.71
86.16,86.05,86.20,85.66
86.38,87.07,87.26,86.31
87.25,87.52,87.53,86.80
87.42,87.60,87.95,87.31
87.74,87.86,87.96,87.38
88.08,87.49,88.25,87.37
87.28,86.78,87.53,86.29
86.78,85.92,86.84,85.62
85.45,85.54,86.33,85.15
86.45,85.77,86.76,85.38
85.71,86.50,86.66,85.66
86.68,87.33,87.50,86.68
87.15,86.19,87.15,85.86
85.80,86.66,86.95,85.45
86.75,85.72,86.84,85.49
85.29,85.13,86.11,85.06
84.65,84.61,84.99,84.12
84.59,85.77,85.84,84.50
86.19,85.97,86.32,85.37
85.84,85.36,85.87,85.01
84.23,84.00,84.39,83.90
84.26,83.70,84.46,83.50
83.41,84.22,84.45,83.39
83.98,84.79,84.93,83.84
85.07,85.39,85.59,85.07
86.20,86.43,86.43,85.66
86.29,84.20,86.37,84.10
84.28,83.96,84.59,83.62
82.76,82.84,83.65,82.68
82.69,81.76,82.84,81.73
82.33,82.05,82.62,82.03
81.79,81.43,82.03,81.36
81.57,81.71,82.00,81.21
81.26,80.55,81.43,80.34
80.66,80.43,81.00,80.04
81.17,81.83,82.14,81.17
81.14,80.56,81.55,80.29
80.52,80.70,81.25,79.97
81.43,80.91,81.47,80.74
80.75,81.52,81.79,80.74
81.98,82.82,82.95,81.90
82.55,82.53,83.29,82.45
81.24,81.91,81.99,80.49
82.01,81.31,82.34,81.21
81.30,81.61,81.89,81.07
81.94,82.72,82.75,81.80
83.12,83.46,83.61,82.64
83.62,84.00,84.28,83.53
84.22,85.38,85.47,83.99
85.50,85.21,85.55,84.90
85.12,85.60,85.74,84.83
86.30,86.44,86.59,86.14
85.50,85.77,85.80,85.17
84.80,84.03,84.94,83.84
83.70,83.82,84.51,83.70
84.11,83.98,84.97,83.89
84.27,82.91,84.58,82.76
83.28,83.43,83.44,82.81
83.14,82.24,83.23,81.80
82.86,83.65,83.70,82.86
83.91,83.86,84.02,83.48
84.24,84.78,85.05,84.08
84.71,84.61,84.78,84.19
83.65,84.05,84.67,83.58
83.85,83.42,84.04,83.29
82.97,81.28,82.97,81.21
81.26,80.75,81.97,80.66
79.93,80.64,81.04,79.34
81.44,80.09,81.66,79.42
79.68,77.71,80.19,77.67
77.79,77.68,77.81,75.82
76.71,73.25,76.75,73.25
73.91,72.23,74.22,70.72
70.16,66.31,70.81,66.26
67.78,70.32,70.32,65.59
68.84,67.57,70.14,67.57
67.98,71.16,72.05,67.81
71.66,71.25,72.18,70.84
71.76,73.52,73.54,71.76
72.72,72.55,73.38,72.06
73.20,72.45,73.59,71.97
70.50,68.82,70.50,68.19
67.92,67.53,69.61,67.49
69.24,67.50,69.33,67.12
67.63,69.86,69.86,67.16
69.74,71.13,71.25,69.49
71.72,69.67,72.06,69.29
69.18,71.19,71.48,68.51
72.20,74.10,74.12,72.19
73.71,74.26,74.72,73.09
74.61,74.62,75.70,74.00
74.81,73.31,75.31,73.19
71.79,70.92,72.27,70.68
68.86,70.43,70.62,68.76
71.54,73.10,73.15,71.42
72.59,72.05,73.32,71.82
71.40,69.97,71.65,69.53
69.00,70.31,70.31,68.68
70.62,71.19,71.43,70.10
71.68,72.38,73.23,70.46
73.20,73.40,73.50,72.25
73.62,73.22,73.94,72.78
71.80,72.02,72.57,71.15
72.34,71.14,73.05,71.14
71.18,68.38,71.24,68.38
66.45,66.08,67.25,65.12
65.67,66.78,66.99,65.64
67.02,67.79,67.87,65.64
69.20,68.97,70.47,68.61
69.21,66.70,69.33,66.66
68.00,67.85,68.40,66.36
66.80,66.01,67.45,66.01
65.74,63.09,66.53,63.09
62.53,65.72,65.77,62.00
65.93,67.15,67.46,65.13
66.89,68.86,68.88,66.62
69.22,67.58,69.24,67.32
68.75,70.10,70.11,68.75
69.62,70.00,70.44,69.38
70.53,71.08,71.86,70.52
70.55,70.97,71.25,69.76
71.77,72.24,72.36,71.25
71.80,70.04,71.81,70.02
70.18,72.22,72.71,69.49
71.92,71.27,72.54,71.11
71.32,71.74,71.85,70.22
72.46,73.43,73.51,72.42
73.55,75.33,75.48,73.55
74.84,73.48,74.84,73.37
74.57,74.56,74.95,72.94
76.82,77.77,78.38,76.26
77.41,77.35,77.82,76.96
76.41,75.37,76.74,75.36
72.92,72.89,74.19,72.28
73.97,74.61,74.94,73.60
75.36,76.37,76.56,74.40
75.51,76.38,76.55,75.15
76.34,76.33,76.65,74.89
76.76,77.17,77.27,75.45
75.31,73.94,75.45,73.80
74.91,74.61,75.03,73.95
75.58,76.25,76.65,75.43
75.75,75.29,76.00,74.91
75.05,76.01,76.38,74.69
75.36,74.93,76.50,74.92
74.90,73.69,75.07,73.36
73.96,73.81,74.19,73.43
72.61,72.27,72.62,71.55
72.15,71.85,72.49,71.43
71.07,69.80,71.07,69.72
69.23,69.57,70.45,69.23
72.00,71.90,72.39,71.32
72.01,72.09,72.54,71.68
74.48,75.74,75.77,74.38
75.60,75.19,76.13,75.17
76.12,75.39,76.48,75.29
76.66,76.26,77.08,75.82
76.26,76.25,76.65,75.76
75.70,76.24,76.50,74.95
75.68,74.05,75.68,73.97
74.30,75.83,76.05,74.30
75.08,74.52,75.08,73.88
75.11,73.38,75.41,72.97
73.03,72.40,73.20,72.33
73.20,73.15,73.43,72.60
73.65,73.84,74.72,73.51
74.34,72.46,74.59,72.32
73.84,75.19,75.27,73.78
74.85,75.57,75.78,74.39
75.38,76.02,76.31,75.34
76.22,76.45,76.47,76.04
76.20,76.57,76.95,76.11
76.68,75.25,76.71,75.21
75.50,76.31,76.41,75.43
76.29,75.98,76.61,75.97
77.53,77.03,78.14,76.84
76.61,76.92,77.17,76.33
76.54,77.45,77.57,75.58
77.24,77.38,77.85,76.71
77.86,77.78,77.90,77.13
78.54,78.71,78.86,78.46
78.47,79.02,79.10,78.39
79.13,79.09,79.21,78.22
78.48,78.49,78.56,77.77
79.20,78.46,79.35,78.33
78.47,79.97,79.97,78.31
80.34,80.48,80.61,79.88
80.40,80.59,80.67,80.19
80.70,80.59,81.27,80.08
80.11,80.83,80.89,79.77
80.89,81.75,81.86,80.37
82.21,81.18,82.38,80.81
80.89,81.62,81.78,80.81
80.96,81.13,81.38,80.32
81.63,80.79,81.72,80.45
81.39,82.52,82.64,81.39
82.59,82.55,82.97,82.33
83.63,83.95,84.14,83.47
83.63,83.72,83.83,83.35
83.49,83.79,83.95,83.27
83.97,83.97,84.35,83.43
84.20,84.04,84.22,83.29
83.25,83.14,83.50,82.84
84.07,83.87,84.20,83.25
83.55,83.53,83.67,82.99
83.96,83.38,84.23,83.12
83.39,84.80,84.87,83.39
85.17,84.87,85.17,84.81
85.20,84.59,85.31,84.29
84.49,84.06,84.82,83.89
84.08,84.89,84.91,83.63
85.01,84.74,85.22,84.63
84.16,84.74,85.12,83.60
84.77,84.48,85.05,84.11
84.61,83.98,85.09,83.78
84.38,84.64,85.10,84.38
84.49,83.90,84.78,83.59
83.68,83.61,83.80,83.19
82.88,81.92,82.88,81.75
82.26,82.83,82.88,82.04
83.41,83.81,83.95,82.83
83.94,84.77,85.15,83.87
84.77,84.39,84.85,84.15
84.87,86.20,86.20,84.78
86.18,85.60,86.36,85.38
85.61,86.61,86.63,85.42
86.56,86.50,86.73,86.34
86.35,86.72,87.24,86.26
86.15,86.10,86.32,85.68
86.18,85.79,86.28,85.61
85.10,84.80,85.20,84.24
84.71,85.39,85.48,84.15
85.88,86.31,86.31,85.77
86.27,85.96,86.51,85.93
85.89,85.61,86.09,84.80
85.03,85.51,85.72,84.55
86.09,85.41,86.09,85.18
85.31,85.80,86.30,84.97
85.58,85.92,86.09,85.19
85.03,84.87,85.29,84.38
84.59,84.26,84.91,84.16
83.02,83.19,83.36,82.79
83.02,81.25,83.23,81.18
82.08,82.18,82.43,81.90
82.20,83.81,83.94,82.20
83.58,82.49,83.62,82.45
83.02,82.71,83.24,82.12
83.36,84.09,84.55,83.35
83.65,83.59,83.91,83.34
83.60,83.36,84.39,82.89
83.83,83.67,84.27,83.67
82.56,82.83,82.85,81.93
82.91,83.30,83.61,82.70
84.23,84.69,84.84,84.02
84.50,85.31,85.52,84.36
85.69,85.82,85.93,84.95
85.84,85.05,85.86,84.95
85.15,85.37,86.41,84.96
84.85,85.46,85.64,84.54
85.47,84.11,85.51,83.96
83.72,82.85,83.83,82.55
82.61,83.19,83.36,82.61
82.60,83.05,83.15,81.70
82.08,82.70,83.10,81.64
83.35,82.82,83.41,82.56
82.15,82.76,83.51,82.11
81.94,81.90,82.51,81.55
81.83,81.38,82.24,81.14
81.69,80.58,82.12,80.53
80.59,78.59,80.66,78.58
78.75,77.66,79.05,77.55
77.82,79.34,79.36,77.56
79.56,79.42,80.11,78.98
78.63,79.86,80.01,78.21
80.01,80.27,80.27,79.20
80.25,80.09,80.46,79.89
80.63,81.15,81.31,80.40
80.42,79.55,80.42,79.40
79.54,79.42,79.83,78.40
78.30,77.00,78.30,76.98
77.10,76.34,77.27,75.65
75.98,77.32,77.42,75.98
77.98,79.23,79.25,77.98
80.25,78.96,80.57,78.93
78.86,79.69,79.75,78.33
80.49,78.14,80.58,78.03
78.44,79.01,79.07,77.97
78.79,78.03,79.23,77.82
78.15,78.68,78.97,77.95
78.89,79.38,79.63,78.71
79.10,79.95,80.04,78.77
80.10,80.62,80.95,79.92
80.61,80.54,81.09,80.13
80.62,78.38,80.75,78.38
78.87,78.95,79.15,78.41
78.00,77.41,78.00,77.07
77.62,77.94,78.23,77.14
78.20,78.96,79.12,78.03
78.45,79.41,79.41,78.15
81.21,81.62,81.62,80.83
82.04,82.16,82.21,81.42
82.28,83.12,83.16,82.23
83.08,83.14,83.40,82.53
82.21,82.31,82.48,81.93
82.01,81.94,82.20,81.59
82.42,81.06,82.67,80.76
81.16,80.94,81.40,80.51
80.45,80.57,80.90,79.62
80.95,81.79,81.90,80.93
81.59,81.44,81.71,80.94
81.86,81.81,81.97,80.68
81.67,82.40,82.69,81.67
82.60,82.14,82.73,81.93
81.66,81.24,81.82,81.21
79.85,80.20,80.46,79.40
80.29,79.16,80.36,78.66
79.39,79.01,79.50,78.73
80.26,80.17,80.56,79.52
80.54,81.71,82.10,80.28
81.92,81.82,82.35,81.55
81.70,81.42,82.03,81.35
81.69,80.67,81.74,80.64
80.10,79.98,80.56,79.41
81.63,81.56,81.90,81.09
81.77,81.98,82.35,81.69
82.43,82.68,83.16,82.42
82.40,82.88,82.98,82.25
82.76,83.13,83.38,82.76
82.77,83.10,83.15,82.52
82.95,82.90,83.11,82.23
83.21,82.75,83.47,82.55
82.63,83.20,83.21,82.63
83.22,83.90,84.05,83.11
84.05,84.31,84.37,83.92
84.16,84.11,84.34,83.74
84.42,84.21,84.98,84.00
84.08,83.94,84.33,83.53
83.79,83.23,83.92,83.02
83.03,83.45,83.64,82.83
83.86,83.39,83.86,83.25
83.23,83.67,83.84,83.21
83.77,83.84,84.00,83.39
83.44,83.29,83.53,82.86
83.85,83.71,83.99,83.02
83.81,84.51,84.67,83.01
84.53,84.36,84.68,84.15
84.90,86.09,86.25,84.90
86.26,86.48,86.81,86.14
86.32,86.19,86.67,86.16
86.16,86.40,86.68,86.08
86.66,86.95,86.95,86.39
86.99,87.95,88.21,86.51
88.35,89.03,89.30,88.35
88.87,88.00,88.88,87.91
87.73,87.44,87.78,87.29
87.68,87.70,87.90,87.44
87.30,87.21,87.32,86.69
87.69,87.23,87.89,87.19
86.84,86.99,87.32,86.76
87.02,85.14,87.02,85.09
85.16,84.56,85.35,84.25
84.90,85.35,85.55,84.61
85.04,85.01,85.33,84.61
85.41,84.70,85.44,84.19
84.92,84.96,85.13,84.59
85.19,85.05,85.49,84.61
85.38,85.96,85.96,85.11
86.36,86.10,86.78,85.92
85.66,85.81,86.05,85.54
85.74,84.97,85.89,84.92
85.05,84.59,85.05,84.43
85.16,85.04,85.55,85.01
85.04,84.26,85.04,84.07
84.48,85.00,85.03,84.11
85.42,85.85,85.87,85.30
85.97,86.76,86.93,85.91
86.60,86.83,87.04,86.48
86.53,85.64,86.53,85.35
85.54,85.46,85.75,84.93
84.50,84.82,85.00,83.84
85.10,84.46,85.16,84.36
84.97,84.74,85.24,84.00
84.77,84.36,84.96,83.79
84.23,84.59,84.63,83.82
84.78,86.54,86.73,84.43
86.95,85.32,86.95,85.28
85.29,85.72,85.88,84.99
86.08,86.65,86.83,86.06
85.79,84.61,85.79,84.19
84.46,83.48,84.86,83.48
83.13,83.64,84.25,83.00
83.83,83.45,83.89,83.33
83.04,83.20,83.85,82.83
83.39,82.99,83.39,81.47
81.50,81.15,81.95,80.71
81.14,81.78,81.81,80.63
82.61,83.38,83.38,82.61
83.24,83.73,83.81,83.09
83.80,84.13,84.15,83.61
84.51,85.04,85.05,84.48
84.91,85.02,85.12,84.56
84.95,84.84,85.34,84.78
84.55,85.42,85.44,83.85
85.87,85.97,86.08,85.55
86.13,86.14,86.20,85.82
86.55,85.91,86.69,85.72
85.89,86.00,86.34,85.60
86.36,86.33,86.58,85.59
86.19,86.48,86.55,86.11
86.71,86.69,86.87,86.37
86.65,87.19,87.25,86.63
87.61,87.65,87.82,87.35
87.91,87.50,88.11,87.40
87.52,87.05,87.78,86.77
86.85,86.84,87.16,86.79
87.19,87.81,87.85,87.19
88.03,89.15,89.17,87.92
88.64,88.39,88.82,88.39
88.58,89.12,89.12,88.40
87.83,88.41,88.41,87.66
88.32,88.24,88.32,87.95
88.46,87.63,88.47,87.63
87.76,87.58,87.87,86.69
87.33,86.85,87.54,86.85
86.89,88.14,88.28,86.61
90.19,90.47,91.51,89.62
90.42,90.71,91.17,90.24
90.98,91.38,91.46,90.71
91.14,91.07,91.22,90.91
91.02,90.71,91.15,90.52
90.98,91.10,91.18,90.86
91.51,91.41,91.57,91.01
91.41,91.35,91.51,91.00
91.31,91.52,91.61,91.20
91.13,92.08,92.13,91.12
91.97,91.84,91.97,91.61
92.20,92.61,92.81,92.13
92.67,93.00,93.06,92.51
93.09,93.85,93.85,93.01
93.90,93.73,93.97,93.64
93.79,94.15,94.40,93.73
94.54,94.78,94.78,94.19
94.98,94.82,94.98,94.27
94.85,94.87,94.93,94.59
94.91,94.51,94.98,94.33
94.44,94.70,94.91,94.36
95.26,95.45,95.61,94.94
95.00,94.52,95.26,94.37
94.87,95.14,95.36,94.78
94.93,95.72,95.72,94.88
95.79,95.71,95.95,95.16
95.89,96.33,96.33,95.89
96.34,96.20,96.35,95.92
96.24,96.69,96.78,96.24
96.92,97.21,97.23,96.82
96.96,97.53,97.63,96.96
97.56,97.44,97.67,97.25
97.58,98.28,98.29,97.58
98.37,96.71,98.37,96.65
96.58,95.81,96.58,95.41
96.39,96.66,96.70,96.22
97.11,94.73,97.16,94.73
95.00,95.24,95.36,94.38
95.22,96.44,96.72,95.22
96.37,96.19,96.99,96.19
95.73,95.85,96.09,94.81
95.57,96.02,96.06,95.21
96.51,97.25,97.38,96.51
97.52,97.46,97.65,97.21
97.50,97.91,97.97,97.50
98.48,98.82,98.85,97.97
98.69,99.07,99.07,98.52
99.01,99.07,99.24,98.70
99.23,99.38,99.49,98.85
99.63,100.24,100.24,99.50
100.06,100.29,100.38,99.89
99.51,99.86,100.27,99.28
100.01,99.69,100.17,98.98
100.33,100.42,100.55,99.89
99.79,99.66,100.41,99.39
100.02,99.95,100.10,99.73
99.88,99.50,100.29,99.05
99.95,100.11,100.16,99.51
99.60,100.38,100.40,99.23
100.77,100.89,100.98,100.20
100.85,99.92,100.98,99.60
100.48,99.47,100.49,99.17
99.68,97.98,99.80,97.74
98.15,98.45,98.49,97.83
97.59,98.37,98.40,97.00
98.46,99.19,99.19,98.08
99.32,99.19,99.60,98.79
99.45,100.42,100.46,99.45
100.38,100.82,101.12,100.24
100.51,100.34,100.66,99.91
99.89,97.08,99.90,96.92
97.93,98.60,98.61,97.45
97.88,96.94,97.88,96.26
97.12,96.49,97.27,96.16
96.93,97.39,97.57,96.21
97.37,97.55,97.85,96.25
98.03,98.61,98.64,97.83
98.74,99.15,99.27,98.72
99.43,99.44,99.85,99.17
99.51,99.02,99.64,98.67
99.24,99.82,100.03,99.24
99.98,100.87,100.87,99.68
100.46,98.94,100.66,98.93
99.29,99.89,100.02,99.18
100.95,101.14,101.64,100.62
101.23,101.53,101.63,101.06
101.61,102.45,102.46,101.60
102.24,102.90,102.91,102.17
103.01,102.51,103.07,102.40
102.68,103.05,103.06,102.41
102.80,102.78,103.05,102.54
102.86,103.87,103.87,102.86
103.70,104.41,104.55,103.52
104.22,103.97,104.74,103.74
104.27,104.90,104.93,104.27
104.76,105.12,105.45,104.76
105.29,105.38,105.58,105.00
105.51,103.61,106.18,103.25
102.43,103.45,103.58,102.32
103.13,103.08,103.20,102.33
104.41,103.84,104.82,103.40
103.38,103.23,103.50,102.35
103.48,103.91,104.18,103.45
103.50,103.09,104.42,103.09
103.19,102.91,103.46,102.05
103.01,102.27,103.48,101.71
102.06,100.95,102.06,100.93
101.04,102.03,102.06,100.75
102.67,102.99,103.12,102.02
103.33,103.16,103.47,102.54
102.19,101.98,102.81,101.49
102.63,101.00,102.73,100.82
100.87,102.86,103.00,100.81
102.68,102.45,103.32,102.24
103.16,103.02,103.53,102.59
103.18,103.83,104.05,103.10
