MAC,Macerich Company (The) Common Stock,NASDAQ
41.91,43.22,43.38,41.67
42.92,42.06,43.12,41.75
42.33,42.05,42.53,41.38
42.74,42.91,43.07,41.77
43.65,42.27,43.83,41.97
42.56,40.52,42.90,40.49
40.34,40.37,41.02,39.37
40.04,38.95,40.40,38.75
39.25,40.27,40.57,38.77
40.47,39.33,40.47,39.20
38.37,37.24,38.49,36.87
37.22,37.32,38.60,37.13
37.27,37.21,37.52,35.74
37.59,36.59,37.68,36.34
37.49,35.95,37.93,35.50
35.95,38.69,38.73,35.94
39.27,38.92,39.66,37.98
38.80,39.58,39.62,38.65
39.35,39.08,39.46,38.59
39.76,40.00,40.50,39.45
39.65,39.67,40.43,39.15
39.60,39.40,39.68,38.38
39.11,37.51,39.11,37.03
37.51,38.64,38.97,37.21
37.91,39.06,39.37,37.64
39.48,38.09,39.62,37.86
38.80,39.57,39.88,38.46
39.23,40.12,40.17,38.45
40.21,41.39,41.89,39.97
41.75,40.67,42.12,40.32
40.52,40.95,41.65,40.41
41.42,41.04,41.53,40.28
40.20,41.45,41.68,39.99
42.36,43.32,43.66,41.93
43.04,42.31,43.13,42.18
42.60,42.19,42.69,41.79
41.65,41.39,42.39,41.35
40.71,41.73,41.81,40.54
42.04,41.75,42.67,41.23
41.61,41.41,42.08,40.88
40.28,39.79,41.12,39.26
39.07,39.35,39.81,38.69
39.26,39.29,39.90,38.91
39.00,39.07,39.56,38.56
39.64,40.82,41.25,39.30
40.63,40.66,40.91,39.69
40.56,39.86,40.65,39.65
39.70,39.79,39.99,39.29
40.02,39.46,40.15,39.31
38.68,39.36,39.79,38.39
38.93,39.96,40.11,38.85
40.20,39.97,40.48,39.54
40.43,40.81,40.85,39.06
40.64,40.32,41.32,40.27
40.26,41.41,41.49,39.95
42.21,43.24,43.51,41.87
43.33,43.62,43.92,42.68
44.00,44.00,44.46,43.49
43.61,42.67,43.76,42.62
42.92,42.91,43.46,42.81
43.73,42.34,43.91,42.13
42.50,42.21,42.56,42.02
42.86,43.00,43.29,42.59
42.88,43.05,43.51,42.55
42.94,43.28,43.65,42.62
43.11,43.03,43.76,42.91
43.32,43.34,43.39,42.70
43.65,45.12,45.50,43.40
45.10,45.01,45.63,44.75
44.86,43.87,45.15,43.68
43.28,42.08,43.68,41.75
42.82,43.27,43.44,42.64
43.28,42.91,43.37,42.51
42.69,42.95,43.29,42.09
42.81,42.42,42.85,42.23
42.73,42.95,43.20,41.80
43.17,43.87,43.91,42.71
43.53,44.55,44.55,43.53
44.93,44.84,45.13,44.07
44.69,43.82,44.75,43.47
44.11,43.63,44.11,43.41
43.68,43.64,43.83,43.36
43.70,43.56,43.91,43.34
43.50,44.10,44.19,43.22
44.54,44.52,44.97,44.25
44.35,43.50,44.47,43.17
43.92,43.45,43.94,43.15
43.52,44.44,44.53,43.34
43.86,43.85,44.58,43.47
43.99,44.99,45.41,43.85
45.19,44.93,45.86,43.85
45.08,44.63,45.08,44.43
45.08,45.00,45.59,44.93
44.60,44.33,44.90,44.14
44.00,44.03,44.62,43.53
44.37,43.74,44.66,43.17
43.63,44.58,44.82,43.58
44.84,45.35,45.87,44.67
45.88,45.73,45.89,45.19
45.65,46.18,46.74,45.60
46.87,49.03,49.32,46.75
48.89,49.40,49.86,48.71
49.06,49.00,49.75,48.39
48.97,46.27,49.36,45.81
46.35,46.91,47.00,45.88
46.48,46.77,47.34,46.35
46.44,45.73,46.77,45.57
46.22,45.37,46.22,45.35
45.10,43.12,45.10,42.67
43.44,43.63,43.83,43.23
44.36,44.91,45.22,44.28
44.89,45.20,45.32,44.00
44.97,45.31,45.61,44.89
44.67,44.77,45.24,44.51
45.34,46.12,46.13,45.04
45.66,46.32,46.64,45.65
46.00,46.88,46.98,45.85
46.35,46.34,47.21,46.11
47.07,46.67,47.14,45.96
46.81,47.80,47.81,46.36
47.52,48.24,48.33,47.32
48.06,47.96,48.37,47.24
48.51,47.18,48.63,46.93
47.27,45.75,47.51,45.40
46.10,44.63,46.18,44.55
44.75,44.94,45.23,44.63
45.29,45.00,45.54,44.83
45.00,44.14,45.43,43.69
44.05,43.48,44.56,43.46
43.63,43.61,44.10,43.08
43.82,45.10,45.20,43.50
45.94,45.71,46.05,45.25
46.02,46.35,46.98,45.63
46.53,46.31,46.88,46.16
46.46,45.69,46.51,45.65
45.62,46.62,46.62,45.51
46.63,46.72,47.04,46.21
46.76,47.16,47.46,46.39
47.30,47.52,47.68,47.13
47.39,47.37,47.59,47.11
47.76,48.06,48.39,47.60
48.27,47.08,48.59,46.74
46.94,47.23,47.74,46.94
47.35,46.30,47.49,46.26
46.59,46.43,47.08,45.98
46.21,46.84,47.17,45.98
47.05,46.80,47.25,46.04
47.28,46.79,47.46,46.20
46.88,46.93,47.50,46.48
46.72,47.14,47.32,46.58
47.28,47.97,48.02,46.82
47.73,46.60,47.98,46.30
46.30,46.42,47.12,46.28
46.74,46.31,46.97,46.21
46.39,46.34,46.82,46.19
45.95,47.00,47.03,45.86
47.21,47.63,47.87,46.69
48.15,48.94,49.05,48.08
48.84,47.91,49.16,47.89
48.09,48.66,48.93,48.09
49.09,48.54,49.16,48.29
48.29,48.15,48.67,48.01
48.25,48.92,49.07,48.04
49.06,48.39,49.06,48.21
48.52,48.79,49.20,48.31
48.59,48.73,49.49,48.59
48.52,48.75,48.98,48.27
48.43,48.80,49.08,48.33
48.61,49.37,49.44,48.40
49.47,49.28,49.50,48.77
48.86,49.50,49.77,48.74
49.75,49.77,50.28,49.40
49.45,49.51,49.85,49.11
49.63,49.27,49.75,49.03
48.78,48.53,49.38,48.32
48.58,47.75,48.76,47.43
47.77,47.06,47.86,46.44
47.45,48.62,48.64,47.21
49.03,50.64,50.78,48.96
50.64,48.73,50.80,48.59
48.70,48.56,49.07,47.93
49.01,49.37,49.77,48.97
49.30,48.36,49.58,48.16
48.70,47.61,48.83,47.25
47.84,47.98,48.29,47.05
47.99,47.79,48.27,47.46
47.11,47.37,47.71,46.83
47.07,48.24,48.33,46.99
47.85,47.25,48.01,47.14
45.88,47.41,47.91,45.69
46.88,46.46,46.90,46.01
47.30,46.84,47.65,46.52
47.30,47.87,48.33,46.85
48.51,48.83,49.04,48.30
48.84,47.89,48.93,47.72
47.83,47.06,47.85,46.76
47.27,47.49,47.62,46.44
47.61,48.01,48.54,47.15
48.13,47.72,48.17,47.61
47.63,47.74,48.00,46.82
48.10,48.89,49.05,47.91
48.73,49.53,49.54,48.71
49.74,49.11,50.21,48.77
49.14,48.48,49.42,48.19
48.56,48.96,49.39,48.35
49.27,48.93,49.29,48.53
48.74,47.99,48.79,47.73
48.38,47.67,48.52,47.40
47.66,47.65,48.31,47.32
47.40,47.95,48.09,47.40
48.24,48.13,48.41,47.90
47.76,49.14,49.20,47.56
49.23,49.88,49.91,49.04
49.16,49.38,49.54,48.88
49.46,49.96,50.34,49.46
50.74,50.35,50.74,49.85
50.40,50.61,50.66,49.99
50.64,50.82,51.19,50.56
50.88,51.56,51.63,50.50
51.70,51.87,51.95,50.97
51.79,52.66,52.97,51.76
52.86,52.82,52.96,51.85
53.00,52.77,53.49,52.24
52.63,51.70,53.21,51.02
51.65,50.67,51.74,50.63
50.54,50.79,51.66,49.88
51.31,49.97,51.57,49.74
49.99,51.08,51.11,49.67
51.25,52.17,52.21,51.08
52.14,51.60,52.14,51.29
51.31,51.33,51.72,50.97
51.47,50.66,51.65,50.63
50.80,51.06,51.88,50.52
50.87,51.17,51.34,50.46
51.27,52.02,52.08,50.87
52.21,52.33,52.60,52.00
52.36,52.15,52.51,51.88
51.26,51.64,51.79,51.26
51.67,52.00,52.21,51.67
51.84,51.87,52.14,51.33
51.73,52.78,52.88,51.53
53.00,52.89,53.28,52.74
53.52,54.37,54.65,53.01
54.00,53.26,54.32,52.81
53.24,52.26,53.73,52.12
51.60,52.84,53.13,51.46
52.80,51.93,53.09,51.90
52.25,52.29,52.91,51.86
52.14,52.23,53.61,51.91
52.31,51.05,52.54,51.02
50.84,49.91,51.00,49.80
49.96,50.17,50.64,49.57
50.75,50.96,51.23,50.42
50.57,49.32,50.64,48.78
49.40,50.00,50.28,49.34
50.63,50.54,50.88,50.05
50.35,51.33,51.43,50.35
51.67,51.68,52.07,51.29
51.59,51.50,52.28,51.41
50.80,51.08,51.44,49.90
51.19,51.49,51.68,50.77
51.42,51.95,52.27,51.38
52.00,52.69,52.74,51.65
52.76,53.16,53.47,52.43
53.36,53.50,53.94,52.82
53.56,54.18,54.30,53.44
54.16,54.79,54.87,53.86
54.66,55.40,55.53,54.39
55.85,56.10,56.50,55.54
55.31,56.20,56.24,54.98
55.44,54.31,55.71,54.29
54.23,54.10,55.17,53.98
54.49,53.84,54.97,53.80
54.08,53.18,54.34,52.81
53.25,53.92,54.01,53.04
53.65,53.21,53.78,52.64
53.67,54.19,54.29,53.41
54.40,54.67,54.92,54.19
54.95,55.07,55.28,54.86
55.07,54.86,55.07,54.69
54.25,54.32,54.82,53.88
54.35,54.29,54.66,53.98
53.93,52.85,54.04,52.82
52.80,53.43,53.92,52.36
52.60,53.13,53.40,51.00
53.79,52.59,54.09,52.08
52.27,50.50,52.48,50.35
50.50,49.67,50.50,48.50
49.01,47.36,49.05,47.34
47.86,45.94,47.99,44.83
44.38,41.97,44.73,41.96
42.83,46.15,46.21,42.17
44.96,45.58,47.56,44.61
45.98,49.33,50.39,45.81
49.87,49.00,49.97,48.35
49.50,51.02,51.24,49.43
50.30,50.52,51.21,49.94
50.44,49.80,50.73,49.57
47.80,46.95,48.78,46.36
46.13,45.28,47.22,44.77
46.60,45.79,46.86,45.22
46.01,46.84,46.87,45.49
46.74,47.26,47.30,45.85
47.64,45.83,48.04,45.66
45.35,46.04,46.34,44.29
46.75,48.08,48.14,46.64
47.91,48.23,48.63,46.92
48.51,49.04,49.43,48.05
49.16,47.28,49.21,47.21
46.04,45.67,46.50,45.59
44.02,44.83,45.18,43.99
45.73,47.13,47.18,45.27
46.89,46.94,47.45,46.30
46.34,45.06,46.73,44.48
43.92,45.61,45.63,43.92
45.67,46.00,46.10,45.01
46.32,46.87,47.17,45.15
47.37,47.80,47.80,46.70
47.47,48.05,48.28,46.45
46.85,46.73,47.59,46.66
46.86,46.53,47.32,46.38
46.55,43.85,46.64,43.76
42.57,43.31,43.64,42.36
43.18,44.08,44.29,42.77
44.54,44.47,44.61,43.09
45.60,45.61,46.73,45.17
45.77,43.58,45.98,43.48
44.55,44.37,44.62,43.49
43.64,42.63,44.22,42.60
42.25,40.21,42.82,40.16
39.74,40.61,40.82,38.64
40.57,41.23,41.58,38.72
41.10,42.90,42.96,40.86
43.05,41.51,43.30,41.35
42.55,43.70,43.74,42.35
43.36,42.86,43.87,42.58
43.30,43.90,44.78,43.12
43.61,43.85,44.08,42.86
44.51,44.53,44.74,43.97
44.15,42.86,44.26,42.73
42.90,44.56,44.88,42.57
44.44,44.32,44.74,43.91
44.48,44.94,45.03,43.30
45.54,47.26,47.39,45.41
47.29,48.39,48.85,46.98
48.12,48.04,48.51,47.35
48.56,48.72,48.96,47.22
50.04,49.73,50.49,48.50
49.68,50.00,50.29,49.43
49.05,49.76,50.42,48.46
48.92,47.77,49.86,47.62
50.00,50.16,50.65,49.13
50.55,50.93,51.27,49.05
50.42,50.24,50.50,49.47
50.20,49.96,51.13,49.28
49.50,51.04,51.15,48.46
49.68,48.62,50.20,48.31
49.02,48.71,49.11,48.14
49.34,50.45,50.55,48.86
50.00,49.17,50.03,48.99
49.15,50.15,50.60,48.97
49.74,49.15,50.32,49.07
49.00,48.23,49.43,48.00
48.65,49.04,49.14,48.25
48.78,47.84,48.93,47.70
48.05,48.12,48.51,47.16
47.68,45.93,47.68,45.92
45.89,46.04,47.03,45.62
47.70,47.82,47.99,47.14
48.05,47.72,48.23,47.29
49.29,50.10,50.15,48.90
49.84,48.61,49.85,48.57
49.03,48.86,49.80,48.77
49.57,49.59,50.13,48.99
49.55,49.66,49.97,49.08
49.46,50.19,50.36,48.75
49.82,48.80,49.82,48.60
48.81,49.96,50.41,48.78
49.36,49.11,49.58,48.74
49.46,48.47,49.87,48.08
48.20,48.31,48.96,48.01
48.75,48.70,49.18,48.23
48.99,49.20,49.59,48.64
49.57,48.35,49.69,48.29
49.21,50.25,50.41,49.21
50.33,50.30,50.48,49.76
50.53,50.63,51.16,50.48
50.67,51.18,51.29,50.62
51.02,51.05,51.30,50.71
51.23,50.39,51.23,50.29
50.65,50.81,51.00,50.45
50.91,50.60,51.43,50.59
51.64,50.95,52.00,50.19
50.67,50.30,50.67,49.67
50.18,51.37,51.50,49.85
51.79,51.68,52.17,51.03
52.26,51.32,52.43,51.19
51.99,52.14,52.45,51.91
52.06,52.95,53.13,51.76
52.42,52.16,53.16,51.43
51.87,52.00,52.28,51.58
52.56,52.30,52.79,52.06
52.54,52.65,53.17,52.31
52.80,53.23,53.68,52.70
53.14,54.50,54.52,52.75
54.48,54.01,54.73,53.69
53.76,54.13,54.36,53.71
54.05,54.85,54.96,53.95
54.82,55.29,55.44,54.71
55.39,55.01,55.49,54.56
54.62,54.43,54.69,54.02
54.79,54.30,54.79,53.80
54.71,54.64,55.09,54.55
54.80,55.06,55.22,54.45
55.52,55.12,55.97,54.60
55.09,55.20,55.22,54.49
55.27,55.50,55.64,55.02
55.55,55.57,55.99,55.25
55.54,55.15,55.74,54.60
54.55,55.02,55.42,54.50
55.69,55.81,56.05,55.46
55.64,54.86,55.67,54.45
55.00,55.57,55.84,54.78
55.47,56.44,56.51,55.39
56.19,55.47,56.19,55.10
55.69,54.42,55.69,54.14
54.08,53.40,54.69,53.26
53.45,54.00,54.09,53.18
54.15,54.34,54.49,53.51
53.82,54.36,54.46,53.28
54.49,53.53,54.49,53.27
53.71,53.99,54.38,53.64
54.05,54.79,54.80,53.77
54.83,54.90,55.18,54.53
54.80,55.14,55.22,54.36
54.56,54.12,54.82,53.94
54.36,55.36,55.42,53.99
55.87,54.94,55.87,54.48
55.02,54.43,55.10,54.28
54.43,54.27,54.76,54.12
54.70,55.46,55.55,54.70
55.42,55.54,55.83,55.08
55.60,56.00,56.21,55.26
55.52,56.01,56.33,55.52
56.00,56.31,56.72,55.71
56.03,56.31,56.56,55.74
56.33,56.57,56.99,56.17
56.11,55.43,56.17,54.93
55.42,55.63,55.99,55.05
56.33,56.41,56.49,55.85
56.54,57.15,57.29,56.36
56.95,56.98,57.03,56.36
56.63,57.00,57.16,56.16
57.27,57.75,58.09,57.08
57.59,57.80,58.06,57.44
57.54,57.86,57.94,57.42
57.36,57.53,57.54,56.84
57.33,57.76,57.86,57.17
56.83,57.37,57.56,56.70
57.36,56.15,57.41,55.96
56.75,57.13,57.24,56.26
57.32,58.18,58.18,57.01
58.12,57.86,58.42,57.62
58.34,58.75,59.01,58.01
59.05,58.93,59.32,58.65
58.67,58.62,59.05,58.40
58.68,58.50,58.94,58.06
58.69,59.54,59.83,58.69
58.85,59.41,59.44,58.69
59.55,60.55,60.71,59.51
61.20,61.80,61.83,60.96
61.63,62.24,62.47,61.42
62.34,61.90,62.39,61.66
61.88,61.57,61.96,61.21
61.68,61.99,62.65,61.58
61.60,62.29,62.83,61.24
62.53,62.15,62.66,61.85
61.99,61.96,62.14,61.75
61.77,61.95,62.14,61.45
61.33,60.63,61.33,60.24
60.13,60.37,60.89,60.01
60.60,60.68,60.86,59.65
59.94,60.80,60.81,59.75
59.68,59.61,60.37,59.29
59.74,59.35,59.90,59.08
59.48,58.84,59.65,58.64
58.97,56.89,59.29,56.87
57.00,55.86,57.24,55.64
56.16,56.92,57.22,55.72
57.22,57.77,58.26,57.08
57.50,57.59,57.79,56.51
57.34,58.30,58.32,57.26
58.16,57.96,58.48,57.60
58.20,58.89,59.14,58.01
58.42,56.99,58.42,56.95
56.89,57.05,57.77,56.34
55.72,55.38,56.68,55.31
55.54,55.12,55.55,54.37
55.04,56.25,56.62,54.81
56.90,57.00,57.27,56.34
57.58,56.09,57.81,55.99
56.14,57.27,57.27,55.99
57.87,55.26,57.91,55.19
55.49,55.30,55.85,54.60
55.26,54.91,55.56,54.62
55.10,55.94,56.03,55.04
55.87,56.17,56.51,55.58
55.85,56.82,57.15,55.67
56.73,57.53,57.88,56.68
57.45,57.73,57.98,56.97
57.77,57.06,57.86,57.00
57.27,56.92,57.50,56.49
56.28,56.59,56.89,56.17
56.58,56.71,57.12,56.47
56.90,56.99,57.14,56.43
56.69,57.51,57.65,56.41
58.58,59.05,59.23,58.25
59.26,59.54,59.60,58.95
59.59,60.11,60.40,59.33
59.96,60.15,60.39,59.74
59.28,59.68,59.74,59.02
59.68,59.83,59.84,59.35
60.02,59.07,60.24,58.74
59.15,58.92,59.17,58.48
58.56,58.58,58.95,57.95
58.75,58.82,59.21,58.50
58.69,58.65,58.99,58.59
58.84,58.73,59.11,58.01
58.45,58.23,58.89,58.05
58.37,57.43,58.44,57.18
56.98,57.11,57.36,56.59
56.15,56.63,56.76,56.09
56.77,56.85,57.24,56.29
57.03,56.60,57.05,56.02
57.28,58.00,58.01,57.18
58.19,58.36,58.76,58.14
58.47,58.33,58.85,58.16
58.29,58.41,58.85,57.93
58.75,58.17,59.94,58.11
57.91,58.14,58.19,57.47
58.73,58.71,58.87,58.22
58.90,58.98,59.06,58.65
59.07,58.20,59.07,58.15
57.96,57.43,58.17,57.27
57.46,57.15,57.71,56.99
57.19,57.27,57.33,57.10
57.29,57.38,57.57,57.20
57.48,57.60,57.76,57.40
57.52,57.78,58.03,57.41
57.46,57.56,57.57,56.93
57.55,57.72,57.80,57.22
57.72,57.61,57.83,57.07
57.61,57.39,57.92,57.30
57.39,57.36,57.66,56.72
57.25,58.80,58.87,56.91
58.74,59.65,60.02,58.25
59.69,59.92,60.08,59.50
59.74,59.79,60.03,59.56
59.86,59.79,60.43,59.74
59.43,59.53,59.67,59.08
59.89,59.57,59.89,59.05
59.62,59.94,60.04,59.30
59.96,59.99,60.12,59.59
60.30,60.37,60.50,60.09
60.41,60.82,61.05,60.24
60.63,60.37,60.81,60.21
60.37,60.60,60.85,59.84
60.61,60.55,61.49,60.28
60.55,61.02,61.26,60.47
61.17,61.34,61.60,61.02
61.28,61.03,61.80,61.03
60.95,60.48,61.10,60.16
60.46,60.25,60.70,59.88
59.75,59.19,59.75,58.76
59.50,58.92,59.51,58.65
58.51,58.43,59.22,58.37
58.59,57.34,58.83,57.32
57.39,57.30,57.60,57.11
57.40,57.35,57.74,57.17
57.20,57.23,57.41,56.81
57.67,56.72,57.67,55.95
56.97,57.42,57.46,56.67
57.41,58.21,58.39,57.41
58.46,58.30,58.74,57.73
58.38,58.43,58.84,58.15
58.25,58.48,58.49,58.05
58.46,58.37,58.80,58.13
58.43,58.77,58.77,58.05
59.07,58.63,59.25,58.60
58.68,59.03,59.09,58.55
58.99,59.42,59.48,58.67
59.53,59.67,60.03,59.51
59.54,59.33,59.59,58.97
59.28,59.22,59.61,59.06
59.27,58.91,59.74,58.74
59.22,57.58,59.22,57.34
57.15,56.94,57.62,56.68
57.12,56.64,57.52,56.48
56.85,56.90,57.17,55.89
56.94,57.06,57.22,56.20
57.38,57.00,57.38,55.74
57.13,56.91,57.16,56.21
57.03,57.54,57.79,56.98
57.50,57.38,57.58,56.79
57.52,57.36,57.72,57.24
56.88,56.69,57.11,56.14
56.73,56.00,56.79,56.00
55.80,56.00,56.37,55.45
56.26,55.90,56.26,55.49
55.51,56.12,56.43,55.24
56.20,55.24,56.34,55.11
55.11,54.68,55.65,54.32
54.67,55.38,55.52,54.60
55.99,55.97,56.29,55.51
55.96,56.25,56.28,55.57
56.35,56.57,56.67,56.07
56.87,56.97,57.35,56.65
56.55,56.86,57.33,56.29
56.70,56.43,56.91,55.78
56.41,55.83,56.41,55.58
56.11,56.00,56.19,55.51
56.13,56.50,56.68,55.88
56.78,57.09,57.20,56.62
56.99,57.50,57.57,56.88
57.48,57.34,57.56,56.83
57.46,57.88,57.97,57.41
57.91,57.90,58.04,57.58
57.96,58.11,58.40,57.70
58.27,58.32,58.71,57.97
58.32,58.40,58.54,58.01
58.28,58.01,58.48,57.77
58.08,57.85,58.08,57.60
58.12,57.57,58.19,57.32
57.56,58.06,58.06,57.46
58.13,57.73,58.33,57.73
57.79,58.40,58.43,57.74
57.85,58.48,58.54,57.79
58.45,58.46,58.77,58.17
58.46,58.13,58.46,57.92
58.20,58.19,58.51,57.64
57.97,57.60,58.21,57.58
57.43,58.30,58.43,57.35
59.27,58.80,59.29,58.58
58.85,58.98,59.40,58.51
59.01,59.00,59.13,58.65
58.96,58.78,59.11,58.65
58.80,59.06,59.06,58.66
59.26,58.79,59.33,58.71
58.59,58.18,58.83,57.89
58.01,57.94,58.13,57.66
58.16,58.02,58.23,57.84
58.04,58.37,58.42,57.91
58.30,58.08,58.35,58.01
58.16,58.08,58.45,58.07
58.22,58.61,58.63,57.97
58.55,59.21,59.49,58.55
59.01,59.00,59.42,58.87
58.90,59.28,59.31,58.83
59.45,59.34,59.48,58.91
59.33,59.70,59.76,59.14
59.60,59.99,59.99,59.46
59.87,59.83,59.99,59.46
59.68,59.72,59.99,59.47
59.95,60.46,60.46,59.66
59.97,60.43,60.74,59.97
60.55,60.05,60.65,59.91
60.36,61.51,61.97,60.23
61.64,61.50,61.99,61.45
61.52,61.64,61.71,60.96
61.70,61.52,61.87,61.36
61.06,61.87,62.01,60.97
61.82,61.88,62.20,61.59
61.86,61.62,61.95,61.57
61.75,61.53,61.93,61.36
61.65,62.03,62.03,61.52
61.58,60.88,61.90,60.87
60.89,60.51,61.22,60.11
60.69,60.50,61.01,60.45
60.91,59.59,61.01,59.59
59.86,59.72,60.25,59.28
59.77,60.31,60.78,59.62
60.32,60.11,60.65,60.02
59.91,60.11,60.31,59.29
60.08,60.65,60.83,59.98
60.92,61.35,61.41,60.55
61.56,61.86,61.96,60.87
61.77,62.09,62.36,61.67
62.16,62.01,62.28,61.85
62.00,62.21,62.21,61.87
62.00,61.97,62.13,61.62
61.99,61.99,62.06,61.46
61.89,62.38,62.39,61.80
62.40,62.61,62.72,61.95
62.14,62.30,62.54,62.01
62.37,62.05,62.54,61.62
62.17,62.57,62.60,61.97
62.26,62.43,62.94,62.15
62.50,62.87,63.24,62.50
63.03,63.21,63.40,62.96
63.48,63.71,63.78,63.39
63.38,63.82,63.86,63.01
63.86,64.38,64.47,63.48
64.91,64.50,65.15,64.32
64.72,64.64,65.05,64.46
65.14,64.23,66.29,64.15
64.47,65.15,65.24,64.41
64.39,65.06,65.14,64.24
64.98,65.78,65.85,64.55
65.89,65.54,65.89,65.26
65.83,66.64,66.65,65.61
66.42,67.16,67.39,66.42
67.05,67.54,67.54,66.93
67.23,65.99,67.64,65.97
66.48,67.42,67.46,65.71
67.08,66.41,67.08,65.76
66.44,66.18,66.49,65.86
66.38,67.18,67.34,65.92
67.38,66.72,67.39,66.41
67.07,67.16,67.35,66.58
67.25,67.63,67.64,66.99
67.69,68.45,68.53,67.03
68.34,68.80,68.89,68.33
69.12,69.56,69.56,68.80
69.66,70.05,70.05,69.25
69.92,68.79,70.36,68.57
70.31,69.04,70.31,68.99
69.48,70.42,70.69,69.32
72.01,70.81,72.19,70.07
70.77,70.65,70.83,70.04
69.90,70.00,70.86,69.68
69.80,69.66,70.29,69.50
69.85,70.24,70.47,69.77
70.15,70.34,70.40,69.77
70.46,70.34,70.72,70.04
70.04,70.70,70.70,69.71
70.46,70.05,70.92,69.78
70.06,70.41,70.60,69.92
70.41,70.84,70.99,70.40
70.97,70.65,71.12,70.45
70.65,68.63,71.44,68.21
68.04,67.09,68.05,66.90
66.76,66.86,67.00,65.83
67.65,66.43,67.74,66.08
65.83,65.85,66.20,64.36
66.07,65.86,66.81,65.57
65.47,64.91,66.28,64.90
64.58,63.94,64.79,63.67
64.06,62.69,64.32,62.68
62.54,61.61,62.98,61.35
61.58,62.82,62.82,61.42
63.18,62.75,63.34,62.25
63.21,62.69,63.21,62.43
62.19,61.58,62.46,61.45
61.83,60.76,62.10,60.65
61.14,62.80,62.93,60.85
62.63,62.25,63.29,61.95
62.44,62.40,62.75,62.11
62.49,62.70,63.09,61.87
62.70,60.79,62.85,60.58
