ISNS,Image Sensing Systems,NASDAQ
12.05,12.00,12.05,12.00
12.00,12.00,12.00,12.00
11.59,11.85,12.00,11.59
11.75,11.75,11.75,11.75
11.79,11.45,11.98,11.11
11.50,11.24,11.50,11.12
11.15,11.25,11.39,11.13
11.22,10.02,11.22,9.85
10.12,10.25,10.26,9.99
10.15,10.18,10.25,10.06
10.32,10.23,10.35,10.23
10.24,10.39,10.39,10.15
10.25,10.15,10.43,10.15
10.16,10.10,10.43,10.10
10.19,10.50,10.57,10.19
10.71,10.66,10.71,10.55
10.67,10.69,10.75,10.67
10.69,10.68,10.70,10.62
10.67,10.64,10.67,10.50
10.62,10.47,10.65,10.35
10.48,10.28,10.48,10.27
11.40,11.35,11.61,11.11
11.27,11.28,11.28,10.78
11.07,11.28,11.30,11.07
11.25,11.33,11.37,11.25
11.31,10.79,11.42,10.79
10.78,10.98,11.13,10.78
10.94,10.91,11.07,10.70
10.86,10.86,10.86,10.86
10.75,11.08,11.08,10.62
10.95,10.84,11.27,10.53
10.45,10.70,10.85,10.45
10.95,10.80,10.99,10.58
10.81,10.75,10.81,10.57
10.75,10.83,11.41,10.65
10.86,11.01,11.04,10.86
11.08,11.52,11.90,11.08
11.25,11.20,11.51,11.20
11.28,11.30,11.30,11.00
11.29,11.29,11.29,11.29
11.15,11.03,11.15,11.03
11.02,11.02,11.02,11.02
11.23,11.00,11.24,11.00
11.00,10.76,11.00,10.73
10.76,10.62,10.76,10.61
10.60,10.41,10.62,10.37
10.44,10.49,10.50,10.30
10.68,10.65,10.69,10.54
10.56,10.42,10.69,10.30
10.80,10.50,10.85,10.50
10.57,10.55,10.86,10.55
10.76,10.50,10.77,10.50
10.44,10.30,10.49,10.30
10.33,10.30,10.51,10.30
10.28,10.33,10.33,10.25
10.23,10.23,10.23,10.23
10.23,10.23,10.23,10.23
10.23,10.23,10.23,10.23
10.12,10.10,10.12,10.10
10.64,10.54,10.64,10.54
10.54,10.54,10.54,10.54
10.11,10.10,10.11,10.10
9.97,8.31,10.11,7.03
8.00,8.23,9.59,8.00
8.05,8.00,8.35,8.00
8.04,7.60,8.04,7.50
7.81,7.84,7.85,7.34
8.01,8.22,8.23,7.61
7.99,7.90,8.01,7.75
8.21,6.24,8.24,5.76
6.60,6.44,6.60,6.18
6.30,6.54,6.59,6.30
6.48,6.45,6.49,6.30
6.75,6.55,6.75,6.30
6.43,6.50,6.53,6.43
6.79,6.80,6.95,6.71
6.80,6.80,6.80,6.58
6.80,6.64,6.80,6.60
6.69,6.80,6.80,6.69
6.94,6.84,6.94,6.84
6.85,7.09,7.09,6.85
6.91,7.30,7.44,6.91
7.29,7.29,7.29,7.29
7.34,7.25,7.34,7.25
7.25,7.28,7.28,7.25
7.26,7.42,7.51,7.25
7.06,7.07,7.08,7.06
7.00,7.28,7.57,7.00
7.24,7.04,7.24,7.03
7.04,6.73,7.30,6.73
7.16,6.84,7.16,6.70
6.58,6.70,6.83,6.58
6.70,6.75,6.80,6.70
6.60,6.60,6.67,6.60
6.64,6.58,6.97,6.58
6.62,6.60,6.62,6.58
6.58,6.58,6.58,6.58
6.58,6.58,6.58,6.58
6.58,6.21,6.58,6.21
7.10,6.37,7.59,6.30
6.55,6.40,6.99,6.20
6.53,6.45,7.26,6.30
6.45,6.50,6.99,6.25
6.68,6.50,6.98,6.11
6.50,6.50,6.50,6.50
6.39,6.50,6.50,6.39
6.85,6.42,6.85,6.37
6.46,6.38,6.47,6.35
6.25,6.25,6.25,6.25
6.76,6.91,6.93,6.68
6.91,6.91,6.91,6.91
6.91,6.91,6.91,6.91
6.21,6.86,6.86,6.17
6.86,6.86,6.86,6.86
6.86,6.70,6.90,6.50
6.70,6.70,6.70,6.70
6.54,6.50,6.62,6.48
6.88,6.79,6.88,6.79
6.56,6.65,6.65,6.55
6.65,6.65,6.67,6.65
6.52,6.55,6.65,6.50
6.62,6.55,6.63,6.10
6.76,6.96,7.16,6.35
7.13,6.98,7.13,6.68
6.16,6.20,6.32,6.10
6.17,6.22,6.29,6.14
6.45,6.23,6.45,6.12
6.22,4.91,6.22,4.91
5.21,5.12,5.37,5.00
5.12,5.44,5.45,5.12
5.25,5.30,5.44,5.10
5.43,5.35,5.45,5.12
5.42,5.35,5.72,5.35
5.36,5.35,5.45,5.06
5.44,5.66,5.75,5.44
5.30,5.50,5.50,5.27
5.50,5.20,5.69,5.20
5.28,5.71,5.72,5.28
5.74,5.70,5.76,5.25
5.68,6.00,6.16,5.65
6.01,6.00,6.09,5.86
6.10,5.75,6.10,5.75
5.75,6.20,6.20,5.65
6.09,6.07,6.14,5.90
6.24,6.11,6.24,5.86
6.24,6.07,6.25,6.05
6.25,6.18,6.25,6.06
6.10,6.25,6.25,6.10
6.10,6.15,6.19,6.10
5.90,6.05,6.05,5.85
6.07,6.05,6.15,5.99
6.06,6.03,6.13,6.00
6.05,6.07,6.08,6.05
6.05,6.06,6.06,6.05
6.05,6.22,6.22,5.99
6.15,6.15,6.15,6.15
6.05,6.05,6.24,5.85
5.94,6.25,6.25,5.87
6.29,5.89,6.29,5.89
6.10,6.05,6.18,5.89
5.85,5.65,5.90,5.65
5.60,5.65,5.65,5.56
5.58,5.57,5.74,5.21
5.58,5.60,5.61,5.58
5.45,5.62,5.70,5.45
5.65,6.52,6.62,5.50
6.64,6.62,7.13,6.13
6.42,6.35,7.10,6.11
6.52,6.99,7.00,6.52
7.00,6.97,7.00,6.97
6.90,6.90,6.90,6.90
7.10,6.73,7.10,6.60
6.96,6.81,6.96,6.81
7.12,7.04,7.12,7.04
6.85,6.85,6.85,6.85
7.08,7.11,7.11,7.08
6.85,6.87,6.87,6.85
6.89,6.58,7.10,6.47
6.58,6.63,6.63,6.58
6.29,6.52,6.52,6.27
6.40,6.60,6.60,6.40
6.46,6.38,6.46,6.25
6.40,6.69,6.71,6.05
6.69,6.69,6.69,6.69
6.31,6.41,6.54,6.23
6.22,6.34,6.42,6.21
6.32,6.37,6.37,6.32
6.27,6.63,6.65,6.27
6.67,6.07,6.69,6.07
6.19,6.15,6.23,6.10
6.25,6.26,6.35,6.25
6.26,6.26,6.26,6.26
6.26,6.26,6.26,6.26
6.24,6.49,6.49,6.24
6.50,6.61,6.61,6.50
6.75,7.03,7.06,6.75
7.04,6.91,7.04,6.82
7.12,7.06,7.26,7.06
6.97,7.15,7.15,6.94
7.10,7.05,7.15,7.05
7.05,7.05,7.05,7.05
7.06,6.83,7.06,6.70
6.57,6.55,6.57,6.55
6.64,6.50,6.64,6.50
6.38,6.85,6.97,6.38
7.26,6.27,7.26,6.27
6.35,6.96,7.01,6.02
6.75,6.31,6.86,6.30
6.27,6.81,7.07,6.27
6.70,6.63,6.91,6.40
6.66,6.62,6.88,6.51
6.61,6.63,6.74,6.55
6.79,6.77,6.79,6.71
6.79,6.82,6.82,6.57
6.82,6.82,6.82,6.82
6.56,6.65,6.65,6.56
6.65,6.65,6.65,6.65
6.65,6.65,6.65,6.65
6.80,6.71,6.80,6.53
6.71,6.71,6.71,6.71
6.68,6.78,6.78,6.68
6.74,6.58,6.74,6.56
6.64,6.78,7.15,6.64
6.54,6.62,6.62,6.54
6.70,6.86,6.86,6.70
6.61,6.61,6.61,6.61
6.65,6.60,6.72,6.53
6.65,6.75,6.75,6.65
6.65,6.60,6.91,6.60
6.89,6.76,6.89,6.61
6.70,6.70,6.75,6.68
6.70,6.70,6.70,6.70
6.80,6.77,7.19,6.77
6.75,7.12,7.12,6.75
7.20,7.70,7.70,6.94
7.31,7.22,7.31,6.75
7.09,7.00,7.29,7.00
7.00,7.09,7.09,7.00
7.09,7.79,7.80,7.09
7.50,7.36,7.56,7.30
7.30,7.41,7.45,7.29
7.40,7.45,7.45,7.40
7.46,7.46,7.46,7.46
7.45,7.20,7.55,7.16
7.21,6.71,7.21,6.71
7.01,6.68,7.11,6.65
6.66,7.16,7.16,6.65
7.02,7.04,7.28,6.95
6.80,6.77,6.80,6.67
7.00,6.77,7.02,6.70
6.71,7.00,7.70,6.67
6.88,6.51,6.88,6.50
6.51,6.50,6.51,6.50
6.52,6.46,6.52,6.46
6.39,6.24,6.39,6.00
6.31,6.31,6.31,6.31
6.00,5.85,6.00,5.67
6.15,6.15,6.15,6.15
5.99,5.99,5.99,5.99
5.92,6.11,6.11,5.92
5.55,6.12,6.12,5.55
5.85,6.13,6.16,5.55
6.64,5.79,6.64,5.58
5.75,5.61,5.82,5.60
5.59,5.37,5.59,5.37
5.48,5.60,5.90,5.48
5.63,5.31,5.91,5.31
5.39,5.17,5.39,5.11
5.16,5.15,5.19,5.10
5.15,5.15,5.16,5.15
5.20,5.12,5.20,4.64
5.02,5.12,5.17,4.77
5.04,5.17,5.17,5.04
5.11,5.30,5.38,4.93
5.31,5.31,5.32,5.30
5.28,5.29,5.30,5.28
5.29,5.29,5.29,5.29
5.28,5.04,5.63,5.01
5.14,5.08,5.26,5.07
5.18,5.15,5.18,5.15
5.11,5.40,5.40,5.10
5.40,5.40,5.40,5.40
5.30,5.25,5.39,5.10
5.25,5.10,5.25,5.10
5.04,5.04,5.04,5.04
5.02,5.15,5.25,4.98
5.07,5.08,5.30,5.04
5.10,4.97,5.10,4.84
5.00,4.97,5.00,4.85
5.04,5.07,5.07,4.75
4.95,5.10,5.11,4.95
4.77,5.10,5.48,4.77
4.82,5.10,5.10,4.82
5.08,5.09,5.09,5.08
5.01,5.09,5.09,5.01
5.00,5.00,5.00,5.00
5.09,5.10,5.10,4.97
5.08,5.12,5.12,5.08
5.11,5.36,5.36,4.99
5.30,5.44,5.44,5.29
5.48,5.48,5.48,5.48
5.21,5.25,5.36,5.20
5.21,5.31,5.31,5.21
5.25,5.18,5.30,4.83
5.21,4.93,5.21,4.90
4.94,4.91,4.94,4.83
4.90,4.93,5.01,4.88
4.92,4.90,4.95,4.90
4.88,5.07,5.07,4.88
5.07,5.11,5.12,5.06
5.16,5.08,5.16,5.08
5.08,5.08,5.08,5.08
5.09,5.10,5.19,5.09
5.08,4.99,5.19,4.86
5.17,4.86,5.17,4.82
4.92,4.75,4.92,4.61
4.73,4.86,4.86,4.73
4.82,4.97,4.97,4.82
5.00,5.05,5.05,5.00
5.05,5.05,5.05,5.05
5.03,4.97,5.03,4.97
5.01,5.24,5.24,5.01
5.24,5.24,5.24,5.24
5.03,5.03,5.03,5.03
5.03,5.03,5.03,5.03
5.03,5.16,5.23,5.03
5.15,5.19,5.19,5.13
5.11,4.94,5.11,4.92
5.00,4.90,5.00,4.90
4.93,5.29,5.29,4.93
5.21,5.15,5.21,5.15
5.15,5.15,5.15,5.15
4.91,4.86,4.91,4.86
4.89,4.94,4.94,4.88
4.93,5.03,5.28,4.90
5.15,5.15,5.15,5.15
5.16,5.16,5.16,5.16
5.00,5.05,5.11,5.00
5.05,5.05,5.05,5.05
5.10,5.00,5.10,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.26,5.00
4.82,5.06,5.10,4.82
5.06,5.06,5.06,5.06
5.02,5.02,5.02,5.02
5.00,4.91,5.00,4.91
4.94,5.09,5.09,4.94
5.03,5.01,5.03,5.01
5.01,5.01,5.01,5.01
5.01,5.01,5.01,5.01
5.00,4.84,5.00,4.84
4.83,4.82,4.83,4.82
4.82,4.82,4.82,4.82
4.71,4.71,4.71,4.71
4.71,4.71,4.71,4.71
4.65,4.62,4.82,4.62
4.57,4.65,4.85,4.57
4.65,4.70,4.70,4.65
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.78,4.94,4.94,4.78
4.83,4.83,4.83,4.83
4.94,4.94,4.94,4.94
4.87,4.95,4.96,4.87
5.00,4.94,5.11,4.94
5.00,5.10,5.10,5.00
5.07,5.10,5.10,5.01
5.10,5.10,5.10,5.10
4.77,5.15,5.15,4.77
5.15,5.15,5.15,5.15
4.77,4.77,4.77,4.77
4.77,4.77,4.77,4.77
5.00,5.10,5.10,5.00
5.15,5.06,5.30,5.06
5.29,5.13,5.29,5.07
5.15,5.15,5.15,5.15
5.15,5.14,5.15,5.14
4.95,5.13,5.14,4.95
5.15,5.15,5.15,5.15
5.11,5.11,5.11,5.11
4.82,4.82,4.82,4.82
5.02,5.00,5.02,5.00
4.99,5.00,5.00,4.99
4.92,4.93,4.93,4.92
4.84,4.80,4.84,4.80
4.80,4.80,4.80,4.80
4.80,4.95,5.00,4.80
4.94,4.95,4.97,4.94
4.79,4.79,4.79,4.79
4.84,5.13,5.13,4.79
5.07,5.07,5.07,5.07
4.91,5.07,5.07,4.91
5.06,4.95,5.06,4.95
5.11,5.15,5.15,5.10
5.10,5.10,5.10,5.10
5.15,5.10,5.15,5.10
5.10,5.10,5.10,5.10
5.10,5.12,5.12,5.05
5.10,5.05,5.15,5.00
5.05,5.05,5.05,5.05
5.09,5.10,5.10,5.09
5.10,5.00,5.15,5.00
5.02,4.96,5.05,4.95
4.96,4.99,4.99,4.96
5.01,5.13,5.13,4.95
5.05,4.95,5.15,4.95
5.00,5.00,5.00,5.00
5.00,4.95,5.00,4.95
4.92,5.03,5.03,4.92
4.91,4.91,4.91,4.91
4.90,4.91,4.91,4.90
4.94,4.91,4.94,4.91
4.90,4.90,4.98,4.88
4.90,4.97,5.00,4.88
5.03,4.95,5.03,4.91
4.91,5.00,5.12,4.91
5.00,5.00,5.00,5.00
4.95,5.15,5.19,4.95
4.95,5.17,5.17,4.95
5.15,5.17,5.19,5.13
5.19,4.95,5.19,4.95
4.95,5.15,5.15,4.95
5.15,5.16,5.18,5.10
5.15,5.15,5.15,5.15
5.15,5.14,5.15,5.13
5.14,5.14,5.14,5.14
5.17,5.17,5.17,5.11
5.17,4.99,5.17,4.99
5.15,5.15,5.15,5.15
5.07,5.15,5.15,5.07
4.99,5.15,5.15,4.99
5.15,5.12,5.15,5.11
5.15,5.15,5.19,5.14
5.14,5.15,5.17,5.14
5.18,5.18,5.18,5.18
5.18,5.17,5.19,5.15
5.13,5.15,5.15,5.13
5.15,5.30,5.30,5.15
5.30,5.26,5.31,5.23
5.29,5.27,5.32,5.26
5.27,5.28,5.31,5.26
5.29,5.28,5.29,5.20
5.26,5.27,5.28,5.22
5.25,5.30,5.30,5.25
5.34,5.49,5.49,5.28
5.60,5.52,5.60,5.50
5.52,5.50,5.55,5.37
5.53,5.47,5.53,5.47
5.46,5.43,5.46,5.40
5.43,5.30,5.44,5.29
5.30,5.36,5.36,5.30
5.34,5.33,5.37,5.28
5.28,5.35,5.35,5.28
5.34,5.37,5.41,5.33
5.38,5.37,5.40,5.37
5.37,5.37,5.37,5.28
5.37,5.37,5.43,5.32
5.35,5.30,5.40,5.25
5.25,5.29,5.34,5.20
5.29,5.30,5.30,5.24
5.30,5.40,5.40,5.28
5.35,5.40,5.40,5.32
5.41,5.40,5.43,5.32
5.50,5.51,5.56,5.46
5.52,5.65,5.65,5.51
5.69,5.46,6.00,5.46
5.51,5.36,5.51,5.20
5.33,5.47,5.71,5.30
5.49,5.51,5.58,5.45
5.50,5.46,5.50,5.39
5.47,5.30,5.47,5.18
5.35,5.41,5.45,5.34
4.74,4.40,4.77,4.29
4.50,4.61,4.68,4.36
4.71,4.72,4.77,4.62
4.75,4.79,4.86,4.75
4.73,4.64,4.79,4.64
4.64,4.66,4.70,4.64
4.65,4.71,4.76,4.63
4.64,4.62,4.77,4.62
4.62,5.00,5.05,4.62
5.18,5.05,5.30,5.00
5.05,5.09,5.09,5.03
5.07,5.07,5.07,5.07
4.99,5.02,5.10,4.99
5.01,5.02,5.09,5.00
4.91,5.07,5.10,4.91
5.00,5.05,5.06,5.00
5.10,5.27,5.27,5.07
5.17,5.13,5.28,5.10
5.15,5.20,5.25,5.14
5.20,5.26,5.30,5.18
5.22,5.01,5.26,5.01
5.00,5.15,5.15,5.00
5.15,5.09,5.15,5.06
5.03,5.02,5.19,5.01
5.10,5.10,5.18,5.07
4.90,5.23,5.27,4.89
5.10,5.21,5.21,5.10
5.29,5.15,5.29,5.05
5.16,5.05,5.16,5.05
5.12,5.14,5.23,5.05
5.13,5.12,5.23,5.04
5.24,5.21,5.25,5.00
5.26,5.20,5.28,5.05
5.14,5.07,5.18,5.07
5.16,5.22,5.25,5.16
5.22,5.22,5.22,5.22
5.20,5.17,5.25,5.17
5.16,5.16,5.16,5.16
5.16,5.05,5.27,5.00
5.10,5.12,5.12,5.10
5.10,5.10,5.20,5.10
5.10,5.10,5.10,5.10
5.16,5.15,5.20,5.10
5.10,5.10,5.10,5.10
5.12,5.13,5.13,5.10
5.10,5.08,5.10,5.08
5.08,5.00,5.13,5.00
5.00,5.13,5.18,5.00
5.18,5.24,5.30,5.18
5.28,5.25,5.28,5.23
5.25,5.38,5.39,5.10
5.38,5.61,5.75,5.34
5.67,5.73,5.76,5.59
5.60,5.79,5.79,5.60
5.75,5.95,6.00,5.75
5.98,6.33,6.42,5.98
6.50,6.99,7.20,6.50
7.07,6.74,7.12,6.39
6.74,6.74,6.74,6.74
6.91,6.67,6.91,6.30
