IBB,iShares Nasdaq Biotechnology Index Fund,NASDAQ
80.56,80.61,81.42,80.30
80.70,82.06,82.42,80.38
82.06,81.38,82.34,80.73
80.27,78.66,80.33,78.27
78.50,77.52,79.22,77.37
77.39,76.06,77.39,74.50
76.79,76.61,77.43,76.24
77.07,75.69,77.66,75.20
75.67,76.99,77.08,74.98
77.76,78.34,78.34,77.08
77.83,79.47,79.50,77.83
79.00,78.29,79.59,78.16
79.26,80.16,80.35,79.07
79.89,79.99,80.31,79.52
80.09,80.23,80.91,79.66
79.87,77.52,80.11,77.41
77.98,78.11,78.27,77.26
76.77,78.25,78.25,76.75
79.07,77.59,79.07,77.36
78.55,79.01,79.59,78.44
78.83,79.74,79.91,77.48
80.59,82.05,82.28,79.91
82.70,81.59,82.72,81.10
81.41,79.93,82.04,79.81
80.30,79.68,81.14,78.76
79.00,81.03,81.42,78.77
81.81,82.54,82.94,81.72
82.23,82.69,83.21,82.05
83.11,83.85,84.11,83.00
83.33,83.58,84.00,83.27
83.04,84.02,84.14,82.32
84.81,84.65,84.81,83.94
83.36,84.25,84.72,83.17
82.67,81.41,82.77,81.23
80.20,82.29,82.58,80.20
81.43,81.59,82.19,81.43
80.89,81.71,82.22,80.88
82.55,82.40,82.82,81.69
82.76,82.39,83.02,81.68
82.12,80.69,82.24,80.30
80.25,80.50,80.76,79.70
80.83,80.12,81.45,79.99
79.52,78.69,79.52,78.40
77.85,79.79,79.93,77.85
79.90,78.74,79.90,78.37
78.89,80.00,80.13,77.79
79.43,79.00,80.16,78.91
78.46,78.58,79.51,78.32
79.50,80.87,80.98,79.50
80.90,81.84,81.84,80.51
82.39,82.60,82.77,81.98
82.00,81.77,82.31,81.62
82.18,83.16,83.38,81.98
83.81,83.79,83.96,83.34
83.88,84.62,84.76,83.85
85.36,84.92,85.36,84.62
84.68,84.90,85.25,84.55
84.49,85.60,85.74,84.34
85.53,85.31,85.53,84.91
85.96,85.51,85.96,84.91
85.98,86.81,86.98,85.46
86.54,86.85,87.26,86.54
86.36,86.52,87.47,86.13
86.18,86.16,86.93,85.71
86.46,87.02,87.11,86.16
86.87,86.32,86.92,86.15
86.68,86.84,86.94,85.67
86.44,86.14,86.76,85.85
86.59,86.24,86.89,85.71
86.82,86.27,86.86,85.67
86.09,85.73,86.45,85.20
86.05,87.41,87.56,86.05
87.43,86.78,87.47,86.40
86.99,86.92,87.10,86.24
86.84,87.55,87.87,86.65
87.33,87.54,87.91,87.29
87.17,88.06,88.15,86.57
88.88,88.38,88.88,88.14
88.25,88.12,88.51,87.70
87.66,89.12,89.12,87.65
88.69,89.54,89.54,88.69
88.33,88.14,89.16,87.59
88.30,88.19,89.00,87.70
88.65,88.09,89.13,87.30
88.10,88.25,88.38,87.67
88.69,88.74,89.70,88.69
88.17,88.54,88.73,87.78
87.96,88.93,89.08,87.94
90.25,89.44,90.25,89.03
89.18,89.30,89.76,89.18
89.76,88.84,89.85,88.43
89.22,89.23,89.62,88.89
89.73,89.32,89.73,88.64
89.79,89.13,90.10,89.05
89.24,88.61,89.24,88.12
88.49,88.26,88.49,87.71
88.75,87.48,88.75,87.20
87.42,87.93,88.10,86.87
87.09,88.23,88.38,87.09
87.46,87.15,87.92,86.76
87.40,87.68,88.08,87.32
86.93,86.81,87.76,86.50
86.81,86.97,87.12,86.49
88.30,88.32,88.78,87.82
88.11,88.42,88.64,87.82
88.61,88.95,89.29,88.08
88.67,88.01,88.67,87.56
89.05,89.36,89.47,88.83
88.62,89.02,89.23,88.58
89.00,88.29,89.00,87.39
87.45,87.40,87.83,87.15
88.42,88.42,88.97,88.22
88.89,88.93,89.02,88.26
88.33,89.38,89.50,88.33
89.14,88.94,89.14,88.54
89.31,89.13,89.93,89.08
89.69,89.38,89.80,89.27
89.74,89.96,90.11,89.57
90.29,90.97,91.25,90.00
91.62,90.58,91.62,90.43
90.99,91.57,91.79,90.83
91.57,91.94,92.66,91.44
91.90,93.04,93.12,91.80
93.21,94.19,94.42,93.18
94.55,94.22,94.69,93.68
94.70,94.58,94.76,94.13
94.92,94.62,94.92,94.50
94.47,94.67,94.75,94.16
94.78,94.72,94.96,94.00
95.00,94.37,95.00,94.26
94.12,94.28,94.57,94.12
93.90,93.98,94.38,93.83
94.18,93.42,94.18,93.28
93.91,94.29,95.13,93.84
94.86,93.90,94.86,93.42
93.90,94.65,94.87,93.72
94.35,95.09,95.25,94.35
95.02,95.05,95.39,94.40
94.98,94.94,95.08,94.32
95.74,95.46,95.74,95.19
95.81,95.98,95.98,95.15
95.85,96.07,96.21,95.76
95.95,96.21,96.36,95.68
96.14,97.27,97.27,96.14
97.42,94.91,97.42,94.67
94.33,94.89,95.20,94.24
94.90,94.02,94.96,93.99
94.37,94.82,95.32,94.20
94.25,94.94,95.03,94.25
95.33,96.17,96.35,95.12
96.17,95.76,96.41,95.48
96.10,93.04,96.10,93.00
93.31,93.72,94.18,92.82
94.41,94.42,94.84,93.91
94.57,94.56,94.78,94.36
94.52,93.93,94.52,93.29
93.66,94.15,94.43,93.52
94.39,94.05,94.90,93.94
94.10,94.02,94.10,93.51
93.89,93.39,93.96,93.04
92.36,93.92,94.05,92.35
92.95,94.13,94.23,92.95
94.55,94.73,94.84,94.13
94.73,94.98,95.11,94.44
95.59,95.30,95.59,94.86
94.82,95.55,95.78,94.82
95.97,95.32,95.97,94.97
94.93,93.58,94.99,93.40
93.58,92.80,94.04,92.67
92.43,92.67,93.05,91.92
93.10,94.52,94.59,92.94
94.90,94.68,95.38,94.25
94.90,94.02,95.07,93.73
93.81,94.67,95.12,93.81
95.15,96.04,96.19,95.15
95.74,96.04,96.28,95.62
96.33,95.49,96.58,94.55
95.47,96.63,96.86,95.00
96.29,96.65,96.98,95.93
95.45,95.06,96.05,94.84
94.71,95.70,96.08,94.68
95.40,95.21,95.97,94.77
92.98,94.39,94.93,92.98
94.28,93.22,94.52,92.88
94.54,93.53,94.54,93.47
94.68,94.13,94.68,93.90
95.70,94.89,95.70,94.69
95.37,94.65,95.37,94.36
94.86,94.92,95.18,94.00
95.50,96.35,96.68,95.24
96.79,96.56,97.40,96.47
97.31,96.34,97.31,96.34
96.81,97.82,97.85,96.50
98.72,99.54,99.76,98.72
99.53,100.16,100.22,99.53
100.86,100.89,100.92,100.15
101.17,101.14,101.54,100.93
101.35,102.43,102.67,101.35
103.00,102.44,103.25,101.95
102.25,102.18,102.81,101.70
102.17,102.20,102.66,101.60
102.55,102.26,102.94,101.71
102.00,101.96,102.11,101.42
102.85,102.89,103.06,102.10
102.73,103.71,103.74,102.22
103.69,104.95,104.95,103.60
103.37,103.68,104.44,102.62
104.20,103.23,104.20,102.50
104.63,105.09,105.10,104.36
105.49,105.07,105.49,104.63
105.39,104.61,105.39,103.76
104.64,106.19,106.60,104.64
106.81,108.71,108.75,106.39
109.00,108.95,109.61,108.00
108.87,107.45,108.87,107.45
107.66,108.12,109.18,107.66
107.60,107.21,108.22,106.60
107.15,106.43,107.82,105.72
106.08,105.01,106.40,104.79
105.74,106.45,107.40,105.74
106.99,108.15,108.37,106.73
108.27,108.72,108.80,107.55
109.00,108.05,109.00,107.19
107.46,109.50,109.60,107.01
109.72,108.95,110.02,108.50
108.56,107.32,108.73,107.24
106.55,107.55,107.61,106.41
107.72,108.48,108.59,107.20
109.07,107.93,109.07,107.19
107.82,108.25,108.74,107.32
107.93,106.61,107.93,105.93
107.72,106.19,107.72,106.17
105.49,106.93,107.14,105.49
106.48,107.74,107.74,106.38
108.20,108.05,108.20,107.57
109.66,109.36,109.66,108.01
109.24,107.17,109.47,107.16
106.92,107.87,108.04,106.89
106.73,106.70,107.82,106.44
105.97,104.79,106.67,104.71
105.10,106.04,106.59,105.10
106.17,105.59,106.73,105.26
105.51,105.31,106.33,104.50
105.00,103.31,105.08,103.31
103.16,103.02,104.19,102.75
104.26,103.93,104.35,103.23
103.19,102.76,104.62,102.71
102.62,102.31,103.24,101.38
102.77,101.62,103.20,101.44
101.65,102.53,102.99,101.49
103.37,103.87,104.01,102.60
103.31,103.53,104.29,103.18
102.41,104.10,104.13,101.59
104.03,103.33,104.03,102.68
103.07,104.25,104.30,102.54
104.27,106.07,106.33,104.01
106.76,106.44,106.76,105.58
106.95,106.66,107.11,106.52
106.19,107.71,107.82,106.16
108.00,108.15,108.17,107.44
108.21,108.69,108.91,108.03
110.00,109.45,110.00,108.49
108.57,109.60,109.67,108.57
109.09,107.54,109.09,107.17
107.03,107.46,108.45,106.99
107.91,108.29,109.26,107.88
108.45,107.59,109.47,107.33
107.63,107.38,107.67,106.77
106.87,106.16,107.11,105.12
106.84,108.02,108.02,106.40
108.13,107.03,108.30,106.52
107.36,108.62,109.00,107.36
108.81,109.14,109.37,108.41
108.22,107.35,108.50,107.27
107.26,106.21,107.26,106.03
105.69,103.24,105.70,102.87
102.79,103.42,105.52,102.79
102.48,103.90,104.58,101.83
105.61,102.38,105.91,101.50
101.72,99.22,103.00,99.13
98.94,99.13,99.65,95.69
97.05,91.32,97.05,91.24
91.69,90.35,92.55,87.63
87.40,84.77,88.88,84.04
87.07,89.82,89.98,83.96
87.51,85.46,88.64,85.35
85.13,88.82,89.91,85.12
90.11,90.75,91.45,88.97
91.03,93.64,93.71,91.03
92.02,93.24,93.85,92.02
93.25,92.74,94.44,91.64
90.05,88.38,90.46,87.63
87.21,88.50,89.77,87.20
90.90,88.11,90.91,87.71
88.47,91.59,91.69,87.71
90.91,92.21,92.21,90.00
91.66,90.09,92.53,89.86
89.22,92.11,92.32,88.10
93.27,95.18,95.21,92.93
94.18,96.15,96.66,94.18
96.98,96.21,97.75,95.35
96.03,94.75,97.17,94.43
93.56,92.85,95.17,92.51
90.53,94.19,94.34,90.53
95.27,96.95,96.96,95.04
96.66,96.79,97.94,95.83
95.80,93.91,96.15,93.40
92.47,94.63,94.63,92.47
94.49,95.86,96.20,94.42
96.77,96.81,97.99,94.96
98.08,97.85,98.08,96.33
97.58,97.93,98.56,97.13
96.71,97.64,98.41,96.01
97.62,98.46,99.54,97.50
98.62,96.73,99.42,96.70
94.00,94.12,95.35,92.68
93.44,94.79,95.18,93.43
95.36,95.25,95.81,93.15
97.50,96.67,97.97,96.22
97.10,94.04,97.44,94.00
96.04,94.11,96.04,91.81
93.16,93.35,94.83,92.73
92.34,89.12,93.46,89.02
87.99,91.12,91.32,87.67
91.68,93.81,94.09,90.57
93.88,96.00,96.14,93.26
95.66,94.09,95.66,93.89
95.40,96.37,96.77,95.26
95.73,96.23,97.24,95.73
97.29,95.48,97.29,95.38
95.68,96.98,97.32,95.43
97.86,97.29,97.86,96.36
96.40,95.29,97.15,95.00
95.38,96.02,96.72,93.85
95.61,95.12,96.98,94.98
95.51,95.87,96.16,94.17
96.73,97.23,98.00,95.47
97.63,98.88,99.15,97.31
97.98,96.34,98.53,96.09
97.17,97.85,98.36,95.58
100.01,99.82,100.50,98.46
100.27,100.23,100.55,99.68
99.46,98.23,99.55,98.15
96.85,96.19,97.31,95.23
97.35,96.35,97.55,95.23
97.00,97.53,97.72,95.74
96.83,95.99,96.84,95.36
96.52,96.27,96.71,94.58
96.85,96.16,96.85,94.68
93.94,93.57,95.31,93.33
94.37,93.50,94.82,92.42
94.03,95.02,95.37,94.03
94.52,94.85,95.21,94.23
94.34,95.17,95.55,94.17
94.44,93.79,95.38,93.41
93.59,92.98,94.23,92.18
92.91,92.33,93.64,92.15
96.44,96.74,97.22,95.97
96.49,98.06,98.43,96.49
97.02,96.57,97.72,96.46
96.31,95.63,96.53,95.60
98.43,98.93,99.12,97.09
99.69,99.01,99.69,98.52
100.78,102.20,102.36,100.71
102.30,102.41,102.74,101.75
103.65,101.75,103.65,101.65
103.38,101.91,103.38,101.53
101.56,101.87,102.26,101.34
101.12,101.49,101.90,100.28
101.44,99.88,101.59,99.65
100.15,101.64,101.96,100.15
101.01,100.64,101.01,100.02
101.38,99.43,101.50,99.02
98.76,99.12,99.63,98.60
99.67,99.68,100.11,99.13
99.72,100.11,100.93,99.72
100.24,100.04,101.76,99.81
101.05,102.55,102.64,101.05
102.09,102.95,103.09,101.61
103.22,103.22,103.48,102.87
103.63,103.49,103.63,103.04
103.05,104.30,104.63,103.05
104.18,103.26,104.24,103.08
103.18,103.96,104.18,103.00
104.21,104.35,104.90,103.54
105.53,105.32,106.60,104.95
104.47,104.87,105.38,104.47
104.26,106.35,107.08,104.26
106.58,107.21,107.60,106.48
108.42,108.70,108.90,107.85
109.93,110.85,110.92,109.65
110.71,111.53,111.61,110.02
111.46,112.31,112.36,110.66
111.83,112.35,112.35,110.89
113.70,113.05,113.88,112.48
113.10,114.33,114.43,112.77
114.87,113.81,114.87,113.79
113.70,113.00,114.01,112.81
113.58,112.32,113.72,112.01
111.85,112.97,113.06,111.75
113.65,115.73,115.92,113.49
116.09,114.71,116.76,114.39
114.82,116.14,116.49,114.62
115.61,115.60,115.70,114.33
116.34,116.00,116.38,115.37
117.36,118.53,118.85,117.00
118.91,119.21,119.55,118.29
120.82,120.64,121.34,119.70
120.34,121.89,122.07,119.74
122.45,121.05,122.45,120.65
121.10,120.11,121.10,118.67
120.62,119.44,120.62,119.10
118.71,118.88,119.17,118.19
120.26,121.66,121.90,120.26
121.02,120.58,121.40,120.07
121.62,120.56,121.78,120.27
120.93,121.50,121.92,120.66
120.86,119.04,120.86,118.88
119.15,116.75,119.15,116.41
115.89,116.70,117.19,115.64
117.64,119.32,119.45,117.41
119.20,119.46,119.86,118.87
119.20,119.43,119.96,118.01
119.39,119.78,120.24,119.18
120.22,119.06,120.71,119.06
118.86,120.43,120.72,118.86
120.02,119.90,120.76,119.37
119.86,118.94,119.90,118.41
117.97,116.54,118.00,115.83
116.65,117.25,117.58,116.54
117.59,119.25,119.47,117.59
119.20,119.41,119.83,118.96
119.74,119.44,119.94,119.09
119.80,120.63,120.70,119.25
120.43,120.03,120.75,119.72
120.06,121.07,121.16,119.85
120.97,121.01,121.50,120.77
120.56,121.69,122.09,120.56
120.74,120.68,121.27,120.09
120.68,121.18,121.76,120.56
120.84,121.25,121.35,120.00
121.19,121.88,121.88,120.56
122.36,124.09,124.13,122.36
124.39,123.54,124.39,123.39
123.99,122.90,124.66,121.79
122.44,122.79,123.08,121.84
123.06,123.30,123.85,122.82
123.62,124.48,124.61,122.79
124.55,125.26,125.26,124.16
124.84,123.41,124.84,122.78
123.19,123.76,123.97,122.73
121.97,121.49,122.57,121.31
121.01,118.16,121.19,117.86
119.11,119.20,120.08,118.80
119.43,119.80,120.18,119.28
119.50,118.15,119.77,117.90
118.38,117.74,118.70,116.43
118.78,119.61,120.35,118.59
119.33,119.09,119.64,118.80
120.70,120.85,122.58,120.32
121.86,121.97,122.60,121.27
121.44,121.54,121.59,119.91
121.69,121.67,122.23,121.17
122.60,123.84,124.13,122.23
124.31,124.84,125.23,124.31
125.52,126.04,126.47,124.12
126.65,125.39,126.65,125.02
125.06,124.92,126.17,124.25
124.74,125.97,126.10,124.27
125.76,124.24,126.22,123.93
123.90,121.83,123.90,121.81
122.14,124.44,124.98,122.14
123.44,125.08,125.21,122.23
123.88,123.53,124.11,122.69
124.14,124.77,125.13,123.92
124.03,126.43,126.90,124.03
125.93,126.31,126.87,125.18
126.43,125.98,126.88,125.27
125.96,125.68,126.78,125.63
125.68,122.33,125.99,122.26
122.17,120.40,122.48,114.97
120.75,123.72,123.88,120.73
124.18,123.96,125.38,123.21
122.66,123.50,123.63,121.50
123.92,124.79,124.89,123.24
124.89,125.20,125.25,124.29
125.00,125.29,125.39,123.85
124.21,124.40,124.78,123.53
123.95,123.21,124.30,122.06
121.01,119.47,121.98,119.24
119.47,120.15,121.11,118.29
119.52,121.33,121.77,119.52
122.32,123.46,123.66,122.10
124.93,122.10,125.12,122.05
122.00,123.57,123.82,121.14
124.88,121.34,124.88,121.32
121.99,123.38,123.60,121.09
123.31,121.68,123.88,121.34
121.67,123.64,123.94,121.38
124.17,125.18,125.36,123.50
124.70,126.23,126.81,124.37
127.36,127.99,128.73,127.05
128.52,128.39,128.68,127.16
128.50,126.59,128.72,126.16
126.93,128.85,128.91,125.87
127.56,126.91,127.63,126.30
127.40,128.07,128.53,127.27
128.20,129.98,130.13,128.10
128.22,126.55,129.32,124.81
129.31,129.96,129.99,128.62
130.41,133.01,133.20,129.84
133.18,134.06,134.26,132.73
134.00,133.51,134.04,133.13
133.13,132.27,133.46,131.75
132.36,133.04,133.17,131.94
133.86,131.03,133.98,130.66
130.83,129.47,130.83,128.53
128.81,130.63,131.01,127.44
130.74,131.75,131.99,130.74
132.24,132.63,133.00,131.33
133.32,134.16,134.44,132.04
133.94,134.76,135.38,133.77
135.12,134.12,135.40,133.43
133.80,132.71,133.83,132.68
131.48,131.00,131.48,129.12
131.69,129.54,131.69,129.02
131.36,132.09,132.25,130.12
134.09,134.61,135.75,133.53
137.58,138.75,138.75,135.77
137.59,135.79,137.74,135.58
135.54,133.81,136.44,133.69
134.65,131.29,135.06,131.29
130.60,131.01,131.90,129.43
133.39,132.39,134.31,132.30
133.15,133.45,134.02,132.52
134.29,133.78,134.32,133.13
133.54,132.74,133.63,132.35
132.68,132.81,133.46,132.29
132.06,132.87,133.04,132.06
132.33,132.56,132.72,131.29
133.99,133.70,133.99,132.95
133.70,134.83,134.99,133.59
134.59,133.70,134.59,133.01
133.61,133.15,133.77,132.02
133.01,132.85,133.05,131.98
133.05,132.84,133.96,132.41
132.80,134.02,134.32,132.56
133.98,134.16,134.60,133.10
134.11,136.00,136.23,134.00
136.39,135.79,136.56,135.19
135.84,136.30,136.48,135.20
136.31,136.12,136.70,135.65
135.26,135.34,135.64,134.68
136.12,136.38,136.54,134.64
136.74,138.43,138.89,135.78
138.55,138.10,138.75,137.52
138.69,140.93,141.26,138.69
141.43,140.86,141.52,140.08
140.81,139.69,140.87,139.42
139.71,139.36,139.81,139.16
139.95,139.35,140.04,138.66
139.01,140.48,141.10,138.81
141.00,141.76,142.38,140.56
141.64,143.15,143.16,141.22
143.00,144.25,144.37,142.92
144.60,143.60,144.77,142.84
143.37,143.93,144.06,142.97
144.53,144.74,145.23,144.23
143.86,143.00,143.86,142.61
143.69,142.31,144.62,142.03
143.11,140.30,143.11,139.98
140.98,142.36,142.71,140.56
142.21,142.59,142.88,141.02
143.20,143.63,144.61,142.93
144.93,145.18,145.21,144.21
145.74,146.22,146.25,144.61
147.00,146.82,147.78,146.06
147.60,147.18,148.54,146.57
147.18,145.79,147.18,145.57
145.31,143.05,145.70,142.79
143.04,141.94,143.10,141.16
142.78,142.64,143.84,142.28
143.27,141.64,143.28,141.44
142.00,142.33,142.55,141.06
142.64,144.06,144.12,142.64
144.10,145.92,146.31,144.07
145.89,143.74,145.89,143.74
143.60,139.40,143.60,139.01
139.45,138.89,139.60,137.66
137.34,136.20,137.61,134.50
138.00,136.45,138.13,136.26
137.16,136.50,138.89,136.19
136.47,134.96,137.18,134.14
134.70,131.87,134.87,131.55
132.00,134.05,135.04,132.00
133.86,130.89,134.03,130.75
131.20,133.28,133.48,131.20
133.38,133.08,134.00,132.54
131.24,129.96,132.43,129.00
130.06,128.41,130.06,128.19
127.50,130.01,131.03,125.63
132.00,132.30,133.00,131.61
131.28,132.29,133.09,131.28
132.97,129.74,132.97,129.31
129.65,128.56,129.74,127.37
128.41,131.62,132.13,128.41
133.38,133.43,133.79,131.88
133.09,136.21,136.21,133.09
136.98,136.53,136.98,135.64
137.02,138.22,138.22,137.02
138.14,137.53,138.14,136.25
137.03,137.02,138.28,136.77
136.67,137.66,137.66,134.47
139.33,139.87,139.96,138.13
140.00,138.75,140.26,138.35
140.23,138.44,140.23,138.08
138.69,138.48,138.98,137.74
139.27,138.35,140.07,137.15
137.89,137.73,138.95,137.52
138.39,136.91,138.83,136.44
136.95,138.97,139.28,136.92
139.80,141.16,141.34,139.62
141.87,140.68,141.87,140.29
140.65,138.93,140.77,138.49
138.26,138.06,139.51,137.89
138.21,139.41,139.41,138.15
140.09,140.77,140.96,139.25
141.00,139.07,141.00,138.73
139.11,139.08,139.52,138.29
137.68,137.95,138.43,136.80
137.48,137.84,138.11,137.25
138.15,136.63,138.25,136.03
136.78,136.21,137.96,134.51
135.70,134.94,136.40,134.78
134.91,137.22,137.26,134.21
140.31,141.62,141.72,139.47
141.62,141.77,142.72,140.97
141.74,142.62,143.26,141.74
141.82,143.54,143.63,141.76
143.33,144.36,144.46,142.79
144.80,146.31,146.31,144.24
147.37,146.64,147.37,144.82
146.90,145.48,146.90,144.80
145.47,145.82,145.90,145.01
145.43,146.07,146.30,144.41
145.98,144.42,146.23,144.41
145.00,144.52,145.00,143.57
145.28,144.78,145.29,143.75
145.41,145.48,145.65,143.86
145.65,144.51,145.88,144.34
145.09,144.69,145.98,143.98
145.15,146.04,146.12,144.36
146.79,145.49,146.79,145.33
145.45,146.20,146.28,144.57
146.33,145.04,146.39,144.85
144.96,145.58,146.16,144.52
146.41,147.77,148.42,146.39
147.33,145.67,147.62,145.40
146.00,147.26,147.40,146.00
147.48,146.63,147.78,145.97
146.42,145.20,146.74,144.20
145.91,146.53,146.85,145.55
147.13,146.12,147.70,145.86
146.17,145.47,146.30,145.38
146.20,146.39,146.50,145.40
146.50,146.05,146.71,144.67
146.00,145.76,146.04,145.16
145.66,146.14,146.25,145.05
146.14,144.91,146.96,144.91
144.08,143.74,144.84,143.15
144.44,146.03,146.03,144.42
146.12,144.37,147.24,144.24
144.53,144.46,145.04,143.25
144.83,146.69,147.43,144.45
146.68,147.79,148.63,146.68
146.49,149.57,149.60,146.45
149.19,151.27,151.47,148.75
152.38,153.23,153.70,152.00
154.59,154.48,154.59,153.51
154.50,154.37,154.78,153.95
154.51,155.66,155.77,154.05
155.97,156.10,156.10,155.47
156.10,156.68,156.71,155.37
156.51,156.11,156.58,155.42
156.51,156.97,157.00,156.13
157.25,155.89,157.25,155.71
154.02,154.91,155.60,153.07
155.41,154.58,156.08,153.72
155.04,156.05,156.58,155.04
155.76,154.99,156.00,154.42
154.45,156.09,156.11,154.45
156.70,155.09,156.76,154.41
155.92,155.65,156.33,154.90
155.36,157.77,157.81,154.39
157.97,159.93,160.19,157.90
160.51,159.56,161.25,158.75
160.86,162.19,162.76,160.13
163.46,159.48,163.46,158.53
160.00,160.18,160.90,158.73
158.83,159.94,160.12,157.18
160.21,160.35,160.35,158.56
161.11,160.95,161.90,160.18
161.71,165.30,165.30,161.61
165.96,167.43,167.99,165.70
166.87,169.20,169.26,166.85
169.01,164.68,169.34,164.39
167.09,167.94,167.96,165.02
167.90,167.12,167.90,164.19
167.80,164.95,167.82,163.41
169.12,172.58,172.68,168.08
173.98,173.97,174.38,172.59
175.00,174.78,177.07,173.50
173.57,169.67,173.62,169.50
171.37,173.14,173.25,170.62
173.64,173.13,174.50,172.00
174.00,173.47,174.61,173.00
173.22,172.31,173.56,170.45
172.56,171.17,174.16,170.81
172.43,173.99,174.80,172.07
176.81,176.62,179.04,176.37
177.46,175.95,177.61,175.01
176.90,174.52,176.90,174.18
175.10,174.78,175.96,173.52
174.50,174.89,176.10,174.50
175.60,180.02,180.07,174.89
180.02,183.04,183.28,179.36
183.22,186.18,186.34,183.10
186.18,184.02,186.98,182.87
184.96,180.23,184.96,179.32
181.28,182.01,182.10,179.75
182.33,179.76,182.99,179.42
180.10,181.54,182.20,179.36
182.27,180.98,186.40,179.26
178.50,181.27,182.23,174.99
180.89,180.74,180.94,178.93
183.48,183.03,184.96,181.66
181.85,181.07,182.30,179.52
181.49,183.23,184.07,180.81
183.13,179.50,183.57,179.50
179.56,177.43,179.76,173.06
177.69,174.21,178.35,173.30
173.40,170.26,176.04,169.21
170.12,175.18,175.36,170.12
176.29,179.19,179.39,176.03
180.30,178.28,180.30,176.99
176.90,178.40,180.11,175.53
179.55,174.43,180.03,174.33
174.20,176.83,177.25,173.16
176.83,175.69,177.32,174.81
176.90,174.19,177.56,173.52
173.98,176.55,177.02,173.53
176.67,173.02,177.05,172.96
