WLK,Westlake Chemical Corporation Common Stock,NASDAQ
26.02,26.51,26.51,25.90
26.53,27.59,28.09,26.38
27.51,27.73,27.87,27.44
27.55,27.75,27.94,27.45
27.51,27.35,27.61,27.04
27.32,27.85,28.07,27.26
28.00,28.00,28.05,27.81
28.00,28.11,28.18,27.74
28.22,28.01,28.34,27.81
27.90,27.96,28.44,27.81
27.93,27.80,28.13,27.23
27.64,27.63,27.85,26.87
27.69,28.23,28.34,27.69
28.18,28.50,28.51,27.88
28.12,28.55,28.57,28.04
28.60,29.77,29.87,28.43
29.82,29.62,30.10,29.51
29.38,28.56,29.92,28.44
28.89,29.17,29.42,28.87
29.31,29.39,29.55,29.00
29.48,28.08,29.48,28.03
28.14,29.10,29.18,28.00
26.60,24.14,26.60,23.86
24.00,23.62,24.01,22.55
23.59,22.53,24.98,21.37
22.46,22.29,22.90,21.82
23.90,23.87,23.96,23.12
23.54,23.39,24.27,23.36
23.42,23.82,24.09,23.42
23.76,23.52,24.13,23.35
23.15,22.88,23.15,22.52
23.10,22.72,23.63,22.01
23.08,22.06,23.31,22.01
22.00,21.78,22.00,21.40
21.05,20.51,21.35,20.39
20.03,20.64,20.91,19.64
20.68,20.55,21.07,20.33
20.08,20.70,20.77,19.67
20.94,20.69,21.48,20.50
21.26,21.82,21.82,20.90
21.69,21.21,21.83,21.00
20.76,20.06,21.01,20.03
20.14,20.54,20.54,19.43
20.68,20.38,20.83,20.01
20.00,19.08,20.00,19.00
19.26,18.67,19.75,18.61
18.71,19.03,19.15,18.36
19.15,18.84,19.63,18.66
19.13,19.11,19.22,18.87
18.85,19.22,19.22,18.78
19.53,19.36,19.99,19.27
19.64,20.33,20.43,19.50
20.18,19.70,20.30,19.62
19.86,19.47,19.94,19.36
19.62,20.39,20.49,19.50
20.75,19.84,21.12,19.65
19.86,19.57,20.27,19.50
19.44,19.45,19.72,19.30
19.24,18.55,19.34,18.53
18.74,19.50,19.52,18.39
19.51,19.58,19.90,19.10
19.17,19.06,19.20,18.59
19.08,18.57,19.33,18.43
18.43,18.07,18.70,17.77
18.17,18.12,18.31,17.87
18.73,17.56,18.73,17.42
17.69,18.26,18.26,17.34
18.61,21.52,21.80,18.61
21.51,22.53,22.55,21.21
22.49,22.31,22.81,22.00
22.68,23.72,24.00,22.58
23.36,23.44,23.63,22.69
23.50,23.54,23.89,22.73
23.27,22.63,23.27,22.19
22.73,22.34,22.73,21.95
21.96,22.68,22.74,21.73
23.01,23.13,23.63,22.62
23.58,23.64,23.87,23.31
23.58,24.51,24.70,23.51
24.48,24.73,24.83,24.22
25.00,24.91,25.22,24.73
24.77,24.61,25.10,24.48
24.70,24.79,25.50,24.44
24.30,24.74,25.29,24.15
25.49,26.46,26.56,25.36
26.72,25.38,26.87,24.84
25.69,28.35,28.67,25.69
27.97,28.19,28.92,27.67
27.70,27.90,28.33,27.32
28.17,28.68,29.06,27.73
28.36,27.93,28.53,27.67
27.20,27.34,27.56,26.68
26.78,27.60,27.92,26.74
27.57,27.71,27.92,27.17
27.64,28.37,28.77,27.48
28.61,27.96,28.62,27.72
27.74,27.47,27.98,26.79
27.42,26.35,27.47,26.04
26.02,26.05,26.16,25.40
26.33,25.74,26.59,25.74
25.37,24.96,25.38,24.89
24.82,25.37,25.61,24.68
25.45,25.38,26.21,25.34
25.86,26.59,26.71,25.46
26.37,25.51,26.40,25.49
25.44,25.92,26.28,25.20
26.35,27.61,27.74,26.29
27.32,27.26,27.83,26.81
27.73,27.36,27.94,27.25
27.23,26.60,27.27,26.57
26.64,27.18,27.53,26.64
27.66,26.83,27.71,26.75
26.86,27.18,27.49,26.86
27.54,28.65,28.90,27.34
28.61,28.30,28.90,28.28
28.20,28.44,28.54,27.66
28.50,28.94,29.32,28.50
29.20,29.47,29.71,28.80
29.50,30.10,30.39,29.26
29.94,29.80,30.13,29.54
29.75,29.44,30.05,29.25
29.09,28.60,29.81,28.47
29.12,30.02,30.13,29.12
30.12,29.74,30.16,29.65
29.92,30.01,30.21,29.09
30.11,30.13,30.19,29.89
30.34,29.93,30.74,29.44
30.36,30.91,30.96,29.91
30.90,30.45,31.85,30.10
30.92,31.68,31.86,30.63
31.48,29.52,31.48,29.24
29.91,30.61,30.66,29.39
30.77,31.75,32.03,30.77
31.82,32.37,32.98,31.82
32.36,31.62,32.36,31.33
31.81,32.44,32.60,31.62
32.48,31.75,32.49,31.54
32.13,31.82,32.28,31.39
31.97,32.14,32.37,31.90
31.56,32.18,32.40,31.34
32.52,32.29,32.64,32.17
32.39,32.24,32.64,31.57
32.45,31.71,32.47,31.59
31.93,32.27,32.50,31.74
31.95,32.29,32.41,31.67
31.98,32.12,32.24,31.37
32.33,31.98,32.52,31.78
31.81,31.96,32.20,31.67
32.14,32.00,32.74,31.57
32.44,32.82,32.85,32.08
32.69,33.77,35.15,32.69
34.80,36.07,36.62,34.71
36.15,36.17,36.32,35.90
36.36,37.82,38.30,36.16
37.86,36.93,37.99,36.60
36.93,37.56,37.82,36.26
37.09,37.10,37.50,36.94
36.74,36.58,37.02,36.35
36.83,36.53,37.30,36.26
36.20,35.10,36.63,34.67
35.04,35.86,36.23,34.81
36.36,37.21,37.65,36.16
37.19,38.49,38.61,36.69
38.38,38.46,38.67,37.45
37.95,36.96,37.95,36.68
37.13,38.30,38.35,37.13
38.00,38.12,38.53,37.71
37.74,37.76,37.94,36.84
37.20,37.76,38.02,37.11
38.53,38.47,38.68,38.08
38.58,38.71,38.81,38.26
38.47,38.63,38.73,38.11
38.64,39.87,40.10,38.52
40.43,40.26,40.50,40.04
40.29,40.23,40.79,40.14
40.62,40.40,40.74,40.06
40.58,40.61,41.20,40.14
40.73,40.52,41.05,40.45
40.73,40.93,41.39,40.69
40.91,40.81,41.40,40.64
40.95,42.48,42.49,40.81
42.41,42.47,42.69,42.02
42.47,42.66,42.85,42.38
42.94,43.30,43.34,42.94
43.35,43.56,43.66,43.20
43.59,43.52,43.77,43.32
43.41,43.35,43.54,43.02
43.42,43.38,43.61,43.26
43.56,43.59,43.75,43.50
43.57,43.49,43.75,43.42
43.49,43.47,43.93,43.34
43.92,43.83,44.12,43.44
44.16,43.94,44.16,42.81
43.80,43.08,43.80,42.94
42.96,42.70,42.96,42.33
42.84,42.50,42.93,41.59
42.34,42.94,43.31,42.03
42.99,42.80,43.14,42.47
43.40,43.22,43.40,42.77
43.14,43.30,43.86,43.08
43.30,43.30,43.40,42.87
43.17,43.60,43.67,42.87
43.24,42.60,43.57,42.49
42.27,40.88,42.37,40.85
41.11,40.58,41.19,40.45
40.50,40.19,40.75,40.05
39.31,39.74,39.83,38.19
39.92,40.02,40.50,39.45
40.08,40.20,40.69,39.78
40.15,38.55,40.25,38.52
38.74,38.72,39.38,38.55
39.04,40.85,40.97,38.84
40.67,39.92,40.67,39.81
39.86,40.06,40.49,39.70
40.14,42.02,42.12,40.14
42.11,43.74,44.12,42.04
43.80,43.35,43.80,42.80
43.29,42.50,43.29,42.06
42.05,43.31,43.45,42.00
43.31,43.73,43.82,43.16
43.62,44.00,44.00,43.24
43.84,43.64,43.96,43.45
43.99,44.39,44.49,43.93
43.54,46.05,46.12,43.26
46.06,45.95,46.39,45.27
45.53,48.29,49.91,45.53
48.13,47.12,48.97,46.50
46.64,45.69,47.44,44.60
46.01,46.79,46.96,45.96
47.78,47.81,48.40,47.21
47.89,46.73,48.47,46.52
46.80,48.00,48.35,46.54
48.23,48.91,49.70,48.22
49.05,49.37,49.77,48.65
49.67,49.00,50.25,48.46
49.01,50.16,50.47,48.50
50.21,49.44,50.31,49.39
49.00,47.58,49.23,47.29
47.23,48.53,48.65,46.81
49.53,50.06,50.64,49.16
48.94,49.98,50.47,47.77
50.16,49.25,50.30,48.46
50.20,50.04,50.43,49.15
50.70,49.79,51.51,49.61
50.71,52.29,52.30,50.17
52.48,52.06,52.56,51.78
51.86,52.97,53.30,51.50
53.20,53.16,53.47,52.83
53.37,54.77,54.92,53.30
54.82,54.05,55.93,54.01
54.10,55.07,55.46,54.09
55.47,55.79,56.27,55.10
55.84,56.20,56.48,55.54
56.87,56.54,57.36,56.26
56.80,57.06,57.30,56.55
56.50,56.89,57.01,55.65
57.44,57.60,57.67,56.14
57.65,59.12,59.26,57.58
59.58,60.04,60.07,59.25
60.25,57.95,60.44,57.45
57.41,57.55,58.50,56.91
58.29,59.10,59.18,57.04
58.60,59.31,59.40,58.07
59.29,60.66,60.91,59.29
59.71,59.82,60.19,58.65
60.02,60.01,60.04,59.51
61.05,62.73,62.95,60.48
63.23,64.46,64.71,62.87
64.47,64.85,65.26,64.00
65.34,66.18,67.50,65.34
66.52,65.77,66.90,65.06
65.86,65.07,65.89,64.06
65.40,65.65,66.38,65.23
66.17,65.97,67.77,65.68
65.83,59.54,65.83,58.86
59.56,58.92,60.33,58.58
58.71,58.44,59.94,57.39
59.33,59.65,61.18,59.04
60.05,59.83,60.56,59.13
60.18,60.72,61.28,60.00
60.62,58.20,60.62,57.21
57.97,57.10,58.43,56.42
57.75,58.02,59.31,57.41
57.59,54.37,57.97,54.33
54.01,53.58,54.13,52.48
53.81,55.09,55.24,53.55
55.82,55.46,56.39,54.99
55.13,53.80,55.31,53.70
52.45,51.73,52.45,51.22
52.09,51.19,52.90,50.91
51.02,55.00,55.42,51.00
54.75,56.08,57.15,54.31
56.34,55.75,57.20,55.40
56.92,56.10,57.54,55.65
56.13,54.71,56.36,54.61
54.61,55.45,55.79,53.84
54.31,53.08,54.31,52.98
53.14,53.15,54.10,52.80
53.58,53.34,54.19,52.57
53.12,51.42,53.12,51.30
51.58,52.04,52.69,51.27
51.60,51.31,52.00,51.05
51.51,50.51,51.78,50.37
51.36,52.81,53.71,51.36
51.90,50.72,52.49,50.56
50.78,48.85,51.11,48.04
49.35,48.76,50.44,48.69
48.59,49.16,49.41,47.87
49.66,51.95,52.33,49.66
51.66,52.40,53.01,51.43
51.30,52.00,52.10,48.59
52.20,51.18,52.38,50.63
50.99,51.61,52.21,50.49
52.08,51.55,52.08,50.57
51.97,52.47,53.11,51.04
52.51,51.90,52.79,51.61
52.14,52.80,52.93,52.11
52.70,53.27,53.80,52.48
52.98,54.07,54.17,52.50
54.64,54.91,55.43,54.64
53.70,54.51,54.68,53.22
53.31,52.15,53.71,52.03
51.78,50.86,51.93,50.74
51.36,51.51,52.29,51.15
51.90,50.64,52.07,50.42
51.02,51.38,51.40,50.24
51.19,51.10,51.40,50.71
51.53,51.77,52.13,51.25
51.75,52.34,52.37,51.28
52.55,53.99,54.51,52.39
53.73,53.36,53.79,53.01
52.34,52.30,53.12,51.99
52.27,51.53,52.74,51.07
51.17,50.23,51.40,49.80
50.14,50.00,51.21,49.95
49.75,51.75,51.88,49.01
52.67,52.67,52.84,51.85
51.77,47.51,53.67,47.24
47.50,47.35,47.60,45.56
46.28,43.06,46.35,43.00
44.11,43.59,44.48,41.24
39.81,37.19,40.31,35.53
38.17,40.63,40.64,37.89
39.45,39.18,41.28,39.16
39.60,40.75,41.63,38.89
41.15,42.75,43.61,40.56
43.13,43.42,43.45,42.55
42.69,41.98,42.98,41.71
42.45,41.70,43.22,41.42
40.06,39.29,40.20,38.55
38.45,37.81,39.88,37.72
39.13,38.20,39.36,38.00
38.44,40.98,40.98,38.15
40.76,41.17,41.72,39.77
41.60,40.75,41.95,40.20
40.35,42.27,42.45,39.45
43.11,44.63,44.64,43.11
44.35,44.64,44.97,43.75
44.90,45.95,46.38,44.61
45.81,43.72,46.39,43.70
42.34,41.61,42.80,41.42
39.64,41.15,41.22,39.64
42.11,43.35,43.38,42.06
42.95,42.69,44.39,42.38
42.07,40.28,42.42,40.04
39.77,39.72,40.76,38.87
39.76,41.98,42.30,39.69
42.38,42.20,42.97,40.78
42.89,43.52,43.84,42.83
43.55,42.75,43.55,42.21
41.77,42.20,42.50,40.69
42.34,41.80,42.94,41.59
41.73,39.50,41.74,39.33
37.75,36.49,38.69,35.97
36.40,36.42,37.38,36.10
36.88,37.54,37.64,35.60
39.05,38.53,39.96,38.16
38.69,36.65,39.20,36.58
37.74,36.30,37.74,35.29
35.62,34.28,35.62,34.19
33.87,32.31,35.00,32.31
31.91,34.35,34.36,31.26
34.47,35.63,35.94,34.05
35.59,37.09,37.09,35.15
37.42,35.86,37.56,35.21
36.79,38.27,38.45,36.79
37.75,38.23,39.11,37.75
38.49,38.23,38.85,37.88
37.83,36.82,38.01,36.29
37.63,39.02,39.25,37.39
38.63,38.39,39.04,37.87
38.17,38.49,39.40,37.42
38.53,36.39,38.65,36.28
36.52,35.93,36.69,34.91
36.78,37.63,37.85,36.16
37.74,38.42,39.00,37.60
38.21,37.84,38.72,37.79
38.73,39.55,39.74,37.80
41.46,42.74,43.39,41.38
42.46,43.14,43.28,42.20
42.17,41.21,42.90,41.19
38.05,38.27,40.19,35.16
39.41,38.77,39.66,38.20
39.44,40.10,40.67,38.38
39.45,39.79,40.21,38.87
39.66,39.34,39.82,38.26
39.80,40.15,40.35,38.59
39.49,40.15,40.63,39.05
41.00,41.43,41.72,40.56
42.32,43.63,44.00,42.11
43.23,43.63,44.22,43.21
43.25,43.59,44.13,42.99
42.92,43.36,43.84,42.63
43.17,42.65,43.65,42.03
42.95,41.37,42.95,41.36
40.52,40.37,40.77,39.62
40.31,39.85,40.97,39.64
39.42,38.20,39.68,38.15
37.95,38.05,38.80,37.95
39.94,39.84,40.55,39.50
40.00,39.35,40.00,39.09
41.01,42.00,42.30,40.38
42.06,41.27,42.29,41.13
41.96,41.54,42.29,41.04
42.47,42.29,42.70,41.91
42.20,42.63,42.82,41.80
42.23,42.49,42.69,41.85
41.97,40.48,41.97,40.40
40.54,41.03,41.32,39.96
40.37,39.59,40.37,39.05
39.93,39.01,40.44,38.67
38.43,38.69,39.12,38.32
39.35,38.57,39.45,38.17
39.06,38.79,39.90,38.34
38.94,37.76,39.14,37.68
38.83,39.13,39.86,38.49
38.98,39.41,39.60,38.86
39.50,39.49,39.65,39.22
39.56,39.85,40.14,39.54
39.56,40.37,40.56,39.53
40.24,38.96,40.28,38.79
38.94,40.05,40.17,38.80
40.01,40.24,41.03,40.00
41.10,40.86,41.76,40.72
40.71,42.03,42.17,40.38
41.60,42.53,42.90,41.03
42.49,42.66,43.01,42.05
42.91,43.59,43.73,42.80
43.93,46.05,46.09,43.87
46.00,48.17,48.39,45.55
48.27,51.24,52.44,48.06
50.35,53.87,55.65,49.76
54.68,56.34,56.50,53.83
56.29,56.01,57.78,55.85
56.11,55.68,56.73,54.20
55.85,56.69,56.79,55.61
56.38,55.98,56.89,55.49
55.69,57.27,57.40,55.46
57.45,57.86,57.99,56.78
57.80,56.85,58.00,56.57
55.89,56.96,57.40,55.69
56.38,57.20,57.33,56.04
57.47,58.45,58.57,57.04
57.50,59.95,60.00,57.13
59.75,58.33,59.97,57.98
59.03,59.22,59.92,58.93
58.96,60.41,60.46,58.71
60.40,60.90,60.99,59.65
60.89,59.71,61.53,59.23
60.00,59.39,60.14,59.30
58.81,58.46,59.00,57.14
59.08,59.65,59.86,58.10
57.30,57.52,58.75,56.50
57.86,58.06,58.39,57.06
57.98,60.21,60.30,57.94
60.21,60.49,60.67,59.54
61.00,58.00,63.41,57.25
57.57,58.08,58.44,57.08
58.06,58.00,58.58,57.06
57.50,57.64,58.21,57.26
57.79,61.04,62.25,57.70
61.60,61.54,62.18,60.87
61.61,60.23,61.90,59.98
60.34,60.02,60.48,59.67
60.01,60.54,61.06,59.93
60.05,58.19,60.05,57.49
57.32,56.29,57.32,56.09
56.62,57.85,57.96,56.62
58.42,60.28,60.44,58.42
60.31,61.49,61.71,60.31
61.71,61.75,61.96,61.21
62.17,65.69,66.92,62.15
65.74,64.46,65.86,63.89
64.73,64.86,65.34,63.88
64.95,65.25,65.74,64.57
65.05,64.94,65.33,64.76
64.06,63.95,64.35,63.83
64.33,65.21,65.36,63.76
64.42,62.93,64.65,61.76
63.26,64.21,64.61,63.02
64.91,65.72,65.82,64.48
65.51,66.17,66.74,65.28
66.00,64.96,66.00,63.49
64.29,64.67,64.80,63.07
65.52,64.79,65.56,63.78
64.80,65.62,65.91,64.62
65.41,64.74,65.69,64.26
63.66,63.39,64.33,63.02
63.07,62.52,64.39,62.52
60.83,62.11,62.18,60.67
61.98,59.87,62.31,59.71
60.53,59.85,60.65,59.44
60.05,61.12,61.65,59.96
61.00,60.41,61.06,60.02
61.10,60.41,61.34,59.81
60.86,61.45,62.66,60.86
61.29,60.79,61.56,60.39
60.99,60.43,61.00,59.59
60.90,61.02,62.09,60.43
59.96,61.23,61.36,58.87
61.03,60.30,61.29,59.39
61.19,62.40,62.47,61.18
61.90,63.89,63.95,60.85
63.98,65.32,65.42,63.75
64.50,63.95,64.61,63.02
60.99,61.93,65.14,60.99
61.31,60.45,61.50,60.02
60.85,59.69,61.04,59.44
59.22,56.70,59.34,56.41
56.26,57.50,57.63,55.15
56.77,56.86,57.13,55.42
55.83,56.94,57.15,55.49
57.59,57.70,58.26,57.07
57.01,58.18,58.62,56.65
57.10,56.48,57.40,56.40
56.58,55.28,56.75,54.62
55.66,54.66,56.34,54.44
54.57,51.60,54.57,51.15
52.09,51.45,52.95,51.28
51.45,53.11,53.80,51.26
53.61,53.67,54.40,52.84
52.81,54.09,54.38,51.96
55.58,55.75,55.89,54.11
55.79,55.84,56.14,54.86
56.52,57.62,57.70,56.38
56.84,55.21,56.84,55.05
55.08,54.49,55.42,53.28
53.02,49.86,53.02,49.65
50.13,48.90,50.13,48.45
48.63,49.90,50.32,48.63
50.75,51.91,52.67,50.73
52.86,52.01,53.60,51.73
51.62,51.70,51.96,50.60
52.55,50.04,52.55,49.98
50.25,52.43,52.55,50.08
51.97,49.79,51.97,49.26
49.88,48.68,50.01,48.13
48.83,50.11,50.19,48.75
49.53,51.11,51.32,49.20
51.41,52.85,53.15,51.41
53.04,52.13,53.28,51.97
52.14,49.70,52.58,49.44
50.19,51.15,51.32,49.07
50.03,49.63,50.24,49.28
49.93,49.99,50.70,49.54
50.22,50.69,50.93,49.92
49.83,50.52,50.77,49.52
52.18,52.26,52.41,51.41
52.64,52.11,52.90,50.85
52.22,53.57,53.82,52.12
53.66,55.07,56.22,53.39
54.16,54.05,54.55,53.42
55.19,55.37,55.85,54.24
55.73,54.37,55.99,53.94
54.44,54.01,54.62,53.50
53.29,53.94,54.43,52.43
54.17,55.08,55.35,54.00
54.82,55.15,55.32,54.41
55.16,56.68,56.90,54.97
56.18,58.29,58.45,56.18
58.83,58.79,59.69,58.30
57.89,58.08,58.23,57.53
56.27,57.29,57.48,55.63
57.51,56.60,57.63,56.01
57.10,56.66,57.45,56.09
57.52,57.46,57.97,56.75
58.36,60.86,61.00,58.31
60.88,60.17,60.88,59.86
60.08,59.36,60.52,59.34
60.00,59.44,60.07,59.20
59.50,64.16,64.75,58.64
65.00,66.06,66.68,65.00
65.87,68.10,68.40,65.85
68.69,68.94,69.86,68.39
69.00,68.00,69.07,67.96
68.00,67.05,68.03,66.73
67.14,66.78,67.30,66.17
66.80,66.51,66.94,65.49
67.11,66.69,67.32,66.36
66.48,66.93,67.13,66.23
67.08,68.33,68.87,66.95
68.22,68.62,69.10,68.22
68.97,69.30,69.46,68.31
69.55,68.90,70.15,68.83
68.66,69.66,69.80,68.46
69.38,69.13,69.64,68.78
69.09,69.50,69.69,68.91
67.06,68.95,69.04,66.53
68.20,68.81,69.20,68.01
68.76,69.26,69.89,68.21
69.01,68.36,69.61,68.17
69.10,68.78,69.14,68.02
69.03,69.35,69.54,68.38
69.49,69.30,69.62,68.71
68.50,71.47,72.14,68.25
71.94,71.43,71.94,70.20
71.03,71.20,71.85,71.03
71.40,71.29,71.60,70.64
71.70,72.26,72.30,71.57
72.23,74.05,74.65,72.03
74.53,75.51,76.45,74.27
75.36,74.30,75.42,73.95
74.50,74.10,75.12,73.33
74.49,75.14,75.55,74.34
74.40,74.75,74.83,73.50
75.58,75.23,76.46,75.22
74.81,74.53,75.04,73.89
75.00,72.67,75.22,72.59
72.60,71.95,73.00,71.24
72.63,73.15,73.27,72.13
72.95,73.06,73.21,72.26
74.11,73.84,74.67,73.42
74.20,74.40,74.40,72.96
74.42,73.95,74.50,73.56
74.40,75.04,75.24,73.96
75.47,75.77,76.29,75.40
75.28,74.79,75.65,74.40
75.00,74.46,76.10,73.72
74.32,72.10,74.47,71.69
73.15,72.01,73.53,71.75
72.23,70.98,73.25,70.90
70.80,72.18,72.32,70.00
72.58,77.78,80.49,72.58
77.22,77.66,78.93,76.60
77.21,77.50,77.83,75.42
77.21,75.50,77.21,75.11
75.16,75.52,76.20,75.08
73.77,74.72,75.39,72.37
75.55,76.04,77.08,74.17
76.48,75.57,77.41,74.75
75.99,76.93,77.96,74.81
77.47,76.06,77.94,75.69
76.30,79.36,79.78,75.94
79.36,77.90,79.85,77.75
77.98,79.22,79.36,77.68
79.79,79.60,80.17,79.37
77.91,78.35,79.67,77.83
77.46,77.45,79.17,74.89
76.78,77.11,78.99,76.44
77.12,76.88,77.78,75.80
75.08,76.13,76.95,72.99
76.51,73.40,76.93,73.13
73.04,70.00,73.28,69.87
71.09,72.43,72.70,70.29
74.02,74.53,75.04,73.04
74.07,73.83,74.93,73.17
74.04,74.10,74.10,73.37
74.90,75.90,76.63,74.60
75.38,74.75,76.00,74.16
70.81,70.11,71.59,69.84
70.12,71.31,71.35,69.01
71.91,72.65,72.99,71.65
72.62,72.41,72.95,71.95
73.40,72.57,73.79,72.02
72.59,72.31,73.41,71.72
72.11,72.80,73.24,71.87
72.02,72.52,73.00,72.02
72.72,75.95,76.14,72.59
75.79,77.21,77.26,75.68
78.19,77.13,78.20,76.21
77.67,77.23,77.67,76.78
77.06,76.76,77.53,76.20
76.39,78.28,78.49,76.38
78.64,78.89,79.16,78.40
79.39,80.09,80.23,78.89
80.10,78.67,80.23,78.52
78.51,78.61,78.64,77.45
76.64,78.53,78.91,76.51
78.50,80.01,80.04,78.25
80.00,79.65,80.45,78.85
79.60,78.60,79.91,77.14
77.95,77.39,78.52,77.26
77.31,79.30,80.00,77.31
81.60,83.20,83.86,81.42
83.13,81.74,83.23,81.48
82.05,82.79,82.99,81.79
82.57,82.93,83.00,82.32
82.88,83.30,83.52,81.94
83.68,84.75,85.11,83.20
84.89,85.89,86.32,84.00
85.50,85.39,85.62,84.73
85.48,85.90,86.16,85.25
85.72,85.34,85.88,84.38
84.95,84.68,84.95,84.04
85.47,86.05,87.02,85.22
86.37,86.59,86.77,85.21
86.75,86.78,87.05,85.92
87.03,87.23,87.43,86.11
87.31,88.44,89.15,87.31
89.08,88.14,89.32,87.60
88.60,88.06,88.90,87.76
88.31,89.62,89.92,88.15
89.59,89.52,89.98,89.14
88.98,91.86,94.06,88.38
92.25,91.78,93.28,91.00
91.19,89.48,91.19,89.30
90.19,90.64,91.15,90.01
90.18,90.67,90.79,89.87
91.16,91.20,91.23,89.13
92.27,92.19,93.33,91.57
92.19,90.93,92.19,90.67
90.75,91.23,91.53,89.90
92.05,92.75,93.65,91.78
92.15,91.80,92.86,91.46
91.83,91.83,92.30,90.49
92.75,92.58,93.88,91.61
92.92,87.05,93.51,86.92
86.74,85.79,86.90,84.00
86.28,88.02,88.24,85.80
88.65,84.78,88.93,84.78
85.44,85.37,86.03,84.63
83.51,86.42,87.41,83.51
86.43,86.22,87.33,85.99
86.77,87.82,88.67,84.85
87.52,87.68,88.21,86.83
87.95,88.25,89.21,87.68
88.61,91.04,91.20,88.61
92.10,91.07,92.10,90.38
91.75,93.86,94.00,91.55
93.24,93.79,93.94,92.09
93.85,94.85,95.92,93.84
95.33,94.74,95.33,94.22
95.22,96.59,96.93,95.15
96.49,97.18,97.23,95.63
95.62,95.55,96.31,95.00
95.93,95.87,95.96,93.99
96.77,97.21,97.83,96.46
96.63,94.44,98.27,94.17
94.78,94.05,95.56,93.78
94.78,94.63,96.58,93.23
95.31,94.73,96.00,93.77
94.07,93.65,94.07,92.25
93.41,93.50,94.68,92.75
93.01,89.99,93.15,89.63
90.73,86.92,90.94,86.56
87.20,86.19,87.22,84.24
86.09,86.71,87.62,85.36
84.91,85.92,86.30,83.51
85.92,85.49,86.19,83.96
85.93,86.76,87.72,85.72
87.21,86.31,87.21,85.40
86.27,87.51,88.28,85.85
86.69,84.12,86.90,83.88
83.28,79.06,83.62,78.81
80.17,82.17,83.26,79.82
80.94,80.82,81.45,79.99
80.82,78.84,81.07,76.71
79.62,82.29,82.71,79.36
82.74,83.42,84.29,81.15
83.68,83.53,83.96,82.58
83.64,86.14,88.34,83.24
86.75,88.10,88.98,86.75
87.75,84.47,88.16,83.95
84.95,84.05,85.47,83.08
83.70,83.14,83.96,82.54
82.76,78.62,83.08,78.45
79.42,80.52,80.91,78.62
81.63,82.45,84.26,81.29
87.00,88.94,89.29,84.65
90.06,91.45,92.35,87.56
89.80,91.50,91.62,89.23
91.28,89.33,91.95,89.12
89.30,91.06,91.15,89.05
90.81,90.10,91.49,89.40
90.12,92.31,92.31,90.12
92.13,91.33,93.82,90.89
91.77,90.53,93.00,90.17
91.40,92.49,92.67,91.06
92.58,93.13,94.98,91.94
93.01,93.82,95.26,93.01
93.58,92.28,95.43,91.36
90.41,92.26,92.68,89.52
91.48,92.00,92.21,90.49
93.61,94.22,95.14,93.54
93.29,93.03,94.14,91.41
93.24,93.48,93.98,92.56
92.60,93.40,94.93,92.56
93.96,94.60,94.78,93.08
95.00,93.15,96.27,92.71
92.97,91.57,92.97,89.92
91.66,93.31,93.49,90.77
93.49,94.08,95.38,92.39
94.35,94.53,94.97,93.24
93.00,93.56,94.93,92.15
94.43,92.34,94.71,92.32
92.00,96.12,96.99,91.55
95.43,97.85,99.51,95.43
99.13,97.00,99.27,96.27
97.44,97.93,98.24,97.08
97.68,97.00,97.80,96.73
