HOV,Hovnanian Enterprises,NASDAQ
1.69,1.59,1.74,1.51
1.84,1.57,2.04,1.56
1.65,1.48,1.65,1.46
1.57,1.37,1.57,1.34
1.40,1.45,1.47,1.38
1.59,1.50,1.67,1.41
1.52,1.56,1.56,1.42
1.59,1.68,1.72,1.58
1.69,1.75,1.76,1.60
1.78,1.64,1.80,1.63
1.63,1.59,1.69,1.59
1.56,1.53,1.58,1.47
1.46,1.49,1.50,1.45
1.55,1.65,1.67,1.52
1.70,1.64,1.78,1.59
1.62,1.49,1.62,1.47
1.47,1.44,1.49,1.42
1.48,1.46,1.48,1.41
1.46,1.49,1.52,1.44
1.51,1.48,1.52,1.46
1.47,1.47,1.50,1.43
1.43,1.39,1.44,1.36
1.41,1.40,1.44,1.38
1.40,1.35,1.45,1.35
1.35,1.23,1.38,1.21
1.24,1.28,1.28,1.22
1.30,1.30,1.34,1.23
1.34,1.36,1.43,1.32
1.35,1.26,1.36,1.26
1.32,1.29,1.33,1.25
1.26,1.22,1.30,1.21
1.21,1.07,1.25,1.07
1.16,1.11,1.16,1.00
1.10,1.10,1.13,1.04
1.10,1.08,1.10,0.89
1.08,1.03,1.10,1.02
1.07,1.08,1.15,1.03
1.08,1.10,1.10,1.05
1.11,1.19,1.22,1.10
1.19,1.24,1.29,1.18
1.29,1.21,1.30,1.20
1.21,1.19,1.24,1.17
1.19,1.34,1.35,1.17
1.36,1.29,1.46,1.28
1.33,1.31,1.33,1.24
1.35,1.38,1.40,1.35
1.38,1.43,1.46,1.37
1.44,1.34,1.44,1.28
1.38,1.41,1.44,1.35
1.50,1.52,1.54,1.45
1.51,1.47,1.51,1.43
1.42,1.44,1.46,1.41
1.37,1.32,1.45,1.32
1.37,1.43,1.45,1.36
1.41,1.36,1.42,1.28
1.31,1.34,1.41,1.30
1.33,1.34,1.39,1.30
1.34,1.44,1.46,1.34
1.40,1.35,1.40,1.35
1.39,1.38,1.45,1.33
1.42,1.37,1.43,1.36
1.36,1.32,1.37,1.30
1.32,1.35,1.36,1.28
1.34,1.36,1.38,1.34
1.36,1.34,1.40,1.31
1.33,1.34,1.35,1.33
1.34,1.29,1.36,1.25
1.29,1.24,1.33,1.23
1.22,1.23,1.23,1.20
1.25,1.29,1.32,1.23
1.37,1.36,1.39,1.30
1.35,1.27,1.37,1.23
1.32,1.41,1.42,1.32
1.39,1.43,1.47,1.37
1.47,1.44,1.48,1.41
1.48,1.54,1.55,1.46
1.53,1.57,1.58,1.49
1.60,1.61,1.62,1.53
1.61,1.49,1.62,1.49
1.50,1.58,1.58,1.49
1.54,1.66,1.66,1.54
1.69,1.43,1.69,1.40
1.42,1.36,1.42,1.28
1.36,1.35,1.36,1.32
1.38,1.34,1.38,1.28
1.35,1.27,1.35,1.27
1.32,1.50,1.50,1.31
1.49,1.45,1.50,1.40
1.47,1.47,1.51,1.43
1.49,1.42,1.50,1.38
1.39,1.32,1.40,1.31
1.30,1.30,1.40,1.29
1.30,1.42,1.42,1.30
1.38,1.45,1.48,1.38
1.50,1.55,1.58,1.50
1.54,1.56,1.59,1.48
1.52,1.57,1.60,1.45
1.57,1.75,1.77,1.56
1.75,1.96,1.99,1.73
1.99,2.03,2.14,1.98
2.00,2.40,2.42,2.00
2.44,2.29,2.62,2.24
2.21,2.35,2.40,2.02
2.41,2.13,2.50,2.13
2.16,2.39,2.42,2.10
2.43,2.39,2.53,2.38
2.40,2.42,2.46,2.36
2.41,2.36,2.49,2.29
2.30,2.38,2.43,2.20
2.40,2.64,2.66,2.38
2.74,2.67,2.89,2.58
2.64,2.67,2.74,2.58
2.57,2.50,2.59,2.43
2.53,2.42,2.57,2.40
2.49,2.52,2.55,2.45
2.54,2.55,2.62,2.53
2.72,2.82,2.84,2.58
2.81,2.81,2.89,2.75
2.84,2.88,2.98,2.80
2.96,3.14,3.14,2.91
3.16,3.24,3.31,3.16
3.04,2.97,3.14,2.91
3.06,3.04,3.12,3.01
2.98,3.00,3.02,2.75
3.07,3.02,3.19,2.99
3.07,2.96,3.08,2.95
2.98,3.03,3.04,2.97
3.05,2.97,3.05,2.95
2.97,2.76,2.97,2.75
2.77,2.89,2.96,2.75
2.91,2.83,3.02,2.81
2.80,2.96,2.98,2.75
3.04,2.81,3.08,2.75
2.80,2.77,2.89,2.77
2.81,2.80,2.88,2.76
2.78,2.70,2.85,2.67
2.70,2.54,2.75,2.52
2.49,2.40,2.49,2.30
2.52,2.46,2.56,2.37
2.55,2.79,2.81,2.53
2.88,2.86,2.98,2.82
2.91,2.85,2.95,2.83
2.90,2.90,2.93,2.85
2.89,2.83,3.02,2.79
2.92,2.95,3.03,2.85
2.97,2.91,3.00,2.87
2.90,2.91,2.99,2.90
2.90,2.78,2.92,2.72
2.85,2.83,2.88,2.79
2.78,2.71,2.84,2.65
2.55,2.68,2.76,2.52
2.75,2.66,2.75,2.62
2.72,2.61,2.78,2.60
2.63,2.57,2.65,2.51
2.54,2.40,2.54,2.38
2.45,2.45,2.49,2.32
2.43,2.42,2.45,2.36
2.38,2.35,2.42,2.35
2.17,2.15,2.28,2.07
2.03,2.02,2.04,1.96
1.98,1.98,2.14,1.93
2.01,1.99,2.05,1.97
2.06,2.03,2.12,2.03
2.07,2.09,2.11,2.04
2.05,2.00,2.05,1.98
2.04,1.98,2.05,1.96
2.01,2.05,2.06,1.98
2.03,2.05,2.07,2.00
2.05,1.97,2.07,1.95
2.01,1.99,2.03,1.95
1.94,1.88,1.96,1.85
1.89,1.89,1.93,1.84
1.92,1.94,1.98,1.91
1.96,2.01,2.05,1.95
2.01,2.08,2.08,1.96
2.07,2.00,2.09,2.00
1.99,1.99,2.07,1.98
1.98,1.94,2.02,1.93
1.95,1.77,1.95,1.75
1.76,1.70,1.77,1.67
1.69,1.77,1.79,1.65
1.75,1.76,1.78,1.68
1.71,1.75,1.77,1.68
1.81,1.85,1.96,1.81
1.89,1.88,1.96,1.85
1.85,1.78,1.89,1.77
1.79,1.96,1.97,1.78
2.03,1.88,2.03,1.87
1.92,1.78,1.92,1.75
1.78,1.73,1.83,1.72
1.75,1.78,1.84,1.73
1.81,1.77,1.86,1.76
1.85,1.82,1.85,1.72
1.85,1.86,1.87,1.80
1.92,1.89,1.94,1.87
1.93,1.98,1.98,1.90
1.90,1.86,1.96,1.83
1.86,1.87,1.89,1.72
1.76,1.73,1.77,1.70
1.73,1.61,1.75,1.52
1.60,1.70,1.70,1.60
2.00,2.01,2.10,1.90
2.03,2.08,2.10,1.96
2.04,2.16,2.18,1.97
2.23,2.11,2.24,2.08
2.13,2.15,2.15,2.05
2.14,2.22,2.37,2.10
2.23,2.31,2.36,2.22
2.37,2.49,2.51,2.32
2.44,2.63,2.77,2.44
2.77,2.60,2.80,2.58
2.63,2.65,2.75,2.55
2.64,2.49,2.67,2.41
2.51,2.68,2.68,2.47
2.61,2.64,2.75,2.55
2.65,2.68,2.74,2.65
2.74,2.82,2.90,2.73
2.80,2.81,2.89,2.68
2.93,2.90,2.95,2.87
2.93,2.83,2.95,2.73
2.85,2.86,2.92,2.79
2.86,2.92,3.00,2.84
2.87,2.94,2.96,2.82
2.94,2.93,2.97,2.88
2.95,2.70,2.97,2.63
2.68,2.60,2.72,2.55
2.53,2.58,2.69,2.45
2.76,2.76,2.88,2.73
2.76,2.78,2.84,2.74
2.85,2.76,2.85,2.73
2.76,2.67,2.84,2.67
2.73,2.60,2.73,2.52
2.56,2.66,2.75,2.50
2.53,2.60,2.65,2.52
2.62,2.46,2.64,2.42
2.52,2.33,2.55,2.31
2.42,2.48,2.49,2.33
2.49,2.48,2.60,2.43
2.50,2.38,2.54,2.38
2.32,2.32,2.44,2.30
2.33,2.28,2.39,2.23
2.23,2.25,2.35,2.23
2.34,2.33,2.45,2.30
2.34,2.44,2.44,2.30
2.46,2.37,2.46,2.37
2.37,2.42,2.46,2.37
2.46,2.58,2.63,2.45
2.58,2.55,2.61,2.51
2.50,2.52,2.58,2.46
2.55,2.53,2.63,2.50
2.51,2.50,2.57,2.45
2.50,2.64,2.65,2.47
2.65,2.67,2.75,2.60
2.65,2.62,2.73,2.52
2.62,2.51,2.68,2.48
2.58,2.61,2.65,2.55
2.57,2.66,2.66,2.55
2.63,2.66,2.69,2.60
2.68,2.62,2.68,2.58
2.64,2.67,2.68,2.61
2.67,2.71,2.71,2.61
2.64,2.72,2.75,2.64
2.76,2.92,2.97,2.72
2.99,3.15,3.16,2.86
3.14,3.21,3.23,3.10
3.36,3.08,3.36,2.98
3.13,3.15,3.22,3.07
3.17,3.31,3.31,3.14
3.31,3.60,3.60,3.29
3.72,3.67,3.72,3.43
3.65,3.79,3.90,3.57
3.92,3.89,4.03,3.86
3.93,3.89,3.98,3.83
3.87,3.79,3.95,3.72
3.87,3.85,3.94,3.59
3.80,3.84,3.92,3.72
3.90,3.91,4.00,3.86
3.94,3.83,3.99,3.80
3.83,3.63,3.96,3.63
3.63,3.43,3.71,3.37
3.53,3.57,3.60,3.48
3.47,3.46,3.56,3.45
3.50,3.39,3.56,3.35
3.41,3.43,3.45,3.27
3.43,3.85,3.85,3.43
3.88,3.89,3.95,3.74
3.93,3.85,3.97,3.80
3.81,3.73,3.84,3.65
3.70,3.67,3.75,3.59
3.62,3.70,3.73,3.61
3.79,3.62,3.82,3.58
3.61,3.57,3.68,3.50
3.58,3.68,3.70,3.53
3.72,3.78,3.79,3.60
3.88,4.13,4.19,3.84
4.14,4.31,4.55,4.11
4.28,4.38,4.49,4.23
4.41,4.41,4.50,4.31
4.32,4.33,4.38,4.26
4.39,4.44,4.46,4.33
4.56,4.43,4.70,4.31
4.39,4.27,4.42,4.06
4.37,4.30,4.39,4.07
4.33,4.50,4.50,4.31
4.58,4.72,4.77,4.44
4.74,5.07,5.10,4.60
5.13,5.31,5.36,5.10
5.20,5.50,5.59,5.01
5.70,5.40,5.80,5.26
5.35,5.16,5.35,4.95
5.26,4.74,5.26,4.71
4.58,4.88,5.06,4.51
4.98,4.61,5.03,4.60
4.58,4.42,4.69,4.26
4.44,4.68,4.85,4.35
4.88,4.95,5.01,4.82
5.08,5.27,5.29,5.05
5.35,5.30,5.47,5.21
5.35,5.31,5.39,5.25
5.29,5.50,5.50,5.21
5.56,5.49,5.62,5.40
5.43,5.39,5.47,5.15
5.45,5.41,5.55,5.36
5.42,5.22,5.42,5.20
5.23,5.17,5.29,5.06
5.22,5.09,5.23,5.01
5.10,4.88,5.12,4.86
4.88,4.90,4.92,4.75
4.97,5.25,5.32,4.97
5.25,5.36,5.38,5.17
5.41,5.45,5.52,5.38
5.48,5.49,5.60,5.45
5.35,5.20,5.38,5.00
5.20,5.30,5.33,5.10
5.34,5.80,5.80,5.32
5.95,6.05,6.10,5.86
6.08,6.12,6.14,5.82
6.06,6.13,6.18,5.94
5.90,7.00,7.00,5.81
6.67,6.76,6.92,6.55
6.76,6.67,6.87,6.62
6.77,6.66,6.78,6.41
6.58,6.72,6.89,6.53
6.79,7.00,7.02,6.68
7.33,6.91,7.43,6.75
6.88,6.96,7.05,6.79
6.96,6.91,6.97,6.82
6.88,6.61,6.93,6.41
6.60,6.26,6.61,6.20
6.34,6.54,6.68,6.33
6.66,6.49,6.67,6.34
6.58,6.40,6.60,6.34
6.47,6.31,6.50,6.28
6.30,6.29,6.32,6.08
6.21,6.00,6.29,6.00
6.19,5.95,6.19,5.70
6.02,6.30,6.34,5.95
6.40,6.24,6.41,6.11
6.23,6.47,6.58,6.12
6.51,6.27,6.59,6.21
6.39,6.21,6.39,6.13
6.17,5.93,6.27,5.90
6.06,6.17,6.19,6.00
6.18,5.92,6.21,5.87
5.96,5.71,5.96,5.55
5.73,5.61,5.98,5.57
5.66,5.32,5.67,5.30
5.34,5.32,5.38,5.15
5.30,5.34,5.39,5.26
5.32,5.22,5.35,5.13
5.23,5.19,5.32,5.12
5.16,5.34,5.38,5.12
5.37,5.92,5.97,5.35
5.92,5.77,5.99,5.67
5.77,5.75,5.88,5.68
5.76,6.02,6.24,5.75
6.14,5.76,6.15,5.63
5.68,5.29,5.70,5.28
5.30,5.44,5.49,5.14
5.53,5.45,5.57,5.37
5.49,5.20,5.53,5.16
5.26,5.79,5.88,5.26
5.79,6.06,6.15,5.75
6.02,5.85,6.18,5.74
5.77,5.92,5.98,5.70
5.85,5.98,6.00,5.81
6.09,6.10,6.17,5.98
6.20,5.94,6.22,5.67
5.93,5.96,6.01,5.82
6.10,6.06,6.14,5.98
6.05,5.94,6.08,5.90
5.91,5.72,5.94,5.71
5.72,5.84,5.88,5.68
5.87,5.84,5.95,5.81
5.86,5.99,6.04,5.84
5.85,5.99,6.05,5.83
6.12,6.19,6.43,6.08
6.27,6.32,6.39,6.14
6.30,6.18,6.38,6.17
6.24,6.10,6.27,6.06
6.13,6.06,6.24,6.03
6.06,5.87,6.16,5.83
5.86,5.87,5.92,5.75
5.88,5.77,5.91,5.71
5.72,5.68,5.81,5.56
5.68,5.59,5.79,5.57
5.58,5.23,5.63,5.15
5.30,5.37,5.42,5.27
5.23,5.38,5.39,5.18
5.41,5.67,5.68,5.38
5.70,5.59,5.74,5.56
5.57,5.37,5.64,5.34
5.35,5.32,5.41,5.23
5.28,5.33,5.45,5.27
5.25,5.01,5.27,4.86
5.16,5.09,5.23,4.90
5.01,4.98,5.05,4.86
4.99,4.76,5.00,4.65
4.75,4.92,4.94,4.70
4.91,5.13,5.18,4.75
5.20,5.39,5.52,5.20
5.41,5.47,5.54,5.39
5.50,5.52,5.68,5.47
5.60,5.67,5.71,5.52
5.72,5.56,5.82,5.50
5.56,5.45,5.68,5.38
5.41,5.35,5.45,5.20
5.42,5.65,5.71,5.40
5.74,5.73,5.90,5.63
5.77,5.94,5.94,5.76
5.97,5.92,6.08,5.85
5.90,5.90,5.92,5.77
5.86,5.99,6.04,5.84
6.03,6.08,6.18,6.01
6.06,6.09,6.15,6.00
6.04,6.12,6.18,6.04
6.09,5.99,6.15,5.96
5.95,5.87,6.07,5.75
5.89,6.02,6.09,5.89
6.04,6.02,6.14,5.97
6.01,5.84,6.10,5.83
5.92,5.94,6.15,5.88
5.83,6.10,6.14,5.78
6.07,6.04,6.11,5.92
6.16,6.15,6.35,6.02
6.14,6.05,6.16,5.95
6.08,6.11,6.20,5.98
6.06,6.14,6.25,6.06
6.19,6.05,6.25,5.95
6.05,5.97,6.17,5.90
6.05,6.03,6.40,5.93
6.08,6.11,6.12,5.91
6.19,6.14,6.24,6.07
6.15,5.97,6.16,5.87
5.87,5.84,5.98,5.79
5.92,5.91,6.05,5.85
5.87,6.16,6.20,5.87
6.16,6.28,6.34,6.16
6.34,6.37,6.46,6.26
6.38,6.43,6.47,6.20
6.41,6.22,6.46,6.19
6.09,5.88,6.10,5.81
