CYRN,CYREN Ltd. - Ordinary Shares,NASDAQ
3.63,3.64,3.83,3.55
3.59,3.50,3.60,3.46
3.48,3.34,3.49,3.30
3.22,3.40,3.40,3.09
3.40,3.38,3.48,3.35
3.30,3.31,3.41,3.12
3.33,3.33,3.58,3.28
3.68,3.44,3.68,3.40
3.68,3.48,3.68,3.41
3.38,3.38,3.49,3.35
3.38,3.46,3.66,3.38
3.48,3.48,3.52,3.48
3.49,3.35,3.50,3.33
3.33,3.26,3.35,3.26
3.26,3.32,3.40,3.26
3.45,3.26,3.45,3.26
3.44,3.33,3.44,3.30
3.33,3.32,3.44,3.30
3.46,3.33,3.46,3.30
3.33,3.40,3.44,3.32
3.35,3.38,3.45,3.35
3.38,3.37,3.41,3.35
3.45,3.40,3.45,3.40
3.40,3.35,3.48,3.32
3.27,3.31,3.33,3.27
3.26,3.27,3.30,3.26
3.26,3.23,3.26,3.15
3.27,3.23,3.34,3.22
3.23,3.19,3.23,3.15
3.04,2.96,3.05,2.93
2.96,2.98,3.03,2.96
2.97,2.95,2.97,2.95
2.91,2.91,2.91,2.91
3.05,2.98,3.05,2.91
3.02,2.95,3.04,2.92
3.03,3.00,3.10,2.95
2.95,3.00,3.09,2.83
2.96,2.89,3.01,2.85
2.64,2.89,2.95,2.64
2.68,2.93,2.95,2.68
2.94,2.85,2.94,2.74
2.94,2.91,2.98,2.87
2.91,3.00,3.00,2.91
2.96,3.00,3.00,2.96
2.99,3.06,3.08,2.98
3.10,3.16,3.16,3.10
3.18,3.18,3.18,3.10
3.18,3.15,3.18,3.10
3.17,3.18,3.25,3.11
3.25,3.20,3.25,3.04
3.15,3.17,3.20,3.15
3.19,3.29,3.29,3.19
3.34,3.41,3.47,3.30
3.41,3.45,3.50,3.40
3.45,3.48,3.50,3.40
3.49,3.45,3.49,3.39
3.40,3.43,3.48,3.39
3.45,3.46,3.49,3.45
3.41,3.39,3.49,3.33
3.33,3.44,3.47,3.33
3.40,3.40,3.40,3.39
3.32,3.40,3.46,3.22
3.31,3.43,3.57,3.30
3.43,3.65,3.69,3.43
3.62,3.69,3.70,3.62
3.70,3.68,3.70,3.59
3.56,3.65,3.65,3.55
3.65,3.64,3.70,3.56
nan,3.64,nan,nan
3.60,3.59,3.60,3.50
nan,3.59,nan,nan
3.57,3.69,3.69,3.55
3.66,3.63,3.69,3.60
3.60,3.67,3.69,3.56
3.64,3.78,3.86,3.64
3.80,3.79,3.87,3.73
3.79,3.77,3.79,3.66
3.78,3.70,3.80,3.65
3.80,3.80,3.83,3.74
3.79,3.80,3.80,3.78
3.75,3.80,3.80,3.75
3.90,3.86,3.94,3.81
3.81,3.84,3.90,3.78
3.81,3.85,3.85,3.81
3.81,3.82,3.85,3.81
3.81,3.86,3.90,3.81
3.86,3.90,3.90,3.82
3.90,3.90,3.90,3.86
3.90,3.85,3.90,3.75
3.85,3.89,3.89,3.84
3.87,3.89,3.89,3.84
3.86,3.83,3.86,3.70
3.84,3.82,3.84,3.80
3.80,3.82,3.82,3.72
3.78,3.80,3.82,3.78
3.67,3.82,3.82,3.67
3.83,3.80,3.83,3.78
3.81,3.89,3.89,3.79
3.85,3.88,3.89,3.80
3.88,3.83,3.88,3.80
3.81,3.79,3.83,3.77
3.84,3.82,3.84,3.82
3.80,3.82,3.82,3.75
3.85,3.85,3.85,3.75
3.85,3.80,3.93,3.75
3.78,3.83,3.87,3.77
3.90,3.84,3.93,3.83
3.80,3.83,3.84,3.76
3.81,3.90,3.90,3.81
3.85,3.82,3.90,3.82
3.81,3.83,3.90,3.81
3.90,3.82,3.90,3.75
3.76,3.76,3.81,3.75
3.75,3.88,3.88,3.75
3.84,3.80,3.89,3.77
3.76,3.79,3.87,3.62
3.89,3.89,3.89,3.65
3.83,3.81,3.88,3.81
3.81,3.79,3.88,3.70
3.74,3.73,3.81,3.65
3.65,3.72,3.75,3.52
3.70,3.64,3.70,3.63
3.60,3.54,3.66,3.44
3.52,3.60,3.68,3.44
3.60,3.50,3.60,3.48
3.50,3.43,3.55,3.41
3.43,3.49,3.70,3.43
3.60,3.52,3.60,3.50
3.48,3.49,3.55,3.44
3.46,3.55,3.55,3.46
3.55,3.55,3.55,3.51
3.50,3.64,3.70,3.45
3.54,3.60,3.60,3.46
3.46,3.58,3.60,3.46
3.51,3.51,3.60,3.51
3.49,3.50,3.50,3.41
3.47,3.48,3.50,3.22
3.48,3.50,3.53,3.48
3.48,3.50,3.50,3.42
3.54,3.50,3.54,3.43
3.46,3.44,3.50,3.42
3.42,3.40,3.47,3.35
3.54,3.56,3.77,3.44
3.60,3.62,3.68,3.56
3.62,3.56,3.62,3.55
3.54,3.40,3.54,3.38
3.36,3.45,3.57,3.36
3.44,3.47,3.58,3.44
3.52,3.50,3.62,3.49
3.52,3.50,3.52,3.45
3.50,3.50,3.55,3.46
3.55,3.52,3.56,3.51
3.52,3.59,3.64,3.52
3.60,3.66,3.70,3.60
3.69,3.64,3.70,3.58
3.68,3.64,3.68,3.59
3.59,3.71,3.75,3.59
3.70,3.72,3.72,3.65
3.69,3.72,3.77,3.62
3.72,3.84,3.85,3.72
3.84,3.77,3.84,3.70
3.76,3.78,3.82,3.76
3.78,3.86,3.89,3.77
3.85,3.88,3.93,3.81
3.85,3.82,3.85,3.77
3.84,3.92,3.93,3.84
3.91,3.90,3.92,3.85
3.89,3.84,3.89,3.81
3.80,3.88,3.89,3.80
3.85,3.95,3.98,3.81
3.98,3.95,3.98,3.88
3.82,3.80,3.84,3.71
3.80,3.75,3.89,3.75
3.78,3.84,3.85,3.75
3.80,3.87,3.94,3.80
3.90,3.90,3.90,3.70
3.88,3.90,3.90,3.85
3.87,3.84,3.87,3.65
3.79,3.88,3.90,3.79
3.85,3.87,3.88,3.80
3.86,3.84,3.86,3.80
3.80,3.86,3.86,3.73
3.84,3.84,3.90,3.80
3.84,3.90,3.90,3.84
3.90,3.94,3.94,3.86
3.96,3.95,4.05,3.83
3.88,3.90,3.93,3.80
3.85,3.87,3.93,3.82
3.89,3.90,3.91,3.83
3.90,3.89,3.90,3.85
3.91,3.94,3.95,3.85
3.95,3.98,3.98,3.88
3.94,3.94,3.99,3.85
3.84,3.82,3.84,3.80
3.85,3.75,3.89,3.60
3.72,3.70,3.80,3.70
3.76,3.75,3.83,3.71
3.73,3.67,3.75,3.65
3.68,3.71,3.74,3.68
3.72,3.69,3.75,3.60
3.66,3.72,3.75,3.65
3.70,3.67,3.74,3.48
3.55,3.57,3.68,3.41
3.52,3.62,3.68,3.50
3.65,3.55,3.65,3.49
3.55,3.54,3.57,3.45
3.44,3.50,3.57,3.44
3.43,3.43,3.50,3.43
3.43,3.33,3.43,3.27
3.27,3.35,3.43,3.27
3.35,3.23,3.41,3.11
3.27,3.43,3.45,3.23
3.45,3.50,3.50,3.37
3.55,3.49,3.60,3.45
3.47,3.49,3.49,3.46
3.52,3.55,3.56,3.48
3.51,3.58,3.60,3.48
3.56,3.50,3.58,3.41
3.55,3.49,3.55,3.48
3.51,3.54,3.55,3.49
3.54,3.58,3.58,3.49
3.51,3.47,3.58,3.45
3.47,3.46,3.49,3.33
3.41,3.47,3.49,3.34
3.28,3.41,3.48,3.28
3.35,3.35,3.45,3.28
3.32,3.34,3.39,3.32
3.37,3.49,3.49,3.37
3.50,3.43,3.50,3.38
3.50,3.45,3.52,3.33
3.50,3.45,3.50,3.42
3.44,3.43,3.51,3.40
3.38,3.43,3.49,3.37
3.43,3.48,3.50,3.43
3.52,3.41,3.56,3.11
3.41,3.48,3.48,3.36
3.47,3.52,3.52,3.41
3.50,3.50,3.50,3.50
3.52,3.49,3.59,3.44
3.50,3.41,3.50,3.36
3.45,3.50,3.50,3.43
3.41,3.40,3.50,3.40
3.38,3.36,3.38,3.22
3.40,3.40,3.43,3.39
3.39,3.46,3.47,3.39
3.47,3.41,3.47,3.41
3.35,3.40,3.40,3.35
3.40,3.36,3.40,3.36
3.40,3.36,3.40,3.36
3.35,3.37,3.40,3.35
3.37,3.37,3.39,3.35
3.42,3.30,3.42,3.22
3.25,3.20,3.31,3.17
3.22,3.29,3.30,3.22
3.32,3.39,3.41,3.30
3.40,3.35,3.40,3.26
3.35,3.36,3.36,3.33
3.35,3.36,3.40,3.35
3.40,3.42,3.42,3.39
3.43,3.40,3.43,3.38
3.40,3.44,3.44,3.37
3.41,3.50,3.54,3.41
3.55,3.59,3.59,3.47
3.58,3.48,3.59,3.46
3.45,3.46,3.48,3.44
3.40,3.33,3.46,3.33
3.46,3.50,3.51,3.43
3.48,3.37,3.48,3.33
3.37,3.41,3.48,3.37
3.34,3.37,3.41,3.33
3.26,3.29,3.40,3.23
3.28,3.26,3.31,3.26
3.25,3.26,3.30,3.25
3.25,3.25,3.28,3.25
3.25,3.25,3.30,3.25
3.25,3.25,3.27,3.25
3.28,3.25,3.28,3.22
3.25,3.27,3.35,3.25
3.25,3.25,3.27,3.25
3.22,3.30,3.31,3.22
3.26,3.24,3.36,3.20
3.27,3.29,3.31,3.23
3.23,3.30,3.33,3.21
3.30,3.37,3.37,3.30
3.30,3.39,3.40,3.30
3.38,3.39,3.46,3.34
3.40,3.46,3.48,3.31
3.46,3.51,3.51,3.36
3.44,3.48,3.51,3.41
3.41,3.42,3.51,3.40
3.40,3.48,3.51,3.40
3.52,3.52,3.60,3.51
3.54,3.60,3.65,3.54
3.58,3.66,3.69,3.58
3.69,3.65,3.69,3.55
3.61,3.62,3.68,3.60
3.63,3.60,3.63,3.50
3.60,3.61,3.61,3.58
3.61,3.60,3.64,3.60
3.58,3.60,3.62,3.58
3.36,3.60,3.64,3.35
3.60,3.58,3.61,3.58
3.60,3.62,3.64,3.59
3.60,3.64,3.65,3.51
3.64,3.58,3.64,3.24
3.51,3.59,3.59,3.57
3.59,3.60,3.60,3.57
3.46,3.45,3.52,3.37
3.46,3.45,3.51,3.29
3.25,3.23,3.32,3.02
3.25,3.08,3.31,3.08
3.15,3.14,3.30,3.14
3.08,3.16,3.22,3.08
3.21,3.16,3.30,3.16
3.30,3.24,3.30,3.15
3.23,3.22,3.31,3.11
3.20,3.21,3.24,3.17
3.07,3.12,3.12,3.07
3.19,3.12,3.20,3.02
3.17,3.12,3.27,3.12
3.15,3.28,3.28,3.15
3.28,3.29,3.29,3.25
3.22,3.18,3.25,3.15
3.15,3.22,3.26,3.04
3.24,3.31,3.31,3.10
3.31,3.32,3.32,3.22
3.30,3.35,3.38,3.30
3.30,3.37,3.37,3.30
3.33,3.23,3.33,3.23
3.11,3.10,3.15,3.10
3.16,3.25,3.48,3.16
3.13,3.12,3.25,3.12
3.14,3.14,3.14,3.08
3.04,3.09,3.14,3.04
3.00,3.03,3.05,2.92
3.01,3.25,3.29,2.99
3.15,3.20,3.29,3.10
3.18,3.29,3.29,3.15
3.20,3.28,3.29,3.20
3.24,3.24,3.31,3.20
3.23,3.23,3.31,3.20
3.14,3.07,3.17,3.05
3.05,2.95,3.08,2.95
2.99,3.17,3.20,2.99
3.12,3.20,3.25,3.12
3.27,3.20,3.27,3.11
3.20,3.11,3.21,3.06
3.10,3.15,3.15,3.10
3.09,2.93,3.10,2.93
2.95,2.94,3.11,2.94
3.01,3.20,3.20,3.01
3.15,3.22,3.22,3.15
3.12,3.28,3.28,3.12
3.28,3.22,3.28,3.19
3.22,3.18,3.22,3.18
3.24,3.29,3.29,3.19
3.30,3.27,3.30,3.27
3.32,3.27,3.32,3.27
3.17,3.16,3.17,3.16
3.10,3.21,3.21,3.10
3.10,3.15,3.21,3.10
3.21,3.21,3.21,3.21
3.21,3.21,3.22,3.21
3.24,3.33,3.35,3.22
3.30,3.28,3.40,3.23
3.34,3.40,3.40,3.34
3.44,3.43,3.45,3.33
3.37,3.46,3.46,3.35
3.40,3.50,3.50,3.40
3.40,3.48,3.48,3.35
3.29,3.49,3.55,3.29
3.39,3.52,3.54,3.36
3.50,3.41,3.52,3.20
3.44,3.48,3.49,3.43
3.31,3.45,3.47,3.31
3.47,3.47,3.50,3.40
3.40,3.43,3.51,3.30
3.49,3.52,3.52,3.44
3.52,3.51,3.54,3.42
3.49,3.49,3.50,3.49
3.21,3.36,3.50,3.21
3.38,3.42,3.52,3.38
3.45,3.54,3.55,3.45
3.47,3.47,3.50,3.45
3.45,3.55,3.55,3.45
3.47,3.55,3.58,3.46
3.55,3.55,3.55,3.51
3.54,3.54,3.55,3.50
3.40,3.53,3.53,3.40
3.33,3.55,3.55,3.33
3.49,3.54,3.56,3.44
3.53,3.53,3.53,3.38
3.41,3.52,3.61,3.41
3.56,3.60,3.60,3.50
3.60,3.60,3.60,3.42
3.55,3.52,3.59,3.44
3.56,3.60,3.61,3.53
3.55,3.55,3.60,3.44
3.55,3.60,3.64,3.55
3.57,3.38,3.57,3.38
3.45,3.46,3.47,3.44
3.46,3.43,3.46,3.43
3.45,3.40,3.50,3.33
3.41,3.35,3.50,3.27
3.35,3.35,3.35,3.27
3.34,3.29,3.43,3.26
3.30,3.28,3.39,3.23
3.23,3.30,3.34,3.23
3.30,3.27,3.30,3.11
3.25,3.30,3.30,3.07
3.30,3.25,3.35,3.20
3.27,3.30,3.30,3.20
3.33,3.38,3.40,3.32
3.29,3.35,3.39,3.25
3.35,3.40,3.40,3.35
3.48,3.38,3.48,3.32
3.42,3.31,3.42,3.31
3.35,3.35,3.35,3.33
N/A,N/A,N/A,N/A
3.35,3.35,3.35,3.30
3.34,3.34,3.35,3.29
3.31,3.39,3.40,3.31
3.45,3.40,3.45,3.40
3.26,3.40,3.40,3.26
3.40,3.35,3.43,3.31
3.39,3.38,3.39,3.35
3.43,3.40,3.44,3.40
3.42,3.36,3.44,3.35
3.31,3.30,3.39,3.21
3.25,3.33,3.35,3.21
3.35,3.35,3.38,3.30
3.37,3.35,3.38,3.35
3.36,3.35,3.40,3.35
3.30,3.40,3.41,3.26
3.39,3.36,3.40,3.36
3.36,3.28,3.37,3.28
3.32,3.33,3.35,3.32
3.33,3.25,3.37,3.25
3.30,3.38,3.38,3.28
3.31,3.35,3.38,3.31
3.15,3.29,3.33,3.15
3.26,3.22,3.27,3.19
3.19,3.16,3.22,3.16
3.19,3.16,3.20,3.16
3.15,3.12,3.24,3.10
3.11,3.19,3.20,3.11
3.16,3.16,3.16,3.06
3.10,3.16,3.16,3.10
3.07,3.13,3.14,3.05
3.05,3.06,3.08,3.00
3.05,3.05,3.09,3.02
3.09,3.20,3.21,3.09
3.18,3.13,3.18,3.02
3.10,3.03,3.16,2.95
3.00,3.02,3.05,2.96
3.00,2.96,3.04,2.96
2.98,3.00,3.02,2.98
3.00,3.03,3.05,3.00
3.01,2.98,3.03,2.98
2.96,3.06,3.06,2.96
3.02,3.00,3.03,2.96
2.99,3.00,3.02,2.97
3.04,3.04,3.04,2.96
2.99,3.04,3.05,2.93
2.95,3.04,3.04,2.95
3.00,3.05,3.05,2.95
3.00,2.99,3.04,2.96
3.07,3.03,3.10,3.01
3.00,3.00,3.01,3.00
3.03,2.98,3.04,2.98
2.96,2.95,3.00,2.95
2.93,2.90,3.00,2.83
2.95,2.92,2.99,2.87
2.90,2.87,2.90,2.85
2.88,2.91,2.98,2.88
2.91,2.96,2.96,2.84
2.93,2.88,2.97,2.87
2.92,2.90,2.94,2.89
2.88,2.82,2.93,2.81
2.84,2.92,2.92,2.84
2.92,2.84,2.95,2.84
2.86,2.89,2.95,2.86
2.86,2.82,2.86,2.81
2.88,2.88,2.92,2.84
2.90,2.88,2.90,2.84
2.86,2.91,2.92,2.86
2.91,2.85,2.99,2.85
2.86,2.82,2.89,2.75
2.75,2.99,2.99,2.75
2.98,2.88,2.98,2.88
2.79,2.73,2.85,2.71
2.75,2.85,2.85,2.75
2.81,2.85,2.85,2.80
2.84,2.88,2.88,2.75
2.68,2.68,2.90,2.68
2.68,2.52,2.68,2.50
2.52,2.51,2.62,2.51
2.53,2.56,2.65,2.53
2.55,2.46,2.55,2.41
2.50,2.50,2.51,2.41
2.53,2.53,2.53,2.42
2.52,2.50,2.52,2.41
2.49,2.46,2.50,2.42
2.47,2.44,2.49,2.44
2.52,2.42,2.58,2.42
2.44,2.59,2.59,2.44
2.52,2.50,2.53,2.45
2.54,2.67,2.67,2.54
2.67,2.62,2.74,2.62
2.70,2.63,2.73,2.63
2.65,2.70,2.70,2.65
2.69,2.67,2.72,2.65
2.75,2.84,2.99,2.75
2.90,2.92,2.98,2.90
2.95,2.94,3.00,2.93
2.90,3.00,3.00,2.78
3.01,3.07,3.10,3.01
3.12,3.15,3.15,3.07
3.21,3.21,3.30,3.21
3.32,3.15,3.32,3.11
3.18,3.20,3.26,3.15
3.13,3.01,3.14,3.01
3.01,2.99,3.08,2.95
2.88,2.90,2.97,2.85
2.85,2.85,2.88,2.84
2.88,2.94,2.94,2.87
2.87,2.87,2.93,2.86
2.80,2.89,2.89,2.80
2.83,2.83,2.87,2.80
2.82,2.85,2.85,2.79
2.83,2.85,2.86,2.82
2.73,2.77,2.79,2.73
2.70,2.72,2.74,2.70
2.65,2.70,2.70,2.53
2.65,2.65,2.67,2.61
2.62,2.71,2.72,2.52
2.71,2.73,2.80,2.71
2.77,2.77,2.79,2.77
2.65,2.71,2.78,2.65
2.73,2.72,2.74,2.72
2.61,2.69,2.73,2.61
2.65,2.70,2.70,2.63
2.66,2.64,2.69,2.63
2.54,2.65,2.70,2.54
nan,2.65,nan,nan
2.58,2.62,2.66,2.58
2.60,2.62,2.66,2.60
2.57,2.59,2.63,2.57
2.57,2.54,2.57,2.53
2.50,2.54,2.55,2.49
2.46,2.58,2.58,2.46
2.53,2.55,2.55,2.52
2.55,2.57,2.58,2.55
2.54,2.69,2.69,2.54
2.65,2.61,2.70,2.61
2.65,2.65,2.69,2.64
2.69,2.94,3.28,2.69
2.98,2.88,3.20,2.80
2.95,2.90,2.95,2.87
2.90,2.91,3.00,2.90
2.92,2.91,2.96,2.86
2.86,2.91,2.93,2.81
2.93,2.92,2.97,2.87
2.94,2.88,2.94,2.88
2.93,2.91,2.98,2.88
2.95,2.86,2.95,2.86
2.95,2.89,2.97,2.88
2.85,2.99,3.00,2.85
2.98,2.91,3.00,2.91
2.94,3.00,3.03,2.94
3.00,2.92,3.00,2.92
2.93,2.94,2.94,2.88
2.89,2.85,2.95,2.82
2.80,2.78,2.85,2.67
2.71,2.83,2.83,2.71
2.75,2.74,2.76,2.74
2.71,2.80,2.85,2.71
2.77,2.72,2.79,2.67
2.66,2.74,2.74,2.66
2.76,2.69,2.82,2.67
2.69,2.74,2.76,2.68
2.68,2.80,2.85,2.67
2.80,2.86,2.90,2.80
2.89,2.86,2.94,2.80
2.80,2.71,2.84,2.71
2.67,2.79,2.84,2.65
2.80,2.86,2.92,2.79
2.88,2.96,3.00,2.88
2.92,2.90,2.99,2.85
2.92,2.93,2.93,2.86
2.92,2.86,2.93,2.85
2.85,2.86,2.86,2.75
2.85,2.76,2.85,2.75
2.79,2.79,2.80,2.76
2.67,2.74,2.74,2.67
2.71,2.67,2.79,2.67
2.64,2.67,2.70,2.60
2.63,2.58,2.66,2.58
2.58,2.48,2.58,2.48
2.47,2.52,2.52,2.40
2.55,2.54,2.58,2.47
2.55,2.64,2.64,2.55
2.60,2.57,2.60,2.53
2.55,2.50,2.56,2.50
2.50,2.47,2.52,2.47
2.48,2.48,2.54,2.45
2.47,2.47,2.50,2.46
2.51,2.36,2.51,2.27
2.37,2.42,2.42,2.37
2.40,2.44,2.50,1.98
2.50,2.65,2.65,2.49
2.75,2.70,2.80,2.67
2.65,2.57,2.67,2.57
2.57,2.50,2.60,2.50
2.50,2.61,2.61,2.50
2.55,2.54,2.57,2.51
2.52,2.45,2.59,2.45
2.52,2.68,2.74,2.52
2.64,2.58,2.66,2.58
2.57,2.57,2.62,2.57
2.62,2.60,2.62,2.60
2.62,2.67,2.67,2.62
2.59,2.61,2.65,2.49
2.55,2.65,2.65,2.55
2.55,2.63,2.63,2.55
2.65,2.58,2.65,2.57
2.57,2.62,2.73,2.57
2.60,2.65,2.72,2.55
2.56,2.60,2.60,2.54
2.58,2.52,2.63,2.47
2.47,2.46,2.50,2.42
2.42,2.44,2.65,2.36
2.62,2.46,2.62,2.36
2.46,2.60,2.61,2.43
2.75,2.95,3.00,2.75
3.00,3.19,3.20,3.00
3.12,3.09,3.12,2.88
3.00,3.00,3.00,2.97
2.91,2.99,3.00,2.81
3.06,3.07,3.10,2.99
3.12,3.15,3.15,3.09
3.12,3.08,3.12,3.07
3.10,3.13,3.14,2.98
3.10,3.16,3.20,3.07
3.15,3.14,3.15,2.85
3.15,3.19,3.19,3.11
3.09,3.20,3.20,3.09
3.22,3.17,3.22,3.12
3.12,3.17,3.17,3.04
3.14,3.18,3.18,2.86
3.13,3.10,3.13,3.00
3.05,3.09,3.10,2.95
3.03,3.08,3.09,3.00
3.05,3.00,3.05,2.98
3.00,3.10,3.10,2.91
3.04,3.06,3.09,3.04
3.04,3.08,3.08,3.04
3.00,3.02,3.10,3.00
3.02,3.10,3.10,3.00
2.84,3.10,3.10,2.81
2.77,3.10,3.12,2.76
3.15,3.19,3.25,3.04
3.15,3.13,3.15,2.95
3.10,3.10,3.13,3.07
3.08,3.11,3.24,2.90
2.97,3.03,3.04,2.96
2.91,2.92,3.11,2.91
2.99,2.96,3.01,2.96
2.99,3.07,3.07,2.98
2.99,3.00,3.04,2.99
3.00,2.97,3.10,2.97
3.00,3.04,3.05,2.90
3.00,2.99,3.04,2.95
2.95,2.99,3.03,2.95
2.92,2.99,3.06,2.92
2.99,3.00,3.06,2.96
2.91,2.98,3.03,2.91
2.95,3.05,3.05,2.95
3.01,3.06,3.06,3.01
3.08,3.00,3.08,2.99
3.05,3.05,3.05,3.00
3.00,2.95,3.00,2.86
2.95,3.04,3.04,2.95
3.06,3.17,3.22,3.05
3.22,3.34,3.39,3.19
3.36,3.28,3.36,3.24
3.29,3.46,3.49,3.22
3.49,3.70,3.78,3.46
3.85,3.87,3.99,3.76
3.87,3.68,3.87,3.61
3.65,3.75,3.77,3.65
3.75,3.70,3.75,3.65
3.75,3.70,3.75,3.65
3.80,3.66,3.80,3.60
3.65,3.59,3.71,3.52
3.50,3.32,3.50,3.31
3.52,3.42,3.52,3.38
3.42,3.30,3.42,3.28
3.19,3.23,3.25,3.16
3.25,3.35,3.40,3.24
3.43,3.47,3.48,3.37
3.37,3.44,3.50,3.37
3.38,3.43,3.48,3.32
3.49,3.47,3.50,3.42
3.48,3.49,3.50,3.43
3.41,3.44,3.46,3.41
3.45,3.50,3.50,3.45
3.50,3.46,3.50,3.40
3.32,3.44,3.50,3.32
3.37,3.33,3.43,3.30
3.36,3.35,3.46,3.30
3.30,3.27,3.30,3.24
3.25,3.19,3.27,3.10
3.16,3.10,3.16,3.02
3.07,3.06,3.07,3.01
3.01,3.00,3.06,2.96
3.03,3.07,3.15,2.96
3.03,2.92,3.03,2.90
2.96,2.98,2.98,2.90
2.95,2.94,2.96,2.93
2.91,2.91,2.95,2.90
2.90,2.91,2.92,2.90
2.95,2.98,3.03,2.91
3.09,2.93,3.09,2.93
2.94,3.01,3.02,2.91
3.05,3.01,3.05,2.95
2.99,3.00,3.05,2.99
2.99,3.00,3.04,2.99
3.05,3.04,3.08,3.00
3.02,3.00,3.03,2.88
3.00,3.00,3.02,3.00
3.02,2.87,3.08,2.77
2.80,2.95,2.95,2.80
2.91,2.86,2.91,2.80
2.83,2.78,2.85,2.77
2.75,2.79,2.79,2.30
2.77,2.80,2.86,2.77
2.86,2.81,2.88,2.81
2.80,2.74,2.88,2.65
2.71,2.77,2.80,2.70
2.74,2.84,2.88,2.74
2.90,3.00,3.08,2.88
3.00,2.99,3.03,2.88
2.99,2.91,3.00,2.90
2.88,2.94,2.98,2.88
2.93,2.94,2.99,2.88
2.92,2.93,2.99,2.86
2.94,2.97,2.97,2.83
2.95,2.93,2.95,2.86
2.95,2.93,2.95,2.90
2.96,2.93,2.96,2.84
2.87,2.90,2.93,2.84
2.65,2.80,2.85,2.65
2.71,2.76,2.80,2.71
2.95,2.92,3.05,2.82
2.95,2.94,2.95,2.86
3.01,2.95,3.02,2.95
2.88,2.91,2.96,2.88
2.92,2.93,2.96,2.92
2.82,2.82,2.94,2.80
2.81,2.85,2.89,2.81
2.95,2.90,2.95,2.87
2.88,2.84,2.88,2.80
2.85,2.80,2.85,2.80
2.87,2.85,2.93,2.85
2.85,2.81,2.85,2.81
2.81,2.76,2.81,2.73
2.76,2.80,2.81,2.76
2.76,2.76,2.76,2.73
2.82,2.77,2.82,2.77
2.80,2.85,2.86,2.80
2.85,2.82,2.86,2.81
2.86,2.95,2.98,2.83
3.01,2.90,3.02,2.90
3.01,3.08,3.10,3.00
3.09,3.03,3.09,3.03
3.05,3.17,3.18,3.05
3.12,3.13,3.17,3.12
