BASI,Bioanalytical Systems,NASDAQ
nan,0.93,nan,nan
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.92,0.93,0.92
nan,0.92,nan,nan
0.92,0.92,0.92,0.92
1.02,1.01,1.14,1.01
1.02,1.00,1.02,1.00
nan,1.00,nan,nan
1.02,0.90,1.02,0.77
1.00,1.00,1.00,1.00
0.90,0.99,1.00,0.80
nan,0.99,nan,nan
N/A,N/A,N/A,N/A
0.88,0.88,0.88,0.88
0.90,0.84,0.90,0.84
nan,0.84,nan,nan
0.84,0.87,0.88,0.84
nan,0.87,nan,nan
0.92,0.90,0.92,0.90
N/A,N/A,N/A,N/A
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.89,0.89,0.89,0.89
N/A,N/A,N/A,N/A
0.90,0.90,0.90,0.90
N/A,N/A,N/A,N/A
0.90,0.95,0.95,0.90
0.91,0.88,0.91,0.84
0.85,0.85,0.85,0.85
N/A,N/A,N/A,N/A
0.89,0.89,0.90,0.88
0.88,0.87,0.88,0.85
0.87,0.87,0.87,0.87
0.94,1.00,1.00,0.94
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.90,0.90,0.90,0.90
N/A,N/A,N/A,N/A
0.90,0.84,0.90,0.84
0.90,0.90,0.90,0.90
N/A,N/A,N/A,N/A
1.00,1.00,1.00,1.00
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.91,0.91,0.91,0.91
0.90,0.90,0.90,0.90
0.98,0.90,0.99,0.90
0.84,0.90,0.90,0.84
N/A,N/A,N/A,N/A
0.90,0.90,0.90,0.90
0.87,0.87,0.87,0.87
0.90,0.89,0.90,0.89
0.89,0.89,0.89,0.89
0.90,0.90,0.90,0.90
0.91,1.08,1.15,0.91
1.05,1.09,1.10,1.05
N/A,N/A,N/A,N/A
1.09,1.00,1.18,0.96
1.10,1.00,1.10,1.00
0.91,0.91,0.91,0.91
0.97,0.91,1.05,0.91
0.91,0.91,0.91,0.91
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.92,0.92,0.92,0.92
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.90,0.89,0.90,0.89
0.89,0.89,0.89,0.89
0.89,0.85,0.89,0.85
0.95,0.89,0.96,0.88
N/A,N/A,N/A,N/A
0.89,0.89,0.89,0.89
0.90,1.00,1.00,0.90
1.00,0.90,1.00,0.90
1.00,0.90,1.03,0.90
0.90,1.03,1.05,0.90
1.02,1.15,1.15,0.91
1.18,1.30,1.32,1.13
1.35,1.25,1.35,1.08
1.25,1.33,1.33,1.25
1.35,1.30,1.39,1.25
1.25,1.28,1.28,1.25
1.30,1.40,1.50,1.26
1.42,1.51,1.55,1.40
1.60,1.80,1.80,1.55
2.00,2.67,3.19,2.00
3.00,3.55,3.98,2.96
3.32,2.58,3.75,2.56
2.80,2.05,2.80,1.90
2.05,1.70,2.05,1.65
1.65,2.18,2.22,1.62
2.15,2.02,2.22,1.90
2.07,2.67,2.94,2.04
2.74,2.70,2.88,2.60
2.54,2.52,2.72,2.46
2.52,2.40,2.65,2.28
2.40,2.25,2.40,2.10
2.21,2.14,2.25,2.10
2.15,2.45,2.58,2.15
2.53,2.45,2.53,2.25
2.51,2.47,2.51,2.24
2.35,2.28,2.38,2.27
2.28,2.34,2.35,2.28
2.35,2.49,2.49,2.35
2.45,2.37,2.49,2.37
2.31,2.43,2.44,2.31
2.36,2.33,2.47,2.31
2.41,2.39,2.42,2.34
2.36,2.36,2.36,2.35
2.30,2.20,2.30,2.15
2.15,2.13,2.20,1.92
2.10,2.20,2.20,2.09
2.24,2.30,2.40,2.15
2.40,2.28,2.40,2.27
2.22,2.23,2.24,2.09
2.19,2.20,2.20,2.09
2.16,2.09,2.28,2.09
2.09,2.09,2.22,2.09
2.11,2.08,2.18,2.08
2.15,2.43,3.00,2.14
2.40,2.56,2.68,2.40
2.57,2.45,2.57,2.39
2.46,2.45,2.59,2.35
2.41,2.50,2.54,2.31
2.51,2.57,2.66,2.51
2.57,2.52,2.65,2.44
2.48,2.60,2.60,2.44
2.55,2.44,2.55,2.43
2.44,2.41,2.48,2.41
2.45,2.44,2.52,2.40
2.45,2.30,2.45,2.30
2.37,2.25,2.40,2.07
2.25,2.36,2.47,2.25
2.36,2.46,2.46,2.20
2.48,2.03,2.48,2.03
2.03,1.85,2.04,1.81
1.90,1.98,1.98,1.90
1.98,1.98,1.98,1.98
1.90,1.98,1.98,1.90
1.90,1.96,1.96,1.90
1.90,1.94,1.94,1.80
1.86,1.84,1.86,1.84
1.74,1.94,2.05,1.74
nan,1.91,nan,nan
N/A,N/A,N/A,N/A
1.83,1.94,1.94,1.83
1.94,1.94,1.94,1.90
nan,2.04,nan,nan
1.83,1.94,1.94,1.83
1.94,2.00,2.08,1.94
2.00,2.29,2.50,2.00
2.30,2.45,2.45,2.30
2.50,2.50,2.54,2.44
2.50,2.42,2.51,2.39
2.42,2.39,2.42,2.39
2.40,2.39,2.40,2.39
2.39,2.29,2.41,2.18
2.24,2.30,2.30,2.11
2.27,2.25,2.29,2.20
2.20,2.16,2.25,2.00
2.13,2.26,2.54,2.11
2.30,2.48,2.48,2.30
2.55,2.63,2.89,2.48
2.41,2.51,2.70,2.36
2.50,2.50,2.50,2.50
2.51,2.49,2.55,2.20
2.49,2.50,2.60,2.41
2.47,2.45,2.48,2.40
2.61,2.48,2.61,2.40
2.46,2.48,2.50,2.40
N/A,N/A,N/A,N/A
2.59,2.45,2.59,2.45
2.54,2.65,2.75,2.54
2.70,2.52,2.70,2.41
2.58,2.70,2.74,2.55
2.75,2.75,2.83,2.73
2.77,2.59,2.77,2.53
2.59,2.41,2.59,2.41
2.44,2.43,2.46,2.43
2.40,2.40,2.40,2.21
2.39,2.27,2.40,2.25
2.25,2.01,2.25,1.93
2.01,1.83,2.01,1.80
1.83,1.86,1.91,1.83
1.88,1.86,1.99,1.81
2.32,2.14,2.45,2.12
2.14,2.12,2.19,2.00
2.24,2.13,2.24,2.06
2.05,2.00,2.14,2.00
2.04,1.96,2.10,1.94
2.00,1.96,2.00,1.95
2.00,2.08,2.09,2.00
2.03,1.96,2.03,1.92
1.94,1.96,2.00,1.94
2.00,1.97,2.00,1.97
1.97,1.95,2.00,1.94
1.96,2.11,2.12,1.96
2.15,2.09,2.15,2.03
2.01,2.10,2.10,2.01
2.11,2.03,2.11,1.95
2.00,2.04,2.08,2.00
2.08,2.04,2.10,2.04
2.07,2.03,2.10,2.02
2.01,2.02,2.06,2.00
2.04,2.08,2.10,2.02
2.03,2.06,2.08,2.01
2.05,1.95,2.05,1.92
1.96,2.00,2.06,1.93
2.01,1.88,2.01,1.88
1.90,1.99,1.99,1.90
2.06,1.98,2.08,1.94
1.98,1.99,1.99,1.95
1.95,1.93,2.00,1.91
1.94,1.95,1.95,1.90
1.90,1.98,1.98,1.90
2.00,1.95,2.00,1.95
1.94,1.97,1.97,1.90
1.97,1.94,1.99,1.94
1.96,1.94,1.96,1.94
1.95,1.98,2.03,1.94
2.00,2.00,2.00,2.00
2.02,1.97,2.02,1.96
1.96,1.91,1.96,1.85
1.91,1.87,1.91,1.81
1.86,1.92,1.92,1.86
1.90,1.95,1.98,1.81
1.90,1.86,1.91,1.86
1.87,1.86,1.87,1.86
1.81,1.80,1.94,1.75
1.81,1.79,1.85,1.75
2.15,1.84,2.15,1.81
1.84,1.80,1.84,1.75
1.78,1.88,1.92,1.78
1.91,1.89,1.98,1.86
1.92,1.84,1.92,1.81
1.87,1.83,1.87,1.78
1.83,1.91,1.91,1.77
1.86,1.81,1.86,1.78
1.80,1.83,1.84,1.80
1.83,1.82,1.84,1.82
1.80,1.79,1.80,1.78
1.78,1.87,1.98,1.78
1.85,1.81,1.96,1.81
1.85,1.81,1.87,1.80
1.91,1.79,1.91,1.79
1.76,1.65,1.80,1.63
1.50,1.40,1.74,1.33
1.38,1.55,1.67,1.27
1.50,1.57,1.57,1.49
1.58,1.61,1.61,1.50
1.59,1.61,1.64,1.51
1.60,1.54,1.60,1.54
1.54,1.66,1.67,1.54
1.60,1.54,1.60,1.54
1.55,1.58,1.60,1.50
N/A,N/A,N/A,N/A
1.52,1.52,1.55,1.35
1.52,1.52,1.54,1.52
1.52,1.52,1.52,1.52
1.58,1.59,1.59,1.58
1.59,1.54,1.63,1.54
1.54,1.54,1.65,1.54
1.56,1.54,1.64,1.46
1.53,1.53,1.63,1.52
1.58,1.55,1.58,1.53
1.57,1.55,1.57,1.55
N/A,N/A,N/A,N/A
1.55,1.58,1.63,1.54
1.58,1.54,1.58,1.54
1.54,1.61,1.61,1.54
N/A,N/A,N/A,N/A
1.54,1.54,1.54,1.54
1.62,1.63,1.63,1.54
1.63,1.60,1.65,1.60
1.61,1.60,1.61,1.60
1.60,1.60,1.65,1.60
1.62,1.60,1.62,1.60
1.56,1.57,1.63,1.54
1.55,1.55,1.55,1.55
1.54,1.50,1.55,1.50
1.49,1.47,1.49,1.42
1.42,1.44,1.44,1.42
1.43,1.38,1.60,1.37
1.42,1.19,1.42,1.18
1.24,1.27,1.27,1.10
1.16,1.35,1.48,1.11
1.36,1.36,1.36,1.36
1.32,1.27,1.32,1.21
1.22,1.22,1.22,1.22
N/A,N/A,N/A,N/A
1.37,1.37,1.37,1.37
1.37,1.36,1.37,1.30
1.27,1.29,1.36,1.25
1.28,1.35,1.35,1.28
1.42,1.39,1.42,1.38
1.32,1.32,1.32,1.32
1.34,1.35,1.43,1.26
1.46,1.31,1.46,1.31
1.33,1.31,1.36,1.26
1.41,1.32,1.41,1.32
1.35,1.32,1.35,1.30
1.32,1.32,1.32,1.32
1.35,1.35,1.48,1.35
1.31,1.36,1.36,1.30
1.36,1.40,1.40,1.35
1.35,1.36,1.36,1.35
1.36,1.39,1.39,1.36
1.40,1.42,1.42,1.39
1.42,1.40,1.49,1.40
1.39,1.36,1.48,1.35
1.35,1.35,1.35,1.35
1.48,1.30,1.48,1.30
1.31,1.37,1.37,1.31
1.33,1.34,1.34,1.33
1.33,1.43,1.46,1.33
1.40,1.36,1.40,1.36
1.36,1.36,1.36,1.36
N/A,N/A,N/A,N/A
1.38,1.45,1.45,1.38
1.36,1.40,1.45,1.36
1.43,1.36,1.43,1.36
1.36,1.37,1.37,1.36
1.36,1.36,1.36,1.36
1.47,1.58,1.68,1.41
1.45,1.50,1.50,1.45
1.45,1.48,1.50,1.42
1.47,1.45,1.47,1.45
1.50,1.53,1.53,1.45
N/A,N/A,N/A,N/A
1.54,1.54,1.54,1.51
1.50,1.50,1.50,1.50
1.50,1.46,1.50,1.46
1.52,1.50,1.52,1.46
1.49,1.54,1.55,1.46
1.50,1.55,1.55,1.50
1.36,1.42,1.44,1.36
1.58,1.58,1.61,1.54
1.59,1.31,1.59,1.31
1.54,1.48,1.54,1.31
1.60,1.30,1.60,1.25
1.29,1.32,1.34,1.25
1.32,1.39,1.39,1.32
1.73,1.37,1.73,1.37
1.40,1.47,1.47,1.40
1.37,1.30,1.37,1.20
1.30,1.35,1.35,1.25
1.31,1.25,1.33,1.18
1.32,1.27,1.34,1.25
1.33,1.35,1.39,1.30
1.35,1.35,1.37,1.29
1.31,1.33,1.36,1.30
1.32,1.34,1.37,1.30
1.32,1.31,1.32,1.31
1.32,1.30,1.32,1.29
1.29,1.30,1.30,1.25
1.25,1.25,1.25,1.25
1.32,1.22,1.32,1.20
1.25,1.22,1.31,1.20
N/A,N/A,N/A,N/A
1.21,1.22,1.25,1.21
1.21,1.21,1.21,1.21
1.21,1.21,1.25,1.21
1.21,1.22,1.22,1.21
1.22,1.18,1.23,1.18
1.20,1.25,1.25,1.20
1.28,1.39,1.44,1.28
1.39,1.32,1.39,1.22
1.32,1.26,1.32,1.22
1.26,1.22,1.26,1.22
1.22,1.20,1.26,1.15
1.24,1.31,1.32,1.20
1.29,1.31,1.31,1.22
1.23,1.23,1.23,1.23
1.28,1.30,1.30,1.28
1.16,1.22,1.30,1.16
1.22,1.27,1.27,1.20
1.27,1.27,1.27,1.27
1.21,1.27,1.27,1.21
1.17,1.27,1.27,1.17
1.20,1.20,1.25,1.17
1.20,1.19,1.20,1.15
1.20,1.14,1.20,1.12
1.28,1.20,1.28,1.15
1.25,1.12,1.26,1.12
1.20,1.15,1.20,1.11
1.12,1.15,1.15,1.12
1.15,1.18,1.18,1.14
1.14,1.18,1.18,1.14
1.15,1.15,1.18,1.13
1.15,1.20,1.22,1.13
1.20,1.23,1.24,1.20
1.20,1.20,1.24,1.19
nan,1.20,nan,nan
1.19,1.16,1.19,1.15
1.11,1.16,1.17,1.11
1.14,1.19,1.19,1.14
1.15,1.20,1.20,1.14
1.19,1.19,1.25,1.19
1.25,1.20,1.25,1.20
1.20,1.23,1.23,1.20
1.21,1.25,1.25,1.21
1.23,1.25,1.26,1.23
1.25,1.24,1.25,1.24
1.23,1.23,1.25,1.23
1.25,1.29,1.29,1.23
1.30,1.34,1.34,1.30
1.34,1.30,1.34,1.30
1.28,1.33,1.33,1.28
1.30,1.29,1.32,1.29
1.29,1.33,1.33,1.29
1.35,1.33,1.35,1.32
1.34,1.33,1.34,1.33
1.33,1.38,1.39,1.33
1.35,1.36,1.36,1.30
1.34,1.33,1.34,1.33
1.38,1.35,1.38,1.30
1.32,1.35,1.38,1.32
1.35,1.40,1.48,1.35
1.34,1.43,1.48,1.34
1.47,1.45,1.47,1.45
1.43,1.40,1.43,1.40
1.37,1.37,1.37,1.31
1.38,1.30,1.38,1.30
1.31,1.34,1.34,1.30
1.30,1.30,1.31,1.30
1.37,1.37,1.37,1.37
1.38,1.35,1.38,1.35
1.31,1.32,1.32,1.31
1.30,1.34,1.34,1.30
1.30,1.32,1.33,1.30
1.30,1.30,1.30,1.30
1.29,1.23,1.29,1.23
1.21,1.17,1.24,1.17
1.17,1.25,1.25,1.17
1.23,1.20,1.23,1.16
1.20,1.22,1.25,1.20
1.23,1.20,1.24,1.20
1.17,1.20,1.20,1.12
1.15,1.11,1.15,1.10
1.11,1.15,1.15,1.11
nan,1.12,nan,nan
1.11,1.17,1.17,1.11
1.18,1.18,1.18,1.14
1.19,1.11,1.19,1.11
1.13,1.12,1.13,1.12
1.11,1.12,1.12,1.10
1.17,1.16,1.28,1.16
1.16,1.11,1.16,1.11
1.12,1.11,1.12,1.11
1.10,1.13,1.18,1.10
1.11,1.10,1.13,1.05
1.10,1.10,1.10,1.07
1.00,0.96,1.00,0.96
0.96,1.00,1.00,0.92
1.00,1.00,1.00,1.00
1.00,0.99,1.04,0.95
nan,0.99,nan,nan
0.99,0.99,0.99,0.97
0.95,0.90,0.95,0.88
nan,0.90,nan,nan
0.90,0.90,0.91,0.90
0.88,0.88,0.88,0.88
0.87,0.84,0.90,0.84
0.90,0.91,0.91,0.90
0.82,0.90,0.90,0.82
nan,0.90,nan,nan
0.90,0.89,0.90,0.86
0.90,0.90,0.90,0.90
0.90,0.83,0.90,0.82
0.83,0.85,0.86,0.83
0.83,0.82,0.83,0.82
0.90,0.90,0.90,0.84
0.81,0.99,0.99,0.81
0.86,0.86,0.86,0.86
0.90,0.88,0.90,0.88
0.90,0.90,0.90,0.90
0.90,0.94,0.98,0.90
0.97,0.95,0.99,0.94
0.99,1.01,1.05,0.99
1.00,1.00,1.05,0.99
1.00,1.02,1.08,0.99
nan,1.04,nan,nan
1.00,1.00,1.00,1.00
1.01,1.05,1.05,1.00
1.05,1.05,1.05,1.05
1.01,1.01,1.01,1.01
1.05,1.05,1.05,1.05
1.03,1.00,1.03,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.05,1.00
1.03,1.00,1.03,1.00
1.05,1.05,1.08,1.05
1.05,1.02,1.05,1.02
1.05,1.02,1.05,1.02
1.08,1.10,1.10,1.08
1.15,1.14,1.15,1.03
1.00,1.00,1.13,1.00
1.02,1.00,1.02,1.00
1.05,1.00,1.05,1.00
1.00,1.00,1.02,1.00
1.01,1.01,1.04,1.01
1.01,1.04,1.04,0.99
1.08,1.05,1.08,0.99
1.07,1.09,1.14,1.05
1.15,1.26,1.29,1.10
1.16,1.08,1.16,1.05
1.08,1.35,1.40,1.01
1.39,1.31,1.45,1.27
1.36,1.40,1.41,1.34
1.40,1.34,1.40,1.27
1.38,1.36,1.38,1.25
1.32,1.30,1.40,1.25
1.33,1.33,1.40,1.30
1.28,1.34,1.39,1.26
1.28,1.27,1.30,1.25
1.25,1.25,1.38,1.25
1.31,1.26,1.31,1.26
1.34,1.27,1.34,1.26
1.25,1.31,1.31,1.25
1.28,1.26,1.28,1.20
1.20,1.22,1.25,1.20
1.22,1.22,1.22,1.22
1.25,1.23,1.25,1.21
1.21,1.21,1.21,1.20
1.17,1.21,1.22,1.17
1.30,1.25,1.33,1.24
1.26,1.25,1.28,1.17
1.21,1.21,1.25,1.18
nan,1.21,nan,nan
1.21,1.18,1.23,1.18
1.19,1.18,1.23,1.18
1.16,1.15,1.16,1.15
1.15,1.29,1.29,1.15
1.29,1.31,1.31,1.24
1.29,1.30,1.30,1.29
1.29,1.35,1.37,1.28
1.35,1.29,1.35,1.23
1.24,1.36,1.36,1.24
1.30,1.26,1.34,1.24
1.27,1.27,1.31,1.25
1.30,1.30,1.30,1.30
1.25,1.26,1.34,1.25
1.29,1.23,1.29,1.23
1.28,1.32,1.34,1.28
1.31,1.32,1.32,1.30
1.26,1.28,1.28,1.25
1.28,1.29,1.29,1.28
nan,1.29,nan,nan
1.30,1.25,1.32,1.25
1.26,1.25,1.26,1.25
1.29,1.29,1.29,1.27
1.33,1.22,1.33,1.20
1.21,1.21,1.26,1.12
1.21,1.20,1.21,1.20
1.17,1.21,1.21,1.17
1.22,1.16,1.22,1.16
1.19,1.24,1.24,1.19
1.19,1.19,1.19,1.19
1.22,1.17,1.24,1.16
nan,1.19,nan,nan
1.20,1.23,1.24,1.20
1.20,1.18,1.20,1.15
1.15,1.15,1.15,1.15
1.15,1.12,1.16,1.12
1.12,1.12,1.14,1.12
nan,1.12,nan,nan
1.11,1.11,1.11,1.11
1.12,1.11,1.12,1.11
1.11,1.11,1.12,1.11
1.11,1.10,1.11,1.10
nan,1.11,nan,nan
N/A,N/A,N/A,N/A
1.10,1.10,1.10,1.10
N/A,N/A,N/A,N/A
1.11,1.13,1.13,1.11
1.12,1.14,1.14,1.12
1.12,1.18,1.18,1.12
N/A,N/A,N/A,N/A
1.19,1.15,1.19,1.15
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.18,1.20,1.20,1.18
1.18,1.17,1.18,1.15
1.26,1.20,1.26,1.18
1.18,1.18,1.18,1.15
1.16,1.13,1.27,1.13
1.16,1.15,1.18,1.13
1.13,1.13,1.13,1.13
1.15,1.15,1.23,1.15
1.28,1.21,1.30,1.17
1.18,1.18,1.18,1.18
1.24,1.24,1.25,1.18
1.21,1.23,1.25,1.20
1.25,1.35,1.35,1.24
1.35,1.23,1.35,1.18
1.13,1.27,1.27,1.13
1.31,1.36,1.36,1.20
1.31,1.33,1.35,1.31
1.32,1.23,1.33,1.20
1.29,1.30,1.30,1.25
1.29,1.34,1.35,1.26
1.41,1.45,1.47,1.32
1.47,1.47,1.48,1.45
1.50,1.49,1.52,1.48
1.50,1.50,1.50,1.47
1.50,1.50,1.55,1.48
1.55,1.40,1.55,1.34
1.45,1.46,1.48,1.45
1.36,1.40,1.51,1.36
1.41,1.49,1.53,1.40
1.48,1.50,1.50,1.40
N/A,N/A,N/A,N/A
1.45,1.54,1.54,1.45
1.54,1.60,1.60,1.54
1.61,1.69,1.69,1.59
1.70,1.70,1.84,1.69
1.68,1.77,1.78,1.68
1.75,1.74,1.78,1.68
1.72,1.71,1.72,1.71
1.70,1.71,1.71,1.61
1.69,1.69,1.69,1.69
1.61,1.70,1.70,1.60
1.68,1.70,1.71,1.68
1.70,1.51,1.70,1.40
1.57,1.60,1.65,1.50
1.60,1.60,1.60,1.60
1.60,1.74,1.74,1.60
1.80,1.80,1.84,1.75
1.77,1.80,1.80,1.75
1.70,1.65,1.75,1.57
1.67,1.70,1.71,1.67
1.66,1.66,1.66,1.66
1.66,1.56,1.66,1.53
1.64,1.59,1.75,1.56
1.60,1.69,1.69,1.60
N/A,N/A,N/A,N/A
1.60,1.56,1.60,1.56
1.55,1.54,1.55,1.50
1.52,1.63,1.63,1.50
1.61,1.61,1.61,1.61
N/A,N/A,N/A,N/A
1.54,1.50,1.54,1.45
1.52,1.53,1.53,1.52
1.50,1.54,1.57,1.50
1.53,1.53,1.53,1.53
1.50,1.50,1.53,1.50
N/A,N/A,N/A,N/A
1.50,1.49,1.50,1.49
1.50,1.53,1.53,1.50
1.50,1.50,1.50,1.50
1.46,1.50,1.50,1.45
1.50,1.52,1.53,1.50
1.45,1.47,1.52,1.45
1.45,1.45,1.45,1.45
1.45,1.45,1.45,1.45
1.52,1.55,1.55,1.52
1.64,1.64,1.64,1.64
1.56,1.56,1.56,1.56
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.56,1.45,1.56,1.45
1.45,1.45,1.48,1.44
1.46,1.46,1.46,1.46
1.47,1.45,1.50,1.40
1.40,1.45,1.45,1.40
1.40,1.48,1.48,1.40
1.40,1.40,1.42,1.40
1.42,1.42,1.42,1.42
1.41,1.45,1.45,1.41
1.46,1.46,1.46,1.46
1.53,1.48,1.53,1.40
1.41,1.41,1.43,1.41
1.42,1.45,1.52,1.42
N/A,N/A,N/A,N/A
1.46,1.48,1.48,1.46
1.49,1.50,1.50,1.49
1.51,1.48,1.51,1.48
1.49,1.54,1.55,1.49
1.54,1.50,1.54,1.50
1.46,1.46,1.46,1.46
1.46,1.46,1.46,1.46
1.56,1.41,1.56,1.40
1.42,1.43,1.43,1.38
1.43,1.38,1.43,1.36
1.37,1.36,1.43,1.36
1.40,1.46,1.48,1.36
1.42,1.49,1.50,1.41
1.49,1.42,1.49,1.42
1.36,1.25,1.40,1.25
1.36,1.38,1.40,1.34
1.45,1.37,1.45,1.37
1.37,1.37,1.37,1.37
1.40,1.48,1.49,1.40
1.49,1.47,1.49,1.41
1.48,1.56,1.56,1.48
1.54,1.54,1.64,1.54
1.56,1.57,1.63,1.56
1.57,1.62,1.70,1.52
1.64,1.64,1.64,1.59
1.61,1.59,1.61,1.59
1.59,1.58,1.59,1.52
1.53,1.53,1.56,1.53
1.55,1.55,1.59,1.55
N/A,N/A,N/A,N/A
1.54,1.48,1.54,1.42
1.48,1.49,1.49,1.48
1.49,1.59,1.59,1.43
1.58,1.59,1.59,1.52
1.47,1.50,1.59,1.47
1.50,1.52,1.53,1.49
1.58,1.55,1.59,1.55
1.55,1.54,1.55,1.48
1.52,1.56,1.56,1.49
1.52,1.49,1.52,1.48
1.51,1.55,1.55,1.51
1.48,1.51,1.51,1.43
1.53,1.55,1.58,1.53
1.55,1.55,1.55,1.55
1.58,1.58,1.58,1.58
1.51,1.51,1.55,1.50
1.57,1.43,1.57,1.43
1.53,1.46,1.55,1.45
